time,Minnesota,pts.away,score,pts.home,Memphis
4:02.0,,,17-19,2,M. Gasol makes 2-pt shot from 11 ft
3:43.0,Shooting foul by A. Harrison (drawn by J. Butler),,17-19,,
3:43.0,J. Butler makes free throw 1 of 2,1,18-19,,
3:43.0,J. Butler makes free throw 2 of 2,1,19-19,,
3:23.0,,,19-19,,J. Martin misses 2-pt shot from 20 ft (block by G. Dieng)
3:19.0,Defensive rebound by T. Gibson,,19-19,,
3:11.0,J. Butler makes 3-pt shot from 25 ft,3,22-19,,
2:54.0,,,22-19,,J. Ennis misses 2-pt shot from 8 ft
2:52.0,,,22-19,,Offensive rebound by J. Ennis
2:40.0,,,22-19,,Shooting foul by A. Wiggins (drawn by M. Gasol)
2:40.0,Minnesota full timeout,,22-19,,
2:40.0,,,22-19,,J. Green enters the game for J. Martin
2:40.0,,,22-19,,T. Evans enters the game for A. Harrison
2:40.0,T. Jones enters the game for J. Teague,,22-19,,
2:40.0,J. Crawford enters the game for J. Butler,,22-19,,
2:40.0,,,22-20,1,M. Gasol makes free throw 1 of 2
2:40.0,,,22-21,1,M. Gasol makes free throw 2 of 2
2:26.0,Turnover by A. Wiggins (bad pass; steal by J. Green),,22-21,,
2:21.0,,,22-23,2,J. Ennis makes 2-pt shot from 2 ft (assist by M. Chalmers)
1:59.0,J. Crawford misses 3-pt shot from 27 ft,,22-23,,
1:56.0,,,22-23,,Defensive rebound by J. Green
1:41.0,,,22-25,2,J. Ennis makes 2-pt shot from 20 ft (assist by M. Gasol)
1:22.0,G. Dieng makes 2-pt shot from 5 ft (assist by T. Gibson),2,24-25,,
1:12.0,,,24-27,2,T. Evans makes 2-pt shot from 2 ft
0:51.0,A. Wiggins misses 2-pt shot from 22 ft,,24-27,,
0:48.0,,,24-27,,Defensive rebound by J. Green
0:45.0,,,24-29,2,J. Green makes 2-pt shot at rim (assist by M. Chalmers)
0:24.0,G. Dieng misses 2-pt shot from 5 ft (block by T. Evans),,24-29,,
0:24.0,,,24-29,,Defensive rebound by Team
0:05.0,,,24-29,,Turnover by T. Evans (lost ball; steal by A. Wiggins)
0:02.0,A. Wiggins makes 2-pt shot from 2 ft (assist by G. Dieng),2,26-29,,
0:00.0,,,26-29,,J. Green misses 3-pt shot from 24 ft
0:00.0,,,26-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,Turnover by J. Butler (bad pass; steal by D. Davis),,26-29,,
11:25.0,Personal foul by T. Jones (drawn by T. Evans),,26-29,,
11:15.0,,,26-32,3,J. Ennis makes 3-pt shot from 25 ft (assist by T. Evans)
10:52.0,T. Jones misses 2-pt shot from 6 ft (block by M. Chalmers),,26-32,,
10:49.0,Offensive rebound by G. Dieng,,26-32,,
10:48.0,J. Butler misses 3-pt shot from 26 ft,,26-32,,
10:44.0,,,26-32,,Defensive rebound by T. Evans
10:39.0,,,26-32,,J. Green misses 3-pt shot from 25 ft
10:35.0,Defensive rebound by G. Dieng,,26-32,,
10:34.0,Turnover by G. Dieng (lost ball; steal by J. Ennis),,26-32,,
10:28.0,,,26-32,,J. Ennis misses 2-pt shot from 3 ft
10:26.0,Defensive rebound by G. Dieng,,26-32,,
10:25.0,,,26-32,,Personal foul by M. Chalmers (drawn by J. Butler)
10:22.0,,,26-32,,Personal foul by J. Ennis (drawn by J. Butler)
10:12.0,K. Towns makes 3-pt shot from 24 ft (assist by J. Butler),3,29-32,,
9:56.0,,,29-32,,J. Ennis misses 3-pt shot from 24 ft
9:51.0,Defensive rebound by T. Jones,,29-32,,
9:40.0,J. Butler makes 2-pt shot from 10 ft,2,31-32,,
9:15.0,,,31-32,,Shooting foul by K. Towns (drawn by J. Green)
9:15.0,,,31-33,1,J. Green makes free throw 1 of 2
9:15.0,,,31-33,,B. McLemore enters the game for J. Ennis
9:15.0,,,31-34,1,J. Green makes free throw 2 of 2
9:02.0,Shooting foul by J. Green (drawn by G. Dieng),,31-34,,
9:02.0,G. Dieng makes free throw 1 of 2,1,32-34,,
9:02.0,G. Dieng makes free throw 2 of 2,1,33-34,,
8:44.0,,,33-36,2,M. Chalmers makes 2-pt shot from 12 ft
8:25.0,K. Towns misses 2-pt shot from 3 ft,,33-36,,
8:21.0,Offensive rebound by G. Dieng,,33-36,,
8:21.0,G. Dieng makes 2-pt shot at rim,2,35-36,,
8:17.0,,,35-38,2,T. Evans makes 2-pt shot from 3 ft
8:02.0,J. Crawford makes 3-pt shot from 26 ft (assist by K. Towns),3,38-38,,
7:42.0,,,38-38,,M. Chalmers misses 2-pt shot from 4 ft
7:38.0,Defensive rebound by G. Dieng,,38-38,,
7:35.0,T. Jones misses 2-pt shot from 5 ft (block by D. Davis),,38-38,,
7:31.0,,,38-38,,Defensive rebound by T. Evans
7:30.0,,,38-38,,T. Evans misses 2-pt shot from 2 ft
7:27.0,,,38-38,,Offensive rebound by J. Green
7:27.0,,,38-40,2,J. Green makes 2-pt shot from 1 ft
7:27.0,,,38-40,,Shooting foul by K. Towns (drawn by J. Green)
7:27.0,,,38-40,,M. Gasol enters the game for M. Chalmers
7:27.0,,,38-40,,A. Harrison enters the game for T. Evans
7:27.0,,,38-40,,D. Brooks enters the game for D. Davis
7:27.0,J. Teague enters the game for T. Jones,,38-40,,
7:27.0,,,38-41,1,J. Green makes free throw 1 of 1
7:10.0,G. Dieng makes 2-pt shot from 10 ft (assist by J. Butler),2,40-41,,
6:49.0,,,40-44,3,A. Harrison makes 3-pt shot from 22 ft (assist by M. Gasol)
6:38.0,J. Crawford misses 2-pt shot from 15 ft,,40-44,,
6:34.0,,,40-44,,Defensive rebound by M. Gasol
6:34.0,,,40-44,,Turnover by M. Gasol (lost ball; steal by G. Dieng)
6:34.0,,,40-44,,Personal foul by M. Gasol (drawn by J. Butler)
6:34.0,,,40-44,,Memphis full timeout
6:34.0,,,40-44,,J. Martin enters the game for J. Green
6:34.0,A. Wiggins enters the game for J. Butler,,40-44,,
6:23.0,A. Wiggins misses 2-pt shot from 13 ft,,40-44,,
6:19.0,,,40-44,,Defensive rebound by B. McLemore
6:00.0,,,40-44,,Turnover by A. Harrison (bad pass)
5:48.0,J. Crawford misses 2-pt shot from 18 ft,,40-44,,
5:45.0,,,40-44,,Defensive rebound by B. McLemore
5:33.0,,,40-44,,M. Gasol misses 2-pt shot from 6 ft
5:31.0,,,40-44,,Offensive rebound by J. Martin
5:19.0,,,40-46,2,J. Martin makes 2-pt shot from 1 ft (assist by M. Gasol)
4:59.0,K. Towns makes 2-pt shot from 7 ft (assist by J. Teague),2,42-46,,
4:53.0,,,42-46,,Turnover by B. McLemore (out of bounds lost ball)
4:53.0,T. Gibson enters the game for G. Dieng,,42-46,,
4:41.0,J. Teague makes 2-pt shot from 14 ft,2,44-46,,
4:23.0,,,44-46,,B. McLemore misses 3-pt shot from 23 ft
4:20.0,Defensive rebound by K. Towns,,44-46,,
4:14.0,J. Crawford misses 2-pt shot from 19 ft,,44-46,,
4:08.0,,,44-46,,Defensive rebound by A. Harrison
4:02.0,,,44-48,2,D. Brooks makes 2-pt shot from 5 ft (assist by A. Harrison)
3:50.0,Shooting foul by D. Brooks (drawn by T. Gibson),,44-48,,
3:50.0,T. Gibson makes free throw 1 of 2,1,45-48,,
3:50.0,J. Butler enters the game for J. Crawford,,45-48,,
3:50.0,T. Gibson makes free throw 2 of 2,1,46-48,,
3:39.0,,,46-48,,Turnover by J. Martin (bad pass)
3:27.0,,,46-48,,Personal foul by J. Martin (drawn by K. Towns)
3:27.0,K. Towns makes free throw 1 of 2,1,47-48,,
3:27.0,,,47-48,,J. Ennis enters the game for J. Martin
3:27.0,,,47-48,,J. Green enters the game for B. McLemore
3:27.0,K. Towns makes free throw 2 of 2,1,48-48,,
3:18.0,Def 3 sec tech foul by K. Towns,,48-48,,
3:18.0,,,48-49,1,M. Gasol makes technical free throw
3:03.0,,,48-49,,J. Green misses 2-pt shot from 13 ft (block by K. Towns)
2:59.0,Defensive rebound by K. Towns,,48-49,,
2:48.0,T. Gibson makes 2-pt shot from 2 ft,2,50-49,,
2:31.0,,,50-49,,M. Gasol misses 2-pt shot from 5 ft
2:29.0,Defensive rebound by K. Towns,,50-49,,
2:18.0,Turnover by J. Teague (bad pass; steal by A. Harrison),,50-49,,
2:17.0,,,50-49,,Shooting foul by A. Wiggins (drawn by A. Harrison)
2:17.0,Minnesota full timeout,,50-49,,
2:17.0,,,50-49,,J. Martin enters the game for M. Gasol
2:17.0,,,50-49,,A. Harrison misses free throw 1 of 2
2:17.0,,,50-49,,Offensive rebound by Team
2:17.0,,,50-50,1,A. Harrison makes free throw 2 of 2
2:01.0,,,50-50,,Personal foul by J. Ennis (drawn by J. Butler)
2:01.0,J. Butler misses free throw 1 of 2,,50-50,,
2:01.0,Offensive rebound by Team,,50-50,,
2:01.0,,,50-50,,T. Evans enters the game for A. Harrison
2:01.0,J. Butler makes free throw 2 of 2,1,51-50,,
1:49.0,,,51-50,,Shooting foul by K. Towns (drawn by J. Green)
1:49.0,,,51-51,1,J. Green makes free throw 1 of 2
1:49.0,G. Dieng enters the game for K. Towns,,51-51,,
1:49.0,,,51-51,,J. Green misses free throw 2 of 2
1:47.0,Defensive rebound by G. Dieng,,51-51,,
1:29.0,T. Gibson misses 2-pt shot from 5 ft (block by J. Martin),,51-51,,
1:26.0,,,51-51,,Defensive rebound by J. Ennis
1:17.0,,,51-51,,J. Ennis misses 3-pt shot from 24 ft
1:14.0,,,51-51,,Offensive rebound by Team
1:05.0,,,51-54,3,T. Evans makes 3-pt shot from 25 ft
0:46.0,J. Butler misses 2-pt shot from 12 ft,,51-54,,
0:44.0,,,51-54,,Defensive rebound by D. Brooks
0:40.0,,,51-56,2,J. Ennis makes 2-pt shot from 1 ft (assist by T. Evans)
0:20.0,J. Butler makes 2-pt shot from 10 ft,2,53-56,,
0:01.0,,,53-56,,T. Evans misses 3-pt shot from 25 ft
0:01.0,,,53-56,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,J. Teague makes 2-pt shot from 10 ft (assist by J. Butler),2,55-56,,
11:27.0,,,55-58,2,M. Gasol makes 2-pt shot from 21 ft (assist by T. Evans)
11:04.0,A. Wiggins misses 2-pt shot from 4 ft (block by M. Gasol),,55-58,,
10:57.0,Offensive rebound by A. Wiggins,,55-58,,
10:57.0,A. Wiggins misses 2-pt shot at rim,,55-58,,
10:56.0,,,55-58,,Defensive rebound by B. McLemore
10:44.0,,,55-61,3,T. Evans makes 3-pt shot from 25 ft (assist by B. McLemore)
10:28.0,J. Butler makes 2-pt shot from 16 ft (assist by T. Gibson),2,57-61,,
10:13.0,,,57-61,,Turnover by B. McLemore (bad pass; steal by J. Butler)
10:12.0,,,57-61,,Personal take foul by T. Evans (drawn by J. Butler)
9:57.0,T. Gibson misses 2-pt shot from 2 ft,,57-61,,
9:51.0,Offensive rebound by T. Gibson,,57-61,,
9:51.0,T. Gibson makes 2-pt shot at rim,2,59-61,,
9:37.0,,,59-61,,Turnover by J. Green (bad pass; steal by T. Gibson)
9:33.0,Offensive charge foul by T. Gibson (drawn by J. Green),,59-61,,
9:33.0,Turnover by T. Gibson (offensive foul),,59-61,,
9:17.0,,,59-63,2,D. Brooks makes 2-pt shot from 7 ft (assist by T. Evans)
8:58.0,A. Wiggins misses 2-pt shot from 4 ft,,59-63,,
8:54.0,,,59-63,,Defensive rebound by M. Gasol
8:38.0,,,59-66,3,D. Brooks makes 3-pt shot from 24 ft (assist by M. Gasol)
8:15.0,J. Teague makes 2-pt shot from 2 ft,2,61-66,,
7:53.0,,,61-66,,T. Evans misses 2-pt shot from 16 ft
7:50.0,Defensive rebound by K. Towns,,61-66,,
7:38.0,Turnover by J. Teague (lost ball; steal by B. McLemore),,61-66,,
7:36.0,Personal take foul by J. Teague (drawn by J. Green),,61-66,,
7:22.0,,,61-68,2,M. Gasol makes 2-pt shot from 10 ft (assist by T. Evans)
7:19.0,Minnesota full timeout,,61-68,,
7:03.0,A. Wiggins makes 2-pt shot from 3 ft,2,63-68,,
6:45.0,Violation by K. Towns (kicked ball),,63-68,,
6:41.0,,,63-68,,B. McLemore misses 3-pt shot from 24 ft
6:38.0,Defensive rebound by K. Towns,,63-68,,
6:29.0,Shooting foul by B. McLemore (drawn by T. Gibson),,63-68,,
6:29.0,T. Gibson makes free throw 1 of 2,1,64-68,,
6:29.0,,,64-68,,J. Ennis enters the game for B. McLemore
6:29.0,T. Gibson makes free throw 2 of 2,1,65-68,,
6:13.0,,,65-68,,J. Green misses 2-pt shot from 23 ft
6:10.0,Defensive rebound by J. Butler,,65-68,,
5:58.0,A. Wiggins misses 3-pt shot from 25 ft,,65-68,,
5:55.0,,,65-68,,Defensive rebound by M. Gasol
5:50.0,,,65-68,,T. Evans misses 2-pt shot from 3 ft
5:48.0,Defensive rebound by K. Towns,,65-68,,
5:48.0,,,65-68,,Personal foul by D. Brooks (drawn by J. Teague)
5:48.0,,,65-68,,J. Martin enters the game for J. Green
5:43.0,,,65-68,,Personal foul by J. Martin (drawn by J. Butler)
5:32.0,J. Butler makes 2-pt shot from 13 ft,2,67-68,,
5:16.0,,,67-68,,Turnover by D. Brooks (bad pass; steal by J. Butler)
5:14.0,Turnover by A. Wiggins (out of bounds lost ball),,67-68,,
5:14.0,,,67-68,,M. Chalmers enters the game for D. Brooks
5:03.0,,,67-68,,M. Gasol misses 2-pt shot from 19 ft
4:59.0,Defensive rebound by K. Towns,,67-68,,
4:47.0,,,67-68,,Violation by M. Gasol (kicked ball)
4:47.0,,,67-68,,A. Harrison enters the game for T. Evans
4:35.0,J. Butler misses 2-pt shot from 16 ft,,67-68,,
4:32.0,,,67-68,,Defensive rebound by J. Martin
4:11.0,,,67-68,,Turnover by A. Harrison (bad pass; steal by J. Butler)
4:07.0,Shooting foul by J. Martin (drawn by T. Gibson),,67-68,,
4:07.0,T. Gibson makes free throw 1 of 2,1,68-68,,
4:07.0,G. Dieng enters the game for K. Towns,,68-68,,
4:07.0,T. Gibson makes free throw 2 of 2,1,69-68,,
4:05.0,,,69-68,,Memphis full timeout
3:53.0,,,69-70,2,J. Martin makes 2-pt shot from 18 ft (assist by M. Chalmers)
3:40.0,,,69-70,,Personal foul by A. Harrison (drawn by J. Teague)
3:40.0,J. Teague makes free throw 1 of 2,1,70-70,,
3:40.0,J. Teague makes free throw 2 of 2,1,71-70,,
3:23.0,,,71-70,,J. Ennis misses 3-pt shot from 24 ft
3:20.0,Defensive rebound by G. Dieng,,71-70,,
3:06.0,A. Wiggins makes 2-pt shot from 21 ft (assist by T. Gibson),2,73-70,,
2:40.0,,,73-70,,J. Ennis misses 3-pt shot from 22 ft
2:38.0,,,73-70,,Offensive rebound by A. Harrison
2:36.0,Personal foul by J. Teague (drawn by A. Harrison),,73-70,,
2:36.0,,,73-70,,J. Green enters the game for J. Martin
2:36.0,,,73-70,,D. Davis enters the game for A. Harrison
2:36.0,,,73-70,,T. Evans enters the game for M. Gasol
2:36.0,T. Jones enters the game for J. Teague,,73-70,,
2:36.0,J. Crawford enters the game for J. Butler,,73-70,,
2:31.0,,,73-70,,M. Chalmers misses 3-pt shot from 23 ft
2:26.0,Defensive rebound by J. Crawford,,73-70,,
2:19.0,T. Gibson makes 2-pt shot from 1 ft (assist by J. Crawford),2,75-70,,
2:06.0,,,75-70,,Turnover by M. Chalmers (bad pass; steal by A. Wiggins)
2:01.0,A. Wiggins misses 2-pt shot from 1 ft (block by T. Evans),,75-70,,
1:57.0,Offensive rebound by A. Wiggins,,75-70,,
1:46.0,A. Wiggins misses 2-pt shot from 14 ft,,75-70,,
1:43.0,,,75-70,,Defensive rebound by J. Green
1:27.0,,,75-70,,Shooting foul by G. Dieng (drawn by J. Green)
1:27.0,,,75-71,1,J. Green makes free throw 1 of 2
1:27.0,,,75-72,1,J. Green makes free throw 2 of 2
1:09.0,T. Gibson misses 2-pt shot from 5 ft (block by D. Davis),,75-72,,
1:05.0,,,75-72,,Defensive rebound by M. Chalmers
1:00.0,,,75-74,2,D. Davis makes 2-pt shot from 13 ft (assist by T. Evans)
0:36.0,J. Crawford misses 3-pt shot from 27 ft,,75-74,,
0:33.0,,,75-74,,Defensive rebound by J. Green
0:26.0,,,75-74,,T. Evans misses 3-pt shot from 25 ft
0:23.0,,,75-74,,Offensive rebound by D. Davis
0:23.0,,,75-76,2,D. Davis makes 2-pt shot at rim
0:02.0,J. Crawford misses 2-pt shot from 11 ft,,75-76,,
0:02.0,,,75-76,,Defensive rebound by M. Chalmers
0:00.0,,,75-76,,M. Chalmers misses 3-pt shot from 63 ft
0:00.0,,,75-76,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,75-76,,Turnover by J. Ennis (turnover)
11:35.0,,,75-76,,Personal foul by D. Davis (drawn by G. Dieng)
11:26.0,J. Crawford misses 3-pt shot from 25 ft,,75-76,,
11:22.0,,,75-76,,Defensive rebound by T. Evans
11:15.0,,,75-78,2,T. Evans makes 2-pt shot from 6 ft
10:56.0,G. Dieng makes 2-pt shot from 13 ft (assist by T. Jones),2,77-78,,
10:34.0,,,77-80,2,D. Davis makes 2-pt shot from 1 ft (assist by J. Green)
10:20.0,J. Butler misses 3-pt shot from 27 ft,,77-80,,
10:17.0,,,77-80,,Defensive rebound by J. Green
10:14.0,,,77-82,2,J. Ennis makes 2-pt shot from 3 ft (assist by J. Green)
10:13.0,Minnesota full timeout,,77-82,,
9:50.0,J. Crawford makes 2-pt shot from 7 ft,2,79-82,,
9:28.0,,,79-82,,D. Davis misses 2-pt shot from 12 ft
9:27.0,,,79-82,,Offensive rebound by Team
9:24.0,,,79-82,,T. Evans misses 2-pt shot from 5 ft
9:23.0,Defensive rebound by Team,,79-82,,
9:23.0,,,79-82,,Loose ball foul by J. Green (drawn by K. Towns)
9:11.0,J. Butler misses 2-pt shot from 7 ft,,79-82,,
9:07.0,,,79-82,,Defensive rebound by T. Evans
9:04.0,,,79-84,2,J. Green makes 2-pt shot from 19 ft (assist by T. Evans)
8:41.0,J. Butler makes 2-pt shot from 2 ft (assist by K. Towns),2,81-84,,
8:41.0,Shooting foul by D. Davis (drawn by J. Butler),,81-84,,
8:41.0,T. Gibson enters the game for G. Dieng,,81-84,,
8:41.0,J. Butler makes free throw 1 of 1,1,82-84,,
8:30.0,,,82-84,,Turnover by T. Evans (bad pass)
8:24.0,,,82-84,,Personal foul by J. Green (drawn by K. Towns)
8:24.0,,,82-84,,M. Gasol enters the game for D. Davis
8:17.0,J. Crawford misses 3-pt shot from 22 ft,,82-84,,
8:13.0,,,82-84,,Defensive rebound by J. Green
7:58.0,,,82-84,,Turnover by M. Chalmers (lost ball; steal by T. Jones)
7:53.0,T. Jones makes 2-pt shot from 1 ft,2,84-84,,
7:29.0,,,84-84,,M. Gasol misses 3-pt shot from 26 ft
7:26.0,Defensive rebound by K. Towns,,84-84,,
7:04.0,J. Butler misses 3-pt shot from 24 ft,,84-84,,
7:00.0,,,84-84,,Defensive rebound by J. Green
6:52.0,,,84-84,,T. Evans misses 2-pt shot from 4 ft
6:49.0,Defensive rebound by K. Towns,,84-84,,
6:47.0,J. Butler makes 2-pt shot from 2 ft,2,86-84,,
6:26.0,,,86-84,,M. Gasol misses 2-pt shot from 5 ft
6:24.0,,,86-84,,Offensive rebound by M. Gasol
6:22.0,,,86-84,,J. Green misses 2-pt shot from 20 ft
6:18.0,Defensive rebound by T. Jones,,86-84,,
6:02.0,K. Towns misses 2-pt shot from 17 ft,,86-84,,
6:00.0,,,86-84,,Defensive rebound by M. Gasol
5:55.0,,,86-84,,Memphis full timeout
5:55.0,,,86-84,,D. Brooks enters the game for J. Green
5:55.0,,,86-84,,A. Harrison enters the game for M. Chalmers
5:55.0,,,86-84,,J. Martin enters the game for T. Evans
5:55.0,J. Teague enters the game for T. Jones,,86-84,,
5:55.0,A. Wiggins enters the game for J. Crawford,,86-84,,
5:43.0,,,86-84,,Shooting foul by K. Towns (drawn by J. Ennis)
5:43.0,,,86-85,1,J. Ennis makes free throw 1 of 2
5:43.0,,,86-86,1,J. Ennis makes free throw 2 of 2
5:29.0,K. Towns misses 3-pt shot from 22 ft,,86-86,,
5:26.0,,,86-86,,Defensive rebound by A. Harrison
5:08.0,,,86-86,,Shooting foul by J. Butler (drawn by M. Gasol)
5:08.0,,,86-87,1,M. Gasol makes free throw 1 of 2
5:08.0,,,86-88,1,M. Gasol makes free throw 2 of 2
4:50.0,J. Butler misses 2-pt shot from 15 ft,,86-88,,
4:46.0,,,86-88,,Defensive rebound by M. Gasol
4:32.0,,,86-88,,Shooting foul by J. Butler (drawn by M. Gasol)
4:32.0,,,86-88,,M. Gasol misses free throw 1 of 2
4:32.0,,,86-88,,Offensive rebound by Team
4:32.0,,,86-89,1,M. Gasol makes free throw 2 of 2
4:14.0,A. Wiggins makes 2-pt shot from 3 ft,2,88-89,,
3:58.0,,,88-89,,Shooting foul by A. Wiggins (drawn by A. Harrison)
3:58.0,,,88-90,1,A. Harrison makes free throw 1 of 2
3:58.0,,,88-91,1,A. Harrison makes free throw 2 of 2
3:45.0,J. Butler makes 2-pt shot at rim (assist by T. Gibson),2,90-91,,
3:35.0,,,90-91,,Memphis full timeout
3:35.0,,,90-91,,J. Green enters the game for J. Ennis
3:35.0,,,90-91,,T. Evans enters the game for J. Martin
3:25.0,,,90-93,2,M. Gasol makes 2-pt shot from 1 ft (assist by T. Evans)
2:56.0,J. Butler misses 3-pt shot from 24 ft,,90-93,,
2:52.0,,,90-93,,Defensive rebound by M. Gasol
2:34.0,,,90-93,,J. Green misses 3-pt shot from 25 ft
2:31.0,Defensive rebound by A. Wiggins,,90-93,,
2:16.0,A. Wiggins misses 2-pt shot from 15 ft,,90-93,,
2:13.0,,,90-93,,Defensive rebound by D. Brooks
1:55.0,,,90-93,,T. Evans misses 2-pt shot from 21 ft
1:51.0,Defensive rebound by K. Towns,,90-93,,
1:37.0,,,90-93,,Personal foul by A. Harrison (drawn by J. Butler)
1:37.0,J. Butler makes free throw 1 of 2,1,91-93,,
1:37.0,J. Butler makes free throw 2 of 2,1,92-93,,
1:30.0,,,92-93,,Turnover by T. Evans (bad pass)
1:18.0,J. Butler misses 2-pt shot from 1 ft,,92-93,,
1:16.0,,,92-93,,Defensive rebound by A. Harrison
1:02.0,,,92-93,,D. Brooks misses 3-pt shot from 25 ft
0:58.0,Defensive rebound by T. Gibson,,92-93,,
0:43.0,K. Towns misses 2-pt shot from 17 ft,,92-93,,
0:40.0,Offensive rebound by J. Butler,,92-93,,
0:39.0,Minnesota full timeout,,92-93,,
0:26.0,Turnover by J. Butler (bad pass; steal by T. Evans),,92-93,,
0:12.0,Personal take foul by A. Wiggins (drawn by T. Evans),,92-93,,
0:12.0,,,92-94,1,T. Evans makes free throw 1 of 2
0:12.0,,,92-95,1,T. Evans makes free throw 2 of 2
0:12.0,Minnesota full timeout,,92-95,,
0:12.0,J. Crawford enters the game for T. Gibson,,92-95,,
0:01.0,J. Butler misses 3-pt shot from 26 ft,,92-95,,
0:01.0,Offensive rebound by Team,,92-95,,
