time,Dallas,pts.away,score,pts.home,Sacramento
7:48.0,Defensive rebound by D. Harris,,40-41,,
7:46.0,,,40-41,,Personal foul by K. Koufos (drawn by D. Nowitzki)
7:46.0,,,40-41,,J. Sampson enters the game for V. Carter
7:46.0,H. Barnes enters the game for Y. Ferrell,,40-41,,
7:46.0,D. Smith enters the game for D. Nowitzki,,40-41,,
7:33.0,H. Barnes makes 3-pt shot from 25 ft (assist by J. Barea),3,43-41,,
7:14.0,,,43-41,,B. Hield misses 2-pt shot from 18 ft
7:13.0,Defensive rebound by Team,,43-41,,
7:01.0,,,43-41,,Personal foul by G. Temple (drawn by D. Powell)
6:51.0,J. Barea misses 3-pt shot from 25 ft,,43-41,,
6:49.0,,,43-41,,Defensive rebound by K. Koufos
6:37.0,,,43-41,,Offensive foul by J. Sampson (drawn by J. Barea)
6:37.0,,,43-41,,Turnover by J. Sampson (offensive foul)
6:21.0,,,43-41,,Z. Randolph enters the game for K. Koufos
6:21.0,S. Mejri enters the game for D. Powell,,43-41,,
6:13.0,D. Smith misses 2-pt shot from 2 ft,,43-41,,
6:10.0,,,43-41,,Defensive rebound by Z. Randolph
6:05.0,W. Matthews enters the game for D. Harris,,43-41,,
5:55.0,,,43-43,2,Z. Randolph makes 2-pt shot from 3 ft
5:37.0,W. Matthews makes 2-pt shot from 2 ft,2,45-43,,
5:17.0,,,45-43,,G. Temple misses 2-pt shot from 17 ft
5:12.0,Defensive rebound by S. Mejri,,45-43,,
5:00.0,Turnover by J. Barea (bad pass; steal by G. Hill),,45-43,,
4:56.0,,,45-45,2,J. Sampson makes 2-pt shot from 1 ft (assist by G. Hill)
4:48.0,J. Barea makes 3-pt shot from 24 ft (assist by D. Smith),3,48-45,,
4:39.0,Personal foul by J. Barea (drawn by G. Temple),,48-45,,
4:39.0,Y. Ferrell enters the game for J. Barea,,48-45,,
4:27.0,,,48-45,,Z. Randolph misses 2-pt shot from 16 ft
4:24.0,,,48-45,,Offensive rebound by Team
4:24.0,,,48-45,,D. Fox enters the game for G. Hill
4:06.0,,,48-48,3,B. Hield makes 3-pt shot from 24 ft (assist by J. Sampson)
3:56.0,Turnover by D. Smith (bad pass; steal by G. Temple),,48-48,,
3:51.0,,,48-48,,Turnover by B. Hield (bad pass; steal by D. Smith)
3:47.0,Y. Ferrell misses 3-pt shot from 25 ft,,48-48,,
3:47.0,Offensive rebound by Team,,48-48,,
3:47.0,,,48-48,,Loose ball foul by J. Sampson (drawn by S. Mejri)
3:28.0,W. Matthews makes 2-pt shot from 19 ft (assist by S. Mejri),2,50-48,,
3:08.0,,,50-48,,J. Sampson misses 2-pt shot from 7 ft
3:05.0,Defensive rebound by D. Smith,,50-48,,
2:51.0,S. Mejri misses 2-pt shot from 2 ft (block by J. Sampson),,50-48,,
2:46.0,Offensive rebound by S. Mejri,,50-48,,
2:44.0,S. Mejri makes 2-pt shot from 2 ft,2,52-48,,
2:31.0,,,52-48,,Z. Randolph misses 2-pt shot from 12 ft
2:30.0,,,52-48,,Offensive rebound by Team
2:30.0,,,52-48,,Sacramento full timeout
2:20.0,,,52-48,,B. Hield misses 2-pt shot from 3 ft
2:15.0,,,52-48,,Offensive rebound by Z. Randolph
2:15.0,,,52-50,2,Z. Randolph makes 2-pt shot at rim
2:06.0,D. Smith misses 2-pt shot from 1 ft,,52-50,,
2:04.0,Offensive rebound by S. Mejri,,52-50,,
1:58.0,S. Mejri makes 2-pt shot from 3 ft,2,54-50,,
1:36.0,,,54-50,,B. Hield misses 2-pt shot from 8 ft
1:32.0,Defensive rebound by Y. Ferrell,,54-50,,
1:14.0,Y. Ferrell misses 3-pt shot from 25 ft,,54-50,,
1:08.0,Offensive rebound by S. Mejri,,54-50,,
1:07.0,Turnover by S. Mejri (bad pass; steal by B. Hield),,54-50,,
1:04.0,,,54-50,,B. Hield misses 3-pt shot from 23 ft
1:00.0,Defensive rebound by H. Barnes,,54-50,,
0:48.0,H. Barnes misses 3-pt shot from 25 ft,,54-50,,
0:45.0,,,54-50,,Defensive rebound by B. Hield
0:42.0,Personal foul by H. Barnes (drawn by Z. Randolph),,54-50,,
0:39.0,Personal foul by Y. Ferrell (drawn by G. Temple),,54-50,,
0:39.0,,,54-51,1,G. Temple makes free throw 1 of 2
0:39.0,,,54-52,1,G. Temple makes free throw 2 of 2
0:31.0,D. Smith misses 2-pt shot at rim,,54-52,,
0:31.0,Offensive rebound by D. Smith,,54-52,,
0:31.0,D. Smith makes 2-pt shot at rim,2,56-52,,
0:06.0,,,56-54,2,B. Hield makes 2-pt shot from 12 ft (assist by J. Sampson)
0:00.0,D. Smith misses 3-pt shot from 35 ft,,56-54,,
0:00.0,Offensive rebound by Team,,56-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,H. Barnes misses 2-pt shot from 8 ft,,56-54,,
11:40.0,,,56-54,,Defensive rebound by K. Koufos
11:19.0,,,56-56,2,K. Koufos makes 2-pt shot from 11 ft (assist by B. Bogdanovic)
11:04.0,D. Nowitzki misses 3-pt shot from 24 ft,,56-56,,
11:01.0,,,56-56,,Defensive rebound by K. Koufos
10:56.0,,,56-56,,D. Fox misses 3-pt shot from 24 ft
10:53.0,Defensive rebound by D. Powell,,56-56,,
10:51.0,,,56-56,,Personal foul by B. Bogdanovic (drawn by W. Matthews)
10:35.0,W. Matthews misses 2-pt shot from 11 ft (block by W. Cauley-Stein),,56-56,,
10:32.0,,,56-56,,Defensive rebound by K. Koufos
10:26.0,,,56-58,2,W. Cauley-Stein makes 2-pt shot from 18 ft (assist by B. Bogdanovic)
10:00.0,D. Smith misses 3-pt shot from 24 ft,,56-58,,
9:57.0,,,56-58,,Defensive rebound by W. Cauley-Stein
9:42.0,,,56-60,2,W. Cauley-Stein makes 2-pt shot from 9 ft
9:32.0,D. Powell makes 2-pt shot from 1 ft (assist by D. Smith),2,58-60,,
9:14.0,,,58-62,2,J. Jackson makes 2-pt shot from 11 ft
8:57.0,D. Nowitzki misses 3-pt shot from 25 ft,,58-62,,
8:51.0,,,58-62,,Defensive rebound by W. Cauley-Stein
8:42.0,,,58-64,2,K. Koufos makes 2-pt shot from 12 ft (assist by B. Bogdanovic)
8:42.0,Dallas full timeout,,58-64,,
8:17.0,Turnover by W. Matthews (bad pass; steal by W. Cauley-Stein),,58-64,,
8:14.0,,,58-66,2,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by D. Fox)
8:01.0,D. Nowitzki makes 2-pt shot from 19 ft (assist by D. Smith),2,60-66,,
7:47.0,,,60-68,2,D. Fox makes 2-pt shot from 18 ft
7:22.0,D. Smith misses 2-pt shot from 10 ft,,60-68,,
7:20.0,,,60-68,,Defensive rebound by K. Koufos
7:16.0,,,60-68,,B. Bogdanovic misses 3-pt shot from 25 ft
7:11.0,Defensive rebound by D. Smith,,60-68,,
6:54.0,H. Barnes misses 3-pt shot from 23 ft,,60-68,,
6:53.0,Offensive rebound by Team,,60-68,,
6:53.0,J. Barea enters the game for D. Nowitzki,,60-68,,
6:47.0,J. Barea makes 2-pt shot from 1 ft,2,62-68,,
6:30.0,Personal foul by J. Barea (drawn by B. Bogdanovic),,62-68,,
6:30.0,M. Kleber enters the game for D. Powell,,62-68,,
6:25.0,,,62-68,,D. Fox misses 3-pt shot from 25 ft
6:22.0,Defensive rebound by M. Kleber,,62-68,,
6:18.0,D. Smith makes 2-pt shot from 2 ft,2,64-68,,
6:18.0,Shooting foul by W. Cauley-Stein (drawn by D. Smith),,64-68,,
6:18.0,D. Smith makes free throw 1 of 1,1,65-68,,
6:08.0,,,65-71,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by K. Koufos)
5:43.0,W. Matthews makes 3-pt shot from 25 ft (assist by J. Barea),3,68-71,,
5:26.0,Personal foul by M. Kleber (drawn by K. Koufos),,68-71,,
5:26.0,,,68-71,,Z. Randolph enters the game for K. Koufos
5:26.0,S. Mejri enters the game for M. Kleber,,68-71,,
5:16.0,,,68-71,,Turnover by J. Jackson (lost ball; steal by H. Barnes)
4:59.0,J. Barea misses 3-pt shot from 25 ft,,68-71,,
4:57.0,,,68-71,,Defensive rebound by Team
4:45.0,,,68-74,3,Z. Randolph makes 3-pt shot from 25 ft (assist by D. Fox)
4:27.0,H. Barnes makes 2-pt shot from 20 ft,2,70-74,,
4:08.0,,,70-74,,Turnover by Z. Randolph (lost ball; steal by S. Mejri)
4:08.0,,,70-74,,Personal foul by Z. Randolph (drawn by S. Mejri)
3:59.0,D. Smith makes 2-pt shot from 1 ft,2,72-74,,
3:57.0,,,72-74,,Sacramento full timeout
3:43.0,,,72-74,,Turnover by Z. Randolph (out of bounds lost ball)
3:29.0,Turnover by D. Smith (bad pass; steal by J. Jackson),,72-74,,
3:25.0,,,72-74,,Turnover by Z. Randolph (bad pass; steal by W. Matthews)
3:12.0,D. Smith makes 2-pt shot from 1 ft,2,74-74,,
3:01.0,Personal foul by J. Barea (drawn by J. Jackson),,74-74,,
3:01.0,,,74-74,,G. Temple enters the game for J. Jackson
2:52.0,,,74-76,2,G. Temple makes 2-pt shot from 18 ft (assist by W. Cauley-Stein)
2:32.0,J. Barea misses 3-pt shot from 26 ft,,74-76,,
2:29.0,,,74-76,,Defensive rebound by Team
2:14.0,,,74-78,2,Z. Randolph makes 2-pt shot from 3 ft (assist by G. Temple)
2:04.0,D. Smith misses 3-pt shot from 24 ft,,74-78,,
2:04.0,Offensive rebound by Team,,74-78,,
2:04.0,,,74-78,,Loose ball foul by Z. Randolph (drawn by S. Mejri)
2:04.0,D. Harris enters the game for D. Smith,,74-78,,
2:04.0,Y. Ferrell enters the game for W. Matthews,,74-78,,
2:04.0,D. Nowitzki enters the game for H. Barnes,,74-78,,
2:04.0,D. Powell enters the game for S. Mejri,,74-78,,
2:04.0,,,74-78,,V. Carter enters the game for W. Cauley-Stein
1:58.0,D. Powell makes 2-pt shot from 1 ft (assist by J. Barea),2,76-78,,
1:58.0,Shooting foul by D. Fox (drawn by D. Powell),,76-78,,
1:58.0,D. Powell makes free throw 1 of 1,1,77-78,,
1:41.0,,,77-80,2,D. Fox makes 2-pt shot from 23 ft (assist by Z. Randolph)
1:25.0,D. Powell makes 2-pt shot from 2 ft (assist by J. Barea),2,79-80,,
1:04.0,,,79-82,2,B. Bogdanovic makes 2-pt shot from 2 ft
0:48.0,Turnover by J. Barea (bad pass; steal by D. Fox),,79-82,,
0:40.0,,,79-85,3,G. Temple makes 3-pt shot from 22 ft (assist by Z. Randolph)
0:35.0,D. Harris misses 3-pt shot from 26 ft,,79-85,,
0:31.0,,,79-85,,Defensive rebound by Z. Randolph
0:17.0,Personal foul by Y. Ferrell (drawn by B. Bogdanovic),,79-85,,
0:06.0,,,79-85,,G. Temple misses 3-pt shot from 23 ft
0:05.0,Defensive rebound by Team,,79-85,,
0:05.0,,,79-85,,Loose ball foul by Z. Randolph (drawn by D. Nowitzki)
0:05.0,D. Nowitzki makes free throw 1 of 2,1,80-85,,
0:05.0,D. Nowitzki makes free throw 2 of 2,1,81-85,,
0:05.0,,,81-85,,Personal foul by G. Temple (drawn by D. Harris)
0:05.0,,,81-85,,Turnover by G. Temple (turnover)
0:00.0,J. Barea misses 3-pt shot from 24 ft,,81-85,,
0:00.0,Offensive rebound by Team,,81-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,81-85,,Z. Randolph misses 3-pt shot from 25 ft
11:41.0,Defensive rebound by D. Powell,,81-85,,
11:31.0,Y. Ferrell makes 3-pt shot from 24 ft (assist by J. Barea),3,84-85,,
11:19.0,,,84-85,,V. Carter misses 3-pt shot from 25 ft
11:14.0,,,84-85,,Offensive rebound by Z. Randolph
10:56.0,,,84-85,,V. Carter misses 3-pt shot from 26 ft
10:52.0,Defensive rebound by J. Barea,,84-85,,
10:38.0,Y. Ferrell makes 3-pt shot from 22 ft (assist by J. Barea),3,87-85,,
10:38.0,,,87-85,,Sacramento full timeout
10:38.0,,,87-85,,W. Cauley-Stein enters the game for Z. Randolph
10:20.0,,,87-85,,Turnover by B. Hield (out of bounds lost ball)
10:00.0,J. Barea misses 2-pt shot from 2 ft,,87-85,,
9:58.0,,,87-85,,Defensive rebound by G. Temple
9:41.0,,,87-85,,Turnover by G. Hill (bad pass; steal by D. Harris)
9:38.0,D. Harris makes 2-pt shot from 1 ft,2,89-85,,
9:22.0,,,89-85,,B. Hield misses 2-pt shot from 19 ft
9:19.0,Defensive rebound by D. Nowitzki,,89-85,,
9:07.0,D. Nowitzki misses 3-pt shot from 25 ft,,89-85,,
9:04.0,,,89-85,,Defensive rebound by W. Cauley-Stein
8:57.0,,,89-85,,G. Temple misses 2-pt shot from 15 ft
8:53.0,Defensive rebound by D. Powell,,89-85,,
8:47.0,D. Harris makes 2-pt shot from 1 ft (assist by J. Barea),2,91-85,,
8:21.0,,,91-85,,B. Hield misses 2-pt shot from 16 ft
8:17.0,Defensive rebound by D. Harris,,91-85,,
8:12.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by D. Harris),3,94-85,,
8:11.0,,,94-85,,Sacramento full timeout
8:11.0,,,94-85,,J. Jackson enters the game for G. Hill
8:11.0,,,94-85,,D. Fox enters the game for V. Carter
7:56.0,,,94-85,,J. Jackson misses 3-pt shot from 24 ft
7:51.0,Defensive rebound by D. Harris,,94-85,,
7:34.0,D. Powell misses 2-pt shot from 4 ft (block by B. Hield),,94-85,,
7:31.0,,,94-85,,Defensive rebound by D. Fox
7:27.0,,,94-85,,J. Jackson misses 3-pt shot from 23 ft
7:26.0,Defensive rebound by D. Nowitzki,,94-85,,
7:00.0,J. Barea misses 3-pt shot from 27 ft,,94-85,,
6:57.0,Offensive rebound by D. Powell,,94-85,,
6:52.0,D. Harris makes 3-pt shot from 25 ft (assist by D. Powell),3,97-85,,
6:41.0,,,97-85,,B. Hield misses 3-pt shot from 28 ft
6:37.0,Defensive rebound by D. Powell,,97-85,,
6:31.0,Dallas full timeout,,97-85,,
6:31.0,H. Barnes enters the game for D. Nowitzki,,97-85,,
6:22.0,H. Barnes misses 3-pt shot from 22 ft,,97-85,,
6:18.0,,,97-85,,Defensive rebound by J. Jackson
6:08.0,,,97-87,2,D. Fox makes 2-pt shot from 13 ft
5:59.0,Shooting foul by W. Cauley-Stein (drawn by D. Powell),,97-87,,
5:59.0,D. Powell makes free throw 1 of 2,1,98-87,,
5:59.0,D. Smith enters the game for D. Harris,,98-87,,
5:59.0,D. Powell makes free throw 2 of 2,1,99-87,,
5:49.0,,,99-87,,Turnover by D. Fox (traveling)
5:42.0,J. Barea misses 3-pt shot from 27 ft,,99-87,,
5:39.0,,,99-87,,Defensive rebound by B. Hield
5:36.0,Personal foul by D. Smith (drawn by D. Fox),,99-87,,
5:36.0,,,99-87,,B. Bogdanovic enters the game for B. Hield
5:36.0,W. Matthews enters the game for J. Barea,,99-87,,
5:30.0,,,99-89,2,D. Fox makes 2-pt shot from 17 ft
5:06.0,W. Matthews misses 3-pt shot from 23 ft,,99-89,,
5:01.0,Offensive rebound by D. Powell,,99-89,,
4:52.0,D. Smith misses 2-pt shot from 3 ft,,99-89,,
4:49.0,,,99-89,,Defensive rebound by W. Cauley-Stein
4:41.0,,,99-89,,D. Fox misses 2-pt shot from 8 ft
4:38.0,Defensive rebound by H. Barnes,,99-89,,
4:28.0,,,99-89,,Personal foul by D. Fox (drawn by Y. Ferrell)
4:15.0,Turnover by D. Smith (lost ball; steal by G. Temple),,99-89,,
4:10.0,,,99-91,2,D. Fox makes 2-pt shot from 1 ft
3:44.0,D. Smith misses 3-pt shot from 28 ft,,99-91,,
3:41.0,,,99-91,,Defensive rebound by W. Cauley-Stein
3:35.0,Personal foul by D. Powell (drawn by D. Fox),,99-91,,
3:35.0,Dallas full timeout,,99-91,,
3:26.0,,,99-91,,Turnover by D. Fox (bad pass; steal by W. Matthews)
3:25.0,Shooting foul by D. Fox (drawn by D. Smith),,99-91,,
3:25.0,D. Smith makes free throw 1 of 2,1,100-91,,
3:25.0,D. Smith misses free throw 2 of 2,,100-91,,
3:21.0,,,100-91,,Defensive rebound by J. Jackson
3:10.0,,,100-93,2,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by D. Fox)
2:52.0,Turnover by D. Powell (lost ball; steal by W. Cauley-Stein),,100-93,,
2:45.0,,,100-93,,Shooting foul by D. Smith (drawn by D. Fox)
2:45.0,,,100-94,1,D. Fox makes free throw 1 of 2
2:45.0,D. Nowitzki enters the game for D. Powell,,100-94,,
2:45.0,,,100-94,,D. Fox misses free throw 2 of 2
2:43.0,,,100-94,,Offensive rebound by B. Bogdanovic
2:36.0,,,100-94,,D. Fox misses 2-pt shot from 2 ft
2:30.0,Defensive rebound by D. Nowitzki,,100-94,,
2:25.0,Turnover by D. Smith (bad pass; steal by D. Fox),,100-94,,
2:18.0,Personal foul by H. Barnes (drawn by J. Jackson),,100-94,,
2:10.0,,,100-94,,G. Temple misses 3-pt shot from 25 ft
2:07.0,Defensive rebound by D. Smith,,100-94,,
2:04.0,H. Barnes makes 2-pt shot from 1 ft (assist by D. Smith),2,102-94,,
1:48.0,,,102-94,,W. Cauley-Stein misses 2-pt shot from 5 ft
1:48.0,Defensive rebound by D. Nowitzki,,102-94,,
1:44.0,,,102-94,,Personal foul by W. Cauley-Stein (drawn by Y. Ferrell)
1:32.0,H. Barnes misses 3-pt shot from 22 ft,,102-94,,
1:32.0,Offensive rebound by Y. Ferrell,,102-94,,
1:27.0,H. Barnes makes 2-pt shot at rim (assist by Y. Ferrell),2,104-94,,
1:27.0,,,104-94,,Sacramento full timeout
1:27.0,D. Powell enters the game for D. Nowitzki,,104-94,,
1:24.0,Personal foul by D. Smith (drawn by B. Bogdanovic),,104-94,,
1:24.0,,,104-95,1,B. Bogdanovic makes free throw 1 of 2
1:24.0,,,104-96,1,B. Bogdanovic makes free throw 2 of 2
1:00.0,Turnover by H. Barnes (lost ball; steal by D. Fox),,104-96,,
0:57.0,,,104-96,,W. Cauley-Stein misses 2-pt shot from 3 ft
0:55.0,Defensive rebound by Y. Ferrell,,104-96,,
0:52.0,,,104-96,,Personal foul by G. Temple (drawn by D. Smith)
0:52.0,D. Smith misses free throw 1 of 2,,104-96,,
0:52.0,Offensive rebound by Team,,104-96,,
0:52.0,,,104-96,,B. Hield enters the game for J. Jackson
0:52.0,D. Smith makes free throw 2 of 2,1,105-96,,
0:47.0,,,105-96,,D. Fox misses 2-pt shot from 4 ft
0:45.0,,,105-96,,Offensive rebound by Team
0:42.0,,,105-96,,B. Hield misses 3-pt shot from 23 ft
0:40.0,Defensive rebound by D. Smith,,105-96,,
0:40.0,,,105-96,,Personal foul by B. Hield (drawn by D. Smith)
0:40.0,D. Smith misses free throw 1 of 2,,105-96,,
0:40.0,Offensive rebound by Team,,105-96,,
0:40.0,D. Smith makes free throw 2 of 2,1,106-96,,
0:34.0,,,106-96,,D. Fox misses 3-pt shot from 26 ft
0:28.0,Defensive rebound by D. Powell,,106-96,,
0:08.0,Turnover by Team (shot clock),,106-96,,
0:00.0,,,106-99,3,B. Hield makes 3-pt shot from 25 ft (assist by B. Bogdanovic)
