time,Orlando,pts.away,score,pts.home,Minnesota
7:24.0,,,10-11,,Turnover by J. Butler (bad pass; steal by A. Gordon)
7:21.0,Turnover by A. Gordon (step out of bounds),,10-11,,
7:04.0,,,10-13,2,T. Gibson makes 2-pt shot from 2 ft (assist by J. Butler)
6:49.0,A. Gordon makes 2-pt shot from 1 ft (assist by E. Payton),2,12-13,,
6:39.0,,,12-15,2,J. Teague makes 2-pt shot at rim
6:30.0,A. Gordon makes 2-pt shot from 1 ft (assist by E. Payton),2,14-15,,
6:20.0,,,14-15,,J. Butler misses 2-pt shot from 1 ft
6:19.0,Defensive rebound by N. Vucevic,,14-15,,
6:13.0,N. Vucevic makes 3-pt shot from 25 ft (assist by E. Payton),3,17-15,,
5:53.0,,,17-17,2,A. Wiggins makes 2-pt shot from 1 ft
5:38.0,T. Ross makes 2-pt shot at rim (assist by E. Payton),2,19-17,,
5:32.0,,,19-17,,Turnover by K. Towns (traveling)
5:32.0,,,19-17,,Minnesota full timeout
5:20.0,E. Payton misses 3-pt shot from 25 ft,,19-17,,
5:16.0,,,19-17,,Defensive rebound by K. Towns
5:05.0,,,19-19,2,J. Butler makes 2-pt shot from 10 ft (assist by A. Wiggins)
4:53.0,Shooting foul by T. Gibson (drawn by A. Gordon),,19-19,,
4:53.0,A. Gordon makes free throw 1 of 3,1,20-19,,
4:53.0,A. Gordon misses free throw 2 of 3,,20-19,,
4:53.0,Offensive rebound by Team,,20-19,,
4:53.0,J. Simmons enters the game for T. Ross,,20-19,,
4:53.0,A. Gordon makes free throw 3 of 3,1,21-19,,
4:38.0,,,21-22,3,J. Teague makes 3-pt shot from 24 ft (assist by T. Gibson)
4:17.0,A. Gordon makes 2-pt shot from 1 ft (assist by E. Payton),2,23-22,,
4:00.0,,,23-22,,A. Wiggins misses 3-pt shot from 24 ft
3:58.0,Defensive rebound by A. Gordon,,23-22,,
3:52.0,N. Vucevic makes 2-pt shot at rim (assist by A. Gordon),2,25-22,,
3:46.0,,,25-22,,Minnesota full timeout
3:46.0,,,25-22,,G. Dieng enters the game for K. Towns
3:32.0,,,25-24,2,T. Gibson makes 2-pt shot from 2 ft (assist by J. Teague)
3:13.0,N. Vucevic misses 2-pt shot from 20 ft,,25-24,,
3:12.0,,,25-24,,Defensive rebound by J. Teague
2:58.0,Personal foul by E. Fournier (drawn by A. Wiggins),,25-24,,
2:58.0,D. Augustin enters the game for E. Payton,,25-24,,
2:48.0,,,25-24,,J. Butler misses 2-pt shot from 10 ft
2:45.0,Defensive rebound by N. Vucevic,,25-24,,
2:44.0,Turnover by N. Vucevic (bad pass; steal by J. Butler),,25-24,,
2:39.0,,,25-26,2,J. Butler makes 2-pt shot from 7 ft
2:30.0,Shooting foul by G. Dieng (drawn by J. Simmons),,25-26,,
2:30.0,J. Simmons misses free throw 1 of 2,,25-26,,
2:30.0,Offensive rebound by Team,,25-26,,
2:30.0,,,25-26,,T. Jones enters the game for J. Teague
2:30.0,,,25-26,,J. Crawford enters the game for J. Butler
2:30.0,,,25-26,,N. Bjelica enters the game for T. Gibson
2:30.0,B. Biyombo enters the game for N. Vucevic,,25-26,,
2:30.0,J. Simmons misses free throw 2 of 2,,25-26,,
2:27.0,Offensive rebound by A. Gordon,,25-26,,
2:25.0,J. Simmons makes 2-pt shot from 10 ft (assist by A. Gordon),2,27-26,,
2:03.0,,,27-26,,G. Dieng misses 3-pt shot from 22 ft
1:58.0,Defensive rebound by A. Gordon,,27-26,,
1:54.0,A. Gordon misses 3-pt shot from 25 ft,,27-26,,
1:48.0,,,27-26,,Defensive rebound by T. Jones
1:47.0,,,27-26,,Shooting foul by A. Gordon (drawn by G. Dieng)
1:47.0,,,27-26,,G. Dieng misses free throw 1 of 2
1:47.0,,,27-26,,Offensive rebound by Team
1:47.0,A. Afflalo enters the game for A. Gordon,,27-26,,
1:47.0,M. Speights enters the game for E. Fournier,,27-26,,
1:47.0,,,27-27,1,G. Dieng makes free throw 2 of 2
1:38.0,B. Biyombo makes 2-pt shot from 1 ft (assist by J. Simmons),2,29-27,,
1:23.0,,,29-27,,G. Dieng misses 2-pt shot from 7 ft
1:20.0,Defensive rebound by A. Afflalo,,29-27,,
1:10.0,M. Speights makes 3-pt shot from 25 ft (assist by D. Augustin),3,32-27,,
0:54.0,,,32-30,3,J. Crawford makes 3-pt shot from 24 ft (assist by T. Jones)
0:36.0,M. Speights makes 3-pt shot from 25 ft (assist by J. Simmons),3,35-30,,
0:28.0,,,35-30,,J. Crawford misses 2-pt shot from 20 ft (block by A. Afflalo)
0:25.0,Defensive rebound by A. Afflalo,,35-30,,
0:06.0,J. Simmons misses 2-pt shot from 17 ft,,35-30,,
0:03.0,,,35-30,,Defensive rebound by T. Jones
0:00.0,,,35-30,,T. Jones misses 3-pt shot from 25 ft
0:00.0,,,35-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,35-30,,N. Bjelica misses 3-pt shot from 24 ft
11:45.0,Defensive rebound by D. Augustin,,35-30,,
11:22.0,J. Simmons misses 3-pt shot from 28 ft,,35-30,,
11:21.0,Offensive rebound by Team,,35-30,,
11:21.0,,,35-30,,Loose ball foul by N. Bjelica (drawn by M. Speights)
11:07.0,D. Augustin misses 2-pt shot from 8 ft,,35-30,,
11:04.0,,,35-30,,Defensive rebound by T. Jones
11:02.0,,,35-30,,Shooting foul by M. Speights (drawn by S. Muhammad)
11:02.0,,,35-31,1,S. Muhammad makes free throw 1 of 2
11:02.0,,,35-32,1,S. Muhammad makes free throw 2 of 2
10:44.0,J. Simmons misses 3-pt shot from 22 ft,,35-32,,
10:40.0,Offensive rebound by B. Biyombo,,35-32,,
10:38.0,Turnover by B. Biyombo (bad pass; steal by N. Bjelica),,35-32,,
10:34.0,,,35-32,,J. Crawford misses 2-pt shot from 2 ft (block by B. Biyombo)
10:32.0,Defensive rebound by B. Biyombo,,35-32,,
10:28.0,M. Speights misses 3-pt shot from 25 ft,,35-32,,
10:28.0,Offensive rebound by J. Simmons,,35-32,,
10:23.0,J. Simmons makes 2-pt shot at rim,2,37-32,,
10:05.0,,,37-32,,N. Bjelica misses 2-pt shot from 18 ft
10:03.0,Defensive rebound by J. Simmons,,37-32,,
9:57.0,,,37-32,,Personal foul by J. Crawford (drawn by A. Afflalo)
9:57.0,,,37-32,,K. Towns enters the game for G. Dieng
9:46.0,B. Biyombo makes 2-pt shot at rim (assist by D. Augustin),2,39-32,,
9:29.0,,,39-32,,J. Crawford misses 3-pt shot from 24 ft
9:25.0,Defensive rebound by D. Augustin,,39-32,,
9:17.0,M. Speights misses 2-pt shot from 6 ft,,39-32,,
9:11.0,,,39-32,,Defensive rebound by J. Crawford
9:10.0,,,39-32,,Shooting foul by A. Afflalo (drawn by S. Muhammad)
9:10.0,,,39-33,1,S. Muhammad makes free throw 1 of 2
9:10.0,,,39-33,,T. Gibson enters the game for N. Bjelica
9:10.0,,,39-34,1,S. Muhammad makes free throw 2 of 2
8:58.0,J. Simmons misses 2-pt shot from 15 ft,,39-34,,
8:54.0,,,39-34,,Defensive rebound by T. Gibson
8:50.0,,,39-36,2,J. Crawford makes 2-pt shot from 17 ft
8:50.0,,,39-36,,Shooting foul by B. Biyombo (drawn by J. Crawford)
8:50.0,,,39-37,1,J. Crawford makes free throw 1 of 1
8:42.0,D. Augustin makes 2-pt shot from 8 ft,2,41-37,,
8:42.0,Shooting foul by T. Jones (drawn by D. Augustin),,41-37,,
8:42.0,,,41-37,,J. Teague enters the game for T. Jones
8:42.0,D. Augustin makes free throw 1 of 1,1,42-37,,
8:31.0,,,42-37,,J. Crawford misses 2-pt shot from 17 ft
8:28.0,Defensive rebound by B. Biyombo,,42-37,,
8:09.0,A. Afflalo makes 3-pt shot from 24 ft (assist by M. Speights),3,45-37,,
7:54.0,Personal foul by A. Afflalo (drawn by J. Teague),,45-37,,
7:54.0,,,45-37,,J. Butler enters the game for J. Crawford
7:39.0,,,45-37,,Turnover by Team (shot clock)
7:27.0,Turnover by M. Speights (traveling),,45-37,,
7:27.0,,,45-37,,A. Wiggins enters the game for S. Muhammad
7:17.0,,,45-39,2,J. Teague makes 2-pt shot from 13 ft
7:01.0,Turnover by B. Biyombo (traveling),,45-39,,
6:48.0,,,45-41,2,J. Butler makes 2-pt shot from 1 ft (assist by J. Teague)
6:47.0,Orlando full timeout,,45-41,,
6:47.0,T. Ross enters the game for A. Afflalo,,45-41,,
6:47.0,N. Vucevic enters the game for B. Biyombo,,45-41,,
6:32.0,M. Speights misses 2-pt shot from 1 ft,,45-41,,
6:29.0,,,45-41,,Defensive rebound by J. Teague
6:27.0,,,45-41,,Shooting foul by D. Augustin (drawn by J. Teague)
6:27.0,,,45-42,1,J. Teague makes free throw 1 of 2
6:27.0,E. Payton enters the game for M. Speights,,45-42,,
6:27.0,A. Gordon enters the game for D. Augustin,,45-42,,
6:27.0,E. Fournier enters the game for J. Simmons,,45-42,,
6:27.0,,,45-43,1,J. Teague makes free throw 2 of 2
6:05.0,N. Vucevic misses 2-pt shot from 13 ft,,45-43,,
6:04.0,Offensive rebound by Team,,45-43,,
6:04.0,Turnover by Team (shot clock),,45-43,,
5:47.0,,,45-43,,J. Butler misses 2-pt shot from 10 ft
5:47.0,Defensive rebound by N. Vucevic,,45-43,,
5:38.0,T. Ross misses 3-pt shot from 26 ft,,45-43,,
5:38.0,,,45-43,,Defensive rebound by K. Towns
5:30.0,,,45-45,2,T. Gibson makes 2-pt shot from 1 ft (assist by J. Teague)
5:15.0,A. Gordon makes 3-pt shot from 22 ft (assist by E. Payton),3,48-45,,
4:57.0,,,48-45,,K. Towns misses 3-pt shot from 24 ft
4:54.0,Defensive rebound by N. Vucevic,,48-45,,
4:49.0,A. Gordon makes 2-pt shot from 2 ft (assist by E. Payton),2,50-45,,
4:35.0,,,50-45,,J. Teague misses 2-pt shot from 6 ft
4:33.0,,,50-45,,Offensive rebound by K. Towns
4:33.0,,,50-47,2,K. Towns makes 2-pt shot from 1 ft
4:17.0,E. Fournier makes 2-pt shot from 23 ft,2,52-47,,
3:59.0,,,52-49,2,J. Teague makes 2-pt shot from 3 ft
3:42.0,N. Vucevic misses 2-pt shot from 5 ft,,52-49,,
3:40.0,,,52-49,,Defensive rebound by J. Butler
3:36.0,,,52-49,,Shooting foul by E. Payton (drawn by J. Butler)
3:36.0,,,52-50,1,J. Butler makes free throw 1 of 2
3:36.0,,,52-51,1,J. Butler makes free throw 2 of 2
3:26.0,Shooting foul by K. Towns (drawn by E. Fournier),,52-51,,
3:26.0,E. Fournier makes free throw 1 of 2,1,53-51,,
3:26.0,E. Fournier makes free throw 2 of 2,1,54-51,,
3:16.0,,,54-51,,A. Wiggins misses 2-pt shot from 12 ft
3:14.0,Defensive rebound by A. Gordon,,54-51,,
3:06.0,Turnover by N. Vucevic (bad pass; steal by J. Teague),,54-51,,
3:00.0,,,54-53,2,A. Wiggins makes 2-pt shot from 2 ft (assist by J. Teague)
2:53.0,T. Ross makes 3-pt shot from 25 ft (assist by E. Payton),3,57-53,,
2:32.0,,,57-53,,A. Wiggins misses 2-pt shot from 16 ft
2:31.0,Defensive rebound by T. Ross,,57-53,,
2:22.0,Turnover by E. Payton (bad pass; steal by T. Gibson),,57-53,,
2:17.0,,,57-55,2,J. Butler makes 2-pt shot from 1 ft (assist by J. Teague)
2:05.0,E. Payton misses 2-pt shot from 2 ft (block by J. Teague),,57-55,,
2:05.0,Offensive rebound by Team,,57-55,,
2:05.0,,,57-55,,Minnesota full timeout
2:00.0,E. Fournier misses 2-pt shot from 1 ft,,57-55,,
1:56.0,,,57-55,,Defensive rebound by K. Towns
1:36.0,,,57-57,2,J. Butler makes 2-pt shot from 15 ft (assist by J. Teague)
1:23.0,E. Fournier misses 3-pt shot from 23 ft,,57-57,,
1:20.0,,,57-57,,Defensive rebound by K. Towns
1:13.0,,,57-60,3,K. Towns makes 3-pt shot from 24 ft (assist by J. Butler)
1:02.0,Turnover by N. Vucevic (lost ball; steal by J. Butler),,57-60,,
1:00.0,,,57-62,2,J. Butler makes 2-pt shot from 1 ft
0:51.0,,,57-62,,Personal foul by K. Towns (drawn by E. Fournier)
0:51.0,E. Fournier makes free throw 1 of 2,1,58-62,,
0:51.0,J. Simmons enters the game for E. Payton,,58-62,,
0:51.0,E. Fournier makes free throw 2 of 2,1,59-62,,
0:38.0,,,59-64,2,T. Gibson makes 2-pt shot from 6 ft (assist by K. Towns)
0:27.0,J. Simmons makes 3-pt shot from 22 ft (assist by N. Vucevic),3,62-64,,
0:04.0,,,62-64,,Shooting foul by N. Vucevic (drawn by T. Gibson)
0:04.0,,,62-65,1,T. Gibson makes free throw 1 of 2
0:04.0,M. Speights enters the game for N. Vucevic,,62-65,,
0:04.0,,,62-65,,T. Gibson misses free throw 2 of 2
0:02.0,Defensive rebound by A. Gordon,,62-65,,
0:00.0,A. Gordon misses 3-pt shot from 30 ft,,62-65,,
0:00.0,Offensive rebound by Team,,62-65,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,62-65,,K. Towns misses 2-pt shot from 5 ft
11:44.0,Defensive rebound by E. Payton,,62-65,,
11:39.0,T. Ross makes 3-pt shot from 24 ft (assist by E. Payton),3,65-65,,
11:11.0,,,65-68,3,K. Towns makes 3-pt shot from 22 ft (assist by J. Teague)
10:51.0,N. Vucevic misses 3-pt shot from 24 ft,,65-68,,
10:47.0,,,65-68,,Defensive rebound by T. Gibson
10:38.0,,,65-68,,Shooting foul by A. Gordon (drawn by T. Gibson)
10:38.0,,,65-69,1,T. Gibson makes free throw 1 of 2
10:38.0,,,65-70,1,T. Gibson makes free throw 2 of 2
10:24.0,Turnover by N. Vucevic (lost ball; steal by J. Teague),,65-70,,
10:22.0,,,65-72,2,J. Teague makes 2-pt shot from 2 ft
10:22.0,Violation by A. Gordon (def goaltending),,65-72,,
10:10.0,E. Fournier makes 2-pt shot from 5 ft,2,67-72,,
9:56.0,,,67-75,3,J. Butler makes 3-pt shot from 25 ft (assist by T. Gibson)
9:56.0,,,67-75,,Shooting foul by E. Fournier (drawn by J. Butler)
9:56.0,,,67-76,1,J. Butler makes free throw 1 of 1
9:47.0,Shooting foul by J. Butler (drawn by E. Fournier),,67-76,,
9:47.0,E. Fournier makes free throw 1 of 2,1,68-76,,
9:47.0,E. Fournier makes free throw 2 of 2,1,69-76,,
9:36.0,,,69-76,,T. Gibson misses 2-pt shot from 3 ft (block by N. Vucevic)
9:32.0,Defensive rebound by E. Payton,,69-76,,
9:28.0,T. Ross misses 2-pt shot from 9 ft,,69-76,,
9:23.0,,,69-76,,Defensive rebound by J. Butler
9:15.0,,,69-78,2,K. Towns makes 2-pt shot from 1 ft (assist by J. Butler)
9:01.0,A. Gordon makes 2-pt shot at rim (assist by N. Vucevic),2,71-78,,
8:50.0,,,71-78,,Shooting foul by A. Gordon (drawn by T. Gibson)
8:50.0,,,71-79,1,T. Gibson makes free throw 1 of 2
8:50.0,Orlando full timeout,,71-79,,
8:50.0,,,71-79,,T. Gibson misses free throw 2 of 2
8:47.0,Defensive rebound by A. Gordon,,71-79,,
8:32.0,N. Vucevic misses 2-pt shot from 10 ft,,71-79,,
8:30.0,,,71-79,,Defensive rebound by T. Gibson
8:18.0,,,71-79,,Turnover by A. Wiggins (traveling)
8:10.0,E. Fournier misses 3-pt shot from 24 ft,,71-79,,
8:06.0,,,71-79,,Defensive rebound by J. Teague
8:04.0,Personal foul by E. Fournier (drawn by A. Wiggins),,71-79,,
7:54.0,,,71-81,2,A. Wiggins makes 2-pt shot from 17 ft
7:43.0,N. Vucevic misses 3-pt shot from 24 ft,,71-81,,
7:42.0,,,71-81,,Defensive rebound by Team
7:25.0,,,71-84,3,J. Butler makes 3-pt shot from 26 ft (assist by J. Teague)
7:24.0,Orlando full timeout,,71-84,,
7:10.0,N. Vucevic misses 2-pt shot from 13 ft,,71-84,,
7:07.0,,,71-84,,Defensive rebound by T. Gibson
6:45.0,,,71-86,2,A. Wiggins makes 2-pt shot from 18 ft (assist by J. Teague)
6:39.0,Shooting foul by J. Teague (drawn by E. Payton),,71-86,,
6:39.0,E. Payton misses free throw 1 of 2,,71-86,,
6:39.0,Offensive rebound by Team,,71-86,,
6:39.0,B. Biyombo enters the game for E. Fournier,,71-86,,
6:39.0,J. Simmons enters the game for N. Vucevic,,71-86,,
6:39.0,E. Payton misses free throw 2 of 2,,71-86,,
6:36.0,Offensive rebound by A. Gordon,,71-86,,
6:31.0,E. Payton misses 3-pt shot from 25 ft,,71-86,,
6:28.0,Offensive rebound by A. Gordon,,71-86,,
6:25.0,A. Gordon makes 2-pt shot from 1 ft,2,73-86,,
6:07.0,,,73-86,,K. Towns misses 2-pt shot from 7 ft
6:05.0,Defensive rebound by T. Ross,,73-86,,
5:57.0,Turnover by T. Ross (bad pass; steal by T. Gibson),,73-86,,
5:50.0,,,73-86,,A. Wiggins misses 3-pt shot from 25 ft
5:47.0,,,73-86,,Offensive rebound by K. Towns
5:45.0,,,73-86,,Offensive foul by A. Wiggins (drawn by A. Gordon)
5:45.0,,,73-86,,Turnover by A. Wiggins (offensive foul)
5:26.0,A. Gordon misses 3-pt shot from 22 ft,,73-86,,
5:22.0,,,73-86,,Defensive rebound by T. Gibson
5:15.0,,,73-86,,Turnover by K. Towns (lost ball; steal by E. Payton)
5:14.0,,,73-86,,Violation by K. Towns (kicked ball)
4:57.0,J. Simmons makes 2-pt shot from 13 ft,2,75-86,,
4:34.0,,,75-86,,J. Butler misses 2-pt shot from 8 ft
4:29.0,,,75-86,,Offensive rebound by K. Towns
4:29.0,,,75-88,2,K. Towns makes 2-pt shot at rim
4:16.0,A. Gordon misses 2-pt shot from 21 ft,,75-88,,
4:14.0,,,75-88,,Defensive rebound by K. Towns
3:56.0,,,75-90,2,T. Gibson makes 2-pt shot from 1 ft (assist by A. Wiggins)
3:56.0,Orlando full timeout,,75-90,,
3:56.0,A. Afflalo enters the game for A. Gordon,,75-90,,
3:56.0,M. Speights enters the game for E. Payton,,75-90,,
3:56.0,D. Augustin enters the game for T. Ross,,75-90,,
3:47.0,,,75-90,,Personal foul by T. Gibson (drawn by M. Speights)
3:37.0,M. Speights makes 2-pt shot from 13 ft,2,77-90,,
3:17.0,,,77-90,,Shooting foul by A. Afflalo (drawn by A. Wiggins)
3:17.0,,,77-91,1,A. Wiggins makes free throw 1 of 2
3:17.0,,,77-91,,G. Dieng enters the game for K. Towns
3:17.0,,,77-92,1,A. Wiggins makes free throw 2 of 2
3:09.0,D. Augustin makes 3-pt shot from 24 ft,3,80-92,,
2:57.0,Personal block foul by M. Speights (drawn by J. Teague),,80-92,,
2:57.0,,,80-93,1,J. Teague makes free throw 1 of 2
2:57.0,,,80-94,1,J. Teague makes free throw 2 of 2
2:48.0,M. Speights misses 3-pt shot from 24 ft,,80-94,,
2:44.0,,,80-94,,Defensive rebound by A. Wiggins
2:36.0,Personal foul by D. Augustin (drawn by J. Teague),,80-94,,
2:36.0,,,80-95,1,J. Teague makes free throw 1 of 2
2:36.0,,,80-95,,J. Crawford enters the game for J. Butler
2:36.0,,,80-96,1,J. Teague makes free throw 2 of 2
2:21.0,,,80-96,,Personal foul by G. Dieng (drawn by D. Augustin)
2:21.0,,,80-96,,T. Jones enters the game for J. Teague
2:10.0,B. Biyombo misses 2-pt shot from 2 ft,,80-96,,
2:08.0,,,80-96,,Defensive rebound by G. Dieng
1:54.0,,,80-99,3,A. Wiggins makes 3-pt shot from 25 ft (assist by J. Crawford)
1:33.0,Turnover by J. Simmons (bad pass; steal by A. Wiggins),,80-99,,
1:29.0,,,80-99,,Shooting foul by M. Speights (drawn by T. Gibson)
1:29.0,,,80-100,1,T. Gibson makes free throw 1 of 2
1:29.0,,,80-101,1,T. Gibson makes free throw 2 of 2
1:11.0,Turnover by A. Afflalo (lost ball; steal by J. Crawford),,80-101,,
0:57.0,,,80-101,,A. Wiggins misses 3-pt shot from 23 ft
0:55.0,Defensive rebound by J. Simmons,,80-101,,
0:43.0,Offensive charge foul by J. Simmons (drawn by G. Dieng),,80-101,,
0:43.0,Turnover by J. Simmons (offensive foul),,80-101,,
0:34.0,,,80-101,,Turnover by J. Crawford (bad pass; steal by J. Simmons)
0:29.0,J. Simmons misses 2-pt shot from 3 ft (block by A. Wiggins),,80-101,,
0:25.0,,,80-101,,Defensive rebound by A. Wiggins
0:23.0,,,80-101,,J. Crawford misses 3-pt shot from 26 ft
0:23.0,,,80-101,,Offensive rebound by A. Wiggins
0:20.0,,,80-103,2,A. Wiggins makes 2-pt shot from 2 ft
0:20.0,,,80-103,,Shooting foul by B. Biyombo (drawn by A. Wiggins)
0:20.0,,,80-103,,A. Wiggins misses free throw 1 of 1
0:18.0,,,80-103,,Offensive rebound by T. Gibson
0:04.0,,,80-105,2,J. Crawford makes 2-pt shot from 4 ft
0:04.0,,,80-105,,Shooting foul by A. Afflalo (drawn by J. Crawford)
0:04.0,E. Fournier enters the game for A. Afflalo,,80-105,,
0:04.0,,,80-106,1,J. Crawford makes free throw 1 of 1
0:00.0,M. Speights misses 3-pt shot from 27 ft,,80-106,,
0:00.0,Offensive rebound by Team,,80-106,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,A. Gordon makes 2-pt shot from 1 ft (assist by N. Vucevic),2,82-106,,
11:21.0,,,82-106,,J. Crawford misses 2-pt shot from 7 ft
11:18.0,,,82-106,,Offensive rebound by G. Dieng
11:17.0,,,82-106,,T. Jones misses 3-pt shot from 22 ft
11:17.0,Defensive rebound by N. Vucevic,,82-106,,
10:54.0,A. Gordon misses 3-pt shot from 26 ft,,82-106,,
10:49.0,,,82-106,,Defensive rebound by S. Muhammad
10:31.0,,,82-106,,J. Crawford misses 3-pt shot from 28 ft
10:27.0,Defensive rebound by N. Vucevic,,82-106,,
10:23.0,E. Payton makes 2-pt shot from 3 ft,2,84-106,,
10:23.0,,,84-106,,Minnesota full timeout
10:06.0,,,84-106,,S. Muhammad misses 2-pt shot from 7 ft
10:00.0,,,84-106,,Offensive rebound by G. Dieng
10:00.0,,,84-106,,G. Dieng misses 2-pt shot at rim
9:59.0,Defensive rebound by T. Ross,,84-106,,
9:59.0,E. Payton makes 2-pt shot from 2 ft,2,86-106,,
9:59.0,Shooting foul by G. Dieng (drawn by E. Payton),,86-106,,
9:59.0,E. Payton makes free throw 1 of 1,1,87-106,,
9:39.0,,,87-106,,N. Bjelica misses 3-pt shot from 26 ft
9:37.0,Defensive rebound by N. Vucevic,,87-106,,
9:29.0,Shooting foul by N. Bjelica (drawn by T. Ross),,87-106,,
9:29.0,T. Ross makes free throw 1 of 3,1,88-106,,
9:29.0,T. Ross makes free throw 2 of 3,1,89-106,,
9:29.0,,,89-106,,J. Butler enters the game for T. Jones
9:29.0,,,89-106,,J. Teague enters the game for J. Crawford
9:29.0,,,89-106,,T. Gibson enters the game for N. Bjelica
9:29.0,T. Ross makes free throw 3 of 3,1,90-106,,
9:14.0,,,90-106,,S. Muhammad misses 3-pt shot from 22 ft
9:13.0,Defensive rebound by A. Gordon,,90-106,,
9:13.0,,,90-106,,Personal foul by G. Dieng (drawn by A. Gordon)
9:13.0,,,90-106,,K. Towns enters the game for G. Dieng
9:13.0,,,90-106,,A. Wiggins enters the game for S. Muhammad
9:00.0,A. Gordon makes 3-pt shot from 25 ft (assist by E. Payton),3,93-106,,
8:37.0,,,93-106,,J. Teague misses 2-pt shot from 4 ft
8:36.0,Defensive rebound by T. Ross,,93-106,,
8:29.0,T. Ross makes 2-pt shot from 9 ft,2,95-106,,
8:11.0,,,95-106,,J. Teague misses 3-pt shot from 27 ft
8:08.0,Defensive rebound by E. Payton,,95-106,,
8:01.0,E. Payton misses 2-pt shot from 2 ft,,95-106,,
7:59.0,Personal foul by N. Vucevic,,95-106,,
7:59.0,Technical foul by N. Vucevic,,95-106,,
7:59.0,,,95-107,1,K. Towns makes technical free throw
7:58.0,,,95-107,,Offensive rebound by K. Towns
7:42.0,,,95-107,,J. Butler misses 2-pt shot from 4 ft
7:39.0,Defensive rebound by N. Vucevic,,95-107,,
7:33.0,T. Ross misses 3-pt shot from 24 ft,,95-107,,
7:30.0,,,95-107,,Defensive rebound by K. Towns
7:12.0,,,95-107,,A. Wiggins misses 2-pt shot from 1 ft
7:10.0,Defensive rebound by Team,,95-107,,
6:57.0,E. Fournier makes 2-pt shot from 22 ft,2,97-107,,
6:39.0,,,97-107,,A. Wiggins misses 2-pt shot from 8 ft
6:37.0,,,97-107,,Offensive rebound by Team
6:23.0,,,97-107,,A. Wiggins misses 2-pt shot from 2 ft
6:23.0,Defensive rebound by Team,,97-107,,
6:11.0,Shooting foul by J. Teague (drawn by E. Payton),,97-107,,
6:11.0,E. Payton misses free throw 1 of 2,,97-107,,
6:11.0,Offensive rebound by Team,,97-107,,
6:11.0,E. Payton misses free throw 2 of 2,,97-107,,
6:08.0,,,97-107,,Defensive rebound by A. Wiggins
5:58.0,Personal foul by T. Ross (drawn by J. Butler),,97-107,,
5:44.0,,,97-107,,J. Teague misses 2-pt shot from 7 ft
5:41.0,Defensive rebound by T. Ross,,97-107,,
