time,New York,pts.away,score,pts.home,Miami
7:03.0,,,63-75,3,T. Johnson makes 3-pt shot from 23 ft (assist by J. Johnson)
6:40.0,E. Mudiay misses 2-pt shot from 13 ft,,63-75,,
6:37.0,,,63-75,,Defensive rebound by J. Johnson
6:31.0,,,63-78,3,T. Johnson makes 3-pt shot from 24 ft (assist by G. Dragic)
6:30.0,New York full timeout,,63-78,,
6:30.0,,,63-78,,K. Olynyk enters the game for B. Adebayo
6:13.0,C. Lee misses 3-pt shot from 22 ft,,63-78,,
6:11.0,Offensive rebound by E. Kanter,,63-78,,
6:10.0,T. Hardaway misses 3-pt shot from 25 ft,,63-78,,
6:10.0,Offensive rebound by Team,,63-78,,
6:10.0,,,63-78,,Loose ball foul by T. Johnson (drawn by E. Kanter)
5:47.0,T. Hardaway misses 3-pt shot from 25 ft (block by J. Johnson),,63-78,,
5:46.0,Offensive rebound by Team,,63-78,,
5:46.0,Turnover by Team (shot clock),,63-78,,
5:36.0,,,63-80,2,T. Johnson makes 2-pt shot from 19 ft (assist by J. Johnson)
5:17.0,E. Mudiay makes 2-pt shot from 2 ft (assist by E. Kanter),2,65-80,,
4:59.0,,,65-83,3,K. Olynyk makes 3-pt shot from 24 ft (assist by J. Johnson)
4:38.0,M. Beasley misses 2-pt shot from 19 ft,,65-83,,
4:35.0,,,65-83,,Defensive rebound by J. Richardson
4:31.0,Personal foul by C. Lee (drawn by J. Richardson),,65-83,,
4:31.0,,,65-83,,W. Ellington enters the game for J. Richardson
4:31.0,K. O'Quinn enters the game for E. Kanter,,65-83,,
4:31.0,T. Burke enters the game for C. Lee,,65-83,,
4:14.0,,,65-83,,Shooting foul by M. Beasley (drawn by J. Johnson)
4:14.0,,,65-83,,J. Johnson misses free throw 1 of 2
4:14.0,,,65-83,,Offensive rebound by Team
4:14.0,,,65-84,1,J. Johnson makes free throw 2 of 2
3:54.0,K. O'Quinn makes 2-pt shot from 5 ft (assist by E. Mudiay),2,67-84,,
3:40.0,,,67-87,3,W. Ellington makes 3-pt shot from 22 ft (assist by T. Johnson)
3:33.0,,,67-87,,Personal foul by J. Johnson (drawn by M. Beasley)
3:33.0,,,67-87,,J. Winslow enters the game for J. Johnson
3:27.0,T. Burke makes 3-pt shot from 25 ft (assist by K. O'Quinn),3,70-87,,
3:02.0,,,70-89,2,J. Winslow makes 2-pt shot from 17 ft (assist by K. Olynyk)
2:42.0,T. Burke makes 2-pt shot from 2 ft (assist by K. O'Quinn),2,72-89,,
2:32.0,,,72-89,,Shooting foul by T. Hardaway (drawn by G. Dragic)
2:32.0,,,72-90,1,G. Dragic makes free throw 1 of 2
2:32.0,,,72-91,1,G. Dragic makes free throw 2 of 2
2:12.0,,,72-91,,Personal foul by T. Johnson (drawn by E. Mudiay)
2:12.0,,,72-91,,R. McGruder enters the game for G. Dragic
2:12.0,I. Hicks enters the game for M. Beasley,,72-91,,
2:02.0,T. Hardaway makes 2-pt shot from 3 ft,2,74-91,,
2:02.0,Shooting foul by J. Winslow (drawn by T. Hardaway),,74-91,,
2:02.0,T. Hardaway makes free throw 1 of 1,1,75-91,,
1:45.0,,,75-93,2,J. Winslow makes 2-pt shot from 6 ft
1:26.0,T. Burke misses 2-pt shot from 1 ft,,75-93,,
1:24.0,,,75-93,,Defensive rebound by K. Olynyk
1:15.0,,,75-95,2,K. Olynyk makes 2-pt shot from 1 ft
1:04.0,E. Mudiay makes 2-pt shot from 12 ft,2,77-95,,
0:43.0,,,77-98,3,K. Olynyk makes 3-pt shot from 24 ft (assist by T. Johnson)
0:31.0,K. O'Quinn misses 2-pt shot from 19 ft,,77-98,,
0:28.0,,,77-98,,Defensive rebound by R. McGruder
0:08.0,,,77-98,,Shooting foul by K. O'Quinn (drawn by K. Olynyk)
0:08.0,,,77-99,1,K. Olynyk makes free throw 1 of 2
0:08.0,,,77-99,,K. Olynyk misses free throw 2 of 2
0:05.0,,,77-99,,Offensive rebound by Team
0:03.0,,,77-99,,K. Olynyk misses 2-pt shot at rim
0:02.0,Defensive rebound by E. Mudiay,,77-99,,
0:00.0,E. Mudiay misses 3-pt shot from 54 ft,,77-99,,
0:00.0,Offensive rebound by Team,,77-99,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,77-101,2,T. Johnson makes 2-pt shot from 18 ft
11:49.0,,,77-101,,Shooting foul by F. Ntilikina (drawn by T. Johnson)
11:49.0,,,77-101,,T. Johnson misses free throw 1 of 1
11:49.0,Defensive rebound by T. Burke,,77-101,,
11:27.0,I. Hicks misses 2-pt shot from 9 ft,,77-101,,
11:24.0,,,77-101,,Defensive rebound by K. Olynyk
11:18.0,,,77-104,3,T. Johnson makes 3-pt shot from 25 ft (assist by J. Winslow)
11:02.0,D. Dotson makes 3-pt shot from 24 ft (assist by T. Burke),3,80-104,,
10:47.0,,,80-104,,T. Johnson misses 2-pt shot from 1 ft
10:47.0,Defensive rebound by Team,,80-104,,
10:40.0,T. Burke makes 3-pt shot from 25 ft,3,83-104,,
10:18.0,,,83-106,2,J. Winslow makes 2-pt shot from 17 ft (assist by K. Olynyk)
10:05.0,D. Dotson misses 3-pt shot from 25 ft,,83-106,,
10:05.0,,,83-106,,Defensive rebound by Team
10:05.0,,,83-106,,J. Richardson enters the game for T. Johnson
10:05.0,E. Kanter enters the game for K. O'Quinn,,83-106,,
