time,Portland,pts.away,score,pts.home,Denver
1:22.0,,,17-20,,E. Mudiay enters the game for J. Murray
1:22.0,C. McCollum enters the game for D. Lillard,,17-20,,
0:58.0,E. Davis misses 2-pt shot from 5 ft,,17-20,,
0:56.0,Offensive rebound by Z. Collins,,17-20,,
0:56.0,Z. Collins makes 2-pt shot at rim,2,19-20,,
0:42.0,,,19-20,,T. Lyles misses 3-pt shot from 24 ft
0:39.0,Defensive rebound by E. Davis,,19-20,,
0:31.0,C. McCollum misses 2-pt shot from 2 ft,,19-20,,
0:29.0,,,19-20,,Defensive rebound by T. Lyles
0:16.0,,,19-20,,W. Chandler misses 2-pt shot from 3 ft
0:13.0,Defensive rebound by E. Davis,,19-20,,
0:05.0,,,19-20,,Personal foul by W. Barton (drawn by C. McCollum)
0:05.0,D. Lillard enters the game for E. Davis,,19-20,,
0:00.0,D. Lillard misses 2-pt shot from 18 ft,,19-20,,
0:00.0,Offensive rebound by Team,,19-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Turnover by Z. Collins (bad pass),,19-20,,
11:26.0,,,19-20,,E. Mudiay misses 2-pt shot from 11 ft
11:22.0,,,19-20,,Offensive rebound by W. Chandler
11:21.0,,,19-22,2,W. Chandler makes 2-pt shot from 2 ft
10:58.0,C. McCollum misses 3-pt shot from 25 ft,,19-22,,
10:54.0,,,19-22,,Defensive rebound by W. Barton
10:46.0,,,19-22,,Turnover by E. Mudiay (bad pass)
10:32.0,P. Connaughton makes 2-pt shot from 10 ft,2,21-22,,
10:19.0,,,21-22,,T. Craig misses 3-pt shot from 24 ft
10:17.0,Defensive rebound by Z. Collins,,21-22,,
10:11.0,Shooting foul by T. Lyles (drawn by C. McCollum),,21-22,,
10:11.0,C. McCollum makes free throw 1 of 2,1,22-22,,
10:11.0,C. McCollum makes free throw 2 of 2,1,23-22,,
9:55.0,,,23-22,,E. Mudiay misses 3-pt shot from 25 ft
9:52.0,Defensive rebound by E. Davis,,23-22,,
9:42.0,C. McCollum makes 2-pt shot from 2 ft,2,25-22,,
9:29.0,,,25-22,,Turnover by W. Barton (lost ball; steal by P. Connaughton)
9:26.0,P. Connaughton misses 2-pt shot from 4 ft (block by W. Chandler),,25-22,,
9:25.0,Offensive rebound by Team,,25-22,,
9:18.0,C. McCollum misses 2-pt shot from 3 ft (block by T. Lyles),,25-22,,
9:13.0,,,25-22,,Defensive rebound by T. Craig
9:10.0,,,25-22,,E. Mudiay misses 2-pt shot from 4 ft
9:08.0,Defensive rebound by E. Davis,,25-22,,
9:00.0,S. Napier misses 3-pt shot from 24 ft,,25-22,,
8:56.0,,,25-22,,Defensive rebound by T. Lyles
8:52.0,Technical foul by C. McCollum (drawn by T. Lyles),,25-22,,
8:52.0,,,25-23,1,T. Lyles makes flagrant free throw 1 of 2
8:52.0,,,25-24,1,T. Lyles makes flagrant free throw 2 of 2
8:44.0,,,25-24,,T. Lyles misses 2-pt shot from 3 ft
8:42.0,Defensive rebound by P. Connaughton,,25-24,,
8:27.0,E. Davis misses 2-pt shot from 5 ft (block by W. Chandler),,25-24,,
8:25.0,,,25-24,,Defensive rebound by T. Lyles
8:22.0,,,25-24,,W. Barton misses 3-pt shot from 23 ft
8:19.0,Defensive rebound by Z. Collins,,25-24,,
8:06.0,C. McCollum makes 2-pt shot from 10 ft (assist by P. Connaughton),2,27-24,,
7:45.0,,,27-27,3,T. Craig makes 3-pt shot from 24 ft (assist by T. Lyles)
7:27.0,Z. Collins misses 3-pt shot from 25 ft,,27-27,,
7:25.0,,,27-27,,Defensive rebound by Team
7:25.0,,,27-27,,G. Harris enters the game for E. Mudiay
7:25.0,,,27-27,,J. Murray enters the game for T. Craig
7:07.0,,,27-29,2,W. Chandler makes 2-pt shot from 2 ft
6:51.0,Turnover by S. Napier (lost ball; steal by T. Lyles),,27-29,,
6:47.0,,,27-29,,Turnover by T. Lyles (bad pass; steal by C. McCollum)
6:43.0,Z. Collins makes 2-pt shot from 1 ft (assist by C. McCollum),2,29-29,,
6:26.0,,,29-29,,Turnover by G. Harris (bad pass; steal by E. Davis)
6:16.0,S. Napier misses 3-pt shot from 24 ft,,29-29,,
6:14.0,Offensive rebound by Team,,29-29,,
6:14.0,,,29-29,,Loose ball foul by W. Chandler (drawn by E. Davis)
6:14.0,,,29-29,,Denver full timeout
6:14.0,,,29-29,,M. Plumlee enters the game for W. Barton
6:14.0,E. Turner enters the game for C. McCollum,,29-29,,
6:14.0,A. Aminu enters the game for P. Connaughton,,29-29,,
6:14.0,J. Nurkic enters the game for Z. Collins,,29-29,,
6:14.0,D. Lillard enters the game for E. Davis,,29-29,,
6:14.0,,,29-29,,N. Jokic enters the game for T. Lyles
6:02.0,D. Lillard makes 3-pt shot from 27 ft,3,32-29,,
5:45.0,,,32-32,3,N. Jokic makes 3-pt shot from 22 ft (assist by G. Harris)
5:29.0,Shooting foul by N. Jokic (drawn by A. Aminu),,32-32,,
5:29.0,A. Aminu misses free throw 1 of 2,,32-32,,
5:29.0,Offensive rebound by Team,,32-32,,
5:29.0,A. Aminu makes free throw 2 of 2,1,33-32,,
5:11.0,,,33-35,3,N. Jokic makes 3-pt shot from 23 ft (assist by G. Harris)
4:49.0,Shooting foul by N. Jokic (drawn by A. Aminu),,33-35,,
4:49.0,A. Aminu makes free throw 1 of 2,1,34-35,,
4:49.0,A. Aminu misses free throw 2 of 2,,34-35,,
4:47.0,,,34-35,,Defensive rebound by N. Jokic
4:38.0,,,34-37,2,J. Murray makes 2-pt shot from 16 ft
4:26.0,E. Turner makes 3-pt shot from 22 ft (assist by D. Lillard),3,37-37,,
4:08.0,,,37-37,,J. Murray misses 3-pt shot from 24 ft
4:05.0,,,37-37,,Offensive rebound by W. Chandler
4:02.0,Personal foul by A. Aminu (drawn by N. Jokic),,37-37,,
4:02.0,,,37-37,,T. Lyles enters the game for N. Jokic
4:02.0,Z. Collins enters the game for A. Aminu,,37-37,,
3:54.0,,,37-37,,G. Harris misses 3-pt shot from 23 ft
3:49.0,Defensive rebound by D. Lillard,,37-37,,
3:38.0,Turnover by J. Nurkic (bad pass; steal by W. Chandler),,37-37,,
3:38.0,,,37-37,,Turnover by W. Chandler (bad pass)
3:27.0,J. Nurkic misses 2-pt shot from 5 ft,,37-37,,
3:23.0,,,37-37,,Defensive rebound by M. Plumlee
3:17.0,,,37-39,2,J. Murray makes 2-pt shot from 19 ft (assist by M. Plumlee)
2:59.0,D. Lillard makes 2-pt shot from 2 ft,2,39-39,,
2:47.0,,,39-39,,G. Harris misses 2-pt shot from 6 ft
2:44.0,Defensive rebound by Z. Collins,,39-39,,
2:41.0,Portland full timeout,,39-39,,
2:41.0,C. McCollum enters the game for S. Napier,,39-39,,
2:23.0,Turnover by Team (shot clock),,39-39,,
2:13.0,Personal foul by C. McCollum (drawn by G. Harris),,39-39,,
2:05.0,,,39-39,,Turnover by G. Harris (bad pass; steal by C. McCollum)
1:49.0,E. Turner makes 2-pt shot from 1 ft (assist by J. Nurkic),2,41-39,,
1:30.0,,,41-41,2,T. Lyles makes 2-pt shot from 20 ft (assist by J. Murray)
1:15.0,D. Lillard makes 2-pt shot from 2 ft,2,43-41,,
1:15.0,Shooting foul by J. Murray (drawn by D. Lillard),,43-41,,
1:15.0,D. Lillard makes free throw 1 of 1,1,44-41,,
1:15.0,,,44-41,,W. Barton enters the game for T. Lyles
1:04.0,,,44-43,2,G. Harris makes 2-pt shot from 15 ft (assist by J. Murray)
0:47.0,D. Lillard makes 3-pt shot from 28 ft,3,47-43,,
0:37.0,,,47-43,,G. Harris misses 2-pt shot from 18 ft
0:33.0,Defensive rebound by J. Nurkic,,47-43,,
0:24.0,D. Lillard makes 2-pt shot from 15 ft,2,49-43,,
0:05.0,,,49-45,2,J. Murray makes 2-pt shot from 12 ft
0:01.0,Turnover by C. McCollum (bad pass),,49-45,,
0:01.0,,,49-45,,N. Jokic enters the game for W. Chandler
0:01.0,,,49-45,,T. Lyles enters the game for M. Plumlee
0:00.0,,,49-45,,Turnover by N. Jokic (bad pass; steal by J. Nurkic)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,Turnover by D. Lillard (traveling),,49-45,,
11:35.0,,,49-47,2,M. Plumlee makes 2-pt shot from 2 ft (assist by J. Murray)
11:15.0,A. Aminu misses 2-pt shot from 18 ft,,49-47,,
11:12.0,Offensive rebound by J. Nurkic,,49-47,,
11:08.0,J. Nurkic misses 2-pt shot from 11 ft,,49-47,,
11:06.0,,,49-47,,Defensive rebound by N. Jokic
11:00.0,,,49-49,2,N. Jokic makes 2-pt shot from 6 ft (assist by J. Murray)
10:44.0,E. Turner misses 2-pt shot from 16 ft,,49-49,,
10:42.0,,,49-49,,Defensive rebound by J. Murray
10:30.0,,,49-51,2,J. Murray makes 2-pt shot from 7 ft (assist by M. Plumlee)
10:15.0,,,49-51,,Personal block foul by M. Plumlee (drawn by D. Lillard)
10:10.0,D. Lillard misses 3-pt shot from 26 ft,,49-51,,
10:06.0,,,49-51,,Defensive rebound by J. Murray
10:00.0,,,49-53,2,J. Murray makes 2-pt shot from 5 ft
9:59.0,Portland full timeout,,49-53,,
9:42.0,A. Aminu misses 3-pt shot from 24 ft,,49-53,,
9:39.0,,,49-53,,Defensive rebound by W. Barton
9:34.0,,,49-53,,W. Barton misses 3-pt shot from 25 ft
9:30.0,Defensive rebound by A. Aminu,,49-53,,
9:27.0,Shooting foul by G. Harris (drawn by J. Nurkic),,49-53,,
9:27.0,J. Nurkic makes free throw 1 of 2,1,50-53,,
9:27.0,J. Nurkic makes free throw 2 of 2,1,51-53,,
9:06.0,,,51-53,,J. Murray misses 2-pt shot from 2 ft
9:03.0,Defensive rebound by J. Nurkic,,51-53,,
8:59.0,J. Nurkic makes 2-pt shot from 3 ft (assist by D. Lillard),2,53-53,,
8:39.0,,,53-55,2,J. Murray makes 2-pt shot from 16 ft (assist by M. Plumlee)
8:21.0,D. Lillard makes 3-pt shot from 24 ft (assist by C. McCollum),3,56-55,,
8:06.0,,,56-57,2,J. Murray makes 2-pt shot from 21 ft
7:51.0,J. Nurkic makes 2-pt shot from 18 ft (assist by D. Lillard),2,58-57,,
7:37.0,,,58-57,,N. Jokic misses 2-pt shot from 6 ft
7:37.0,Defensive rebound by Team,,58-57,,
7:37.0,,,58-57,,Loose ball foul by M. Plumlee (drawn by J. Nurkic)
7:25.0,C. McCollum misses 2-pt shot from 20 ft,,58-57,,
7:22.0,Offensive rebound by J. Nurkic,,58-57,,
7:19.0,J. Nurkic misses 2-pt shot from 4 ft (block by M. Plumlee),,58-57,,
7:15.0,Offensive rebound by J. Nurkic,,58-57,,
7:14.0,J. Nurkic makes 2-pt shot from 1 ft,2,60-57,,
7:07.0,,,60-60,3,J. Murray makes 3-pt shot from 25 ft (assist by N. Jokic)
6:58.0,Shooting foul by J. Murray (drawn by C. McCollum),,60-60,,
6:58.0,C. McCollum makes free throw 1 of 2,1,61-60,,
6:58.0,C. McCollum makes free throw 2 of 2,1,62-60,,
6:41.0,,,62-60,,N. Jokic misses 2-pt shot from 5 ft
6:39.0,,,62-60,,Offensive rebound by N. Jokic
6:39.0,,,62-60,,N. Jokic misses 2-pt shot at rim
6:39.0,Defensive rebound by A. Aminu,,62-60,,
6:33.0,Turnover by D. Lillard (bad pass; steal by W. Barton),,62-60,,
6:25.0,,,62-60,,G. Harris misses 3-pt shot from 22 ft
6:23.0,Defensive rebound by Team,,62-60,,
6:05.0,E. Turner misses 2-pt shot from 8 ft,,62-60,,
6:02.0,Offensive rebound by J. Nurkic,,62-60,,
6:02.0,J. Nurkic misses 2-pt shot at rim,,62-60,,
6:02.0,Offensive rebound by J. Nurkic,,62-60,,
6:02.0,Shooting foul by J. Murray (drawn by J. Nurkic),,62-60,,
6:02.0,J. Nurkic makes free throw 1 of 2,1,63-60,,
6:02.0,,,63-60,,W. Chandler enters the game for J. Murray
6:02.0,J. Nurkic misses free throw 2 of 2,,63-60,,
6:00.0,,,63-60,,Defensive rebound by N. Jokic
5:47.0,,,63-60,,N. Jokic misses 2-pt shot from 2 ft (block by J. Nurkic)
5:43.0,,,63-60,,Offensive rebound by N. Jokic
5:42.0,,,63-60,,Turnover by N. Jokic (lost ball; steal by J. Nurkic)
5:40.0,E. Turner misses 2-pt shot from 16 ft,,63-60,,
5:34.0,,,63-60,,Defensive rebound by N. Jokic
5:30.0,,,63-63,3,G. Harris makes 3-pt shot from 24 ft (assist by W. Chandler)
5:08.0,J. Nurkic makes 2-pt shot from 22 ft (assist by C. McCollum),2,65-63,,
4:56.0,,,65-63,,Turnover by W. Barton (discontinued dribble)
4:38.0,A. Aminu makes 2-pt shot from 2 ft,2,67-63,,
4:22.0,,,67-63,,W. Barton misses 3-pt shot from 25 ft
4:17.0,,,67-63,,Offensive rebound by M. Plumlee
4:17.0,Violation by J. Nurkic (kicked ball),,67-63,,
4:17.0,,,67-63,,T. Lyles enters the game for M. Plumlee
4:17.0,E. Davis enters the game for E. Turner,,67-63,,
4:17.0,Z. Collins enters the game for J. Nurkic,,67-63,,
4:11.0,,,67-63,,G. Harris misses 2-pt shot from 10 ft
4:09.0,Defensive rebound by A. Aminu,,67-63,,
3:58.0,Turnover by D. Lillard (lost ball; steal by W. Chandler),,67-63,,
3:49.0,,,67-66,3,T. Lyles makes 3-pt shot from 23 ft (assist by W. Barton)
3:20.0,C. McCollum misses 2-pt shot from 3 ft (block by N. Jokic),,67-66,,
3:19.0,Offensive rebound by E. Davis,,67-66,,
3:19.0,Shooting foul by N. Jokic (drawn by E. Davis),,67-66,,
3:19.0,E. Davis makes free throw 1 of 2,1,68-66,,
3:19.0,,,68-66,,E. Mudiay enters the game for W. Barton
3:19.0,P. Connaughton enters the game for C. McCollum,,68-66,,
3:19.0,S. Napier enters the game for A. Aminu,,68-66,,
3:19.0,E. Davis misses free throw 2 of 2,,68-66,,
3:17.0,,,68-66,,Defensive rebound by N. Jokic
3:12.0,Personal foul by E. Davis (drawn by N. Jokic),,68-66,,
3:08.0,,,68-68,2,N. Jokic makes 2-pt shot from 2 ft
3:08.0,,,68-68,,Shooting foul by E. Davis (drawn by N. Jokic)
3:08.0,,,68-69,1,N. Jokic makes free throw 1 of 1
2:54.0,S. Napier misses 3-pt shot from 24 ft,,68-69,,
2:52.0,,,68-69,,Defensive rebound by E. Mudiay
2:47.0,,,68-69,,T. Lyles misses 3-pt shot from 26 ft
2:43.0,,,68-69,,Offensive rebound by W. Chandler
2:39.0,,,68-69,,W. Chandler misses 2-pt shot from 1 ft
2:36.0,Defensive rebound by Z. Collins,,68-69,,
2:26.0,Z. Collins makes 3-pt shot from 22 ft (assist by E. Davis),3,71-69,,
2:19.0,Personal foul by Z. Collins (drawn by N. Jokic),,71-69,,
2:19.0,,,71-69,,Denver full timeout
2:19.0,,,71-69,,M. Plumlee enters the game for N. Jokic
2:07.0,,,71-71,2,M. Plumlee makes 2-pt shot from 2 ft (assist by G. Harris)
1:52.0,D. Lillard misses 3-pt shot from 26 ft,,71-71,,
1:48.0,,,71-71,,Defensive rebound by M. Plumlee
1:43.0,,,71-71,,Shooting foul by E. Davis (drawn by G. Harris)
1:43.0,,,71-72,1,G. Harris makes free throw 1 of 2
1:43.0,,,71-72,,G. Harris misses free throw 2 of 2
1:41.0,Defensive rebound by E. Davis,,71-72,,
1:28.0,S. Napier makes 2-pt shot from 11 ft (assist by P. Connaughton),2,73-72,,
1:19.0,Personal foul by S. Napier (drawn by E. Mudiay),,73-72,,
1:19.0,,,73-72,,E. Mudiay misses free throw 1 of 2
1:19.0,,,73-72,,Offensive rebound by Team
1:19.0,,,73-73,1,E. Mudiay makes free throw 2 of 2
1:03.0,S. Napier makes 3-pt shot from 24 ft (assist by D. Lillard),3,76-73,,
0:49.0,,,76-73,,Shooting foul by E. Davis (drawn by M. Plumlee)
0:49.0,,,76-73,,M. Plumlee misses free throw 1 of 2
0:49.0,,,76-73,,Offensive rebound by Team
0:49.0,,,76-74,1,M. Plumlee makes free throw 2 of 2
0:31.0,Turnover by Z. Collins (bad pass; steal by M. Plumlee),,76-74,,
0:22.0,,,76-74,,Shooting foul by Z. Collins (drawn by G. Harris)
0:22.0,,,76-75,1,G. Harris makes free throw 1 of 2
0:22.0,,,76-75,,T. Craig enters the game for M. Plumlee
0:22.0,C. McCollum enters the game for Z. Collins,,76-75,,
0:22.0,,,76-76,1,G. Harris makes free throw 2 of 2
0:04.0,D. Lillard misses 2-pt shot from 5 ft,,76-76,,
0:03.0,Offensive rebound by E. Davis,,76-76,,
0:03.0,E. Davis makes 2-pt shot at rim,2,78-76,,
0:00.0,,,78-76,,E. Mudiay misses 3-pt shot from 25 ft
0:00.0,,,78-76,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,78-76,,Shooting foul by P. Connaughton (drawn by W. Chandler)
11:46.0,,,78-77,1,W. Chandler makes free throw 1 of 2
11:46.0,,,78-78,1,W. Chandler makes free throw 2 of 2
11:29.0,C. McCollum misses 3-pt shot from 24 ft,,78-78,,
11:27.0,Offensive rebound by Team,,78-78,,
11:24.0,Turnover by Z. Collins (bad pass; steal by T. Lyles),,78-78,,
11:13.0,,,78-78,,Shooting foul by Z. Collins (drawn by N. Jokic)
11:13.0,,,78-79,1,N. Jokic makes free throw 1 of 2
11:13.0,A. Aminu enters the game for Z. Collins,,78-79,,
11:13.0,,,78-79,,N. Jokic misses free throw 2 of 2
11:10.0,Defensive rebound by A. Aminu,,78-79,,
10:52.0,E. Davis makes 2-pt shot from 1 ft (assist by S. Napier),2,80-79,,
10:38.0,,,80-79,,Shooting foul by C. McCollum (drawn by W. Barton)
10:38.0,,,80-79,,W. Barton misses free throw 1 of 2
10:38.0,,,80-79,,Offensive rebound by Team
10:38.0,,,80-80,1,W. Barton makes free throw 2 of 2
10:25.0,C. McCollum makes 2-pt shot from 14 ft,2,82-80,,
10:09.0,,,82-80,,W. Barton misses 3-pt shot from 25 ft
10:05.0,Defensive rebound by E. Davis,,82-80,,
9:55.0,S. Napier makes 2-pt shot from 14 ft,2,84-80,,
9:52.0,,,84-80,,Denver full timeout
9:52.0,,,84-80,,J. Murray enters the game for E. Mudiay
9:35.0,,,84-80,,N. Jokic misses 2-pt shot from 2 ft
9:33.0,Defensive rebound by C. McCollum,,84-80,,
9:16.0,C. McCollum misses 2-pt shot from 20 ft,,84-80,,
9:13.0,,,84-80,,Defensive rebound by J. Murray
9:10.0,D. Lillard enters the game for C. McCollum,,84-80,,
9:03.0,,,84-80,,N. Jokic misses 3-pt shot from 25 ft
8:59.0,Defensive rebound by E. Davis,,84-80,,
8:47.0,E. Davis makes 2-pt shot from 1 ft (assist by A. Aminu),2,86-80,,
8:23.0,,,86-80,,G. Harris enters the game for W. Barton
8:21.0,,,86-82,2,T. Lyles makes 2-pt shot from 19 ft (assist by J. Murray)
8:04.0,D. Lillard makes 2-pt shot from 2 ft,2,88-82,,
7:46.0,,,88-82,,G. Harris misses 3-pt shot from 22 ft
7:44.0,Defensive rebound by E. Davis,,88-82,,
7:24.0,S. Napier misses 2-pt shot from 4 ft (block by T. Lyles),,88-82,,
7:24.0,,,88-82,,Defensive rebound by Team
7:10.0,,,88-82,,G. Harris misses 2-pt shot from 2 ft
7:09.0,,,88-82,,Offensive rebound by N. Jokic
7:04.0,,,88-82,,T. Lyles misses 2-pt shot from 2 ft (block by E. Davis)
7:00.0,,,88-82,,Offensive rebound by T. Lyles
6:58.0,,,88-84,2,J. Murray makes 2-pt shot from 9 ft
6:36.0,P. Connaughton misses 3-pt shot from 24 ft,,88-84,,
6:33.0,Offensive rebound by P. Connaughton,,88-84,,
6:31.0,A. Aminu misses 3-pt shot from 24 ft,,88-84,,
6:31.0,,,88-84,,Defensive rebound by T. Lyles
6:16.0,,,88-84,,Turnover by N. Jokic (lost ball; steal by S. Napier)
5:57.0,,,88-84,,Shooting block foul by T. Lyles (drawn by A. Aminu)
5:57.0,A. Aminu makes free throw 1 of 2,1,89-84,,
5:57.0,J. Nurkic enters the game for P. Connaughton,,89-84,,
5:57.0,C. McCollum enters the game for S. Napier,,89-84,,
5:57.0,E. Turner enters the game for E. Davis,,89-84,,
5:57.0,,,89-84,,M. Plumlee enters the game for T. Lyles
5:57.0,A. Aminu makes free throw 2 of 2,1,90-84,,
5:43.0,,,90-84,,N. Jokic misses 2-pt shot from 4 ft (block by J. Nurkic)
5:43.0,,,90-84,,Offensive rebound by Team
5:33.0,,,90-84,,N. Jokic misses 2-pt shot from 12 ft
5:30.0,Defensive rebound by C. McCollum,,90-84,,
5:17.0,A. Aminu misses 2-pt shot from 8 ft,,90-84,,
5:14.0,,,90-84,,Defensive rebound by M. Plumlee
