time,Miami,pts.away,score,pts.home,Chicago
4:42.0,,,33-34,3,J. Holiday makes 3-pt shot from 25 ft (assist by L. Markkanen)
4:29.0,,,33-34,,Personal foul by K. Dunn (drawn by G. Dragic)
4:29.0,D. Waiters enters the game for T. Johnson,,33-34,,
4:17.0,H. Whiteside makes 2-pt shot from 1 ft (assist by W. Ellington),2,35-34,,
4:03.0,,,35-34,,Turnover by R. Lopez (bad pass; steal by W. Ellington)
3:55.0,W. Ellington misses 3-pt shot from 25 ft,,35-34,,
3:51.0,,,35-34,,Defensive rebound by J. Holiday
3:44.0,,,35-36,2,R. Lopez makes 2-pt shot from 2 ft (assist by K. Dunn)
3:36.0,Miami full timeout,,35-36,,
3:17.0,Turnover by W. Ellington (bad pass; steal by K. Dunn),,35-36,,
3:11.0,,,35-36,,K. Dunn misses 2-pt shot from 19 ft
3:08.0,Defensive rebound by D. Waiters,,35-36,,
3:04.0,G. Dragic makes 3-pt shot from 26 ft,3,38-36,,
2:55.0,,,38-38,2,J. Holiday makes 2-pt shot from 22 ft (assist by D. Valentine)
2:36.0,H. Whiteside misses 2-pt shot from 7 ft,,38-38,,
2:36.0,,,38-38,,Defensive rebound by R. Lopez
2:23.0,,,38-40,2,R. Lopez makes 2-pt shot from 3 ft (assist by K. Dunn)
2:14.0,,,38-40,,Personal foul by D. Valentine (drawn by G. Dragic)
2:14.0,G. Dragic makes free throw 1 of 2,1,39-40,,
2:14.0,,,39-40,,J. Grant enters the game for K. Dunn
2:14.0,J. Winslow enters the game for W. Ellington,,39-40,,
2:14.0,J. Richardson enters the game for J. Johnson,,39-40,,
2:14.0,G. Dragic makes free throw 2 of 2,1,40-40,,
1:55.0,,,40-40,,J. Grant misses 2-pt shot from 6 ft
1:51.0,Defensive rebound by J. Winslow,,40-40,,
1:31.0,J. Winslow makes 2-pt shot from 13 ft (assist by G. Dragic),2,42-40,,
1:19.0,,,42-40,,Turnover by J. Holiday (bad pass; steal by H. Whiteside)
1:07.0,Turnover by G. Dragic (lost ball; steal by D. Valentine),,42-40,,
0:55.0,,,42-42,2,L. Markkanen makes 2-pt shot from 1 ft (assist by R. Lopez)
0:42.0,D. Waiters makes 3-pt shot from 26 ft (assist by J. Winslow),3,45-42,,
0:32.0,,,45-42,,Turnover by J. Grant (bad pass)
0:11.0,J. Richardson misses 3-pt shot from 22 ft,,45-42,,
0:09.0,,,45-42,,Defensive rebound by J. Holiday
0:01.0,,,45-42,,D. Valentine misses 2-pt shot from 14 ft
0:01.0,,,45-42,,Offensive rebound by R. Lopez
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,45-42,,Turnover by K. Dunn (bad pass; steal by J. Winslow)
11:38.0,J. Winslow makes 2-pt shot from 1 ft,2,47-42,,
11:30.0,,,47-42,,Turnover by K. Dunn (traveling)
11:13.0,D. Waiters makes 2-pt shot from 1 ft,2,49-42,,
10:54.0,,,49-44,2,R. Lopez makes 2-pt shot from 1 ft (assist by D. Valentine)
10:28.0,D. Waiters misses 3-pt shot from 28 ft,,49-44,,
10:24.0,,,49-44,,Defensive rebound by D. Valentine
10:15.0,,,49-47,3,D. Valentine makes 3-pt shot from 26 ft
10:02.0,D. Waiters misses 2-pt shot from 1 ft,,49-47,,
9:59.0,,,49-47,,Defensive rebound by L. Markkanen
9:50.0,,,49-47,,D. Valentine misses 2-pt shot from 3 ft (block by J. Richardson)
9:46.0,,,49-47,,Offensive rebound by D. Valentine
9:42.0,,,49-47,,J. Holiday misses 3-pt shot from 25 ft
9:39.0,Defensive rebound by G. Dragic,,49-47,,
9:31.0,H. Whiteside makes 2-pt shot from 1 ft (assist by G. Dragic),2,51-47,,
9:22.0,,,51-47,,J. Holiday misses 2-pt shot from 2 ft
9:19.0,Defensive rebound by H. Whiteside,,51-47,,
9:06.0,J. Winslow misses 2-pt shot from 7 ft,,51-47,,
9:02.0,,,51-47,,Defensive rebound by L. Markkanen
8:52.0,,,51-47,,R. Lopez misses 2-pt shot from 21 ft
8:50.0,Defensive rebound by J. Winslow,,51-47,,
8:37.0,H. Whiteside makes 2-pt shot from 8 ft,2,53-47,,
8:23.0,,,53-47,,L. Markkanen misses 3-pt shot from 25 ft
8:19.0,Defensive rebound by H. Whiteside,,53-47,,
8:02.0,H. Whiteside misses 2-pt shot from 15 ft,,53-47,,
7:58.0,,,53-47,,Defensive rebound by K. Dunn
7:51.0,,,53-49,2,R. Lopez makes 2-pt shot from 2 ft (assist by D. Valentine)
7:30.0,Turnover by G. Dragic (bad pass; steal by J. Holiday),,53-49,,
7:30.0,Personal foul by H. Whiteside (drawn by D. Valentine),,53-49,,
7:12.0,,,53-49,,D. Valentine misses 2-pt shot from 14 ft
7:09.0,Defensive rebound by H. Whiteside,,53-49,,
7:05.0,D. Waiters misses 3-pt shot from 24 ft,,53-49,,
7:05.0,,,53-49,,Defensive rebound by L. Markkanen
6:51.0,,,53-49,,L. Markkanen misses 2-pt shot from 1 ft
6:45.0,Defensive rebound by H. Whiteside,,53-49,,
6:37.0,D. Waiters misses 3-pt shot from 22 ft,,53-49,,
6:34.0,,,53-49,,Defensive rebound by L. Markkanen
6:24.0,,,53-49,,K. Dunn misses 2-pt shot from 2 ft
6:19.0,,,53-49,,Offensive rebound by R. Lopez
6:19.0,,,53-49,,R. Lopez misses 2-pt shot at rim
6:18.0,Defensive rebound by J. Winslow,,53-49,,
6:15.0,J. Richardson misses 3-pt shot from 24 ft,,53-49,,
6:15.0,,,53-49,,Defensive rebound by L. Markkanen
6:15.0,,,53-49,,Chicago full timeout
6:15.0,,,53-49,,J. Grant enters the game for K. Dunn
5:58.0,,,53-51,2,J. Grant makes 2-pt shot from 14 ft
5:44.0,,,53-51,,Personal foul by J. Holiday (drawn by D. Waiters)
5:36.0,Shooting foul by J. Grant (drawn by H. Whiteside),,53-51,,
5:36.0,H. Whiteside misses free throw 1 of 2,,53-51,,
5:36.0,Offensive rebound by Team,,53-51,,
5:36.0,T. Johnson enters the game for G. Dragic,,53-51,,
5:36.0,H. Whiteside makes free throw 2 of 2,1,54-51,,
5:16.0,,,54-51,,J. Grant misses 3-pt shot from 25 ft
5:13.0,Defensive rebound by D. Waiters,,54-51,,
5:00.0,J. Richardson misses 2-pt shot from 14 ft,,54-51,,
4:58.0,,,54-51,,Defensive rebound by D. Valentine
4:55.0,,,54-51,,J. Holiday misses 3-pt shot from 25 ft
4:55.0,Defensive rebound by D. Waiters,,54-51,,
4:32.0,T. Johnson makes 2-pt shot from 2 ft,2,56-51,,
4:15.0,,,56-51,,A. Blakeney enters the game for D. Valentine
4:15.0,K. Olynyk enters the game for H. Whiteside,,56-51,,
4:15.0,W. Ellington enters the game for J. Richardson,,56-51,,
4:11.0,,,56-51,,Defensive rebound by Team
4:11.0,,,56-51,,J. Grant misses 2-pt shot from 10 ft
4:10.0,,,56-51,,Turnover by Team (shot clock)
3:54.0,K. Olynyk misses 2-pt shot from 2 ft,,56-51,,
3:52.0,,,56-51,,Defensive rebound by L. Markkanen
3:32.0,,,56-53,2,J. Grant makes 2-pt shot from 15 ft
3:12.0,J. Winslow misses 2-pt shot from 2 ft,,56-53,,
3:10.0,,,56-53,,Defensive rebound by R. Lopez
2:57.0,,,56-56,3,J. Grant makes 3-pt shot from 26 ft (assist by R. Lopez)
2:48.0,Miami full timeout,,56-56,,
2:48.0,,,56-56,,B. Portis enters the game for L. Markkanen
2:48.0,J. Johnson enters the game for J. Winslow,,56-56,,
2:29.0,W. Ellington misses 3-pt shot from 22 ft,,56-56,,
2:26.0,,,56-56,,Defensive rebound by A. Blakeney
2:16.0,,,56-59,3,B. Portis makes 3-pt shot from 26 ft (assist by J. Holiday)
1:56.0,K. Olynyk makes 3-pt shot from 23 ft (assist by T. Johnson),3,59-59,,
1:40.0,,,59-59,,R. Lopez misses 2-pt shot from 2 ft
1:37.0,Defensive rebound by J. Johnson,,59-59,,
1:34.0,Shooting foul by J. Holiday (drawn by W. Ellington),,59-59,,
1:34.0,W. Ellington makes free throw 3 of 3,1,60-59,,
1:34.0,W. Ellington makes free throw 2 of 3,1,61-59,,
1:34.0,W. Ellington makes free throw 1 of 3,1,62-59,,
1:34.0,,,62-59,,P. Zipser enters the game for R. Lopez
1:34.0,G. Dragic enters the game for D. Waiters,,62-59,,
0:56.0,,,62-61,2,J. Holiday makes 2-pt shot from 1 ft (assist by P. Zipser)
0:51.0,G. Dragic misses 3-pt shot from 25 ft,,62-61,,
0:51.0,,,62-61,,Defensive rebound by B. Portis
0:46.0,,,62-61,,J. Grant misses 2-pt shot from 1 ft
0:46.0,,,62-61,,Offensive rebound by Team
0:46.0,Personal foul by K. Olynyk (drawn by B. Portis),,62-61,,
0:32.0,,,62-61,,B. Portis misses 3-pt shot from 26 ft
0:32.0,Defensive rebound by T. Johnson,,62-61,,
0:09.0,Turnover by K. Olynyk (bad pass; steal by J. Grant),,62-61,,
0:04.0,,,62-61,,Turnover by J. Grant (bad pass; steal by T. Johnson)
0:03.0,G. Dragic makes 2-pt shot from 1 ft (assist by J. Johnson),2,64-61,,
0:00.0,,,64-61,,A. Blakeney misses 3-pt shot from 26 ft
0:00.0,,,64-61,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,J. Johnson makes 2-pt shot from 1 ft,2,66-61,,
11:29.0,,,66-61,,A. Blakeney misses 3-pt shot from 23 ft
11:26.0,Defensive rebound by W. Ellington,,66-61,,
11:11.0,G. Dragic makes 2-pt shot from 1 ft,2,68-61,,
10:49.0,,,68-64,3,D. Valentine makes 3-pt shot from 24 ft (assist by P. Zipser)
10:41.0,T. Johnson makes 3-pt shot from 22 ft (assist by J. Johnson),3,71-64,,
10:26.0,,,71-64,,Shooting foul by T. Johnson (drawn by J. Grant)
10:26.0,,,71-65,1,J. Grant makes free throw 1 of 2
10:26.0,,,71-66,1,J. Grant makes free throw 2 of 2
10:23.0,,,71-66,,Personal foul by B. Portis (drawn by K. Olynyk)
10:14.0,G. Dragic misses 3-pt shot from 26 ft,,71-66,,
10:11.0,,,71-66,,Defensive rebound by D. Valentine
9:56.0,,,71-68,2,B. Portis makes 2-pt shot at rim (assist by A. Blakeney)
9:40.0,Turnover by K. Olynyk (bad pass; steal by P. Zipser),,71-68,,
9:24.0,,,71-68,,Turnover by B. Portis (lost ball; steal by J. Johnson)
9:05.0,K. Olynyk misses 2-pt shot from 4 ft,,71-68,,
9:02.0,,,71-68,,Defensive rebound by D. Valentine
8:52.0,,,71-68,,Shooting foul by K. Olynyk (drawn by P. Zipser)
8:52.0,,,71-69,1,P. Zipser makes free throw 1 of 2
8:52.0,,,71-69,,P. Zipser misses free throw 2 of 2
8:49.0,Defensive rebound by J. Johnson,,71-69,,
8:42.0,G. Dragic misses 2-pt shot at rim,,71-69,,
8:39.0,,,71-69,,Defensive rebound by P. Zipser
8:32.0,,,71-69,,Shooting foul by G. Dragic (drawn by A. Blakeney)
8:32.0,,,71-69,,A. Blakeney misses free throw 1 of 2
8:32.0,,,71-69,,Offensive rebound by Team
8:32.0,,,71-70,1,A. Blakeney makes free throw 2 of 2
8:13.0,W. Ellington makes 3-pt shot from 25 ft (assist by K. Olynyk),3,74-70,,
7:58.0,,,74-70,,J. Grant misses 2-pt shot from 2 ft
7:55.0,,,74-70,,Offensive rebound by J. Grant
7:49.0,,,74-72,2,A. Blakeney makes 2-pt shot from 2 ft (assist by J. Grant)
7:32.0,J. Johnson makes 2-pt shot at rim (assist by T. Johnson),2,76-72,,
7:21.0,,,76-74,2,J. Grant makes 2-pt shot from 2 ft
7:14.0,J. Johnson makes 2-pt shot from 1 ft,2,78-74,,
7:14.0,Shooting foul by P. Zipser (drawn by J. Johnson),,78-74,,
7:14.0,J. Johnson misses free throw 1 of 1,,78-74,,
7:10.0,,,78-74,,Defensive rebound by P. Zipser
7:06.0,,,78-74,,Shooting foul by T. Johnson (drawn by J. Grant)
7:06.0,,,78-75,1,J. Grant makes free throw 1 of 2
7:06.0,,,78-76,1,J. Grant makes free throw 2 of 2
6:52.0,J. Johnson makes 2-pt shot from 3 ft,2,80-76,,
6:40.0,,,80-76,,Turnover by D. Valentine (bad pass; steal by J. Johnson)
6:39.0,,,80-76,,Personal foul by P. Zipser (drawn by J. Johnson)
6:39.0,,,80-76,,Chicago full timeout
6:39.0,,,80-76,,L. Markkanen enters the game for P. Zipser
6:33.0,T. Johnson misses 3-pt shot from 22 ft,,80-76,,
6:29.0,,,80-76,,Defensive rebound by B. Portis
6:11.0,,,80-78,2,J. Grant makes 2-pt shot from 1 ft (assist by D. Valentine)
6:11.0,,,80-78,,Shooting foul by K. Olynyk (drawn by J. Grant)
6:11.0,,,80-78,,J. Holiday enters the game for A. Blakeney
6:11.0,,,80-78,,J. Grant misses free throw 1 of 1
6:08.0,Defensive rebound by J. Johnson,,80-78,,
5:52.0,G. Dragic makes 3-pt shot from 24 ft (assist by W. Ellington),3,83-78,,
5:40.0,,,83-81,3,L. Markkanen makes 3-pt shot from 26 ft (assist by B. Portis)
5:23.0,Shooting foul by J. Holiday (drawn by G. Dragic),,83-81,,
5:23.0,G. Dragic makes free throw 1 of 2,1,84-81,,
5:23.0,G. Dragic makes free throw 2 of 2,1,85-81,,
5:06.0,,,85-81,,B. Portis misses 2-pt shot from 10 ft
5:04.0,Defensive rebound by T. Johnson,,85-81,,
4:53.0,G. Dragic makes 2-pt shot from 1 ft (assist by K. Olynyk),2,87-81,,
4:53.0,Shooting foul by D. Valentine (drawn by G. Dragic),,87-81,,
4:53.0,G. Dragic makes free throw 1 of 1,1,88-81,,
4:43.0,,,88-81,,Turnover by J. Grant (traveling)
4:31.0,Turnover by G. Dragic (bad pass),,88-81,,
4:09.0,,,88-81,,D. Valentine misses 3-pt shot from 31 ft
4:04.0,Defensive rebound by J. Johnson,,88-81,,
3:53.0,T. Johnson misses 2-pt shot from 1 ft,,88-81,,
3:49.0,Personal foul by G. Dragic (drawn by J. Holiday),,88-81,,
3:49.0,,,88-82,1,J. Holiday makes free throw 1 of 2
3:49.0,,,88-83,1,J. Holiday makes free throw 2 of 2
3:48.0,,,88-83,,Offensive rebound by D. Valentine
3:46.0,Miami full timeout,,88-83,,
3:27.0,J. Johnson misses 2-pt shot from 13 ft,,88-83,,
3:25.0,,,88-83,,Defensive rebound by Team
3:13.0,,,88-83,,Turnover by J. Grant (bad pass; steal by K. Olynyk)
2:59.0,W. Ellington makes 3-pt shot from 22 ft (assist by J. Johnson),3,91-83,,
2:40.0,,,91-83,,J. Holiday misses 2-pt shot from 10 ft
2:33.0,Defensive rebound by T. Johnson,,91-83,,
2:29.0,Turnover by K. Olynyk (bad pass; steal by J. Grant),,91-83,,
2:13.0,,,91-83,,L. Markkanen misses 3-pt shot from 26 ft
2:09.0,,,91-83,,Offensive rebound by D. Valentine
2:08.0,,,91-83,,J. Holiday misses 3-pt shot from 25 ft
2:02.0,Defensive rebound by W. Ellington,,91-83,,
1:53.0,,,91-83,,Violation by B. Portis (kicked ball)
1:43.0,J. Johnson makes 2-pt shot at rim (assist by G. Dragic),2,93-83,,
1:43.0,Shooting foul by B. Portis (drawn by J. Johnson),,93-83,,
1:43.0,J. Johnson makes free throw 1 of 1,1,94-83,,
1:32.0,,,94-83,,J. Grant misses 2-pt shot from 8 ft
1:32.0,,,94-83,,B. Portis misses 2-pt shot from 2 ft
1:32.0,Defensive rebound by T. Johnson,,94-83,,
1:28.0,,,94-83,,Defensive rebound by B. Portis
1:23.0,,,94-83,,Personal foul by D. Valentine (drawn by G. Dragic)
1:23.0,,,94-83,,Turnover by D. Valentine (turnover)
1:23.0,G. Dragic misses free throw 1 of 2,,94-83,,
1:23.0,Offensive rebound by Team,,94-83,,
1:23.0,G. Dragic makes free throw 2 of 2,1,95-83,,
1:11.0,,,95-86,3,J. Holiday makes 3-pt shot from 24 ft (assist by J. Grant)
0:50.0,G. Dragic makes 3-pt shot from 25 ft,3,98-86,,
0:49.0,,,98-86,,Chicago full timeout
0:46.0,,,98-89,3,J. Grant makes 3-pt shot from 25 ft (assist by B. Portis)
0:44.0,,,98-89,,Personal foul by J. Grant (drawn by T. Johnson)
