time,Portland,pts.away,score,pts.home,Toronto
8:08.0,E. Turner misses 2-pt shot from 13 ft,,9-10,,
8:06.0,,,9-10,,Defensive rebound by S. Ibaka
7:58.0,,,9-10,,J. Valanciunas misses 2-pt shot from 1 ft
7:56.0,Defensive rebound by J. Nurkic,,9-10,,
7:51.0,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard),2,11-10,,
7:25.0,,,11-13,3,D. DeRozan makes 3-pt shot from 26 ft (assist by J. Valanciunas)
7:12.0,J. Nurkic misses 2-pt shot from 1 ft,,11-13,,
7:12.0,,,11-13,,Defensive rebound by Team
7:04.0,,,11-13,,Shooting foul by E. Turner (drawn by D. DeRozan)
7:04.0,,,11-14,1,D. DeRozan makes free throw 1 of 3
7:04.0,,,11-15,1,D. DeRozan makes free throw 2 of 3
7:04.0,,,11-16,1,D. DeRozan makes free throw 3 of 3
6:53.0,Offensive foul by J. Nurkic (drawn by K. Lowry),,11-16,,
6:53.0,Turnover by J. Nurkic (offensive foul),,11-16,,
6:53.0,,,11-16,,Toronto full timeout
6:43.0,,,11-18,2,K. Lowry makes 2-pt shot from 11 ft
6:24.0,Turnover by D. Lillard (bad pass; steal by K. Lowry),,11-18,,
6:16.0,,,11-18,,S. Ibaka misses 3-pt shot from 26 ft
6:13.0,Defensive rebound by J. Nurkic,,11-18,,
6:06.0,Turnover by C. McCollum (out of bounds lost ball),,11-18,,
5:54.0,,,11-20,2,J. Valanciunas makes 2-pt shot from 8 ft
5:37.0,,,11-20,,Personal foul by K. Lowry (drawn by E. Turner)
5:37.0,Z. Collins enters the game for A. Aminu,,11-20,,
5:37.0,E. Davis enters the game for J. Nurkic,,11-20,,
5:32.0,E. Turner misses 2-pt shot from 17 ft,,11-20,,
5:29.0,,,11-20,,Defensive rebound by S. Ibaka
5:19.0,,,11-20,,S. Ibaka misses 2-pt shot from 13 ft
5:17.0,,,11-20,,Offensive rebound by J. Valanciunas
5:17.0,,,11-20,,J. Valanciunas misses 2-pt shot at rim (block by E. Davis)
5:17.0,,,11-20,,Offensive rebound by Team
5:12.0,,,11-20,,D. DeRozan misses 2-pt shot from 16 ft
5:12.0,Defensive rebound by E. Davis,,11-20,,
5:01.0,,,11-20,,Personal foul by S. Ibaka (drawn by D. Lillard)
5:01.0,P. Connaughton enters the game for C. McCollum,,11-20,,
4:52.0,P. Connaughton makes 3-pt shot from 25 ft (assist by E. Turner),3,14-20,,
4:40.0,,,14-20,,O. Anunoby misses 3-pt shot from 25 ft
4:37.0,,,14-20,,Offensive rebound by K. Lowry
4:26.0,,,14-20,,Shooting foul by E. Davis (drawn by J. Valanciunas)
4:26.0,,,14-21,1,J. Valanciunas makes free throw 1 of 2
4:26.0,,,14-21,,P. Siakam enters the game for S. Ibaka
4:26.0,,,14-22,1,J. Valanciunas makes free throw 2 of 2
4:19.0,Turnover by E. Turner (bad pass; steal by D. DeRozan),,14-22,,
4:02.0,,,14-22,,D. DeRozan misses 3-pt shot from 26 ft
3:58.0,,,14-22,,Offensive rebound by J. Valanciunas
3:55.0,,,14-22,,Shooting foul by Z. Collins (drawn by K. Lowry)
3:55.0,,,14-23,1,K. Lowry makes free throw 1 of 2
3:55.0,,,14-23,,K. Lowry misses free throw 2 of 2
3:53.0,Defensive rebound by Z. Collins,,14-23,,
3:41.0,E. Davis misses 2-pt shot from 8 ft,,14-23,,
3:39.0,,,14-23,,Defensive rebound by J. Valanciunas
3:32.0,,,14-23,,K. Lowry misses 2-pt shot from 16 ft
3:30.0,Defensive rebound by E. Davis,,14-23,,
3:23.0,Shooting foul by K. Lowry (drawn by D. Lillard),,14-23,,
3:23.0,D. Lillard misses free throw 1 of 2,,14-23,,
3:23.0,Offensive rebound by Team,,14-23,,
3:23.0,,,14-23,,F. VanVleet enters the game for O. Anunoby
3:23.0,S. Napier enters the game for P. Connaughton,,14-23,,
3:23.0,D. Lillard makes free throw 2 of 2,1,15-23,,
3:14.0,,,15-25,2,J. Valanciunas makes 2-pt shot from 18 ft (assist by D. DeRozan)
3:14.0,Portland full timeout,,15-25,,
3:14.0,,,15-25,,D. Wright enters the game for K. Lowry
3:14.0,,,15-25,,J. Poeltl enters the game for J. Valanciunas
2:54.0,Turnover by S. Napier (bad pass; steal by J. Poeltl),,15-25,,
2:41.0,,,15-27,2,P. Siakam makes 2-pt shot from 13 ft (assist by D. Wright)
2:15.0,,,15-27,,Personal foul by F. VanVleet (drawn by Z. Collins)
2:15.0,Z. Collins misses free throw 1 of 2,,15-27,,
2:15.0,Offensive rebound by Team,,15-27,,
2:15.0,Z. Collins makes free throw 2 of 2,1,16-27,,
2:02.0,,,16-27,,D. DeRozan misses 2-pt shot from 9 ft
1:59.0,Defensive rebound by E. Davis,,16-27,,
1:51.0,D. Lillard misses 2-pt shot from 14 ft,,16-27,,
1:48.0,,,16-27,,Defensive rebound by J. Poeltl
1:44.0,,,16-30,3,F. VanVleet makes 3-pt shot from 22 ft (assist by D. DeRozan)
1:23.0,S. Napier misses 2-pt shot from 19 ft,,16-30,,
1:21.0,,,16-30,,Defensive rebound by F. VanVleet
1:00.0,,,16-32,2,D. DeRozan makes 2-pt shot from 15 ft
0:45.0,D. Lillard makes 2-pt shot from 1 ft,2,18-32,,
0:34.0,,,18-35,3,D. DeRozan makes 3-pt shot from 25 ft
0:14.0,Z. Collins misses 3-pt shot from 25 ft,,18-35,,
0:11.0,,,18-35,,Defensive rebound by J. Poeltl
0:04.0,,,18-35,,Shooting foul by Z. Collins (drawn by D. DeRozan)
0:04.0,,,18-36,1,D. DeRozan makes free throw 1 of 2
0:04.0,C. McCollum enters the game for E. Turner,,18-36,,
0:04.0,,,18-37,1,D. DeRozan makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,18-37,,Shooting foul by Z. Collins (drawn by P. Siakam)
11:42.0,,,18-38,1,P. Siakam makes free throw 1 of 2
11:42.0,A. Aminu enters the game for Z. Collins,,18-38,,
11:42.0,,,18-39,1,P. Siakam makes free throw 2 of 2
11:27.0,P. Connaughton misses 2-pt shot from 1 ft,,18-39,,
11:24.0,,,18-39,,Defensive rebound by D. Wright
11:12.0,,,18-39,,D. Wright misses 2-pt shot from 2 ft
11:08.0,,,18-39,,Offensive rebound by J. Poeltl
11:08.0,,,18-41,2,J. Poeltl makes 2-pt shot at rim
10:56.0,Shooting foul by F. VanVleet (drawn by E. Davis),,18-41,,
10:56.0,E. Davis makes free throw 1 of 2,1,19-41,,
10:56.0,E. Davis makes free throw 2 of 2,1,20-41,,
10:37.0,,,20-43,2,F. VanVleet makes 2-pt shot from 1 ft
10:25.0,C. McCollum misses 3-pt shot from 25 ft,,20-43,,
10:24.0,,,20-43,,Defensive rebound by Team
10:10.0,,,20-43,,P. Siakam misses 3-pt shot from 26 ft
10:07.0,,,20-43,,Offensive rebound by D. Wright
10:00.0,,,20-43,,D. Wright misses 2-pt shot from 2 ft
9:58.0,,,20-43,,Offensive rebound by P. Siakam
9:56.0,,,20-46,3,F. VanVleet makes 3-pt shot from 25 ft (assist by P. Siakam)
9:56.0,Portland full timeout,,20-46,,
9:46.0,Turnover by S. Napier (bad pass),,20-46,,
9:46.0,J. Nurkic enters the game for P. Connaughton,,20-46,,
9:46.0,D. Lillard enters the game for E. Davis,,20-46,,
9:26.0,,,20-49,3,D. Wright makes 3-pt shot from 25 ft (assist by N. Powell)
9:06.0,D. Lillard makes 3-pt shot from 26 ft,3,23-49,,
8:37.0,,,23-49,,F. VanVleet misses 2-pt shot from 6 ft (block by C. McCollum)
8:37.0,Defensive rebound by A. Aminu,,23-49,,
8:27.0,C. McCollum makes 2-pt shot from 4 ft,2,25-49,,
8:13.0,,,25-49,,F. VanVleet misses 3-pt shot from 25 ft
8:13.0,Defensive rebound by D. Lillard,,25-49,,
8:02.0,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard),2,27-49,,
8:01.0,,,27-49,,Toronto full timeout
8:01.0,,,27-49,,J. Valanciunas enters the game for J. Poeltl
8:01.0,,,27-49,,K. Lowry enters the game for D. Wright
7:44.0,,,27-49,,P. Siakam misses 2-pt shot from 12 ft
7:40.0,Defensive rebound by C. McCollum,,27-49,,
7:33.0,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard),2,29-49,,
7:12.0,,,29-49,,J. Valanciunas misses 2-pt shot from 10 ft
7:10.0,Defensive rebound by J. Nurkic,,29-49,,
7:03.0,C. McCollum makes 3-pt shot from 25 ft (assist by D. Lillard),3,32-49,,
6:43.0,,,32-51,2,N. Powell makes 2-pt shot from 11 ft
6:24.0,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard),2,34-51,,
6:24.0,Shooting foul by P. Siakam (drawn by J. Nurkic),,34-51,,
6:24.0,,,34-51,,D. DeRozan enters the game for F. VanVleet
6:24.0,,,34-51,,S. Ibaka enters the game for P. Siakam
6:24.0,J. Nurkic makes free throw 1 of 1,1,35-51,,
6:07.0,,,35-51,,Turnover by S. Ibaka (bad pass; steal by J. Nurkic)
6:00.0,C. McCollum misses 2-pt shot from 13 ft,,35-51,,
5:54.0,Offensive rebound by C. McCollum,,35-51,,
5:54.0,C. McCollum makes 2-pt shot at rim,2,37-51,,
5:37.0,,,37-54,3,J. Valanciunas makes 3-pt shot from 25 ft (assist by D. DeRozan)
5:21.0,C. McCollum makes 2-pt shot from 10 ft (assist by D. Lillard),2,39-54,,
5:06.0,,,39-54,,D. DeRozan misses 2-pt shot from 3 ft
5:05.0,,,39-54,,Offensive rebound by J. Valanciunas
5:05.0,,,39-54,,J. Valanciunas misses 2-pt shot from 10 ft
5:04.0,Defensive rebound by Team,,39-54,,
4:50.0,J. Nurkic makes 2-pt shot from 2 ft (assist by D. Lillard),2,41-54,,
4:49.0,,,41-54,,Toronto full timeout
4:49.0,,,41-54,,O. Anunoby enters the game for N. Powell
4:33.0,,,41-57,3,K. Lowry makes 3-pt shot from 26 ft (assist by J. Valanciunas)
4:18.0,C. McCollum misses 3-pt shot from 26 ft,,41-57,,
4:15.0,,,41-57,,Defensive rebound by S. Ibaka
4:10.0,,,41-60,3,K. Lowry makes 3-pt shot from 26 ft
4:00.0,,,41-60,,Personal block foul by D. DeRozan (drawn by D. Lillard)
3:49.0,J. Nurkic misses 2-pt shot from 2 ft (block by J. Valanciunas),,41-60,,
3:49.0,,,41-60,,Defensive rebound by Team
3:49.0,E. Turner enters the game for S. Napier,,41-60,,
3:41.0,,,41-63,3,D. DeRozan makes 3-pt shot from 25 ft (assist by K. Lowry)
3:25.0,Turnover by A. Aminu (offensive goaltending),,41-63,,
3:11.0,,,41-65,2,J. Valanciunas makes 2-pt shot from 4 ft
3:11.0,Portland full timeout,,41-65,,
2:48.0,J. Nurkic makes 2-pt shot from 2 ft (assist by D. Lillard),2,43-65,,
2:32.0,,,43-67,2,D. DeRozan makes 2-pt shot from 22 ft
2:12.0,Shooting foul by J. Valanciunas (drawn by J. Nurkic),,43-67,,
2:12.0,J. Nurkic makes free throw 1 of 2,1,44-67,,
2:12.0,J. Nurkic makes free throw 2 of 2,1,45-67,,
2:05.0,,,45-69,2,D. DeRozan makes 2-pt shot at rim
1:51.0,D. Lillard makes 3-pt shot from 27 ft,3,48-69,,
1:32.0,,,48-69,,K. Lowry misses 3-pt shot from 24 ft
1:30.0,Defensive rebound by E. Turner,,48-69,,
1:22.0,Turnover by D. Lillard (lost ball; steal by O. Anunoby),,48-69,,
1:20.0,,,48-69,,Shooting foul by D. Lillard (drawn by O. Anunoby)
1:20.0,,,48-70,1,O. Anunoby makes free throw 1 of 2
1:20.0,,,48-71,1,O. Anunoby makes free throw 2 of 2
1:11.0,D. Lillard misses 3-pt shot from 26 ft,,48-71,,
1:06.0,,,48-71,,Defensive rebound by D. DeRozan
1:02.0,,,48-74,3,D. DeRozan makes 3-pt shot from 26 ft
0:47.0,E. Turner makes 2-pt shot from 1 ft (assist by D. Lillard),2,50-74,,
0:31.0,,,50-74,,D. DeRozan misses 3-pt shot from 25 ft
0:29.0,,,50-74,,Offensive rebound by K. Lowry
0:05.0,,,50-74,,D. DeRozan misses 2-pt shot from 18 ft (block by D. Lillard)
0:02.0,Defensive rebound by D. Lillard,,50-74,,
0:00.0,C. McCollum makes 2-pt shot from 14 ft,2,52-74,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,52-76,2,S. Ibaka makes 2-pt shot from 13 ft (assist by K. Lowry)
11:32.0,C. McCollum makes 2-pt shot from 1 ft (assist by J. Nurkic),2,54-76,,
11:07.0,,,54-76,,K. Lowry misses 3-pt shot from 26 ft
11:04.0,,,54-76,,Offensive rebound by O. Anunoby
10:59.0,,,54-79,3,S. Ibaka makes 3-pt shot from 26 ft (assist by O. Anunoby)
10:44.0,Shooting foul by J. Valanciunas (drawn by J. Nurkic),,54-79,,
10:44.0,J. Nurkic misses free throw 1 of 2,,54-79,,
10:44.0,Offensive rebound by Team,,54-79,,
10:44.0,J. Nurkic makes free throw 2 of 2,1,55-79,,
10:34.0,,,55-79,,Shooting foul by E. Turner (drawn by D. DeRozan)
10:34.0,,,55-80,1,D. DeRozan makes free throw 1 of 2
10:34.0,,,55-80,,D. DeRozan misses free throw 2 of 2
10:33.0,Defensive rebound by E. Turner,,55-80,,
10:23.0,C. McCollum makes 2-pt shot from 6 ft,2,57-80,,
10:06.0,,,57-82,2,S. Ibaka makes 2-pt shot from 9 ft
9:52.0,D. Lillard misses 3-pt shot from 27 ft,,57-82,,
9:49.0,,,57-82,,Defensive rebound by J. Valanciunas
9:36.0,,,57-82,,D. DeRozan misses 3-pt shot from 22 ft
9:32.0,,,57-82,,Offensive rebound by J. Valanciunas
9:31.0,,,57-84,2,J. Valanciunas makes 2-pt shot at rim
9:16.0,E. Turner misses 2-pt shot from 1 ft,,57-84,,
9:16.0,,,57-84,,Defensive rebound by Team
9:06.0,,,57-84,,D. DeRozan misses 2-pt shot from 13 ft
9:06.0,Defensive rebound by A. Aminu,,57-84,,
8:54.0,D. Lillard misses 2-pt shot from 1 ft,,57-84,,
8:54.0,,,57-84,,Defensive rebound by O. Anunoby
8:42.0,,,57-84,,Turnover by J. Valanciunas (lost ball; steal by J. Nurkic)
8:40.0,,,57-84,,Personal foul by O. Anunoby (drawn by D. Lillard)
8:34.0,J. Nurkic makes 2-pt shot from 7 ft (assist by C. McCollum),2,59-84,,
8:12.0,,,59-84,,J. Valanciunas misses 3-pt shot from 27 ft
8:10.0,,,59-84,,Offensive rebound by Team
7:58.0,,,59-84,,O. Anunoby misses 2-pt shot from 3 ft
7:56.0,Defensive rebound by A. Aminu,,59-84,,
7:51.0,D. Lillard makes 2-pt shot from 19 ft,2,61-84,,
7:39.0,,,61-84,,S. Ibaka misses 3-pt shot from 25 ft
7:37.0,Defensive rebound by A. Aminu,,61-84,,
7:28.0,E. Turner misses 3-pt shot from 23 ft,,61-84,,
7:24.0,,,61-84,,Defensive rebound by S. Ibaka
7:16.0,,,61-84,,K. Lowry misses 3-pt shot from 29 ft
7:14.0,Defensive rebound by J. Nurkic,,61-84,,
7:05.0,D. Lillard makes 2-pt shot from 7 ft,2,63-84,,
6:58.0,,,63-84,,Toronto full timeout
6:51.0,,,63-84,,J. Valanciunas misses 2-pt shot from 4 ft
6:49.0,,,63-84,,Offensive rebound by K. Lowry
6:42.0,,,63-86,2,K. Lowry makes 2-pt shot from 12 ft
6:22.0,C. McCollum misses 3-pt shot from 26 ft,,63-86,,
6:22.0,,,63-86,,Defensive rebound by Team
6:22.0,Loose ball foul by J. Nurkic (drawn by J. Valanciunas),,63-86,,
6:12.0,,,63-86,,K. Lowry misses 3-pt shot from 26 ft
6:07.0,Defensive rebound by E. Turner,,63-86,,
6:00.0,E. Turner misses 2-pt shot from 15 ft,,63-86,,
6:00.0,Offensive rebound by Team,,63-86,,
6:00.0,,,63-86,,Loose ball foul by J. Valanciunas (drawn by J. Nurkic)
5:52.0,D. Lillard misses 2-pt shot from 2 ft,,63-86,,
5:51.0,,,63-86,,Defensive rebound by Team
5:35.0,,,63-86,,J. Valanciunas misses 2-pt shot from 2 ft
5:32.0,Defensive rebound by A. Aminu,,63-86,,
5:25.0,A. Aminu makes 3-pt shot from 26 ft (assist by J. Nurkic),3,66-86,,
5:02.0,,,66-89,3,D. DeRozan makes 3-pt shot from 26 ft (assist by S. Ibaka)
4:46.0,D. Lillard makes 2-pt shot from 1 ft,2,68-89,,
4:37.0,,,68-89,,Shooting foul by J. Nurkic (drawn by K. Lowry)
4:37.0,,,68-90,1,K. Lowry makes free throw 1 of 2
4:37.0,,,68-90,,F. VanVleet enters the game for O. Anunoby
4:37.0,,,68-90,,J. Poeltl enters the game for J. Valanciunas
4:37.0,S. Napier enters the game for E. Turner,,68-90,,
4:37.0,,,68-91,1,K. Lowry makes free throw 2 of 2
4:22.0,D. Lillard misses 3-pt shot from 27 ft,,68-91,,
4:20.0,,,68-91,,Defensive rebound by J. Poeltl
4:04.0,,,68-91,,Turnover by D. DeRozan (out of bounds lost ball)
3:50.0,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard),2,70-91,,
3:41.0,,,70-91,,K. Lowry misses 2-pt shot from 21 ft
3:37.0,Defensive rebound by J. Nurkic,,70-91,,
3:24.0,C. McCollum makes 2-pt shot from 1 ft,2,72-91,,
3:10.0,,,72-91,,F. VanVleet misses 2-pt shot from 3 ft
3:08.0,Defensive rebound by A. Aminu,,72-91,,
2:59.0,Shooting foul by S. Ibaka (drawn by A. Aminu),,72-91,,
2:59.0,Portland full timeout,,72-91,,
2:59.0,,,72-91,,D. Wright enters the game for K. Lowry
2:59.0,,,72-91,,P. Siakam enters the game for S. Ibaka
2:59.0,Z. Collins enters the game for J. Nurkic,,72-91,,
2:59.0,A. Aminu makes free throw 1 of 2,1,73-91,,
2:59.0,A. Aminu makes free throw 2 of 2,1,74-91,,
2:36.0,,,74-91,,F. VanVleet misses 2-pt shot from 12 ft
2:33.0,Defensive rebound by A. Aminu,,74-91,,
2:22.0,Shooting foul by P. Siakam (drawn by D. Lillard),,74-91,,
2:22.0,D. Lillard makes free throw 1 of 2,1,75-91,,
2:22.0,P. Connaughton enters the game for C. McCollum,,75-91,,
2:22.0,D. Lillard makes free throw 2 of 2,1,76-91,,
2:10.0,,,76-93,2,D. DeRozan makes 2-pt shot from 6 ft
1:47.0,Shooting foul by P. Siakam (drawn by D. Lillard),,76-93,,
1:47.0,D. Lillard makes free throw 1 of 2,1,77-93,,
1:47.0,D. Lillard makes free throw 2 of 2,1,78-93,,
1:22.0,,,78-93,,P. Siakam misses 3-pt shot from 23 ft
1:21.0,,,78-93,,Offensive rebound by Team
1:21.0,Loose ball foul by Z. Collins (drawn by J. Poeltl),,78-93,,
1:17.0,,,78-95,2,F. VanVleet makes 2-pt shot from 5 ft
1:17.0,,,78-95,,Shooting foul by S. Napier (drawn by F. VanVleet)
1:17.0,,,78-96,1,F. VanVleet makes free throw 1 of 1
0:59.0,Z. Collins misses 2-pt shot from 2 ft (block by J. Poeltl),,78-96,,
0:56.0,,,78-96,,Defensive rebound by F. VanVleet
0:54.0,,,78-96,,F. VanVleet misses 2-pt shot from 3 ft
0:52.0,,,78-96,,Offensive rebound by D. DeRozan
0:52.0,,,78-96,,D. DeRozan misses 2-pt shot at rim
0:51.0,,,78-96,,Offensive rebound by P. Siakam
0:51.0,,,78-98,2,P. Siakam makes 2-pt shot at rim
0:36.0,D. Lillard makes 2-pt shot from 1 ft,2,80-98,,
0:29.0,,,80-101,3,D. DeRozan makes 3-pt shot from 27 ft
0:16.0,D. Lillard misses 3-pt shot from 27 ft,,80-101,,
0:13.0,,,80-101,,Defensive rebound by D. Wright
0:08.0,E. Davis enters the game for A. Aminu,,80-101,,
0:00.0,,,80-101,,D. DeRozan misses 3-pt shot from 29 ft
0:00.0,,,80-101,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,S. Napier misses 3-pt shot from 26 ft,,80-101,,
11:36.0,,,80-101,,Defensive rebound by P. Siakam
11:32.0,,,80-101,,Shooting foul by Z. Collins (drawn by P. Siakam)
11:32.0,,,80-102,1,P. Siakam makes free throw 1 of 2
11:32.0,,,80-103,1,P. Siakam makes free throw 2 of 2
11:14.0,E. Davis makes 2-pt shot from 5 ft,2,82-103,,
10:49.0,,,82-103,,N. Powell misses 2-pt shot from 10 ft
10:46.0,,,82-103,,Offensive rebound by F. VanVleet
10:40.0,,,82-106,3,N. Powell makes 3-pt shot from 23 ft (assist by D. Wright)
10:29.0,Portland full timeout,,82-106,,
10:29.0,N. Vonleh enters the game for Z. Collins,,82-106,,
10:22.0,Shooting foul by P. Siakam (drawn by C. McCollum),,82-106,,
10:22.0,C. McCollum misses free throw 1 of 2,,82-106,,
10:22.0,Offensive rebound by Team,,82-106,,
10:22.0,C. McCollum makes free throw 2 of 2,1,83-106,,
9:59.0,,,83-106,,D. Wright misses 2-pt shot from 9 ft
9:56.0,,,83-106,,Offensive rebound by P. Siakam
9:56.0,,,83-106,,P. Siakam misses 2-pt shot at rim
9:54.0,,,83-106,,Offensive rebound by P. Siakam
9:54.0,,,83-108,2,P. Siakam makes 2-pt shot at rim
9:41.0,D. Lillard makes 2-pt shot from 1 ft,2,85-108,,
9:25.0,,,85-110,2,F. VanVleet makes 2-pt shot at rim
9:10.0,Shooting foul by D. Wright (drawn by S. Napier),,85-110,,
9:10.0,S. Napier misses free throw 1 of 2,,85-110,,
9:10.0,Offensive rebound by Team,,85-110,,
9:10.0,P. Connaughton enters the game for D. Lillard,,85-110,,
9:10.0,S. Napier makes free throw 2 of 2,1,86-110,,
8:57.0,,,86-112,2,N. Powell makes 2-pt shot from 1 ft (assist by D. Wright)
8:43.0,E. Davis makes 2-pt shot from 5 ft (assist by C. McCollum),2,88-112,,
8:24.0,,,88-112,,F. VanVleet misses 3-pt shot from 25 ft
8:24.0,Defensive rebound by Team,,88-112,,
8:24.0,,,88-112,,Loose ball foul by J. Poeltl (drawn by E. Davis)
8:00.0,Turnover by Team (shot clock),,88-112,,
7:47.0,,,88-115,3,P. Siakam makes 3-pt shot from 22 ft (assist by N. Powell)
7:36.0,Shooting foul by J. Poeltl (drawn by C. McCollum),,88-115,,
7:36.0,C. McCollum misses free throw 1 of 2,,88-115,,
7:36.0,Offensive rebound by Team,,88-115,,
7:36.0,M. Leonard enters the game for E. Davis,,88-115,,
7:36.0,C. McCollum makes free throw 2 of 2,1,89-115,,
7:25.0,,,89-115,,D. Wright misses 3-pt shot from 27 ft
7:21.0,Defensive rebound by P. Connaughton,,89-115,,
7:13.0,C. McCollum makes 2-pt shot from 6 ft (assist by P. Connaughton),2,91-115,,
6:49.0,,,91-117,2,N. Powell makes 2-pt shot from 21 ft
6:42.0,Portland full timeout,,91-117,,
6:42.0,,,91-117,,O. Anunoby enters the game for P. Siakam
6:42.0,J. Layman enters the game for C. McCollum,,91-117,,
6:42.0,M. Harkless enters the game for S. Napier,,91-117,,
6:30.0,P. Connaughton misses 2-pt shot from 17 ft,,91-117,,
6:26.0,,,91-117,,Defensive rebound by F. VanVleet
6:19.0,,,91-117,,Turnover by J. Poeltl (bad pass; steal by J. Layman)
6:15.0,Shooting foul by J. Poeltl (drawn by N. Vonleh),,91-117,,
6:15.0,N. Vonleh makes free throw 1 of 2,1,92-117,,
6:15.0,N. Vonleh misses free throw 2 of 2,,92-117,,
6:09.0,Offensive rebound by J. Layman,,92-117,,
5:53.0,Shooting foul by O. Anunoby (drawn by P. Connaughton),,92-117,,
5:53.0,P. Connaughton makes free throw 1 of 2,1,93-117,,
5:53.0,P. Connaughton misses free throw 2 of 2,,93-117,,
5:50.0,,,93-117,,Defensive rebound by N. Powell
5:33.0,,,93-120,3,F. VanVleet makes 3-pt shot from 22 ft (assist by N. Powell)
5:15.0,J. Layman misses 2-pt shot from 12 ft,,93-120,,
5:13.0,,,93-120,,Defensive rebound by F. VanVleet
4:57.0,,,93-120,,O. Anunoby misses 3-pt shot from 25 ft
4:55.0,,,93-120,,Offensive rebound by J. Poeltl
4:53.0,,,93-122,2,J. Poeltl makes 2-pt shot from 1 ft
4:30.0,M. Leonard makes 3-pt shot from 24 ft (assist by M. Harkless),3,96-122,,
4:20.0,,,96-122,,Turnover by F. VanVleet (lost ball; steal by M. Leonard)
4:08.0,N. Vonleh misses 2-pt shot from 2 ft (block by J. Poeltl),,96-122,,
4:07.0,Offensive rebound by Team,,96-122,,
4:07.0,,,96-122,,L. Nogueira enters the game for F. VanVleet
4:07.0,,,96-122,,A. McKinnie enters the game for J. Poeltl
4:01.0,,,96-122,,Personal foul by L. Nogueira (drawn by M. Leonard)
4:01.0,M. Leonard makes free throw 1 of 2,1,97-122,,
4:01.0,M. Leonard makes free throw 2 of 2,1,98-122,,
3:46.0,,,98-122,,N. Powell misses 2-pt shot from 1 ft
3:44.0,Defensive rebound by N. Vonleh,,98-122,,
3:33.0,P. Connaughton makes 2-pt shot from 2 ft,2,100-122,,
3:14.0,,,100-125,3,D. Wright makes 3-pt shot from 27 ft (assist by O. Anunoby)
2:54.0,J. Layman misses 2-pt shot from 1 ft,,100-125,,
2:53.0,,,100-125,,Defensive rebound by L. Nogueira
