time,San Antonio,pts.away,score,pts.home,Dallas
6:38.0,K. Anderson misses 2-pt shot from 18 ft,,6-11,,
6:35.0,Offensive rebound by P. Gasol,,6-11,,
6:21.0,D. Green misses 2-pt shot from 8 ft,,6-11,,
6:19.0,,,6-11,,Defensive rebound by H. Barnes
6:14.0,,,6-11,,W. Matthews misses 3-pt shot from 23 ft
6:14.0,Defensive rebound by P. Gasol,,6-11,,
6:02.0,Shooting foul by W. Matthews (drawn by K. Anderson),,6-11,,
6:02.0,K. Anderson misses free throw 1 of 2,,6-11,,
6:02.0,Offensive rebound by Team,,6-11,,
6:02.0,,,6-11,,J. Barea enters the game for D. Smith
6:02.0,,,6-11,,M. Kleber enters the game for W. Matthews
6:02.0,B. Forbes enters the game for D. Green,,6-11,,
6:02.0,R. Gay enters the game for P. Gasol,,6-11,,
6:02.0,K. Anderson makes free throw 2 of 2,1,7-11,,
5:47.0,,,7-11,,N. Noel misses 2-pt shot from 2 ft (block by P. Mills)
5:44.0,Defensive rebound by P. Mills,,7-11,,
5:34.0,R. Gay misses 2-pt shot from 11 ft,,7-11,,
5:31.0,,,7-11,,Defensive rebound by N. Noel
5:26.0,,,7-11,,Turnover by Y. Ferrell (step out of bounds)
5:26.0,D. Murray enters the game for K. Anderson,,7-11,,
5:26.0,B. Paul enters the game for P. Mills,,7-11,,
5:04.0,B. Paul makes 2-pt shot from 20 ft (assist by L. Aldridge),2,9-11,,
4:46.0,,,9-11,,H. Barnes misses 2-pt shot from 18 ft
4:44.0,Defensive rebound by D. Murray,,9-11,,
4:24.0,Turnover by L. Aldridge (traveling),,9-11,,
4:11.0,,,9-11,,Offensive foul by N. Noel (drawn by B. Paul)
4:11.0,,,9-11,,Turnover by N. Noel (offensive foul)
3:52.0,R. Gay makes 2-pt shot from 18 ft,2,11-11,,
3:33.0,,,11-11,,J. Barea misses 3-pt shot from 24 ft
3:30.0,,,11-11,,Offensive rebound by Y. Ferrell
3:28.0,,,11-11,,H. Barnes misses 2-pt shot from 4 ft
3:28.0,,,11-11,,Offensive rebound by Team
3:28.0,P. Gasol enters the game for L. Aldridge,,11-11,,
3:11.0,,,11-11,,J. Barea misses 2-pt shot from 10 ft
3:09.0,Defensive rebound by R. Gay,,11-11,,
2:58.0,D. Murray makes 2-pt shot from 13 ft,2,13-11,,
2:42.0,,,13-11,,M. Kleber misses 2-pt shot from 17 ft
2:39.0,Defensive rebound by P. Gasol,,13-11,,
2:33.0,B. Forbes misses 3-pt shot from 23 ft,,13-11,,
2:30.0,,,13-11,,Defensive rebound by Y. Ferrell
2:25.0,,,13-11,,Offensive charge foul by Y. Ferrell (drawn by B. Paul)
2:25.0,,,13-11,,Turnover by Y. Ferrell (offensive foul)
2:25.0,San Antonio full timeout,,13-11,,
2:25.0,,,13-11,,D. Nowitzki enters the game for N. Noel
2:25.0,,,13-11,,D. Smith enters the game for Y. Ferrell
2:13.0,Turnover by R. Gay (bad pass),,13-11,,
2:01.0,,,13-13,2,J. Barea makes 2-pt shot from 12 ft (assist by D. Nowitzki)
2:01.0,,,13-13,,Shooting foul by B. Paul (drawn by J. Barea)
2:01.0,,,13-13,,W. Matthews enters the game for H. Barnes
2:01.0,,,13-14,1,J. Barea makes free throw 1 of 1
1:49.0,R. Gay misses 2-pt shot from 2 ft (block by D. Nowitzki),,13-14,,
1:48.0,Offensive rebound by R. Gay,,13-14,,
1:48.0,Shooting foul by W. Matthews (drawn by R. Gay),,13-14,,
1:48.0,R. Gay makes free throw 1 of 2,1,14-14,,
1:48.0,R. Gay makes free throw 2 of 2,1,15-14,,
1:33.0,,,15-16,2,J. Barea makes 2-pt shot from 2 ft
1:15.0,B. Paul misses 3-pt shot from 25 ft,,15-16,,
1:11.0,,,15-16,,Defensive rebound by J. Barea
1:06.0,,,15-16,,W. Matthews misses 3-pt shot from 22 ft
1:03.0,Defensive rebound by P. Gasol,,15-16,,
0:56.0,D. Murray makes 2-pt shot from 10 ft,2,17-16,,
0:34.0,,,17-16,,D. Nowitzki misses 3-pt shot from 24 ft
0:30.0,Defensive rebound by R. Gay,,17-16,,
0:11.0,B. Forbes misses 2-pt shot from 15 ft,,17-16,,
0:08.0,,,17-16,,Defensive rebound by D. Smith
0:00.0,,,17-16,,D. Smith misses 3-pt shot from 27 ft
0:00.0,,,17-16,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,17-18,2,M. Kleber makes 2-pt shot from 1 ft (assist by J. Barea)
11:50.0,,,17-18,,Shooting foul by R. Gay (drawn by M. Kleber)
11:50.0,D. Green enters the game for B. Paul,,17-18,,
11:50.0,D. Bertans enters the game for D. Murray,,17-18,,
11:50.0,K. Anderson enters the game for B. Forbes,,17-18,,
11:50.0,P. Mills enters the game for R. Gay,,17-18,,
11:50.0,,,17-19,1,M. Kleber makes free throw 1 of 1
11:39.0,P. Mills makes 3-pt shot from 23 ft (assist by D. Green),3,20-19,,
11:25.0,,,20-21,2,D. Nowitzki makes 2-pt shot from 19 ft (assist by D. Smith)
11:13.0,P. Mills makes 2-pt shot from 19 ft,2,22-21,,
10:56.0,,,22-24,3,J. Barea makes 3-pt shot from 22 ft (assist by D. Nowitzki)
10:38.0,P. Mills misses 2-pt shot from 2 ft (block by M. Kleber),,22-24,,
10:38.0,Offensive rebound by Team,,22-24,,
10:33.0,D. Green makes 2-pt shot from 19 ft (assist by J. Lauvergne),2,24-24,,
10:11.0,,,24-26,2,M. Kleber makes 2-pt shot from 1 ft (assist by D. Nowitzki)
9:59.0,P. Mills makes 3-pt shot from 25 ft,3,27-26,,
9:42.0,,,27-29,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by J. Barea)
9:41.0,San Antonio full timeout,,27-29,,
9:41.0,L. Aldridge enters the game for J. Lauvergne,,27-29,,
9:25.0,D. Bertans misses 3-pt shot from 22 ft,,27-29,,
9:22.0,,,27-29,,Defensive rebound by M. Kleber
9:02.0,,,27-31,2,D. Nowitzki makes 2-pt shot from 13 ft (assist by J. Barea)
8:46.0,L. Aldridge makes 2-pt shot from 11 ft,2,29-31,,
8:29.0,,,29-31,,Turnover by D. Smith (bad pass; steal by D. Bertans)
8:18.0,P. Mills makes 2-pt shot from 17 ft,2,31-31,,
7:55.0,,,31-31,,J. Barea misses 3-pt shot from 22 ft
7:51.0,Defensive rebound by P. Mills,,31-31,,
7:44.0,Turnover by D. Bertans (bad pass; steal by J. Barea),,31-31,,
7:27.0,,,31-31,,Turnover by D. Nowitzki (lost ball; steal by K. Anderson)
7:26.0,,,31-31,,Personal foul by D. Smith (drawn by P. Mills)
7:26.0,,,31-31,,S. Mejri enters the game for J. Barea
7:26.0,,,31-31,,H. Barnes enters the game for D. Nowitzki
7:26.0,,,31-31,,Y. Ferrell enters the game for M. Kleber
7:08.0,L. Aldridge misses 3-pt shot from 25 ft,,31-31,,
7:08.0,,,31-31,,Defensive rebound by D. Smith
6:57.0,,,31-31,,D. Smith misses 2-pt shot from 14 ft
6:53.0,Defensive rebound by L. Aldridge,,31-31,,
6:42.0,P. Mills makes 3-pt shot from 23 ft (assist by L. Aldridge),3,34-31,,
6:41.0,,,34-31,,Dallas full timeout
6:41.0,,,34-31,,M. Kleber enters the game for W. Matthews
6:41.0,P. Gasol enters the game for D. Bertans,,34-31,,
6:23.0,,,34-31,,H. Barnes misses 2-pt shot from 9 ft
6:20.0,Defensive rebound by D. Green,,34-31,,
6:07.0,P. Mills misses 3-pt shot from 25 ft,,34-31,,
6:05.0,,,34-31,,Defensive rebound by D. Smith
5:52.0,,,34-31,,Y. Ferrell misses 3-pt shot from 25 ft
5:49.0,Defensive rebound by D. Green,,34-31,,
5:44.0,K. Anderson makes 2-pt shot from 1 ft (assist by P. Mills),2,36-31,,
5:21.0,,,36-34,3,D. Smith makes 3-pt shot from 23 ft
5:00.0,L. Aldridge misses 2-pt shot from 9 ft,,36-34,,
4:59.0,,,36-34,,Defensive rebound by Team
4:59.0,Personal foul by K. Anderson (drawn by Y. Ferrell),,36-34,,
4:59.0,D. Murray enters the game for P. Mills,,36-34,,
4:59.0,B. Forbes enters the game for D. Green,,36-34,,
4:45.0,,,36-36,2,D. Smith makes 2-pt shot from 16 ft
4:26.0,D. Murray makes 3-pt shot from 26 ft (assist by P. Gasol),3,39-36,,
4:12.0,,,39-36,,D. Smith misses 3-pt shot from 24 ft
4:10.0,Defensive rebound by D. Murray,,39-36,,
3:56.0,L. Aldridge misses 2-pt shot from 12 ft,,39-36,,
3:53.0,,,39-36,,Defensive rebound by S. Mejri
3:40.0,,,39-36,,H. Barnes misses 2-pt shot from 12 ft
3:38.0,Defensive rebound by P. Gasol,,39-36,,
3:33.0,,,39-36,,Personal foul by S. Mejri (drawn by L. Aldridge)
3:33.0,Technical foul by L. Aldridge,,39-36,,
3:33.0,,,39-37,1,H. Barnes makes technical free throw
3:33.0,,,39-37,,W. Matthews enters the game for M. Kleber
3:33.0,R. Gay enters the game for K. Anderson,,39-37,,
3:23.0,L. Aldridge makes 2-pt shot from 2 ft,2,41-37,,
3:04.0,,,41-37,,D. Smith misses 3-pt shot from 24 ft
3:02.0,Defensive rebound by D. Murray,,41-37,,
2:58.0,D. Murray misses 2-pt shot from 6 ft (block by S. Mejri),,41-37,,
2:58.0,Offensive rebound by Team,,41-37,,
2:58.0,,,41-37,,J. Barea enters the game for D. Smith
2:58.0,,,41-37,,D. Nowitzki enters the game for S. Mejri
2:58.0,D. Green enters the game for P. Gasol,,41-37,,
2:50.0,B. Forbes misses 3-pt shot from 25 ft,,41-37,,
2:46.0,Offensive rebound by R. Gay,,41-37,,
2:44.0,R. Gay misses 2-pt shot at rim,,41-37,,
2:42.0,,,41-37,,Defensive rebound by J. Barea
2:35.0,,,41-37,,Turnover by J. Barea (out of bounds lost ball)
2:21.0,L. Aldridge misses 2-pt shot from 12 ft,,41-37,,
2:21.0,,,41-37,,Defensive rebound by D. Nowitzki
2:10.0,,,41-39,2,W. Matthews makes 2-pt shot from 8 ft
1:46.0,L. Aldridge misses 3-pt shot from 25 ft,,41-39,,
1:42.0,,,41-39,,Defensive rebound by D. Nowitzki
1:34.0,,,41-39,,Y. Ferrell misses 3-pt shot from 24 ft
1:34.0,Defensive rebound by L. Aldridge,,41-39,,
1:19.0,Offensive foul by R. Gay (drawn by J. Barea),,41-39,,
1:19.0,Turnover by R. Gay (offensive foul),,41-39,,
0:55.0,,,41-39,,W. Matthews misses 2-pt shot from 13 ft
0:52.0,Defensive rebound by R. Gay,,41-39,,
0:40.0,D. Murray misses 3-pt shot from 25 ft,,41-39,,
0:38.0,,,41-39,,Defensive rebound by D. Nowitzki
0:32.0,,,41-39,,W. Matthews misses 2-pt shot at rim (block by R. Gay)
0:29.0,Defensive rebound by R. Gay,,41-39,,
0:19.0,L. Aldridge makes 2-pt shot from 3 ft (assist by R. Gay),2,43-39,,
0:19.0,Shooting foul by Y. Ferrell (drawn by L. Aldridge),,43-39,,
0:19.0,P. Mills enters the game for D. Murray,,43-39,,
0:19.0,K. Anderson enters the game for B. Forbes,,43-39,,
0:19.0,,,43-39,,D. Smith enters the game for Y. Ferrell
0:19.0,L. Aldridge makes free throw 1 of 1,1,44-39,,
0:01.0,,,44-39,,H. Barnes misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by D. Green,,44-39,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,,,44-39,,Turnover by D. Smith (lost ball; steal by D. Green)
11:42.0,Turnover by P. Gasol (bad pass; steal by W. Matthews),,44-39,,
11:32.0,,,44-39,,H. Barnes misses 2-pt shot from 6 ft
11:30.0,Defensive rebound by K. Anderson,,44-39,,
11:15.0,P. Gasol misses 2-pt shot from 9 ft,,44-39,,
11:12.0,Offensive rebound by L. Aldridge,,44-39,,
11:12.0,L. Aldridge makes 2-pt shot at rim,2,46-39,,
11:02.0,,,46-39,,Y. Ferrell misses 2-pt shot from 2 ft (block by L. Aldridge)
10:59.0,,,46-39,,Offensive rebound by H. Barnes
10:58.0,,,46-39,,H. Barnes misses 2-pt shot from 1 ft (block by L. Aldridge)
10:58.0,Defensive rebound by P. Gasol,,46-39,,
10:44.0,L. Aldridge misses 2-pt shot from 18 ft,,46-39,,
10:42.0,,,46-39,,Defensive rebound by W. Matthews
10:29.0,,,46-41,2,D. Nowitzki makes 2-pt shot from 13 ft
10:17.0,P. Mills misses 3-pt shot from 25 ft,,46-41,,
10:14.0,,,46-41,,Defensive rebound by H. Barnes
10:08.0,,,46-41,,D. Nowitzki misses 3-pt shot from 25 ft
10:08.0,Defensive rebound by L. Aldridge,,46-41,,
9:50.0,D. Green misses 3-pt shot from 26 ft,,46-41,,
9:46.0,,,46-41,,Defensive rebound by W. Matthews
9:36.0,,,46-41,,D. Smith misses 2-pt shot from 19 ft
9:34.0,Defensive rebound by P. Mills,,46-41,,
9:27.0,L. Aldridge makes 2-pt shot from 2 ft (assist by P. Gasol),2,48-41,,
9:27.0,Shooting foul by H. Barnes (drawn by L. Aldridge),,48-41,,
9:27.0,,,48-41,,J. Barea enters the game for Y. Ferrell
9:27.0,M. Ginobili enters the game for D. Green,,48-41,,
9:27.0,L. Aldridge misses free throw 1 of 1,,48-41,,
9:23.0,,,48-41,,Defensive rebound by H. Barnes
9:02.0,,,48-41,,W. Matthews misses 2-pt shot from 12 ft
8:59.0,Defensive rebound by M. Ginobili,,48-41,,
8:53.0,P. Gasol misses 3-pt shot from 25 ft,,48-41,,
8:53.0,,,48-41,,Defensive rebound by W. Matthews
8:40.0,,,48-41,,H. Barnes misses 3-pt shot from 26 ft
8:40.0,Defensive rebound by K. Anderson,,48-41,,
8:30.0,L. Aldridge misses 2-pt shot from 4 ft,,48-41,,
8:30.0,,,48-41,,Defensive rebound by J. Barea
8:18.0,,,48-41,,H. Barnes misses 2-pt shot from 3 ft
8:18.0,Defensive rebound by K. Anderson,,48-41,,
8:10.0,P. Mills misses 3-pt shot from 23 ft,,48-41,,
8:10.0,,,48-41,,Defensive rebound by W. Matthews
8:08.0,,,48-41,,Dallas full timeout
8:08.0,,,48-41,,Y. Ferrell enters the game for D. Smith
7:58.0,Personal foul by M. Ginobili (drawn by D. Nowitzki),,48-41,,
7:48.0,,,48-43,2,H. Barnes makes 2-pt shot from 1 ft (assist by D. Nowitzki)
7:30.0,Turnover by P. Gasol (bad pass; steal by H. Barnes),,48-43,,
7:24.0,,,48-43,,Turnover by H. Barnes (lost ball; steal by L. Aldridge)
7:18.0,P. Gasol misses 3-pt shot from 22 ft,,48-43,,
7:15.0,Offensive rebound by K. Anderson,,48-43,,
7:15.0,Shooting foul by D. Nowitzki (drawn by K. Anderson),,48-43,,
7:15.0,K. Anderson makes free throw 1 of 2,1,49-43,,
7:15.0,,,49-43,,D. Smith enters the game for J. Barea
7:15.0,K. Anderson makes free throw 2 of 2,1,50-43,,
7:01.0,,,50-43,,Shooting foul by L. Aldridge (drawn by D. Smith)
7:01.0,,,50-44,1,D. Smith makes free throw 1 of 2
7:01.0,D. Murray enters the game for P. Mills,,50-44,,
7:01.0,,,50-45,1,D. Smith makes free throw 2 of 2
6:42.0,M. Ginobili makes 2-pt shot from 7 ft,2,52-45,,
6:30.0,,,52-45,,D. Smith misses 2-pt shot from 1 ft
6:28.0,Defensive rebound by D. Murray,,52-45,,
6:21.0,L. Aldridge makes 2-pt shot from 20 ft (assist by K. Anderson),2,54-45,,
6:06.0,,,54-45,,Y. Ferrell misses 3-pt shot from 25 ft
6:03.0,Defensive rebound by P. Gasol,,54-45,,
5:48.0,M. Ginobili makes 2-pt shot from 13 ft,2,56-45,,
5:32.0,,,56-45,,Shooting foul by D. Murray (drawn by H. Barnes)
5:32.0,,,56-46,1,H. Barnes makes free throw 1 of 2
5:32.0,,,56-46,,S. Mejri enters the game for D. Nowitzki
5:32.0,R. Gay enters the game for P. Gasol,,56-46,,
5:32.0,,,56-47,1,H. Barnes makes free throw 2 of 2
5:20.0,,,56-47,,Personal foul by S. Mejri (drawn by L. Aldridge)
5:06.0,K. Anderson misses 2-pt shot from 5 ft,,56-47,,
5:02.0,Offensive rebound by D. Murray,,56-47,,
4:51.0,Turnover by R. Gay (traveling),,56-47,,
4:42.0,,,56-47,,D. Smith misses 2-pt shot from 2 ft
4:40.0,Defensive rebound by D. Murray,,56-47,,
4:28.0,L. Aldridge makes 2-pt shot from 7 ft,2,58-47,,
4:28.0,,,58-47,,Dallas full timeout
4:28.0,,,58-47,,J. Barea enters the game for D. Smith
4:28.0,B. Forbes enters the game for K. Anderson,,58-47,,
4:14.0,,,58-49,2,W. Matthews makes 2-pt shot from 13 ft (assist by Y. Ferrell)
3:53.0,R. Gay misses 3-pt shot from 24 ft,,58-49,,
3:51.0,,,58-49,,Defensive rebound by J. Barea
3:42.0,,,58-49,,W. Matthews misses 3-pt shot from 24 ft
3:38.0,Defensive rebound by D. Murray,,58-49,,
3:23.0,B. Forbes makes 2-pt shot at rim (assist by L. Aldridge),2,60-49,,
3:11.0,,,60-51,2,J. Barea makes 2-pt shot from 17 ft
2:57.0,M. Ginobili misses 2-pt shot from 10 ft,,60-51,,
2:53.0,Offensive rebound by B. Forbes,,60-51,,
2:40.0,D. Murray makes 2-pt shot from 2 ft (assist by R. Gay),2,62-51,,
2:23.0,,,62-54,3,J. Barea makes 3-pt shot from 25 ft (assist by H. Barnes)
2:21.0,San Antonio full timeout,,62-54,,
2:21.0,,,62-54,,M. Kleber enters the game for W. Matthews
2:21.0,P. Mills enters the game for D. Murray,,62-54,,
2:21.0,J. Lauvergne enters the game for L. Aldridge,,62-54,,
2:08.0,R. Gay misses 2-pt shot from 6 ft (block by S. Mejri),,62-54,,
2:08.0,Offensive rebound by Team,,62-54,,
2:06.0,M. Ginobili misses 2-pt shot from 15 ft,,62-54,,
2:03.0,,,62-54,,Defensive rebound by J. Barea
1:55.0,,,62-54,,Y. Ferrell misses 3-pt shot from 24 ft
1:51.0,,,62-54,,Offensive rebound by S. Mejri
1:51.0,Personal foul by R. Gay (drawn by S. Mejri),,62-54,,
1:44.0,,,62-57,3,J. Barea makes 3-pt shot from 25 ft (assist by Y. Ferrell)
1:21.0,P. Mills misses 3-pt shot from 24 ft,,62-57,,
1:17.0,,,62-57,,Defensive rebound by J. Barea
1:17.0,Personal foul by J. Lauvergne (drawn by S. Mejri),,62-57,,
1:17.0,,,62-57,,S. Mejri misses free throw 1 of 2
1:17.0,,,62-57,,Offensive rebound by Team
1:17.0,D. Green enters the game for M. Ginobili,,62-57,,
1:17.0,,,62-58,1,S. Mejri makes free throw 2 of 2
1:06.0,,,62-58,,Personal foul by M. Kleber (drawn by R. Gay)
0:57.0,P. Mills misses 3-pt shot from 24 ft,,62-58,,
0:55.0,,,62-58,,Defensive rebound by S. Mejri
0:34.0,,,62-60,2,S. Mejri makes 2-pt shot from 1 ft (assist by J. Barea)
0:14.0,Turnover by P. Mills (lost ball; steal by S. Mejri),,62-60,,
0:01.0,,,62-60,,J. Barea misses 3-pt shot from 26 ft
0:01.0,Defensive rebound by B. Forbes,,62-60,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,R. Gay misses 2-pt shot from 9 ft,,62-60,,
11:40.0,,,62-60,,Defensive rebound by D. Smith
11:30.0,,,62-60,,Shooting foul by B. Forbes (drawn by W. Matthews)
11:30.0,,,62-61,1,W. Matthews makes free throw 1 of 2
11:30.0,,,62-61,,W. Matthews misses free throw 2 of 2
11:27.0,Defensive rebound by B. Forbes,,62-61,,
11:11.0,B. Forbes makes 2-pt shot from 20 ft,2,64-61,,
11:11.0,Shooting foul by W. Matthews (drawn by B. Forbes),,64-61,,
11:11.0,K. Anderson enters the game for R. Gay,,64-61,,
11:11.0,B. Forbes misses free throw 1 of 1,,64-61,,
11:09.0,,,64-61,,Defensive rebound by D. Smith
10:50.0,,,64-61,,Turnover by D. Smith (traveling)
10:41.0,P. Mills makes 3-pt shot from 24 ft (assist by P. Gasol),3,67-61,,
10:40.0,,,67-61,,Dallas full timeout
10:28.0,,,67-63,2,W. Matthews makes 2-pt shot from 4 ft (assist by D. Nowitzki)
10:28.0,,,67-63,,Shooting foul by B. Forbes (drawn by W. Matthews)
10:28.0,,,67-63,,W. Matthews misses free throw 1 of 1
10:25.0,Defensive rebound by P. Gasol,,67-63,,
10:18.0,P. Mills makes 2-pt shot at rim,2,69-63,,
9:58.0,,,69-66,3,D. Smith makes 3-pt shot from 24 ft (assist by D. Nowitzki)
9:37.0,P. Gasol misses 2-pt shot from 6 ft,,69-66,,
9:35.0,,,69-66,,Defensive rebound by D. Nowitzki
9:22.0,,,69-66,,D. Smith misses 3-pt shot from 22 ft (block by D. Green)
9:21.0,,,69-66,,Offensive rebound by Team
9:21.0,B. Paul enters the game for B. Forbes,,69-66,,
9:16.0,,,69-66,,Turnover by J. Barea (bad pass; steal by P. Mills)
9:05.0,D. Green makes 2-pt shot at rim,2,71-66,,
8:44.0,,,71-66,,M. Kleber misses 3-pt shot from 25 ft
8:41.0,Defensive rebound by K. Anderson,,71-66,,
8:26.0,B. Paul misses 3-pt shot from 23 ft,,71-66,,
8:23.0,,,71-66,,Defensive rebound by D. Nowitzki
8:14.0,,,71-66,,M. Kleber misses 3-pt shot from 25 ft
8:12.0,Defensive rebound by Team,,71-66,,
8:12.0,,,71-66,,Personal foul by W. Matthews (drawn by B. Paul)
8:12.0,,,71-66,,H. Barnes enters the game for D. Nowitzki
8:12.0,,,71-66,,S. Mejri enters the game for M. Kleber
8:12.0,L. Aldridge enters the game for P. Mills,,71-66,,
8:12.0,M. Ginobili enters the game for D. Green,,71-66,,
8:12.0,D. Murray enters the game for P. Gasol,,71-66,,
7:55.0,L. Aldridge makes 2-pt shot from 18 ft (assist by B. Paul),2,73-66,,
7:32.0,,,73-68,2,H. Barnes makes 2-pt shot from 1 ft
7:22.0,Shooting foul by D. Smith (drawn by D. Murray),,73-68,,
7:22.0,D. Murray misses free throw 1 of 2,,73-68,,
7:22.0,Offensive rebound by Team,,73-68,,
7:22.0,D. Murray makes free throw 2 of 2,1,74-68,,
6:59.0,,,74-71,3,D. Smith makes 3-pt shot from 25 ft (assist by S. Mejri)
6:42.0,Shooting foul by S. Mejri (drawn by L. Aldridge),,74-71,,
6:42.0,L. Aldridge makes free throw 1 of 2,1,75-71,,
6:42.0,L. Aldridge makes free throw 2 of 2,1,76-71,,
6:31.0,Personal foul by D. Murray (drawn by D. Smith),,76-71,,
6:24.0,,,76-71,,D. Smith misses 2-pt shot from 5 ft (block by K. Anderson)
6:23.0,,,76-71,,Offensive rebound by Team
6:15.0,,,76-71,,D. Smith misses 3-pt shot from 25 ft
6:15.0,Defensive rebound by K. Anderson,,76-71,,
5:59.0,L. Aldridge makes 2-pt shot from 13 ft,2,78-71,,
5:45.0,,,78-71,,J. Barea misses 2-pt shot from 9 ft
5:42.0,Defensive rebound by K. Anderson,,78-71,,
5:40.0,,,78-71,,Personal foul by S. Mejri (drawn by K. Anderson)
5:40.0,K. Anderson makes free throw 1 of 2,1,79-71,,
5:40.0,,,79-71,,Y. Ferrell enters the game for J. Barea
5:40.0,K. Anderson makes free throw 2 of 2,1,80-71,,
5:26.0,,,80-71,,W. Matthews misses 3-pt shot from 25 ft
5:23.0,Defensive rebound by B. Paul,,80-71,,
5:03.0,L. Aldridge makes 2-pt shot at rim (assist by K. Anderson),2,82-71,,
5:03.0,,,82-71,,Dallas full timeout
5:03.0,P. Mills enters the game for B. Paul,,82-71,,
4:46.0,,,82-71,,Shooting foul by P. Mills (drawn by H. Barnes)
4:46.0,,,82-72,1,H. Barnes makes free throw 1 of 2
4:46.0,,,82-73,1,H. Barnes makes free throw 2 of 2
4:22.0,D. Murray misses 2-pt shot from 14 ft,,82-73,,
4:20.0,Offensive rebound by K. Anderson,,82-73,,
4:19.0,Shooting foul by D. Smith (drawn by L. Aldridge),,82-73,,
4:19.0,L. Aldridge makes free throw 1 of 2,1,83-73,,
4:19.0,,,83-73,,D. Nowitzki enters the game for S. Mejri
4:19.0,L. Aldridge makes free throw 2 of 2,1,84-73,,
3:55.0,,,84-75,2,D. Smith makes 2-pt shot from 11 ft
3:37.0,M. Ginobili makes 3-pt shot from 24 ft (assist by L. Aldridge),3,87-75,,
3:25.0,,,87-75,,D. Smith misses 2-pt shot from 1 ft
3:24.0,,,87-75,,Offensive rebound by D. Nowitzki
3:24.0,,,87-77,2,D. Nowitzki makes 2-pt shot from 1 ft
3:24.0,,,87-77,,Shooting foul by D. Murray (drawn by D. Nowitzki)
3:24.0,San Antonio full timeout,,87-77,,
3:24.0,D. Green enters the game for D. Murray,,87-77,,
3:24.0,,,87-78,1,D. Nowitzki makes free throw 1 of 1
3:06.0,L. Aldridge misses 2-pt shot from 16 ft,,87-78,,
3:03.0,,,87-78,,Defensive rebound by D. Nowitzki
2:50.0,,,87-78,,Turnover by Y. Ferrell (bad pass; steal by P. Mills)
2:37.0,Shooting foul by D. Smith (drawn by L. Aldridge),,87-78,,
2:37.0,L. Aldridge makes free throw 1 of 2,1,88-78,,
2:37.0,L. Aldridge makes free throw 2 of 2,1,89-78,,
2:22.0,,,89-78,,H. Barnes misses 2-pt shot from 17 ft
