time,Charlotte,pts.away,score,pts.home,LA Clippers
5:13.0,K. Walker misses free throw 3 of 3,,14-16,,
5:10.0,,,14-16,,Defensive rebound by B. Griffin
5:00.0,,,14-18,2,B. Griffin makes 2-pt shot from 18 ft (assist by L. Williams)
4:37.0,N. Batum makes 2-pt shot from 12 ft,2,16-18,,
4:27.0,,,16-18,,D. Jordan misses 2-pt shot from 1 ft
4:24.0,Defensive rebound by J. Lamb,,16-18,,
4:20.0,F. Kaminsky misses 3-pt shot from 24 ft,,16-18,,
4:16.0,,,16-18,,Defensive rebound by D. Jordan
4:08.0,,,16-18,,B. Griffin misses 3-pt shot from 25 ft
4:03.0,,,16-18,,Offensive rebound by W. Johnson
4:00.0,,,16-18,,L. Williams misses 2-pt shot from 5 ft
4:00.0,Defensive rebound by J. Lamb,,16-18,,
3:48.0,J. Lamb misses 2-pt shot from 18 ft,,16-18,,
3:45.0,,,16-18,,Defensive rebound by D. Jordan
3:24.0,,,16-20,2,B. Griffin makes 2-pt shot from 1 ft
3:13.0,N. Batum misses 3-pt shot from 22 ft,,16-20,,
3:13.0,Offensive rebound by F. Kaminsky,,16-20,,
2:52.0,N. Batum misses 3-pt shot from 25 ft,,16-20,,
2:49.0,,,16-20,,Defensive rebound by D. Jordan
2:29.0,,,16-22,2,D. Jordan makes 2-pt shot from 1 ft (assist by B. Griffin)
2:16.0,Turnover by N. Batum (bad pass),,16-22,,
2:16.0,,,16-22,,LA Clippers full timeout
2:16.0,,,16-22,,S. Dekker enters the game for B. Griffin
2:16.0,M. Carter-Williams enters the game for N. Batum,,16-22,,
2:05.0,,,16-22,,S. Dekker misses 2-pt shot from 12 ft
2:02.0,Defensive rebound by D. Howard,,16-22,,
1:47.0,Turnover by D. Howard (bad pass; steal by C. Williams),,16-22,,
1:42.0,,,16-22,,Turnover by S. Dekker (bad pass; steal by J. Lamb)
1:36.0,K. Walker makes 3-pt shot from 23 ft (assist by J. Lamb),3,19-22,,
1:16.0,,,19-24,2,L. Williams makes 2-pt shot from 13 ft
1:00.0,J. Lamb makes 3-pt shot from 23 ft (assist by K. Walker),3,22-24,,
0:43.0,,,22-27,3,L. Williams makes 3-pt shot from 24 ft (assist by D. Jordan)
0:33.0,K. Walker misses 3-pt shot from 25 ft,,22-27,,
0:31.0,,,22-27,,Defensive rebound by D. Jordan
0:11.0,,,22-29,2,S. Dekker makes 2-pt shot at rim (assist by L. Williams)
0:00.0,K. Walker misses 3-pt shot from 26 ft,,22-29,,
0:00.0,Offensive rebound by Team,,22-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,,,22-29,,Personal foul by W. Johnson (drawn by M. Carter-Williams)
11:51.0,,,22-29,,Turnover by W. Johnson (turnover)
11:36.0,Turnover by M. Carter-Williams (bad pass; steal by S. Thornwell),,22-29,,
11:30.0,,,22-29,,Turnover by L. Williams (bad pass; steal by J. Lamb)
11:20.0,F. Kaminsky misses 2-pt shot from 15 ft,,22-29,,
11:16.0,Offensive rebound by M. Carter-Williams,,22-29,,
11:14.0,J. O'Bryant makes 2-pt shot from 13 ft,2,24-29,,
11:04.0,Personal foul by J. O'Bryant (drawn by L. Williams),,24-29,,
10:55.0,,,24-29,,Offensive foul by S. Thornwell (drawn by T. Graham)
10:55.0,,,24-29,,Turnover by S. Thornwell (offensive foul)
10:41.0,J. O'Bryant misses 2-pt shot from 14 ft,,24-29,,
10:39.0,Offensive rebound by M. Carter-Williams,,24-29,,
10:36.0,T. Graham makes 3-pt shot from 25 ft (assist by M. Carter-Williams),3,27-29,,
10:22.0,,,27-31,2,W. Johnson makes 2-pt shot from 1 ft (assist by L. Williams)
10:02.0,Shooting foul by S. Thornwell (drawn by F. Kaminsky),,27-31,,
10:02.0,F. Kaminsky makes free throw 1 of 2,1,28-31,,
10:02.0,,,28-31,,M. Teodosic enters the game for W. Johnson
10:02.0,F. Kaminsky makes free throw 2 of 2,1,29-31,,
9:49.0,,,29-31,,M. Teodosic misses 3-pt shot from 25 ft
9:41.0,Defensive rebound by M. Carter-Williams,,29-31,,
9:32.0,Offensive charge foul by F. Kaminsky (drawn by M. Harrell),,29-31,,
9:32.0,Turnover by F. Kaminsky (offensive foul),,29-31,,
9:25.0,Personal foul by M. Carter-Williams (drawn by L. Williams),,29-31,,
9:14.0,,,29-31,,M. Harrell misses 2-pt shot from 1 ft (block by F. Kaminsky)
9:11.0,Defensive rebound by F. Kaminsky,,29-31,,
9:07.0,T. Graham makes 3-pt shot from 22 ft (assist by J. Lamb),3,32-31,,
8:53.0,,,32-31,,L. Williams misses 3-pt shot from 29 ft
8:50.0,Defensive rebound by F. Kaminsky,,32-31,,
8:36.0,F. Kaminsky makes 2-pt shot from 9 ft,2,34-31,,
8:34.0,,,34-31,,LA Clippers full timeout
8:20.0,,,34-31,,L. Williams misses 3-pt shot from 22 ft
8:16.0,Defensive rebound by J. Lamb,,34-31,,
8:09.0,J. Lamb misses 2-pt shot from 13 ft,,34-31,,
8:07.0,,,34-31,,Defensive rebound by S. Dekker
7:57.0,,,34-31,,S. Dekker misses 2-pt shot from 6 ft
7:54.0,Defensive rebound by F. Kaminsky,,34-31,,
7:34.0,Turnover by J. O'Bryant (lost ball; steal by S. Dekker),,34-31,,
7:19.0,,,34-31,,M. Harrell misses 2-pt shot from 2 ft
7:17.0,Defensive rebound by M. Carter-Williams,,34-31,,
7:13.0,F. Kaminsky misses 3-pt shot from 25 ft,,34-31,,
7:09.0,,,34-31,,Defensive rebound by S. Thornwell
7:08.0,,,34-31,,Turnover by M. Teodosic (bad pass)
7:08.0,,,34-31,,Technical foul by M. Harrell
7:08.0,,,34-31,,B. Griffin enters the game for S. Thornwell
7:08.0,D. Howard enters the game for J. O'Bryant,,34-31,,
7:08.0,J. Lamb makes technical free throw,1,35-31,,
6:58.0,,,35-31,,Def 3 sec tech foul by M. Harrell
6:58.0,J. Lamb makes technical free throw,1,36-31,,
6:58.0,,,36-31,,D. Jordan enters the game for M. Harrell
6:48.0,F. Kaminsky makes 3-pt shot from 26 ft (assist by T. Graham),3,39-31,,
6:35.0,,,39-34,3,M. Teodosic makes 3-pt shot from 26 ft (assist by B. Griffin)
6:20.0,M. Carter-Williams makes 2-pt shot from 11 ft,2,41-34,,
6:11.0,,,41-34,,L. Williams misses 2-pt shot from 14 ft
6:07.0,,,41-34,,Offensive rebound by S. Dekker
5:57.0,,,41-34,,Turnover by S. Dekker (lost ball; steal by D. Howard)
5:57.0,,,41-34,,Personal foul by D. Jordan (drawn by T. Graham)
5:57.0,,,41-34,,C. Williams enters the game for S. Dekker
5:57.0,N. Batum enters the game for T. Graham,,41-34,,
5:46.0,J. Lamb misses 2-pt shot from 11 ft,,41-34,,
5:43.0,,,41-34,,Defensive rebound by D. Jordan
5:31.0,,,41-34,,B. Griffin misses 3-pt shot from 25 ft
5:26.0,Defensive rebound by F. Kaminsky,,41-34,,
5:19.0,J. Lamb misses 2-pt shot from 16 ft,,41-34,,
5:15.0,Offensive rebound by D. Howard,,41-34,,
5:02.0,M. Carter-Williams misses 3-pt shot from 25 ft,,41-34,,
4:59.0,,,41-34,,Defensive rebound by D. Jordan
4:50.0,,,41-34,,Shooting foul by F. Kaminsky (drawn by L. Williams)
4:50.0,,,41-35,1,L. Williams makes free throw 1 of 2
4:50.0,K. Walker enters the game for J. Lamb,,41-35,,
4:50.0,M. Kidd-Gilchrist enters the game for M. Carter-Williams,,41-35,,
4:50.0,M. Williams enters the game for F. Kaminsky,,41-35,,
4:50.0,,,41-36,1,L. Williams makes free throw 2 of 2
4:38.0,Turnover by D. Howard (traveling),,41-36,,
4:26.0,,,41-36,,M. Teodosic misses 3-pt shot from 25 ft
4:24.0,Defensive rebound by D. Howard,,41-36,,
4:06.0,K. Walker makes 2-pt shot from 1 ft (assist by M. Kidd-Gilchrist),2,43-36,,
3:57.0,,,43-36,,L. Williams misses 2-pt shot from 1 ft
3:55.0,Defensive rebound by N. Batum,,43-36,,
3:50.0,M. Williams misses 3-pt shot from 24 ft,,43-36,,
3:47.0,Offensive rebound by M. Kidd-Gilchrist,,43-36,,
3:39.0,D. Howard misses 2-pt shot from 5 ft,,43-36,,
3:36.0,Offensive rebound by N. Batum,,43-36,,
3:34.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by N. Batum),2,45-36,,
3:33.0,,,45-36,,LA Clippers full timeout
3:33.0,,,45-36,,J. Evans enters the game for L. Williams
3:23.0,,,45-36,,Turnover by B. Griffin (lost ball; steal by K. Walker)
3:23.0,,,45-36,,Personal foul by J. Evans (drawn by K. Walker)
3:23.0,K. Walker makes clear path free throw 2 of 2,1,46-36,,
3:23.0,K. Walker makes clear path free throw 1 of 2,1,47-36,,
3:23.0,,,47-36,,W. Johnson enters the game for J. Evans
3:10.0,D. Howard misses 2-pt shot from 19 ft,,47-36,,
3:06.0,,,47-36,,Defensive rebound by D. Jordan
3:03.0,,,47-36,,M. Teodosic misses 3-pt shot from 25 ft
3:00.0,Defensive rebound by D. Howard,,47-36,,
2:54.0,Turnover by M. Kidd-Gilchrist (lost ball; steal by W. Johnson),,47-36,,
2:36.0,,,47-36,,W. Johnson misses 3-pt shot from 26 ft
2:34.0,Defensive rebound by D. Howard,,47-36,,
2:27.0,Shooting foul by C. Williams (drawn by K. Walker),,47-36,,
2:27.0,K. Walker misses free throw 1 of 2,,47-36,,
2:27.0,Offensive rebound by Team,,47-36,,
2:27.0,K. Walker makes free throw 2 of 2,1,48-36,,
2:16.0,Personal foul by M. Williams (drawn by B. Griffin),,48-36,,
2:16.0,,,48-36,,L. Williams enters the game for C. Williams
2:07.0,,,48-36,,M. Teodosic misses 3-pt shot from 26 ft
2:03.0,Defensive rebound by N. Batum,,48-36,,
1:56.0,K. Walker makes 2-pt shot from 14 ft (assist by N. Batum),2,50-36,,
1:44.0,,,50-36,,Shooting foul by K. Walker (drawn by W. Johnson)
1:44.0,,,50-37,1,W. Johnson makes free throw 1 of 2
1:44.0,,,50-38,1,W. Johnson makes free throw 2 of 2
1:30.0,Turnover by M. Williams (bad pass),,50-38,,
1:23.0,,,50-40,2,L. Williams makes 2-pt shot from 13 ft
0:59.0,K. Walker makes 2-pt shot from 17 ft (assist by N. Batum),2,52-40,,
0:51.0,,,52-40,,Offensive foul by D. Jordan (drawn by M. Kidd-Gilchrist)
0:51.0,,,52-40,,Turnover by D. Jordan (offensive foul)
0:51.0,T. Graham enters the game for M. Williams,,52-40,,
0:41.0,N. Batum misses 3-pt shot from 24 ft,,52-40,,
0:38.0,,,52-40,,Defensive rebound by D. Jordan
0:29.0,,,52-40,,Turnover by B. Griffin (traveling)
0:14.0,K. Walker misses 3-pt shot from 26 ft,,52-40,,
0:10.0,,,52-40,,Defensive rebound by W. Johnson
0:02.0,,,52-42,2,B. Griffin makes 2-pt shot from 8 ft
0:00.0,K. Walker misses 3-pt shot from 45 ft,,52-42,,
0:00.0,Offensive rebound by Team,,52-42,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,52-42,,C. Williams misses 2-pt shot from 2 ft (block by N. Batum)
11:49.0,,,52-42,,Offensive rebound by Team
11:40.0,,,52-42,,M. Teodosic misses 2-pt shot from 13 ft
11:38.0,Defensive rebound by D. Howard,,52-42,,
11:17.0,N. Batum misses 2-pt shot from 2 ft,,52-42,,
11:15.0,,,52-42,,Defensive rebound by B. Griffin
11:06.0,,,52-42,,D. Jordan misses 2-pt shot from 8 ft
11:04.0,Defensive rebound by D. Howard,,52-42,,
10:55.0,Turnover by K. Walker (bad pass; steal by B. Griffin),,52-42,,
10:41.0,,,52-44,2,B. Griffin makes 2-pt shot from 1 ft
10:15.0,D. Howard misses 2-pt shot from 3 ft,,52-44,,
10:13.0,,,52-44,,Defensive rebound by B. Griffin
10:08.0,,,52-44,,B. Griffin misses 3-pt shot from 25 ft
10:05.0,Defensive rebound by M. Kidd-Gilchrist,,52-44,,
10:00.0,M. Williams misses 3-pt shot from 22 ft,,52-44,,
10:00.0,,,52-44,,Defensive rebound by D. Jordan
9:43.0,,,52-44,,C. Williams misses 3-pt shot from 22 ft
9:41.0,,,52-44,,Offensive rebound by D. Jordan
9:41.0,Personal foul by M. Kidd-Gilchrist (drawn by D. Jordan),,52-44,,
9:32.0,,,52-44,,B. Griffin misses 3-pt shot from 23 ft
9:29.0,Defensive rebound by M. Williams,,52-44,,
9:21.0,,,52-44,,Personal foul by B. Griffin (drawn by M. Williams)
9:11.0,N. Batum misses 3-pt shot from 23 ft,,52-44,,
9:08.0,,,52-44,,Defensive rebound by W. Johnson
9:01.0,,,52-46,2,M. Teodosic makes 2-pt shot from 10 ft
9:01.0,Charlotte full timeout,,52-46,,
8:41.0,D. Howard misses 2-pt shot from 8 ft,,52-46,,
8:38.0,,,52-46,,Defensive rebound by W. Johnson
8:27.0,,,52-46,,Turnover by M. Teodosic (bad pass; steal by M. Williams)
8:24.0,M. Kidd-Gilchrist misses 2-pt shot from 3 ft (block by B. Griffin),,52-46,,
8:24.0,Offensive rebound by Team,,52-46,,
8:20.0,D. Howard makes 2-pt shot from 18 ft (assist by N. Batum),2,54-46,,
7:59.0,,,54-46,,Shooting foul by M. Kidd-Gilchrist (drawn by D. Jordan)
7:59.0,,,54-47,1,D. Jordan makes free throw 1 of 2
7:59.0,,,54-48,1,D. Jordan makes free throw 2 of 2
7:35.0,K. Walker misses 2-pt shot from 19 ft,,54-48,,
7:32.0,,,54-48,,Defensive rebound by W. Johnson
7:13.0,,,54-48,,B. Griffin misses 2-pt shot from 9 ft
7:09.0,,,54-48,,Offensive rebound by D. Jordan
7:09.0,,,54-48,,Shooting foul by M. Kidd-Gilchrist (drawn by D. Jordan)
7:09.0,,,54-49,1,D. Jordan makes free throw 1 of 2
7:09.0,,,54-50,1,D. Jordan makes free throw 2 of 2
6:57.0,N. Batum misses 2-pt shot from 18 ft,,54-50,,
6:56.0,,,54-50,,Defensive rebound by W. Johnson
6:52.0,,,54-50,,M. Teodosic misses 3-pt shot from 25 ft
6:52.0,,,54-50,,Offensive rebound by Team
6:50.0,Loose ball foul by M. Kidd-Gilchrist (drawn by D. Jordan),,54-50,,
6:50.0,T. Graham enters the game for M. Kidd-Gilchrist,,54-50,,
6:40.0,,,54-52,2,B. Griffin makes 2-pt shot from 1 ft (assist by M. Teodosic)
6:20.0,D. Howard misses 2-pt shot from 14 ft,,54-52,,
6:18.0,,,54-52,,Defensive rebound by W. Johnson
6:15.0,,,54-52,,Turnover by M. Teodosic (bad pass; steal by K. Walker)
6:13.0,,,54-52,,Personal block foul by M. Teodosic (drawn by N. Batum)
6:13.0,F. Kaminsky enters the game for M. Williams,,54-52,,
5:59.0,N. Batum misses 2-pt shot from 15 ft,,54-52,,
5:56.0,,,54-52,,Defensive rebound by B. Griffin
5:50.0,,,54-52,,Shooting foul by D. Howard (drawn by B. Griffin)
5:50.0,,,54-53,1,B. Griffin makes free throw 1 of 2
5:50.0,,,54-54,1,B. Griffin makes free throw 2 of 2
5:42.0,K. Walker makes 2-pt shot from 1 ft,2,56-54,,
5:23.0,,,56-54,,Turnover by B. Griffin (bad pass; steal by D. Howard)
5:19.0,T. Graham misses 2-pt shot from 1 ft (block by B. Griffin),,56-54,,
5:19.0,Offensive rebound by Team,,56-54,,
5:19.0,,,56-54,,L. Williams enters the game for W. Johnson
5:19.0,J. Lamb enters the game for N. Batum,,56-54,,
5:17.0,K. Walker makes 2-pt shot from 16 ft (assist by J. Lamb),2,58-54,,
4:59.0,,,58-56,2,B. Griffin makes 2-pt shot from 1 ft (assist by M. Teodosic)
4:46.0,K. Walker misses 2-pt shot from 16 ft,,58-56,,
4:45.0,Offensive rebound by Team,,58-56,,
4:45.0,Offensive foul by D. Howard,,58-56,,
4:45.0,Turnover by D. Howard (offensive foul),,58-56,,
4:45.0,,,58-56,,LA Clippers full timeout
4:45.0,Technical foul by D. Howard,,58-56,,
4:45.0,,,58-57,1,L. Williams makes technical free throw
4:26.0,,,58-57,,L. Williams misses 2-pt shot from 20 ft
4:24.0,Defensive rebound by F. Kaminsky,,58-57,,
4:16.0,K. Walker misses 2-pt shot from 6 ft,,58-57,,
4:14.0,,,58-57,,Defensive rebound by D. Jordan
4:05.0,,,58-60,3,B. Griffin makes 3-pt shot from 25 ft (assist by M. Teodosic)
3:44.0,K. Walker misses 3-pt shot from 26 ft,,58-60,,
3:41.0,,,58-60,,Defensive rebound by C. Williams
3:33.0,,,58-60,,J. Evans enters the game for M. Teodosic
3:23.0,,,58-62,2,C. Williams makes 2-pt shot at rim (assist by J. Evans)
3:08.0,Offensive foul by D. Howard (drawn by B. Griffin),,58-62,,
3:08.0,Turnover by D. Howard (offensive foul),,58-62,,
3:08.0,J. O'Bryant enters the game for D. Howard,,58-62,,
2:56.0,,,58-62,,Turnover by C. Williams (step out of bounds)
2:42.0,Shooting foul by C. Williams (drawn by J. Lamb),,58-62,,
2:42.0,J. Lamb misses free throw 1 of 2,,58-62,,
2:42.0,Offensive rebound by Team,,58-62,,
2:42.0,J. Lamb makes free throw 2 of 2,1,59-62,,
2:23.0,,,59-65,3,B. Griffin makes 3-pt shot from 25 ft
2:00.0,F. Kaminsky makes 2-pt shot from 3 ft,2,61-65,,
1:54.0,Personal foul by J. O'Bryant (drawn by D. Jordan),,61-65,,
1:54.0,,,61-66,1,D. Jordan makes free throw 1 of 2
1:54.0,,,61-66,,S. Dekker enters the game for B. Griffin
1:54.0,,,61-67,1,D. Jordan makes free throw 2 of 2
1:41.0,Turnover by T. Graham (bad pass; steal by L. Williams),,61-67,,
1:33.0,,,61-67,,L. Williams misses 2-pt shot from 3 ft (block by F. Kaminsky)
1:33.0,,,61-67,,Offensive rebound by Team
1:33.0,M. Carter-Williams enters the game for K. Walker,,61-67,,
1:30.0,,,61-69,2,J. Evans makes 2-pt shot from 1 ft (assist by L. Williams)
1:19.0,Jump ball: J. Evans vs. M. Carter-Williams (J. Lamb gains possession),,,,Jump ball: J. Evans vs. M. Carter-Williams (J. Lamb gains possession)
1:16.0,F. Kaminsky makes 3-pt shot from 24 ft (assist by J. Lamb),3,64-69,,
1:00.0,,,64-72,3,L. Williams makes 3-pt shot from 24 ft (assist by D. Jordan)
0:52.0,,,64-72,,Personal foul by S. Dekker (drawn by M. Carter-Williams)
0:52.0,,,64-72,,M. Harrell enters the game for D. Jordan
0:47.0,F. Kaminsky misses 2-pt shot from 1 ft,,64-72,,
0:46.0,Offensive rebound by F. Kaminsky,,64-72,,
0:46.0,Shooting foul by L. Williams (drawn by J. O'Bryant),,64-72,,
0:46.0,J. O'Bryant makes free throw 1 of 2,1,65-72,,
0:46.0,J. O'Bryant makes free throw 2 of 2,1,66-72,,
0:43.0,Personal foul by T. Graham (drawn by L. Williams),,66-72,,
0:43.0,,,66-72,,L. Williams misses free throw 1 of 2
0:43.0,,,66-72,,Offensive rebound by Team
0:43.0,,,66-73,1,L. Williams makes free throw 2 of 2
0:37.0,J. Lamb misses 2-pt shot from 2 ft,,66-73,,
0:36.0,,,66-73,,Defensive rebound by Team
0:33.0,,,66-75,2,M. Harrell makes 2-pt shot at rim (assist by L. Williams)
0:14.0,J. Lamb misses 3-pt shot from 27 ft (block by M. Harrell),,66-75,,
0:10.0,Offensive rebound by T. Graham,,66-75,,
0:08.0,T. Graham misses 2-pt shot from 15 ft,,66-75,,
0:08.0,,,66-75,,Defensive rebound by J. Evans
0:04.0,,,66-75,,J. Evans misses 2-pt shot from 9 ft
0:04.0,Defensive rebound by J. Lamb,,66-75,,
0:00.0,J. Lamb misses 3-pt shot from 43 ft,,66-75,,
0:00.0,Offensive rebound by Team,,66-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,F. Kaminsky makes 2-pt shot from 16 ft,2,68-75,,
11:15.0,,,68-77,2,S. Dekker makes 2-pt shot from 6 ft (assist by L. Williams)
11:00.0,J. Lamb makes 2-pt shot from 8 ft (assist by M. Carter-Williams),2,70-77,,
10:52.0,,,70-77,,Shooting foul by J. O'Bryant (drawn by L. Williams)
10:52.0,,,70-78,1,L. Williams makes free throw 1 of 2
10:52.0,,,70-79,1,L. Williams makes free throw 2 of 2
10:43.0,,,70-79,,Personal foul by J. Evans (drawn by M. Carter-Williams)
10:35.0,Turnover by T. Graham (traveling),,70-79,,
10:28.0,,,70-79,,L. Williams misses 3-pt shot from 25 ft
10:25.0,Defensive rebound by T. Graham,,70-79,,
10:20.0,,,70-79,,Personal foul by L. Williams (drawn by J. Lamb)
10:09.0,J. O'Bryant makes 2-pt shot from 7 ft (assist by J. Lamb),2,72-79,,
9:46.0,,,72-79,,L. Williams misses 2-pt shot from 3 ft
9:45.0,,,72-79,,Offensive rebound by M. Harrell
9:43.0,,,72-79,,Turnover by Team (shot clock)
9:26.0,Turnover by J. Lamb (lost ball; steal by J. Evans),,72-79,,
9:22.0,Shooting block foul by T. Graham (drawn by S. Dekker),,72-79,,
9:22.0,,,72-79,,S. Dekker misses free throw 1 of 2
9:22.0,,,72-79,,Offensive rebound by Team
9:22.0,,,72-80,1,S. Dekker makes free throw 2 of 2
9:04.0,F. Kaminsky misses 2-pt shot from 7 ft (block by W. Johnson),,72-80,,
9:01.0,Offensive rebound by M. Carter-Williams,,72-80,,
8:59.0,T. Graham misses 3-pt shot from 23 ft,,72-80,,
8:54.0,Offensive rebound by J. O'Bryant,,72-80,,
8:54.0,J. O'Bryant makes 2-pt shot at rim,2,74-80,,
8:44.0,,,74-80,,Turnover by J. Evans (lost ball; steal by J. Lamb)
8:40.0,J. Lamb makes 2-pt shot from 2 ft (assist by T. Graham),2,76-80,,
8:40.0,,,76-80,,LA Clippers full timeout
8:40.0,,,76-80,,M. Teodosic enters the game for J. Evans
8:27.0,,,76-82,2,L. Williams makes 2-pt shot from 5 ft
8:08.0,Turnover by J. Lamb (bad pass; steal by S. Dekker),,76-82,,
8:05.0,,,76-84,2,S. Dekker makes 2-pt shot at rim (assist by M. Teodosic)
7:49.0,J. O'Bryant misses 2-pt shot from 15 ft,,76-84,,
7:49.0,,,76-84,,Defensive rebound by L. Williams
7:37.0,,,76-86,2,M. Harrell makes 2-pt shot from 1 ft (assist by L. Williams)
7:15.0,J. O'Bryant misses 2-pt shot from 10 ft,,76-86,,
7:12.0,Offensive rebound by J. Lamb,,76-86,,
7:11.0,J. Lamb makes 2-pt shot at rim,2,78-86,,
7:01.0,,,78-88,2,M. Harrell makes 2-pt shot from 1 ft (assist by L. Williams)
6:41.0,T. Graham misses 2-pt shot from 2 ft,,78-88,,
6:37.0,Offensive rebound by J. O'Bryant,,78-88,,
6:37.0,J. O'Bryant makes 2-pt shot at rim,2,80-88,,
6:18.0,,,80-88,,Turnover by M. Harrell (lost ball; steal by F. Kaminsky)
6:10.0,T. Graham makes 3-pt shot from 24 ft (assist by F. Kaminsky),3,83-88,,
6:09.0,,,83-88,,LA Clippers full timeout
6:09.0,,,83-88,,C. Williams enters the game for M. Harrell
6:09.0,,,83-88,,D. Jordan enters the game for S. Dekker
