time,Philadelphia,pts.away,score,pts.home,LA Lakers
5:07.0,Shooting foul by B. Lopez (drawn by B. Simmons),,24-13,,
5:07.0,B. Simmons misses free throw 1 of 2,,24-13,,
5:07.0,Offensive rebound by Team,,24-13,,
5:07.0,,,24-13,,J. Randle enters the game for K. Kuzma
5:07.0,,,24-13,,J. Clarkson enters the game for L. Ball
5:07.0,B. Simmons misses free throw 2 of 2,,24-13,,
5:04.0,,,24-13,,Defensive rebound by J. Randle
4:52.0,,,24-13,,Turnover by J. Randle (bad pass; steal by B. Simmons)
4:43.0,Turnover by T. McConnell (bad pass),,24-13,,
4:20.0,,,24-13,,K. Caldwell-Pope misses 3-pt shot from 25 ft
4:18.0,Defensive rebound by R. Covington,,24-13,,
4:12.0,R. Covington misses 3-pt shot from 25 ft,,24-13,,
4:08.0,,,24-13,,Defensive rebound by K. Caldwell-Pope
4:02.0,Violation by B. Simmons (kicked ball),,24-13,,
4:02.0,,,24-13,,A. Bogut enters the game for B. Lopez
4:02.0,J. Redick enters the game for B. Simmons,,24-13,,
4:02.0,D. Saric enters the game for R. Covington,,24-13,,
3:52.0,,,24-13,,J. Randle misses 2-pt shot from 2 ft (block by A. Johnson)
3:47.0,Defensive rebound by J. Redick,,24-13,,
3:41.0,T. Luwawu-Cabarrot misses 3-pt shot from 25 ft,,24-13,,
3:41.0,,,24-13,,Defensive rebound by A. Bogut
3:27.0,,,24-13,,J. Clarkson misses 2-pt shot from 11 ft
3:27.0,,,24-13,,Offensive rebound by A. Bogut
3:22.0,,,24-15,2,A. Bogut makes 2-pt shot at rim
3:16.0,Turnover by T. McConnell (lost ball; steal by J. Randle),,24-15,,
3:13.0,,,24-17,2,J. Randle makes 2-pt shot at rim (assist by J. Clarkson)
2:56.0,J. Redick misses 2-pt shot from 22 ft,,24-17,,
2:56.0,,,24-17,,Defensive rebound by J. Randle
2:36.0,,,24-17,,Turnover by J. Randle (bad pass; steal by T. McConnell)
2:32.0,T. McConnell makes 2-pt shot at rim,2,26-17,,
2:16.0,,,26-19,2,B. Ingram makes 2-pt shot from 19 ft (assist by J. Clarkson)
2:15.0,Philadelphia full timeout,,26-19,,
2:15.0,J. Embiid enters the game for A. Johnson,,26-19,,
2:06.0,Offensive foul by J. Redick (drawn by A. Bogut),,26-19,,
2:06.0,Turnover by J. Redick (offensive foul),,26-19,,
2:06.0,J. Anderson enters the game for T. Luwawu-Cabarrot,,26-19,,
1:58.0,,,26-19,,Shooting foul by J. Redick (drawn by K. Caldwell-Pope)
1:58.0,,,26-20,1,K. Caldwell-Pope makes free throw 1 of 2
1:58.0,,,26-21,1,K. Caldwell-Pope makes free throw 2 of 2
1:49.0,,,26-21,,Personal foul by J. Randle (drawn by D. Saric)
1:40.0,Turnover by J. Embiid (out of bounds lost ball),,26-21,,
1:29.0,,,26-21,,B. Ingram misses 2-pt shot from 20 ft
1:25.0,Defensive rebound by J. Embiid,,26-21,,
1:17.0,J. Embiid misses 2-pt shot from 2 ft (block by B. Ingram),,26-21,,
1:17.0,Offensive rebound by J. Embiid,,26-21,,
1:17.0,J. Embiid makes 2-pt shot from 2 ft,2,28-21,,
1:17.0,Shooting foul by B. Ingram (drawn by J. Embiid),,28-21,,
1:17.0,,,28-21,,C. Brewer enters the game for B. Ingram
1:17.0,T. Luwawu-Cabarrot enters the game for J. Redick,,28-21,,
1:17.0,J. Embiid makes free throw 1 of 1,1,29-21,,
1:07.0,,,29-21,,J. Clarkson misses 2-pt shot from 15 ft
1:04.0,Defensive rebound by T. McConnell,,29-21,,
0:57.0,D. Saric misses 2-pt shot from 18 ft,,29-21,,
0:55.0,,,29-21,,Defensive rebound by K. Caldwell-Pope
0:46.0,,,29-21,,J. Clarkson misses 2-pt shot from 7 ft
0:45.0,,,29-21,,Offensive rebound by A. Bogut
0:45.0,,,29-23,2,A. Bogut makes 2-pt shot at rim
0:32.0,T. McConnell misses 2-pt shot from 3 ft (block by K. Caldwell-Pope),,29-23,,
0:29.0,,,29-23,,Defensive rebound by J. Clarkson
0:26.0,,,29-26,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by J. Clarkson)
0:04.0,J. Anderson misses 2-pt shot from 18 ft,,29-26,,
0:02.0,,,29-26,,Defensive rebound by K. Caldwell-Pope
0:01.0,,,29-26,,K. Caldwell-Pope misses 3-pt shot from 44 ft
0:00.0,,,29-26,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,29-28,2,J. Clarkson makes 2-pt shot from 1 ft
11:20.0,,,29-28,,Personal foul by L. Ball (drawn by D. Saric)
11:12.0,B. Simmons misses 2-pt shot from 9 ft,,29-28,,
11:09.0,,,29-28,,Defensive rebound by A. Bogut
11:02.0,,,29-28,,J. Clarkson misses 3-pt shot from 26 ft
10:59.0,Defensive rebound by B. Simmons,,29-28,,
10:49.0,D. Saric misses 3-pt shot from 24 ft,,29-28,,
10:45.0,Offensive rebound by J. Embiid,,29-28,,
10:40.0,T. Luwawu-Cabarrot misses 3-pt shot from 24 ft,,29-28,,
10:38.0,Offensive rebound by B. Simmons,,29-28,,
10:35.0,Turnover by B. Simmons (bad pass; steal by C. Brewer),,29-28,,
10:32.0,,,29-30,2,C. Brewer makes 2-pt shot at rim
10:19.0,J. Anderson misses 3-pt shot from 24 ft,,29-30,,
10:19.0,,,29-30,,Defensive rebound by C. Brewer
10:15.0,Personal foul by J. Anderson (drawn by C. Brewer),,29-30,,
10:07.0,,,29-30,,C. Brewer misses 3-pt shot from 22 ft
10:07.0,Defensive rebound by D. Saric,,29-30,,
9:47.0,Shooting foul by A. Bogut (drawn by J. Anderson),,29-30,,
9:47.0,J. Anderson makes free throw 1 of 2,1,30-30,,
9:47.0,T. McConnell enters the game for D. Saric,,30-30,,
9:47.0,J. Anderson makes free throw 2 of 2,1,31-30,,
9:38.0,,,31-30,,L. Ball misses 2-pt shot from 1 ft
9:36.0,Defensive rebound by J. Embiid,,31-30,,
9:32.0,J. Anderson makes 2-pt shot from 2 ft (assist by B. Simmons),2,33-30,,
9:32.0,Shooting foul by C. Brewer (drawn by J. Anderson),,33-30,,
9:32.0,,,33-30,,LA Lakers full timeout
9:32.0,J. Anderson makes free throw 1 of 1,1,34-30,,
9:20.0,R. Covington enters the game for J. Anderson,,34-30,,
9:06.0,,,34-30,,C. Brewer misses 2-pt shot from 4 ft (block by J. Embiid)
9:04.0,Defensive rebound by J. Embiid,,34-30,,
8:59.0,Shooting foul by L. Ball (drawn by J. Embiid),,34-30,,
8:59.0,J. Embiid makes free throw 1 of 2,1,35-30,,
8:59.0,,,35-30,,B. Ingram enters the game for C. Brewer
8:59.0,J. Embiid makes free throw 2 of 2,1,36-30,,
8:50.0,,,36-30,,J. Randle misses 2-pt shot from 11 ft
8:47.0,Defensive rebound by B. Simmons,,36-30,,
8:39.0,Shooting foul by A. Bogut (drawn by J. Embiid),,36-30,,
8:39.0,J. Embiid makes free throw 1 of 2,1,37-30,,
8:39.0,J. Embiid makes free throw 2 of 2,1,38-30,,
8:32.0,,,38-30,,Turnover by L. Ball (traveling)
8:15.0,R. Covington makes 3-pt shot from 25 ft (assist by J. Embiid),3,41-30,,
7:53.0,,,41-30,,A. Bogut misses 2-pt shot from 10 ft
7:51.0,Defensive rebound by J. Embiid,,41-30,,
7:46.0,J. Embiid misses 3-pt shot from 25 ft,,41-30,,
7:43.0,,,41-30,,Defensive rebound by J. Randle
7:38.0,,,41-30,,L. Ball misses 3-pt shot from 25 ft
7:34.0,,,41-30,,Offensive rebound by A. Bogut
7:30.0,,,41-32,2,J. Clarkson makes 2-pt shot from 1 ft
7:24.0,Turnover by R. Covington (bad pass; steal by J. Clarkson),,41-32,,
7:21.0,,,41-32,,L. Ball misses 3-pt shot from 25 ft (block by B. Simmons)
7:19.0,Defensive rebound by J. Embiid,,41-32,,
7:07.0,T. Luwawu-Cabarrot makes 3-pt shot from 22 ft (assist by T. McConnell),3,44-32,,
6:55.0,Personal foul by T. Luwawu-Cabarrot (drawn by J. Clarkson),,44-32,,
6:55.0,,,44-32,,K. Kuzma enters the game for J. Clarkson
6:55.0,,,44-32,,K. Caldwell-Pope enters the game for A. Bogut
6:55.0,A. Johnson enters the game for T. Luwawu-Cabarrot,,44-32,,
6:55.0,J. Redick enters the game for J. Embiid,,44-32,,
6:45.0,,,44-32,,Shooting foul by R. Covington (drawn by K. Kuzma)
6:45.0,,,44-33,1,K. Kuzma makes free throw 1 of 2
6:45.0,,,44-34,1,K. Kuzma makes free throw 2 of 2
6:38.0,Turnover by A. Johnson (out of bounds lost ball),,44-34,,
6:26.0,,,44-36,2,L. Ball makes 2-pt shot from 2 ft
6:12.0,Turnover by A. Johnson (turnover),,44-36,,
6:00.0,,,44-36,,J. Randle misses 2-pt shot from 2 ft
5:56.0,Defensive rebound by R. Covington,,44-36,,
5:51.0,B. Simmons makes 2-pt shot from 11 ft,2,46-36,,
5:40.0,,,46-38,2,K. Kuzma makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope)
5:24.0,Offensive foul by R. Covington (drawn by K. Caldwell-Pope),,46-38,,
5:24.0,Turnover by R. Covington (offensive foul),,46-38,,
5:24.0,,,46-38,,J. Clarkson enters the game for L. Ball
5:06.0,,,46-40,2,B. Ingram makes 2-pt shot from 1 ft
5:06.0,Philadelphia full timeout,,46-40,,
5:06.0,T. Luwawu-Cabarrot enters the game for R. Covington,,46-40,,
4:55.0,T. Luwawu-Cabarrot misses 3-pt shot from 26 ft,,46-40,,
4:53.0,,,46-40,,Defensive rebound by Team
4:42.0,,,46-40,,K. Kuzma misses 2-pt shot from 4 ft
4:34.0,,,46-40,,Offensive rebound by K. Kuzma
4:31.0,,,46-42,2,K. Kuzma makes 2-pt shot from 1 ft
4:25.0,J. Redick makes 2-pt shot from 15 ft (assist by B. Simmons),2,48-42,,
4:13.0,,,48-42,,K. Kuzma misses 2-pt shot from 10 ft
4:07.0,,,48-42,,Offensive rebound by J. Randle
4:07.0,,,48-42,,J. Randle misses 2-pt shot at rim
4:06.0,,,48-42,,Offensive rebound by J. Randle
4:05.0,,,48-42,,J. Randle misses 2-pt shot from 1 ft
3:59.0,,,48-42,,Offensive rebound by K. Kuzma
3:59.0,,,48-42,,K. Kuzma misses 2-pt shot at rim
3:51.0,Defensive rebound by J. Redick,,48-42,,
3:49.0,T. McConnell makes 3-pt shot from 25 ft (assist by J. Redick),3,51-42,,
3:39.0,,,51-42,,J. Clarkson misses 2-pt shot from 8 ft
3:36.0,,,51-42,,Offensive rebound by J. Clarkson
3:34.0,,,51-45,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by B. Ingram)
3:15.0,Turnover by T. McConnell (turnover),,51-45,,
3:07.0,,,51-45,,B. Lopez enters the game for J. Randle
3:07.0,D. Saric enters the game for A. Johnson,,51-45,,
3:07.0,J. Embiid enters the game for B. Simmons,,51-45,,
2:56.0,,,51-45,,J. Clarkson misses 2-pt shot from 9 ft
2:50.0,Defensive rebound by T. McConnell,,51-45,,
2:48.0,Turnover by T. Luwawu-Cabarrot (step out of bounds),,51-45,,
2:29.0,,,51-45,,J. Clarkson misses 2-pt shot from 2 ft (block by D. Saric)
2:25.0,Defensive rebound by J. Embiid,,51-45,,
2:19.0,Shooting foul by B. Lopez (drawn by J. Embiid),,51-45,,
2:19.0,,,51-45,,Technical foul by J. Clarkson
2:19.0,J. Redick makes technical free throw,1,52-45,,
2:19.0,J. Embiid makes free throw 1 of 2,1,53-45,,
2:19.0,B. Simmons enters the game for T. McConnell,,53-45,,
2:19.0,J. Embiid misses free throw 2 of 2,,53-45,,
2:17.0,,,53-45,,Defensive rebound by B. Ingram
2:02.0,,,53-45,,Turnover by K. Kuzma (traveling)
1:53.0,J. Embiid makes 2-pt shot at rim (assist by B. Simmons),2,55-45,,
1:32.0,,,55-47,2,B. Ingram makes 2-pt shot from 11 ft (assist by B. Lopez)
1:16.0,B. Simmons misses 2-pt shot from 10 ft,,55-47,,
1:12.0,,,55-47,,Defensive rebound by B. Ingram
1:10.0,,,55-47,,Shooting foul by J. Embiid (drawn by K. Kuzma)
1:10.0,,,55-48,1,K. Kuzma makes free throw 1 of 2
1:10.0,,,55-49,1,K. Kuzma makes free throw 2 of 2
0:58.0,J. Redick misses 3-pt shot from 25 ft,,55-49,,
0:54.0,,,55-49,,Defensive rebound by K. Kuzma
0:45.0,,,55-49,,Shooting foul by J. Redick (drawn by J. Clarkson)
0:45.0,,,55-50,1,J. Clarkson makes free throw 1 of 2
0:45.0,J. Anderson enters the game for J. Redick,,55-50,,
0:45.0,,,55-51,1,J. Clarkson makes free throw 2 of 2
0:37.0,J. Embiid makes 2-pt shot from 1 ft (assist by B. Simmons),2,57-51,,
0:37.0,Shooting foul by K. Caldwell-Pope (drawn by J. Embiid),,57-51,,
0:37.0,Technical foul by T. Luwawu-Cabarrot,,57-51,,
0:37.0,,,57-52,1,J. Clarkson makes technical free throw
0:37.0,J. Embiid makes free throw 1 of 1,1,58-52,,
0:32.0,,,58-52,,J. Clarkson misses 2-pt shot at rim
0:31.0,,,58-52,,Offensive rebound by J. Clarkson
0:31.0,,,58-54,2,J. Clarkson makes 2-pt shot at rim
0:18.0,D. Saric misses 3-pt shot from 30 ft,,58-54,,
0:15.0,,,58-54,,Defensive rebound by B. Lopez
0:01.0,,,58-54,,B. Lopez misses 3-pt shot from 22 ft
0:01.0,,,58-54,,Offensive rebound by K. Kuzma
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,58-54,,B. Lopez misses 2-pt shot from 9 ft (block by J. Embiid)
11:41.0,Defensive rebound by J. Embiid,,58-54,,
11:31.0,B. Simmons misses 2-pt shot from 8 ft,,58-54,,
11:27.0,,,58-54,,Defensive rebound by B. Ingram
11:23.0,,,58-54,,B. Lopez misses 2-pt shot from 1 ft (block by D. Saric)
11:22.0,,,58-54,,Offensive rebound by B. Lopez
11:22.0,,,58-54,,Shooting foul by B. Simmons (drawn by B. Lopez)
11:22.0,,,58-55,1,B. Lopez makes free throw 1 of 2
11:22.0,,,58-56,1,B. Lopez makes free throw 2 of 2
11:12.0,J. Embiid misses 2-pt shot from 13 ft,,58-56,,
11:08.0,,,58-56,,Defensive rebound by B. Ingram
11:03.0,,,58-58,2,B. Lopez makes 2-pt shot from 5 ft (assist by B. Ingram)
10:51.0,Shooting foul by L. Ball (drawn by B. Simmons),,58-58,,
10:51.0,B. Simmons makes free throw 1 of 2,1,59-58,,
10:51.0,B. Simmons makes free throw 2 of 2,1,60-58,,
10:37.0,,,60-60,2,K. Caldwell-Pope makes 2-pt shot from 18 ft (assist by B. Lopez)
10:28.0,B. Simmons makes 2-pt shot from 1 ft (assist by J. Embiid),2,62-60,,
10:12.0,,,62-60,,B. Lopez misses 2-pt shot from 11 ft
10:12.0,Defensive rebound by B. Simmons,,62-60,,
10:04.0,Shooting foul by B. Lopez (drawn by J. Embiid),,62-60,,
10:04.0,J. Embiid makes free throw 1 of 2,1,63-60,,
10:04.0,J. Embiid makes free throw 2 of 2,1,64-60,,
9:50.0,,,64-62,2,B. Lopez makes 2-pt shot from 2 ft (assist by B. Ingram)
9:33.0,J. Embiid makes 2-pt shot from 1 ft (assist by J. Redick),2,66-62,,
9:17.0,,,66-64,2,K. Kuzma makes 2-pt shot from 3 ft
8:59.0,Turnover by J. Embiid (lost ball; steal by K. Caldwell-Pope),,66-64,,
8:46.0,,,66-64,,B. Lopez misses 3-pt shot from 27 ft
8:43.0,Defensive rebound by B. Simmons,,66-64,,
8:35.0,D. Saric makes 2-pt shot from 20 ft (assist by B. Simmons),2,68-64,,
8:21.0,,,68-66,2,B. Ingram makes 2-pt shot from 15 ft
8:09.0,J. Embiid makes 2-pt shot from 8 ft,2,70-66,,
7:56.0,,,70-66,,L. Ball misses 3-pt shot from 26 ft
7:54.0,Defensive rebound by J. Redick,,70-66,,
7:52.0,Turnover by J. Redick (bad pass; steal by L. Ball),,70-66,,
7:48.0,,,70-66,,L. Ball misses 3-pt shot from 25 ft
7:46.0,Defensive rebound by J. Redick,,70-66,,
7:35.0,J. Redick makes 2-pt shot at rim (assist by B. Simmons),2,72-66,,
7:35.0,,,72-66,,LA Lakers full timeout
7:35.0,,,72-66,,A. Bogut enters the game for B. Lopez
7:35.0,T. McConnell enters the game for D. Saric,,72-66,,
7:25.0,,,72-66,,K. Kuzma misses 3-pt shot from 25 ft
7:22.0,Defensive rebound by J. Embiid,,72-66,,
7:15.0,J. Embiid misses 2-pt shot from 12 ft (block by A. Bogut),,72-66,,
7:11.0,,,72-66,,Defensive rebound by B. Ingram
7:04.0,,,72-68,2,B. Ingram makes 2-pt shot from 19 ft
6:47.0,J. Embiid makes 2-pt shot at rim (assist by B. Simmons),2,74-68,,
6:26.0,,,74-68,,K. Kuzma misses 2-pt shot from 8 ft
6:23.0,,,74-68,,Offensive rebound by K. Kuzma
6:23.0,,,74-70,2,K. Kuzma makes 2-pt shot at rim
6:15.0,Turnover by T. McConnell (bad pass),,74-70,,
6:15.0,R. Holmes enters the game for J. Redick,,74-70,,
6:15.0,T. Luwawu-Cabarrot enters the game for J. Embiid,,74-70,,
6:03.0,,,74-72,2,K. Caldwell-Pope makes 2-pt shot from 11 ft (assist by A. Bogut)
5:50.0,B. Simmons makes 2-pt shot from 9 ft,2,76-72,,
5:41.0,,,76-72,,L. Ball misses 3-pt shot from 25 ft
5:37.0,,,76-72,,Offensive rebound by B. Ingram
5:37.0,,,76-72,,B. Ingram misses 2-pt shot at rim
5:36.0,Defensive rebound by R. Covington,,76-72,,
5:20.0,T. Luwawu-Cabarrot makes 2-pt shot from 16 ft (assist by T. McConnell),2,78-72,,
5:05.0,,,78-72,,B. Ingram misses 2-pt shot from 17 ft
5:01.0,Defensive rebound by T. Luwawu-Cabarrot,,78-72,,
4:51.0,T. Luwawu-Cabarrot makes 2-pt shot from 1 ft (assist by T. McConnell),2,80-72,,
4:35.0,,,80-74,2,K. Kuzma makes 2-pt shot from 1 ft (assist by L. Ball)
4:22.0,T. Luwawu-Cabarrot misses 3-pt shot from 24 ft,,80-74,,
4:20.0,,,80-74,,Defensive rebound by K. Caldwell-Pope
4:14.0,,,80-74,,K. Kuzma misses 2-pt shot from 8 ft
4:11.0,,,80-74,,Offensive rebound by B. Ingram
4:11.0,,,80-74,,B. Ingram misses 2-pt shot at rim
4:09.0,,,80-74,,Offensive rebound by L. Ball
4:09.0,,,80-74,,L. Ball misses 2-pt shot at rim
4:08.0,Defensive rebound by B. Simmons,,80-74,,
4:04.0,Philadelphia full timeout,,80-74,,
4:04.0,,,80-74,,J. Clarkson enters the game for L. Ball
4:04.0,,,80-74,,J. Randle enters the game for A. Bogut
4:04.0,D. Saric enters the game for B. Simmons,,80-74,,
4:04.0,J. Redick enters the game for R. Covington,,80-74,,
3:57.0,T. Luwawu-Cabarrot misses 2-pt shot from 21 ft,,80-74,,
3:54.0,,,80-74,,Defensive rebound by Team
3:37.0,,,80-76,2,J. Clarkson makes 2-pt shot at rim (assist by J. Randle)
3:24.0,,,80-76,,Personal foul by K. Kuzma (drawn by D. Saric)
3:24.0,J. Embiid enters the game for R. Holmes,,80-76,,
3:24.0,,,80-76,,A. Bogut enters the game for K. Kuzma
3:22.0,T. Luwawu-Cabarrot makes 2-pt shot at rim (assist by J. Redick),2,82-76,,
2:58.0,,,82-76,,J. Randle misses 2-pt shot from 4 ft (block by J. Embiid)
2:58.0,,,82-76,,Offensive rebound by Team
2:55.0,,,82-76,,J. Clarkson misses 2-pt shot from 3 ft (block by J. Embiid)
2:52.0,Defensive rebound by J. Redick,,82-76,,
2:49.0,D. Saric misses 3-pt shot from 25 ft,,82-76,,
2:49.0,,,82-76,,Defensive rebound by A. Bogut
2:29.0,,,82-78,2,B. Ingram makes 2-pt shot from 2 ft
2:14.0,Turnover by T. McConnell (bad pass; steal by A. Bogut),,82-78,,
2:12.0,J. Anderson enters the game for T. Luwawu-Cabarrot,,82-78,,
2:01.0,,,82-78,,J. Clarkson misses 2-pt shot from 16 ft (block by J. Embiid)
1:55.0,,,82-78,,Offensive rebound by A. Bogut
1:55.0,,,82-80,2,A. Bogut makes 2-pt shot at rim
1:34.0,J. Anderson misses 3-pt shot from 25 ft,,82-80,,
1:31.0,,,82-80,,Defensive rebound by A. Bogut
1:25.0,,,82-80,,J. Clarkson misses 2-pt shot from 2 ft
1:22.0,,,82-80,,Offensive rebound by J. Randle
1:20.0,,,82-80,,J. Randle misses 2-pt shot from 2 ft (block by J. Embiid)
1:20.0,,,82-80,,Offensive rebound by J. Clarkson
1:17.0,,,82-82,2,J. Clarkson makes 2-pt shot at rim
1:06.0,Shooting foul by B. Ingram (drawn by J. Embiid),,82-82,,
1:06.0,J. Embiid makes free throw 1 of 2,1,83-82,,
1:06.0,J. Embiid misses free throw 2 of 2,,83-82,,
1:04.0,,,83-82,,Defensive rebound by A. Bogut
0:43.0,,,83-82,,K. Caldwell-Pope misses 3-pt shot from 25 ft
0:42.0,Defensive rebound by J. Embiid,,83-82,,
0:30.0,J. Redick misses 2-pt shot from 3 ft (block by A. Bogut),,83-82,,
0:27.0,,,83-82,,Defensive rebound by A. Bogut
0:18.0,,,83-82,,Shooting foul by J. Embiid (drawn by J. Randle)
0:18.0,,,83-83,1,J. Randle makes free throw 1 of 2
0:18.0,,,83-83,,C. Brewer enters the game for B. Ingram
0:18.0,,,83-84,1,J. Randle makes free throw 2 of 2
0:00.0,T. McConnell misses 2-pt shot from 4 ft,,83-84,,
0:00.0,Offensive rebound by Team,,83-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,J. Embiid makes 2-pt shot from 1 ft,2,85-84,,
11:32.0,,,85-84,,J. Clarkson misses 2-pt shot from 3 ft (block by T. Luwawu-Cabarrot)
11:32.0,Defensive rebound by J. Embiid,,85-84,,
11:27.0,J. Redick misses 3-pt shot from 23 ft,,85-84,,
11:27.0,Offensive rebound by B. Simmons,,85-84,,
11:20.0,J. Redick misses 3-pt shot from 23 ft,,85-84,,
11:16.0,Offensive rebound by T. Luwawu-Cabarrot,,85-84,,
11:13.0,D. Saric misses 3-pt shot from 22 ft,,85-84,,
11:11.0,,,85-84,,Defensive rebound by J. Clarkson
10:56.0,,,85-84,,Shooting foul by J. Embiid (drawn by J. Randle)
10:56.0,,,85-84,,J. Randle misses free throw 1 of 2
10:56.0,,,85-84,,Offensive rebound by Team
10:56.0,,,85-85,1,J. Randle makes free throw 2 of 2
10:43.0,J. Embiid makes 3-pt shot from 25 ft (assist by B. Simmons),3,88-85,,
10:25.0,,,88-87,2,J. Clarkson makes 2-pt shot from 1 ft (assist by A. Bogut)
10:07.0,B. Simmons makes 2-pt shot at rim (assist by J. Embiid),2,90-87,,
