time,Utah,pts.away,score,pts.home,Denver
9:02.0,,,29-33,,Defensive rebound by T. Craig
8:45.0,,,29-35,2,T. Lyles makes 2-pt shot from 1 ft (assist by W. Barton)
8:25.0,T. Sefolosha misses 3-pt shot from 24 ft,,29-35,,
8:23.0,,,29-35,,Defensive rebound by W. Chandler
8:15.0,,,29-37,2,T. Lyles makes 2-pt shot from 2 ft (assist by W. Barton)
8:15.0,,,29-37,,Shooting foul by R. Hood (drawn by T. Lyles)
8:15.0,R. O'Neale enters the game for A. Burks,,29-37,,
8:15.0,Utah full timeout,,29-37,,
8:15.0,J. Ingles enters the game for R. Hood,,29-37,,
8:15.0,D. Favors enters the game for J. Johnson,,29-37,,
8:15.0,,,29-37,,T. Lyles misses free throw 1 of 1
8:13.0,Defensive rebound by T. Sefolosha,,29-37,,
8:03.0,Shooting foul by T. Lyles (drawn by D. Favors),,29-37,,
8:03.0,D. Favors makes free throw 1 of 2,1,30-37,,
8:03.0,D. Favors misses free throw 2 of 2,,30-37,,
8:00.0,,,30-37,,Defensive rebound by T. Lyles
7:52.0,,,30-37,,T. Lyles misses 3-pt shot from 24 ft
7:49.0,Defensive rebound by D. Mitchell,,30-37,,
7:38.0,R. O'Neale makes 3-pt shot from 22 ft (assist by D. Mitchell),3,33-37,,
7:16.0,,,33-37,,Turnover by W. Chandler (lost ball; steal by T. Sefolosha)
7:00.0,D. Mitchell makes 3-pt shot from 25 ft (assist by J. Ingles),3,36-37,,
7:00.0,,,36-37,,Denver full timeout
7:00.0,,,36-37,,G. Harris enters the game for T. Craig
7:00.0,,,36-37,,J. Murray enters the game for W. Chandler
7:00.0,,,36-37,,N. Jokic enters the game for M. Beasley
6:40.0,,,36-37,,T. Lyles misses 3-pt shot from 22 ft
6:37.0,Defensive rebound by R. O'Neale,,36-37,,
6:26.0,D. Favors makes 2-pt shot from 3 ft (assist by J. Ingles),2,38-37,,
6:16.0,Personal foul by T. Sefolosha (drawn by T. Lyles),,38-37,,
6:10.0,,,38-37,,N. Jokic misses 2-pt shot from 23 ft
6:06.0,Defensive rebound by J. Ingles,,38-37,,
6:03.0,Turnover by R. O'Neale (out of bounds lost ball),,38-37,,
5:53.0,Personal foul by J. Ingles (drawn by J. Murray),,38-37,,
5:46.0,,,38-37,,N. Jokic misses 2-pt shot from 4 ft (block by D. Favors)
5:43.0,Defensive rebound by R. O'Neale,,38-37,,
5:41.0,D. Mitchell misses 3-pt shot from 24 ft,,38-37,,
5:36.0,,,38-37,,Defensive rebound by W. Barton
5:32.0,,,38-40,3,J. Murray makes 3-pt shot from 25 ft (assist by W. Barton)
5:05.0,R. O'Neale misses 3-pt shot from 24 ft,,38-40,,
5:01.0,,,38-40,,Defensive rebound by J. Murray
4:54.0,,,38-40,,Turnover by G. Harris (discontinued dribble)
4:54.0,,,38-40,,M. Plumlee enters the game for T. Lyles
4:54.0,R. Hood enters the game for R. O'Neale,,38-40,,
4:41.0,T. Sefolosha makes 2-pt shot from 16 ft (assist by J. Ingles),2,40-40,,
4:15.0,,,40-40,,Turnover by W. Barton (bad pass; steal by J. Ingles)
4:12.0,D. Mitchell makes 2-pt shot from 1 ft (assist by R. Hood),2,42-40,,
3:54.0,,,42-40,,N. Jokic misses 3-pt shot from 24 ft
3:49.0,Defensive rebound by D. Mitchell,,42-40,,
3:40.0,T. Sefolosha makes 3-pt shot from 25 ft (assist by D. Mitchell),3,45-40,,
3:27.0,,,45-40,,W. Barton misses 2-pt shot from 16 ft
3:24.0,Defensive rebound by D. Mitchell,,45-40,,
3:19.0,J. Ingles misses 3-pt shot from 22 ft,,45-40,,
3:16.0,,,45-40,,Defensive rebound by N. Jokic
3:10.0,,,45-40,,Shooting foul by R. Hood (drawn by M. Plumlee)
3:10.0,,,45-40,,M. Plumlee misses free throw 1 of 2
3:10.0,,,45-40,,Offensive rebound by Team
3:10.0,,,45-40,,W. Chandler enters the game for N. Jokic
3:10.0,J. Johnson enters the game for T. Sefolosha,,45-40,,
3:10.0,,,45-41,1,M. Plumlee makes free throw 2 of 2
2:54.0,R. Hood misses 3-pt shot from 22 ft,,45-41,,
2:51.0,,,45-41,,Defensive rebound by M. Plumlee
2:39.0,,,45-41,,W. Chandler misses 3-pt shot from 24 ft
2:36.0,Defensive rebound by D. Favors,,45-41,,
2:20.0,J. Johnson misses 2-pt shot from 9 ft,,45-41,,
2:17.0,,,45-41,,Defensive rebound by M. Plumlee
2:15.0,,,45-43,2,J. Murray makes 2-pt shot from 2 ft (assist by M. Plumlee)
2:01.0,J. Ingles makes 2-pt shot from 11 ft,2,47-43,,
1:49.0,,,47-43,,G. Harris misses 3-pt shot from 24 ft
1:46.0,Defensive rebound by D. Favors,,47-43,,
1:38.0,,,47-43,,Personal foul by M. Plumlee (drawn by J. Ingles)
1:25.0,D. Favors makes 2-pt shot from 2 ft (assist by R. Hood),2,49-43,,
1:01.0,,,49-46,3,J. Murray makes 3-pt shot from 22 ft (assist by W. Barton)
0:47.0,Offensive charge foul by J. Ingles (drawn by J. Murray),,49-46,,
0:47.0,Turnover by J. Ingles (offensive foul),,49-46,,
0:47.0,,,49-46,,T. Lyles enters the game for M. Plumlee
0:34.0,,,49-46,,T. Lyles misses 2-pt shot from 3 ft (block by D. Favors)
0:31.0,Defensive rebound by J. Johnson,,49-46,,
0:27.0,J. Johnson misses 2-pt shot from 5 ft,,49-46,,
0:25.0,,,49-46,,Defensive rebound by T. Lyles
0:04.0,,,49-46,,W. Barton misses 2-pt shot from 3 ft (block by D. Favors)
0:01.0,Defensive rebound by D. Mitchell,,49-46,,
0:00.0,D. Mitchell misses 2-pt shot from 2 ft,,49-46,,
0:00.0,Offensive rebound by Team,,49-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,49-46,,N. Jokic misses 2-pt shot from 14 ft
11:39.0,Defensive rebound by R. Rubio,,49-46,,
11:22.0,D. Favors misses 2-pt shot from 4 ft,,49-46,,
11:18.0,,,49-46,,Defensive rebound by M. Plumlee
11:10.0,,,49-46,,Turnover by M. Plumlee (bad pass; steal by D. Mitchell)
11:07.0,T. Sefolosha makes 2-pt shot from 2 ft (assist by D. Mitchell),2,51-46,,
11:07.0,,,51-46,,Violation by M. Plumlee (def goaltending)
10:51.0,,,51-46,,N. Jokic misses 2-pt shot from 16 ft
10:48.0,Defensive rebound by J. Ingles,,51-46,,
10:41.0,Turnover by J. Ingles (bad pass; steal by G. Harris),,51-46,,
10:38.0,,,51-48,2,G. Harris makes 2-pt shot at rim
10:10.0,R. Rubio makes 3-pt shot from 24 ft (assist by D. Mitchell),3,54-48,,
9:41.0,,,54-50,2,M. Plumlee makes 2-pt shot from 1 ft
9:27.0,Offensive charge foul by T. Sefolosha (drawn by J. Murray),,54-50,,
9:27.0,Turnover by T. Sefolosha (offensive foul),,54-50,,
9:18.0,,,54-52,2,W. Chandler makes 2-pt shot from 2 ft (assist by M. Plumlee)
9:18.0,,,54-52,,Shooting foul by J. Ingles (drawn by W. Chandler)
9:18.0,,,54-53,1,W. Chandler makes free throw 1 of 1
9:07.0,D. Mitchell misses 3-pt shot from 23 ft,,54-53,,
9:04.0,,,54-53,,Defensive rebound by N. Jokic
8:57.0,,,54-53,,N. Jokic misses 3-pt shot from 24 ft
8:51.0,Defensive rebound by D. Favors,,54-53,,
8:42.0,D. Mitchell misses 2-pt shot from 8 ft,,54-53,,
8:40.0,,,54-53,,Defensive rebound by N. Jokic
8:34.0,,,54-53,,G. Harris misses 3-pt shot from 25 ft
8:30.0,,,54-53,,Offensive rebound by J. Murray
8:29.0,,,54-56,3,J. Murray makes 3-pt shot from 24 ft
8:27.0,Utah full timeout,,54-56,,
8:13.0,D. Favors makes 2-pt shot from 16 ft (assist by J. Ingles),2,56-56,,
7:57.0,,,56-59,3,J. Murray makes 3-pt shot from 25 ft (assist by W. Chandler)
7:57.0,,,56-59,,Shooting foul by J. Ingles (drawn by J. Murray)
7:57.0,,,56-60,1,J. Murray makes free throw 1 of 1
7:37.0,D. Favors misses 2-pt shot from 15 ft,,56-60,,
7:33.0,,,56-60,,Defensive rebound by M. Plumlee
7:20.0,,,56-62,2,M. Plumlee makes 2-pt shot from 1 ft (assist by N. Jokic)
7:06.0,T. Sefolosha misses 3-pt shot from 22 ft,,56-62,,
7:03.0,,,56-62,,Defensive rebound by J. Murray
6:58.0,,,56-62,,N. Jokic misses 2-pt shot from 3 ft (block by T. Sefolosha)
6:58.0,Defensive rebound by R. Rubio,,56-62,,
6:42.0,Turnover by R. Rubio (lost ball; steal by M. Plumlee),,56-62,,
6:38.0,,,56-64,2,M. Plumlee makes 2-pt shot from 2 ft
6:37.0,Turnover by R. Rubio (out of bounds lost ball),,56-64,,
6:37.0,R. Hood enters the game for R. Rubio,,56-64,,
6:14.0,,,56-64,,J. Murray misses 2-pt shot from 17 ft
6:10.0,Defensive rebound by R. Hood,,56-64,,
6:04.0,T. Sefolosha makes 2-pt shot from 1 ft (assist by D. Mitchell),2,58-64,,
5:51.0,,,58-64,,G. Harris misses 2-pt shot from 2 ft
5:49.0,Defensive rebound by T. Sefolosha,,58-64,,
5:49.0,,,58-64,,Personal foul by G. Harris (drawn by R. Hood)
5:49.0,J. Johnson enters the game for T. Sefolosha,,58-64,,
5:35.0,Turnover by D. Favors (out of bounds lost ball),,58-64,,
5:35.0,,,58-64,,T. Lyles enters the game for M. Plumlee
5:13.0,,,58-66,2,N. Jokic makes 2-pt shot from 7 ft (assist by W. Chandler)
4:56.0,Turnover by D. Favors (traveling),,58-66,,
4:45.0,,,58-68,2,G. Harris makes 2-pt shot from 1 ft
4:29.0,D. Favors makes 2-pt shot from 2 ft (assist by J. Ingles),2,60-68,,
4:29.0,Shooting foul by J. Murray (drawn by D. Favors),,60-68,,
4:29.0,,,60-68,,W. Barton enters the game for W. Chandler
4:29.0,R. O'Neale enters the game for J. Ingles,,60-68,,
4:29.0,D. Favors makes free throw 1 of 1,1,61-68,,
4:21.0,,,61-71,3,T. Lyles makes 3-pt shot from 25 ft (assist by G. Harris)
3:59.0,Turnover by J. Johnson (lost ball; steal by T. Lyles),,61-71,,
3:56.0,,,61-73,2,T. Lyles makes 2-pt shot from 2 ft (assist by J. Murray)
3:56.0,Shooting block foul by R. Hood (drawn by T. Lyles),,61-73,,
3:56.0,,,61-73,,T. Lyles misses free throw 1 of 1
3:56.0,,,61-73,,Turnover by N. Jokic (turnover)
3:56.0,Jump ball: N. Jokic vs. D. Favors (T. Lyles gains possession),,,,Jump ball: N. Jokic vs. D. Favors (T. Lyles gains possession)
3:56.0,R. Rubio enters the game for R. Hood,,61-73,,
3:39.0,,,61-76,3,N. Jokic makes 3-pt shot from 24 ft (assist by J. Murray)
3:37.0,Utah full timeout,,61-76,,
3:37.0,R. Hood enters the game for D. Mitchell,,61-76,,
3:16.0,R. Hood makes 2-pt shot from 3 ft,2,63-76,,
2:56.0,,,63-78,2,G. Harris makes 2-pt shot from 1 ft (assist by N. Jokic)
2:40.0,J. Johnson misses 3-pt shot from 24 ft,,63-78,,
2:37.0,,,63-78,,Defensive rebound by J. Murray
2:26.0,,,63-78,,Shooting foul by R. Hood (drawn by T. Lyles)
2:26.0,,,63-79,1,T. Lyles makes free throw 1 of 2
2:26.0,,,63-79,,M. Beasley enters the game for G. Harris
2:26.0,,,63-80,1,T. Lyles makes free throw 2 of 2
2:15.0,R. Hood misses 3-pt shot from 24 ft,,63-80,,
2:13.0,,,63-80,,Defensive rebound by M. Beasley
2:04.0,Personal foul by D. Favors (drawn by N. Jokic),,63-80,,
2:04.0,,,63-81,1,N. Jokic makes free throw 1 of 2
2:04.0,,,63-81,,N. Jokic misses free throw 2 of 2
2:02.0,Defensive rebound by D. Favors,,63-81,,
1:52.0,R. Rubio makes 2-pt shot from 2 ft (assist by J. Johnson),2,65-81,,
1:28.0,,,65-81,,J. Murray misses 2-pt shot from 19 ft
1:25.0,Defensive rebound by R. Rubio,,65-81,,
1:03.0,R. O'Neale misses 3-pt shot from 22 ft,,65-81,,
1:03.0,,,65-81,,Defensive rebound by Team
0:44.0,,,65-84,3,W. Barton makes 3-pt shot from 25 ft (assist by M. Beasley)
0:32.0,R. O'Neale misses 2-pt shot from 5 ft,,65-84,,
0:30.0,,,65-84,,Defensive rebound by W. Barton
0:26.0,,,65-84,,W. Barton misses 2-pt shot from 2 ft
0:24.0,Defensive rebound by D. Favors,,65-84,,
0:02.0,J. Johnson misses 2-pt shot from 13 ft,,65-84,,
0:02.0,Offensive rebound by R. Hood,,65-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,J. Johnson misses 2-pt shot from 6 ft,,65-84,,
11:38.0,,,65-84,,Defensive rebound by Team
11:28.0,Violation by E. Udoh (kicked ball),,65-84,,
11:15.0,,,65-84,,G. Harris misses 2-pt shot from 20 ft
11:11.0,Defensive rebound by R. Rubio,,65-84,,
11:00.0,J. Johnson makes 3-pt shot from 24 ft (assist by R. Rubio),3,68-84,,
10:43.0,,,68-87,3,T. Lyles makes 3-pt shot from 24 ft (assist by W. Barton)
10:17.0,R. Hood misses 2-pt shot from 2 ft,,68-87,,
10:15.0,,,68-87,,Defensive rebound by T. Lyles
10:05.0,,,68-89,2,T. Lyles makes 2-pt shot from 2 ft (assist by W. Barton)
9:46.0,R. Rubio makes 2-pt shot from 18 ft (assist by J. Johnson),2,70-89,,
9:29.0,,,70-89,,T. Lyles misses 3-pt shot from 25 ft
9:25.0,Defensive rebound by J. Johnson,,70-89,,
9:18.0,A. Burks misses 2-pt shot from 6 ft,,70-89,,
9:12.0,Offensive rebound by E. Udoh,,70-89,,
9:12.0,E. Udoh makes 2-pt shot at rim,2,72-89,,
8:55.0,,,72-89,,T. Lyles misses 2-pt shot from 4 ft
8:52.0,Defensive rebound by A. Burks,,72-89,,
8:38.0,R. Rubio misses 3-pt shot from 24 ft,,72-89,,
8:35.0,,,72-89,,Defensive rebound by M. Beasley
8:26.0,,,72-89,,W. Barton misses 2-pt shot from 12 ft
8:21.0,Defensive rebound by J. Johnson,,72-89,,
8:13.0,E. Udoh misses 2-pt shot from 4 ft,,72-89,,
8:11.0,,,72-89,,Defensive rebound by W. Barton
7:58.0,,,72-89,,M. Beasley misses 3-pt shot from 23 ft
7:54.0,Defensive rebound by E. Udoh,,72-89,,
7:49.0,A. Burks makes 2-pt shot from 2 ft,2,74-89,,
7:49.0,,,74-89,,Denver full timeout
7:49.0,D. Mitchell enters the game for R. Rubio,,74-89,,
7:49.0,J. Ingles enters the game for R. Hood,,74-89,,
7:30.0,,,74-89,,Turnover by G. Harris (traveling)
7:13.0,J. Johnson misses 2-pt shot from 5 ft,,74-89,,
7:11.0,Offensive rebound by E. Udoh,,74-89,,
7:06.0,Turnover by J. Ingles (bad pass),,74-89,,
7:06.0,,,74-89,,N. Jokic enters the game for W. Chandler
6:53.0,,,74-91,2,G. Harris makes 2-pt shot from 2 ft
6:39.0,A. Burks makes 2-pt shot from 1 ft (assist by J. Ingles),2,76-91,,
6:31.0,,,76-91,,W. Barton misses 2-pt shot from 2 ft (block by D. Mitchell)
6:31.0,,,76-91,,Offensive rebound by Team
6:31.0,,,76-91,,J. Murray enters the game for M. Beasley
6:31.0,T. Sefolosha enters the game for J. Johnson,,76-91,,
6:20.0,,,76-91,,N. Jokic misses 3-pt shot from 25 ft
6:13.0,Defensive rebound by T. Sefolosha,,76-91,,
6:12.0,A. Burks makes 2-pt shot from 2 ft,2,78-91,,
5:46.0,,,78-91,,W. Barton misses 2-pt shot from 5 ft
5:41.0,,,78-91,,Offensive rebound by T. Lyles
5:41.0,,,78-93,2,T. Lyles makes 2-pt shot at rim
5:27.0,T. Sefolosha misses 3-pt shot from 22 ft,,78-93,,
5:22.0,,,78-93,,Defensive rebound by N. Jokic
5:19.0,,,78-93,,T. Lyles misses 2-pt shot from 2 ft
5:19.0,Defensive rebound by T. Sefolosha,,78-93,,
4:55.0,T. Sefolosha misses 2-pt shot from 17 ft,,78-93,,
4:50.0,,,78-93,,Defensive rebound by J. Murray
4:29.0,,,78-96,3,W. Barton makes 3-pt shot from 24 ft (assist by J. Murray)
4:29.0,Utah full timeout,,78-96,,
4:29.0,R. Hood enters the game for E. Udoh,,78-96,,
4:29.0,D. Favors enters the game for T. Sefolosha,,78-96,,
4:07.0,A. Burks misses 2-pt shot from 6 ft,,78-96,,
4:06.0,Offensive rebound by A. Burks,,78-96,,
4:03.0,A. Burks misses 2-pt shot at rim,,78-96,,
4:02.0,,,78-96,,Defensive rebound by N. Jokic
3:44.0,,,78-96,,G. Harris misses 3-pt shot from 25 ft
3:43.0,Defensive rebound by D. Mitchell,,78-96,,
3:43.0,,,78-96,,Personal foul by J. Murray (drawn by D. Mitchell)
3:30.0,J. Ingles misses 2-pt shot from 9 ft,,78-96,,
3:26.0,Offensive rebound by J. Ingles,,78-96,,
3:24.0,J. Ingles makes 2-pt shot from 6 ft,2,80-96,,
3:08.0,,,80-96,,T. Lyles misses 3-pt shot from 24 ft
3:07.0,Defensive rebound by J. Ingles,,80-96,,
3:07.0,,,80-96,,Personal foul by N. Jokic (drawn by J. Ingles)
2:58.0,D. Mitchell makes 2-pt shot from 1 ft,2,82-96,,
2:43.0,,,82-96,,G. Harris misses 3-pt shot from 24 ft
2:42.0,Defensive rebound by D. Favors,,82-96,,
2:42.0,,,82-96,,Personal foul by N. Jokic (drawn by D. Favors)
2:42.0,,,82-96,,W. Chandler enters the game for T. Lyles
2:33.0,D. Mitchell misses 3-pt shot from 24 ft,,82-96,,
2:30.0,,,82-96,,Defensive rebound by N. Jokic
2:15.0,,,82-96,,N. Jokic misses 2-pt shot from 2 ft
2:12.0,,,82-96,,Offensive rebound by N. Jokic
2:11.0,,,82-96,,N. Jokic misses 2-pt shot from 1 ft
2:11.0,,,82-96,,Offensive rebound by N. Jokic
1:56.0,Personal foul by D. Favors (drawn by N. Jokic),,82-96,,
1:46.0,,,82-99,3,J. Murray makes 3-pt shot from 27 ft
1:31.0,D. Mitchell makes 3-pt shot from 23 ft (assist by R. Hood),3,85-99,,
1:20.0,Violation by R. Hood (kicked ball),,85-99,,
1:10.0,,,85-99,,W. Barton misses 3-pt shot from 25 ft
1:06.0,Defensive rebound by J. Ingles,,85-99,,
1:02.0,,,85-99,,Personal foul by G. Harris (drawn by A. Burks)
1:02.0,,,85-99,,M. Beasley enters the game for G. Harris
0:54.0,D. Favors misses 2-pt shot from 2 ft,,85-99,,
0:47.0,,,85-99,,Defensive rebound by N. Jokic
0:44.0,,,85-99,,M. Beasley misses 2-pt shot from 2 ft
0:42.0,Defensive rebound by D. Favors,,85-99,,
0:40.0,J. Ingles makes 3-pt shot from 23 ft (assist by D. Favors),3,88-99,,
0:15.0,,,88-99,,J. Murray misses 2-pt shot from 2 ft
0:13.0,Defensive rebound by J. Ingles,,88-99,,
