time,Denver,pts.away,score,pts.home,LA Lakers
1:21.0,Offensive rebound by W. Barton,,20-29,,
1:14.0,T. Lyles misses 2-pt shot from 2 ft,,20-29,,
1:13.0,,,20-29,,Defensive rebound by T. Wear
1:08.0,,,20-32,3,I. Thomas makes 3-pt shot from 25 ft
0:52.0,,,20-32,,Personal foul by I. Thomas (drawn by T. Lyles)
0:52.0,T. Lyles makes free throw 1 of 2,1,21-32,,
0:52.0,,,21-32,,I. Zubac enters the game for B. Lopez
0:52.0,T. Lyles makes free throw 2 of 2,1,22-32,,
0:36.0,,,22-32,,K. Kuzma misses 3-pt shot from 25 ft
0:31.0,Defensive rebound by W. Chandler,,22-32,,
0:14.0,Turnover by W. Chandler (turnover),,22-32,,
0:06.0,,,22-35,3,I. Thomas makes 3-pt shot from 25 ft
0:01.0,D. Harris misses 3-pt shot from 26 ft,,22-35,,
0:01.0,,,22-35,,Defensive rebound by K. Kuzma
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,22-35,,Personal foul by I. Zubac (drawn by N. Jokic)
11:36.0,D. Harris makes 2-pt shot at rim (assist by N. Jokic),2,24-35,,
11:26.0,,,24-35,,Turnover by I. Zubac (lost ball; steal by N. Jokic)
11:22.0,W. Chandler makes 2-pt shot from 1 ft,2,26-35,,
11:22.0,Shooting foul by I. Zubac (drawn by W. Chandler),,26-35,,
11:22.0,W. Chandler misses free throw 1 of 1,,26-35,,
11:20.0,,,26-35,,Defensive rebound by K. Kuzma
11:07.0,,,26-35,,I. Thomas misses 3-pt shot from 24 ft
11:05.0,Defensive rebound by Team,,26-35,,
10:46.0,T. Lyles makes 3-pt shot from 24 ft (assist by W. Chandler),3,29-35,,
10:33.0,,,29-38,3,T. Wear makes 3-pt shot from 22 ft (assist by A. Caruso)
10:11.0,W. Barton misses 3-pt shot from 25 ft,,29-38,,
10:07.0,,,29-38,,Defensive rebound by A. Caruso
10:03.0,,,29-38,,Shooting foul by W. Barton (drawn by A. Caruso)
10:03.0,,,29-39,1,A. Caruso makes free throw 1 of 2
10:03.0,,,29-40,1,A. Caruso makes free throw 2 of 2
9:55.0,D. Harris makes 3-pt shot from 24 ft,3,32-40,,
9:39.0,,,32-40,,Turnover by I. Thomas (lost ball; steal by D. Harris)
9:22.0,Offensive foul by N. Jokic (drawn by I. Thomas),,32-40,,
9:22.0,Turnover by N. Jokic (offensive foul),,32-40,,
9:22.0,M. Plumlee enters the game for N. Jokic,,32-40,,
9:06.0,Personal foul by D. Harris (drawn by T. Wear),,32-40,,
8:58.0,,,32-40,,I. Zubac misses 2-pt shot from 2 ft (block by M. Plumlee)
8:55.0,Defensive rebound by M. Plumlee,,32-40,,
8:47.0,W. Chandler misses 2-pt shot from 18 ft,,32-40,,
8:42.0,Offensive rebound by M. Plumlee,,32-40,,
8:42.0,Turnover by M. Plumlee (turnover),,32-40,,
8:42.0,Personal foul by W. Chandler (drawn by I. Zubac),,32-40,,
8:42.0,,,32-40,,L. Ball enters the game for A. Caruso
8:29.0,,,32-40,,T. Wear misses 3-pt shot from 26 ft
8:26.0,Defensive rebound by M. Plumlee,,32-40,,
8:16.0,,,32-40,,Personal foul by I. Zubac (drawn by M. Plumlee)
8:16.0,,,32-40,,J. Randle enters the game for I. Zubac
8:04.0,W. Barton misses 2-pt shot from 4 ft,,32-40,,
8:00.0,,,32-40,,Defensive rebound by K. Kuzma
7:59.0,,,32-40,,L. Ball misses 3-pt shot from 23 ft
7:53.0,Defensive rebound by W. Chandler,,32-40,,
7:32.0,T. Lyles misses 3-pt shot from 27 ft,,32-40,,
7:29.0,,,32-40,,Defensive rebound by K. Kuzma
7:22.0,,,32-40,,T. Wear misses 3-pt shot from 25 ft
7:18.0,Defensive rebound by W. Chandler,,32-40,,
7:10.0,W. Barton misses 2-pt shot from 7 ft,,32-40,,
7:06.0,Offensive rebound by W. Chandler,,32-40,,
7:04.0,W. Chandler misses 3-pt shot from 26 ft,,32-40,,
7:04.0,,,32-40,,Defensive rebound by L. Ball
6:55.0,,,32-40,,K. Kuzma misses 3-pt shot from 24 ft
6:52.0,Defensive rebound by W. Chandler,,32-40,,
6:46.0,W. Barton misses 3-pt shot from 26 ft,,32-40,,
6:44.0,Offensive rebound by Team,,32-40,,
6:44.0,,,32-40,,Loose ball foul by L. Ball (drawn by W. Barton)
6:44.0,,,32-40,,LA Lakers full timeout
6:44.0,,,32-40,,K. Caldwell-Pope enters the game for T. Wear
6:44.0,J. Murray enters the game for W. Barton,,32-40,,
6:44.0,P. Millsap enters the game for T. Lyles,,32-40,,
6:44.0,G. Harris enters the game for D. Harris,,32-40,,
6:30.0,W. Chandler makes 2-pt shot from 1 ft (assist by G. Harris),2,34-40,,
6:14.0,,,34-40,,I. Thomas misses 2-pt shot from 2 ft (block by P. Millsap)
6:11.0,Defensive rebound by M. Plumlee,,34-40,,
6:01.0,P. Millsap makes 2-pt shot from 5 ft (assist by M. Plumlee),2,36-40,,
6:01.0,Shooting foul by I. Thomas (drawn by P. Millsap),,36-40,,
6:01.0,,,36-40,,B. Lopez enters the game for I. Thomas
6:01.0,P. Millsap makes free throw 1 of 1,1,37-40,,
5:45.0,,,37-40,,Turnover by B. Lopez (bad pass; steal by P. Millsap)
5:42.0,W. Chandler makes 2-pt shot from 1 ft (assist by M. Plumlee),2,39-40,,
5:42.0,,,39-40,,LA Lakers full timeout
5:28.0,,,39-40,,K. Caldwell-Pope misses 3-pt shot from 26 ft
5:25.0,Defensive rebound by W. Chandler,,39-40,,
5:13.0,Turnover by P. Millsap (out of bounds lost ball),,39-40,,
5:05.0,,,39-40,,B. Lopez misses 3-pt shot from 25 ft
5:01.0,,,39-40,,Offensive rebound by J. Randle
4:56.0,,,39-40,,J. Randle misses 2-pt shot from 3 ft (block by P. Millsap)
4:54.0,Defensive rebound by J. Murray,,39-40,,
4:43.0,J. Murray misses 3-pt shot from 26 ft,,39-40,,
4:40.0,,,39-40,,Defensive rebound by K. Caldwell-Pope
4:34.0,,,39-42,2,B. Lopez makes 2-pt shot from 2 ft (assist by K. Caldwell-Pope)
4:34.0,,,39-42,,Shooting foul by M. Plumlee (drawn by B. Lopez)
4:34.0,,,39-43,1,B. Lopez makes free throw 1 of 1
4:19.0,G. Harris misses 2-pt shot from 18 ft,,39-43,,
4:15.0,,,39-43,,Defensive rebound by K. Kuzma
4:10.0,,,39-43,,Turnover by L. Ball (bad pass)
4:04.0,Offensive foul by J. Murray (drawn by K. Caldwell-Pope),,39-43,,
4:04.0,Turnover by J. Murray (offensive foul),,39-43,,
3:44.0,,,39-43,,Turnover by L. Ball (bad pass; steal by J. Murray)
3:40.0,Shooting foul by B. Lopez (drawn by J. Murray),,39-43,,
3:40.0,J. Murray misses free throw 1 of 2,,39-43,,
3:40.0,Offensive rebound by Team,,39-43,,
3:40.0,J. Murray makes free throw 2 of 2,1,40-43,,
3:25.0,,,40-43,,L. Ball misses 3-pt shot from 26 ft
3:24.0,Defensive rebound by M. Plumlee,,40-43,,
3:13.0,P. Millsap misses 2-pt shot from 11 ft,,40-43,,
3:08.0,Offensive rebound by M. Plumlee,,40-43,,
3:08.0,M. Plumlee misses 2-pt shot at rim,,40-43,,
3:08.0,,,40-43,,Defensive rebound by K. Kuzma
2:51.0,,,40-43,,Turnover by J. Randle (out of bounds lost ball)
2:42.0,W. Chandler makes 3-pt shot from 24 ft (assist by M. Plumlee),3,43-43,,
2:27.0,Personal foul by M. Plumlee (drawn by B. Lopez),,43-43,,
2:27.0,,,43-44,1,B. Lopez makes free throw 1 of 2
2:27.0,,,43-44,,B. Lopez misses free throw 2 of 2
2:25.0,Defensive rebound by P. Millsap,,43-44,,
2:13.0,Turnover by G. Harris (lost ball; steal by K. Kuzma),,43-44,,
2:04.0,,,43-44,,Turnover by J. Randle (lost ball; steal by M. Plumlee)
1:48.0,Turnover by P. Millsap (turnover),,43-44,,
1:38.0,,,43-44,,B. Lopez misses 3-pt shot from 25 ft
1:32.0,Jump ball: B. Lopez vs. J. Murray (K. Caldwell-Pope gains possession),,,,Jump ball: B. Lopez vs. J. Murray (K. Caldwell-Pope gains possession)
1:32.0,,,43-44,,Offensive rebound by Team
1:22.0,,,43-44,,B. Lopez misses 2-pt shot from 8 ft
1:19.0,,,43-44,,Offensive rebound by K. Caldwell-Pope
1:19.0,Personal foul by P. Millsap (drawn by K. Caldwell-Pope),,43-44,,
1:19.0,,,43-45,1,K. Caldwell-Pope makes free throw 1 of 2
1:19.0,,,43-46,1,K. Caldwell-Pope makes free throw 2 of 2
1:07.0,G. Harris misses 3-pt shot from 25 ft,,43-46,,
1:04.0,,,43-46,,Defensive rebound by K. Kuzma
0:50.0,,,43-46,,B. Lopez misses 3-pt shot from 26 ft
0:47.0,Defensive rebound by P. Millsap,,43-46,,
0:40.0,W. Chandler makes 2-pt shot from 2 ft,2,45-46,,
0:30.0,,,45-46,,L. Ball misses 3-pt shot from 27 ft
0:27.0,Defensive rebound by P. Millsap,,45-46,,
0:07.0,Shooting foul by K. Caldwell-Pope (drawn by J. Murray),,45-46,,
0:07.0,J. Murray makes free throw 1 of 2,1,46-46,,
0:07.0,T. Lyles enters the game for P. Millsap,,46-46,,
0:07.0,W. Barton enters the game for W. Chandler,,46-46,,
0:07.0,D. Arthur enters the game for M. Plumlee,,46-46,,
0:07.0,J. Murray makes free throw 2 of 2,1,47-46,,
0:00.0,,,47-48,2,K. Kuzma makes 2-pt shot from 2 ft
0:00.0,J. Murray misses 3-pt shot from 59 ft,,47-48,,
0:00.0,Offensive rebound by Team,,47-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,G. Harris makes 3-pt shot from 29 ft (assist by W. Chandler),3,50-48,,
11:21.0,,,50-48,,L. Ball misses 3-pt shot from 25 ft
11:21.0,Defensive rebound by N. Jokic,,50-48,,
11:05.0,W. Chandler makes 2-pt shot from 3 ft,2,52-48,,
10:45.0,,,52-48,,B. Lopez misses 2-pt shot from 10 ft
10:42.0,Defensive rebound by J. Murray,,52-48,,
10:30.0,W. Chandler misses 3-pt shot from 22 ft,,52-48,,
10:27.0,,,52-48,,Defensive rebound by L. Ball
10:22.0,,,52-48,,L. Ball misses 3-pt shot from 25 ft
10:19.0,Defensive rebound by J. Murray,,52-48,,
10:15.0,J. Murray misses 2-pt shot from 1 ft (block by B. Lopez),,52-48,,
10:15.0,,,52-48,,Defensive rebound by K. Caldwell-Pope
10:05.0,,,52-51,3,K. Kuzma makes 3-pt shot from 22 ft (assist by J. Randle)
9:49.0,,,52-51,,Personal foul by B. Lopez (drawn by N. Jokic)
9:42.0,W. Chandler makes 3-pt shot from 26 ft (assist by P. Millsap),3,55-51,,
9:26.0,,,55-54,3,K. Kuzma makes 3-pt shot from 25 ft (assist by L. Ball)
9:14.0,G. Harris makes 2-pt shot from 14 ft (assist by N. Jokic),2,57-54,,
8:47.0,,,57-54,,K. Kuzma misses 3-pt shot from 28 ft
8:44.0,Defensive rebound by N. Jokic,,57-54,,
8:34.0,W. Chandler makes 2-pt shot from 4 ft,2,59-54,,
8:34.0,,,59-54,,LA Lakers full timeout
8:16.0,,,59-54,,Turnover by J. Randle (lost ball; steal by G. Harris)
8:08.0,N. Jokic makes 2-pt shot from 8 ft (assist by G. Harris),2,61-54,,
7:53.0,,,61-54,,Turnover by L. Ball (bad pass; steal by W. Chandler)
7:46.0,N. Jokic misses 3-pt shot from 25 ft,,61-54,,
7:42.0,,,61-54,,Defensive rebound by B. Lopez
7:37.0,,,61-56,2,K. Kuzma makes 2-pt shot from 4 ft
7:37.0,,,61-56,,Shooting foul by W. Chandler (drawn by K. Kuzma)
7:37.0,,,61-56,,I. Thomas enters the game for L. Ball
7:37.0,,,61-57,1,K. Kuzma makes free throw 1 of 1
7:25.0,,,61-57,,Personal foul by K. Kuzma (drawn by W. Chandler)
7:20.0,N. Jokic makes 3-pt shot from 26 ft (assist by J. Murray),3,64-57,,
6:55.0,,,64-57,,I. Thomas misses 2-pt shot from 11 ft
6:55.0,,,64-57,,Offensive rebound by J. Randle
6:51.0,,,64-59,2,J. Randle makes 2-pt shot from 1 ft
6:41.0,G. Harris makes 2-pt shot from 1 ft,2,66-59,,
6:29.0,,,66-59,,Turnover by I. Thomas (lost ball; steal by G. Harris)
6:25.0,G. Harris misses 3-pt shot from 25 ft,,66-59,,
6:23.0,,,66-59,,Defensive rebound by I. Thomas
6:23.0,Personal foul by J. Murray (drawn by I. Thomas),,66-59,,
6:14.0,,,66-59,,K. Kuzma misses 2-pt shot from 1 ft
6:11.0,Defensive rebound by W. Chandler,,66-59,,
6:04.0,J. Murray makes 3-pt shot from 25 ft (assist by W. Chandler),3,69-59,,
6:02.0,,,69-59,,LA Lakers full timeout
6:02.0,,,69-59,,L. Ball enters the game for J. Randle
5:38.0,,,69-59,,I. Thomas misses 2-pt shot from 5 ft
5:35.0,Defensive rebound by J. Murray,,69-59,,
5:17.0,Turnover by N. Jokic (traveling),,69-59,,
5:17.0,W. Barton enters the game for G. Harris,,69-59,,
5:08.0,,,69-59,,B. Lopez misses 2-pt shot from 13 ft
5:05.0,Defensive rebound by W. Barton,,69-59,,
4:57.0,N. Jokic misses 3-pt shot from 25 ft,,69-59,,
4:53.0,,,69-59,,Defensive rebound by K. Kuzma
4:46.0,,,69-61,2,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by K. Kuzma)
4:40.0,Turnover by N. Jokic (bad pass; steal by L. Ball),,69-61,,
4:35.0,,,69-63,2,L. Ball makes 2-pt shot from 1 ft (assist by K. Kuzma)
4:34.0,Denver full timeout,,69-63,,
4:18.0,W. Chandler makes 3-pt shot from 23 ft (assist by N. Jokic),3,72-63,,
3:52.0,,,72-65,2,B. Lopez makes 2-pt shot from 7 ft
3:38.0,N. Jokic makes 2-pt shot from 3 ft,2,74-65,,
3:19.0,,,74-67,2,K. Kuzma makes 2-pt shot from 5 ft
3:09.0,N. Jokic makes 3-pt shot from 28 ft,3,77-67,,
3:09.0,Shooting foul by B. Lopez (drawn by N. Jokic),,77-67,,
3:09.0,T. Lyles enters the game for P. Millsap,,77-67,,
3:09.0,,,77-67,,J. Randle enters the game for B. Lopez
3:09.0,N. Jokic makes free throw 1 of 1,1,78-67,,
3:00.0,,,78-67,,Turnover by L. Ball (bad pass; steal by J. Murray)
2:55.0,J. Murray misses 3-pt shot from 29 ft,,78-67,,
2:52.0,,,78-67,,Defensive rebound by L. Ball
2:45.0,,,78-67,,L. Ball misses 2-pt shot from 1 ft
2:44.0,Defensive rebound by N. Jokic,,78-67,,
2:44.0,,,78-67,,Personal foul by J. Randle (drawn by N. Jokic)
2:44.0,D. Harris enters the game for N. Jokic,,78-67,,
2:44.0,M. Plumlee enters the game for J. Murray,,78-67,,
2:36.0,D. Harris misses 3-pt shot from 25 ft,,78-67,,
2:32.0,,,78-67,,Defensive rebound by K. Kuzma
2:26.0,,,78-67,,K. Kuzma misses 2-pt shot from 2 ft
2:23.0,Defensive rebound by W. Barton,,78-67,,
2:21.0,W. Chandler makes 2-pt shot from 2 ft (assist by W. Barton),2,80-67,,
2:06.0,,,80-70,3,K. Kuzma makes 3-pt shot from 23 ft (assist by L. Ball)
1:52.0,M. Plumlee makes 2-pt shot from 1 ft (assist by W. Barton),2,82-70,,
1:41.0,,,82-70,,I. Thomas misses 2-pt shot from 8 ft
1:38.0,,,82-70,,Offensive rebound by J. Randle
1:35.0,,,82-72,2,J. Randle makes 2-pt shot from 2 ft
1:27.0,W. Barton misses 2-pt shot from 2 ft (block by L. Ball),,82-72,,
1:25.0,,,82-72,,Defensive rebound by J. Randle
1:18.0,,,82-72,,K. Kuzma misses 3-pt shot from 25 ft
1:14.0,Defensive rebound by T. Lyles,,82-72,,
1:04.0,T. Lyles misses 3-pt shot from 25 ft,,82-72,,
1:01.0,,,82-72,,Defensive rebound by J. Randle
0:49.0,Personal block foul by M. Plumlee (drawn by I. Thomas),,82-72,,
0:49.0,G. Harris enters the game for W. Chandler,,82-72,,
0:49.0,,,82-72,,A. Caruso enters the game for K. Caldwell-Pope
0:42.0,,,82-75,3,I. Thomas makes 3-pt shot from 25 ft
0:35.0,W. Barton misses 2-pt shot from 13 ft,,82-75,,
0:32.0,,,82-75,,Defensive rebound by L. Ball
0:28.0,,,82-77,2,K. Kuzma makes 2-pt shot at rim
0:08.0,W. Barton misses 3-pt shot from 24 ft,,82-77,,
0:05.0,,,82-77,,Defensive rebound by L. Ball
0:01.0,,,82-77,,K. Kuzma misses 2-pt shot from 3 ft
0:00.0,,,82-77,,Offensive rebound by J. Randle
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,82-77,,I. Thomas misses 2-pt shot from 8 ft
11:39.0,,,82-77,,Offensive rebound by J. Randle
11:39.0,,,82-77,,Shooting foul by T. Lyles (drawn by J. Randle)
11:39.0,,,82-77,,Technical foul by I. Thomas
11:39.0,W. Barton makes technical free throw,1,83-77,,
11:39.0,,,83-77,,J. Randle misses free throw 1 of 2
11:39.0,,,83-77,,Offensive rebound by Team
11:39.0,,,83-78,1,J. Randle makes free throw 2 of 2
11:24.0,T. Lyles misses 3-pt shot from 22 ft,,83-78,,
11:22.0,,,83-78,,Defensive rebound by Team
11:22.0,Loose ball foul by D. Harris (drawn by A. Caruso),,83-78,,
11:09.0,,,83-78,,I. Thomas misses 3-pt shot from 24 ft
11:06.0,Defensive rebound by M. Plumlee,,83-78,,
10:55.0,Turnover by M. Plumlee (traveling),,83-78,,
10:45.0,,,83-80,2,J. Randle makes 2-pt shot at rim
10:34.0,Shooting foul by T. Wear (drawn by M. Plumlee),,83-80,,
10:34.0,M. Plumlee makes free throw 1 of 2,1,84-80,,
10:34.0,M. Plumlee misses free throw 2 of 2,,84-80,,
10:32.0,,,84-80,,Defensive rebound by J. Randle
10:10.0,,,84-80,,Turnover by Team (shot clock)
9:54.0,D. Harris misses 3-pt shot from 28 ft,,84-80,,
9:52.0,,,84-80,,Defensive rebound by Team
9:45.0,,,84-83,3,I. Thomas makes 3-pt shot from 25 ft
9:29.0,W. Barton makes 2-pt shot from 1 ft (assist by T. Lyles),2,86-83,,
9:29.0,Shooting foul by T. Wear (drawn by W. Barton),,86-83,,
9:29.0,,,86-83,,K. Caldwell-Pope enters the game for A. Caruso
9:29.0,J. Murray enters the game for D. Harris,,86-83,,
9:29.0,W. Barton makes free throw 1 of 1,1,87-83,,
9:22.0,,,87-83,,I. Thomas misses 2-pt shot from 22 ft
9:19.0,Defensive rebound by J. Murray,,87-83,,
9:01.0,G. Harris misses 3-pt shot from 26 ft,,87-83,,
8:58.0,,,87-83,,Defensive rebound by J. Randle
8:51.0,,,87-85,2,J. Randle makes 2-pt shot from 4 ft
8:36.0,M. Plumlee makes 2-pt shot from 1 ft (assist by J. Murray),2,89-85,,
8:30.0,Personal block foul by M. Plumlee (drawn by J. Randle),,89-85,,
8:30.0,W. Chandler enters the game for T. Lyles,,89-85,,
8:24.0,,,89-85,,Shooting foul by M. Plumlee (drawn by I. Thomas)
8:24.0,,,89-86,1,I. Thomas makes free throw 1 of 2
8:24.0,N. Jokic enters the game for M. Plumlee,,89-86,,
8:24.0,,,89-87,1,I. Thomas makes free throw 2 of 2
8:00.0,G. Harris misses 3-pt shot from 22 ft,,89-87,,
8:00.0,Offensive rebound by Team,,89-87,,
8:00.0,Turnover by Team (shot clock),,89-87,,
8:00.0,P. Millsap enters the game for W. Barton,,89-87,,
7:40.0,,,89-90,3,L. Ball makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope)
7:23.0,,,89-90,,Personal foul by J. Randle (drawn by N. Jokic)
7:20.0,G. Harris misses 2-pt shot from 18 ft,,89-90,,
7:15.0,,,89-90,,Defensive rebound by K. Caldwell-Pope
7:07.0,,,89-92,2,I. Thomas makes 2-pt shot from 16 ft
6:50.0,,,89-92,,Personal foul by T. Wear (drawn by P. Millsap)
6:50.0,,,89-92,,LA Lakers full timeout
6:50.0,,,89-92,,K. Kuzma enters the game for T. Wear
6:40.0,,,89-92,,Personal foul by K. Kuzma (drawn by P. Millsap)
6:40.0,P. Millsap misses free throw 1 of 2,,89-92,,
6:40.0,Offensive rebound by Team,,89-92,,
6:40.0,P. Millsap misses free throw 2 of 2,,89-92,,
6:38.0,,,89-92,,Defensive rebound by L. Ball
6:23.0,,,89-94,2,K. Kuzma makes 2-pt shot from 11 ft (assist by I. Thomas)
6:07.0,Turnover by W. Chandler (bad pass),,89-94,,
