time,Oklahoma City,pts.away,score,pts.home,Atlanta
10:48.0,,,91-89,,Shooting block foul by D. Schroder (drawn by P. Patterson)
10:48.0,P. Patterson makes free throw 1 of 2,1,92-89,,
10:48.0,,,92-89,,D. Lee enters the game for I. Taylor
10:48.0,P. Patterson makes free throw 2 of 2,1,93-89,,
10:30.0,,,93-92,3,D. Lee makes 3-pt shot from 22 ft (assist by D. Schroder)
10:15.0,R. Felton makes 2-pt shot from 19 ft,2,95-92,,
9:56.0,,,95-92,,D. Schroder misses 2-pt shot from 1 ft
9:55.0,Defensive rebound by Team,,95-92,,
9:55.0,,,95-92,,Loose ball foul by T. Cavanaugh (drawn by J. Huestis)
9:55.0,,,95-92,,J. Collins enters the game for T. Cavanaugh
9:35.0,J. Huestis makes 3-pt shot from 22 ft (assist by R. Felton),3,98-92,,
9:12.0,,,98-92,,D. Lee misses 2-pt shot from 8 ft
9:12.0,,,98-92,,Offensive rebound by Team
9:12.0,R. Westbrook enters the game for T. Ferguson,,98-92,,
9:12.0,Jump ball: J. Collins vs. P. Patterson (M. Muscala gains possession),,,,Jump ball: J. Collins vs. P. Patterson (M. Muscala gains possession)
8:55.0,,,98-95,3,M. Muscala makes 3-pt shot from 23 ft (assist by D. Schroder)
8:36.0,R. Felton misses 3-pt shot from 25 ft,,98-95,,
8:32.0,,,98-95,,Defensive rebound by M. Muscala
8:16.0,,,98-95,,M. Muscala misses 2-pt shot from 10 ft (block by A. Abrines)
8:12.0,Defensive rebound by A. Abrines,,98-95,,
8:08.0,R. Westbrook misses 2-pt shot from 18 ft,,98-95,,
8:05.0,,,98-95,,Defensive rebound by M. Muscala
7:57.0,,,98-95,,Turnover by D. Schroder (bad pass; steal by R. Felton)
7:46.0,P. Patterson makes 3-pt shot from 24 ft (assist by R. Felton),3,101-95,,
7:44.0,,,101-95,,Atlanta full timeout
7:44.0,,,101-95,,D. Dedmon enters the game for M. Muscala
7:44.0,J. Grant enters the game for J. Huestis,,101-95,,
7:26.0,,,101-95,,Offensive charge foul by A. White (drawn by J. Grant)
7:26.0,,,101-95,,Turnover by A. White (offensive foul)
7:09.0,J. Grant makes 2-pt shot from 1 ft (assist by R. Westbrook),2,103-95,,
6:47.0,,,103-95,,J. Collins misses 2-pt shot from 2 ft
6:45.0,Defensive rebound by R. Westbrook,,103-95,,
6:42.0,A. Abrines misses 3-pt shot from 25 ft,,103-95,,
6:42.0,,,103-95,,Defensive rebound by D. Lee
6:36.0,,,103-95,,Shooting foul by R. Felton (drawn by D. Lee)
6:36.0,,,103-96,1,D. Lee makes free throw 1 of 2
6:36.0,,,103-96,,T. Waller-Prince enters the game for A. White
6:36.0,,,103-96,,I. Taylor enters the game for D. Schroder
6:36.0,,,103-96,,D. Lee misses free throw 2 of 2
6:36.0,,,103-96,,Offensive rebound by Team
6:36.0,Loose ball foul by J. Grant (drawn by J. Collins),,103-96,,
6:24.0,,,103-98,2,D. Lee makes 2-pt shot from 17 ft (assist by T. Waller-Prince)
6:05.0,J. Grant misses 2-pt shot from 1 ft,,103-98,,
