time,Memphis,pts.away,score,pts.home,New York
10:33.0,,,51-54,,J. Jack misses free throw 2 of 2
10:28.0,Defensive rebound by J. Green,,51-54,,
10:13.0,Turnover by B. McLemore (bad pass),,51-54,,
10:04.0,,,51-56,2,C. Lee makes 2-pt shot from 9 ft
9:47.0,Turnover by M. Gasol (lost ball; steal by K. Porzingis),,51-56,,
9:46.0,Personal foul by M. Gasol (drawn by K. Porzingis),,51-56,,
9:28.0,,,51-58,2,K. Porzingis makes 2-pt shot from 9 ft
9:05.0,M. Gasol misses 3-pt shot from 25 ft,,51-58,,
9:04.0,,,51-58,,Defensive rebound by Team
8:44.0,,,51-60,2,E. Kanter makes 2-pt shot from 5 ft
8:23.0,D. Brooks misses 2-pt shot from 16 ft,,51-60,,
8:19.0,,,51-60,,Defensive rebound by J. Jack
8:17.0,,,51-63,3,C. Lee makes 3-pt shot from 26 ft (assist by J. Jack)
8:17.0,Memphis full timeout,,51-63,,
8:17.0,C. Parsons enters the game for J. Green,,51-63,,
8:17.0,J. Ennis enters the game for D. Brooks,,51-63,,
8:17.0,M. Chalmers enters the game for B. McLemore,,51-63,,
7:55.0,M. Gasol misses 2-pt shot from 8 ft,,51-63,,
7:51.0,,,51-63,,Defensive rebound by J. Jack
7:40.0,,,51-63,,K. Porzingis misses 2-pt shot from 11 ft
7:37.0,Defensive rebound by M. Chalmers,,51-63,,
7:16.0,T. Evans misses 3-pt shot from 28 ft,,51-63,,
7:14.0,,,51-63,,Defensive rebound by J. Jack
7:09.0,,,51-66,3,C. Lee makes 3-pt shot from 23 ft (assist by J. Jack)
6:45.0,M. Chalmers misses 2-pt shot from 3 ft,,51-66,,
6:44.0,,,51-66,,Defensive rebound by J. Jack
6:37.0,Personal foul by C. Parsons (drawn by K. Porzingis),,51-66,,
6:29.0,,,51-66,,E. Kanter misses 2-pt shot from 4 ft (block by M. Gasol)
6:29.0,,,51-66,,Offensive rebound by L. Thomas
6:28.0,,,51-66,,Shooting foul by M. Gasol (drawn by L. Thomas)
6:28.0,,,51-67,1,L. Thomas makes free throw 1 of 2
6:28.0,A. Harrison enters the game for T. Evans,,51-67,,
6:28.0,,,51-68,1,L. Thomas makes free throw 2 of 2
6:09.0,Shooting foul by E. Kanter (drawn by M. Chalmers),,51-68,,
6:09.0,M. Chalmers makes free throw 1 of 2,1,52-68,,
6:09.0,,,52-68,,D. McDermott enters the game for L. Thomas
6:09.0,M. Chalmers misses free throw 2 of 2,,52-68,,
6:06.0,,,52-68,,Defensive rebound by E. Kanter
5:49.0,,,52-68,,D. McDermott misses 3-pt shot from 23 ft
5:46.0,Defensive rebound by J. Ennis,,52-68,,
5:38.0,M. Chalmers makes 2-pt shot from 11 ft (assist by A. Harrison),2,54-68,,
5:35.0,,,54-68,,Offensive foul by J. Jack (drawn by A. Harrison)
5:35.0,,,54-68,,Turnover by J. Jack (offensive foul)
5:35.0,,,54-68,,F. Ntilikina enters the game for J. Jack
5:28.0,J. Ennis makes 2-pt shot from 1 ft (assist by A. Harrison),2,56-68,,
5:09.0,Personal foul by M. Chalmers (drawn by F. Ntilikina),,56-68,,
5:09.0,,,56-69,1,F. Ntilikina makes free throw 1 of 2
5:09.0,,,56-69,,F. Ntilikina misses free throw 2 of 2
5:09.0,Defensive rebound by Team,,56-69,,
5:09.0,,,56-69,,Loose ball foul by E. Kanter (drawn by C. Parsons)
4:56.0,C. Parsons makes 3-pt shot from 23 ft (assist by A. Harrison),3,59-69,,
4:31.0,,,59-69,,Turnover by E. Kanter (traveling)
4:15.0,C. Parsons misses 3-pt shot from 26 ft,,59-69,,
4:12.0,,,59-69,,Defensive rebound by E. Kanter
4:07.0,,,59-69,,F. Ntilikina misses 2-pt shot from 1 ft
4:04.0,Defensive rebound by C. Parsons,,59-69,,
3:52.0,M. Chalmers misses 2-pt shot at rim,,59-69,,
3:50.0,,,59-69,,Defensive rebound by F. Ntilikina
3:41.0,,,59-69,,K. Porzingis misses 2-pt shot from 7 ft
3:38.0,Defensive rebound by M. Gasol,,59-69,,
3:36.0,Shooting foul by F. Ntilikina (drawn by A. Harrison),,59-69,,
3:36.0,A. Harrison makes free throw 1 of 2,1,60-69,,
3:36.0,,,60-69,,K. O'Quinn enters the game for K. Porzingis
3:36.0,,,60-69,,M. Beasley enters the game for E. Kanter
3:36.0,A. Harrison makes free throw 2 of 2,1,61-69,,
3:18.0,,,61-71,2,M. Beasley makes 2-pt shot from 8 ft (assist by C. Lee)
3:06.0,,,61-71,,Personal foul by K. O'Quinn (drawn by M. Gasol)
2:52.0,M. Gasol misses 2-pt shot from 8 ft,,61-71,,
2:49.0,,,61-71,,Defensive rebound by M. Beasley
2:41.0,,,61-71,,Shooting foul by C. Parsons (drawn by M. Beasley)
2:41.0,,,61-71,,New York full timeout
2:41.0,J. Martin enters the game for C. Parsons,,61-71,,
2:41.0,,,61-71,,M. Beasley misses free throw 1 of 2
2:41.0,,,61-71,,Offensive rebound by Team
2:41.0,,,61-72,1,M. Beasley makes free throw 2 of 2
2:25.0,A. Harrison misses 3-pt shot from 22 ft,,61-72,,
2:21.0,,,61-72,,Defensive rebound by M. Beasley
2:00.0,,,61-72,,Turnover by F. Ntilikina (lost ball; steal by A. Harrison)
1:56.0,Shooting foul by M. Beasley (drawn by J. Ennis),,61-72,,
1:56.0,J. Ennis makes free throw 1 of 2,1,62-72,,
1:56.0,J. Ennis makes free throw 2 of 2,1,63-72,,
1:37.0,,,63-72,,M. Beasley misses 2-pt shot from 20 ft
1:33.0,Defensive rebound by J. Ennis,,63-72,,
1:24.0,Turnover by M. Gasol (bad pass; steal by F. Ntilikina),,63-72,,
1:23.0,Personal take foul by M. Chalmers (drawn by F. Ntilikina),,63-72,,
1:23.0,,,63-73,1,F. Ntilikina makes free throw 1 of 2
1:23.0,,,63-74,1,F. Ntilikina makes free throw 2 of 2
1:09.0,Shooting foul by K. O'Quinn (drawn by M. Gasol),,63-74,,
1:09.0,M. Gasol makes free throw 1 of 2,1,64-74,,
1:09.0,M. Gasol makes free throw 2 of 2,1,65-74,,
0:51.0,,,65-74,,Turnover by C. Lee (bad pass; steal by J. Martin)
0:49.0,,,65-74,,Personal foul by C. Lee (drawn by M. Chalmers)
0:49.0,M. Chalmers makes free throw 1 of 2,1,66-74,,
0:49.0,D. Davis enters the game for M. Gasol,,66-74,,
0:49.0,M. Chalmers makes free throw 2 of 2,1,67-74,,
0:35.0,,,67-74,,C. Lee misses 2-pt shot from 14 ft
0:33.0,,,67-74,,Offensive rebound by M. Beasley
0:33.0,,,67-74,,Shooting foul by J. Martin (drawn by M. Beasley)
0:33.0,,,67-75,1,M. Beasley makes free throw 1 of 2
0:33.0,M. Gasol enters the game for D. Davis,,67-75,,
0:33.0,,,67-76,1,M. Beasley makes free throw 2 of 2
0:10.0,M. Chalmers misses 2-pt shot from 1 ft,,67-76,,
0:07.0,Offensive rebound by M. Gasol,,67-76,,
0:01.0,M. Chalmers misses 3-pt shot from 23 ft,,67-76,,
0:00.0,,,67-76,,Defensive rebound by K. O'Quinn
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,Turnover by J. Martin (lost ball; steal by D. McDermott),,67-76,,
11:23.0,,,67-79,3,M. Beasley makes 3-pt shot from 25 ft (assist by D. McDermott)
10:59.0,J. Martin misses 2-pt shot from 18 ft,,67-79,,
10:58.0,,,67-79,,Defensive rebound by D. McDermott
10:43.0,,,67-79,,Offensive foul by K. O'Quinn (drawn by M. Chalmers)
10:43.0,,,67-79,,Turnover by K. O'Quinn (offensive foul)
10:43.0,T. Evans enters the game for M. Chalmers,,67-79,,
10:29.0,J. Martin makes 2-pt shot at rim,2,69-79,,
10:11.0,,,69-81,2,M. Beasley makes 2-pt shot from 3 ft
9:50.0,Turnover by A. Harrison (bad pass; steal by M. Beasley),,69-81,,
9:37.0,,,69-84,3,D. McDermott makes 3-pt shot from 23 ft (assist by F. Ntilikina)
9:10.0,J. Ennis misses 2-pt shot from 19 ft,,69-84,,
9:09.0,,,69-84,,Defensive rebound by Team
9:09.0,C. Parsons enters the game for J. Martin,,69-84,,
9:09.0,J. Green enters the game for J. Ennis,,69-84,,
9:09.0,M. Gasol enters the game for D. Davis,,69-84,,
8:55.0,,,69-84,,Shooting foul by C. Parsons (drawn by K. O'Quinn)
8:55.0,,,69-84,,K. O'Quinn misses free throw 1 of 2
8:55.0,,,69-84,,Offensive rebound by Team
8:55.0,,,69-84,,K. O'Quinn misses free throw 2 of 2
8:53.0,Defensive rebound by M. Gasol,,69-84,,
8:38.0,J. Green misses 2-pt shot from 7 ft,,69-84,,
8:34.0,Offensive rebound by M. Gasol,,69-84,,
8:31.0,M. Gasol makes 2-pt shot from 6 ft,2,71-84,,
8:11.0,,,71-86,2,D. McDermott makes 2-pt shot from 1 ft (assist by F. Ntilikina)
7:50.0,T. Evans misses 3-pt shot from 27 ft,,71-86,,
7:46.0,Offensive rebound by M. Gasol,,71-86,,
7:45.0,M. Gasol makes 3-pt shot from 24 ft,3,74-86,,
7:45.0,,,74-86,,New York full timeout
7:45.0,,,74-86,,K. Porzingis enters the game for M. Beasley
7:45.0,,,74-86,,E. Kanter enters the game for K. O'Quinn
7:29.0,,,74-86,,K. Porzingis misses 2-pt shot from 10 ft (block by A. Harrison)
7:27.0,,,74-86,,Offensive rebound by D. McDermott
7:20.0,,,74-86,,D. McDermott misses 3-pt shot from 34 ft
7:18.0,Defensive rebound by C. Parsons,,74-86,,
6:58.0,M. Gasol misses 3-pt shot from 24 ft,,74-86,,
6:53.0,,,74-86,,Defensive rebound by F. Ntilikina
6:49.0,Personal foul by J. Green (drawn by K. Porzingis),,74-86,,
6:49.0,,,74-86,,J. Jack enters the game for F. Ntilikina
6:49.0,,,74-86,,C. Lee enters the game for D. McDermott
6:42.0,,,74-86,,E. Kanter misses 2-pt shot from 5 ft
6:39.0,Defensive rebound by M. Gasol,,74-86,,
6:28.0,A. Harrison misses 3-pt shot from 23 ft,,74-86,,
6:26.0,,,74-86,,Defensive rebound by K. Porzingis
6:14.0,,,74-86,,Turnover by E. Kanter (out of bounds lost ball)
5:55.0,T. Evans makes 2-pt shot from 1 ft,2,76-86,,
5:43.0,,,76-88,2,J. Jack makes 2-pt shot from 22 ft
5:20.0,J. Green makes 3-pt shot from 26 ft (assist by M. Gasol),3,79-88,,
5:01.0,,,79-88,,C. Lee misses 2-pt shot from 18 ft
4:58.0,Defensive rebound by J. Green,,79-88,,
4:53.0,,,79-88,,Personal foul by L. Thomas (drawn by T. Evans)
4:48.0,T. Evans makes 3-pt shot from 25 ft,3,82-88,,
4:26.0,,,82-88,,Turnover by L. Thomas (traveling)
4:17.0,T. Evans misses 3-pt shot from 27 ft,,82-88,,
4:14.0,,,82-88,,Defensive rebound by C. Lee
4:03.0,,,82-90,2,C. Lee makes 2-pt shot from 1 ft
3:49.0,C. Parsons misses 3-pt shot from 25 ft,,82-90,,
3:46.0,,,82-90,,Defensive rebound by E. Kanter
3:45.0,Personal foul by A. Harrison (drawn by J. Jack),,82-90,,
3:45.0,M. Chalmers enters the game for C. Parsons,,82-90,,
3:24.0,,,82-92,2,K. Porzingis makes 2-pt shot from 19 ft (assist by C. Lee)
3:01.0,,,82-92,,Personal foul by L. Thomas (drawn by M. Gasol)
2:52.0,J. Green misses 2-pt shot from 1 ft,,82-92,,
2:50.0,,,82-92,,Defensive rebound by L. Thomas
2:44.0,,,82-92,,Turnover by L. Thomas (lost ball; steal by T. Evans)
2:41.0,T. Evans misses 2-pt shot at rim,,82-92,,
2:40.0,,,82-92,,Defensive rebound by Team
2:40.0,Memphis full timeout,,82-92,,
2:19.0,,,82-92,,C. Lee misses 3-pt shot from 27 ft
2:16.0,,,82-92,,Offensive rebound by K. Porzingis
2:16.0,Personal foul by T. Evans (drawn by K. Porzingis),,82-92,,
2:01.0,,,82-95,3,K. Porzingis makes 3-pt shot from 25 ft (assist by J. Jack)
1:42.0,M. Chalmers makes 2-pt shot from 10 ft,2,84-95,,
1:23.0,,,84-97,2,E. Kanter makes 2-pt shot from 1 ft (assist by J. Jack)
1:12.0,A. Harrison misses 2-pt shot from 2 ft (block by E. Kanter),,84-97,,
1:12.0,Offensive rebound by Team,,84-97,,
1:04.0,A. Harrison misses 2-pt shot from 21 ft,,84-97,,
1:02.0,,,84-97,,Defensive rebound by E. Kanter
0:50.0,,,84-99,2,K. Porzingis makes 2-pt shot from 1 ft (assist by E. Kanter)
0:50.0,,,84-99,,Technical foul by K. Porzingis
