time,Cleveland,pts.away,score,pts.home,Indiana
11:52.0,Personal foul by K. Love (drawn by V. Oladipo),,57-40,,
11:44.0,,,57-42,2,V. Oladipo makes 2-pt shot from 22 ft (assist by D. Collison)
11:28.0,J. Smith misses 3-pt shot from 27 ft,,57-42,,
11:25.0,,,57-42,,Defensive rebound by B. Bogdanovic
11:09.0,,,57-42,,M. Turner misses 3-pt shot from 26 ft
11:05.0,,,57-42,,Offensive rebound by T. Young
11:05.0,,,57-42,,T. Young misses 2-pt shot at rim
11:03.0,Defensive rebound by L. James,,57-42,,
10:51.0,,,57-42,,Personal foul by M. Turner (drawn by G. Hill)
10:39.0,L. James misses 2-pt shot from 21 ft,,57-42,,
10:36.0,,,57-42,,Defensive rebound by V. Oladipo
10:30.0,,,57-42,,V. Oladipo misses 2-pt shot at rim
10:29.0,,,57-42,,Offensive rebound by T. Young
10:29.0,,,57-44,2,T. Young makes 2-pt shot at rim
10:29.0,Cleveland full timeout,,57-44,,
10:24.0,K. Korver misses 3-pt shot from 24 ft,,57-44,,
10:21.0,,,57-44,,Defensive rebound by V. Oladipo
10:21.0,Personal foul by K. Love (drawn by V. Oladipo),,57-44,,
10:06.0,,,57-44,,Turnover by D. Collison (bad pass; steal by J. Smith)
10:00.0,L. James makes 2-pt shot from 2 ft,2,59-44,,
9:44.0,,,59-46,2,B. Bogdanovic makes 2-pt shot from 4 ft (assist by T. Young)
9:24.0,Turnover by K. Love (out of bounds lost ball),,59-46,,
9:09.0,,,59-46,,D. Collison misses 2-pt shot from 1 ft
9:06.0,,,59-46,,Offensive rebound by T. Young
9:06.0,,,59-48,2,T. Young makes 2-pt shot at rim
8:50.0,G. Hill makes 2-pt shot from 1 ft,2,61-48,,
8:39.0,,,61-48,,Shooting foul by J. Smith (drawn by V. Oladipo)
8:39.0,,,61-49,1,V. Oladipo makes free throw 1 of 2
8:39.0,,,61-49,,V. Oladipo misses free throw 2 of 2
8:39.0,Defensive rebound by K. Korver,,61-49,,
8:23.0,Turnover by G. Hill (lost ball; steal by T. Young),,61-49,,
8:20.0,,,61-49,,Turnover by T. Young (bad pass; steal by J. Smith)
8:01.0,L. James misses 2-pt shot from 7 ft (block by T. Young),,61-49,,
7:56.0,,,61-49,,Defensive rebound by D. Collison
7:48.0,,,61-49,,T. Young misses 2-pt shot from 2 ft
7:44.0,Defensive rebound by G. Hill,,61-49,,
7:32.0,K. Korver misses 3-pt shot from 27 ft,,61-49,,
7:29.0,,,61-49,,Defensive rebound by M. Turner
7:24.0,,,61-49,,Offensive foul by M. Turner (drawn by J. Smith)
7:24.0,,,61-49,,Turnover by M. Turner (offensive foul)
7:13.0,,,61-49,,Personal foul by T. Young (drawn by K. Korver)
7:00.0,L. James misses 2-pt shot from 16 ft,,61-49,,
6:56.0,,,61-49,,Defensive rebound by T. Young
6:52.0,Shooting block foul by J. Smith (drawn by V. Oladipo),,61-49,,
6:52.0,,,61-50,1,V. Oladipo makes free throw 1 of 2
6:52.0,,,61-51,1,V. Oladipo makes free throw 2 of 2
6:32.0,Turnover by K. Love (lost ball; steal by M. Turner),,61-51,,
6:26.0,,,61-53,2,B. Bogdanovic makes 2-pt shot from 1 ft
6:24.0,Cleveland full timeout,,61-53,,
6:16.0,,,61-53,,Personal foul by D. Collison (drawn by G. Hill)
6:07.0,Turnover by K. Love (out of bounds lost ball),,61-53,,
6:00.0,,,61-53,,V. Oladipo misses 3-pt shot from 27 ft
5:56.0,Defensive rebound by K. Love,,61-53,,
5:49.0,J. Smith makes 3-pt shot from 25 ft (assist by L. James),3,64-53,,
5:31.0,,,64-53,,Turnover by M. Turner (lost ball; steal by K. Love)
5:27.0,K. Korver misses 3-pt shot from 27 ft,,64-53,,
5:26.0,,,64-53,,Defensive rebound by Team
5:26.0,Loose ball foul by K. Love (drawn by V. Oladipo),,64-53,,
5:26.0,R. Hood enters the game for K. Korver,,64-53,,
5:26.0,,,64-54,1,V. Oladipo makes free throw 1 of 2
5:26.0,,,64-55,1,V. Oladipo makes free throw 2 of 2
5:09.0,R. Hood makes 2-pt shot at rim (assist by L. James),2,66-55,,
4:59.0,,,66-57,2,T. Young makes 2-pt shot from 1 ft (assist by V. Oladipo)
4:42.0,Turnover by L. James (bad pass; steal by V. Oladipo),,66-57,,
4:38.0,,,66-59,2,V. Oladipo makes 2-pt shot at rim
4:11.0,R. Hood misses 3-pt shot from 23 ft,,66-59,,
4:10.0,Offensive rebound by Team,,66-59,,
4:10.0,L. Nance enters the game for K. Love,,66-59,,
4:10.0,,,66-59,,Technical foul by B. Bogdanovic (drawn by L. James)
4:10.0,L. James makes free throw 1 of 1,1,67-59,,
4:10.0,,,67-59,,D. Sabonis enters the game for T. Young
3:57.0,J. Smith misses 2-pt shot from 1 ft,,67-59,,
3:55.0,Offensive rebound by L. James,,67-59,,
3:53.0,G. Hill misses 3-pt shot from 23 ft,,67-59,,
3:51.0,,,67-59,,Defensive rebound by B. Bogdanovic
3:45.0,,,67-59,,V. Oladipo misses 3-pt shot from 26 ft
3:42.0,Defensive rebound by J. Smith,,67-59,,
3:21.0,L. James misses 3-pt shot from 27 ft,,67-59,,
3:18.0,,,67-59,,Defensive rebound by V. Oladipo
3:11.0,,,67-59,,Shooting foul by J. Smith (drawn by B. Bogdanovic)
3:11.0,,,67-59,,B. Bogdanovic misses free throw 1 of 2
3:11.0,,,67-59,,Offensive rebound by Team
3:11.0,J. Clarkson enters the game for G. Hill,,67-59,,
3:11.0,J. Green enters the game for J. Smith,,67-59,,
3:11.0,,,67-59,,B. Bogdanovic misses free throw 2 of 2
3:08.0,Defensive rebound by L. James,,67-59,,
2:50.0,J. Green misses 3-pt shot from 26 ft,,67-59,,
2:46.0,,,67-59,,Defensive rebound by B. Bogdanovic
2:43.0,,,67-59,,Indiana full timeout
2:43.0,,,67-59,,L. Stephenson enters the game for B. Bogdanovic
2:32.0,,,67-59,,D. Collison misses 2-pt shot from 20 ft
2:27.0,Defensive rebound by J. Clarkson,,67-59,,
2:10.0,L. James misses 2-pt shot from 12 ft,,67-59,,
2:04.0,,,67-59,,Defensive rebound by V. Oladipo
1:49.0,,,67-61,2,M. Turner makes 2-pt shot from 17 ft
1:29.0,R. Hood makes 2-pt shot from 13 ft (assist by J. Green),2,69-61,,
1:08.0,,,69-61,,L. Stephenson misses 2-pt shot from 1 ft
1:04.0,,,69-61,,Offensive rebound by M. Turner
1:04.0,,,69-63,2,M. Turner makes 2-pt shot at rim
0:48.0,R. Hood misses 3-pt shot from 27 ft,,69-63,,
0:46.0,,,69-63,,Defensive rebound by M. Turner
0:37.0,,,69-63,,M. Turner misses 2-pt shot from 18 ft
0:32.0,Defensive rebound by J. Clarkson,,69-63,,
0:23.0,Offensive charge foul by L. Nance (drawn by V. Oladipo),,69-63,,
0:23.0,Turnover by L. Nance (offensive foul),,69-63,,
0:23.0,,,69-63,,C. Joseph enters the game for D. Collison
0:04.0,,,69-63,,Turnover by D. Sabonis (lost ball; steal by L. James)
0:00.0,Offensive charge foul by J. Clarkson (drawn by C. Joseph),,69-63,,
0:00.0,Turnover by J. Clarkson (offensive foul),,69-63,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,L. Nance makes 2-pt shot from 2 ft (assist by L. James),2,71-63,,
11:23.0,,,71-63,,Shooting foul by J. Green (drawn by C. Joseph)
11:23.0,,,71-64,1,C. Joseph makes free throw 1 of 2
11:23.0,,,71-65,1,C. Joseph makes free throw 2 of 2
11:01.0,R. Hood misses 2-pt shot from 13 ft,,71-65,,
10:57.0,,,71-65,,Defensive rebound by M. Turner
10:51.0,,,71-67,2,M. Turner makes 2-pt shot from 19 ft (assist by C. Joseph)
10:31.0,J. Green makes 2-pt shot at rim (assist by L. James),2,73-67,,
10:20.0,,,73-69,2,D. Sabonis makes 2-pt shot from 1 ft (assist by C. Joseph)
10:20.0,Shooting block foul by L. Nance (drawn by D. Sabonis),,73-69,,
10:20.0,,,73-70,1,D. Sabonis makes free throw 1 of 1
9:58.0,J. Green misses 2-pt shot from 18 ft,,73-70,,
9:54.0,,,73-70,,Defensive rebound by L. Stephenson
9:48.0,,,73-70,,M. Turner misses 3-pt shot from 26 ft
9:44.0,Defensive rebound by J. Clarkson,,73-70,,
9:34.0,,,73-70,,Violation by L. Stephenson (kicked ball)
9:34.0,,,73-70,,V. Oladipo enters the game for M. Turner
9:34.0,K. Love enters the game for J. Clarkson,,73-70,,
9:32.0,,,73-70,,Personal foul by L. Stephenson (drawn by K. Love)
9:32.0,,,73-70,,T. Young enters the game for L. Stephenson
9:17.0,R. Hood makes 2-pt shot from 16 ft,2,75-70,,
9:03.0,,,75-73,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by V. Oladipo)
8:52.0,,,75-73,,Personal foul by B. Bogdanovic (drawn by L. James)
8:43.0,Turnover by L. James (bad pass),,75-73,,
8:38.0,,,75-73,,Shooting foul by K. Love (drawn by V. Oladipo)
8:38.0,,,75-74,1,V. Oladipo makes free throw 1 of 2
8:38.0,K. Korver enters the game for L. Nance,,75-74,,
8:38.0,,,75-75,1,V. Oladipo makes free throw 2 of 2
8:23.0,J. Green misses 2-pt shot from 2 ft (block by D. Sabonis),,75-75,,
8:20.0,,,75-75,,Defensive rebound by V. Oladipo
8:17.0,,,75-75,,V. Oladipo misses 3-pt shot from 28 ft
8:14.0,,,75-75,,Offensive rebound by Team
8:14.0,J. Smith enters the game for J. Green,,75-75,,
7:55.0,,,75-75,,V. Oladipo misses 3-pt shot from 29 ft
7:52.0,Defensive rebound by L. James,,75-75,,
7:40.0,L. James makes 2-pt shot from 6 ft,2,77-75,,
7:38.0,,,77-75,,Indiana full timeout
7:28.0,,,77-75,,D. Sabonis misses 2-pt shot from 1 ft (block by L. James)
7:26.0,,,77-75,,Offensive rebound by Team
7:14.0,,,77-75,,Turnover by Team (shot clock)
6:51.0,R. Hood misses 3-pt shot from 27 ft,,77-75,,
6:50.0,,,77-75,,Defensive rebound by Team
6:39.0,,,77-77,2,V. Oladipo makes 2-pt shot from 2 ft
6:18.0,Turnover by L. James (traveling),,77-77,,
6:10.0,,,77-80,3,B. Bogdanovic makes 3-pt shot from 28 ft (assist by V. Oladipo)
6:10.0,,,77-80,,Shooting foul by K. Korver (drawn by B. Bogdanovic)
6:10.0,G. Hill enters the game for K. Korver,,77-80,,
6:10.0,,,77-81,1,B. Bogdanovic makes free throw 1 of 1
5:46.0,Turnover by G. Hill (bad pass; steal by T. Young),,77-81,,
5:41.0,,,77-84,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by C. Joseph)
5:40.0,Cleveland full timeout,,77-84,,
5:40.0,J. Clarkson enters the game for G. Hill,,77-84,,
5:25.0,,,77-84,,Personal foul by D. Sabonis (drawn by L. James)
5:15.0,,,77-84,,Personal foul by B. Bogdanovic (drawn by L. James)
5:15.0,,,77-84,,L. Stephenson enters the game for B. Bogdanovic
5:04.0,J. Smith misses 3-pt shot from 25 ft,,77-84,,
5:00.0,,,77-84,,Defensive rebound by L. Stephenson
4:44.0,,,77-84,,Offensive foul by D. Sabonis (drawn by J. Smith)
4:44.0,,,77-84,,Turnover by D. Sabonis (offensive foul)
4:29.0,L. James makes 3-pt shot from 26 ft,3,80-84,,
4:09.0,,,80-84,,D. Sabonis misses 3-pt shot from 22 ft
4:07.0,,,80-84,,Offensive rebound by T. Young
4:04.0,,,80-84,,V. Oladipo misses 3-pt shot from 26 ft
4:00.0,Defensive rebound by K. Love,,80-84,,
3:42.0,L. James makes 3-pt shot from 24 ft,3,83-84,,
3:41.0,,,83-84,,Indiana full timeout
3:41.0,,,83-84,,D. Collison enters the game for C. Joseph
3:41.0,,,83-84,,M. Turner enters the game for D. Sabonis
3:41.0,,,83-84,,B. Bogdanovic enters the game for L. Stephenson
3:28.0,,,83-84,,B. Bogdanovic misses 2-pt shot from 3 ft (block by J. Clarkson)
3:28.0,,,83-84,,Offensive rebound by Team
3:26.0,,,83-84,,B. Bogdanovic misses 2-pt shot from 14 ft
3:26.0,Defensive rebound by Team,,83-84,,
3:25.0,,,83-84,,Loose ball foul by T. Young (drawn by L. James)
3:25.0,L. James misses free throw 1 of 2,,83-84,,
3:25.0,Offensive rebound by Team,,83-84,,
3:25.0,L. James makes free throw 2 of 2,1,84-84,,
3:08.0,,,84-86,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by V. Oladipo)
2:50.0,K. Love misses 3-pt shot from 25 ft,,84-86,,
2:48.0,,,84-86,,Defensive rebound by M. Turner
2:26.0,,,84-89,3,B. Bogdanovic makes 3-pt shot from 30 ft (assist by V. Oladipo)
2:12.0,J. Smith misses 3-pt shot from 28 ft,,84-89,,
2:08.0,,,84-89,,Defensive rebound by T. Young
1:45.0,,,84-89,,M. Turner misses 3-pt shot from 25 ft
1:41.0,Defensive rebound by J. Clarkson,,84-89,,
1:36.0,L. James misses 3-pt shot from 26 ft,,84-89,,
1:33.0,,,84-89,,Defensive rebound by V. Oladipo
1:24.0,,,84-89,,Turnover by V. Oladipo (lost ball; steal by R. Hood)
1:16.0,J. Clarkson misses 3-pt shot from 25 ft,,84-89,,
1:13.0,,,84-89,,Defensive rebound by M. Turner
0:53.0,,,84-91,2,T. Young makes 2-pt shot from 1 ft (assist by D. Collison)
0:53.0,Cleveland full timeout,,84-91,,
0:53.0,,,84-91,,C. Joseph enters the game for B. Bogdanovic
0:38.0,L. James makes 3-pt shot from 29 ft,3,87-91,,
0:37.0,,,87-91,,Indiana full timeout
0:37.0,,,87-91,,B. Bogdanovic enters the game for T. Young
0:14.0,,,87-91,,C. Joseph misses 3-pt shot from 26 ft
0:13.0,,,87-91,,Offensive rebound by Team
0:13.0,,,87-91,,Turnover by Team (shot clock)
0:13.0,Cleveland full timeout,,87-91,,
0:13.0,,,87-91,,T. Young enters the game for B. Bogdanovic
0:12.0,L. James misses 3-pt shot from 28 ft,,87-91,,
0:08.0,Offensive rebound by K. Love,,87-91,,
0:07.0,K. Love makes 3-pt shot from 22 ft,3,90-91,,
0:07.0,,,90-91,,Indiana full timeout
0:07.0,,,90-91,,B. Bogdanovic enters the game for T. Young
0:07.0,L. Nance enters the game for K. Love,,90-91,,
0:07.0,J. Green enters the game for J. Smith,,90-91,,
