time,Denver,pts.away,score,pts.home,Utah
4:39.0,J. Murray makes 2-pt shot from 17 ft (assist by N. Jokic),2,19-12,,
4:24.0,,,19-14,2,R. Rubio makes 2-pt shot from 2 ft
4:00.0,,,19-14,,Personal foul by R. Rubio (drawn by N. Jokic)
4:00.0,,,19-14,,A. Burks enters the game for D. Mitchell
4:00.0,,,19-14,,R. Neto enters the game for R. Rubio
4:00.0,T. Lyles enters the game for K. Faried,,19-14,,
4:00.0,W. Barton enters the game for J. Hernangomez,,19-14,,
3:50.0,Turnover by J. Murray (bad pass),,19-14,,
3:34.0,,,19-14,,D. Favors misses 2-pt shot from 1 ft
3:32.0,Defensive rebound by N. Jokic,,19-14,,
3:28.0,T. Lyles misses 3-pt shot from 25 ft,,19-14,,
3:21.0,Offensive rebound by T. Lyles,,19-14,,
3:04.0,W. Barton misses 2-pt shot from 1 ft (block by D. Favors),,19-14,,
3:00.0,,,19-14,,Defensive rebound by J. Ingles
2:55.0,,,19-14,,D. Favors misses 2-pt shot from 2 ft (block by G. Harris)
2:55.0,,,19-14,,Offensive rebound by Team
2:55.0,Denver full timeout,,19-14,,
2:55.0,,,19-14,,R. O'Neale enters the game for J. Ingles
2:55.0,E. Mudiay enters the game for N. Jokic,,19-14,,
2:55.0,M. Plumlee enters the game for J. Murray,,19-14,,
2:53.0,Jump ball: D. Favors vs. G. Harris (A. Burks gains possession),,,,Jump ball: D. Favors vs. G. Harris (A. Burks gains possession)
2:45.0,,,19-17,3,R. O'Neale makes 3-pt shot from 22 ft (assist by D. Favors)
2:31.0,G. Harris misses 3-pt shot from 25 ft,,19-17,,
2:28.0,,,19-17,,Defensive rebound by A. Burks
2:22.0,,,19-17,,E. Udoh enters the game for D. Favors
2:11.0,,,19-17,,A. Burks misses 3-pt shot from 25 ft
2:08.0,Defensive rebound by E. Mudiay,,19-17,,
2:03.0,Turnover by M. Plumlee (bad pass),,19-17,,
1:46.0,,,19-19,2,R. Neto makes 2-pt shot from 1 ft
1:21.0,G. Harris makes 3-pt shot from 22 ft (assist by E. Mudiay),3,22-19,,
1:02.0,,,22-22,3,A. Burks makes 3-pt shot from 23 ft (assist by T. Sefolosha)
0:47.0,Turnover by T. Lyles (lost ball; steal by T. Sefolosha),,22-22,,
0:44.0,,,22-24,2,T. Sefolosha makes 2-pt shot from 2 ft
0:34.0,Turnover by E. Mudiay (lost ball; steal by T. Sefolosha),,22-24,,
0:30.0,,,22-26,2,A. Burks makes 2-pt shot from 2 ft (assist by R. O'Neale)
0:09.0,Shooting foul by T. Sefolosha (drawn by W. Barton),,22-26,,
0:09.0,W. Barton makes free throw 1 of 2,1,23-26,,
0:09.0,M. Beasley enters the game for G. Harris,,23-26,,
0:09.0,W. Barton makes free throw 2 of 2,1,24-26,,
0:02.0,,,24-26,,T. Sefolosha misses 3-pt shot from 24 ft
0:02.0,,,24-26,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,E. Mudiay makes 2-pt shot from 13 ft,2,26-26,,
11:21.0,,,26-29,3,R. O'Neale makes 3-pt shot from 23 ft (assist by E. Udoh)
11:05.0,T. Lyles makes 2-pt shot from 8 ft,2,28-29,,
10:42.0,,,28-29,,R. Neto misses 3-pt shot from 24 ft
10:39.0,Defensive rebound by W. Barton,,28-29,,
10:38.0,,,28-29,,Personal foul by A. Burks (drawn by M. Plumlee)
10:30.0,T. Lyles misses 2-pt shot from 2 ft,,28-29,,
10:27.0,Offensive rebound by J. Hernangomez,,28-29,,
10:27.0,J. Hernangomez makes 2-pt shot at rim,2,30-29,,
10:13.0,,,30-31,2,R. Neto makes 2-pt shot from 4 ft
10:00.0,Turnover by E. Mudiay (out of bounds lost ball),,30-31,,
9:54.0,,,30-31,,J. Jerebko enters the game for T. Sefolosha
9:46.0,,,30-31,,Turnover by R. Neto (traveling)
9:24.0,T. Lyles misses 3-pt shot from 22 ft,,30-31,,
9:21.0,,,30-31,,Defensive rebound by A. Burks
9:15.0,,,30-31,,A. Burks misses 2-pt shot from 11 ft
9:13.0,Defensive rebound by W. Barton,,30-31,,
9:06.0,W. Barton misses 3-pt shot from 25 ft,,30-31,,
9:03.0,,,30-31,,Defensive rebound by J. Jerebko
8:55.0,,,30-31,,E. Udoh misses 2-pt shot from 8 ft
8:53.0,Defensive rebound by W. Barton,,30-31,,
8:44.0,E. Mudiay misses 3-pt shot from 24 ft,,30-31,,
8:41.0,,,30-31,,Defensive rebound by E. Udoh
8:26.0,Personal foul by J. Hernangomez (drawn by R. Neto),,30-31,,
8:26.0,,,30-31,,D. Mitchell enters the game for R. O'Neale
8:20.0,,,30-31,,R. Neto misses 2-pt shot from 18 ft
8:18.0,Defensive rebound by J. Hernangomez,,30-31,,
8:04.0,M. Plumlee misses 2-pt shot from 6 ft,,30-31,,
8:00.0,Offensive rebound by J. Hernangomez,,30-31,,
8:00.0,J. Hernangomez misses 2-pt shot from 7 ft (block by J. Jerebko),,30-31,,
8:00.0,,,30-31,,Defensive rebound by D. Mitchell
7:59.0,Personal foul by J. Hernangomez (drawn by A. Burks),,30-31,,
7:59.0,,,30-31,,R. Rubio enters the game for R. Neto
7:59.0,G. Harris enters the game for J. Hernangomez,,30-31,,
7:48.0,,,30-31,,R. Rubio misses 2-pt shot from 3 ft
7:46.0,Defensive rebound by M. Plumlee,,30-31,,
7:40.0,G. Harris makes 3-pt shot from 24 ft,3,33-31,,
7:23.0,,,33-31,,Turnover by E. Udoh (lost ball; steal by T. Lyles)
7:23.0,,,33-31,,Personal foul by D. Mitchell (drawn by T. Lyles)
7:23.0,,,33-31,,J. Ingles enters the game for A. Burks
7:09.0,T. Lyles misses 2-pt shot from 6 ft (block by E. Udoh),,33-31,,
7:09.0,Offensive rebound by T. Lyles,,33-31,,
7:09.0,Shooting foul by E. Udoh (drawn by T. Lyles),,33-31,,
7:09.0,T. Lyles makes free throw 1 of 2,1,34-31,,
7:09.0,,,34-31,,D. Favors enters the game for E. Udoh
7:09.0,T. Lyles makes free throw 2 of 2,1,35-31,,
6:57.0,,,35-33,2,D. Mitchell makes 2-pt shot from 2 ft
6:45.0,M. Plumlee misses 2-pt shot from 3 ft,,35-33,,
6:42.0,,,35-33,,Defensive rebound by J. Jerebko
6:37.0,Personal foul by W. Barton (drawn by J. Ingles),,35-33,,
6:37.0,,,35-33,,Utah full timeout
6:37.0,N. Jokic enters the game for E. Mudiay,,35-33,,
6:37.0,J. Murray enters the game for M. Plumlee,,35-33,,
6:25.0,,,35-35,2,J. Jerebko makes 2-pt shot from 8 ft
6:12.0,Turnover by J. Murray (bad pass; steal by D. Mitchell),,35-35,,
6:12.0,Personal foul by G. Harris (drawn by D. Mitchell),,35-35,,
6:12.0,K. Faried enters the game for T. Lyles,,35-35,,
6:12.0,,,35-36,1,D. Mitchell makes clear path free throw 2 of 2
6:12.0,,,35-37,1,D. Mitchell makes clear path free throw 1 of 2
5:54.0,,,35-37,,J. Jerebko misses 2-pt shot from 5 ft
5:51.0,Defensive rebound by N. Jokic,,35-37,,
5:40.0,N. Jokic misses 3-pt shot from 25 ft,,35-37,,
5:37.0,,,35-37,,Defensive rebound by R. Rubio
5:26.0,,,35-37,,R. Rubio misses 2-pt shot from 18 ft
5:23.0,Defensive rebound by G. Harris,,35-37,,
5:12.0,J. Murray makes 2-pt shot from 15 ft (assist by N. Jokic),2,37-37,,
4:57.0,,,37-40,3,J. Jerebko makes 3-pt shot from 22 ft (assist by J. Ingles)
4:32.0,G. Harris misses 3-pt shot from 27 ft,,37-40,,
4:30.0,Offensive rebound by Team,,37-40,,
4:21.0,K. Faried misses 2-pt shot from 3 ft,,37-40,,
4:17.0,,,37-40,,Defensive rebound by J. Jerebko
4:13.0,,,37-40,,J. Jerebko misses 3-pt shot from 22 ft
4:12.0,Defensive rebound by Team,,37-40,,
3:59.0,K. Faried makes 2-pt shot from 1 ft (assist by N. Jokic),2,39-40,,
3:44.0,,,39-42,2,D. Mitchell makes 2-pt shot from 18 ft
3:32.0,Turnover by N. Jokic (bad pass),,39-42,,
3:12.0,,,39-42,,J. Ingles misses 3-pt shot from 25 ft
3:08.0,Defensive rebound by K. Faried,,39-42,,
3:02.0,,,39-42,,Personal block foul by J. Jerebko (drawn by G. Harris)
2:52.0,J. Murray makes 2-pt shot from 8 ft,2,41-42,,
2:36.0,,,41-42,,D. Mitchell misses 3-pt shot from 27 ft
2:33.0,Defensive rebound by K. Faried,,41-42,,
2:26.0,W. Barton makes 2-pt shot from 6 ft,2,43-42,,
2:07.0,,,43-42,,Turnover by R. Rubio (bad pass; steal by N. Jokic)
1:57.0,J. Murray misses 3-pt shot from 24 ft,,43-42,,
1:57.0,Offensive rebound by K. Faried,,43-42,,
1:57.0,Shooting foul by D. Mitchell (drawn by K. Faried),,43-42,,
1:57.0,Denver full timeout,,43-42,,
1:57.0,,,43-42,,A. Burks enters the game for D. Mitchell
1:57.0,K. Faried makes free throw 1 of 2,1,44-42,,
1:57.0,K. Faried misses free throw 2 of 2,,44-42,,
1:54.0,Offensive rebound by W. Barton,,44-42,,
1:54.0,W. Barton misses 2-pt shot from 3 ft (block by D. Favors),,44-42,,
1:51.0,,,44-42,,Defensive rebound by J. Jerebko
1:40.0,,,44-44,2,D. Favors makes 2-pt shot from 1 ft (assist by J. Ingles)
1:27.0,N. Jokic misses 2-pt shot from 15 ft,,44-44,,
1:25.0,,,44-44,,Defensive rebound by R. Rubio
1:08.0,,,44-46,2,D. Favors makes 2-pt shot from 1 ft (assist by J. Ingles)
0:47.0,G. Harris makes 3-pt shot from 25 ft,3,47-46,,
0:28.0,,,47-46,,A. Burks misses 2-pt shot from 11 ft
0:27.0,,,47-46,,Offensive rebound by A. Burks
0:09.0,,,47-48,2,J. Jerebko makes 2-pt shot from 7 ft
0:03.0,J. Murray misses 3-pt shot from 27 ft,,47-48,,
0:03.0,Offensive rebound by K. Faried,,47-48,,
0:00.0,K. Faried misses 2-pt shot from 2 ft,,47-48,,
0:00.0,K. Faried misses 2-pt shot from 2 ft,,47-48,,
0:00.0,Offensive rebound by K. Faried,,47-48,,
0:00.0,Offensive rebound by K. Faried,,47-48,,
0:00.0,K. Faried makes 2-pt shot from 2 ft,2,49-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,G. Harris misses 2-pt shot from 2 ft,,49-48,,
11:39.0,,,49-48,,Defensive rebound by R. Rubio
11:34.0,,,49-51,3,J. Jerebko makes 3-pt shot from 24 ft (assist by R. Rubio)
11:23.0,Turnover by G. Harris (step out of bounds),,49-51,,
11:09.0,,,49-53,2,D. Favors makes 2-pt shot from 2 ft (assist by J. Jerebko)
11:09.0,Denver full timeout,,49-53,,
10:50.0,Turnover by J. Murray (out of bounds lost ball),,49-53,,
10:39.0,,,49-55,2,R. Rubio makes 2-pt shot from 19 ft
10:26.0,G. Harris misses 3-pt shot from 25 ft,,49-55,,
10:22.0,,,49-55,,Defensive rebound by D. Favors
10:14.0,,,49-55,,Turnover by D. Mitchell (lost ball; steal by J. Murray)
10:09.0,Turnover by K. Faried (bad pass; steal by R. Rubio),,49-55,,
9:53.0,,,49-58,3,J. Ingles makes 3-pt shot from 23 ft (assist by D. Favors)
9:39.0,Shooting foul by J. Ingles (drawn by K. Faried),,49-58,,
9:39.0,K. Faried makes free throw 1 of 2,1,50-58,,
9:39.0,K. Faried makes free throw 2 of 2,1,51-58,,
9:25.0,,,51-58,,R. Rubio misses 3-pt shot from 23 ft
9:22.0,Defensive rebound by N. Jokic,,51-58,,
9:14.0,Turnover by K. Faried (offensive goaltending),,51-58,,
9:14.0,W. Barton enters the game for K. Faried,,51-58,,
9:02.0,,,51-58,,Shooting foul by J. Murray (drawn by R. Rubio)
9:02.0,,,51-58,,R. Rubio misses free throw 1 of 2
9:02.0,,,51-58,,Offensive rebound by Team
9:02.0,,,51-59,1,R. Rubio makes free throw 2 of 2
8:45.0,G. Harris misses 3-pt shot from 24 ft,,51-59,,
8:42.0,,,51-59,,Defensive rebound by D. Favors
8:27.0,,,51-61,2,R. Rubio makes 2-pt shot from 2 ft (assist by J. Ingles)
8:13.0,J. Murray makes 2-pt shot from 3 ft,2,53-61,,
8:02.0,,,53-63,2,D. Favors makes 2-pt shot from 1 ft (assist by J. Ingles)
7:48.0,G. Harris makes 2-pt shot from 2 ft,2,55-63,,
7:30.0,,,55-66,3,J. Jerebko makes 3-pt shot from 22 ft (assist by R. Rubio)
7:29.0,Denver full timeout,,55-66,,
7:29.0,E. Mudiay enters the game for J. Murray,,55-66,,
7:20.0,N. Jokic misses 2-pt shot from 19 ft,,55-66,,
7:17.0,,,55-66,,Defensive rebound by J. Ingles
7:03.0,,,55-68,2,J. Ingles makes 2-pt shot from 1 ft
6:47.0,G. Harris misses 3-pt shot from 25 ft,,55-68,,
6:44.0,,,55-68,,Defensive rebound by R. Rubio
6:32.0,,,55-68,,R. Rubio misses 3-pt shot from 24 ft
6:29.0,Defensive rebound by N. Jokic,,55-68,,
6:22.0,,,55-68,,Personal foul by D. Mitchell (drawn by W. Barton)
6:22.0,,,55-68,,T. Sefolosha enters the game for J. Jerebko
6:22.0,,,55-68,,A. Burks enters the game for D. Mitchell
6:10.0,Turnover by E. Mudiay (step out of bounds),,55-68,,
5:59.0,Personal foul by W. Barton (drawn by J. Ingles),,55-68,,
5:47.0,,,55-68,,T. Sefolosha misses 3-pt shot from 23 ft
5:43.0,Defensive rebound by E. Mudiay,,55-68,,
5:33.0,E. Mudiay makes 2-pt shot from 2 ft,2,57-68,,
5:15.0,,,57-70,2,D. Favors makes 2-pt shot from 8 ft (assist by R. Rubio)
5:03.0,,,57-70,,Personal block foul by R. Rubio (drawn by N. Jokic)
5:03.0,,,57-70,,E. Udoh enters the game for D. Favors
5:03.0,M. Plumlee enters the game for N. Jokic,,57-70,,
4:57.0,E. Mudiay misses 3-pt shot from 24 ft,,57-70,,
4:55.0,,,57-70,,Defensive rebound by J. Ingles
4:38.0,,,57-70,,Turnover by J. Ingles (bad pass; steal by E. Mudiay)
4:33.0,W. Barton makes 2-pt shot from 2 ft (assist by E. Mudiay),2,59-70,,
4:26.0,,,59-70,,Utah full timeout
4:26.0,,,59-70,,R. Neto enters the game for R. Rubio
4:09.0,,,59-70,,A. Burks misses 2-pt shot from 11 ft
4:08.0,Defensive rebound by Team,,59-70,,
4:08.0,,,59-70,,Loose ball foul by A. Burks (drawn by J. Hernangomez)
3:48.0,G. Harris misses 2-pt shot from 6 ft,,59-70,,
3:45.0,,,59-70,,Defensive rebound by T. Sefolosha
3:27.0,,,59-70,,Turnover by R. Neto (bad pass)
3:06.0,Turnover by E. Mudiay (bad pass),,59-70,,
2:54.0,,,59-70,,R. Neto misses 2-pt shot from 7 ft
2:51.0,,,59-70,,Offensive rebound by E. Udoh
2:39.0,,,59-70,,E. Udoh misses 2-pt shot from 8 ft
2:37.0,Defensive rebound by J. Hernangomez,,59-70,,
2:32.0,G. Harris misses 3-pt shot from 27 ft,,59-70,,
2:30.0,,,59-70,,Defensive rebound by J. Ingles
2:21.0,,,59-70,,Turnover by J. Ingles (bad pass; steal by M. Plumlee)
2:18.0,,,59-70,,Violation by T. Sefolosha (def goaltending)
2:18.0,G. Harris makes 2-pt shot from 1 ft (assist by E. Mudiay),2,61-70,,
2:07.0,,,61-70,,Shooting foul by J. Hernangomez (drawn by A. Burks)
2:07.0,,,61-71,1,A. Burks makes free throw 1 of 3
2:07.0,,,61-72,1,A. Burks makes free throw 2 of 3
2:07.0,,,61-72,,R. O'Neale enters the game for J. Ingles
2:07.0,T. Lyles enters the game for G. Harris,,61-72,,
2:07.0,M. Beasley enters the game for J. Hernangomez,,61-72,,
2:07.0,,,61-73,1,A. Burks makes free throw 3 of 3
1:51.0,Turnover by M. Beasley (bad pass; steal by A. Burks),,61-73,,
1:41.0,,,61-73,,T. Sefolosha misses 3-pt shot from 24 ft
1:38.0,,,61-73,,Offensive rebound by E. Udoh
1:34.0,,,61-76,3,A. Burks makes 3-pt shot from 25 ft (assist by R. Neto)
1:10.0,E. Mudiay misses 2-pt shot from 20 ft,,61-76,,
1:08.0,,,61-76,,Defensive rebound by T. Sefolosha
0:54.0,,,61-76,,A. Burks misses 2-pt shot from 18 ft
0:50.0,Defensive rebound by M. Beasley,,61-76,,
0:46.0,W. Barton makes 3-pt shot from 25 ft (assist by M. Beasley),3,64-76,,
0:29.0,,,64-76,,Offensive charge foul by R. O'Neale (drawn by E. Mudiay)
0:29.0,,,64-76,,Turnover by R. O'Neale (offensive foul)
0:13.0,Shooting foul by T. Sefolosha (drawn by E. Mudiay),,64-76,,
0:13.0,E. Mudiay makes free throw 1 of 2,1,65-76,,
0:13.0,,,65-76,,D. Mitchell enters the game for T. Sefolosha
0:13.0,E. Mudiay makes free throw 2 of 2,1,66-76,,
0:05.0,Personal foul by E. Mudiay (drawn by D. Mitchell),,66-76,,
0:00.0,,,66-76,,D. Mitchell misses 2-pt shot from 23 ft (block by E. Mudiay)
0:00.0,Defensive rebound by M. Plumlee,,66-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,,,66-78,2,D. Mitchell makes 2-pt shot from 20 ft (assist by D. Favors)
11:29.0,M. Plumlee misses 2-pt shot from 7 ft,,66-78,,
11:25.0,,,66-78,,Defensive rebound by D. Favors
11:19.0,,,66-78,,Turnover by D. Mitchell (lost ball; steal by M. Beasley)
11:17.0,,,66-78,,Personal foul by R. Neto (drawn by W. Barton)
11:13.0,,,66-78,,Personal foul by T. Sefolosha (drawn by T. Lyles)
11:13.0,,,66-78,,J. Jerebko enters the game for T. Sefolosha
11:06.0,E. Mudiay misses 2-pt shot from 5 ft (block by D. Favors),,66-78,,
11:02.0,,,66-78,,Defensive rebound by J. Jerebko
10:51.0,,,66-78,,J. Jerebko misses 2-pt shot from 4 ft
10:50.0,,,66-78,,Offensive rebound by J. Jerebko
10:45.0,,,66-78,,Shooting foul by W. Barton (drawn by D. Mitchell)
10:45.0,,,66-79,1,D. Mitchell makes free throw 1 of 2
10:45.0,,,66-80,1,D. Mitchell makes free throw 2 of 2
10:32.0,T. Lyles makes 2-pt shot from 10 ft,2,68-80,,
10:08.0,,,68-82,2,D. Favors makes 2-pt shot from 2 ft (assist by D. Mitchell)
9:49.0,M. Beasley misses 3-pt shot from 24 ft,,68-82,,
9:48.0,,,68-82,,Defensive rebound by Team
9:48.0,Loose ball foul by M. Plumlee (drawn by R. O'Neale),,68-82,,
9:48.0,G. Harris enters the game for M. Plumlee,,68-82,,
9:48.0,N. Jokic enters the game for M. Beasley,,68-82,,
9:30.0,,,68-82,,D. Mitchell misses 2-pt shot from 7 ft (block by N. Jokic)
9:29.0,,,68-82,,Offensive rebound by Team
9:27.0,,,68-82,,D. Mitchell misses 3-pt shot from 28 ft
9:20.0,Defensive rebound by E. Mudiay,,68-82,,
9:12.0,Turnover by E. Mudiay (bad pass; steal by D. Favors),,68-82,,
8:55.0,,,68-82,,D. Mitchell misses 2-pt shot from 1 ft
8:54.0,,,68-82,,Offensive rebound by D. Favors
8:54.0,,,68-84,2,D. Favors makes 2-pt shot from 1 ft
8:54.0,Denver full timeout,,68-84,,
8:54.0,,,68-84,,R. Rubio enters the game for R. Neto
8:54.0,J. Murray enters the game for E. Mudiay,,68-84,,
8:46.0,W. Barton misses 2-pt shot from 10 ft,,68-84,,
8:43.0,,,68-84,,Defensive rebound by J. Jerebko
8:21.0,,,68-86,2,D. Favors makes 2-pt shot from 16 ft (assist by R. Rubio)
8:06.0,N. Jokic makes 2-pt shot from 7 ft,2,70-86,,
7:44.0,,,70-88,2,D. Favors makes 2-pt shot from 21 ft
7:30.0,N. Jokic misses 3-pt shot from 24 ft,,70-88,,
7:29.0,,,70-88,,Defensive rebound by Team
7:08.0,,,70-88,,R. O'Neale misses 2-pt shot from 1 ft
7:06.0,Defensive rebound by N. Jokic,,70-88,,
6:54.0,J. Murray misses 2-pt shot from 14 ft,,70-88,,
6:51.0,,,70-88,,Defensive rebound by R. O'Neale
6:38.0,,,70-91,3,R. O'Neale makes 3-pt shot from 25 ft (assist by J. Jerebko)
6:26.0,G. Harris misses 3-pt shot from 25 ft,,70-91,,
6:23.0,,,70-91,,Defensive rebound by D. Mitchell
6:12.0,,,70-94,3,D. Mitchell makes 3-pt shot from 25 ft (assist by D. Favors)
6:11.0,Denver full timeout,,70-94,,
6:11.0,,,70-94,,J. Ingles enters the game for J. Jerebko
6:11.0,M. Beasley enters the game for W. Barton,,70-94,,
6:11.0,K. Faried enters the game for T. Lyles,,70-94,,
6:11.0,T. Craig enters the game for G. Harris,,70-94,,
6:11.0,J. Hernangomez enters the game for N. Jokic,,70-94,,
6:03.0,K. Faried makes 2-pt shot from 2 ft (assist by J. Murray),2,72-94,,
5:36.0,,,72-97,3,D. Mitchell makes 3-pt shot from 29 ft (assist by D. Favors)
5:18.0,J. Hernangomez misses 3-pt shot from 25 ft,,72-97,,
5:15.0,,,72-97,,Defensive rebound by D. Favors
5:07.0,,,72-97,,J. Ingles misses 3-pt shot from 27 ft
5:03.0,Defensive rebound by K. Faried,,72-97,,
4:48.0,J. Murray makes 2-pt shot from 17 ft,2,74-97,,
4:26.0,,,74-97,,D. Mitchell misses 3-pt shot from 26 ft
4:23.0,Defensive rebound by J. Hernangomez,,74-97,,
4:19.0,J. Murray misses 3-pt shot from 26 ft,,74-97,,
4:17.0,,,74-97,,Defensive rebound by D. Favors
3:57.0,,,74-97,,J. Ingles misses 3-pt shot from 23 ft
3:52.0,Defensive rebound by T. Craig,,74-97,,
3:37.0,J. Murray misses 2-pt shot from 13 ft (block by R. Rubio),,74-97,,
3:34.0,,,74-97,,Defensive rebound by D. Favors
3:17.0,,,74-99,2,D. Favors makes 2-pt shot from 5 ft
3:07.0,T. Craig misses 3-pt shot from 24 ft,,74-99,,
3:04.0,,,74-99,,Defensive rebound by D. Mitchell
3:04.0,,,74-99,,Utah full timeout
3:04.0,,,74-99,,E. Udoh enters the game for R. Rubio
3:04.0,,,74-99,,A. Burks enters the game for D. Favors
2:47.0,,,74-99,,A. Burks misses 3-pt shot from 25 ft
2:45.0,Defensive rebound by J. Hernangomez,,74-99,,
2:41.0,Shooting foul by E. Udoh (drawn by M. Beasley),,74-99,,
2:41.0,M. Beasley makes free throw 1 of 2,1,75-99,,
2:41.0,M. Beasley misses free throw 2 of 2,,75-99,,
2:39.0,,,75-99,,Defensive rebound by Team
2:39.0,,,75-99,,N. Wolters enters the game for J. Ingles
2:22.0,,,75-99,,R. O'Neale misses 3-pt shot from 25 ft
2:18.0,Defensive rebound by M. Beasley,,75-99,,
2:06.0,,,75-99,,T. Bradley enters the game for E. Udoh
2:06.0,,,75-99,,E. Udoh enters the game for D. Mitchell
1:56.0,J. Murray misses 3-pt shot from 24 ft,,75-99,,
1:56.0,Offensive rebound by Team,,75-99,,
1:56.0,Turnover by Team (shot clock),,75-99,,
1:39.0,,,75-99,,N. Wolters misses 2-pt shot from 10 ft
1:35.0,,,75-99,,Offensive rebound by T. Bradley
1:35.0,,,75-99,,T. Bradley misses 2-pt shot at rim
1:33.0,,,75-99,,Offensive rebound by N. Wolters
1:19.0,,,75-101,2,R. O'Neale makes 2-pt shot from 8 ft
1:07.0,J. Hernangomez misses 3-pt shot from 28 ft,,75-101,,
1:05.0,,,75-101,,Defensive rebound by T. Bradley
0:59.0,,,75-101,,R. O'Neale misses 2-pt shot from 2 ft
0:56.0,,,75-101,,Offensive rebound by E. Udoh
0:56.0,,,75-103,2,E. Udoh makes 2-pt shot at rim
0:52.0,J. Hernangomez misses 3-pt shot from 25 ft,,75-103,,
