time,Boston,pts.away,score,pts.home,San Antonio
8:09.0,K. Irving misses 3-pt shot from 25 ft,,9-0,,
8:07.0,Offensive rebound by A. Baynes,,9-0,,
8:07.0,A. Baynes makes 2-pt shot at rim,2,11-0,,
7:55.0,Shooting block foul by A. Baynes (drawn by L. Aldridge),,11-0,,
7:55.0,,,11-1,1,L. Aldridge makes free throw 1 of 2
7:55.0,,,11-1,,P. Mills enters the game for T. Parker
7:55.0,,,11-1,,D. Bertans enters the game for P. Gasol
7:55.0,,,11-1,,B. Forbes enters the game for R. Gay
7:55.0,,,11-2,1,L. Aldridge makes free throw 2 of 2
7:35.0,J. Tatum misses 3-pt shot from 25 ft,,11-2,,
7:30.0,Offensive rebound by A. Horford,,11-2,,
7:28.0,K. Irving makes 3-pt shot from 25 ft (assist by A. Horford),3,14-2,,
7:15.0,,,14-4,2,P. Mills makes 2-pt shot from 21 ft
6:52.0,J. Tatum misses 2-pt shot from 1 ft,,14-4,,
6:50.0,Offensive rebound by A. Horford,,14-4,,
6:47.0,Turnover by A. Horford (bad pass; steal by P. Mills),,14-4,,
6:47.0,Personal foul by K. Irving (drawn by P. Mills),,14-4,,
6:47.0,M. Morris enters the game for A. Baynes,,14-4,,
6:31.0,,,14-4,,D. Green misses 3-pt shot from 24 ft
6:24.0,,,14-4,,Offensive rebound by L. Aldridge
6:24.0,,,14-6,2,L. Aldridge makes 2-pt shot at rim
6:12.0,K. Irving makes 3-pt shot from 25 ft,3,17-6,,
6:09.0,Technical foul by Team,,17-6,,
6:09.0,K. Irving makes technical free throw,1,18-6,,
5:54.0,,,18-8,2,L. Aldridge makes 2-pt shot from 10 ft
5:38.0,A. Horford misses 3-pt shot from 25 ft,,18-8,,
5:35.0,,,18-8,,Defensive rebound by D. Green
5:21.0,,,18-10,2,L. Aldridge makes 2-pt shot from 12 ft
5:01.0,J. Tatum makes 2-pt shot from 1 ft (assist by M. Morris),2,20-10,,
4:46.0,,,20-12,2,P. Mills makes 2-pt shot from 18 ft
4:34.0,K. Irving makes 3-pt shot from 25 ft,3,23-12,,
4:18.0,,,23-14,2,L. Aldridge makes 2-pt shot from 21 ft (assist by P. Mills)
4:00.0,K. Irving makes 2-pt shot from 2 ft,2,25-14,,
3:40.0,,,25-16,2,L. Aldridge makes 2-pt shot from 5 ft
3:27.0,Turnover by J. Brown (lost ball; steal by B. Forbes),,25-16,,
3:10.0,,,25-16,,L. Aldridge misses 2-pt shot from 12 ft
3:09.0,Defensive rebound by A. Horford,,25-16,,
3:09.0,Boston full timeout,,25-16,,
3:09.0,,,25-16,,M. Ginobili enters the game for D. Green
3:09.0,D. Theis enters the game for J. Brown,,25-16,,
3:09.0,M. Smart enters the game for A. Horford,,25-16,,
2:52.0,K. Irving misses 2-pt shot from 16 ft,,25-16,,
2:50.0,,,25-16,,Defensive rebound by Team
2:38.0,,,25-18,2,M. Ginobili makes 2-pt shot from 3 ft (assist by L. Aldridge)
2:24.0,M. Smart makes 2-pt shot from 19 ft (assist by M. Morris),2,27-18,,
2:13.0,Personal foul by M. Smart (drawn by P. Mills),,27-18,,
2:13.0,,,27-18,,P. Gasol enters the game for L. Aldridge
2:13.0,,,27-18,,R. Gay enters the game for D. Bertans
2:13.0,T. Rozier enters the game for K. Irving,,27-18,,
2:11.0,,,27-18,,Shooting foul by T. Rozier (drawn by P. Mills)
2:11.0,,,27-19,1,P. Mills makes free throw 1 of 2
2:11.0,,,27-20,1,P. Mills makes free throw 2 of 2
2:01.0,M. Morris misses 3-pt shot from 25 ft,,27-20,,
1:58.0,,,27-20,,Defensive rebound by P. Gasol
1:51.0,,,27-20,,M. Ginobili misses 2-pt shot from 3 ft
1:48.0,Defensive rebound by D. Theis,,27-20,,
1:45.0,S. Ojeleye enters the game for J. Tatum,,27-20,,
1:36.0,M. Morris misses 2-pt shot from 20 ft,,27-20,,
1:33.0,,,27-20,,Defensive rebound by M. Ginobili
1:27.0,,,27-20,,M. Ginobili misses 2-pt shot from 1 ft
1:22.0,,,27-20,,Offensive rebound by P. Gasol
1:22.0,,,27-22,2,P. Gasol makes 2-pt shot at rim
1:05.0,T. Rozier makes 2-pt shot from 2 ft,2,29-22,,
0:47.0,,,29-24,2,R. Gay makes 2-pt shot from 12 ft
0:29.0,T. Rozier makes 2-pt shot from 3 ft,2,31-24,,
0:10.0,Personal foul by D. Theis (drawn by P. Gasol),,31-24,,
0:10.0,,,31-25,1,P. Gasol makes free throw 1 of 2
0:10.0,,,31-25,,D. Green enters the game for P. Mills
0:10.0,K. Irving enters the game for S. Ojeleye,,31-25,,
0:10.0,,,31-26,1,P. Gasol makes free throw 2 of 2
0:01.0,T. Rozier misses 3-pt shot from 26 ft,,31-26,,
0:01.0,,,31-26,,Defensive rebound by P. Gasol
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,M. Smart misses 3-pt shot from 25 ft,,31-26,,
11:35.0,Offensive rebound by S. Ojeleye,,31-26,,
11:35.0,S. Ojeleye misses 2-pt shot at rim,,31-26,,
11:33.0,,,31-26,,Defensive rebound by T. Parker
11:28.0,,,31-26,,D. Green misses 3-pt shot from 25 ft
11:25.0,Defensive rebound by M. Morris,,31-26,,
11:20.0,D. Theis misses 2-pt shot from 2 ft (block by R. Gay),,31-26,,
11:20.0,,,31-26,,Defensive rebound by T. Parker
11:13.0,,,31-26,,M. Ginobili misses 2-pt shot from 1 ft
11:13.0,Defensive rebound by D. Theis,,31-26,,
11:08.0,D. Theis makes 2-pt shot at rim (assist by M. Morris),2,33-26,,
11:08.0,Shooting foul by P. Gasol (drawn by D. Theis),,33-26,,
11:08.0,D. Theis makes free throw 1 of 1,1,34-26,,
10:55.0,,,34-28,2,R. Gay makes 2-pt shot from 15 ft (assist by T. Parker)
10:43.0,T. Rozier makes 2-pt shot from 14 ft,2,36-28,,
10:28.0,,,36-28,,Shooting foul by D. Theis (drawn by P. Gasol)
10:28.0,,,36-29,1,P. Gasol makes free throw 1 of 2
10:28.0,,,36-30,1,P. Gasol makes free throw 2 of 2
10:17.0,T. Rozier makes 3-pt shot from 25 ft (assist by D. Theis),3,39-30,,
9:57.0,,,39-30,,Turnover by M. Ginobili (bad pass; steal by T. Rozier)
9:52.0,T. Rozier misses 3-pt shot from 24 ft,,39-30,,
9:49.0,Offensive rebound by T. Rozier,,39-30,,
9:40.0,M. Morris misses 3-pt shot from 24 ft,,39-30,,
9:40.0,,,39-30,,Defensive rebound by T. Parker
9:19.0,,,39-30,,Turnover by R. Gay (bad pass; steal by M. Smart)
9:08.0,M. Morris misses 2-pt shot from 9 ft,,39-30,,
9:06.0,,,39-30,,Defensive rebound by P. Gasol
8:48.0,,,39-32,2,T. Parker makes 2-pt shot from 1 ft
8:30.0,,,39-32,,Personal foul by M. Ginobili (drawn by T. Rozier)
8:30.0,,,39-32,,B. Forbes enters the game for M. Ginobili
8:19.0,D. Theis misses 3-pt shot from 22 ft,,39-32,,
8:19.0,Offensive rebound by M. Morris,,39-32,,
8:14.0,D. Theis misses 3-pt shot from 23 ft,,39-32,,
8:14.0,,,39-32,,Defensive rebound by R. Gay
8:03.0,,,39-32,,Turnover by R. Gay (lost ball; steal by T. Rozier)
8:01.0,T. Rozier makes 2-pt shot at rim,2,41-32,,
8:01.0,,,41-32,,San Antonio full timeout
8:01.0,,,41-32,,L. Aldridge enters the game for P. Gasol
8:01.0,,,41-32,,D. Bertans enters the game for R. Gay
7:50.0,,,41-35,3,D. Green makes 3-pt shot from 28 ft (assist by T. Parker)
7:30.0,M. Morris makes 3-pt shot from 22 ft (assist by D. Theis),3,44-35,,
7:08.0,,,44-37,2,T. Parker makes 2-pt shot from 18 ft
6:46.0,M. Smart misses 2-pt shot from 4 ft (block by D. Bertans),,44-37,,
6:43.0,Offensive rebound by S. Ojeleye,,44-37,,
6:40.0,S. Ojeleye misses 3-pt shot from 24 ft,,44-37,,
6:40.0,,,44-37,,Defensive rebound by D. Green
6:29.0,,,44-37,,T. Parker misses 2-pt shot from 1 ft
6:29.0,Defensive rebound by M. Morris,,44-37,,
6:22.0,S. Ojeleye misses 3-pt shot from 24 ft,,44-37,,
6:22.0,,,44-37,,Defensive rebound by T. Parker
6:14.0,,,44-39,2,T. Parker makes 2-pt shot from 1 ft
6:14.0,Boston full timeout,,44-39,,
6:14.0,,,44-39,,P. Mills enters the game for T. Parker
6:14.0,A. Horford enters the game for M. Morris,,44-39,,
6:14.0,K. Irving enters the game for D. Theis,,44-39,,
6:14.0,J. Tatum enters the game for M. Smart,,44-39,,
6:14.0,J. Brown enters the game for S. Ojeleye,,44-39,,
5:50.0,A. Horford misses 2-pt shot from 13 ft,,44-39,,
5:47.0,,,44-39,,Defensive rebound by L. Aldridge
5:43.0,,,44-39,,D. Bertans misses 3-pt shot from 25 ft
5:43.0,Defensive rebound by T. Rozier,,44-39,,
5:21.0,J. Tatum makes 3-pt shot from 24 ft (assist by A. Horford),3,47-39,,
5:00.0,,,47-42,3,D. Green makes 3-pt shot from 22 ft (assist by B. Forbes)
4:46.0,Turnover by K. Irving (out of bounds lost ball),,47-42,,
4:31.0,Personal foul by A. Horford (drawn by L. Aldridge),,47-42,,
4:23.0,,,47-42,,Turnover by D. Green (bad pass)
4:10.0,J. Tatum misses 2-pt shot from 6 ft (block by D. Green),,47-42,,
4:10.0,,,47-42,,Defensive rebound by Team
3:55.0,,,47-42,,D. Green misses 3-pt shot from 25 ft
3:53.0,Defensive rebound by J. Tatum,,47-42,,
3:47.0,,,47-42,,Personal block foul by L. Aldridge (drawn by K. Irving)
3:37.0,J. Brown misses 3-pt shot from 23 ft,,47-42,,
3:34.0,,,47-42,,Defensive rebound by P. Mills
3:22.0,,,47-42,,P. Mills misses 3-pt shot from 25 ft
3:18.0,,,47-42,,Offensive rebound by P. Mills
3:17.0,,,47-42,,Turnover by P. Mills (lost ball; steal by K. Irving)
3:14.0,K. Irving makes 2-pt shot from 1 ft,2,49-42,,
3:02.0,,,49-42,,Turnover by P. Mills (bad pass; steal by T. Rozier)
2:52.0,J. Brown misses 2-pt shot from 11 ft,,49-42,,
2:50.0,,,49-42,,Defensive rebound by L. Aldridge
2:42.0,,,49-42,,D. Bertans misses 3-pt shot from 27 ft
2:42.0,,,49-42,,Offensive rebound by L. Aldridge
2:32.0,,,49-42,,D. Green misses 2-pt shot from 4 ft
2:32.0,,,49-42,,Offensive rebound by L. Aldridge
2:24.0,,,49-42,,L. Aldridge misses 2-pt shot at rim
2:21.0,,,49-42,,Offensive rebound by L. Aldridge
2:21.0,,,49-44,2,L. Aldridge makes 2-pt shot at rim
2:16.0,Shooting foul by D. Green (drawn by K. Irving),,49-44,,
2:16.0,K. Irving makes free throw 1 of 2,1,50-44,,
2:16.0,,,50-44,,M. Ginobili enters the game for D. Green
2:16.0,M. Morris enters the game for T. Rozier,,50-44,,
2:16.0,M. Smart enters the game for J. Brown,,50-44,,
2:16.0,K. Irving makes free throw 2 of 2,1,51-44,,
2:03.0,,,51-44,,Shooting foul by A. Horford (drawn by L. Aldridge)
2:03.0,,,51-45,1,L. Aldridge makes free throw 1 of 2
2:03.0,,,51-45,,B. Paul enters the game for P. Mills
2:03.0,,,51-46,1,L. Aldridge makes free throw 2 of 2
1:48.0,Shooting foul by D. Bertans (drawn by J. Tatum),,51-46,,
1:48.0,J. Tatum makes free throw 1 of 2,1,52-46,,
1:48.0,J. Tatum makes free throw 2 of 2,1,53-46,,
1:32.0,,,53-48,2,D. Bertans makes 2-pt shot from 2 ft (assist by M. Ginobili)
1:14.0,J. Tatum misses 3-pt shot from 22 ft,,53-48,,
1:10.0,,,53-48,,Defensive rebound by D. Bertans
0:57.0,,,53-51,3,L. Aldridge makes 3-pt shot from 25 ft (assist by M. Ginobili)
0:42.0,Turnover by M. Smart (traveling),,53-51,,
0:42.0,,,53-51,,P. Mills enters the game for B. Forbes
0:38.0,Personal foul by M. Smart (drawn by M. Ginobili),,53-51,,
0:28.0,,,53-51,,D. Bertans misses 3-pt shot from 26 ft
0:26.0,Defensive rebound by J. Tatum,,53-51,,
0:13.0,,,53-51,,Personal foul by B. Paul (drawn by J. Tatum)
0:13.0,J. Tatum makes free throw 1 of 2,1,54-51,,
0:13.0,,,54-51,,B. Forbes enters the game for B. Paul
0:13.0,S. Ojeleye enters the game for K. Irving,,54-51,,
0:13.0,J. Brown enters the game for M. Morris,,54-51,,
0:13.0,J. Tatum makes free throw 2 of 2,1,55-51,,
0:05.0,Personal foul by J. Brown (drawn by P. Mills),,55-51,,
0:05.0,,,55-52,1,P. Mills makes free throw 1 of 2
0:05.0,,,55-52,,D. Murray enters the game for D. Bertans
0:05.0,K. Irving enters the game for J. Tatum,,55-52,,
0:05.0,T. Rozier enters the game for S. Ojeleye,,55-52,,
0:05.0,A. Baynes enters the game for J. Brown,,55-52,,
0:05.0,,,55-53,1,P. Mills makes free throw 2 of 2
0:04.0,Turnover by A. Horford (bad pass),,55-53,,
0:00.0,,,55-56,3,M. Ginobili makes 3-pt shot from 26 ft (assist by P. Mills)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,K. Irving misses 2-pt shot at rim,,55-56,,
11:38.0,,,55-56,,Defensive rebound by P. Gasol
11:21.0,,,55-59,3,B. Forbes makes 3-pt shot from 22 ft (assist by T. Parker)
11:00.0,J. Tatum makes 2-pt shot from 19 ft,2,57-59,,
10:44.0,,,57-61,2,L. Aldridge makes 2-pt shot from 18 ft (assist by T. Parker)
10:22.0,J. Brown makes 2-pt shot from 10 ft,2,59-61,,
10:08.0,,,59-61,,P. Gasol misses 3-pt shot from 22 ft
10:04.0,Defensive rebound by A. Horford,,59-61,,
9:43.0,Shooting foul by L. Aldridge (drawn by A. Baynes),,59-61,,
9:43.0,A. Baynes makes free throw 1 of 2,1,60-61,,
9:43.0,A. Baynes makes free throw 2 of 2,1,61-61,,
9:21.0,,,61-63,2,T. Parker makes 2-pt shot from 20 ft
9:12.0,K. Irving makes 2-pt shot from 20 ft,2,63-63,,
8:57.0,,,63-65,2,T. Parker makes 2-pt shot from 1 ft
8:47.0,,,63-65,,Personal foul by B. Forbes (drawn by K. Irving)
8:42.0,K. Irving misses 2-pt shot from 18 ft,,63-65,,
8:37.0,,,63-65,,Defensive rebound by P. Gasol
8:33.0,,,63-65,,T. Parker misses 2-pt shot from 17 ft
8:31.0,Defensive rebound by A. Baynes,,63-65,,
8:24.0,Turnover by A. Baynes (traveling),,63-65,,
8:06.0,,,63-67,2,L. Aldridge makes 2-pt shot from 9 ft
7:56.0,Turnover by A. Baynes (bad pass),,63-67,,
7:43.0,,,63-67,,L. Aldridge misses 2-pt shot from 10 ft
7:41.0,Defensive rebound by A. Horford,,63-67,,
7:38.0,J. Brown makes 2-pt shot from 1 ft (assist by A. Horford),2,65-67,,
7:24.0,,,65-67,,Turnover by T. Parker (traveling)
7:09.0,Shooting foul by L. Aldridge (drawn by J. Brown),,65-67,,
7:09.0,J. Brown misses free throw 1 of 2,,65-67,,
7:09.0,Offensive rebound by Team,,65-67,,
7:09.0,,,65-67,,P. Mills enters the game for B. Forbes
7:09.0,,,65-67,,M. Ginobili enters the game for T. Parker
7:09.0,J. Brown misses free throw 2 of 2,,65-67,,
7:05.0,,,65-67,,Defensive rebound by P. Gasol
6:55.0,,,65-67,,L. Aldridge misses 2-pt shot from 16 ft
6:51.0,Defensive rebound by J. Brown,,65-67,,
6:42.0,J. Brown misses 3-pt shot from 25 ft,,65-67,,
6:36.0,Offensive rebound by K. Irving,,65-67,,
6:36.0,K. Irving makes 2-pt shot at rim,2,67-67,,
6:27.0,,,67-69,2,P. Gasol makes 2-pt shot from 18 ft (assist by R. Gay)
6:14.0,Boston full timeout,,67-69,,
6:04.0,A. Horford misses 3-pt shot from 22 ft,,67-69,,
6:01.0,,,67-69,,Defensive rebound by M. Ginobili
5:49.0,,,67-71,2,R. Gay makes 2-pt shot from 11 ft
5:25.0,M. Smart enters the game for A. Baynes,,67-71,,
5:20.0,A. Horford misses 2-pt shot from 14 ft,,67-71,,
5:18.0,,,67-71,,Defensive rebound by P. Gasol
5:09.0,,,67-71,,R. Gay misses 2-pt shot from 1 ft
5:05.0,,,67-71,,Offensive rebound by R. Gay
5:05.0,,,67-73,2,R. Gay makes 2-pt shot at rim
4:50.0,J. Brown makes 2-pt shot at rim (assist by M. Smart),2,69-73,,
4:35.0,,,69-73,,M. Ginobili misses 3-pt shot from 25 ft
4:31.0,Defensive rebound by A. Horford,,69-73,,
4:29.0,,,69-73,,Personal foul by P. Mills (drawn by M. Smart)
4:29.0,M. Morris enters the game for J. Tatum,,69-73,,
4:27.0,Offensive foul by M. Smart (drawn by M. Ginobili),,69-73,,
4:27.0,Turnover by M. Smart (offensive foul),,69-73,,
4:27.0,,,69-73,,D. Bertans enters the game for P. Gasol
4:15.0,,,69-73,,L. Aldridge misses 2-pt shot from 16 ft
4:11.0,Defensive rebound by J. Brown,,69-73,,
4:02.0,A. Horford makes 2-pt shot from 8 ft,2,71-73,,
4:02.0,,,71-73,,San Antonio full timeout
3:40.0,,,71-73,,D. Bertans misses 3-pt shot from 25 ft
3:38.0,,,71-73,,Offensive rebound by Team
3:20.0,,,71-73,,D. Bertans misses 3-pt shot from 25 ft
3:17.0,Defensive rebound by M. Morris,,71-73,,
3:03.0,M. Smart misses 3-pt shot from 25 ft,,71-73,,
3:01.0,Offensive rebound by Team,,71-73,,
2:57.0,K. Irving makes 3-pt shot from 25 ft,3,74-73,,
2:39.0,,,74-73,,Turnover by R. Gay (bad pass; steal by M. Smart)
2:33.0,J. Brown makes 2-pt shot at rim (assist by M. Smart),2,76-73,,
2:10.0,,,76-73,,M. Ginobili misses 3-pt shot from 24 ft
2:09.0,,,76-73,,Offensive rebound by L. Aldridge
2:02.0,Personal foul by A. Horford (drawn by L. Aldridge),,76-73,,
2:02.0,,,76-73,,P. Gasol enters the game for L. Aldridge
2:02.0,,,76-73,,B. Forbes enters the game for R. Gay
2:02.0,A. Baynes enters the game for K. Irving,,76-73,,
2:02.0,T. Rozier enters the game for A. Horford,,76-73,,
1:56.0,,,76-73,,P. Mills misses 2-pt shot from 21 ft
1:56.0,Defensive rebound by T. Rozier,,76-73,,
1:41.0,M. Smart misses 2-pt shot from 13 ft,,76-73,,
1:39.0,Offensive rebound by A. Baynes,,76-73,,
1:37.0,M. Morris misses 3-pt shot from 25 ft,,76-73,,
1:37.0,Offensive rebound by J. Brown,,76-73,,
1:30.0,J. Brown makes 2-pt shot at rim,2,78-73,,
1:19.0,,,78-75,2,P. Gasol makes 2-pt shot from 16 ft (assist by P. Mills)
0:56.0,M. Morris makes 2-pt shot from 11 ft,2,80-75,,
0:42.0,,,80-75,,D. Bertans misses 2-pt shot from 20 ft
0:42.0,Defensive rebound by J. Brown,,80-75,,
0:30.0,A. Baynes misses 2-pt shot from 9 ft,,80-75,,
0:28.0,,,80-75,,Defensive rebound by P. Gasol
0:23.0,,,80-77,2,P. Gasol makes 2-pt shot from 2 ft (assist by P. Mills)
0:17.0,Boston full timeout,,80-77,,
0:17.0,,,80-77,,L. Aldridge enters the game for P. Gasol
0:17.0,A. Horford enters the game for A. Baynes,,80-77,,
0:03.0,,,80-77,,Personal foul by L. Aldridge (drawn by T. Rozier)
0:03.0,T. Rozier makes free throw 1 of 2,1,81-77,,
0:03.0,D. Theis enters the game for M. Morris,,81-77,,
0:03.0,T. Rozier makes free throw 2 of 2,1,82-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,Personal foul by D. Theis (drawn by D. Bertans),,82-77,,
11:33.0,,,82-80,3,D. Bertans makes 3-pt shot from 25 ft (assist by M. Ginobili)
11:17.0,M. Morris misses 3-pt shot from 24 ft,,82-80,,
11:17.0,,,82-80,,Defensive rebound by M. Ginobili
11:12.0,,,82-80,,Shooting foul by M. Smart (drawn by M. Ginobili)
11:12.0,,,82-81,1,M. Ginobili makes free throw 1 of 2
11:12.0,,,82-81,,T. Parker enters the game for P. Mills
11:12.0,,,82-82,1,M. Ginobili makes free throw 2 of 2
10:57.0,T. Rozier misses 3-pt shot from 26 ft,,82-82,,
10:52.0,Offensive rebound by T. Rozier,,82-82,,
10:50.0,Turnover by T. Rozier (bad pass; steal by P. Gasol),,82-82,,
10:41.0,,,82-82,,Turnover by B. Forbes (bad pass; steal by T. Rozier)
10:37.0,T. Rozier misses 3-pt shot from 26 ft,,82-82,,
10:32.0,,,82-82,,Defensive rebound by D. Bertans
10:12.0,,,82-82,,D. Bertans misses 3-pt shot from 28 ft
10:10.0,Defensive rebound by J. Tatum,,82-82,,
10:08.0,Offensive foul by M. Morris (drawn by D. Bertans),,82-82,,
10:08.0,Turnover by M. Morris (offensive foul),,82-82,,
10:06.0,,,82-82,,Shooting foul by D. Theis (drawn by D. Bertans)
10:06.0,,,82-83,1,D. Bertans makes free throw 2 of 2
10:06.0,,,82-84,1,D. Bertans makes free throw 1 of 2
10:06.0,,,82-84,,B. Paul enters the game for M. Ginobili
10:06.0,K. Irving enters the game for M. Morris,,82-84,,
10:06.0,A. Horford enters the game for D. Theis,,82-84,,
9:47.0,J. Tatum makes 2-pt shot from 1 ft,2,84-84,,
9:27.0,,,84-84,,Shooting foul by M. Smart (drawn by T. Parker)
9:27.0,,,84-84,,T. Parker misses free throw 1 of 2
9:27.0,,,84-84,,Offensive rebound by Team
9:27.0,,,84-85,1,T. Parker makes free throw 2 of 2
9:15.0,Turnover by M. Smart (bad pass; steal by D. Bertans),,84-85,,
9:03.0,,,84-85,,Turnover by T. Parker (bad pass)
9:03.0,,,84-85,,R. Gay enters the game for D. Bertans
8:50.0,T. Rozier misses 2-pt shot from 1 ft,,84-85,,
8:48.0,,,84-85,,Defensive rebound by R. Gay
8:39.0,,,84-85,,B. Forbes misses 3-pt shot from 23 ft
8:35.0,,,84-85,,Offensive rebound by P. Gasol
8:25.0,,,84-85,,T. Parker misses 2-pt shot from 16 ft
8:23.0,Defensive rebound by J. Tatum,,84-85,,
8:08.0,T. Rozier misses 3-pt shot from 27 ft,,84-85,,
8:04.0,,,84-85,,Defensive rebound by T. Parker
8:02.0,,,84-85,,Shooting foul by K. Irving (drawn by R. Gay)
8:02.0,,,84-85,,R. Gay misses free throw 1 of 2
8:02.0,,,84-85,,Offensive rebound by Team
8:02.0,M. Morris enters the game for M. Smart,,84-85,,
8:02.0,,,84-86,1,R. Gay makes free throw 2 of 2
7:41.0,M. Morris misses 3-pt shot from 25 ft,,84-86,,
7:39.0,,,84-86,,Defensive rebound by P. Gasol
7:29.0,,,84-88,2,P. Gasol makes 2-pt shot from 2 ft (assist by B. Paul)
7:10.0,K. Irving makes 2-pt shot from 1 ft,2,86-88,,
7:10.0,Shooting foul by R. Gay (drawn by K. Irving),,86-88,,
7:10.0,K. Irving makes free throw 1 of 1,1,87-88,,
6:51.0,,,87-90,2,R. Gay makes 2-pt shot from 14 ft
6:31.0,K. Irving makes 2-pt shot from 3 ft,2,89-90,,
6:30.0,,,89-90,,San Antonio full timeout
6:30.0,,,89-90,,M. Ginobili enters the game for B. Paul
6:30.0,,,89-90,,L. Aldridge enters the game for T. Parker
6:30.0,,,89-90,,P. Mills enters the game for P. Gasol
6:07.0,,,89-93,3,B. Forbes makes 3-pt shot from 24 ft (assist by R. Gay)
5:44.0,Shooting foul by M. Ginobili (drawn by J. Tatum),,89-93,,
5:44.0,J. Tatum makes free throw 1 of 2,1,90-93,,
5:44.0,J. Brown enters the game for T. Rozier,,90-93,,
5:44.0,J. Tatum makes free throw 2 of 2,1,91-93,,
5:26.0,,,91-95,2,L. Aldridge makes 2-pt shot from 16 ft
5:11.0,K. Irving misses 2-pt shot from 18 ft,,91-95,,
5:09.0,,,91-95,,Defensive rebound by R. Gay
4:58.0,,,91-95,,Turnover by R. Gay (lost ball; steal by J. Tatum)
4:49.0,J. Brown makes 3-pt shot from 25 ft (assist by K. Irving),3,94-95,,
4:30.0,,,94-95,,P. Mills misses 3-pt shot from 26 ft
4:30.0,Defensive rebound by A. Horford,,94-95,,
4:30.0,Turnover by A. Horford (step out of bounds),,94-95,,
4:17.0,,,94-95,,L. Aldridge misses 2-pt shot from 12 ft
4:15.0,Defensive rebound by J. Tatum,,94-95,,
4:03.0,A. Horford misses 3-pt shot from 23 ft,,94-95,,
4:03.0,,,94-95,,Defensive rebound by B. Forbes
3:59.0,,,94-95,,Shooting foul by M. Morris (drawn by R. Gay)
3:59.0,,,94-96,1,R. Gay makes free throw 1 of 2
3:59.0,M. Smart enters the game for M. Morris,,94-96,,
3:59.0,,,94-97,1,R. Gay makes free throw 2 of 2
3:42.0,Turnover by J. Brown (lost ball; steal by B. Forbes),,94-97,,
3:19.0,,,94-97,,P. Mills misses 3-pt shot from 25 ft
3:16.0,Defensive rebound by M. Smart,,94-97,,
3:06.0,M. Smart makes 2-pt shot from 1 ft (assist by J. Brown),2,96-97,,
2:52.0,Personal foul by M. Smart (drawn by M. Ginobili),,96-97,,
2:52.0,Boston full timeout,,96-97,,
2:52.0,T. Rozier enters the game for M. Smart,,96-97,,
2:52.0,,,96-97,,M. Ginobili misses free throw 1 of 2
2:52.0,,,96-97,,Offensive rebound by Team
2:52.0,,,96-98,1,M. Ginobili makes free throw 2 of 2
2:37.0,J. Tatum makes 3-pt shot from 23 ft (assist by T. Rozier),3,99-98,,
2:13.0,,,99-98,,L. Aldridge misses 2-pt shot from 12 ft
2:08.0,,,99-98,,Offensive rebound by R. Gay
2:06.0,,,99-98,,R. Gay misses 2-pt shot at rim
2:03.0,,,99-98,,Offensive rebound by R. Gay
2:03.0,,,99-100,2,R. Gay makes 2-pt shot at rim
