time,Boston,pts.away,score,pts.home,Minnesota
6:48.0,Shooting foul by N. Bjelica (drawn by J. Brown),,66-59,,
6:48.0,,,66-59,,Minnesota full timeout
6:48.0,J. Brown makes free throw 1 of 2,1,67-59,,
6:48.0,J. Brown makes free throw 2 of 2,1,68-59,,
6:27.0,,,68-59,,K. Towns misses 2-pt shot from 9 ft
6:25.0,Defensive rebound by A. Horford,,68-59,,
6:21.0,K. Irving makes 2-pt shot from 15 ft,2,70-59,,
6:12.0,,,70-59,,J. Teague misses 2-pt shot from 6 ft
6:12.0,Defensive rebound by A. Horford,,70-59,,
6:03.0,J. Brown misses 2-pt shot from 6 ft,,70-59,,
6:01.0,Offensive rebound by J. Brown,,70-59,,
6:00.0,J. Brown misses 2-pt shot from 12 ft,,70-59,,
5:57.0,,,70-59,,Defensive rebound by K. Towns
5:49.0,,,70-61,2,A. Wiggins makes 2-pt shot from 6 ft
5:38.0,K. Irving misses 3-pt shot from 29 ft,,70-61,,
5:35.0,,,70-61,,Defensive rebound by A. Wiggins
5:18.0,,,70-61,,T. Gibson misses 2-pt shot from 20 ft
5:14.0,,,70-61,,Offensive rebound by K. Towns
5:13.0,,,70-63,2,N. Bjelica makes 2-pt shot from 2 ft (assist by K. Towns)
5:00.0,A. Horford misses 2-pt shot from 7 ft,,70-63,,
4:57.0,Offensive rebound by K. Irving,,70-63,,
4:51.0,J. Brown makes 3-pt shot from 22 ft (assist by M. Smart),3,73-63,,
4:25.0,,,73-63,,A. Wiggins misses 3-pt shot from 24 ft
4:23.0,,,73-63,,Offensive rebound by N. Bjelica
4:21.0,,,73-63,,N. Bjelica misses 2-pt shot from 1 ft (block by K. Irving)
4:18.0,Defensive rebound by K. Irving,,73-63,,
4:15.0,M. Morris makes 3-pt shot from 25 ft (assist by K. Irving),3,76-63,,
3:48.0,,,76-63,,J. Teague misses 3-pt shot from 27 ft
3:47.0,Defensive rebound by K. Irving,,76-63,,
3:41.0,,,76-63,,Personal foul by A. Wiggins (drawn by A. Horford)
3:41.0,,,76-63,,J. Crawford enters the game for N. Bjelica
3:41.0,,,76-63,,G. Dieng enters the game for T. Gibson
3:36.0,M. Morris misses 3-pt shot from 25 ft,,76-63,,
3:32.0,,,76-63,,Defensive rebound by K. Towns
3:23.0,,,76-66,3,J. Teague makes 3-pt shot from 24 ft (assist by K. Towns)
3:04.0,K. Irving makes 2-pt shot from 14 ft,2,78-66,,
2:53.0,,,78-66,,Offensive foul by G. Dieng (drawn by M. Smart)
2:53.0,,,78-66,,Turnover by G. Dieng (offensive foul)
2:53.0,Boston full timeout,,78-66,,
2:53.0,,,78-66,,T. Jones enters the game for J. Teague
2:53.0,T. Rozier enters the game for K. Irving,,78-66,,
2:41.0,Turnover by M. Smart (bad pass; steal by A. Wiggins),,78-66,,
2:31.0,,,78-66,,A. Wiggins misses 2-pt shot from 13 ft
2:27.0,,,78-66,,Offensive rebound by A. Wiggins
2:24.0,,,78-69,3,T. Jones makes 3-pt shot from 24 ft (assist by J. Crawford)
2:08.0,M. Smart misses 2-pt shot from 10 ft,,78-69,,
2:07.0,Offensive rebound by Team,,78-69,,
2:07.0,,,78-69,,Loose ball foul by T. Jones (drawn by A. Horford)
1:59.0,A. Horford makes 2-pt shot from 3 ft (assist by M. Smart),2,80-69,,
1:36.0,,,80-69,,K. Towns misses 2-pt shot from 6 ft
1:32.0,Defensive rebound by J. Brown,,80-69,,
1:31.0,J. Brown makes 2-pt shot from 2 ft,2,82-69,,
1:31.0,Shooting foul by A. Wiggins (drawn by J. Brown),,82-69,,
1:31.0,J. Tatum enters the game for J. Brown,,82-69,,
1:31.0,A. Horford makes free throw 1 of 1,1,83-69,,
1:15.0,,,83-69,,A. Wiggins misses 3-pt shot from 25 ft
1:12.0,,,83-69,,Offensive rebound by G. Dieng
1:11.0,,,83-69,,T. Jones misses 3-pt shot from 22 ft
1:07.0,Defensive rebound by A. Horford,,83-69,,
1:06.0,T. Rozier makes 2-pt shot from 1 ft,2,85-69,,
1:06.0,Shooting foul by G. Dieng (drawn by T. Rozier),,85-69,,
1:06.0,,,85-69,,N. Bjelica enters the game for A. Wiggins
1:06.0,D. Theis enters the game for A. Horford,,85-69,,
1:06.0,T. Rozier makes free throw 1 of 1,1,86-69,,
0:57.0,,,86-72,3,J. Crawford makes 3-pt shot from 24 ft (assist by K. Towns)
0:36.0,Offensive foul by D. Theis (drawn by N. Bjelica),,86-72,,
0:36.0,Turnover by D. Theis (offensive foul),,86-72,,
0:28.0,,,86-74,2,T. Jones makes 2-pt shot from 3 ft
0:10.0,M. Morris misses 2-pt shot from 18 ft,,86-74,,
0:08.0,,,86-74,,Defensive rebound by K. Towns
0:00.0,,,86-74,,J. Crawford misses 2-pt shot from 1 ft
0:00.0,Defensive rebound by J. Tatum,,86-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,86-76,2,T. Gibson makes 2-pt shot from 12 ft
11:19.0,T. Rozier misses 3-pt shot from 26 ft,,86-76,,
11:17.0,,,86-76,,Defensive rebound by G. Dieng
11:06.0,Personal foul by J. Tatum (drawn by G. Dieng),,86-76,,
10:58.0,,,86-78,2,J. Crawford makes 2-pt shot from 20 ft
10:34.0,Turnover by J. Tatum (step out of bounds),,86-78,,
10:20.0,Personal foul by T. Rozier (drawn by T. Gibson),,86-78,,
10:07.0,,,86-78,,N. Bjelica misses 3-pt shot from 23 ft
10:04.0,Defensive rebound by T. Rozier,,86-78,,
10:00.0,J. Tatum misses 3-pt shot from 24 ft,,86-78,,
9:58.0,Offensive rebound by M. Smart,,86-78,,
9:58.0,Shooting foul by G. Dieng (drawn by M. Smart),,86-78,,
9:58.0,M. Smart misses free throw 1 of 2,,86-78,,
9:58.0,Offensive rebound by Team,,86-78,,
9:58.0,M. Smart makes free throw 2 of 2,1,87-78,,
9:45.0,,,87-80,2,J. Crawford makes 2-pt shot from 18 ft (assist by T. Gibson)
9:31.0,Shooting foul by J. Crawford (drawn by M. Smart),,87-80,,
9:31.0,M. Smart misses free throw 1 of 2,,87-80,,
9:31.0,Offensive rebound by Team,,87-80,,
9:31.0,G. Monroe enters the game for M. Morris,,87-80,,
9:31.0,M. Smart makes free throw 2 of 2,1,88-80,,
9:12.0,,,88-82,2,T. Gibson makes 2-pt shot from 3 ft (assist by J. Crawford)
9:12.0,,,88-82,,Shooting foul by G. Monroe (drawn by T. Gibson)
9:12.0,,,88-83,1,T. Gibson makes free throw 1 of 1
8:59.0,G. Monroe makes 2-pt shot at rim (assist by D. Theis),2,90-83,,
8:46.0,Personal foul by J. Tatum (drawn by N. Bjelica),,90-83,,
8:46.0,,,90-83,,A. Wiggins enters the game for G. Dieng
8:37.0,,,90-83,,J. Crawford misses 3-pt shot from 25 ft
8:35.0,Defensive rebound by J. Tatum,,90-83,,
8:17.0,T. Rozier makes 3-pt shot from 26 ft (assist by G. Monroe),3,93-83,,
7:51.0,,,93-85,2,A. Wiggins makes 2-pt shot from 6 ft (assist by T. Jones)
7:35.0,T. Rozier misses 2-pt shot from 2 ft (block by J. Crawford),,93-85,,
7:32.0,,,93-85,,Defensive rebound by N. Bjelica
7:27.0,,,93-85,,J. Crawford misses 3-pt shot from 22 ft
7:25.0,Defensive rebound by J. Tatum,,93-85,,
7:22.0,Shooting foul by N. Bjelica (drawn by J. Tatum),,93-85,,
7:22.0,J. Tatum misses free throw 1 of 2,,93-85,,
7:22.0,Offensive rebound by Team,,93-85,,
7:22.0,,,93-85,,J. Teague enters the game for T. Jones
7:22.0,,,93-85,,K. Towns enters the game for T. Gibson
7:22.0,J. Tatum makes free throw 2 of 2,1,94-85,,
7:04.0,,,94-85,,J. Crawford misses 3-pt shot from 22 ft
7:02.0,Defensive rebound by D. Theis,,94-85,,
6:54.0,Shooting foul by A. Wiggins (drawn by D. Theis),,94-85,,
6:54.0,,,94-85,,Minnesota full timeout
6:54.0,K. Irving enters the game for J. Tatum,,94-85,,
6:54.0,S. Ojeleye enters the game for M. Smart,,94-85,,
6:54.0,D. Theis misses free throw 1 of 2,,94-85,,
6:54.0,Offensive rebound by Team,,94-85,,
6:54.0,D. Theis makes free throw 2 of 2,1,95-85,,
6:42.0,,,95-85,,Shooting foul by D. Theis (drawn by K. Towns)
6:42.0,,,95-85,,K. Towns misses free throw 1 of 2
6:42.0,,,95-85,,Offensive rebound by Team
6:42.0,M. Morris enters the game for D. Theis,,95-85,,
6:42.0,A. Horford enters the game for G. Monroe,,95-85,,
6:42.0,,,95-86,1,K. Towns makes free throw 2 of 2
6:29.0,T. Rozier misses 3-pt shot from 24 ft,,95-86,,
6:27.0,,,95-86,,Defensive rebound by N. Bjelica
6:10.0,,,95-86,,Shooting foul by S. Ojeleye (drawn by K. Towns)
6:10.0,,,95-87,1,K. Towns makes free throw 1 of 2
6:10.0,,,95-88,1,K. Towns makes free throw 2 of 2
5:57.0,K. Irving makes 2-pt shot from 13 ft,2,97-88,,
5:44.0,,,97-90,2,J. Crawford makes 2-pt shot at rim (assist by A. Wiggins)
