time,Charlotte,pts.away,score,pts.home,Minnesota
8:31.0,Shooting block foul by T. Graham (drawn by G. Dieng),,34-36,,
8:31.0,,,34-37,1,G. Dieng makes free throw 1 of 2
8:31.0,K. Walker enters the game for T. Graham,,34-37,,
8:31.0,,,34-37,,J. Teague enters the game for T. Jones
8:31.0,,,34-38,1,G. Dieng makes free throw 2 of 2
8:17.0,F. Kaminsky misses 3-pt shot from 25 ft,,34-38,,
8:13.0,,,34-38,,Defensive rebound by N. Bjelica
8:11.0,,,34-38,,S. Muhammad misses 2-pt shot from 5 ft
8:11.0,,,34-38,,Offensive rebound by G. Dieng
8:08.0,,,34-38,,Shooting foul by K. Walker (drawn by G. Dieng)
8:08.0,,,34-39,1,G. Dieng makes free throw 1 of 2
8:08.0,,,34-40,1,G. Dieng makes free throw 2 of 2
7:56.0,M. Monk makes 2-pt shot from 11 ft (assist by K. Walker),2,36-40,,
7:42.0,,,36-40,,J. Crawford misses 3-pt shot from 26 ft
7:39.0,Defensive rebound by K. Walker,,36-40,,
7:31.0,F. Kaminsky makes 2-pt shot from 2 ft (assist by K. Walker),2,38-40,,
7:16.0,,,38-40,,K. Towns enters the game for G. Dieng
7:16.0,,,38-40,,J. Butler enters the game for S. Muhammad
7:16.0,D. Howard enters the game for C. Zeller,,38-40,,
7:07.0,,,38-42,2,J. Crawford makes 2-pt shot from 21 ft
6:46.0,Shooting foul by J. Butler (drawn by J. Lamb),,38-42,,
6:46.0,,,38-42,,Minnesota full timeout
6:46.0,,,38-42,,T. Gibson enters the game for N. Bjelica
6:46.0,J. Lamb misses free throw 1 of 2,,38-42,,
6:46.0,Offensive rebound by Team,,38-42,,
6:46.0,J. Lamb makes free throw 2 of 2,1,39-42,,
6:33.0,,,39-42,,Turnover by J. Crawford (bad pass; steal by K. Walker)
6:27.0,Turnover by J. Lamb (bad pass; steal by J. Crawford),,39-42,,
6:14.0,,,39-42,,J. Crawford misses 3-pt shot from 22 ft
6:10.0,Defensive rebound by M. Monk,,39-42,,
6:02.0,D. Howard makes 2-pt shot at rim (assist by M. Monk),2,41-42,,
5:48.0,Personal foul by J. Lamb (drawn by J. Butler),,41-42,,
5:48.0,,,41-43,1,J. Butler makes free throw 1 of 2
5:48.0,,,41-43,,A. Wiggins enters the game for J. Crawford
5:48.0,M. Williams enters the game for J. Lamb,,41-43,,
5:48.0,,,41-44,1,J. Butler makes free throw 2 of 2
5:30.0,M. Monk misses 3-pt shot from 26 ft,,41-44,,
5:27.0,,,41-44,,Defensive rebound by J. Butler
5:17.0,,,41-44,,Shooting foul by M. Monk (drawn by A. Wiggins)
5:17.0,,,41-45,1,A. Wiggins makes free throw 1 of 2
5:17.0,D. Bacon enters the game for M. Monk,,41-45,,
5:17.0,,,41-45,,A. Wiggins misses free throw 2 of 2
5:14.0,Defensive rebound by D. Howard,,41-45,,
5:03.0,Turnover by D. Howard (turnover),,41-45,,
4:52.0,,,41-45,,K. Towns misses 2-pt shot from 3 ft (block by D. Howard)
4:50.0,Defensive rebound by M. Williams,,41-45,,
4:48.0,M. Williams misses 3-pt shot from 25 ft,,41-45,,
4:46.0,,,41-45,,Defensive rebound by T. Gibson
4:38.0,,,41-48,3,J. Teague makes 3-pt shot from 25 ft
4:20.0,K. Walker makes 2-pt shot from 1 ft,2,43-48,,
4:13.0,,,43-51,3,J. Teague makes 3-pt shot from 24 ft
4:00.0,K. Walker misses 3-pt shot from 26 ft,,43-51,,
3:55.0,,,43-51,,Defensive rebound by A. Wiggins
3:42.0,,,43-54,3,J. Butler makes 3-pt shot from 24 ft (assist by J. Teague)
3:35.0,Charlotte full timeout,,43-54,,
3:23.0,Shooting foul by T. Gibson (drawn by F. Kaminsky),,43-54,,
3:23.0,F. Kaminsky makes free throw 1 of 2,1,44-54,,
3:23.0,M. Carter-Williams enters the game for D. Bacon,,44-54,,
3:23.0,F. Kaminsky misses free throw 2 of 2,,44-54,,
3:21.0,,,44-54,,Defensive rebound by T. Gibson
3:10.0,,,44-56,2,K. Towns makes 2-pt shot from 1 ft (assist by J. Teague)
3:04.0,,,44-56,,Personal foul by K. Towns (drawn by D. Howard)
3:04.0,D. Howard makes free throw 1 of 2,1,45-56,,
3:04.0,D. Howard misses free throw 2 of 2,,45-56,,
3:02.0,,,45-56,,Defensive rebound by K. Towns
2:53.0,,,45-58,2,A. Wiggins makes 2-pt shot from 20 ft (assist by K. Towns)
2:31.0,F. Kaminsky misses 2-pt shot from 3 ft (block by K. Towns),,45-58,,
2:31.0,,,45-58,,Defensive rebound by K. Towns
2:26.0,,,45-61,3,J. Teague makes 3-pt shot from 25 ft
2:07.0,Offensive foul by D. Howard (drawn by K. Towns),,45-61,,
2:07.0,Turnover by D. Howard (offensive foul),,45-61,,
1:50.0,,,45-61,,T. Gibson misses 2-pt shot from 6 ft
1:48.0,,,45-61,,Offensive rebound by T. Gibson
1:47.0,,,45-61,,T. Gibson misses 2-pt shot from 1 ft
1:47.0,,,45-61,,Offensive rebound by K. Towns
1:43.0,,,45-63,2,K. Towns makes 2-pt shot from 1 ft
1:21.0,D. Howard makes 2-pt shot from 1 ft,2,47-63,,
1:15.0,Technical foul by D. Howard,,47-63,,
1:15.0,,,47-64,1,J. Butler makes technical free throw
1:07.0,,,47-64,,J. Teague misses 3-pt shot from 24 ft
1:06.0,Defensive rebound by Team,,47-64,,
1:06.0,,,47-64,,Loose ball foul by K. Towns (drawn by M. Carter-Williams)
1:06.0,M. Carter-Williams misses free throw 1 of 2,,47-64,,
1:06.0,Offensive rebound by Team,,47-64,,
1:06.0,M. Carter-Williams misses free throw 2 of 2,,47-64,,
1:02.0,,,47-64,,Defensive rebound by K. Towns
0:53.0,,,47-64,,T. Gibson misses 2-pt shot from 2 ft (block by M. Carter-Williams)
0:49.0,,,47-64,,Offensive rebound by J. Butler
0:44.0,,,47-64,,Turnover by J. Butler (traveling)
0:36.0,K. Walker misses 2-pt shot from 1 ft,,47-64,,
0:35.0,Offensive rebound by D. Howard,,47-64,,
0:35.0,D. Howard makes 2-pt shot at rim,2,49-64,,
0:29.0,,,49-66,2,J. Teague makes 2-pt shot from 1 ft
0:10.0,K. Walker misses 2-pt shot from 2 ft (block by K. Towns),,49-66,,
0:09.0,,,49-66,,Defensive rebound by K. Towns
0:09.0,Personal foul by K. Walker (drawn by K. Towns),,49-66,,
0:09.0,,,49-67,1,K. Towns makes free throw 1 of 2
0:09.0,,,49-68,1,K. Towns makes free throw 2 of 2
0:01.0,K. Walker makes 2-pt shot from 4 ft,2,51-68,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,K. Walker misses 2-pt shot from 18 ft,,51-68,,
11:46.0,,,51-68,,Defensive rebound by J. Butler
11:36.0,,,51-68,,T. Gibson misses 2-pt shot from 19 ft
11:35.0,,,51-68,,Offensive rebound by Team
11:24.0,,,51-68,,J. Teague misses 2-pt shot from 19 ft
11:22.0,Defensive rebound by D. Howard,,51-68,,
11:12.0,D. Bacon makes 2-pt shot from 16 ft,2,53-68,,
10:46.0,,,53-71,3,J. Teague makes 3-pt shot from 24 ft (assist by K. Towns)
10:18.0,K. Walker makes 2-pt shot from 8 ft (assist by J. Lamb),2,55-71,,
9:54.0,,,55-71,,K. Towns misses 3-pt shot from 26 ft
9:50.0,Defensive rebound by K. Walker,,55-71,,
9:45.0,M. Williams makes 3-pt shot from 23 ft (assist by K. Walker),3,58-71,,
9:43.0,,,58-71,,Minnesota full timeout
9:35.0,,,58-73,2,K. Towns makes 2-pt shot from 17 ft (assist by J. Teague)
9:18.0,M. Williams misses 2-pt shot from 6 ft,,58-73,,
9:15.0,Offensive rebound by D. Howard,,58-73,,
9:06.0,D. Bacon makes 2-pt shot from 4 ft,2,60-73,,
8:51.0,,,60-73,,Offensive foul by K. Towns (drawn by K. Walker)
8:51.0,,,60-73,,Turnover by K. Towns (offensive foul)
8:37.0,D. Howard misses 2-pt shot from 1 ft,,60-73,,
8:35.0,,,60-73,,Defensive rebound by T. Gibson
8:24.0,,,60-73,,J. Teague misses 2-pt shot from 16 ft
8:22.0,Defensive rebound by D. Howard,,60-73,,
8:13.0,,,60-73,,Personal foul by T. Gibson (drawn by M. Williams)
8:04.0,K. Walker misses 2-pt shot from 10 ft,,60-73,,
8:00.0,,,60-73,,Defensive rebound by J. Teague
7:52.0,,,60-73,,Turnover by J. Butler (bad pass; steal by D. Howard)
7:49.0,M. Williams makes 2-pt shot from 1 ft,2,62-73,,
7:29.0,,,62-75,2,A. Wiggins makes 2-pt shot from 14 ft (assist by J. Teague)
7:14.0,M. Williams makes 3-pt shot from 25 ft (assist by J. Lamb),3,65-75,,
6:54.0,,,65-77,2,A. Wiggins makes 2-pt shot from 13 ft
6:39.0,J. Lamb makes 2-pt shot from 18 ft (assist by D. Howard),2,67-77,,
6:19.0,,,67-79,2,A. Wiggins makes 2-pt shot from 15 ft
6:04.0,Shooting foul by T. Gibson (drawn by K. Walker),,67-79,,
6:04.0,K. Walker makes free throw 1 of 2,1,68-79,,
6:04.0,T. Graham enters the game for J. Lamb,,68-79,,
6:04.0,K. Walker misses free throw 2 of 2,,68-79,,
6:02.0,,,68-79,,Defensive rebound by T. Gibson
5:51.0,,,68-79,,K. Towns misses 3-pt shot from 25 ft
5:46.0,Defensive rebound by D. Bacon,,68-79,,
5:40.0,Turnover by D. Bacon (lost ball; steal by J. Butler),,68-79,,
5:31.0,,,68-79,,T. Gibson misses 2-pt shot from 15 ft
5:31.0,,,68-79,,Offensive rebound by Team
5:31.0,Loose ball foul by M. Williams (drawn by K. Towns),,68-79,,
5:22.0,,,68-81,2,A. Wiggins makes 2-pt shot from 1 ft
5:22.0,,,68-81,,Shooting foul by D. Howard (drawn by A. Wiggins)
5:22.0,,,68-82,1,A. Wiggins makes free throw 1 of 1
4:59.0,K. Walker misses 3-pt shot from 25 ft,,68-82,,
4:55.0,Offensive rebound by D. Howard,,68-82,,
4:55.0,D. Howard misses 2-pt shot at rim,,68-82,,
4:55.0,Offensive rebound by Team,,68-82,,
4:55.0,F. Kaminsky enters the game for M. Williams,,68-82,,
4:48.0,F. Kaminsky misses 3-pt shot from 24 ft,,68-82,,
4:44.0,,,68-82,,Defensive rebound by J. Teague
4:35.0,,,68-85,3,J. Butler makes 3-pt shot from 26 ft (assist by A. Wiggins)
4:13.0,F. Kaminsky misses 2-pt shot from 1 ft,,68-85,,
4:07.0,,,68-85,,Defensive rebound by J. Teague
4:06.0,Shooting block foul by K. Walker (drawn by K. Towns),,68-85,,
4:06.0,,,68-86,1,K. Towns makes free throw 1 of 2
4:06.0,,,68-87,1,K. Towns makes free throw 2 of 2
3:56.0,Shooting foul by A. Wiggins (drawn by T. Graham),,68-87,,
3:56.0,T. Graham makes free throw 1 of 2,1,69-87,,
3:56.0,C. Zeller enters the game for D. Howard,,69-87,,
3:56.0,T. Graham makes free throw 2 of 2,1,70-87,,
3:33.0,,,70-87,,J. Teague misses 2-pt shot from 7 ft
3:30.0,Defensive rebound by C. Zeller,,70-87,,
3:28.0,Shooting foul by J. Teague (drawn by C. Zeller),,70-87,,
3:28.0,C. Zeller makes free throw 1 of 2,1,71-87,,
3:28.0,,,71-87,,G. Dieng enters the game for K. Towns
3:28.0,C. Zeller misses free throw 2 of 2,,71-87,,
3:26.0,,,71-87,,Defensive rebound by G. Dieng
3:09.0,,,71-87,,J. Butler misses 2-pt shot from 2 ft
3:03.0,,,71-87,,Offensive rebound by J. Butler
3:03.0,,,71-89,2,J. Butler makes 2-pt shot at rim
2:51.0,D. Bacon misses 2-pt shot from 10 ft,,71-89,,
2:51.0,,,71-89,,Defensive rebound by Team
2:51.0,Loose ball foul by C. Zeller (drawn by T. Gibson),,71-89,,
2:51.0,Charlotte full timeout,,71-89,,
2:51.0,,,71-89,,N. Bjelica enters the game for J. Butler
2:51.0,,,71-89,,J. Crawford enters the game for T. Gibson
2:36.0,,,71-89,,Turnover by J. Teague (traveling)
2:16.0,K. Walker makes 2-pt shot from 19 ft,2,73-89,,
1:58.0,,,73-91,2,G. Dieng makes 2-pt shot from 16 ft (assist by J. Teague)
1:40.0,D. Bacon misses 2-pt shot from 19 ft,,73-91,,
1:37.0,,,73-91,,Defensive rebound by A. Wiggins
1:33.0,,,73-91,,Turnover by A. Wiggins (lost ball; steal by T. Graham)
1:28.0,F. Kaminsky misses 2-pt shot from 2 ft (block by J. Teague),,73-91,,
1:26.0,Offensive rebound by F. Kaminsky,,73-91,,
1:15.0,T. Graham misses 3-pt shot from 23 ft,,73-91,,
1:13.0,,,73-91,,Defensive rebound by J. Teague
1:12.0,,,73-91,,Shooting foul by T. Graham (drawn by G. Dieng)
1:12.0,,,73-91,,G. Dieng misses free throw 1 of 2
1:12.0,,,73-91,,Offensive rebound by Team
1:12.0,J. Lamb enters the game for D. Bacon,,73-91,,
1:12.0,M. Monk enters the game for K. Walker,,73-91,,
1:12.0,,,73-92,1,G. Dieng makes free throw 2 of 2
0:52.0,Turnover by M. Monk (lost ball; steal by N. Bjelica),,73-92,,
0:47.0,Personal foul by C. Zeller (drawn by N. Bjelica),,73-92,,
0:47.0,,,73-93,1,N. Bjelica makes free throw 1 of 2
0:47.0,,,73-93,,T. Jones enters the game for J. Teague
0:47.0,,,73-93,,N. Bjelica misses free throw 2 of 2
0:45.0,Defensive rebound by F. Kaminsky,,73-93,,
0:39.0,M. Monk makes 3-pt shot from 24 ft,3,76-93,,
0:30.0,,,76-93,,Shooting foul by F. Kaminsky (drawn by N. Bjelica)
0:30.0,,,76-94,1,N. Bjelica makes free throw 1 of 2
0:30.0,,,76-95,1,N. Bjelica makes free throw 2 of 2
0:09.0,J. Lamb makes 3-pt shot from 25 ft (assist by M. Monk),3,79-95,,
0:03.0,Personal foul by J. Lamb (drawn by G. Dieng),,79-95,,
0:03.0,,,79-96,1,G. Dieng makes free throw 1 of 2
0:03.0,,,79-97,1,G. Dieng makes free throw 2 of 2
0:00.0,J. Lamb misses 3-pt shot from 42 ft,,79-97,,
0:00.0,Offensive rebound by Team,,79-97,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,79-97,,Turnover by J. Crawford (bad pass; steal by F. Kaminsky)
11:42.0,Offensive charge foul by C. Zeller (drawn by N. Bjelica),,79-97,,
11:42.0,Turnover by C. Zeller (offensive foul),,79-97,,
11:32.0,,,79-97,,Turnover by J. Crawford (traveling)
11:21.0,J. Lamb misses 3-pt shot from 25 ft,,79-97,,
11:18.0,,,79-97,,Defensive rebound by G. Dieng
11:09.0,,,79-100,3,J. Crawford makes 3-pt shot from 25 ft
10:53.0,C. Zeller makes 2-pt shot from 1 ft (assist by M. Monk),2,81-100,,
10:25.0,,,81-102,2,N. Bjelica makes 2-pt shot from 6 ft
10:08.0,J. Lamb misses 2-pt shot from 9 ft,,81-102,,
10:05.0,,,81-102,,Defensive rebound by S. Muhammad
9:52.0,,,81-102,,S. Muhammad misses 3-pt shot from 23 ft
9:49.0,Defensive rebound by F. Kaminsky,,81-102,,
9:40.0,M. Monk misses 3-pt shot from 25 ft,,81-102,,
9:36.0,,,81-102,,Defensive rebound by N. Bjelica
9:30.0,,,81-104,2,G. Dieng makes 2-pt shot from 1 ft (assist by J. Crawford)
9:28.0,Charlotte full timeout,,81-104,,
9:05.0,M. Monk misses 2-pt shot from 4 ft,,81-104,,
9:02.0,,,81-104,,Defensive rebound by S. Muhammad
8:58.0,,,81-104,,Offensive foul by T. Jones (drawn by J. Lamb)
8:58.0,,,81-104,,Turnover by T. Jones (offensive foul)
8:44.0,T. Graham misses 2-pt shot from 8 ft,,81-104,,
8:41.0,,,81-104,,Defensive rebound by S. Muhammad
8:32.0,,,81-104,,J. Crawford misses 2-pt shot from 15 ft
8:29.0,Defensive rebound by C. Zeller,,81-104,,
8:19.0,,,81-104,,Personal foul by J. Crawford (drawn by J. Lamb)
8:19.0,D. Howard enters the game for T. Graham,,81-104,,
8:19.0,D. Bacon enters the game for F. Kaminsky,,81-104,,
8:13.0,M. Monk misses 2-pt shot from 20 ft,,81-104,,
8:12.0,Offensive rebound by Team,,81-104,,
8:12.0,,,81-104,,Loose ball foul by N. Bjelica (drawn by D. Howard)
8:04.0,J. Lamb misses 2-pt shot from 16 ft,,81-104,,
7:58.0,,,81-104,,Defensive rebound by G. Dieng
7:54.0,,,81-104,,S. Muhammad misses 2-pt shot from 6 ft (block by C. Zeller)
7:54.0,,,81-104,,Offensive rebound by Team
7:43.0,,,81-104,,Turnover by N. Bjelica (lost ball; steal by D. Bacon)
7:40.0,Turnover by J. Lamb (traveling),,81-104,,
7:28.0,,,81-104,,G. Dieng misses 2-pt shot from 8 ft
7:27.0,Defensive rebound by C. Zeller,,81-104,,
7:21.0,C. Zeller makes 2-pt shot from 20 ft (assist by M. Monk),2,83-104,,
7:03.0,Def 3 sec tech foul by M. Monk,,83-104,,
7:03.0,,,83-105,1,J. Crawford makes technical free throw
7:03.0,,,83-105,,K. Towns enters the game for G. Dieng
7:03.0,,,83-105,,J. Butler enters the game for S. Muhammad
6:59.0,,,83-105,,Turnover by K. Towns (bad pass)
6:48.0,D. Howard makes 2-pt shot at rim (assist by J. Lamb),2,85-105,,
6:29.0,,,85-105,,Turnover by N. Bjelica (lost ball; steal by D. Bacon)
6:15.0,M. Monk misses 2-pt shot from 18 ft,,85-105,,
6:13.0,Offensive rebound by D. Howard,,85-105,,
6:12.0,D. Howard makes 2-pt shot from 1 ft,2,87-105,,
6:08.0,,,87-105,,Minnesota full timeout
6:08.0,,,87-105,,J. Teague enters the game for T. Jones
6:08.0,,,87-105,,T. Gibson enters the game for N. Bjelica
6:08.0,,,87-105,,A. Wiggins enters the game for J. Crawford
6:08.0,M. Williams enters the game for M. Monk,,87-105,,
6:08.0,K. Walker enters the game for C. Zeller,,87-105,,
5:53.0,,,87-105,,A. Wiggins misses 2-pt shot from 20 ft
5:49.0,,,87-105,,Offensive rebound by T. Gibson
5:43.0,,,87-105,,K. Towns misses 3-pt shot from 26 ft
5:40.0,Defensive rebound by D. Bacon,,87-105,,
5:39.0,,,87-105,,Personal foul by K. Towns (drawn by D. Howard)
5:31.0,K. Walker misses 3-pt shot from 25 ft,,87-105,,
5:27.0,,,87-105,,Defensive rebound by K. Towns
5:14.0,,,87-107,2,J. Teague makes 2-pt shot from 15 ft
4:56.0,D. Bacon misses 2-pt shot from 17 ft,,87-107,,
4:53.0,,,87-107,,Defensive rebound by K. Towns
4:44.0,,,87-107,,J. Teague misses 2-pt shot from 1 ft
4:41.0,,,87-107,,Offensive rebound by T. Gibson
4:41.0,,,87-109,2,T. Gibson makes 2-pt shot at rim
4:41.0,Charlotte full timeout,,87-109,,
4:41.0,M. Monk enters the game for J. Lamb,,87-109,,
4:41.0,J. O'Bryant enters the game for D. Bacon,,87-109,,
4:41.0,M. Carter-Williams enters the game for D. Howard,,87-109,,
4:41.0,T. Graham enters the game for M. Williams,,87-109,,
4:41.0,C. Zeller enters the game for K. Walker,,87-109,,
4:33.0,C. Zeller makes 2-pt shot from 4 ft (assist by M. Carter-Williams),2,89-109,,
4:33.0,Shooting foul by K. Towns (drawn by C. Zeller),,89-109,,
4:33.0,C. Zeller makes free throw 1 of 1,1,90-109,,
4:22.0,,,90-109,,A. Wiggins misses 2-pt shot from 13 ft
4:18.0,,,90-109,,Offensive rebound by K. Towns
4:11.0,Personal foul by C. Zeller (drawn by K. Towns),,90-109,,
3:57.0,,,90-109,,Turnover by K. Towns (lost ball; steal by M. Carter-Williams)
3:42.0,M. Carter-Williams misses 3-pt shot from 27 ft,,90-109,,
