time,New York,pts.away,score,pts.home,Chicago
5:35.0,,,12-13,,Shooting foul by K. Porzingis (drawn by L. Markkanen)
5:35.0,K. O'Quinn enters the game for E. Kanter,,12-13,,
5:35.0,,,12-13,,L. Markkanen misses free throw 1 of 1
5:33.0,Defensive rebound by K. O'Quinn,,12-13,,
5:23.0,C. Lee makes 2-pt shot from 18 ft,2,14-13,,
5:08.0,,,14-13,,L. Markkanen misses 3-pt shot from 24 ft
5:04.0,Defensive rebound by D. McDermott,,14-13,,
4:58.0,K. Porzingis misses 2-pt shot from 9 ft,,14-13,,
4:54.0,,,14-13,,Defensive rebound by R. Lopez
4:46.0,,,14-15,2,D. Valentine makes 2-pt shot from 13 ft
4:24.0,Turnover by C. Lee (traveling),,14-15,,
4:24.0,,,14-15,,N. Mirotic enters the game for L. Markkanen
4:14.0,,,14-15,,Turnover by D. Valentine (out of bounds lost ball)
4:14.0,L. Thomas enters the game for D. McDermott,,14-15,,
3:58.0,K. O'Quinn misses 2-pt shot from 21 ft,,14-15,,
3:54.0,,,14-15,,Defensive rebound by D. Valentine
3:40.0,,,14-15,,R. Lopez misses 2-pt shot from 22 ft
3:37.0,Defensive rebound by K. O'Quinn,,14-15,,
3:33.0,K. Porzingis makes 3-pt shot from 25 ft (assist by F. Ntilikina),3,17-15,,
3:31.0,,,17-15,,Chicago full timeout
3:31.0,,,17-15,,D. Nwaba enters the game for D. Valentine
3:10.0,,,17-15,,Turnover by R. Lopez (turnover)
2:56.0,C. Lee makes 3-pt shot from 26 ft (assist by K. Porzingis),3,20-15,,
2:38.0,,,20-15,,K. Dunn misses 2-pt shot from 15 ft
2:38.0,Defensive rebound by Team,,20-15,,
2:29.0,,,20-15,,Personal foul by N. Mirotic (drawn by K. Porzingis)
2:29.0,,,20-15,,J. Grant enters the game for K. Dunn
2:18.0,K. O'Quinn makes 2-pt shot from 4 ft (assist by C. Lee),2,22-15,,
2:06.0,,,22-17,2,R. Lopez makes 2-pt shot from 2 ft (assist by J. Grant)
1:59.0,,,22-17,,Personal foul by N. Mirotic (drawn by K. Porzingis)
1:50.0,L. Thomas misses 3-pt shot from 23 ft,,22-17,,
1:41.0,,,22-17,,Defensive rebound by D. Nwaba
1:38.0,,,22-17,,D. Nwaba misses 2-pt shot from 6 ft
1:38.0,Defensive rebound by K. O'Quinn,,22-17,,
1:30.0,K. Porzingis misses 3-pt shot from 25 ft,,22-17,,
1:30.0,,,22-17,,Defensive rebound by R. Lopez
1:20.0,,,22-17,,D. Nwaba misses 3-pt shot from 22 ft
1:20.0,Defensive rebound by F. Ntilikina,,22-17,,
1:01.0,L. Thomas makes 2-pt shot from 1 ft (assist by K. O'Quinn),2,24-17,,
0:43.0,,,24-17,,R. Lopez misses 2-pt shot from 4 ft (block by K. Porzingis)
0:40.0,Defensive rebound by C. Lee,,24-17,,
0:37.0,C. Lee makes 3-pt shot from 26 ft (assist by F. Ntilikina),3,27-17,,
0:23.0,,,27-17,,J. Holiday misses 2-pt shot from 21 ft
0:23.0,Defensive rebound by F. Ntilikina,,27-17,,
0:04.0,F. Ntilikina misses 3-pt shot from 25 ft,,27-17,,
0:04.0,Offensive rebound by Team,,27-17,,
0:03.0,,,27-17,,Loose ball foul by J. Grant (drawn by K. O'Quinn)
0:03.0,K. O'Quinn makes free throw 1 of 2,1,28-17,,
0:03.0,,,28-17,,B. Portis enters the game for R. Lopez
0:03.0,K. O'Quinn misses free throw 2 of 2,,28-17,,
0:01.0,,,28-17,,Defensive rebound by N. Mirotic
0:00.0,,,28-17,,J. Grant misses 3-pt shot from 47 ft
0:00.0,,,28-17,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,Turnover by L. Thomas (bad pass; steal by B. Portis),,28-17,,
11:31.0,,,28-19,2,B. Portis makes 2-pt shot from 22 ft (assist by N. Mirotic)
11:16.0,M. Beasley makes 2-pt shot from 4 ft,2,30-19,,
11:03.0,Personal foul by F. Ntilikina (drawn by B. Portis),,30-19,,
10:57.0,,,30-19,,B. Portis misses 3-pt shot from 25 ft
10:54.0,Defensive rebound by M. Beasley,,30-19,,
10:46.0,F. Ntilikina misses 2-pt shot from 18 ft,,30-19,,
10:43.0,Offensive rebound by D. McDermott,,30-19,,
10:40.0,D. McDermott makes 2-pt shot from 11 ft,2,32-19,,
10:29.0,,,32-19,,Turnover by B. Portis (bad pass; steal by L. Thomas)
10:20.0,Turnover by F. Ntilikina (bad pass; steal by P. Zipser),,32-19,,
10:06.0,,,32-22,3,P. Zipser makes 3-pt shot from 25 ft (assist by D. Nwaba)
9:44.0,M. Beasley makes 2-pt shot from 5 ft (assist by D. McDermott),2,34-22,,
9:30.0,,,34-22,,B. Portis misses 2-pt shot from 17 ft
9:30.0,Defensive rebound by K. O'Quinn,,34-22,,
9:27.0,F. Ntilikina makes 2-pt shot from 1 ft,2,36-22,,
9:27.0,Shooting foul by J. Grant (drawn by F. Ntilikina),,36-22,,
9:27.0,,,36-22,,K. Dunn enters the game for J. Grant
9:27.0,F. Ntilikina misses free throw 1 of 1,,36-22,,
9:24.0,,,36-22,,Defensive rebound by P. Zipser
9:10.0,,,36-22,,Turnover by P. Zipser (traveling)
8:51.0,L. Thomas misses 2-pt shot from 2 ft (block by K. Dunn),,36-22,,
8:47.0,,,36-22,,Defensive rebound by N. Mirotic
8:29.0,,,36-25,3,P. Zipser makes 3-pt shot from 25 ft (assist by K. Dunn)
8:08.0,M. Beasley misses 2-pt shot from 10 ft,,36-25,,
8:05.0,,,36-25,,Defensive rebound by K. Dunn
8:04.0,Personal foul by F. Ntilikina (drawn by K. Dunn),,36-25,,
8:04.0,K. Porzingis enters the game for K. O'Quinn,,36-25,,
7:56.0,,,36-25,,Shooting foul by F. Ntilikina (drawn by B. Portis)
7:56.0,,,36-26,1,B. Portis makes free throw 1 of 2
7:56.0,J. Jack enters the game for F. Ntilikina,,36-26,,
7:56.0,,,36-27,1,B. Portis makes free throw 2 of 2
7:49.0,D. McDermott misses 3-pt shot from 26 ft,,36-27,,
7:46.0,,,36-27,,Defensive rebound by N. Mirotic
7:42.0,,,36-27,,Turnover by N. Mirotic (bad pass; steal by M. Beasley)
7:36.0,J. Jack misses 2-pt shot from 3 ft,,36-27,,
7:33.0,Offensive rebound by K. Porzingis,,36-27,,
7:33.0,K. Porzingis misses 2-pt shot at rim,,36-27,,
7:32.0,,,36-27,,Defensive rebound by N. Mirotic
7:24.0,,,36-27,,B. Portis misses 2-pt shot from 1 ft
7:24.0,Defensive rebound by D. McDermott,,36-27,,
7:05.0,D. McDermott misses 3-pt shot from 26 ft,,36-27,,
7:05.0,,,36-27,,Defensive rebound by N. Mirotic
6:53.0,,,36-27,,B. Portis misses 2-pt shot from 7 ft
6:53.0,Defensive rebound by M. Beasley,,36-27,,
6:35.0,K. Porzingis misses 3-pt shot from 25 ft,,36-27,,
6:35.0,,,36-27,,Defensive rebound by K. Dunn
6:26.0,,,36-27,,K. Dunn misses 2-pt shot from 18 ft
6:26.0,Defensive rebound by M. Beasley,,36-27,,
6:18.0,K. Porzingis makes 2-pt shot from 1 ft (assist by J. Jack),2,38-27,,
6:18.0,,,38-27,,Chicago full timeout
6:18.0,,,38-27,,L. Markkanen enters the game for D. Nwaba
6:18.0,,,38-27,,D. Valentine enters the game for P. Zipser
6:18.0,,,38-27,,J. Holiday enters the game for N. Mirotic
5:59.0,,,38-27,,D. Valentine misses 2-pt shot from 6 ft
5:53.0,,,38-27,,Offensive rebound by B. Portis
5:53.0,,,38-29,2,B. Portis makes 2-pt shot at rim
5:45.0,M. Beasley makes 2-pt shot at rim (assist by J. Jack),2,40-29,,
5:33.0,,,40-31,2,K. Dunn makes 2-pt shot from 10 ft
5:14.0,J. Jack misses 2-pt shot from 20 ft,,40-31,,
5:08.0,Offensive rebound by L. Thomas,,40-31,,
5:08.0,L. Thomas makes 2-pt shot at rim,2,42-31,,
5:01.0,,,42-31,,B. Portis misses 2-pt shot at rim (block by K. Porzingis)
4:57.0,Defensive rebound by K. Porzingis,,42-31,,
4:42.0,J. Jack makes 2-pt shot from 20 ft (assist by M. Beasley),2,44-31,,
4:29.0,,,44-31,,K. Dunn misses 3-pt shot from 26 ft
4:26.0,Defensive rebound by M. Beasley,,44-31,,
4:18.0,M. Beasley misses 2-pt shot from 4 ft,,44-31,,
4:14.0,,,44-31,,Defensive rebound by L. Markkanen
4:09.0,,,44-31,,L. Markkanen misses 3-pt shot from 26 ft
4:05.0,Defensive rebound by D. McDermott,,44-31,,
3:57.0,J. Jack makes 2-pt shot from 1 ft,2,46-31,,
3:57.0,,,46-31,,Chicago full timeout
3:57.0,,,46-31,,N. Mirotic enters the game for B. Portis
3:57.0,,,46-31,,J. Grant enters the game for K. Dunn
3:57.0,C. Lee enters the game for L. Thomas,,46-31,,
3:39.0,,,46-31,,J. Grant misses 3-pt shot from 24 ft
3:33.0,,,46-31,,Offensive rebound by J. Holiday
3:32.0,,,46-34,3,L. Markkanen makes 3-pt shot from 25 ft (assist by J. Holiday)
3:12.0,Turnover by M. Beasley (traveling),,46-34,,
2:59.0,,,46-34,,L. Markkanen misses 2-pt shot from 5 ft (block by K. Porzingis)
2:59.0,,,46-34,,Offensive rebound by Team
2:59.0,L. Thomas enters the game for M. Beasley,,46-34,,
2:57.0,,,46-36,2,D. Valentine makes 2-pt shot from 17 ft (assist by J. Grant)
2:55.0,New York full timeout,,46-36,,
2:45.0,C. Lee misses 2-pt shot from 18 ft,,46-36,,
2:42.0,,,46-36,,Defensive rebound by N. Mirotic
2:29.0,,,46-38,2,N. Mirotic makes 2-pt shot from 12 ft (assist by L. Markkanen)
2:17.0,Shooting foul by J. Grant (drawn by L. Thomas),,46-38,,
2:17.0,L. Thomas makes free throw 1 of 2,1,47-38,,
2:17.0,,,47-38,,R. Lopez enters the game for N. Mirotic
2:17.0,E. Kanter enters the game for D. McDermott,,47-38,,
2:17.0,L. Thomas makes free throw 2 of 2,1,48-38,,
2:07.0,,,48-41,3,L. Markkanen makes 3-pt shot from 24 ft (assist by R. Lopez)
1:48.0,E. Kanter misses 2-pt shot from 13 ft,,48-41,,
1:45.0,,,48-41,,Defensive rebound by J. Grant
1:42.0,,,48-44,3,D. Valentine makes 3-pt shot from 24 ft (assist by J. Grant)
1:27.0,C. Lee misses 3-pt shot from 26 ft,,48-44,,
1:23.0,,,48-44,,Defensive rebound by J. Grant
1:20.0,Personal foul by C. Lee (drawn by L. Markkanen),,48-44,,
1:08.0,,,48-46,2,J. Grant makes 2-pt shot from 22 ft
0:49.0,E. Kanter makes 2-pt shot from 7 ft,2,50-46,,
0:33.0,,,50-46,,J. Grant misses 2-pt shot from 15 ft
0:33.0,Defensive rebound by J. Jack,,50-46,,
0:23.0,K. Porzingis makes 2-pt shot from 10 ft (assist by J. Jack),2,52-46,,
0:03.0,,,52-49,3,J. Holiday makes 3-pt shot from 24 ft (assist by J. Grant)
0:00.0,Turnover by E. Kanter (bad pass; steal by R. Lopez),,52-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,J. Jack makes 2-pt shot from 20 ft,2,54-49,,
11:31.0,,,54-49,,R. Lopez misses 2-pt shot from 7 ft
11:26.0,Defensive rebound by E. Kanter,,54-49,,
11:24.0,K. Porzingis makes 2-pt shot from 13 ft (assist by J. Jack),2,56-49,,
10:57.0,,,56-49,,R. Lopez misses 2-pt shot from 6 ft
10:57.0,Defensive rebound by C. Lee,,56-49,,
10:52.0,,,56-49,,Personal foul by K. Dunn (drawn by J. Jack)
10:46.0,D. McDermott misses 2-pt shot from 4 ft,,56-49,,
10:44.0,,,56-49,,Defensive rebound by D. Valentine
10:38.0,,,56-49,,L. Markkanen misses 3-pt shot from 26 ft
10:38.0,Defensive rebound by E. Kanter,,56-49,,
10:18.0,Turnover by J. Jack (lost ball; steal by J. Holiday),,56-49,,
10:09.0,,,56-49,,K. Dunn misses 3-pt shot from 23 ft
10:06.0,Defensive rebound by E. Kanter,,56-49,,
9:45.0,C. Lee makes 3-pt shot from 22 ft (assist by J. Jack),3,59-49,,
9:37.0,,,59-49,,Shooting foul by K. Porzingis (drawn by R. Lopez)
9:37.0,,,59-50,1,R. Lopez makes free throw 1 of 2
9:37.0,,,59-51,1,R. Lopez makes free throw 2 of 2
9:29.0,Turnover by C. Lee (bad pass),,59-51,,
9:18.0,,,59-51,,Turnover by L. Markkanen (traveling)
9:03.0,K. Porzingis misses 2-pt shot from 16 ft,,59-51,,
8:59.0,,,59-51,,Defensive rebound by D. Valentine
8:52.0,,,59-51,,K. Dunn misses 2-pt shot from 6 ft
8:50.0,Defensive rebound by E. Kanter,,59-51,,
8:41.0,,,59-51,,Personal foul by D. Valentine (drawn by D. McDermott)
8:35.0,K. Porzingis misses 3-pt shot from 26 ft,,59-51,,
8:32.0,,,59-51,,Defensive rebound by K. Dunn
8:26.0,,,59-53,2,K. Dunn makes 2-pt shot from 23 ft
8:07.0,C. Lee makes 2-pt shot from 15 ft (assist by J. Jack),2,61-53,,
7:52.0,Personal foul by C. Lee (drawn by K. Dunn),,61-53,,
7:44.0,,,61-53,,J. Holiday misses 3-pt shot from 23 ft
7:41.0,,,61-53,,Offensive rebound by R. Lopez
7:37.0,,,61-56,3,K. Dunn makes 3-pt shot from 25 ft (assist by R. Lopez)
7:18.0,K. Porzingis makes 2-pt shot from 14 ft,2,63-56,,
7:05.0,,,63-58,2,K. Dunn makes 2-pt shot from 1 ft
6:50.0,Turnover by J. Jack (lost ball; steal by K. Dunn),,63-58,,
6:46.0,,,63-58,,Chicago full timeout
6:46.0,F. Ntilikina enters the game for J. Jack,,63-58,,
6:36.0,,,63-58,,L. Markkanen misses 2-pt shot from 19 ft
6:33.0,,,63-58,,Offensive rebound by Team
6:27.0,Personal foul by F. Ntilikina (drawn by K. Dunn),,63-58,,
6:15.0,,,63-58,,L. Markkanen misses 2-pt shot from 2 ft
6:13.0,Defensive rebound by E. Kanter,,63-58,,
5:51.0,E. Kanter misses 2-pt shot from 6 ft,,63-58,,
5:48.0,,,63-58,,Defensive rebound by J. Holiday
5:42.0,,,63-60,2,R. Lopez makes 2-pt shot at rim (assist by K. Dunn)
5:23.0,K. Porzingis misses 2-pt shot from 18 ft,,63-60,,
5:21.0,,,63-60,,Defensive rebound by J. Holiday
5:11.0,,,63-60,,Turnover by J. Holiday (lost ball; steal by C. Lee)
5:07.0,C. Lee makes 2-pt shot at rim,2,65-60,,
4:58.0,,,65-62,2,K. Dunn makes 2-pt shot from 16 ft
4:46.0,Shooting foul by L. Markkanen (drawn by K. Porzingis),,65-62,,
4:46.0,K. Porzingis makes free throw 1 of 2,1,66-62,,
4:46.0,,,66-62,,N. Mirotic enters the game for L. Markkanen
4:46.0,K. O'Quinn enters the game for E. Kanter,,66-62,,
4:46.0,L. Thomas enters the game for D. McDermott,,66-62,,
4:46.0,K. Porzingis makes free throw 2 of 2,1,67-62,,
4:32.0,,,67-62,,Shooting foul by K. O'Quinn (drawn by K. Dunn)
4:32.0,,,67-63,1,K. Dunn makes free throw 1 of 2
4:32.0,,,67-64,1,K. Dunn makes free throw 2 of 2
4:20.0,C. Lee misses 3-pt shot from 24 ft,,67-64,,
4:15.0,,,67-64,,Defensive rebound by K. Dunn
4:09.0,,,67-64,,Turnover by J. Holiday (traveling)
4:09.0,,,67-64,,D. Nwaba enters the game for D. Valentine
3:55.0,F. Ntilikina makes 2-pt shot from 11 ft,2,69-64,,
3:31.0,,,69-64,,J. Holiday misses 2-pt shot from 11 ft
3:27.0,Defensive rebound by F. Ntilikina,,69-64,,
3:10.0,L. Thomas makes 2-pt shot from 2 ft (assist by C. Lee),2,71-64,,
2:55.0,,,71-64,,N. Mirotic misses 2-pt shot from 2 ft (block by L. Thomas)
2:51.0,Defensive rebound by K. Porzingis,,71-64,,
2:49.0,K. Porzingis misses 3-pt shot from 25 ft,,71-64,,
2:49.0,,,71-64,,Defensive rebound by N. Mirotic
2:34.0,New York full timeout,,71-64,,
2:34.0,,,71-64,,B. Portis enters the game for R. Lopez
2:34.0,M. Beasley enters the game for K. Porzingis,,71-64,,
2:22.0,,,71-64,,N. Mirotic misses 3-pt shot from 23 ft
2:19.0,Defensive rebound by K. O'Quinn,,71-64,,
2:07.0,M. Beasley misses 2-pt shot from 15 ft,,71-64,,
2:04.0,,,71-64,,Defensive rebound by J. Holiday
1:56.0,,,71-64,,Shooting foul by K. O'Quinn (drawn by D. Nwaba)
1:56.0,,,71-64,,J. Grant enters the game for K. Dunn
1:56.0,,,71-65,1,D. Nwaba makes free throw 1 of 2
1:56.0,,,71-65,,D. Nwaba misses free throw 2 of 2
1:47.0,Defensive rebound by K. O'Quinn,,71-65,,
1:39.0,C. Lee misses 2-pt shot from 22 ft,,71-65,,
1:36.0,,,71-65,,Defensive rebound by B. Portis
1:32.0,,,71-67,2,D. Nwaba makes 2-pt shot from 1 ft (assist by J. Grant)
1:16.0,Turnover by M. Beasley (lost ball; steal by D. Nwaba),,71-67,,
1:12.0,,,71-69,2,D. Nwaba makes 2-pt shot from 1 ft
0:54.0,,,71-69,,Personal foul by J. Holiday (drawn by M. Beasley)
0:46.0,K. O'Quinn makes 2-pt shot from 4 ft (assist by F. Ntilikina),2,73-69,,
0:37.0,,,73-71,2,J. Grant makes 2-pt shot from 15 ft
0:23.0,M. Beasley misses 3-pt shot from 25 ft,,73-71,,
0:21.0,,,73-71,,Defensive rebound by J. Holiday
0:21.0,,,73-71,,Turnover by J. Holiday (out of bounds lost ball)
0:05.0,C. Lee misses 3-pt shot from 24 ft,,73-71,,
0:03.0,,,73-71,,Defensive rebound by D. Nwaba
0:01.0,,,73-71,,Turnover by D. Nwaba (lost ball; steal by M. Beasley)
0:00.0,C. Lee misses 3-pt shot from 33 ft,,73-71,,
0:00.0,Offensive rebound by Team,,73-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,Personal foul by L. Thomas (drawn by N. Mirotic),,73-71,,
11:44.0,,,73-71,,J. Grant misses 3-pt shot from 24 ft
11:42.0,Defensive rebound by Team,,73-71,,
11:29.0,M. Beasley misses 2-pt shot from 3 ft,,73-71,,
11:26.0,Offensive rebound by K. O'Quinn,,73-71,,
11:25.0,K. O'Quinn makes 2-pt shot at rim,2,75-71,,
11:09.0,,,75-73,2,P. Zipser makes 2-pt shot from 19 ft (assist by B. Portis)
10:44.0,D. McDermott misses 2-pt shot from 19 ft,,75-73,,
10:37.0,Offensive rebound by K. O'Quinn,,75-73,,
10:37.0,K. O'Quinn makes 2-pt shot at rim,2,77-73,,
10:24.0,,,77-73,,D. Nwaba misses 3-pt shot from 25 ft
10:22.0,Defensive rebound by M. Beasley,,77-73,,
10:17.0,F. Ntilikina misses 3-pt shot from 25 ft,,77-73,,
10:12.0,,,77-73,,Defensive rebound by B. Portis
10:04.0,,,77-75,2,B. Portis makes 2-pt shot from 1 ft (assist by J. Grant)
9:41.0,M. Beasley misses 2-pt shot from 15 ft,,77-75,,
9:38.0,,,77-75,,Defensive rebound by B. Portis
9:28.0,Personal foul by L. Thomas (drawn by N. Mirotic),,77-75,,
9:28.0,,,77-75,,R. Lopez enters the game for B. Portis
9:28.0,K. Porzingis enters the game for K. O'Quinn,,77-75,,
9:28.0,E. Kanter enters the game for M. Beasley,,77-75,,
9:17.0,,,77-75,,Turnover by R. Lopez (bad pass)
9:06.0,F. Ntilikina makes 2-pt shot from 9 ft,2,79-75,,
8:49.0,,,79-75,,D. Nwaba misses 2-pt shot from 3 ft
8:45.0,,,79-75,,Offensive rebound by R. Lopez
8:43.0,,,79-78,3,J. Grant makes 3-pt shot from 25 ft (assist by R. Lopez)
8:25.0,E. Kanter makes 2-pt shot at rim (assist by F. Ntilikina),2,81-78,,
8:03.0,,,81-80,2,N. Mirotic makes 2-pt shot from 12 ft (assist by R. Lopez)
7:52.0,,,81-80,,Personal foul by N. Mirotic (drawn by K. Porzingis)
7:46.0,K. Porzingis misses 2-pt shot from 4 ft,,81-80,,
7:43.0,,,81-80,,Defensive rebound by J. Grant
7:29.0,,,81-80,,R. Lopez misses 2-pt shot from 10 ft
7:26.0,Defensive rebound by E. Kanter,,81-80,,
7:17.0,F. Ntilikina misses 2-pt shot from 20 ft,,81-80,,
7:14.0,,,81-80,,Defensive rebound by D. Nwaba
7:11.0,,,81-80,,Turnover by D. Nwaba (lost ball; steal by F. Ntilikina)
6:58.0,K. Porzingis makes 2-pt shot from 20 ft,2,83-80,,
6:55.0,,,83-80,,Chicago full timeout
6:55.0,,,83-80,,K. Dunn enters the game for J. Grant
6:55.0,,,83-80,,D. Valentine enters the game for D. Nwaba
6:55.0,,,83-80,,J. Holiday enters the game for N. Mirotic
6:55.0,,,83-80,,L. Markkanen enters the game for P. Zipser
6:55.0,C. Lee enters the game for L. Thomas,,83-80,,
6:33.0,,,83-80,,L. Markkanen misses 3-pt shot from 23 ft
6:30.0,Defensive rebound by F. Ntilikina,,83-80,,
6:14.0,K. Porzingis misses 2-pt shot from 19 ft (block by L. Markkanen),,83-80,,
6:10.0,,,83-80,,Defensive rebound by D. Valentine
6:03.0,,,83-80,,K. Dunn misses 2-pt shot from 19 ft
6:03.0,Turnover by D. McDermott (lost ball; steal by D. Valentine),,83-80,,
6:03.0,Offensive rebound by D. McDermott,,83-80,,
5:56.0,,,83-80,,K. Dunn misses 3-pt shot from 27 ft
5:56.0,Defensive rebound by F. Ntilikina,,83-80,,
5:39.0,Shooting foul by D. Valentine (drawn by D. McDermott),,83-80,,
5:39.0,D. McDermott misses free throw 1 of 2,,83-80,,
5:39.0,Offensive rebound by Team,,83-80,,
5:39.0,D. McDermott makes free throw 2 of 2,1,84-80,,
5:23.0,,,84-80,,J. Holiday misses 3-pt shot from 25 ft
5:23.0,,,84-80,,Offensive rebound by Team
5:23.0,Loose ball foul by F. Ntilikina (drawn by R. Lopez),,84-80,,
5:22.0,,,84-83,3,J. Holiday makes 3-pt shot from 25 ft (assist by K. Dunn)
4:56.0,K. Porzingis misses 2-pt shot from 8 ft,,84-83,,
4:54.0,,,84-83,,Defensive rebound by J. Holiday
4:40.0,,,84-83,,R. Lopez misses 2-pt shot from 5 ft
4:40.0,Defensive rebound by K. Porzingis,,84-83,,
4:31.0,F. Ntilikina misses 3-pt shot from 26 ft,,84-83,,
4:31.0,Offensive rebound by E. Kanter,,84-83,,
4:24.0,C. Lee makes 2-pt shot from 2 ft (assist by E. Kanter),2,86-83,,
4:11.0,,,86-83,,K. Dunn misses 2-pt shot from 21 ft
4:11.0,Defensive rebound by K. Porzingis,,86-83,,
4:08.0,New York full timeout,,86-83,,
3:49.0,E. Kanter misses 2-pt shot from 2 ft (block by R. Lopez),,86-83,,
3:45.0,,,86-83,,Defensive rebound by D. Valentine
3:38.0,,,86-83,,N. Mirotic enters the game for R. Lopez
3:38.0,L. Thomas enters the game for E. Kanter,,86-83,,
3:32.0,,,86-83,,K. Dunn misses 2-pt shot from 4 ft (block by F. Ntilikina)
3:29.0,Defensive rebound by K. Porzingis,,86-83,,
3:29.0,New York full timeout,,86-83,,
3:17.0,C. Lee misses 2-pt shot from 21 ft,,86-83,,
3:13.0,,,86-83,,Defensive rebound by D. Valentine
3:01.0,,,86-86,3,J. Holiday makes 3-pt shot from 22 ft (assist by N. Mirotic)
2:36.0,F. Ntilikina misses 2-pt shot from 11 ft,,86-86,,
2:33.0,Offensive rebound by L. Thomas,,86-86,,
2:32.0,L. Thomas misses 2-pt shot at rim,,86-86,,
2:32.0,,,86-86,,Defensive rebound by L. Markkanen
2:26.0,,,86-86,,D. Valentine misses 3-pt shot from 26 ft
2:23.0,Defensive rebound by D. McDermott,,86-86,,
2:23.0,,,86-86,,Personal foul by N. Mirotic (drawn by D. McDermott)
1:58.0,F. Ntilikina misses 2-pt shot from 8 ft,,86-86,,
1:56.0,,,86-86,,Defensive rebound by K. Dunn
1:45.0,,,86-86,,K. Dunn misses 2-pt shot from 21 ft
1:40.0,Defensive rebound by C. Lee,,86-86,,
1:40.0,,,86-86,,Personal foul by K. Dunn (drawn by K. Porzingis)
