time,Atlanta,pts.away,score,pts.home,Golden State
10:53.0,T. Waller-Prince makes 2-pt shot from 2 ft,2,21-16,,
10:42.0,,,21-16,,D. West misses 2-pt shot from 18 ft
10:38.0,Defensive rebound by J. Collins,,21-16,,
10:33.0,Atlanta full timeout,,21-16,,
10:33.0,D. Dedmon enters the game for J. Collins,,21-16,,
10:21.0,T. Waller-Prince misses 2-pt shot from 2 ft,,21-16,,
10:19.0,,,21-16,,Defensive rebound by D. West
10:09.0,,,21-16,,P. McCaw misses 3-pt shot from 27 ft
10:04.0,Defensive rebound by M. Muscala,,21-16,,
9:52.0,M. Muscala makes 2-pt shot from 1 ft (assist by I. Taylor),2,23-16,,
9:32.0,,,23-16,,Q. Cook misses 3-pt shot from 26 ft
9:27.0,,,23-16,,Offensive rebound by S. Livingston
9:27.0,,,23-16,,S. Livingston misses 2-pt shot from 11 ft
9:23.0,Defensive rebound by M. Muscala,,23-16,,
9:21.0,T. Waller-Prince makes 3-pt shot from 26 ft,3,26-16,,
8:56.0,,,26-16,,P. McCaw misses 2-pt shot from 14 ft
8:53.0,Defensive rebound by M. Muscala,,26-16,,
8:41.0,T. Dorsey misses 3-pt shot from 27 ft,,26-16,,
8:38.0,,,26-16,,Defensive rebound by D. West
8:30.0,,,26-18,2,S. Livingston makes 2-pt shot from 12 ft
8:10.0,I. Taylor makes 2-pt shot from 12 ft,2,28-18,,
7:58.0,,,28-20,2,Q. Cook makes 2-pt shot from 17 ft
7:46.0,T. Waller-Prince misses 2-pt shot from 2 ft,,28-20,,
7:41.0,Offensive rebound by D. Dedmon,,28-20,,
7:41.0,D. Dedmon makes 2-pt shot at rim,2,30-20,,
7:36.0,,,30-20,,Turnover by S. Livingston (lost ball; steal by T. Waller-Prince)
7:34.0,,,30-20,,Personal foul by P. McCaw (drawn by T. Dorsey)
7:34.0,T. Dorsey misses clear path free throw 1 of 2,,30-20,,
7:34.0,Offensive rebound by Team,,30-20,,
7:34.0,T. Dorsey misses clear path free throw 2 of 2,,30-20,,
7:34.0,Offensive rebound by Team,,30-20,,
7:34.0,D. Schroder enters the game for T. Dorsey,,30-20,,
7:34.0,D. Lee enters the game for I. Taylor,,30-20,,
7:23.0,T. Waller-Prince misses 2-pt shot from 2 ft (block by K. Looney),,30-20,,
7:23.0,Offensive rebound by Team,,30-20,,
7:23.0,T. Cavanaugh enters the game for M. Muscala,,30-20,,
7:16.0,Shooting foul by P. McCaw (drawn by T. Waller-Prince),,30-20,,
7:16.0,T. Waller-Prince misses free throw 1 of 2,,30-20,,
7:16.0,Offensive rebound by Team,,30-20,,
7:16.0,,,30-20,,N. Young enters the game for P. McCaw
7:16.0,T. Waller-Prince makes free throw 2 of 2,1,31-20,,
6:58.0,,,31-20,,D. West misses 2-pt shot from 18 ft
6:55.0,Defensive rebound by D. Dedmon,,31-20,,
6:49.0,T. Waller-Prince makes 2-pt shot from 1 ft (assist by D. Schroder),2,33-20,,
6:49.0,,,33-20,,Golden State full timeout
6:49.0,,,33-20,,A. Iguodala enters the game for K. Looney
6:49.0,,,33-20,,S. Curry enters the game for S. Livingston
6:49.0,J. Collins enters the game for T. Cavanaugh,,33-20,,
6:34.0,Personal foul by D. Schroder (drawn by S. Curry),,33-20,,
6:26.0,,,33-22,2,S. Curry makes 2-pt shot from 16 ft (assist by D. West)
6:12.0,D. Schroder makes 2-pt shot from 2 ft,2,35-22,,
6:04.0,,,35-22,,Turnover by S. Curry (bad pass; steal by T. Waller-Prince)
5:49.0,D. Schroder makes 2-pt shot from 18 ft,2,37-22,,
5:28.0,,,37-24,2,S. Curry makes 2-pt shot from 12 ft (assist by A. Iguodala)
5:13.0,Turnover by J. Collins (out of bounds lost ball),,37-24,,
5:13.0,,,37-24,,J. Bell enters the game for D. West
5:05.0,,,37-26,2,S. Curry makes 2-pt shot from 17 ft
4:40.0,D. Schroder misses 3-pt shot from 26 ft,,37-26,,
4:37.0,,,37-26,,Defensive rebound by S. Curry
4:27.0,,,37-29,3,N. Young makes 3-pt shot from 26 ft (assist by J. Bell)
4:23.0,Atlanta full timeout,,37-29,,
4:09.0,Turnover by D. Schroder (bad pass; steal by A. Iguodala),,37-29,,
4:04.0,,,37-32,3,N. Young makes 3-pt shot from 25 ft (assist by Q. Cook)
3:47.0,,,37-32,,Personal foul by N. Young (drawn by T. Waller-Prince)
3:47.0,T. Waller-Prince makes free throw 1 of 2,1,38-32,,
3:47.0,M. Muscala enters the game for D. Dedmon,,38-32,,
3:47.0,I. Taylor enters the game for D. Schroder,,38-32,,
3:47.0,T. Waller-Prince makes free throw 2 of 2,1,39-32,,
3:38.0,,,39-32,,Shooting foul by D. Lee (drawn by S. Curry)
3:38.0,,,39-33,1,S. Curry makes free throw 1 of 3
3:38.0,,,39-34,1,S. Curry makes free throw 2 of 3
3:38.0,,,39-35,1,S. Curry makes free throw 3 of 3
3:28.0,D. Lee makes 3-pt shot from 28 ft (assist by I. Taylor),2,42-35,,
3:16.0,,,42-35,,N. Young misses 3-pt shot from 24 ft
3:14.0,Defensive rebound by J. Collins,,42-35,,
3:10.0,,,42-35,,Personal foul by A. Iguodala (drawn by T. Waller-Prince)
3:10.0,T. Waller-Prince misses free throw 1 of 2,,42-35,,
3:10.0,Offensive rebound by Team,,42-35,,
3:10.0,,,42-35,,P. McCaw enters the game for N. Young
3:10.0,T. Dorsey enters the game for D. Lee,,42-35,,
3:10.0,T. Waller-Prince makes free throw 2 of 2,1,43-35,,
2:55.0,,,43-37,2,P. McCaw makes 2-pt shot at rim
2:48.0,T. Waller-Prince misses 2-pt shot from 10 ft (block by J. Bell),,43-37,,
2:45.0,,,43-37,,Defensive rebound by J. Bell
2:38.0,,,43-39,2,J. Bell makes 2-pt shot from 2 ft (assist by Q. Cook)
2:38.0,,,43-39,,Shooting foul by T. Waller-Prince (drawn by J. Bell)
2:38.0,D. Lee enters the game for T. Waller-Prince,,43-39,,
2:38.0,,,43-39,,J. Bell misses free throw 1 of 1
2:35.0,Defensive rebound by J. Collins,,43-39,,
2:25.0,J. Collins makes 2-pt shot from 2 ft (assist by I. Taylor),2,45-39,,
2:16.0,,,45-39,,S. Curry misses 3-pt shot from 25 ft
2:11.0,Defensive rebound by I. Taylor,,45-39,,
2:09.0,Shooting foul by Q. Cook (drawn by I. Taylor),,45-39,,
2:09.0,I. Taylor misses free throw 1 of 2,,45-39,,
2:09.0,Offensive rebound by Team,,45-39,,
2:09.0,D. Dedmon enters the game for J. Collins,,45-39,,
2:09.0,I. Taylor makes free throw 2 of 2,1,46-39,,
1:48.0,,,46-41,2,S. Curry makes 2-pt shot from 15 ft (assist by Q. Cook)
1:31.0,D. Lee makes 3-pt shot from 23 ft (assist by M. Muscala),3,49-41,,
1:11.0,,,49-41,,P. McCaw misses 3-pt shot from 25 ft
1:05.0,Defensive rebound by I. Taylor,,49-41,,
0:55.0,D. Lee makes 2-pt shot from 10 ft (assist by T. Dorsey),2,51-41,,
0:42.0,,,51-41,,Q. Cook misses 2-pt shot from 15 ft
0:40.0,Defensive rebound by D. Dedmon,,51-41,,
0:30.0,Turnover by D. Lee (offensive goaltending),,51-41,,
0:28.0,,,51-41,,K. Looney enters the game for P. McCaw
0:05.0,,,51-43,2,J. Bell makes 2-pt shot from 1 ft (assist by Q. Cook)
0:01.0,T. Dorsey misses 3-pt shot from 26 ft,,51-43,,
0:00.0,,,51-43,,Defensive rebound by A. Iguodala
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,Turnover by T. Waller-Prince (bad pass; steal by J. Bell),,51-43,,
11:43.0,,,51-45,2,J. Bell makes 2-pt shot from 2 ft
11:21.0,D. Dedmon misses 3-pt shot from 23 ft,,51-45,,
11:17.0,Offensive rebound by J. Collins,,51-45,,
11:15.0,D. Lee misses 3-pt shot from 23 ft,,51-45,,
11:12.0,,,51-45,,Defensive rebound by N. Young
10:58.0,,,51-48,3,S. Curry makes 3-pt shot from 26 ft
10:42.0,T. Waller-Prince misses 2-pt shot from 11 ft,,51-48,,
10:40.0,,,51-48,,Defensive rebound by Z. Pachulia
10:31.0,Personal foul by T. Waller-Prince (drawn by Z. Pachulia),,51-48,,
10:25.0,,,51-48,,S. Curry misses 3-pt shot from 26 ft
10:21.0,Defensive rebound by D. Lee,,51-48,,
10:13.0,T. Waller-Prince misses 2-pt shot from 8 ft,,51-48,,
10:13.0,,,51-48,,Defensive rebound by Team
10:09.0,Loose ball foul by T. Waller-Prince (drawn by Z. Pachulia),,51-48,,
10:01.0,,,51-48,,N. Young misses 3-pt shot from 26 ft
9:56.0,,,51-48,,Offensive rebound by Z. Pachulia
9:55.0,,,51-48,,P. McCaw misses 3-pt shot from 27 ft
9:53.0,Defensive rebound by Team,,51-48,,
9:42.0,D. Schroder makes 2-pt shot from 1 ft,2,53-48,,
9:32.0,,,53-50,2,S. Curry makes 2-pt shot from 18 ft (assist by P. McCaw)
9:16.0,,,53-50,,Personal foul by S. Curry (drawn by D. Schroder)
9:02.0,D. Lee misses 3-pt shot from 27 ft,,53-50,,
8:57.0,,,53-50,,Defensive rebound by S. Curry
8:56.0,,,53-50,,N. Young misses 2-pt shot from 2 ft (block by T. Waller-Prince)
8:54.0,,,53-50,,Offensive rebound by N. Young
8:50.0,,,53-50,,N. Young misses 3-pt shot from 22 ft
8:44.0,Defensive rebound by D. Dedmon,,53-50,,
8:40.0,D. Lee makes 2-pt shot from 1 ft (assist by T. Waller-Prince),2,55-50,,
8:21.0,,,55-50,,P. McCaw misses 2-pt shot from 19 ft
8:18.0,Defensive rebound by D. Lee,,55-50,,
8:10.0,D. Schroder misses 2-pt shot from 2 ft (block by S. Curry),,55-50,,
8:10.0,Offensive rebound by Team,,55-50,,
8:10.0,T. Dorsey enters the game for T. Waller-Prince,,55-50,,
8:05.0,D. Dedmon misses 2-pt shot from 18 ft,,55-50,,
8:02.0,,,55-50,,Defensive rebound by Z. Pachulia
7:56.0,,,55-50,,S. Curry misses 2-pt shot from 3 ft
7:50.0,Defensive rebound by D. Dedmon,,55-50,,
7:46.0,D. Dedmon makes 2-pt shot from 2 ft (assist by D. Lee),2,57-50,,
7:23.0,,,57-53,3,N. Young makes 3-pt shot from 27 ft (assist by P. McCaw)
7:12.0,T. Dorsey makes 3-pt shot from 24 ft,3,60-53,,
7:01.0,Personal foul by D. Dedmon (drawn by Z. Pachulia),,60-53,,
6:53.0,,,60-53,,Offensive foul by Z. Pachulia (drawn by D. Dedmon)
6:53.0,,,60-53,,Turnover by Z. Pachulia (offensive foul)
6:53.0,,,60-53,,Golden State full timeout
6:31.0,Turnover by D. Schroder (bad pass; steal by Z. Pachulia),,60-53,,
6:25.0,,,60-53,,Offensive charge foul by P. McCaw (drawn by D. Dedmon)
6:25.0,,,60-53,,Turnover by P. McCaw (offensive foul)
6:25.0,,,60-53,,A. Iguodala enters the game for P. McCaw
6:12.0,D. Dedmon misses 3-pt shot from 25 ft,,60-53,,
6:06.0,,,60-53,,Defensive rebound by Z. Pachulia
5:53.0,,,60-56,3,S. Curry makes 3-pt shot from 26 ft (assist by A. Iguodala)
5:26.0,J. Collins misses 2-pt shot from 1 ft,,60-56,,
5:23.0,,,60-56,,Defensive rebound by Z. Pachulia
5:17.0,,,60-58,2,J. Bell makes 2-pt shot from 11 ft (assist by A. Iguodala)
5:16.0,Atlanta full timeout,,60-58,,
5:16.0,M. Muscala enters the game for J. Collins,,60-58,,
5:01.0,D. Schroder makes 2-pt shot from 21 ft (assist by D. Dedmon),2,62-58,,
4:35.0,,,62-58,,Z. Pachulia misses 2-pt shot from 20 ft
4:31.0,,,62-58,,Offensive rebound by S. Curry
4:30.0,,,62-60,2,S. Curry makes 2-pt shot from 3 ft
4:07.0,T. Dorsey makes 2-pt shot from 1 ft (assist by M. Muscala),2,64-60,,
3:55.0,,,64-60,,Shooting foul by T. Dorsey (drawn by S. Curry)
3:55.0,,,64-61,1,S. Curry makes free throw 1 of 2
3:55.0,,,64-61,,J. McGee enters the game for J. Bell
3:55.0,,,64-61,,Q. Cook enters the game for N. Young
3:55.0,,,64-61,,K. Looney enters the game for Z. Pachulia
3:55.0,A. White enters the game for D. Lee,,64-61,,
3:55.0,I. Taylor enters the game for D. Schroder,,64-61,,
3:55.0,,,64-62,1,S. Curry makes free throw 2 of 2
3:40.0,T. Dorsey misses 3-pt shot from 25 ft,,64-62,,
3:37.0,,,64-62,,Defensive rebound by J. McGee
3:34.0,T. Cavanaugh enters the game for D. Dedmon,,64-62,,
3:30.0,,,64-65,3,S. Curry makes 3-pt shot from 25 ft (assist by A. Iguodala)
3:30.0,,,64-65,,Shooting foul by T. Dorsey (drawn by S. Curry)
3:30.0,,,64-66,1,S. Curry makes free throw 1 of 1
3:09.0,Shooting foul by J. McGee (drawn by M. Muscala),,64-66,,
3:09.0,M. Muscala makes free throw 1 of 2,1,65-66,,
3:09.0,,,65-66,,S. Livingston enters the game for S. Curry
3:09.0,M. Muscala makes free throw 2 of 2,1,66-66,,
2:58.0,,,66-69,3,Q. Cook makes 3-pt shot from 27 ft (assist by K. Looney)
2:45.0,I. Taylor misses 2-pt shot from 11 ft,,66-69,,
2:42.0,Offensive rebound by M. Muscala,,66-69,,
2:40.0,M. Muscala makes 2-pt shot from 8 ft,2,68-69,,
2:34.0,Personal foul by I. Taylor (drawn by Q. Cook),,68-69,,
2:34.0,,,68-70,1,Q. Cook makes free throw 1 of 2
2:34.0,,,68-71,1,Q. Cook makes free throw 2 of 2
2:19.0,T. Dorsey misses 2-pt shot from 3 ft (block by S. Livingston),,68-71,,
2:14.0,,,68-71,,Defensive rebound by K. Looney
2:06.0,,,68-73,2,J. McGee makes 2-pt shot from 10 ft (assist by A. Iguodala)
1:51.0,A. White makes 3-pt shot from 23 ft (assist by I. Taylor),3,71-73,,
1:35.0,,,71-75,2,K. Looney makes 2-pt shot from 20 ft (assist by J. McGee)
1:18.0,Turnover by I. Taylor (lost ball; steal by S. Livingston),,71-75,,
1:06.0,,,71-77,2,Q. Cook makes 2-pt shot from 2 ft
1:06.0,Atlanta full timeout,,71-77,,
1:06.0,T. Waller-Prince enters the game for T. Dorsey,,71-77,,
1:06.0,J. Collins enters the game for I. Taylor,,71-77,,
1:06.0,D. Schroder enters the game for T. Cavanaugh,,71-77,,
0:57.0,D. Schroder misses 2-pt shot from 16 ft,,71-77,,
0:53.0,,,71-77,,Defensive rebound by K. Looney
0:43.0,,,71-77,,J. McGee misses 2-pt shot from 10 ft
0:39.0,Defensive rebound by D. Schroder,,71-77,,
0:31.0,Turnover by A. White (bad pass; steal by K. Looney),,71-77,,
0:26.0,,,71-77,,Q. Cook misses 2-pt shot from 1 ft
0:21.0,Defensive rebound by M. Muscala,,71-77,,
0:18.0,T. Waller-Prince makes 3-pt shot from 24 ft (assist by D. Schroder),3,74-77,,
0:03.0,,,74-79,2,J. McGee makes 2-pt shot from 2 ft (assist by Q. Cook)
0:01.0,D. Schroder misses 2-pt shot from 20 ft,,74-79,,
0:00.0,Offensive rebound by Team,,74-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,74-79,,K. Looney misses 2-pt shot from 9 ft
11:39.0,Defensive rebound by D. Schroder,,74-79,,
11:32.0,Turnover by D. Schroder (lost ball; steal by S. Livingston),,74-79,,
11:27.0,,,74-79,,Q. Cook misses 3-pt shot from 25 ft
11:25.0,,,74-79,,Offensive rebound by S. Livingston
11:25.0,,,74-81,2,D. West makes 2-pt shot from 1 ft (assist by S. Livingston)
11:23.0,I. Taylor enters the game for A. White,,74-81,,
11:23.0,D. Lee enters the game for D. Schroder,,74-81,,
11:07.0,T. Waller-Prince misses 3-pt shot from 26 ft,,74-81,,
11:02.0,,,74-81,,Defensive rebound by A. Iguodala
10:52.0,Personal foul by I. Taylor (drawn by Q. Cook),,74-81,,
10:44.0,,,74-81,,D. West misses 2-pt shot from 11 ft
10:38.0,Defensive rebound by D. Lee,,74-81,,
10:34.0,D. Lee misses 3-pt shot from 25 ft,,74-81,,
10:30.0,,,74-81,,Defensive rebound by Q. Cook
10:20.0,,,74-83,2,D. West makes 2-pt shot from 7 ft (assist by S. Livingston)
10:06.0,T. Waller-Prince makes 3-pt shot from 25 ft (assist by J. Collins),3,77-83,,
9:53.0,,,77-85,2,K. Looney makes 2-pt shot from 7 ft
9:38.0,I. Taylor misses 2-pt shot from 3 ft (block by D. West),,77-85,,
9:38.0,Offensive rebound by Team,,77-85,,
9:38.0,,,77-85,,P. McCaw enters the game for A. Iguodala
9:23.0,T. Waller-Prince makes 3-pt shot from 25 ft (assist by M. Muscala),3,80-85,,
9:04.0,,,80-87,2,S. Livingston makes 2-pt shot from 3 ft (assist by D. West)
8:49.0,M. Muscala makes 3-pt shot from 24 ft (assist by T. Waller-Prince),3,83-87,,
8:22.0,,,83-90,3,P. McCaw makes 3-pt shot from 23 ft (assist by Q. Cook)
7:58.0,Turnover by I. Taylor (bad pass; steal by K. Looney),,83-90,,
7:41.0,,,83-90,,K. Looney misses 2-pt shot from 8 ft
7:36.0,Defensive rebound by D. Lee,,83-90,,
7:19.0,T. Waller-Prince misses 2-pt shot from 3 ft,,83-90,,
7:15.0,,,83-90,,Defensive rebound by D. West
7:09.0,,,83-90,,Turnover by S. Livingston (lost ball; steal by D. Lee)
7:01.0,D. Lee misses 2-pt shot from 6 ft,,83-90,,
6:57.0,,,83-90,,Defensive rebound by Q. Cook
6:54.0,,,83-90,,Golden State full timeout
6:54.0,,,83-90,,J. Bell enters the game for K. Looney
6:54.0,D. Schroder enters the game for D. Lee,,83-90,,
6:54.0,D. Dedmon enters the game for I. Taylor,,83-90,,
6:54.0,T. Dorsey enters the game for M. Muscala,,83-90,,
6:43.0,,,83-90,,D. West misses 2-pt shot from 18 ft
6:39.0,Defensive rebound by D. Schroder,,83-90,,
6:27.0,J. Collins makes 2-pt shot from 2 ft (assist by T. Dorsey),2,85-90,,
6:06.0,,,85-90,,Q. Cook misses 2-pt shot from 15 ft
6:01.0,Defensive rebound by D. Dedmon,,85-90,,
5:45.0,Shooting foul by S. Livingston (drawn by D. Dedmon),,85-90,,
5:45.0,D. Dedmon makes free throw 1 of 2,1,86-90,,
5:45.0,,,86-90,,N. Young enters the game for S. Livingston
5:45.0,D. Dedmon misses free throw 2 of 2,,86-90,,
5:43.0,,,86-90,,Defensive rebound by J. Bell
5:18.0,,,86-90,,Q. Cook misses 2-pt shot from 2 ft
5:15.0,,,86-90,,Offensive rebound by Q. Cook
5:14.0,,,86-90,,P. McCaw misses 3-pt shot from 22 ft
5:11.0,Defensive rebound by D. Dedmon,,86-90,,
4:58.0,Shooting foul by J. Bell (drawn by D. Schroder),,86-90,,
4:58.0,D. Schroder misses free throw 1 of 2,,86-90,,
4:58.0,Offensive rebound by Team,,86-90,,
4:58.0,D. Schroder misses free throw 2 of 2,,86-90,,
4:56.0,,,86-90,,Defensive rebound by J. Bell
4:43.0,,,86-92,2,N. Young makes 2-pt shot from 16 ft (assist by J. Bell)
4:17.0,J. Collins misses 3-pt shot from 23 ft,,86-92,,
