time,LA Lakers,pts.away,score,pts.home,Portland
6:10.0,K. Kuzma enters the game for L. Nance,,12-20,,
5:59.0,,,12-20,,Turnover by J. Nurkic (bad pass; steal by B. Ingram)
5:41.0,B. Lopez misses 2-pt shot from 2 ft,,12-20,,
5:38.0,,,12-20,,Defensive rebound by J. Nurkic
5:21.0,,,12-22,2,J. Nurkic makes 2-pt shot from 1 ft (assist by C. McCollum)
5:09.0,K. Kuzma makes 2-pt shot from 2 ft,2,14-22,,
5:09.0,Shooting foul by J. Nurkic (drawn by K. Kuzma),,14-22,,
5:09.0,,,14-22,,E. Turner enters the game for C. McCollum
5:09.0,,,14-22,,P. Connaughton enters the game for N. Vonleh
5:09.0,K. Kuzma makes free throw 1 of 1,1,15-22,,
4:56.0,,,15-24,2,J. Nurkic makes 2-pt shot from 2 ft (assist by D. Lillard)
4:47.0,L. Ball misses 2-pt shot from 18 ft,,15-24,,
4:40.0,Offensive rebound by K. Kuzma,,15-24,,
4:39.0,K. Kuzma makes 2-pt shot from 8 ft,2,17-24,,
4:30.0,,,17-24,,D. Lillard misses 2-pt shot from 14 ft
4:27.0,Defensive rebound by K. Caldwell-Pope,,17-24,,
4:14.0,K. Kuzma makes 2-pt shot from 1 ft (assist by L. Ball),2,19-24,,
4:14.0,Shooting foul by P. Connaughton (drawn by K. Kuzma),,19-24,,
4:14.0,,,19-24,,E. Davis enters the game for J. Nurkic
4:14.0,J. Clarkson enters the game for L. Ball,,19-24,,
4:14.0,J. Randle enters the game for B. Lopez,,19-24,,
4:14.0,K. Kuzma misses free throw 1 of 1,,19-24,,
4:12.0,,,19-24,,Defensive rebound by E. Davis
4:00.0,,,19-26,2,E. Turner makes 2-pt shot from 19 ft
3:31.0,J. Randle makes 2-pt shot from 17 ft,2,21-26,,
3:19.0,,,21-26,,Shooting foul by B. Ingram (drawn by D. Lillard)
3:19.0,,,21-27,1,D. Lillard makes free throw 1 of 2
3:19.0,,,21-27,,Z. Collins enters the game for M. Harkless
3:19.0,,,21-28,1,D. Lillard makes free throw 2 of 2
3:01.0,J. Clarkson makes 2-pt shot from 6 ft,2,23-28,,
2:46.0,,,23-28,,Shooting foul by J. Randle (drawn by P. Connaughton)
2:46.0,,,23-28,,Portland full timeout
2:46.0,J. Hart enters the game for K. Caldwell-Pope,,23-28,,
2:46.0,C. Brewer enters the game for B. Ingram,,23-28,,
2:46.0,,,23-28,,P. Connaughton misses free throw 1 of 2
2:46.0,,,23-28,,Offensive rebound by Team
2:46.0,,,23-29,1,P. Connaughton makes free throw 2 of 2
2:35.0,K. Kuzma misses 2-pt shot from 20 ft,,23-29,,
2:33.0,,,23-29,,Defensive rebound by E. Turner
2:23.0,,,23-32,3,P. Connaughton makes 3-pt shot from 22 ft (assist by E. Turner)
2:21.0,LA Lakers full timeout,,23-32,,
2:21.0,,,23-32,,C. McCollum enters the game for D. Lillard
2:09.0,K. Kuzma misses 3-pt shot from 25 ft,,23-32,,
2:06.0,,,23-32,,Defensive rebound by E. Davis
1:54.0,,,23-35,3,P. Connaughton makes 3-pt shot from 24 ft (assist by E. Turner)
1:38.0,J. Hart misses 3-pt shot from 22 ft,,23-35,,
1:36.0,,,23-35,,Defensive rebound by E. Davis
1:26.0,,,23-35,,E. Turner misses 2-pt shot from 14 ft (block by K. Kuzma)
1:24.0,,,23-35,,Offensive rebound by E. Turner
1:21.0,,,23-35,,E. Turner misses 2-pt shot from 9 ft
1:17.0,Defensive rebound by C. Brewer,,23-35,,
1:12.0,J. Hart misses 2-pt shot from 1 ft,,23-35,,
1:10.0,,,23-35,,Defensive rebound by E. Turner
0:55.0,,,23-38,3,C. McCollum makes 3-pt shot from 24 ft
0:44.0,J. Clarkson misses 2-pt shot from 17 ft,,23-38,,
0:42.0,,,23-38,,Defensive rebound by Z. Collins
0:31.0,,,23-41,3,C. McCollum makes 3-pt shot from 25 ft
0:25.0,J. Randle makes 2-pt shot from 3 ft,2,25-41,,
0:01.0,,,25-41,,C. McCollum misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by J. Hart,,25-41,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,25-43,2,E. Turner makes 2-pt shot from 8 ft
11:29.0,J. Hart misses 2-pt shot from 15 ft,,25-43,,
11:27.0,,,25-43,,Defensive rebound by E. Davis
11:17.0,Personal foul by J. Clarkson (drawn by Z. Collins),,25-43,,
11:07.0,,,25-43,,C. McCollum misses 2-pt shot from 5 ft
11:05.0,Defensive rebound by J. Randle,,25-43,,
11:00.0,J. Randle misses 2-pt shot from 4 ft,,25-43,,
10:58.0,,,25-43,,Defensive rebound by E. Davis
10:54.0,,,25-43,,Turnover by E. Turner (lost ball; steal by J. Hart)
10:51.0,Shooting foul by C. McCollum (drawn by J. Hart),,25-43,,
10:51.0,J. Hart makes free throw 1 of 2,1,26-43,,
10:51.0,J. Hart makes free throw 2 of 2,1,27-43,,
10:39.0,,,27-43,,Shooting foul by K. Kuzma (drawn by E. Davis)
10:39.0,,,27-44,1,E. Davis makes free throw 1 of 2
10:39.0,,,27-44,,E. Davis misses free throw 2 of 2
10:37.0,Defensive rebound by J. Randle,,27-44,,
10:28.0,,,27-44,,Personal foul by C. McCollum (drawn by K. Kuzma)
10:21.0,J. Clarkson misses 2-pt shot from 3 ft (block by E. Davis),,27-44,,
10:17.0,,,27-44,,Defensive rebound by E. Davis
10:10.0,,,27-44,,P. Connaughton misses 3-pt shot from 25 ft
10:10.0,Defensive rebound by K. Kuzma,,27-44,,
10:02.0,K. Kuzma makes 2-pt shot from 1 ft,2,29-44,,
9:53.0,,,29-44,,C. McCollum misses 3-pt shot from 25 ft
9:51.0,Defensive rebound by J. Randle,,29-44,,
9:40.0,J. Randle makes 2-pt shot from 1 ft,2,31-44,,
9:21.0,,,31-46,2,E. Turner makes 2-pt shot from 20 ft
9:01.0,J. Clarkson makes 2-pt shot from 18 ft (assist by C. Brewer),2,33-46,,
8:37.0,,,33-46,,Z. Collins misses 2-pt shot from 2 ft
8:33.0,,,33-46,,Offensive rebound by E. Davis
8:33.0,,,33-48,2,E. Davis makes 2-pt shot at rim
8:21.0,K. Kuzma makes 2-pt shot from 1 ft (assist by J. Clarkson),2,35-48,,
8:18.0,,,35-48,,Portland full timeout
8:18.0,,,35-48,,D. Lillard enters the game for Z. Collins
8:18.0,,,35-48,,M. Harkless enters the game for C. McCollum
8:01.0,,,35-48,,P. Connaughton misses 3-pt shot from 24 ft
7:59.0,Defensive rebound by C. Brewer,,35-48,,
7:48.0,J. Hart misses 3-pt shot from 25 ft,,35-48,,
7:44.0,,,35-48,,Defensive rebound by P. Connaughton
7:31.0,,,35-48,,M. Harkless misses 2-pt shot from 1 ft (block by J. Hart)
7:31.0,,,35-48,,Offensive rebound by Team
7:31.0,,,35-48,,J. Nurkic enters the game for E. Davis
7:29.0,K. Caldwell-Pope enters the game for J. Hart,,35-48,,
7:26.0,,,35-48,,P. Connaughton misses 2-pt shot from 2 ft
7:25.0,Defensive rebound by Team,,35-48,,
7:12.0,K. Kuzma misses 3-pt shot from 22 ft,,35-48,,
7:08.0,,,35-48,,Defensive rebound by J. Nurkic
6:59.0,,,35-48,,E. Turner misses 3-pt shot from 25 ft
6:58.0,Defensive rebound by K. Kuzma,,35-48,,
6:44.0,J. Randle makes 2-pt shot from 2 ft,2,37-48,,
6:30.0,,,37-50,2,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard)
6:15.0,J. Clarkson makes 2-pt shot at rim,2,39-50,,
5:58.0,,,39-50,,Shooting foul by J. Randle (drawn by J. Nurkic)
5:58.0,,,39-51,1,J. Nurkic makes free throw 1 of 2
5:58.0,,,39-51,,C. McCollum enters the game for E. Turner
5:58.0,,,39-51,,N. Vonleh enters the game for P. Connaughton
5:58.0,L. Nance enters the game for K. Kuzma,,39-51,,
5:58.0,L. Ball enters the game for C. Brewer,,39-51,,
5:58.0,B. Lopez enters the game for J. Randle,,39-51,,
5:58.0,,,39-52,1,J. Nurkic makes free throw 2 of 2
5:43.0,B. Lopez makes 2-pt shot from 1 ft (assist by J. Clarkson),2,41-52,,
5:29.0,,,41-52,,D. Lillard misses 3-pt shot from 24 ft
5:25.0,Defensive rebound by K. Caldwell-Pope,,41-52,,
5:20.0,B. Lopez makes 2-pt shot from 4 ft,2,43-52,,
5:20.0,Shooting foul by N. Vonleh (drawn by B. Lopez),,43-52,,
5:20.0,B. Lopez makes free throw 1 of 1,1,44-52,,
5:06.0,Personal foul by K. Caldwell-Pope (drawn by M. Harkless),,44-52,,
4:58.0,,,44-54,2,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard)
4:51.0,,,44-54,,Personal foul by N. Vonleh (drawn by B. Lopez)
4:46.0,B. Lopez misses 3-pt shot from 26 ft,,44-54,,
4:44.0,,,44-54,,Defensive rebound by D. Lillard
4:35.0,,,44-56,2,D. Lillard makes 2-pt shot at rim
4:25.0,J. Clarkson makes 2-pt shot from 19 ft,2,46-56,,
4:11.0,,,46-56,,M. Harkless misses 3-pt shot from 24 ft
4:07.0,Defensive rebound by J. Clarkson,,46-56,,
3:55.0,,,46-56,,Personal foul by N. Vonleh (drawn by B. Lopez)
3:55.0,B. Lopez makes free throw 1 of 2,1,47-56,,
3:55.0,,,47-56,,E. Turner enters the game for N. Vonleh
3:55.0,B. Ingram enters the game for J. Clarkson,,47-56,,
3:55.0,B. Lopez makes free throw 2 of 2,1,48-56,,
3:43.0,,,48-58,2,D. Lillard makes 2-pt shot from 1 ft (assist by J. Nurkic)
3:31.0,B. Lopez makes 2-pt shot from 1 ft,2,50-58,,
3:20.0,,,50-58,,J. Nurkic misses 2-pt shot from 9 ft
3:18.0,Defensive rebound by L. Nance,,50-58,,
3:12.0,Shooting foul by D. Lillard (drawn by K. Caldwell-Pope),,50-58,,
3:12.0,K. Caldwell-Pope makes free throw 1 of 2,1,51-58,,
3:12.0,K. Caldwell-Pope makes free throw 2 of 2,1,52-58,,
2:56.0,,,52-58,,D. Lillard misses 2-pt shot from 6 ft
2:54.0,Defensive rebound by B. Lopez,,52-58,,
2:49.0,B. Ingram makes 2-pt shot from 1 ft,2,54-58,,
2:33.0,,,54-60,2,J. Nurkic makes 2-pt shot from 4 ft (assist by E. Turner)
2:17.0,B. Ingram misses 2-pt shot from 1 ft,,54-60,,
2:15.0,,,54-60,,Defensive rebound by E. Turner
2:11.0,,,54-60,,Turnover by D. Lillard (bad pass; steal by L. Ball)
2:01.0,L. Nance makes 2-pt shot at rim (assist by K. Caldwell-Pope),2,56-60,,
1:42.0,,,56-62,2,J. Nurkic makes 2-pt shot from 1 ft (assist by C. McCollum)
1:33.0,B. Lopez makes 2-pt shot from 4 ft (assist by B. Ingram),2,58-62,,
1:11.0,,,58-62,,C. McCollum misses 2-pt shot from 3 ft
1:10.0,Defensive rebound by L. Nance,,58-62,,
0:59.0,K. Caldwell-Pope misses 2-pt shot at rim,,58-62,,
0:59.0,Offensive rebound by Team,,58-62,,
0:58.0,LA Lakers full timeout,,58-62,,
0:57.0,Jump ball: M. Harkless vs. L. Nance (K. Caldwell-Pope gains possession),,,,Jump ball: M. Harkless vs. L. Nance (K. Caldwell-Pope gains possession)
0:38.0,L. Ball misses 3-pt shot from 27 ft (block by M. Harkless),,58-62,,
0:36.0,,,58-62,,Defensive rebound by Team
0:36.0,Loose ball foul by L. Nance (drawn by D. Lillard),,58-62,,
0:36.0,,,58-63,1,D. Lillard makes free throw 1 of 2
0:36.0,K. Kuzma enters the game for L. Nance,,58-63,,
0:36.0,,,58-64,1,D. Lillard makes free throw 2 of 2
0:27.0,B. Lopez makes 2-pt shot at rim (assist by L. Ball),2,60-64,,
0:09.0,,,60-64,,J. Nurkic misses 2-pt shot from 1 ft
0:08.0,,,60-64,,Offensive rebound by M. Harkless
0:08.0,,,60-66,2,M. Harkless makes 2-pt shot at rim
0:00.0,B. Ingram makes 2-pt shot from 1 ft,2,62-66,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,62-66,,Z. Collins misses 3-pt shot from 25 ft
11:44.0,Defensive rebound by B. Ingram,,62-66,,
11:33.0,,,62-66,,Personal foul by M. Harkless (drawn by B. Ingram)
11:27.0,B. Lopez misses 2-pt shot from 14 ft,,62-66,,
11:24.0,,,62-66,,Defensive rebound by J. Nurkic
11:15.0,,,62-66,,C. McCollum misses 2-pt shot from 16 ft
11:13.0,Defensive rebound by B. Lopez,,62-66,,
10:58.0,,,62-66,,Personal foul by D. Lillard (drawn by B. Ingram)
10:53.0,B. Ingram makes 2-pt shot from 20 ft (assist by K. Caldwell-Pope),2,64-66,,
10:27.0,,,64-68,2,J. Nurkic makes 2-pt shot from 21 ft (assist by C. McCollum)
10:13.0,Shooting foul by Z. Collins (drawn by B. Ingram),,64-68,,
10:13.0,B. Ingram misses free throw 1 of 2,,64-68,,
10:13.0,Offensive rebound by Team,,64-68,,
10:13.0,B. Ingram makes free throw 2 of 2,1,65-68,,
9:53.0,,,65-68,,Turnover by J. Nurkic (traveling)
9:38.0,Shooting foul by Z. Collins (drawn by B. Lopez),,65-68,,
9:38.0,B. Lopez misses free throw 1 of 2,,65-68,,
9:38.0,Offensive rebound by Team,,65-68,,
9:38.0,B. Lopez makes free throw 2 of 2,1,66-68,,
9:20.0,,,66-68,,D. Lillard misses 2-pt shot from 22 ft
9:18.0,Defensive rebound by L. Ball,,66-68,,
9:09.0,B. Ingram misses 2-pt shot from 8 ft,,66-68,,
9:07.0,,,66-68,,Defensive rebound by J. Nurkic
8:59.0,,,66-68,,D. Lillard misses 2-pt shot at rim (block by L. Ball)
8:56.0,,,66-68,,Offensive rebound by D. Lillard
8:53.0,,,66-68,,J. Nurkic misses 2-pt shot from 16 ft
8:52.0,Defensive rebound by Team,,66-68,,
8:33.0,B. Ingram makes 2-pt shot from 19 ft,2,68-68,,
8:15.0,,,68-68,,C. McCollum misses 2-pt shot from 14 ft (block by B. Lopez)
8:14.0,,,68-68,,Offensive rebound by Team
8:14.0,,,68-68,,Portland full timeout
8:14.0,,,68-68,,N. Vonleh enters the game for Z. Collins
8:07.0,,,68-68,,N. Vonleh misses 2-pt shot from 3 ft
8:05.0,Defensive rebound by K. Caldwell-Pope,,68-68,,
7:51.0,K. Caldwell-Pope makes 3-pt shot from 25 ft,3,71-68,,
7:28.0,,,71-68,,J. Nurkic misses 2-pt shot from 5 ft
7:28.0,Defensive rebound by Team,,71-68,,
7:28.0,,,71-68,,Loose ball foul by N. Vonleh (drawn by L. Nance)
7:28.0,L. Nance misses free throw 1 of 2,,71-68,,
7:28.0,Offensive rebound by Team,,71-68,,
7:28.0,,,71-68,,C. Swanigan enters the game for N. Vonleh
7:28.0,L. Nance makes free throw 2 of 2,1,72-68,,
7:16.0,,,72-68,,D. Lillard misses 3-pt shot from 25 ft
7:14.0,Defensive rebound by B. Ingram,,72-68,,
7:03.0,,,72-68,,Personal foul by J. Nurkic (drawn by B. Ingram)
7:03.0,B. Ingram makes free throw 1 of 2,1,73-68,,
7:03.0,B. Ingram makes free throw 2 of 2,1,74-68,,
6:48.0,Personal foul by B. Ingram (drawn by M. Harkless),,74-68,,
6:48.0,,,74-68,,E. Turner enters the game for M. Harkless
6:43.0,,,74-71,3,C. McCollum makes 3-pt shot from 25 ft (assist by E. Turner)
6:43.0,,,74-71,,Shooting foul by K. Caldwell-Pope (drawn by C. McCollum)
6:43.0,,,74-72,1,C. McCollum makes free throw 1 of 1
6:24.0,K. Caldwell-Pope misses 2-pt shot from 18 ft,,74-72,,
6:22.0,,,74-72,,Defensive rebound by D. Lillard
6:11.0,,,74-72,,Offensive charge foul by J. Nurkic (drawn by L. Nance)
6:11.0,,,74-72,,Turnover by J. Nurkic (offensive foul)
6:11.0,,,74-72,,E. Davis enters the game for J. Nurkic
5:58.0,L. Nance makes 2-pt shot at rim (assist by B. Lopez),2,76-72,,
5:35.0,,,76-72,,Portland full timeout
5:33.0,,,76-72,,Turnover by E. Turner (bad pass; steal by K. Caldwell-Pope)
5:29.0,K. Caldwell-Pope makes 2-pt shot at rim,2,78-72,,
5:14.0,,,78-74,2,D. Lillard makes 2-pt shot from 8 ft (assist by C. McCollum)
4:58.0,Turnover by B. Ingram (bad pass),,78-74,,
4:40.0,,,78-74,,C. Swanigan misses 2-pt shot from 1 ft (block by L. Nance)
4:40.0,,,78-74,,Offensive rebound by Team
4:30.0,,,78-74,,C. McCollum misses 2-pt shot from 14 ft
4:27.0,Defensive rebound by L. Nance,,78-74,,
4:10.0,B. Lopez makes 2-pt shot from 5 ft,2,80-74,,
3:56.0,,,80-74,,D. Lillard misses 2-pt shot from 1 ft
3:56.0,,,80-74,,C. Swanigan misses 2-pt shot from 1 ft (block by L. Ball)
3:56.0,,,80-74,,Offensive rebound by E. Davis
3:50.0,,,80-74,,Offensive rebound by C. Swanigan
3:45.0,,,80-74,,Shooting foul by L. Nance (drawn by C. Swanigan)
3:45.0,,,80-74,,C. Swanigan misses free throw 1 of 2
3:45.0,,,80-74,,Offensive rebound by Team
3:45.0,,,80-74,,P. Connaughton enters the game for C. McCollum
3:45.0,K. Kuzma enters the game for L. Nance,,80-74,,
3:45.0,,,80-75,1,C. Swanigan makes free throw 2 of 2
3:28.0,K. Kuzma misses 2-pt shot from 14 ft,,80-75,,
3:25.0,,,80-75,,Defensive rebound by C. Swanigan
3:18.0,,,80-75,,Shooting foul by K. Kuzma (drawn by D. Lillard)
3:18.0,,,80-76,1,D. Lillard makes free throw 1 of 2
3:18.0,J. Clarkson enters the game for L. Ball,,80-76,,
3:18.0,,,80-77,1,D. Lillard makes free throw 2 of 2
2:55.0,K. Kuzma misses 3-pt shot from 24 ft,,80-77,,
2:53.0,,,80-77,,Defensive rebound by E. Turner
2:47.0,,,80-79,2,P. Connaughton makes 2-pt shot from 1 ft (assist by E. Turner)
2:34.0,Turnover by B. Lopez (bad pass),,80-79,,
2:22.0,,,80-79,,Shooting foul by B. Lopez (drawn by D. Lillard)
2:22.0,,,80-80,1,D. Lillard makes free throw 1 of 2
2:22.0,,,80-81,1,D. Lillard makes free throw 2 of 2
2:08.0,K. Kuzma makes 2-pt shot from 2 ft (assist by B. Ingram),2,82-81,,
1:56.0,Personal foul by K. Caldwell-Pope (drawn by D. Lillard),,82-81,,
1:56.0,,,82-82,1,D. Lillard makes free throw 1 of 2
1:56.0,J. Randle enters the game for B. Lopez,,82-82,,
1:56.0,,,82-83,1,D. Lillard makes free throw 2 of 2
1:35.0,Shooting foul by C. Swanigan (drawn by B. Ingram),,82-83,,
1:35.0,B. Ingram misses free throw 1 of 2,,82-83,,
1:35.0,Offensive rebound by Team,,82-83,,
1:35.0,B. Ingram makes free throw 2 of 2,1,83-83,,
1:22.0,,,83-83,,Turnover by P. Connaughton (offensive goaltending)
1:00.0,J. Randle misses 2-pt shot from 20 ft,,83-83,,
0:58.0,,,83-83,,Defensive rebound by E. Turner
0:47.0,,,83-83,,Turnover by E. Turner (lost ball; steal by B. Ingram)
0:42.0,Turnover by K. Caldwell-Pope (bad pass),,83-83,,
0:33.0,,,83-85,2,D. Lillard makes 2-pt shot from 1 ft
0:28.0,J. Clarkson makes 2-pt shot at rim,2,85-85,,
0:04.0,,,85-85,,D. Lillard misses 2-pt shot from 3 ft
0:01.0,,,85-85,,Offensive rebound by C. Swanigan
0:01.0,,,85-87,2,C. Swanigan makes 2-pt shot at rim
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,K. Kuzma makes 2-pt shot at rim (assist by J. Clarkson),2,87-87,,
11:29.0,,,87-89,2,E. Davis makes 2-pt shot from 7 ft
11:15.0,J. Clarkson makes 2-pt shot from 18 ft,2,89-89,,
11:01.0,,,89-89,,Shooting foul by K. Kuzma (drawn by E. Davis)
11:01.0,,,89-90,1,E. Davis makes free throw 1 of 2
11:01.0,,,89-90,,C. McCollum enters the game for D. Lillard
11:01.0,,,89-91,1,E. Davis makes free throw 2 of 2
10:43.0,C. Brewer makes 2-pt shot from 2 ft,2,91-91,,
10:23.0,,,91-91,,E. Davis misses 2-pt shot from 6 ft
10:19.0,Defensive rebound by J. Randle,,91-91,,
10:13.0,K. Kuzma makes 3-pt shot from 24 ft (assist by J. Clarkson),3,94-91,,
9:47.0,,,94-91,,E. Turner misses 2-pt shot from 7 ft
9:47.0,,,94-91,,Offensive rebound by Team
9:47.0,Loose ball foul by C. Brewer (drawn by E. Davis),,94-91,,
9:39.0,Personal foul by J. Clarkson (drawn by C. McCollum),,94-91,,
9:28.0,,,94-91,,C. McCollum misses 2-pt shot from 2 ft (block by C. Brewer)
9:27.0,Defensive rebound by C. Brewer,,94-91,,
9:22.0,Shooting foul by C. Swanigan (drawn by J. Clarkson),,94-91,,
9:22.0,J. Clarkson misses free throw 1 of 2,,94-91,,
9:22.0,Offensive rebound by Team,,94-91,,
9:22.0,J. Clarkson misses free throw 2 of 2,,94-91,,
9:20.0,,,94-91,,Defensive rebound by C. Swanigan
9:04.0,,,94-91,,Turnover by E. Turner (bad pass; steal by J. Hart)
9:01.0,J. Clarkson misses 3-pt shot from 24 ft,,94-91,,
8:58.0,,,94-91,,Defensive rebound by E. Turner
8:52.0,,,94-91,,E. Turner misses 2-pt shot from 11 ft
8:50.0,Defensive rebound by J. Randle,,94-91,,
8:46.0,Turnover by J. Randle (bad pass; steal by C. McCollum),,94-91,,
8:40.0,,,94-93,2,C. Swanigan makes 2-pt shot from 1 ft (assist by E. Davis)
8:23.0,K. Kuzma makes 2-pt shot from 19 ft,2,96-93,,
8:00.0,,,96-93,,C. McCollum misses 3-pt shot from 25 ft
7:59.0,Defensive rebound by C. Brewer,,96-93,,
7:47.0,Shooting foul by P. Connaughton (drawn by J. Clarkson),,96-93,,
7:47.0,J. Clarkson makes free throw 1 of 2,1,97-93,,
7:47.0,,,97-93,,J. Nurkic enters the game for E. Turner
7:47.0,,,97-93,,D. Lillard enters the game for E. Davis
7:47.0,J. Clarkson makes free throw 2 of 2,1,98-93,,
7:32.0,,,98-93,,Turnover by C. McCollum (bad pass; steal by C. Brewer)
7:28.0,Turnover by C. Brewer (lost ball; steal by J. Nurkic),,98-93,,
7:25.0,,,98-93,,D. Lillard misses 3-pt shot from 28 ft
7:21.0,,,98-93,,Offensive rebound by D. Lillard
7:10.0,,,98-93,,P. Connaughton misses 3-pt shot from 22 ft
7:08.0,Defensive rebound by J. Randle,,98-93,,
7:08.0,LA Lakers full timeout,,98-93,,
7:08.0,,,98-93,,M. Harkless enters the game for P. Connaughton
7:08.0,B. Ingram enters the game for C. Brewer,,98-93,,
7:04.0,Jump ball: C. Swanigan vs. J. Randle (C. McCollum gains possession),,,,Jump ball: C. Swanigan vs. J. Randle (C. McCollum gains possession)
7:04.0,Turnover by J. Randle (turnover; steal by C. Swanigan),,98-93,,
7:01.0,,,98-93,,J. Nurkic misses 2-pt shot from 2 ft (block by J. Randle)
6:59.0,,,98-93,,Offensive rebound by J. Nurkic
6:58.0,,,98-95,2,J. Nurkic makes 2-pt shot from 1 ft
6:32.0,Turnover by K. Kuzma (lost ball; steal by C. Swanigan),,98-95,,
6:20.0,,,98-97,2,J. Nurkic makes 2-pt shot from 7 ft
5:56.0,K. Kuzma misses 2-pt shot from 9 ft,,98-97,,
5:52.0,,,98-97,,Defensive rebound by C. McCollum
5:41.0,,,98-100,3,C. McCollum makes 3-pt shot from 27 ft (assist by J. Nurkic)
5:41.0,LA Lakers full timeout,,98-100,,
5:41.0,,,98-100,,N. Vonleh enters the game for C. Swanigan
5:41.0,K. Caldwell-Pope enters the game for J. Hart,,98-100,,
5:41.0,B. Lopez enters the game for J. Clarkson,,98-100,,
5:41.0,L. Ball enters the game for J. Randle,,98-100,,
5:22.0,Shooting foul by J. Nurkic (drawn by B. Lopez),,98-100,,
5:22.0,B. Lopez makes free throw 1 of 2,1,99-100,,
5:22.0,B. Lopez makes free throw 2 of 2,1,100-100,,
5:02.0,,,100-100,,C. McCollum misses 2-pt shot from 20 ft
5:00.0,Defensive rebound by L. Ball,,100-100,,
4:44.0,B. Lopez makes 3-pt shot from 24 ft (assist by B. Ingram),3,103-100,,
4:18.0,,,103-100,,J. Nurkic misses 2-pt shot from 14 ft
