time,Denver,pts.away,score,pts.home,Milwaukee
4:42.0,,,26-21,2,K. Middleton makes 2-pt shot from 18 ft
4:41.0,Denver full timeout,,26-21,,
4:41.0,,,26-21,,S. Brown enters the game for T. Maker
4:41.0,,,26-21,,T. Zeller enters the game for T. Snell
4:41.0,T. Lyles enters the game for W. Chandler,,26-21,,
4:27.0,J. Murray makes 2-pt shot from 9 ft (assist by N. Jokic),2,28-21,,
4:10.0,,,28-21,,K. Middleton misses 2-pt shot from 4 ft
4:07.0,Defensive rebound by N. Jokic,,28-21,,
4:02.0,,,28-21,,Personal foul by K. Middleton (drawn by J. Murray)
3:55.0,G. Harris makes 3-pt shot from 25 ft (assist by N. Jokic),3,31-21,,
3:39.0,,,31-24,3,J. Parker makes 3-pt shot from 26 ft (assist by S. Brown)
3:24.0,,,31-24,,Personal foul by E. Bledsoe (drawn by N. Jokic)
3:24.0,D. Harris enters the game for J. Murray,,31-24,,
3:18.0,Turnover by N. Jokic (traveling),,31-24,,
2:57.0,,,31-26,2,E. Bledsoe makes 2-pt shot from 21 ft
2:50.0,Shooting foul by T. Zeller (drawn by G. Harris),,31-26,,
2:50.0,G. Harris makes free throw 1 of 2,1,32-26,,
2:50.0,D. Arthur enters the game for N. Jokic,,32-26,,
2:50.0,G. Harris makes free throw 2 of 2,1,33-26,,
2:33.0,,,33-26,,Turnover by E. Bledsoe (bad pass; steal by T. Lyles)
2:20.0,T. Lyles misses 2-pt shot from 10 ft,,33-26,,
2:17.0,,,33-26,,Defensive rebound by S. Brown
2:05.0,,,33-26,,K. Middleton misses 2-pt shot from 16 ft
2:02.0,Defensive rebound by W. Barton,,33-26,,
1:54.0,G. Harris misses 3-pt shot from 27 ft,,33-26,,
1:50.0,,,33-26,,Defensive rebound by T. Zeller
1:43.0,,,33-28,2,K. Middleton makes 2-pt shot from 8 ft
1:30.0,G. Harris misses 2-pt shot from 3 ft (block by T. Zeller),,33-28,,
1:26.0,,,33-28,,Defensive rebound by T. Zeller
1:21.0,,,33-28,,Turnover by K. Middleton (bad pass; steal by G. Harris)
1:17.0,G. Harris makes 2-pt shot from 1 ft,2,35-28,,
1:06.0,,,35-28,,S. Brown misses 3-pt shot from 27 ft
1:02.0,Defensive rebound by W. Barton,,35-28,,
0:58.0,W. Barton misses 2-pt shot from 3 ft,,35-28,,
0:56.0,,,35-28,,Defensive rebound by J. Parker
0:52.0,,,35-28,,S. Brown misses 2-pt shot from 3 ft (block by D. Arthur)
0:48.0,,,35-28,,Offensive rebound by J. Parker
0:32.0,,,35-28,,E. Bledsoe misses 2-pt shot from 17 ft
0:29.0,,,35-28,,Offensive rebound by T. Zeller
0:29.0,,,35-28,,T. Zeller misses 2-pt shot from 4 ft
0:29.0,,,35-28,,Offensive rebound by J. Parker
0:08.0,M. Beasley enters the game for W. Barton,,35-28,,
0:08.0,W. Chandler enters the game for G. Harris,,35-28,,
0:03.0,,,35-28,,J. Parker misses 3-pt shot from 27 ft
0:03.0,,,35-28,,Offensive rebound by E. Bledsoe
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,35-28,,J. Parker misses 2-pt shot from 13 ft
11:25.0,W. Chandler makes 3-pt shot from 23 ft (assist by D. Harris),3,38-30,,
11:25.0,Offensive rebound by W. Chandler,,38-30,,
11:11.0,,,35-30,2,T. Zeller makes 2-pt shot from 3 ft (assist by G. Antetokounmpo)
10:52.0,D. Harris misses 3-pt shot from 27 ft,,35-30,,
10:45.0,,,35-30,,Defensive rebound by S. Brown
10:38.0,,,35-30,,Shooting foul by D. Arthur (drawn by G. Antetokounmpo)
10:38.0,,,38-31,1,G. Antetokounmpo makes free throw 1 of 2
10:38.0,,,38-32,1,G. Antetokounmpo makes free throw 2 of 2
10:22.0,T. Lyles misses 2-pt shot from 14 ft,,38-32,,
10:19.0,,,38-32,,Defensive rebound by S. Brown
10:13.0,,,38-34,2,J. Parker makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
9:59.0,T. Lyles misses 2-pt shot from 3 ft,,38-34,,
9:56.0,,,38-34,,Defensive rebound by G. Antetokounmpo
9:48.0,,,38-34,,J. Terry misses 3-pt shot from 23 ft
9:48.0,Defensive rebound by D. Harris,,38-34,,
9:36.0,M. Beasley misses 3-pt shot from 27 ft,,38-34,,
9:36.0,,,38-34,,Defensive rebound by J. Parker
9:25.0,,,38-36,2,G. Antetokounmpo makes 2-pt shot from 2 ft
9:25.0,Denver full timeout,,38-36,,
9:10.0,D. Harris makes 3-pt shot from 27 ft (assist by D. Arthur),3,41-36,,
8:51.0,,,41-38,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by J. Terry)
8:51.0,,,41-38,,Shooting foul by T. Lyles (drawn by G. Antetokounmpo)
8:51.0,,,41-39,1,G. Antetokounmpo makes free throw 1 of 1
8:36.0,W. Chandler misses 3-pt shot from 28 ft,,41-39,,
8:36.0,,,41-39,,Defensive rebound by S. Brown
8:20.0,,,41-39,,Shooting foul by W. Chandler (drawn by G. Antetokounmpo)
8:20.0,,,41-39,,G. Antetokounmpo misses free throw 1 of 2
8:20.0,,,41-39,,Offensive rebound by Team
8:20.0,J. Murray enters the game for M. Beasley,,41-39,,
8:20.0,,,41-40,1,G. Antetokounmpo makes free throw 2 of 2
8:11.0,D. Harris misses 3-pt shot from 27 ft,,41-40,,
8:07.0,,,41-40,,Defensive rebound by T. Zeller
7:58.0,,,41-43,3,S. Brown makes 3-pt shot from 25 ft (assist by G. Antetokounmpo)
7:48.0,T. Lyles makes 2-pt shot from 1 ft (assist by D. Arthur),2,43-43,,
7:36.0,,,43-43,,G. Antetokounmpo misses 2-pt shot from 18 ft
7:32.0,Defensive rebound by J. Murray,,43-43,,
7:30.0,D. Harris misses 2-pt shot from 2 ft,,43-43,,
7:30.0,Offensive rebound by J. Murray,,43-43,,
7:17.0,,,43-43,,Personal foul by J. Terry (drawn by T. Lyles)
7:17.0,,,43-43,,T. Snell enters the game for J. Parker
7:17.0,N. Jokic enters the game for D. Arthur,,43-43,,
7:17.0,W. Barton enters the game for T. Lyles,,43-43,,
7:08.0,N. Jokic misses 2-pt shot from 17 ft,,43-43,,
7:08.0,,,43-43,,Defensive rebound by S. Brown
6:58.0,,,43-45,2,G. Antetokounmpo makes 2-pt shot from 15 ft
6:48.0,W. Barton misses 2-pt shot from 5 ft,,43-45,,
6:48.0,Offensive rebound by Team,,43-45,,
6:48.0,,,43-45,,Personal foul by J. Terry (drawn by W. Barton)
6:48.0,G. Harris enters the game for D. Harris,,43-45,,
6:36.0,J. Murray makes 3-pt shot from 28 ft (assist by N. Jokic),3,46-45,,
6:18.0,,,46-45,,T. Zeller misses 2-pt shot from 2 ft (block by N. Jokic)
6:15.0,Defensive rebound by N. Jokic,,46-45,,
6:09.0,N. Jokic makes 3-pt shot from 26 ft (assist by W. Barton),3,49-45,,
6:09.0,,,49-45,,Milwaukee full timeout
6:09.0,,,49-45,,T. Maker enters the game for J. Terry
6:09.0,,,49-45,,E. Bledsoe enters the game for S. Brown
6:09.0,,,49-45,,K. Middleton enters the game for T. Zeller
5:54.0,,,49-45,,G. Antetokounmpo misses 2-pt shot from 6 ft
5:51.0,Defensive rebound by N. Jokic,,49-45,,
5:44.0,N. Jokic makes 2-pt shot from 18 ft (assist by G. Harris),2,51-45,,
5:29.0,,,51-45,,T. Maker misses 2-pt shot from 6 ft
5:27.0,Defensive rebound by N. Jokic,,51-45,,
5:25.0,G. Harris makes 3-pt shot from 26 ft,3,54-45,,
5:02.0,,,54-47,2,T. Snell makes 2-pt shot from 1 ft
4:48.0,J. Murray makes 2-pt shot from 5 ft (assist by W. Chandler),2,56-47,,
4:41.0,,,56-47,,T. Snell misses 2-pt shot from 19 ft
4:38.0,Defensive rebound by N. Jokic,,56-47,,
4:28.0,N. Jokic makes 2-pt shot from 2 ft (assist by J. Murray),2,58-47,,
4:28.0,,,58-47,,Milwaukee full timeout
4:28.0,,,58-47,,T. Zeller enters the game for T. Maker
4:22.0,Personal foul by W. Barton (drawn by G. Antetokounmpo),,58-47,,
4:15.0,Personal foul by G. Harris (drawn by E. Bledsoe),,58-47,,
4:15.0,,,58-48,1,E. Bledsoe makes free throw 1 of 2
4:15.0,,,58-49,1,E. Bledsoe makes free throw 2 of 2
4:06.0,Turnover by W. Chandler (lost ball; steal by E. Bledsoe),,58-49,,
4:02.0,,,58-51,2,G. Antetokounmpo makes 2-pt shot at rim (assist by E. Bledsoe)
3:48.0,N. Jokic makes 2-pt shot from 3 ft,2,60-51,,
3:48.0,Shooting foul by T. Zeller (drawn by N. Jokic),,60-51,,
3:48.0,N. Jokic makes free throw 1 of 1,1,61-51,,
3:26.0,,,61-51,,T. Snell misses 3-pt shot from 26 ft
3:23.0,,,61-51,,Offensive rebound by G. Antetokounmpo
3:13.0,,,61-51,,G. Antetokounmpo misses 2-pt shot from 13 ft
3:10.0,,,61-51,,Offensive rebound by T. Zeller
3:09.0,,,61-53,2,T. Zeller makes 2-pt shot at rim
2:53.0,W. Chandler makes 3-pt shot from 23 ft (assist by N. Jokic),3,64-53,,
2:36.0,Personal foul by J. Murray (drawn by E. Bledsoe),,64-53,,
2:36.0,,,64-54,1,E. Bledsoe makes free throw 1 of 2
2:36.0,,,64-55,1,E. Bledsoe makes free throw 2 of 2
2:27.0,G. Harris makes 3-pt shot from 25 ft (assist by N. Jokic),3,67-55,,
2:15.0,,,67-57,2,E. Bledsoe makes 2-pt shot from 2 ft
1:54.0,W. Chandler makes 3-pt shot from 24 ft (assist by N. Jokic),3,70-57,,
1:35.0,,,70-57,,K. Middleton misses 2-pt shot from 17 ft
1:32.0,Defensive rebound by W. Barton,,70-57,,
1:21.0,W. Chandler makes 2-pt shot from 1 ft (assist by N. Jokic),2,72-57,,
0:59.0,,,72-59,2,K. Middleton makes 2-pt shot from 7 ft (assist by T. Zeller)
0:59.0,,,72-59,,Shooting foul by W. Barton (drawn by K. Middleton)
0:59.0,D. Harris enters the game for J. Murray,,72-59,,
0:59.0,,,72-60,1,K. Middleton makes free throw 1 of 1
0:50.0,Turnover by N. Jokic (bad pass),,72-60,,
0:50.0,M. Beasley enters the game for W. Barton,,72-60,,
0:50.0,J. Hernangomez enters the game for W. Chandler,,72-60,,
0:46.0,,,72-62,2,G. Antetokounmpo makes 2-pt shot from 1 ft
0:46.0,,,72-62,,Shooting foul by N. Jokic (drawn by G. Antetokounmpo)
0:46.0,,,72-62,,G. Antetokounmpo misses free throw 1 of 1
0:44.0,,,72-62,,Offensive rebound by K. Middleton
0:44.0,,,72-62,,K. Middleton misses 2-pt shot at rim
0:44.0,Defensive rebound by Team,,72-62,,
0:28.0,J. Hernangomez makes 2-pt shot from 2 ft (assist by N. Jokic),2,74-62,,
0:08.0,,,74-62,,E. Bledsoe misses 2-pt shot from 17 ft
0:05.0,Defensive rebound by N. Jokic,,74-62,,
0:03.0,Turnover by N. Jokic (bad pass),,74-62,,
0:03.0,D. Arthur enters the game for N. Jokic,,74-62,,
0:02.0,,,74-62,,Turnover by K. Middleton (bad pass)
0:02.0,N. Jokic enters the game for D. Arthur,,74-62,,
0:01.0,Turnover by G. Harris (bad pass; steal by E. Bledsoe),,74-62,,
0:00.0,,,74-62,,E. Bledsoe misses 3-pt shot from 26 ft
0:00.0,,,74-62,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,74-62,,Turnover by G. Antetokounmpo (bad pass; steal by J. Murray)
11:33.0,,,74-62,,Personal foul by T. Maker (drawn by N. Jokic)
11:28.0,G. Harris misses 2-pt shot from 11 ft,,74-62,,
11:25.0,Offensive rebound by N. Jokic,,74-62,,
11:22.0,W. Barton misses 3-pt shot from 27 ft,,74-62,,
11:19.0,,,74-62,,Defensive rebound by G. Antetokounmpo
11:14.0,,,74-62,,K. Middleton misses 3-pt shot from 23 ft
11:11.0,Defensive rebound by W. Barton,,74-62,,
10:58.0,J. Murray misses 3-pt shot from 26 ft,,74-62,,
10:55.0,,,74-62,,Defensive rebound by K. Middleton
10:53.0,,,74-62,,Turnover by K. Middleton (bad pass)
10:40.0,Turnover by G. Harris (bad pass),,74-62,,
10:23.0,,,74-62,,K. Middleton misses 2-pt shot from 3 ft
10:18.0,,,74-62,,Offensive rebound by T. Maker
10:18.0,,,74-64,2,T. Maker makes 2-pt shot at rim
10:07.0,W. Barton misses 2-pt shot from 2 ft (block by K. Middleton),,74-64,,
10:03.0,,,74-64,,Defensive rebound by G. Antetokounmpo
10:01.0,,,74-66,2,T. Maker makes 2-pt shot at rim (assist by E. Bledsoe)
9:35.0,W. Chandler misses 2-pt shot from 4 ft (block by G. Antetokounmpo),,74-66,,
9:35.0,Offensive rebound by Team,,74-66,,
9:30.0,W. Chandler misses 2-pt shot from 17 ft,,74-66,,
9:27.0,,,74-66,,Defensive rebound by K. Middleton
9:14.0,,,74-66,,T. Maker misses 3-pt shot from 25 ft
9:14.0,Defensive rebound by Team,,74-66,,
9:04.0,Turnover by J. Murray (bad pass; steal by E. Bledsoe),,74-66,,
9:01.0,,,74-68,2,K. Middleton makes 2-pt shot at rim (assist by E. Bledsoe)
9:01.0,Denver full timeout,,74-68,,
8:39.0,N. Jokic makes 2-pt shot from 7 ft,2,76-68,,
8:23.0,,,76-68,,Shooting foul by W. Chandler (drawn by G. Antetokounmpo)
8:23.0,,,76-69,1,G. Antetokounmpo makes free throw 1 of 2
8:23.0,,,76-70,1,G. Antetokounmpo makes free throw 2 of 2
8:04.0,Shooting foul by T. Maker (drawn by N. Jokic),,76-70,,
8:04.0,N. Jokic makes free throw 1 of 2,1,77-70,,
8:04.0,,,77-70,,T. Zeller enters the game for T. Maker
8:04.0,N. Jokic makes free throw 2 of 2,1,78-70,,
7:55.0,,,78-70,,Turnover by E. Bledsoe (bad pass)
7:47.0,Turnover by N. Jokic (bad pass; steal by K. Middleton),,78-70,,
7:47.0,Personal foul by W. Barton (drawn by K. Middleton),,78-70,,
7:30.0,,,78-72,2,T. Zeller makes 2-pt shot from 1 ft (assist by E. Bledsoe)
7:20.0,W. Barton misses 2-pt shot from 15 ft,,78-72,,
7:17.0,,,78-72,,Defensive rebound by G. Antetokounmpo
7:12.0,,,78-74,2,G. Antetokounmpo makes 2-pt shot from 2 ft
6:57.0,J. Murray makes 3-pt shot from 23 ft (assist by N. Jokic),3,81-74,,
6:34.0,,,81-76,2,T. Zeller makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
6:23.0,J. Murray makes 2-pt shot from 1 ft (assist by N. Jokic),2,83-76,,
6:03.0,,,83-76,,T. Snell misses 3-pt shot from 22 ft
6:01.0,Defensive rebound by W. Barton,,83-76,,
5:48.0,J. Murray misses 2-pt shot from 16 ft,,83-76,,
5:46.0,Offensive rebound by J. Murray,,83-76,,
5:43.0,W. Chandler misses 3-pt shot from 27 ft,,83-76,,
5:40.0,,,83-76,,Defensive rebound by E. Bledsoe
5:31.0,,,83-78,2,G. Antetokounmpo makes 2-pt shot from 4 ft
5:31.0,Denver full timeout,,83-78,,
5:31.0,,,83-78,,S. Kilpatrick enters the game for E. Bledsoe
5:31.0,,,83-78,,J. Parker enters the game for K. Middleton
5:31.0,D. Harris enters the game for W. Barton,,83-78,,
5:17.0,J. Murray makes 3-pt shot from 26 ft (assist by W. Chandler),3,86-78,,
4:57.0,,,86-80,2,T. Zeller makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
4:33.0,N. Jokic makes 3-pt shot from 26 ft (assist by J. Murray),3,89-80,,
4:18.0,,,89-80,,Shooting foul by N. Jokic (drawn by G. Antetokounmpo)
4:18.0,,,89-80,,G. Antetokounmpo misses free throw 1 of 2
4:18.0,,,89-80,,Offensive rebound by Team
4:18.0,,,89-80,,J. Terry enters the game for T. Snell
4:18.0,,,89-81,1,G. Antetokounmpo makes free throw 2 of 2
4:10.0,Shooting foul by S. Kilpatrick (drawn by G. Harris),,89-81,,
4:10.0,G. Harris misses free throw 1 of 2,,89-81,,
4:10.0,Offensive rebound by Team,,89-81,,
4:10.0,G. Harris makes free throw 2 of 2,1,90-81,,
3:49.0,,,90-81,,G. Antetokounmpo misses 2-pt shot from 12 ft
3:45.0,Defensive rebound by W. Chandler,,90-81,,
3:30.0,G. Harris misses 2-pt shot from 13 ft,,90-81,,
3:28.0,,,90-81,,Defensive rebound by J. Parker
3:24.0,,,90-81,,Turnover by J. Parker (bad pass; steal by W. Chandler)
3:13.0,J. Murray makes 3-pt shot from 24 ft (assist by N. Jokic),3,93-81,,
3:13.0,,,93-81,,Milwaukee full timeout
3:13.0,T. Lyles enters the game for G. Harris,,93-81,,
2:56.0,,,93-81,,G. Antetokounmpo misses 2-pt shot from 12 ft
2:56.0,,,93-81,,Offensive rebound by Team
2:56.0,Loose ball foul by W. Chandler (drawn by T. Zeller),,93-81,,
2:53.0,,,93-81,,Turnover by S. Kilpatrick (traveling)
2:42.0,W. Barton enters the game for W. Chandler,,93-81,,
2:41.0,Shooting foul by J. Terry (drawn by J. Murray),,93-81,,
2:41.0,J. Murray makes free throw 1 of 3,1,94-81,,
2:41.0,J. Murray misses free throw 2 of 3,,94-81,,
2:41.0,Offensive rebound by Team,,94-81,,
2:41.0,J. Murray makes free throw 3 of 3,1,95-81,,
2:30.0,,,95-83,2,J. Parker makes 2-pt shot from 4 ft
2:10.0,T. Lyles makes 2-pt shot from 11 ft,2,97-83,,
2:01.0,,,97-85,2,J. Parker makes 2-pt shot from 1 ft
2:01.0,,,97-85,,Shooting foul by N. Jokic (drawn by J. Parker)
2:01.0,,,97-85,,S. Brown enters the game for S. Kilpatrick
2:01.0,,,97-85,,K. Middleton enters the game for G. Antetokounmpo
2:01.0,,,97-85,,T. Maker enters the game for T. Zeller
2:01.0,,,97-86,1,J. Parker makes free throw 1 of 1
2:01.0,D. Arthur enters the game for N. Jokic,,97-86,,
1:52.0,T. Lyles makes 3-pt shot from 26 ft (assist by D. Harris),3,100-86,,
1:30.0,,,100-86,,S. Brown misses 3-pt shot from 23 ft
1:28.0,Defensive rebound by W. Barton,,100-86,,
1:23.0,T. Lyles makes 3-pt shot from 28 ft (assist by W. Barton),3,103-86,,
1:22.0,,,103-86,,Milwaukee full timeout
1:02.0,,,103-86,,J. Terry misses 2-pt shot from 1 ft (block by T. Lyles)
1:00.0,,,103-86,,Offensive rebound by T. Maker
0:55.0,,,103-86,,K. Middleton misses 2-pt shot from 13 ft
0:55.0,Defensive rebound by Team,,103-86,,
0:55.0,,,103-86,,Loose ball foul by J. Terry (drawn by J. Murray)
0:55.0,J. Murray misses free throw 1 of 2,,103-86,,
0:55.0,Offensive rebound by Team,,103-86,,
0:55.0,,,103-86,,E. Bledsoe enters the game for J. Terry
0:55.0,J. Murray makes free throw 2 of 2,1,104-86,,
0:36.0,,,104-86,,K. Middleton misses 2-pt shot from 3 ft (block by T. Lyles)
0:31.0,Defensive rebound by W. Barton,,104-86,,
0:28.0,J. Murray makes 3-pt shot from 27 ft (assist by W. Barton),3,107-86,,
0:16.0,Personal foul by J. Murray (drawn by E. Bledsoe),,107-86,,
0:16.0,,,107-87,1,E. Bledsoe makes free throw 1 of 2
0:16.0,,,107-88,1,E. Bledsoe makes free throw 2 of 2
0:05.0,T. Lyles misses 3-pt shot from 27 ft,,107-88,,
0:00.0,,,107-88,,Defensive rebound by T. Maker
0:00.0,,,107-88,,T. Maker misses 3-pt shot from 41 ft
0:00.0,,,107-88,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,D. Harris makes 3-pt shot from 22 ft (assist by W. Barton),3,110-88,,
11:26.0,,,110-90,2,G. Antetokounmpo makes 2-pt shot from 2 ft
11:26.0,Violation by T. Lyles (def goaltending),,110-90,,
11:20.0,,,110-90,,Personal foul by K. Middleton (drawn by W. Barton)
11:04.0,T. Lyles makes 2-pt shot from 10 ft (assist by W. Barton),2,112-90,,
10:48.0,,,112-92,2,G. Antetokounmpo makes 2-pt shot from 1 ft
10:32.0,D. Arthur misses 3-pt shot from 28 ft,,112-92,,
10:30.0,,,112-92,,Defensive rebound by T. Snell
10:29.0,Personal foul by T. Lyles (drawn by T. Maker),,112-92,,
10:23.0,,,112-94,2,G. Antetokounmpo makes 2-pt shot at rim (assist by T. Maker)
10:05.0,W. Barton misses 3-pt shot from 28 ft,,112-94,,
10:03.0,Offensive rebound by D. Arthur,,112-94,,
10:01.0,G. Harris makes 3-pt shot from 26 ft (assist by D. Harris),3,115-94,,
9:48.0,,,115-94,,Turnover by E. Bledsoe (bad pass; steal by D. Arthur)
9:44.0,G. Harris makes 2-pt shot at rim (assist by D. Harris),2,117-94,,
9:42.0,,,117-94,,Milwaukee full timeout
9:42.0,,,117-94,,T. Zeller enters the game for T. Maker
9:42.0,W. Chandler enters the game for D. Arthur,,117-94,,
9:30.0,,,117-94,,T. Snell misses 2-pt shot from 2 ft (block by W. Chandler)
9:26.0,Defensive rebound by W. Chandler,,117-94,,
9:15.0,G. Harris misses 2-pt shot from 15 ft,,117-94,,
9:13.0,,,117-94,,Defensive rebound by K. Middleton
8:58.0,,,117-97,3,E. Bledsoe makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
8:29.0,D. Harris misses 3-pt shot from 27 ft,,117-97,,
8:26.0,,,117-97,,Defensive rebound by K. Middleton
8:17.0,,,117-99,2,T. Zeller makes 2-pt shot from 2 ft (assist by G. Antetokounmpo)
8:03.0,T. Lyles misses 3-pt shot from 27 ft,,117-99,,
8:00.0,,,117-99,,Defensive rebound by K. Middleton
7:58.0,,,117-99,,Offensive charge foul by K. Middleton (drawn by D. Harris)
7:58.0,,,117-99,,Turnover by K. Middleton (offensive foul)
7:58.0,N. Jokic enters the game for T. Lyles,,117-99,,
7:58.0,J. Murray enters the game for D. Harris,,117-99,,
7:44.0,W. Chandler misses 2-pt shot from 14 ft,,117-99,,
7:40.0,,,117-99,,Defensive rebound by K. Middleton
7:32.0,,,117-101,2,G. Antetokounmpo makes 2-pt shot from 20 ft
7:16.0,N. Jokic misses 2-pt shot from 4 ft (block by G. Antetokounmpo),,117-101,,
7:12.0,,,117-101,,Defensive rebound by E. Bledsoe
7:12.0,,,117-103,2,K. Middleton makes 2-pt shot at rim (assist by E. Bledsoe)
7:12.0,Denver full timeout,,117-103,,
7:01.0,Turnover by W. Chandler (bad pass; steal by E. Bledsoe),,117-103,,
7:01.0,Personal foul by W. Chandler (drawn by E. Bledsoe),,117-103,,
6:52.0,,,117-103,,Offensive foul by G. Antetokounmpo (drawn by N. Jokic)
6:52.0,,,117-103,,Turnover by G. Antetokounmpo (offensive foul)
6:37.0,N. Jokic makes 2-pt shot from 2 ft (assist by G. Harris),2,119-103,,
6:17.0,,,119-105,2,T. Zeller makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
6:04.0,G. Harris makes 2-pt shot from 10 ft (assist by N. Jokic),2,121-105,,
6:04.0,Shooting foul by T. Snell (drawn by G. Harris),,121-105,,
6:04.0,G. Harris misses free throw 1 of 1,,121-105,,
6:01.0,,,121-105,,Defensive rebound by G. Antetokounmpo
5:52.0,,,121-108,3,E. Bledsoe makes 3-pt shot from 25 ft (assist by G. Antetokounmpo)
5:36.0,N. Jokic makes 3-pt shot from 28 ft (assist by J. Murray),3,124-108,,
