time,Atlanta,pts.away,score,pts.home,Utah
6:08.0,D. Lee makes 2-pt shot from 13 ft (assist by T. Waller-Prince),2,12-13,,
5:49.0,,,12-13,,R. Rubio misses 3-pt shot from 23 ft
5:46.0,,,12-13,,Offensive rebound by J. Crowder
5:44.0,,,12-13,,J. Ingles misses 3-pt shot from 25 ft
5:41.0,Defensive rebound by D. Dedmon,,12-13,,
5:31.0,D. Dedmon makes 2-pt shot from 22 ft (assist by D. Schroder),2,14-13,,
5:18.0,,,14-13,,D. Mitchell misses 2-pt shot from 2 ft
5:14.0,Defensive rebound by D. Lee,,14-13,,
5:10.0,D. Schroder makes 3-pt shot from 25 ft (assist by D. Lee),3,17-13,,
4:49.0,,,17-13,,Turnover by R. Rubio (bad pass; steal by T. Waller-Prince)
4:39.0,D. Schroder misses 2-pt shot from 3 ft (block by R. Rubio),,17-13,,
4:35.0,,,17-13,,Defensive rebound by J. Crowder
4:31.0,,,17-15,2,R. Gobert makes 2-pt shot from 1 ft (assist by R. Rubio)
4:30.0,Atlanta full timeout,,17-15,,
4:30.0,,,17-15,,R. O'Neale enters the game for J. Ingles
4:30.0,,,17-15,,D. Exum enters the game for R. Rubio
4:30.0,M. Plumlee enters the game for D. Lee,,17-15,,
4:30.0,T. Cavanaugh enters the game for D. Dedmon,,17-15,,
4:30.0,T. Dorsey enters the game for M. Muscala,,17-15,,
4:09.0,Turnover by D. Schroder (out of bounds lost ball),,17-15,,
3:59.0,Personal foul by T. Cavanaugh (drawn by D. Exum),,17-15,,
3:59.0,I. Taylor enters the game for D. Schroder,,17-15,,
3:54.0,,,17-18,3,D. Mitchell makes 3-pt shot from 25 ft
3:36.0,T. Dorsey makes 2-pt shot from 19 ft,2,19-18,,
3:21.0,Personal foul by T. Waller-Prince (drawn by D. Mitchell),,19-18,,
3:21.0,A. White enters the game for T. Waller-Prince,,19-18,,
3:13.0,,,19-21,3,J. Crowder makes 3-pt shot from 24 ft (assist by D. Mitchell)
2:47.0,Turnover by M. Plumlee (lost ball; steal by D. Exum),,19-21,,
2:42.0,,,19-21,,R. O'Neale misses 3-pt shot from 23 ft
2:40.0,,,19-21,,Offensive rebound by J. Crowder
2:36.0,,,19-23,2,D. Mitchell makes 2-pt shot from 12 ft (assist by J. Crowder)
2:15.0,Shooting foul by R. Gobert (drawn by I. Taylor),,19-23,,
2:15.0,I. Taylor makes free throw 1 of 2,1,20-23,,
2:15.0,,,20-23,,E. Udoh enters the game for R. Gobert
2:15.0,I. Taylor makes free throw 2 of 2,1,21-23,,
1:56.0,,,21-23,,D. Exum misses 2-pt shot from 6 ft
1:56.0,,,21-23,,Offensive rebound by Team
1:56.0,Loose ball foul by T. Cavanaugh (drawn by E. Udoh),,21-23,,
1:43.0,,,21-23,,E. Udoh misses 2-pt shot from 10 ft
1:41.0,Defensive rebound by A. White,,21-23,,
1:33.0,,,21-23,,Personal foul by R. O'Neale (drawn by T. Dorsey)
1:23.0,I. Taylor misses 2-pt shot from 7 ft (block by E. Udoh),,21-23,,
1:21.0,,,21-23,,Defensive rebound by R. O'Neale
1:13.0,,,21-23,,J. Crowder misses 2-pt shot from 1 ft
1:10.0,,,21-23,,Offensive rebound by D. Mitchell
1:07.0,,,21-23,,R. O'Neale misses 3-pt shot from 25 ft
1:04.0,Defensive rebound by T. Cavanaugh,,21-23,,
0:58.0,T. Dorsey misses 2-pt shot from 2 ft,,21-23,,
0:57.0,,,21-23,,Defensive rebound by D. Mitchell
0:52.0,,,21-23,,D. Mitchell misses 2-pt shot from 3 ft
0:49.0,Defensive rebound by A. White,,21-23,,
0:43.0,Turnover by M. Plumlee (bad pass; steal by D. Mitchell),,21-23,,
0:39.0,,,21-25,2,D. Mitchell makes 2-pt shot from 2 ft
0:31.0,T. Cavanaugh misses 3-pt shot from 25 ft,,21-25,,
0:29.0,,,21-25,,Defensive rebound by D. Exum
0:24.0,Personal block foul by I. Taylor (drawn by D. Exum),,21-25,,
0:24.0,,,21-26,1,D. Exum makes free throw 1 of 2
0:24.0,,,21-27,1,D. Exum makes free throw 2 of 2
0:06.0,I. Taylor misses 2-pt shot from 4 ft,,21-27,,
0:04.0,Offensive rebound by A. White,,21-27,,
0:03.0,A. White misses 2-pt shot from 4 ft (block by E. Udoh),,21-27,,
0:01.0,,,21-27,,Defensive rebound by D. Exum
0:00.0,,,21-27,,E. Udoh misses 3-pt shot from 47 ft
0:00.0,,,21-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,M. Plumlee makes 2-pt shot from 20 ft (assist by I. Taylor),2,23-27,,
11:09.0,,,23-27,,J. Crowder misses 3-pt shot from 24 ft
11:05.0,Defensive rebound by A. White,,23-27,,
10:51.0,T. Dorsey misses 2-pt shot from 2 ft (block by R. O'Neale),,23-27,,
10:47.0,,,23-27,,Defensive rebound by R. O'Neale
10:34.0,,,23-27,,D. Exum misses 2-pt shot from 20 ft
10:32.0,Defensive rebound by T. Dorsey,,23-27,,
10:17.0,A. White makes 3-pt shot from 24 ft (assist by T. Dorsey),3,26-27,,
9:56.0,,,26-27,,J. Crowder misses 2-pt shot from 20 ft
9:53.0,Defensive rebound by T. Dorsey,,26-27,,
9:45.0,T. Dorsey misses 3-pt shot from 26 ft,,26-27,,
9:43.0,,,26-27,,Defensive rebound by E. Udoh
9:32.0,,,26-27,,J. Crowder misses 2-pt shot from 1 ft
9:30.0,,,26-27,,Offensive rebound by J. Crowder
9:29.0,,,26-29,2,J. Crowder makes 2-pt shot from 1 ft
9:09.0,I. Taylor makes 2-pt shot from 21 ft,2,28-29,,
8:49.0,,,28-29,,J. Ingles misses 3-pt shot from 24 ft
8:47.0,Defensive rebound by T. Dorsey,,28-29,,
8:38.0,T. Dorsey misses 2-pt shot from 17 ft (block by E. Udoh),,28-29,,
8:34.0,,,28-29,,Defensive rebound by J. Ingles
8:31.0,,,28-31,2,R. O'Neale makes 2-pt shot from 2 ft (assist by J. Ingles)
8:31.0,Atlanta full timeout,,28-31,,
8:31.0,,,28-31,,R. Gobert enters the game for D. Exum
8:31.0,,,28-31,,J. Jerebko enters the game for E. Udoh
8:31.0,,,28-31,,R. Rubio enters the game for J. Crowder
8:31.0,D. Lee enters the game for T. Dorsey,,28-31,,
8:31.0,T. Waller-Prince enters the game for M. Plumlee,,28-31,,
8:31.0,D. Schroder enters the game for I. Taylor,,28-31,,
8:20.0,M. Muscala makes 3-pt shot from 23 ft (assist by D. Schroder),3,31-31,,
8:01.0,,,31-31,,J. Jerebko misses 3-pt shot from 23 ft
8:01.0,,,31-31,,Offensive rebound by R. Gobert
7:58.0,,,31-33,2,R. Gobert makes 2-pt shot from 1 ft
7:58.0,,,31-33,,Shooting foul by M. Muscala (drawn by R. Gobert)
7:58.0,,,31-33,,R. Gobert misses free throw 1 of 1
7:58.0,Defensive rebound by T. Waller-Prince,,31-33,,
7:42.0,Shooting foul by R. O'Neale (drawn by D. Schroder),,31-33,,
7:42.0,D. Schroder makes free throw 1 of 2,1,32-33,,
7:42.0,,,32-33,,D. Mitchell enters the game for J. Ingles
7:42.0,D. Schroder makes free throw 2 of 2,1,33-33,,
7:25.0,,,33-33,,J. Jerebko misses 3-pt shot from 22 ft
7:22.0,Defensive rebound by M. Muscala,,33-33,,
7:15.0,D. Lee makes 2-pt shot from 2 ft (assist by D. Schroder),2,35-33,,
6:59.0,,,35-33,,D. Mitchell misses 2-pt shot from 17 ft
6:56.0,Defensive rebound by A. White,,35-33,,
6:49.0,D. Schroder misses 2-pt shot from 1 ft,,35-33,,
6:46.0,,,35-33,,Defensive rebound by J. Jerebko
6:41.0,,,35-33,,R. O'Neale misses 3-pt shot from 23 ft
6:39.0,,,35-33,,Offensive rebound by J. Jerebko
6:37.0,,,35-33,,D. Mitchell misses 3-pt shot from 24 ft
6:33.0,Defensive rebound by M. Muscala,,35-33,,
6:23.0,M. Muscala misses 3-pt shot from 26 ft,,35-33,,
6:20.0,,,35-33,,Defensive rebound by J. Jerebko
6:12.0,,,35-33,,R. Rubio misses 2-pt shot from 9 ft
6:09.0,Defensive rebound by M. Muscala,,35-33,,
6:03.0,,,35-33,,Personal foul by D. Mitchell (drawn by T. Waller-Prince)
6:03.0,D. Dedmon enters the game for A. White,,35-33,,
5:55.0,T. Waller-Prince misses 3-pt shot from 25 ft,,35-33,,
5:53.0,,,35-33,,Defensive rebound by J. Jerebko
5:43.0,,,35-33,,R. Gobert misses 2-pt shot from 8 ft (block by D. Dedmon)
5:39.0,Defensive rebound by D. Lee,,35-33,,
5:37.0,D. Lee misses 2-pt shot from 2 ft,,35-33,,
5:35.0,Offensive rebound by D. Dedmon,,35-33,,
5:30.0,D. Lee misses 3-pt shot from 23 ft,,35-33,,
5:28.0,,,35-33,,Defensive rebound by R. Gobert
5:13.0,,,35-33,,Turnover by R. Rubio (bad pass; steal by M. Muscala)
5:10.0,,,35-33,,Personal foul by R. O'Neale (drawn by D. Schroder)
5:10.0,,,35-33,,J. Crowder enters the game for J. Jerebko
5:10.0,,,35-33,,J. Ingles enters the game for R. O'Neale
5:10.0,I. Taylor enters the game for M. Muscala,,35-33,,
5:02.0,D. Schroder makes 2-pt shot from 20 ft,2,37-33,,
4:37.0,,,37-35,2,R. Rubio makes 2-pt shot from 11 ft
4:18.0,T. Waller-Prince misses 2-pt shot from 9 ft (block by R. Gobert),,37-35,,
4:18.0,Offensive rebound by Team,,37-35,,
4:16.0,D. Schroder misses 2-pt shot from 18 ft,,37-35,,
4:14.0,,,37-35,,Defensive rebound by J. Ingles
4:10.0,,,37-35,,Turnover by R. Rubio (out of bounds lost ball)
3:53.0,Offensive foul by D. Dedmon (drawn by D. Mitchell),,37-35,,
3:53.0,Turnover by D. Dedmon (offensive foul),,37-35,,
3:53.0,,,37-35,,Utah full timeout
3:31.0,,,37-35,,D. Mitchell misses 2-pt shot from 1 ft
3:29.0,Defensive rebound by D. Dedmon,,37-35,,
3:27.0,Offensive charge foul by T. Waller-Prince (drawn by R. Rubio),,37-35,,
3:27.0,Turnover by T. Waller-Prince (offensive foul),,37-35,,
3:18.0,,,37-35,,Turnover by D. Mitchell (traveling)
3:18.0,T. Dorsey enters the game for I. Taylor,,37-35,,
3:05.0,D. Schroder makes 2-pt shot from 16 ft,2,39-35,,
2:52.0,,,39-35,,D. Mitchell misses 2-pt shot from 1 ft
2:50.0,Defensive rebound by D. Dedmon,,39-35,,
2:46.0,T. Dorsey misses 3-pt shot from 23 ft,,39-35,,
2:43.0,,,39-35,,Defensive rebound by J. Crowder
2:35.0,,,39-38,3,R. Rubio makes 3-pt shot from 23 ft (assist by J. Crowder)
2:18.0,Turnover by D. Dedmon (lost ball; steal by J. Ingles),,39-38,,
2:12.0,,,39-38,,J. Crowder misses 2-pt shot from 2 ft
2:08.0,Defensive rebound by D. Schroder,,39-38,,
1:56.0,T. Waller-Prince misses 3-pt shot from 23 ft,,39-38,,
1:54.0,,,39-38,,Defensive rebound by J. Crowder
1:41.0,,,39-38,,Shooting foul by D. Dedmon (drawn by R. Rubio)
1:41.0,,,39-39,1,R. Rubio makes free throw 1 of 2
1:41.0,I. Taylor enters the game for D. Dedmon,,39-39,,
1:41.0,M. Muscala enters the game for D. Schroder,,39-39,,
1:41.0,,,39-40,1,R. Rubio makes free throw 2 of 2
1:24.0,I. Taylor misses 2-pt shot from 11 ft,,39-40,,
1:19.0,Offensive rebound by M. Muscala,,39-40,,
1:19.0,M. Muscala misses 2-pt shot from 1 ft,,39-40,,
1:19.0,Offensive rebound by I. Taylor,,39-40,,
1:17.0,I. Taylor misses 2-pt shot from 1 ft,,39-40,,
1:17.0,Offensive rebound by T. Dorsey,,39-40,,
1:12.0,D. Lee misses 2-pt shot from 14 ft,,39-40,,
1:10.0,,,39-40,,Defensive rebound by R. Gobert
1:00.0,,,39-40,,Turnover by R. Gobert (lost ball; steal by M. Muscala)
0:49.0,T. Dorsey misses 2-pt shot from 10 ft,,39-40,,
0:49.0,Offensive rebound by Team,,39-40,,
0:49.0,,,39-40,,Loose ball foul by R. Rubio (drawn by M. Muscala)
0:38.0,M. Muscala makes 2-pt shot from 12 ft (assist by I. Taylor),2,41-40,,
0:32.0,,,41-42,2,D. Mitchell makes 2-pt shot from 2 ft
0:19.0,T. Waller-Prince misses 3-pt shot from 25 ft,,41-42,,
0:15.0,,,41-42,,Defensive rebound by R. Gobert
0:03.0,,,41-42,,D. Mitchell misses 3-pt shot from 25 ft
0:03.0,Defensive rebound by D. Lee,,41-42,,
0:02.0,D. Lee misses 3-pt shot from 75 ft,,41-42,,
0:01.0,Offensive rebound by Team,,41-42,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:54.0,Turnover by D. Schroder (bad pass; steal by R. Rubio),,41-42,,
11:49.0,,,41-44,2,R. Rubio makes 2-pt shot from 13 ft
11:28.0,D. Schroder makes 3-pt shot from 24 ft (assist by D. Dedmon),3,44-44,,
11:01.0,,,44-46,2,R. Rubio makes 2-pt shot from 20 ft (assist by D. Mitchell)
10:46.0,D. Schroder makes 2-pt shot from 9 ft,2,46-46,,
10:27.0,,,46-48,2,D. Mitchell makes 2-pt shot from 19 ft
10:03.0,M. Muscala misses 2-pt shot from 12 ft,,46-48,,
10:01.0,,,46-48,,Defensive rebound by R. Gobert
9:48.0,,,46-48,,J. Ingles misses 3-pt shot from 24 ft
9:46.0,Defensive rebound by D. Dedmon,,46-48,,
9:37.0,D. Dedmon misses 3-pt shot from 22 ft,,46-48,,
9:34.0,,,46-48,,Defensive rebound by R. Gobert
9:31.0,,,46-48,,Shooting foul by M. Muscala (drawn by J. Ingles)
9:31.0,,,46-49,1,J. Ingles makes free throw 1 of 2
9:31.0,,,46-50,1,J. Ingles makes free throw 2 of 2
9:16.0,Turnover by T. Waller-Prince (traveling),,46-50,,
9:02.0,,,46-52,2,J. Ingles makes 2-pt shot from 4 ft
9:00.0,Atlanta full timeout,,46-52,,
8:46.0,D. Schroder misses 3-pt shot from 24 ft,,46-52,,
8:43.0,,,46-52,,Defensive rebound by R. Rubio
8:35.0,,,46-52,,Turnover by R. Gobert (turnover)
8:21.0,T. Waller-Prince makes 2-pt shot from 2 ft (assist by D. Dedmon),2,48-52,,
8:09.0,,,48-52,,D. Mitchell misses 3-pt shot from 26 ft
8:04.0,Defensive rebound by D. Schroder,,48-52,,
7:59.0,D. Schroder misses 2-pt shot from 1 ft (block by R. Gobert),,48-52,,
7:55.0,,,48-52,,Defensive rebound by R. Rubio
7:53.0,Personal foul by D. Schroder (drawn by D. Mitchell),,48-52,,
7:45.0,,,48-55,3,J. Ingles makes 3-pt shot from 25 ft
7:31.0,M. Muscala misses 3-pt shot from 25 ft,,48-55,,
7:29.0,,,48-55,,Defensive rebound by D. Mitchell
7:23.0,,,48-57,2,D. Mitchell makes 2-pt shot from 2 ft (assist by J. Ingles)
7:23.0,,,48-57,,Shooting foul by M. Muscala (drawn by D. Mitchell)
7:23.0,,,48-58,1,D. Mitchell makes free throw 1 of 1
7:10.0,,,48-58,,Away from play foul by J. Ingles (drawn by T. Waller-Prince)
7:10.0,D. Schroder misses free throw 1 of 1,,48-58,,
7:10.0,Offensive rebound by Team,,48-58,,
7:10.0,,,48-58,,J. Crowder enters the game for J. Jerebko
7:07.0,D. Dedmon makes 3-pt shot from 23 ft (assist by D. Schroder),3,51-58,,
6:52.0,,,51-58,,Turnover by J. Ingles (out of bounds lost ball)
6:37.0,D. Dedmon makes 2-pt shot from 8 ft (assist by D. Schroder),2,53-58,,
6:24.0,,,53-58,,D. Mitchell misses 2-pt shot from 13 ft
6:20.0,Defensive rebound by D. Dedmon,,53-58,,
6:15.0,D. Schroder misses 3-pt shot from 25 ft,,53-58,,
6:12.0,,,53-58,,Defensive rebound by R. Gobert
6:03.0,,,53-58,,Turnover by J. Ingles (bad pass; steal by D. Dedmon)
6:03.0,,,53-58,,Personal foul by R. Gobert (drawn by D. Dedmon)
6:03.0,T. Cavanaugh enters the game for D. Lee,,53-58,,
6:03.0,T. Dorsey enters the game for M. Muscala,,53-58,,
5:53.0,D. Schroder makes 2-pt shot from 2 ft,2,55-58,,
5:44.0,,,55-58,,Offensive foul by R. Gobert (drawn by D. Schroder)
5:44.0,,,55-58,,Turnover by R. Gobert (offensive foul)
5:32.0,D. Schroder makes 2-pt shot from 15 ft,2,57-58,,
5:32.0,,,57-58,,Utah full timeout
5:21.0,,,57-58,,Shooting foul by T. Cavanaugh (drawn by J. Crowder)
5:21.0,,,57-58,,J. Crowder misses free throw 1 of 2
5:21.0,,,57-58,,Offensive rebound by Team
5:21.0,,,57-59,1,J. Crowder makes free throw 2 of 2
5:04.0,D. Dedmon misses 3-pt shot from 24 ft,,57-59,,
4:59.0,,,57-59,,Defensive rebound by R. Gobert
4:55.0,,,57-59,,Offensive charge foul by R. Gobert (drawn by D. Dedmon)
4:55.0,,,57-59,,Turnover by R. Gobert (offensive foul)
4:55.0,,,57-59,,E. Udoh enters the game for R. Gobert
4:37.0,D. Schroder misses 2-pt shot from 3 ft,,57-59,,
4:36.0,,,57-59,,Defensive rebound by R. Rubio
4:20.0,,,57-61,2,J. Crowder makes 2-pt shot from 1 ft (assist by J. Ingles)
4:04.0,,,57-61,,Violation by J. Ingles (kicked ball)
4:04.0,,,57-61,,R. O'Neale enters the game for J. Ingles
4:04.0,A. White enters the game for T. Waller-Prince,,57-61,,
4:04.0,I. Taylor enters the game for D. Schroder,,57-61,,
4:02.0,Turnover by A. White (lost ball; steal by R. Rubio),,57-61,,
3:56.0,,,57-61,,J. Crowder misses 2-pt shot from 11 ft
3:52.0,Defensive rebound by A. White,,57-61,,
3:40.0,Turnover by T. Dorsey (lost ball; steal by E. Udoh),,57-61,,
3:40.0,,,57-61,,D. Exum enters the game for R. Rubio
3:27.0,,,57-61,,D. Mitchell misses 3-pt shot from 25 ft
3:25.0,Defensive rebound by Team,,57-61,,
3:25.0,M. Plumlee enters the game for D. Dedmon,,57-61,,
3:14.0,I. Taylor misses 2-pt shot from 3 ft (block by E. Udoh),,57-61,,
3:11.0,Offensive rebound by M. Plumlee,,57-61,,
3:09.0,T. Dorsey makes 3-pt shot from 24 ft (assist by A. White),3,60-61,,
2:52.0,,,60-61,,Turnover by R. O'Neale (bad pass; steal by T. Dorsey)
2:47.0,A. White makes 3-pt shot from 25 ft (assist by T. Dorsey),3,63-61,,
2:29.0,,,63-61,,D. Mitchell misses 3-pt shot from 26 ft
2:25.0,Defensive rebound by A. White,,63-61,,
2:16.0,M. Plumlee misses 2-pt shot from 3 ft,,63-61,,
2:15.0,,,63-61,,Defensive rebound by Team
2:09.0,Personal foul by T. Dorsey (drawn by D. Mitchell),,63-61,,
2:09.0,,,63-62,1,D. Mitchell makes free throw 1 of 2
2:09.0,,,63-63,1,D. Mitchell makes free throw 2 of 2
1:56.0,I. Taylor misses 3-pt shot from 24 ft,,63-63,,
1:54.0,,,63-63,,Defensive rebound by Team
1:40.0,,,63-63,,D. Mitchell misses 2-pt shot from 2 ft
1:37.0,Defensive rebound by T. Cavanaugh,,63-63,,
1:28.0,A. White misses 2-pt shot from 20 ft,,63-63,,
1:25.0,,,63-63,,Defensive rebound by E. Udoh
1:19.0,,,63-65,2,D. Exum makes 2-pt shot from 5 ft
1:06.0,,,63-65,,Personal foul by D. Exum (drawn by I. Taylor)
0:59.0,Turnover by I. Taylor (bad pass; steal by D. Exum),,63-65,,
0:57.0,,,63-65,,Offensive charge foul by D. Exum (drawn by I. Taylor)
0:57.0,,,63-65,,Turnover by D. Exum (offensive foul)
0:42.0,A. White misses 3-pt shot from 25 ft,,63-65,,
0:39.0,,,63-65,,Defensive rebound by R. O'Neale
0:34.0,,,63-65,,R. O'Neale misses 2-pt shot from 3 ft (block by A. White)
0:30.0,Defensive rebound by M. Plumlee,,63-65,,
0:29.0,Offensive charge foul by I. Taylor (drawn by D. Exum),,63-65,,
0:29.0,Turnover by I. Taylor (offensive foul),,63-65,,
0:10.0,,,63-67,2,D. Mitchell makes 2-pt shot from 12 ft
0:00.0,T. Dorsey misses 2-pt shot from 2 ft,,63-67,,
0:00.0,Offensive rebound by Team,,63-67,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,63-67,,Shooting foul by M. Muscala (drawn by J. Ingles)
11:47.0,,,63-68,1,J. Ingles makes free throw 1 of 2
11:47.0,,,63-69,1,J. Ingles makes free throw 2 of 2
11:30.0,D. Schroder makes 2-pt shot from 19 ft,2,65-69,,
11:09.0,,,65-69,,Turnover by J. Ingles (lost ball; steal by T. Waller-Prince)
11:05.0,T. Dorsey makes 2-pt shot from 22 ft (assist by A. White),2,67-69,,
10:46.0,,,67-69,,R. O'Neale misses 2-pt shot from 3 ft (block by M. Muscala)
10:46.0,,,67-69,,Offensive rebound by Team
10:46.0,,,67-69,,R. Gobert enters the game for E. Udoh
10:43.0,Personal foul by T. Waller-Prince (drawn by J. Ingles),,67-69,,
10:30.0,,,67-69,,R. Rubio misses 3-pt shot from 23 ft
10:27.0,Defensive rebound by T. Dorsey,,67-69,,
10:24.0,,,67-69,,D. Exum enters the game for R. O'Neale
10:22.0,M. Muscala makes 3-pt shot from 24 ft (assist by T. Dorsey),3,70-69,,
10:05.0,,,70-69,,J. Ingles misses 3-pt shot from 24 ft
10:02.0,Defensive rebound by A. White,,70-69,,
9:48.0,M. Muscala misses 3-pt shot from 24 ft,,70-69,,
9:45.0,,,70-69,,Defensive rebound by J. Ingles
9:37.0,,,70-69,,Shooting foul by D. Schroder (drawn by R. Rubio)
9:37.0,,,70-70,1,R. Rubio makes free throw 1 of 2
9:37.0,D. Lee enters the game for T. Dorsey,,70-70,,
9:37.0,,,70-71,1,R. Rubio makes free throw 2 of 2
9:25.0,,,70-71,,Personal foul by D. Exum (drawn by D. Lee)
9:19.0,D. Schroder misses 2-pt shot from 18 ft,,70-71,,
9:14.0,Offensive rebound by M. Muscala,,70-71,,
9:14.0,M. Muscala misses 2-pt shot at rim,,70-71,,
9:13.0,,,70-71,,Defensive rebound by J. Ingles
9:09.0,,,70-73,2,D. Exum makes 2-pt shot from 3 ft (assist by J. Ingles)
8:53.0,Turnover by A. White (lost ball; steal by J. Crowder),,70-73,,
8:53.0,Personal foul by A. White (drawn by J. Crowder),,70-73,,
8:53.0,,,70-73,,D. Mitchell enters the game for R. Rubio
8:53.0,,,70-73,,R. O'Neale enters the game for J. Crowder
8:53.0,D. Dedmon enters the game for A. White,,70-73,,
8:31.0,,,70-73,,D. Mitchell misses 3-pt shot from 25 ft
8:28.0,Defensive rebound by D. Dedmon,,70-73,,
8:25.0,T. Waller-Prince misses 3-pt shot from 24 ft,,70-73,,
8:22.0,,,70-73,,Defensive rebound by J. Ingles
8:12.0,,,70-75,2,J. Ingles makes 2-pt shot from 4 ft
7:57.0,D. Dedmon misses 3-pt shot from 25 ft,,70-75,,
7:57.0,,,70-75,,Defensive rebound by Team
7:57.0,I. Taylor enters the game for M. Muscala,,70-75,,
7:42.0,,,70-77,2,R. Gobert makes 2-pt shot from 1 ft (assist by J. Ingles)
7:26.0,D. Schroder makes 2-pt shot from 1 ft,2,72-77,,
7:06.0,,,72-77,,D. Mitchell misses 2-pt shot from 2 ft
7:01.0,,,72-77,,Offensive rebound by R. Gobert
7:01.0,,,72-79,2,R. Gobert makes 2-pt shot at rim
6:56.0,D. Schroder makes 2-pt shot from 1 ft,2,74-79,,
6:56.0,Shooting foul by D. Exum (drawn by D. Schroder),,74-79,,
6:56.0,,,74-79,,Utah full timeout
6:56.0,,,74-79,,J. Crowder enters the game for J. Ingles
6:56.0,,,74-79,,R. Rubio enters the game for R. O'Neale
6:56.0,D. Schroder makes free throw 1 of 1,1,75-79,,
6:40.0,,,75-81,2,D. Mitchell makes 2-pt shot from 10 ft
6:27.0,D. Dedmon makes 2-pt shot from 9 ft (assist by D. Schroder),2,77-81,,
6:13.0,,,77-81,,R. Gobert misses 2-pt shot from 18 ft
6:09.0,Defensive rebound by D. Dedmon,,77-81,,
