time,Orlando,pts.away,score,pts.home,LA Lakers
6:46.0,Defensive rebound by E. Fournier,,12-7,,
6:36.0,Turnover by A. Gordon (traveling),,12-7,,
6:36.0,,,12-7,,LA Lakers full timeout
6:10.0,,,12-7,,Turnover by K. Caldwell-Pope (bad pass; steal by E. Fournier)
6:05.0,A. Gordon misses 2-pt shot from 2 ft,,12-7,,
6:04.0,Offensive rebound by A. Gordon,,12-7,,
6:03.0,A. Gordon makes 2-pt shot at rim,2,14-7,,
5:50.0,,,14-9,2,J. Randle makes 2-pt shot from 2 ft
5:30.0,N. Vucevic makes 2-pt shot from 5 ft (assist by D. Augustin),2,16-9,,
5:15.0,,,16-9,,L. Ball misses 2-pt shot from 15 ft
5:13.0,Defensive rebound by A. Gordon,,16-9,,
5:10.0,Turnover by A. Gordon (out of bounds lost ball),,16-9,,
4:54.0,,,16-9,,J. Randle misses 2-pt shot from 2 ft
4:52.0,Defensive rebound by N. Vucevic,,16-9,,
4:47.0,D. Augustin makes 2-pt shot from 1 ft,2,18-9,,
4:28.0,,,18-12,3,L. Ball makes 3-pt shot from 26 ft (assist by B. Lopez)
4:19.0,A. Gordon makes 3-pt shot from 22 ft (assist by D. Augustin),3,21-12,,
4:17.0,,,21-12,,LA Lakers full timeout
4:17.0,,,21-12,,I. Thomas enters the game for K. Kuzma
4:17.0,,,21-12,,T. Bryant enters the game for J. Randle
4:17.0,W. Iwundu enters the game for J. Simmons,,21-12,,
4:03.0,,,21-12,,Turnover by L. Ball (bad pass; steal by W. Iwundu)
4:00.0,W. Iwundu misses 2-pt shot from 1 ft,,21-12,,
3:58.0,,,21-12,,Defensive rebound by L. Ball
3:56.0,,,21-15,3,I. Thomas makes 3-pt shot from 26 ft (assist by L. Ball)
3:31.0,N. Vucevic misses 2-pt shot from 3 ft (block by L. Ball),,21-15,,
3:28.0,,,21-15,,Defensive rebound by I. Thomas
3:21.0,,,21-15,,B. Lopez misses 2-pt shot from 1 ft
3:18.0,Defensive rebound by E. Fournier,,21-15,,
3:11.0,E. Fournier makes 2-pt shot from 4 ft,2,23-15,,
2:59.0,,,23-15,,L. Ball misses 3-pt shot from 26 ft
2:57.0,Defensive rebound by A. Gordon,,23-15,,
2:41.0,W. Iwundu makes 2-pt shot from 14 ft (assist by D. Augustin),2,25-15,,
2:25.0,,,25-17,2,B. Lopez makes 2-pt shot from 4 ft (assist by I. Thomas)
2:14.0,N. Vucevic makes 2-pt shot from 1 ft (assist by D. Augustin),2,27-17,,
2:14.0,Shooting foul by B. Lopez (drawn by N. Vucevic),,27-17,,
2:14.0,N. Vucevic makes free throw 1 of 1,1,28-17,,
2:14.0,,,28-17,,I. Zubac enters the game for L. Ball
2:14.0,,,28-17,,A. Caruso enters the game for B. Lopez
2:14.0,J. Isaac enters the game for A. Gordon,,28-17,,
1:50.0,,,28-17,,Turnover by I. Thomas (lost ball; steal by J. Isaac)
1:44.0,N. Vucevic makes 2-pt shot from 1 ft (assist by D. Augustin),2,30-17,,
1:38.0,,,30-17,,Turnover by I. Thomas (traveling)
1:38.0,B. Biyombo enters the game for N. Vucevic,,30-17,,
1:27.0,D. Augustin makes 2-pt shot from 2 ft,2,32-17,,
1:18.0,,,32-17,,Shooting foul by J. Isaac (drawn by I. Zubac)
1:18.0,,,32-18,1,I. Zubac makes free throw 1 of 2
1:18.0,,,32-18,,J. Randle enters the game for T. Bryant
1:18.0,M. Hezonja enters the game for E. Fournier,,32-18,,
1:18.0,,,32-19,1,I. Zubac makes free throw 2 of 2
1:11.0,Turnover by W. Iwundu (lost ball; steal by A. Caruso),,32-19,,
1:11.0,Personal foul by W. Iwundu (drawn by A. Caruso),,32-19,,
1:11.0,,,32-20,1,A. Caruso makes free throw 1 of 2
1:11.0,,,32-20,,K. Kuzma enters the game for K. Caldwell-Pope
1:11.0,,,32-21,1,A. Caruso makes free throw 2 of 2
0:56.0,D. Augustin misses 3-pt shot from 27 ft,,32-21,,
0:54.0,,,32-21,,Defensive rebound by J. Randle
0:43.0,,,32-21,,I. Thomas misses 2-pt shot from 4 ft
0:38.0,,,32-21,,Offensive rebound by I. Zubac
0:38.0,,,32-21,,I. Zubac misses 2-pt shot at rim
0:38.0,Defensive rebound by J. Isaac,,32-21,,
0:28.0,M. Hezonja misses 3-pt shot from 24 ft,,32-21,,
0:25.0,,,32-21,,Defensive rebound by I. Zubac
0:05.0,,,32-21,,J. Randle misses 2-pt shot from 3 ft
0:03.0,,,32-21,,Offensive rebound by J. Randle
0:03.0,,,32-23,2,J. Randle makes 2-pt shot from 2 ft
0:03.0,,,32-23,,Shooting foul by J. Isaac (drawn by J. Randle)
0:03.0,E. Fournier enters the game for J. Isaac,,32-23,,
0:03.0,,,32-23,,J. Randle misses free throw 1 of 1
0:02.0,Defensive rebound by M. Hezonja,,32-23,,
0:00.0,M. Hezonja misses 3-pt shot from 41 ft,,32-23,,
0:00.0,Offensive rebound by Team,,32-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,32-23,,Violation by K. Kuzma (kicked ball)
11:42.0,Turnover by S. Mack (bad pass; steal by K. Kuzma),,32-23,,
11:37.0,,,32-26,3,I. Thomas makes 3-pt shot from 26 ft
11:18.0,S. Mack misses 2-pt shot from 19 ft,,32-26,,
11:16.0,,,32-26,,Defensive rebound by J. Randle
11:11.0,,,32-26,,A. Caruso misses 3-pt shot from 26 ft
11:11.0,Defensive rebound by B. Biyombo,,32-26,,
10:59.0,B. Biyombo misses 2-pt shot from 1 ft,,32-26,,
10:56.0,,,32-26,,Defensive rebound by I. Zubac
10:54.0,,,32-26,,Shooting foul by W. Iwundu (drawn by I. Zubac)
10:54.0,,,32-27,1,I. Zubac makes free throw 1 of 2
10:54.0,,,32-28,1,I. Zubac makes free throw 2 of 2
10:42.0,M. Hezonja makes 3-pt shot from 26 ft (assist by B. Biyombo),3,35-28,,
10:14.0,,,35-30,2,I. Zubac makes 2-pt shot from 3 ft (assist by I. Thomas)
10:01.0,,,35-30,,Def 3 sec tech foul by J. Randle
10:01.0,M. Hezonja misses technical free throw,,35-30,,
10:01.0,Offensive rebound by Team,,35-30,,
10:01.0,J. Simmons enters the game for W. Iwundu,,35-30,,
9:53.0,Turnover by J. Isaac (traveling),,35-30,,
9:39.0,,,35-33,3,I. Thomas makes 3-pt shot from 26 ft (assist by I. Zubac)
9:33.0,Orlando full timeout,,35-33,,
9:23.0,J. Simmons misses 2-pt shot from 2 ft,,35-33,,
9:23.0,,,35-33,,Defensive rebound by J. Randle
9:11.0,Personal foul by S. Mack (drawn by J. Randle),,35-33,,
9:03.0,,,35-33,,I. Zubac misses 2-pt shot from 2 ft (block by M. Hezonja)
8:59.0,Defensive rebound by M. Hezonja,,35-33,,
8:48.0,M. Hezonja makes 2-pt shot from 20 ft (assist by B. Biyombo),2,37-33,,
8:24.0,,,37-33,,Turnover by A. Caruso (traveling)
8:12.0,,,37-33,,Violation by I. Zubac (kicked ball)
8:12.0,,,37-33,,B. Lopez enters the game for A. Caruso
8:12.0,,,37-33,,L. Ball enters the game for I. Zubac
8:07.0,M. Hezonja misses 3-pt shot from 24 ft,,37-33,,
8:04.0,,,37-33,,Defensive rebound by L. Ball
7:54.0,,,37-33,,I. Thomas misses 2-pt shot from 13 ft
7:51.0,Defensive rebound by S. Mack,,37-33,,
7:44.0,S. Mack misses 2-pt shot from 11 ft,,37-33,,
7:42.0,,,37-33,,Defensive rebound by I. Thomas
7:33.0,,,37-35,2,J. Randle makes 2-pt shot from 2 ft
7:33.0,Orlando full timeout,,37-35,,
7:23.0,Turnover by B. Biyombo (traveling),,37-35,,
7:21.0,Personal take foul by S. Mack (drawn by I. Thomas),,37-35,,
7:21.0,N. Vucevic enters the game for B. Biyombo,,37-35,,
7:10.0,,,37-35,,J. Randle misses 2-pt shot from 2 ft (block by N. Vucevic)
7:06.0,Jump ball: J. Randle vs. N. Vucevic (J. Simmons gains possession),,,,Jump ball: J. Randle vs. N. Vucevic (J. Simmons gains possession)
7:06.0,Defensive rebound by Team,,37-35,,
7:04.0,Turnover by J. Simmons (bad pass; steal by L. Ball),,37-35,,
6:58.0,,,37-35,,I. Thomas misses 3-pt shot from 22 ft
6:55.0,Defensive rebound by N. Vucevic,,37-35,,
6:45.0,N. Vucevic misses 2-pt shot from 21 ft,,37-35,,
6:41.0,,,37-35,,Defensive rebound by J. Randle
6:33.0,,,37-35,,K. Kuzma misses 2-pt shot from 4 ft
6:31.0,,,37-35,,Offensive rebound by K. Kuzma
6:31.0,,,37-37,2,K. Kuzma makes 2-pt shot at rim
6:31.0,,,37-37,,Shooting foul by J. Isaac (drawn by K. Kuzma)
6:31.0,,,37-37,,K. Caldwell-Pope enters the game for I. Thomas
6:31.0,A. Gordon enters the game for J. Isaac,,37-37,,
6:31.0,,,37-38,1,K. Kuzma makes free throw 1 of 1
6:14.0,Turnover by S. Mack (bad pass),,37-38,,
6:03.0,,,37-38,,K. Kuzma misses 2-pt shot from 3 ft
6:00.0,Defensive rebound by A. Gordon,,37-38,,
5:58.0,S. Mack makes 3-pt shot from 27 ft (assist by A. Gordon),3,40-38,,
5:36.0,,,40-40,2,B. Lopez makes 2-pt shot from 3 ft
5:28.0,N. Vucevic makes 2-pt shot from 8 ft (assist by S. Mack),2,42-40,,
5:09.0,,,42-40,,K. Caldwell-Pope misses 2-pt shot from 2 ft
5:03.0,,,42-40,,Offensive rebound by J. Randle
5:03.0,,,42-42,2,J. Randle makes 2-pt shot at rim
4:54.0,Turnover by S. Mack (bad pass; steal by B. Lopez),,42-42,,
4:51.0,,,42-42,,Shooting foul by M. Hezonja (drawn by K. Caldwell-Pope)
4:51.0,,,42-43,1,K. Caldwell-Pope makes free throw 1 of 2
4:51.0,E. Fournier enters the game for S. Mack,,42-43,,
4:51.0,D. Augustin enters the game for M. Hezonja,,42-43,,
4:51.0,,,42-44,1,K. Caldwell-Pope makes free throw 2 of 2
4:43.0,,,42-44,,Personal foul by K. Kuzma (drawn by J. Simmons)
4:38.0,N. Vucevic misses 3-pt shot from 26 ft,,42-44,,
4:35.0,,,42-44,,Defensive rebound by J. Randle
4:27.0,,,42-46,2,B. Lopez makes 2-pt shot from 3 ft
4:16.0,,,42-46,,Personal foul by B. Lopez (drawn by N. Vucevic)
4:06.0,Shooting foul by J. Randle (drawn by A. Gordon),,42-46,,
4:06.0,A. Gordon misses free throw 1 of 3,,42-46,,
4:06.0,Offensive rebound by Team,,42-46,,
4:06.0,A. Gordon makes free throw 2 of 3,1,43-46,,
4:06.0,A. Gordon makes free throw 3 of 3,1,44-46,,
3:53.0,,,44-46,,L. Ball misses 3-pt shot from 26 ft
3:50.0,Defensive rebound by N. Vucevic,,44-46,,
3:43.0,E. Fournier makes 2-pt shot from 4 ft,2,46-46,,
3:25.0,,,46-46,,L. Ball misses 3-pt shot from 25 ft
3:22.0,Defensive rebound by Team,,46-46,,
3:12.0,E. Fournier makes 2-pt shot from 13 ft (assist by N. Vucevic),2,48-46,,
3:04.0,,,48-48,2,B. Lopez makes 2-pt shot from 2 ft (assist by L. Ball)
2:46.0,Turnover by D. Augustin (bad pass; steal by L. Ball),,48-48,,
2:41.0,,,48-50,2,K. Kuzma makes 2-pt shot from 2 ft (assist by L. Ball)
2:19.0,D. Augustin misses 2-pt shot from 2 ft,,48-50,,
2:16.0,,,48-50,,Defensive rebound by K. Kuzma
2:10.0,,,48-50,,K. Caldwell-Pope misses 3-pt shot from 24 ft
2:06.0,Defensive rebound by J. Simmons,,48-50,,
2:03.0,E. Fournier makes 3-pt shot from 26 ft (assist by J. Simmons),3,51-50,,
1:39.0,,,51-52,2,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by L. Ball)
1:18.0,N. Vucevic misses 2-pt shot from 12 ft,,51-52,,
1:16.0,,,51-52,,Defensive rebound by K. Kuzma
1:07.0,,,51-54,2,K. Kuzma makes 2-pt shot from 3 ft
0:50.0,A. Gordon misses 2-pt shot from 16 ft,,51-54,,
0:48.0,,,51-54,,Defensive rebound by K. Kuzma
0:35.0,,,51-54,,B. Lopez misses 3-pt shot from 26 ft
0:33.0,Defensive rebound by A. Gordon,,51-54,,
0:28.0,A. Gordon misses 3-pt shot from 26 ft,,51-54,,
0:25.0,,,51-54,,Defensive rebound by K. Kuzma
0:04.0,,,51-56,2,B. Lopez makes 2-pt shot from 8 ft (assist by L. Ball)
0:01.0,D. Augustin misses 3-pt shot from 38 ft,,51-56,,
0:00.0,Offensive rebound by Team,,51-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,N. Vucevic makes 3-pt shot from 25 ft (assist by E. Fournier),3,54-56,,
11:14.0,Personal foul by E. Fournier (drawn by K. Caldwell-Pope),,54-56,,
11:12.0,,,54-56,,Offensive foul by B. Lopez (drawn by J. Simmons)
11:12.0,,,54-56,,Turnover by B. Lopez (offensive foul)
10:52.0,Shooting foul by K. Kuzma (drawn by A. Gordon),,54-56,,
10:52.0,A. Gordon misses free throw 1 of 2,,54-56,,
10:52.0,Offensive rebound by Team,,54-56,,
10:52.0,A. Gordon misses free throw 2 of 2,,54-56,,
10:49.0,,,54-56,,Defensive rebound by J. Randle
10:41.0,,,54-56,,Turnover by K. Kuzma (traveling)
10:29.0,J. Simmons misses 2-pt shot from 1 ft,,54-56,,
10:27.0,,,54-56,,Defensive rebound by J. Randle
10:17.0,,,54-58,2,L. Ball makes 2-pt shot from 10 ft
10:01.0,N. Vucevic makes 2-pt shot from 9 ft (assist by D. Augustin),2,56-58,,
9:41.0,,,56-60,2,L. Ball makes 2-pt shot from 2 ft (assist by B. Lopez)
9:19.0,E. Fournier misses 2-pt shot from 1 ft,,56-60,,
9:14.0,Offensive rebound by N. Vucevic,,56-60,,
9:14.0,N. Vucevic makes 2-pt shot at rim,2,58-60,,
9:02.0,,,58-63,3,L. Ball makes 3-pt shot from 25 ft (assist by B. Lopez)
8:41.0,D. Augustin misses 3-pt shot from 26 ft,,58-63,,
8:39.0,,,58-63,,Defensive rebound by K. Caldwell-Pope
8:33.0,,,58-63,,Offensive charge foul by J. Randle (drawn by D. Augustin)
8:33.0,,,58-63,,Turnover by J. Randle (offensive foul)
8:19.0,Shooting foul by K. Caldwell-Pope (drawn by D. Augustin),,58-63,,
8:19.0,D. Augustin makes free throw 1 of 2,1,59-63,,
8:19.0,M. Hezonja enters the game for E. Fournier,,59-63,,
8:19.0,D. Augustin makes free throw 2 of 2,1,60-63,,
8:04.0,,,60-63,,Turnover by L. Ball (bad pass)
7:53.0,J. Simmons misses 2-pt shot from 17 ft,,60-63,,
7:50.0,Offensive rebound by J. Simmons,,60-63,,
7:47.0,A. Gordon makes 2-pt shot from 1 ft (assist by N. Vucevic),2,62-63,,
7:35.0,Personal foul by J. Simmons (drawn by K. Caldwell-Pope),,62-63,,
7:21.0,,,62-65,2,J. Randle makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope)
7:04.0,Turnover by J. Simmons (discontinued dribble),,62-65,,
6:50.0,,,62-68,3,L. Ball makes 3-pt shot from 22 ft (assist by K. Kuzma)
6:39.0,D. Augustin misses 2-pt shot from 4 ft,,62-68,,
6:38.0,Offensive rebound by A. Gordon,,62-68,,
6:36.0,A. Gordon makes 2-pt shot from 2 ft,2,64-68,,
6:18.0,,,64-70,2,J. Randle makes 2-pt shot from 3 ft
6:18.0,Orlando full timeout,,64-70,,
6:06.0,A. Gordon makes 3-pt shot from 27 ft (assist by J. Simmons),3,67-70,,
5:48.0,,,67-73,3,L. Ball makes 3-pt shot from 27 ft (assist by J. Randle)
5:33.0,N. Vucevic misses 3-pt shot from 26 ft,,67-73,,
5:31.0,,,67-73,,Defensive rebound by J. Randle
5:22.0,,,67-73,,J. Randle misses 2-pt shot from 3 ft
5:20.0,Defensive rebound by N. Vucevic,,67-73,,
5:16.0,M. Hezonja misses 2-pt shot at rim,,67-73,,
5:16.0,,,67-73,,Defensive rebound by Team
5:04.0,,,67-73,,B. Lopez misses 3-pt shot from 26 ft
5:00.0,Defensive rebound by A. Gordon,,67-73,,
4:50.0,J. Simmons makes 3-pt shot from 26 ft (assist by N. Vucevic),3,70-73,,
4:28.0,,,70-73,,L. Ball misses 3-pt shot from 27 ft
4:25.0,Defensive rebound by N. Vucevic,,70-73,,
4:14.0,J. Simmons misses 3-pt shot from 23 ft,,70-73,,
4:10.0,Offensive rebound by N. Vucevic,,70-73,,
4:10.0,N. Vucevic makes 2-pt shot at rim,2,72-73,,
4:10.0,,,72-73,,LA Lakers full timeout
4:10.0,,,72-73,,I. Thomas enters the game for J. Randle
3:50.0,,,72-73,,K. Kuzma misses 3-pt shot from 27 ft
3:44.0,Defensive rebound by A. Gordon,,72-73,,
3:31.0,M. Hezonja makes 2-pt shot from 1 ft (assist by J. Simmons),2,74-73,,
3:23.0,,,74-73,,K. Kuzma misses 2-pt shot from 3 ft (block by N. Vucevic)
3:20.0,,,74-73,,Offensive rebound by K. Kuzma
3:17.0,,,74-75,2,B. Lopez makes 2-pt shot from 14 ft (assist by I. Thomas)
2:56.0,D. Augustin makes 3-pt shot from 26 ft (assist by J. Simmons),3,77-75,,
2:37.0,Personal foul by N. Vucevic (drawn by B. Lopez),,77-75,,
2:37.0,,,77-75,,A. Caruso enters the game for K. Caldwell-Pope
2:23.0,,,77-77,2,B. Lopez makes 2-pt shot from 1 ft
2:12.0,Shooting foul by B. Lopez (drawn by A. Gordon),,77-77,,
2:12.0,A. Gordon misses free throw 1 of 2,,77-77,,
2:12.0,Offensive rebound by Team,,77-77,,
2:12.0,B. Biyombo enters the game for N. Vucevic,,77-77,,
2:12.0,S. Mack enters the game for J. Simmons,,77-77,,
2:12.0,A. Gordon misses free throw 2 of 2,,77-77,,
2:10.0,,,77-77,,Defensive rebound by K. Kuzma
1:51.0,,,77-77,,Turnover by K. Kuzma (bad pass)
1:51.0,,,77-77,,I. Zubac enters the game for B. Lopez
1:51.0,J. Isaac enters the game for A. Gordon,,77-77,,
1:40.0,J. Isaac makes 2-pt shot at rim (assist by D. Augustin),2,79-77,,
1:31.0,,,79-77,,Turnover by L. Ball (bad pass; steal by J. Isaac)
1:30.0,J. Isaac misses 2-pt shot from 5 ft (block by L. Ball),,79-77,,
1:29.0,Offensive rebound by Team,,79-77,,
1:21.0,M. Hezonja misses 3-pt shot from 24 ft,,79-77,,
1:19.0,,,79-77,,Defensive rebound by K. Kuzma
1:11.0,,,79-79,2,K. Kuzma makes 2-pt shot from 13 ft
0:50.0,D. Augustin misses 2-pt shot from 19 ft,,79-79,,
0:45.0,,,79-79,,Defensive rebound by K. Kuzma
0:41.0,,,79-79,,Turnover by A. Caruso (bad pass)
0:29.0,M. Hezonja misses 3-pt shot from 27 ft,,79-79,,
0:26.0,,,79-79,,Defensive rebound by K. Kuzma
0:20.0,,,79-81,2,K. Kuzma makes 2-pt shot from 1 ft
0:04.0,Turnover by D. Augustin (bad pass),,79-81,,
0:02.0,Personal take foul by J. Isaac (drawn by K. Kuzma),,79-81,,
0:01.0,,,79-81,,L. Ball misses 3-pt shot from 32 ft
0:00.0,,,79-81,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,79-81,,T. Wear misses 2-pt shot from 19 ft
11:42.0,,,79-81,,Offensive rebound by Team
11:42.0,Loose ball foul by A. Afflalo (drawn by K. Caldwell-Pope),,79-81,,
11:33.0,,,79-83,2,I. Thomas makes 2-pt shot from 8 ft (assist by I. Zubac)
11:11.0,S. Mack misses 2-pt shot from 18 ft,,79-83,,
11:09.0,,,79-83,,Defensive rebound by I. Zubac
11:05.0,Personal foul by S. Mack (drawn by I. Thomas),,79-83,,
10:48.0,,,79-83,,T. Wear misses 2-pt shot from 20 ft
10:46.0,Defensive rebound by J. Isaac,,79-83,,
10:35.0,Shooting foul by T. Wear (drawn by M. Hezonja),,79-83,,
10:35.0,M. Hezonja makes free throw 1 of 2,1,80-83,,
10:35.0,M. Hezonja makes free throw 2 of 2,1,81-83,,
10:27.0,Personal foul by J. Isaac (drawn by I. Thomas),,81-83,,
10:27.0,A. Gordon enters the game for J. Isaac,,81-83,,
10:27.0,,,81-83,,J. Randle enters the game for T. Wear
10:12.0,,,81-85,2,A. Caruso makes 2-pt shot from 14 ft (assist by J. Randle)
9:47.0,A. Afflalo makes 2-pt shot from 18 ft (assist by B. Biyombo),2,83-85,,
9:19.0,,,83-85,,I. Zubac misses 2-pt shot from 14 ft
9:16.0,Defensive rebound by B. Biyombo,,83-85,,
9:09.0,B. Biyombo makes 2-pt shot at rim (assist by A. Gordon),2,85-85,,
9:09.0,,,85-85,,LA Lakers full timeout
9:09.0,,,85-85,,K. Kuzma enters the game for J. Randle
8:58.0,,,85-85,,I. Thomas misses 3-pt shot from 26 ft
8:56.0,Defensive rebound by B. Biyombo,,85-85,,
8:36.0,A. Gordon misses 2-pt shot from 16 ft,,85-85,,
8:32.0,,,85-85,,Defensive rebound by I. Zubac
8:26.0,,,85-87,2,K. Kuzma makes 2-pt shot from 2 ft (assist by I. Thomas)
8:00.0,S. Mack misses 3-pt shot from 28 ft,,85-87,,
8:00.0,,,85-87,,Defensive rebound by A. Caruso
7:47.0,,,85-89,2,I. Thomas makes 2-pt shot from 11 ft (assist by K. Caldwell-Pope)
7:28.0,A. Gordon misses 2-pt shot from 10 ft,,85-89,,
7:25.0,Offensive rebound by A. Gordon,,85-89,,
7:20.0,A. Gordon misses 2-pt shot from 2 ft,,85-89,,
7:18.0,,,85-89,,Defensive rebound by A. Caruso
7:13.0,,,85-91,2,K. Kuzma makes 2-pt shot from 2 ft (assist by A. Caruso)
7:13.0,Orlando full timeout,,85-91,,
7:13.0,,,85-91,,L. Ball enters the game for A. Caruso
7:13.0,N. Vucevic enters the game for A. Gordon,,85-91,,
7:13.0,J. Simmons enters the game for S. Mack,,85-91,,
7:13.0,D. Augustin enters the game for B. Biyombo,,85-91,,
7:02.0,Offensive foul by N. Vucevic (drawn by K. Caldwell-Pope),,85-91,,
7:02.0,Turnover by N. Vucevic (offensive foul),,85-91,,
6:43.0,,,85-94,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by I. Thomas)
6:23.0,Offensive foul by J. Simmons (drawn by L. Ball),,85-94,,
6:23.0,Turnover by J. Simmons (offensive foul),,85-94,,
6:23.0,,,85-94,,B. Lopez enters the game for I. Zubac
6:09.0,,,85-96,2,B. Lopez makes 2-pt shot from 1 ft (assist by I. Thomas)
6:09.0,Orlando full timeout,,85-96,,
6:09.0,A. Gordon enters the game for M. Hezonja,,85-96,,
5:55.0,N. Vucevic makes 2-pt shot from 6 ft (assist by J. Simmons),2,87-96,,
5:38.0,,,87-96,,I. Thomas misses 2-pt shot from 2 ft
5:36.0,Defensive rebound by A. Gordon,,87-96,,
5:34.0,,,87-96,,Personal foul by L. Ball (drawn by D. Augustin)
5:29.0,Turnover by A. Gordon (bad pass; steal by K. Kuzma),,87-96,,
5:20.0,,,87-99,3,B. Lopez makes 3-pt shot from 26 ft (assist by I. Thomas)
5:17.0,Orlando full timeout,,87-99,,
5:17.0,S. Mack enters the game for A. Afflalo,,87-99,,
5:17.0,M. Hezonja enters the game for D. Augustin,,87-99,,
4:57.0,,,87-99,,Personal foul by I. Thomas (drawn by N. Vucevic)
4:45.0,A. Gordon makes 2-pt shot from 22 ft (assist by S. Mack),2,89-99,,
4:27.0,,,89-99,,K. Kuzma misses 2-pt shot from 15 ft
4:23.0,,,89-99,,Offensive rebound by L. Ball
4:20.0,,,89-99,,K. Kuzma misses 3-pt shot from 26 ft
4:18.0,Defensive rebound by N. Vucevic,,89-99,,
4:13.0,S. Mack makes 3-pt shot from 24 ft (assist by J. Simmons),3,92-99,,
4:12.0,,,92-99,,LA Lakers full timeout
3:57.0,,,92-101,2,B. Lopez makes 2-pt shot from 7 ft
3:31.0,S. Mack makes 3-pt shot from 25 ft (assist by N. Vucevic),3,95-101,,
3:12.0,,,95-101,,B. Lopez misses 2-pt shot from 7 ft
3:11.0,Defensive rebound by J. Simmons,,95-101,,
3:08.0,Turnover by J. Simmons (lost ball; steal by K. Kuzma),,95-101,,
3:02.0,Personal foul by M. Hezonja (drawn by K. Caldwell-Pope),,95-101,,
2:53.0,,,95-104,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by I. Thomas)
