time,Milwaukee,pts.away,score,pts.home,Atlanta
5:10.0,Defensive rebound by J. Henson,,18-11,,
5:00.0,G. Antetokounmpo makes 2-pt shot from 3 ft,2,20-11,,
4:45.0,,,20-11,,J. Collins misses 2-pt shot from 2 ft
4:42.0,Defensive rebound by J. Henson,,20-11,,
4:42.0,,,20-11,,Personal take foul by D. Schroder (drawn by G. Antetokounmpo)
4:42.0,,,20-11,,M. Delaney enters the game for D. Schroder
4:42.0,,,20-11,,L. Babbitt enters the game for M. Muscala
4:42.0,M. Dellavedova enters the game for M. Brogdon,,20-11,,
4:34.0,T. Snell misses 3-pt shot from 25 ft,,20-11,,
4:31.0,,,20-11,,Defensive rebound by T. Waller-Prince
4:25.0,,,20-11,,T. Waller-Prince misses 2-pt shot from 18 ft
4:24.0,Defensive rebound by Team,,20-11,,
4:24.0,,,20-11,,Personal foul by J. Collins (drawn by J. Henson)
4:15.0,T. Snell misses 2-pt shot from 4 ft (block by J. Collins),,20-11,,
4:14.0,,,20-11,,Defensive rebound by Team
4:07.0,Personal foul by M. Dellavedova (drawn by M. Delaney),,20-11,,
4:07.0,K. Middleton enters the game for T. Snell,,20-11,,
4:04.0,Personal foul by R. Vaughn (drawn by M. Belinelli),,20-11,,
3:52.0,,,20-11,,T. Waller-Prince misses 3-pt shot from 23 ft
3:49.0,Defensive rebound by G. Antetokounmpo,,20-11,,
3:44.0,R. Vaughn makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,23-11,,
3:32.0,,,23-11,,Turnover by M. Delaney (bad pass)
3:23.0,Turnover by M. Dellavedova (bad pass; steal by T. Waller-Prince),,23-11,,
3:18.0,,,23-11,,T. Waller-Prince misses 2-pt shot from 3 ft
3:13.0,,,23-11,,Offensive rebound by M. Delaney
3:13.0,,,23-11,,M. Delaney misses 2-pt shot at rim
3:10.0,Defensive rebound by K. Middleton,,23-11,,
3:07.0,Turnover by K. Middleton (bad pass; steal by T. Waller-Prince),,23-11,,
3:01.0,,,23-11,,Turnover by T. Waller-Prince (bad pass; steal by J. Henson)
2:52.0,R. Vaughn makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,26-11,,
2:43.0,,,26-11,,Atlanta full timeout
2:43.0,,,26-11,,K. Bazemore enters the game for T. Waller-Prince
2:43.0,M. Teletovic enters the game for G. Antetokounmpo,,26-11,,
2:35.0,,,26-13,2,L. Babbitt makes 2-pt shot from 12 ft (assist by M. Belinelli)
2:19.0,K. Middleton misses 3-pt shot from 25 ft,,26-13,,
2:17.0,,,26-13,,Defensive rebound by L. Babbitt
2:09.0,,,26-16,3,M. Belinelli makes 3-pt shot from 26 ft (assist by M. Delaney)
1:56.0,M. Dellavedova makes 2-pt shot from 12 ft,2,28-16,,
1:41.0,,,28-16,,L. Babbitt misses 3-pt shot from 23 ft
1:36.0,Defensive rebound by M. Dellavedova,,28-16,,
1:31.0,K. Middleton misses 2-pt shot from 12 ft,,28-16,,
1:30.0,,,28-16,,Defensive rebound by Team
1:19.0,,,28-16,,M. Belinelli misses 3-pt shot from 25 ft
1:19.0,Defensive rebound by M. Dellavedova,,28-16,,
1:01.0,K. Middleton misses 2-pt shot from 1 ft,,28-16,,
1:00.0,,,28-16,,Defensive rebound by Team
0:44.0,,,28-16,,M. Delaney misses 3-pt shot from 23 ft
0:41.0,Defensive rebound by M. Teletovic,,28-16,,
0:34.0,M. Dellavedova misses 2-pt shot from 12 ft,,28-16,,
0:30.0,Offensive rebound by M. Dellavedova,,28-16,,
0:19.0,K. Middleton misses 3-pt shot from 24 ft,,28-16,,
0:17.0,,,28-16,,Defensive rebound by Team
0:02.0,,,28-16,,L. Babbitt misses 3-pt shot from 22 ft
0:02.0,Defensive rebound by J. Henson,,28-16,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,J. Henson makes 2-pt shot from 4 ft (assist by K. Middleton),2,30-16,,
11:33.0,,,30-16,,Shooting foul by J. Henson (drawn by K. Bazemore)
11:33.0,,,30-17,1,K. Bazemore makes free throw 1 of 2
11:33.0,,,30-18,1,K. Bazemore makes free throw 2 of 2
11:15.0,K. Middleton makes 2-pt shot from 16 ft,2,32-18,,
10:58.0,,,32-20,2,D. Schroder makes 2-pt shot from 14 ft (assist by M. Delaney)
10:35.0,M. Teletovic makes 3-pt shot from 26 ft (assist by M. Dellavedova),3,35-20,,
10:29.0,,,35-20,,L. Babbitt misses 3-pt shot from 24 ft
10:25.0,Defensive rebound by R. Vaughn,,35-20,,
10:22.0,,,35-20,,Personal foul by J. Collins (drawn by J. Henson)
10:22.0,,,35-20,,M. Muscala enters the game for L. Babbitt
10:22.0,,,35-20,,D. Dedmon enters the game for J. Collins
10:10.0,R. Vaughn misses 3-pt shot from 25 ft,,35-20,,
10:09.0,,,35-20,,Defensive rebound by Team
10:09.0,,,35-20,,Loose ball foul by M. Muscala (drawn by J. Henson)
10:02.0,M. Teletovic makes 2-pt shot from 18 ft (assist by J. Henson),2,37-20,,
9:46.0,,,37-20,,D. Schroder misses 2-pt shot from 2 ft (block by J. Henson)
9:38.0,Defensive rebound by J. Henson,,37-20,,
9:35.0,R. Vaughn makes 3-pt shot from 23 ft (assist by J. Henson),3,40-20,,
9:33.0,,,40-20,,Atlanta full timeout
9:33.0,,,40-20,,T. Waller-Prince enters the game for M. Delaney
9:33.0,,,40-20,,I. Taylor enters the game for M. Muscala
9:19.0,,,40-20,,D. Dedmon misses 2-pt shot from 4 ft (block by J. Henson)
9:14.0,Defensive rebound by K. Middleton,,40-20,,
9:10.0,K. Middleton misses 2-pt shot from 10 ft,,40-20,,
9:05.0,,,40-20,,Defensive rebound by D. Dedmon
8:57.0,,,40-20,,Turnover by K. Bazemore (bad pass; steal by M. Teletovic)
8:56.0,Turnover by M. Teletovic (bad pass; steal by D. Schroder),,40-20,,
8:53.0,,,40-23,3,T. Waller-Prince makes 3-pt shot from 25 ft (assist by I. Taylor)
8:29.0,R. Vaughn makes 3-pt shot from 22 ft (assist by K. Middleton),3,43-23,,
8:16.0,,,43-26,3,I. Taylor makes 3-pt shot from 25 ft (assist by D. Schroder)
8:02.0,Shooting foul by T. Waller-Prince (drawn by K. Middleton),,43-26,,
8:02.0,K. Middleton makes free throw 1 of 2,1,44-26,,
8:02.0,M. Brogdon enters the game for M. Dellavedova,,44-26,,
8:02.0,K. Middleton makes free throw 2 of 2,1,45-26,,
7:46.0,,,45-26,,K. Bazemore misses 2-pt shot from 2 ft (block by J. Henson)
7:43.0,Defensive rebound by J. Henson,,45-26,,
7:36.0,R. Vaughn misses 3-pt shot from 22 ft,,45-26,,
7:27.0,Offensive rebound by M. Teletovic,,45-26,,
7:27.0,J. Henson makes 2-pt shot at rim (assist by M. Teletovic),2,47-26,,
7:12.0,,,47-26,,T. Waller-Prince misses 2-pt shot from 20 ft
7:09.0,Defensive rebound by K. Middleton,,47-26,,
7:09.0,,,47-26,,Personal foul by I. Taylor (drawn by J. Henson)
7:03.0,K. Middleton makes 2-pt shot from 20 ft,2,49-26,,
6:46.0,,,49-28,2,D. Dedmon makes 2-pt shot from 1 ft (assist by K. Bazemore)
6:34.0,Turnover by R. Vaughn (traveling),,49-28,,
6:34.0,,,49-28,,M. Muscala enters the game for I. Taylor
6:34.0,T. Maker enters the game for R. Vaughn,,49-28,,
6:34.0,T. Snell enters the game for J. Henson,,49-28,,
6:34.0,G. Antetokounmpo enters the game for M. Teletovic,,49-28,,
6:13.0,Personal take foul by M. Brogdon (drawn by D. Dedmon),,49-28,,
6:12.0,Personal foul by M. Brogdon (drawn by D. Dedmon),,49-28,,
6:02.0,,,49-30,2,D. Schroder makes 2-pt shot from 2 ft
5:44.0,G. Antetokounmpo misses 2-pt shot from 17 ft,,49-30,,
5:39.0,,,49-30,,Defensive rebound by T. Waller-Prince
5:35.0,,,49-33,3,T. Waller-Prince makes 3-pt shot from 25 ft (assist by K. Bazemore)
5:23.0,T. Snell misses 3-pt shot from 25 ft,,49-33,,
5:18.0,,,49-33,,Defensive rebound by T. Waller-Prince
5:13.0,,,49-33,,Turnover by D. Schroder (lost ball; steal by T. Maker)
5:05.0,M. Brogdon makes 3-pt shot from 24 ft (assist by T. Snell),3,52-33,,
4:54.0,,,52-33,,Atlanta full timeout
4:54.0,,,52-33,,J. Collins enters the game for D. Dedmon
4:54.0,,,52-33,,I. Taylor enters the game for K. Bazemore
4:42.0,,,52-33,,T. Waller-Prince misses 2-pt shot from 9 ft
4:40.0,Defensive rebound by K. Middleton,,52-33,,
4:40.0,Turnover by K. Middleton (step out of bounds),,52-33,,
4:28.0,,,52-35,2,J. Collins makes 2-pt shot from 3 ft (assist by T. Waller-Prince)
4:06.0,T. Maker makes 3-pt shot from 23 ft (assist by G. Antetokounmpo),3,55-35,,
3:50.0,,,55-37,2,T. Waller-Prince makes 2-pt shot from 14 ft (assist by D. Schroder)
3:31.0,K. Middleton misses 2-pt shot from 19 ft,,55-37,,
3:27.0,,,55-37,,Defensive rebound by J. Collins
3:20.0,,,55-39,2,J. Collins makes 2-pt shot from 3 ft (assist by I. Taylor)
3:03.0,,,55-39,,Personal foul by T. Waller-Prince (drawn by M. Brogdon)
3:03.0,M. Brogdon makes free throw 1 of 2,1,56-39,,
3:03.0,M. Dellavedova enters the game for K. Middleton,,56-39,,
3:03.0,M. Brogdon makes free throw 2 of 2,1,57-39,,
2:44.0,,,57-41,2,T. Waller-Prince makes 2-pt shot from 8 ft
2:23.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by M. Brogdon),2,59-41,,
2:04.0,Personal foul by G. Antetokounmpo (drawn by J. Collins),,59-41,,
2:04.0,,,59-41,,M. Belinelli enters the game for D. Schroder
1:58.0,,,59-43,2,J. Collins makes 2-pt shot from 1 ft (assist by M. Belinelli)
1:58.0,,,59-43,,Shooting foul by T. Maker (drawn by J. Collins)
1:58.0,,,59-44,1,J. Collins makes free throw 1 of 1
1:46.0,M. Dellavedova misses 2-pt shot from 18 ft,,59-44,,
1:43.0,Offensive rebound by T. Maker,,59-44,,
1:37.0,T. Snell misses 2-pt shot from 9 ft,,59-44,,
1:33.0,,,59-44,,Defensive rebound by J. Collins
1:27.0,Personal foul by T. Maker (drawn by J. Collins),,59-44,,
1:27.0,,,59-45,1,J. Collins makes free throw 1 of 2
1:27.0,K. Middleton enters the game for M. Brogdon,,59-45,,
1:27.0,,,59-45,,J. Collins misses free throw 2 of 2
1:25.0,Defensive rebound by G. Antetokounmpo,,59-45,,
1:06.0,M. Dellavedova makes 2-pt shot from 1 ft (assist by T. Maker),2,61-45,,
0:44.0,,,61-48,3,M. Muscala makes 3-pt shot from 22 ft (assist by T. Waller-Prince)
0:37.0,G. Antetokounmpo misses 3-pt shot from 25 ft,,61-48,,
0:29.0,,,61-48,,Defensive rebound by J. Collins
0:16.0,,,61-48,,T. Waller-Prince misses 2-pt shot from 3 ft
0:14.0,Defensive rebound by G. Antetokounmpo,,61-48,,
0:01.0,G. Antetokounmpo misses 2-pt shot from 18 ft,,61-48,,
0:01.0,,,61-48,,Defensive rebound by J. Collins
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,M. Brogdon makes 3-pt shot from 22 ft (assist by T. Snell),3,64-48,,
11:24.0,,,64-48,,K. Bazemore misses 3-pt shot from 23 ft
11:19.0,Defensive rebound by K. Middleton,,64-48,,
11:12.0,K. Middleton makes 2-pt shot from 4 ft (assist by M. Brogdon),2,66-48,,
10:46.0,,,66-48,,K. Bazemore misses 3-pt shot from 22 ft
10:42.0,Defensive rebound by K. Middleton,,66-48,,
10:32.0,Shooting foul by M. Muscala (drawn by G. Antetokounmpo),,66-48,,
10:32.0,G. Antetokounmpo makes free throw 1 of 2,1,67-48,,
10:32.0,G. Antetokounmpo makes free throw 2 of 2,1,68-48,,
10:14.0,,,68-50,2,D. Dedmon makes 2-pt shot from 15 ft (assist by D. Schroder)
9:48.0,M. Brogdon misses 3-pt shot from 23 ft,,68-50,,
9:44.0,,,68-50,,Defensive rebound by T. Waller-Prince
9:35.0,,,68-50,,T. Waller-Prince misses 3-pt shot from 24 ft
9:32.0,Defensive rebound by G. Antetokounmpo,,68-50,,
9:28.0,Turnover by T. Snell (lost ball; steal by K. Bazemore),,68-50,,
9:23.0,,,68-53,3,D. Schroder makes 3-pt shot from 24 ft (assist by K. Bazemore)
9:07.0,M. Brogdon makes 2-pt shot from 12 ft,2,70-53,,
8:50.0,,,70-53,,T. Waller-Prince misses 2-pt shot from 10 ft
8:50.0,Defensive rebound by G. Antetokounmpo,,70-53,,
8:48.0,,,70-53,,Personal take foul by D. Schroder (drawn by G. Antetokounmpo)
8:38.0,G. Antetokounmpo misses 2-pt shot from 19 ft,,70-53,,
8:34.0,,,70-53,,Defensive rebound by D. Dedmon
8:27.0,,,70-55,2,D. Dedmon makes 2-pt shot from 3 ft (assist by K. Bazemore)
8:06.0,G. Antetokounmpo makes 2-pt shot from 5 ft (assist by K. Middleton),2,72-55,,
7:53.0,,,72-55,,Turnover by D. Dedmon (traveling)
7:40.0,T. Snell misses 3-pt shot from 23 ft,,72-55,,
7:36.0,,,72-55,,Defensive rebound by T. Waller-Prince
7:30.0,Personal foul by T. Maker (drawn by D. Dedmon),,72-55,,
7:22.0,,,72-57,2,D. Dedmon makes 2-pt shot from 2 ft (assist by M. Muscala)
7:04.0,K. Middleton misses 2-pt shot from 18 ft,,72-57,,
7:02.0,Offensive rebound by T. Maker,,72-57,,
7:02.0,,,72-57,,Personal foul by M. Muscala (drawn by T. Maker)
7:02.0,,,72-57,,M. Belinelli enters the game for K. Bazemore
6:50.0,K. Middleton makes 3-pt shot from 25 ft (assist by M. Brogdon),3,75-57,,
6:39.0,,,75-57,,D. Schroder misses 2-pt shot from 17 ft
6:39.0,,,75-57,,Offensive rebound by Team
6:39.0,Personal foul by T. Maker (drawn by D. Dedmon),,75-57,,
6:39.0,,,75-57,,Atlanta full timeout
6:33.0,,,75-57,,D. Schroder misses 3-pt shot from 24 ft
6:30.0,Defensive rebound by G. Antetokounmpo,,75-57,,
6:19.0,K. Middleton makes 2-pt shot from 21 ft,2,77-57,,
6:08.0,Personal foul by T. Snell (drawn by M. Belinelli),,77-57,,
6:08.0,,,77-57,,J. Collins enters the game for D. Dedmon
6:00.0,,,77-57,,J. Collins misses 2-pt shot from 13 ft
5:57.0,Defensive rebound by T. Maker,,77-57,,
5:34.0,M. Brogdon misses 2-pt shot from 16 ft,,77-57,,
5:34.0,,,77-57,,Defensive rebound by Team
5:34.0,Personal foul by G. Antetokounmpo (drawn by M. Muscala),,77-57,,
5:12.0,,,77-60,3,D. Schroder makes 3-pt shot from 24 ft (assist by T. Waller-Prince)
4:55.0,Turnover by M. Brogdon (bad pass; steal by M. Belinelli),,77-60,,
4:48.0,,,77-60,,Turnover by T. Waller-Prince (bad pass; steal by T. Maker)
4:48.0,,,77-60,,Personal foul by T. Waller-Prince (drawn by K. Middleton)
4:27.0,Shooting foul by T. Waller-Prince (drawn by K. Middleton),,77-60,,
4:27.0,K. Middleton misses free throw 1 of 3,,77-60,,
4:27.0,Offensive rebound by Team,,77-60,,
4:27.0,K. Middleton makes free throw 2 of 3,1,79-60,,
4:27.0,K. Middleton makes free throw 3 of 3,1,79-60,,
4:27.0,M. Dellavedova enters the game for T. Maker,,79-60,,
4:27.0,J. Henson enters the game for M. Brogdon,,79-60,,
4:09.0,,,79-60,,M. Muscala misses 2-pt shot from 4 ft
4:06.0,Defensive rebound by J. Henson,,79-60,,
3:54.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by T. Snell),2,81-60,,
3:54.0,,,81-60,,Atlanta full timeout
3:54.0,,,81-60,,I. Taylor enters the game for D. Schroder
3:54.0,,,81-60,,K. Bazemore enters the game for M. Muscala
3:41.0,,,81-60,,Turnover by M. Belinelli (traveling)
3:21.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by K. Middleton),2,83-60,,
3:07.0,Personal foul by J. Henson (drawn by I. Taylor),,83-60,,
3:07.0,,,83-61,1,I. Taylor makes free throw 1 of 2
3:07.0,R. Vaughn enters the game for T. Snell,,83-61,,
3:07.0,,,83-62,1,I. Taylor makes free throw 2 of 2
2:54.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,85-62,,
2:44.0,,,85-62,,T. Waller-Prince misses 3-pt shot from 26 ft
2:44.0,,,85-62,,Offensive rebound by M. Belinelli
2:38.0,,,85-62,,Shooting foul by K. Middleton (drawn by K. Bazemore)
2:38.0,,,85-63,1,K. Bazemore makes free throw 1 of 2
2:38.0,,,85-64,1,K. Bazemore makes free throw 2 of 2
2:25.0,Personal foul by J. Henson (drawn by M. Belinelli),,85-64,,
2:25.0,Turnover by J. Henson (turnover),,85-64,,
2:05.0,,,85-66,2,I. Taylor makes 2-pt shot from 2 ft
1:53.0,J. Henson makes 2-pt shot at rim (assist by K. Middleton),2,87-66,,
1:35.0,,,87-66,,I. Taylor misses 2-pt shot from 3 ft
1:28.0,,,87-66,,Offensive rebound by J. Collins
1:28.0,,,87-68,2,J. Collins makes 2-pt shot at rim
1:18.0,K. Middleton makes 3-pt shot from 26 ft (assist by R. Vaughn),3,90-68,,
1:18.0,Loose ball foul by G. Antetokounmpo (drawn by K. Bazemore),,90-68,,
1:18.0,,,90-69,1,K. Bazemore makes free throw 1 of 2
1:18.0,,,90-70,1,K. Bazemore makes free throw 2 of 2
1:08.0,J. Henson misses 2-pt shot from 1 ft,,90-70,,
1:08.0,,,90-70,,Defensive rebound by Team
0:55.0,,,90-70,,Shooting foul by R. Vaughn (drawn by J. Collins)
0:55.0,,,90-70,,J. Collins misses free throw 1 of 2
0:55.0,,,90-70,,Offensive rebound by Team
0:55.0,T. Snell enters the game for G. Antetokounmpo,,90-70,,
0:55.0,,,90-70,,J. Collins misses free throw 2 of 2
0:52.0,Defensive rebound by K. Middleton,,90-70,,
0:42.0,Turnover by M. Dellavedova (bad pass; steal by M. Belinelli),,90-70,,
0:37.0,,,90-73,3,K. Bazemore makes 3-pt shot from 23 ft (assist by M. Belinelli)
0:31.0,K. Middleton makes 2-pt shot from 10 ft,2,92-73,,
0:17.0,,,92-73,,T. Waller-Prince misses 3-pt shot from 24 ft
0:13.0,Defensive rebound by R. Vaughn,,92-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,92-76,3,L. Babbitt makes 3-pt shot from 25 ft (assist by K. Bazemore)
11:20.0,J. Henson misses 2-pt shot from 2 ft,,92-76,,
11:13.0,,,92-76,,Defensive rebound by L. Babbitt
11:07.0,,,92-76,,K. Bazemore misses 2-pt shot from 2 ft
11:02.0,Defensive rebound by J. Henson,,92-76,,
10:51.0,M. Dellavedova makes 2-pt shot from 11 ft,2,94-76,,
10:31.0,,,94-79,3,M. Belinelli makes 3-pt shot from 25 ft (assist by K. Bazemore)
10:06.0,,,94-79,,Personal foul by K. Bazemore (drawn by J. Henson)
10:06.0,,,94-79,,D. Schroder enters the game for I. Taylor
9:54.0,J. Henson makes 2-pt shot from 18 ft (assist by R. Vaughn),2,96-79,,
9:41.0,,,96-79,,Shooting foul by R. Vaughn (drawn by K. Bazemore)
9:41.0,,,96-80,1,K. Bazemore makes free throw 1 of 2
9:41.0,,,96-81,1,K. Bazemore makes free throw 2 of 2
9:26.0,M. Dellavedova misses 2-pt shot from 9 ft,,96-81,,
9:24.0,,,96-81,,Defensive rebound by J. Collins
9:04.0,Personal foul by M. Dellavedova (drawn by J. Collins),,96-81,,
9:04.0,M. Brogdon enters the game for M. Dellavedova,,96-81,,
8:58.0,,,96-81,,Turnover by D. Schroder (lost ball; steal by J. Henson)
8:57.0,,,96-81,,Personal take foul by K. Bazemore (drawn by G. Antetokounmpo)
8:50.0,M. Brogdon misses 2-pt shot from 21 ft,,96-81,,
8:46.0,,,96-81,,Defensive rebound by L. Babbitt
8:28.0,,,96-81,,K. Bazemore misses 3-pt shot from 25 ft
8:23.0,Defensive rebound by G. Antetokounmpo,,96-81,,
8:17.0,Turnover by J. Henson (traveling),,96-81,,
8:04.0,,,96-83,2,D. Schroder makes 2-pt shot from 2 ft
7:47.0,Turnover by M. Teletovic (bad pass; steal by D. Schroder),,96-83,,
7:42.0,,,96-85,2,D. Schroder makes 2-pt shot from 2 ft
7:42.0,Milwaukee full timeout,,96-85,,
7:42.0,,,96-85,,T. Waller-Prince enters the game for K. Bazemore
7:42.0,K. Middleton enters the game for R. Vaughn,,96-85,,
7:42.0,T. Snell enters the game for M. Teletovic,,96-85,,
7:30.0,M. Brogdon misses 2-pt shot from 14 ft,,96-85,,
7:27.0,,,96-85,,Defensive rebound by M. Belinelli
7:19.0,,,96-85,,D. Schroder misses 2-pt shot from 2 ft
7:15.0,Defensive rebound by T. Snell,,96-85,,
7:07.0,J. Henson makes 2-pt shot from 5 ft (assist by K. Middleton),2,98-85,,
6:52.0,,,98-85,,T. Waller-Prince misses 3-pt shot from 23 ft
6:50.0,Defensive rebound by G. Antetokounmpo,,98-85,,
6:42.0,,,98-85,,M. Muscala enters the game for J. Collins
6:38.0,Jump ball: T. Waller-Prince vs. K. Middleton (G. Antetokounmpo gains possession),,,,Jump ball: T. Waller-Prince vs. K. Middleton (G. Antetokounmpo gains possession)
6:32.0,M. Brogdon misses 3-pt shot from 26 ft,,98-85,,
6:26.0,,,98-85,,Defensive rebound by M. Belinelli
6:23.0,,,98-85,,Turnover by M. Muscala (bad pass)
6:09.0,Shooting foul by L. Babbitt (drawn by K. Middleton),,98-85,,
6:09.0,K. Middleton makes free throw 1 of 2,1,99-85,,
6:09.0,K. Middleton makes free throw 2 of 2,1,100-85,,
6:02.0,,,100-88,3,M. Muscala makes 3-pt shot from 23 ft (assist by L. Babbitt)
5:44.0,G. Antetokounmpo makes 2-pt shot from 22 ft,2,102-88,,
5:26.0,,,102-90,2,T. Waller-Prince makes 2-pt shot from 1 ft (assist by D. Schroder)
5:26.0,,,102-90,,Shooting foul by J. Henson (drawn by T. Waller-Prince)
5:26.0,,,102-90,,I. Taylor enters the game for M. Belinelli
5:26.0,,,102-90,,T. Waller-Prince misses free throw 1 of 1
5:22.0,Defensive rebound by J. Henson,,102-90,,
5:07.0,G. Antetokounmpo misses 2-pt shot from 22 ft,,102-90,,
5:03.0,,,102-90,,Defensive rebound by L. Babbitt
4:57.0,,,102-90,,D. Schroder misses 2-pt shot from 3 ft
4:54.0,Defensive rebound by G. Antetokounmpo,,102-90,,
4:51.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,104-90,,
4:38.0,,,104-90,,T. Waller-Prince misses 2-pt shot from 19 ft
4:35.0,Defensive rebound by J. Henson,,104-90,,
4:28.0,,,104-90,,Personal foul by I. Taylor (drawn by K. Middleton)
4:28.0,,,104-90,,K. Bazemore enters the game for L. Babbitt
4:20.0,K. Middleton makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,107-90,,
4:01.0,,,107-90,,Turnover by K. Bazemore (bad pass)
3:49.0,Shooting foul by M. Muscala (drawn by G. Antetokounmpo),,107-90,,
3:49.0,G. Antetokounmpo makes free throw 1 of 2,1,108-90,,
3:49.0,G. Antetokounmpo makes free throw 2 of 2,1,109-90,,
3:43.0,,,109-90,,Shooting foul by G. Antetokounmpo (drawn by M. Muscala)
3:43.0,,,109-91,1,M. Muscala makes free throw 1 of 2
