time,Boston,pts.away,score,pts.home,New Orleans
5:36.0,,,15-10,,Turnover by R. Rondo (bad pass; steal by M. Morris)
5:20.0,G. Monroe misses 2-pt shot from 3 ft,,15-10,,
5:18.0,,,15-10,,Defensive rebound by A. Davis
5:06.0,,,15-10,,A. Davis misses 3-pt shot from 25 ft
5:02.0,,,15-10,,Offensive rebound by E. Okafor
4:56.0,,,15-10,,J. Holiday misses 3-pt shot from 22 ft
4:55.0,Defensive rebound by T. Rozier,,15-10,,
4:55.0,Boston full timeout,,15-10,,
4:55.0,,,15-10,,I. Clark enters the game for J. Holiday
4:55.0,,,15-10,,N. Mirotic enters the game for E. Okafor
4:55.0,,,15-10,,S. Hill enters the game for E. Moore
4:55.0,A. Nader enters the game for J. Tatum,,15-10,,
4:40.0,Shooting foul by N. Mirotic (drawn by M. Morris),,15-10,,
4:40.0,M. Morris makes free throw 1 of 2,1,16-10,,
4:40.0,M. Morris makes free throw 2 of 2,1,17-10,,
4:28.0,,,17-12,2,A. Davis makes 2-pt shot from 2 ft (assist by I. Clark)
4:16.0,T. Rozier misses 2-pt shot from 2 ft (block by I. Clark),,17-12,,
4:16.0,,,17-12,,Defensive rebound by Team
4:03.0,,,17-12,,I. Clark misses 2-pt shot from 20 ft
4:02.0,,,17-12,,Offensive rebound by N. Mirotic
4:02.0,,,17-12,,N. Mirotic misses 2-pt shot from 1 ft
4:01.0,Defensive rebound by Team,,17-12,,
3:55.0,M. Morris makes 3-pt shot from 27 ft,3,20-12,,
3:39.0,,,20-14,2,N. Mirotic makes 2-pt shot from 1 ft (assist by S. Hill)
3:26.0,Turnover by G. Monroe (lost ball; steal by I. Clark),,20-14,,
3:22.0,Personal foul by M. Morris (drawn by A. Davis),,20-14,,
3:21.0,Personal foul by A. Horford (drawn by A. Davis),,20-14,,
3:21.0,,,20-15,1,A. Davis makes free throw 1 of 2
3:21.0,,,20-16,1,A. Davis makes free throw 2 of 2
3:11.0,M. Morris misses 3-pt shot from 26 ft,,20-16,,
3:07.0,,,20-16,,Defensive rebound by N. Mirotic
3:00.0,,,20-18,2,N. Mirotic makes 2-pt shot from 1 ft
2:46.0,M. Morris misses 2-pt shot from 14 ft,,20-18,,
2:46.0,,,20-18,,Defensive rebound by N. Mirotic
2:41.0,,,20-18,,Turnover by N. Mirotic (lost ball; steal by G. Monroe)
2:37.0,G. Monroe makes 2-pt shot from 1 ft,2,22-18,,
2:31.0,,,22-18,,A. Davis misses 2-pt shot from 2 ft
2:31.0,Defensive rebound by M. Morris,,22-18,,
2:24.0,Shooting foul by R. Rondo (drawn by M. Morris),,22-18,,
2:24.0,,,22-18,,New Orleans full timeout
2:24.0,,,22-18,,L. Drew enters the game for R. Rondo
2:24.0,S. Ojeleye enters the game for T. Rozier,,22-18,,
2:24.0,S. Larkin enters the game for A. Horford,,22-18,,
2:24.0,M. Morris misses free throw 1 of 3,,22-18,,
2:24.0,Offensive rebound by Team,,22-18,,
2:24.0,M. Morris makes free throw 2 of 3,1,23-18,,
2:24.0,M. Morris makes free throw 3 of 3,1,24-18,,
2:11.0,,,24-18,,A. Davis misses 2-pt shot from 16 ft
2:06.0,Defensive rebound by M. Morris,,24-18,,
1:45.0,A. Nader misses 2-pt shot from 7 ft,,24-18,,
1:42.0,,,24-18,,Defensive rebound by N. Mirotic
1:31.0,Personal foul by S. Ojeleye (drawn by N. Mirotic),,24-18,,
1:31.0,,,24-18,,C. Diallo enters the game for A. Davis
1:31.0,,,24-19,1,N. Mirotic makes free throw 1 of 2
1:31.0,,,24-19,,N. Mirotic misses free throw 2 of 2
1:26.0,Defensive rebound by M. Morris,,24-19,,
1:07.0,G. Monroe misses 2-pt shot from 16 ft,,24-19,,
1:03.0,,,24-19,,Defensive rebound by C. Diallo
0:56.0,,,24-19,,N. Mirotic misses 3-pt shot from 26 ft
0:51.0,Defensive rebound by S. Ojeleye,,24-19,,
0:45.0,M. Morris makes 2-pt shot from 13 ft,2,26-19,,
0:33.0,Personal foul by A. Nader (drawn by N. Mirotic),,26-19,,
0:33.0,,,26-19,,N. Mirotic misses free throw 1 of 2
0:33.0,,,26-19,,Offensive rebound by Team
0:33.0,,,26-20,1,N. Mirotic makes free throw 2 of 2
0:19.0,S. Larkin misses 2-pt shot from 7 ft,,26-20,,
0:18.0,Offensive rebound by G. Monroe,,26-20,,
0:18.0,G. Monroe makes 2-pt shot from 1 ft,2,28-20,,
0:18.0,,,28-20,,Violation by C. Diallo (def goaltending)
0:04.0,,,28-20,,N. Mirotic misses 3-pt shot from 26 ft
0:00.0,Defensive rebound by A. Nader,,28-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Turnover by G. Monroe (lost ball; steal by I. Clark),,28-20,,
11:41.0,,,28-20,,I. Clark misses 2-pt shot from 1 ft
11:36.0,Defensive rebound by G. Monroe,,28-20,,
11:26.0,Turnover by G. Monroe (lost ball; steal by N. Mirotic),,28-20,,
11:19.0,,,28-23,3,I. Clark makes 3-pt shot from 23 ft (assist by J. Holiday)
11:02.0,S. Larkin misses 3-pt shot from 26 ft,,28-23,,
10:57.0,,,28-23,,Defensive rebound by N. Mirotic
10:51.0,,,28-23,,Turnover by J. Holiday (bad pass; steal by G. Monroe)
10:35.0,J. Tatum misses 2-pt shot from 20 ft,,28-23,,
10:31.0,,,28-23,,Defensive rebound by J. Holiday
10:20.0,,,28-23,,I. Clark misses 3-pt shot from 26 ft
10:16.0,Defensive rebound by J. Tatum,,28-23,,
10:03.0,Shooting foul by I. Clark (drawn by J. Tatum),,28-23,,
10:03.0,A. Baynes enters the game for G. Monroe,,28-23,,
10:03.0,J. Tatum misses free throw 1 of 2,,28-23,,
10:03.0,Offensive rebound by Team,,28-23,,
10:03.0,J. Tatum makes free throw 2 of 2,1,29-23,,
9:54.0,,,29-23,,N. Mirotic misses 2-pt shot from 21 ft
9:52.0,Defensive rebound by A. Baynes,,29-23,,
9:45.0,S. Ojeleye misses 3-pt shot from 24 ft,,29-23,,
9:45.0,,,29-23,,Defensive rebound by D. Miller
9:31.0,,,29-23,,N. Mirotic misses 2-pt shot from 9 ft
9:29.0,Defensive rebound by J. Tatum,,29-23,,
9:17.0,A. Nader misses 3-pt shot from 26 ft,,29-23,,
9:15.0,,,29-23,,Defensive rebound by C. Diallo
9:05.0,,,29-25,2,C. Diallo makes 2-pt shot at rim (assist by D. Miller)
8:43.0,Turnover by S. Larkin (bad pass; steal by N. Mirotic),,29-25,,
8:32.0,,,29-25,,Turnover by C. Diallo (bad pass; steal by J. Tatum)
8:24.0,J. Tatum makes 2-pt shot from 17 ft,2,31-25,,
8:15.0,,,31-25,,I. Clark misses 2-pt shot from 17 ft
8:08.0,Defensive rebound by S. Larkin,,31-25,,
7:52.0,A. Nader makes 3-pt shot from 22 ft (assist by A. Baynes),3,34-25,,
7:38.0,,,34-28,3,D. Miller makes 3-pt shot from 23 ft (assist by J. Holiday)
7:20.0,Turnover by J. Tatum (bad pass; steal by J. Holiday),,34-28,,
7:10.0,,,34-28,,Shooting foul by A. Baynes (drawn by C. Diallo)
7:10.0,,,34-28,,R. Rondo enters the game for N. Mirotic
7:10.0,,,34-28,,A. Davis enters the game for J. Holiday
7:10.0,T. Rozier enters the game for A. Nader,,34-28,,
7:10.0,,,34-29,1,C. Diallo makes free throw 1 of 2
7:10.0,,,34-30,1,C. Diallo makes free throw 2 of 2
6:48.0,J. Tatum makes 2-pt shot from 2 ft,2,36-30,,
6:37.0,,,36-30,,Offensive foul by D. Miller (drawn by J. Tatum)
6:37.0,,,36-30,,Turnover by D. Miller (offensive foul)
6:37.0,,,36-30,,New Orleans full timeout
6:37.0,,,36-30,,S. Hill enters the game for I. Clark
6:37.0,,,36-30,,E. Moore enters the game for D. Miller
6:24.0,T. Rozier makes 2-pt shot from 12 ft (assist by J. Tatum),2,38-30,,
6:04.0,,,38-30,,E. Moore misses 2-pt shot from 13 ft
6:00.0,Defensive rebound by T. Rozier,,38-30,,
5:49.0,A. Baynes misses 2-pt shot from 10 ft,,38-30,,
5:45.0,,,38-30,,Defensive rebound by A. Davis
5:32.0,,,38-32,2,C. Diallo makes 2-pt shot from 13 ft (assist by E. Moore)
5:17.0,T. Rozier misses 2-pt shot from 16 ft,,38-32,,
5:15.0,,,38-32,,Defensive rebound by Team
5:15.0,A. Horford enters the game for S. Ojeleye,,38-32,,
4:55.0,,,38-34,2,C. Diallo makes 2-pt shot from 13 ft (assist by R. Rondo)
4:41.0,J. Tatum makes 2-pt shot from 1 ft,2,40-34,,
4:30.0,,,40-34,,C. Diallo misses 2-pt shot from 16 ft
4:25.0,Defensive rebound by J. Tatum,,40-34,,
4:16.0,Turnover by T. Rozier (bad pass; steal by E. Moore),,40-34,,
4:08.0,,,40-34,,E. Moore misses 2-pt shot from 14 ft
4:03.0,,,40-34,,Offensive rebound by C. Diallo
4:02.0,,,40-36,2,C. Diallo makes 2-pt shot from 2 ft
4:01.0,Boston full timeout,,40-36,,
4:01.0,,,40-36,,N. Mirotic enters the game for C. Diallo
4:01.0,G. Monroe enters the game for J. Tatum,,40-36,,
4:01.0,M. Morris enters the game for A. Baynes,,40-36,,
3:47.0,T. Rozier makes 2-pt shot from 20 ft,2,42-36,,
3:30.0,,,42-36,,A. Davis misses 2-pt shot from 15 ft
3:25.0,Defensive rebound by A. Horford,,42-36,,
3:16.0,S. Larkin misses 3-pt shot from 23 ft,,42-36,,
3:12.0,,,42-36,,Defensive rebound by N. Mirotic
3:09.0,,,42-38,2,A. Davis makes 2-pt shot at rim (assist by R. Rondo)
3:09.0,,,42-38,,Shooting foul by A. Horford (drawn by A. Davis)
3:09.0,,,42-38,,D. Miller enters the game for S. Hill
3:09.0,,,42-39,1,A. Davis makes free throw 1 of 1
2:53.0,M. Morris misses 2-pt shot from 1 ft,,42-39,,
2:50.0,Offensive rebound by G. Monroe,,42-39,,
2:50.0,,,42-39,,Violation by A. Davis (kicked ball)
2:42.0,G. Monroe misses 2-pt shot from 7 ft,,42-39,,
2:39.0,,,42-39,,Defensive rebound by A. Davis
2:26.0,,,42-41,2,E. Moore makes 2-pt shot from 4 ft (assist by R. Rondo)
2:06.0,Turnover by A. Horford (lost ball; steal by R. Rondo),,42-41,,
2:00.0,,,42-41,,J. Holiday enters the game for R. Rondo
1:57.0,,,42-43,2,A. Davis makes 2-pt shot at rim (assist by E. Moore)
1:27.0,A. Horford makes 2-pt shot from 20 ft,2,44-43,,
1:09.0,,,44-43,,N. Mirotic misses 2-pt shot from 1 ft
1:04.0,Defensive rebound by G. Monroe,,44-43,,
0:59.0,G. Monroe makes 2-pt shot from 4 ft (assist by A. Horford),2,46-43,,
0:46.0,,,46-45,2,A. Davis makes 2-pt shot from 9 ft (assist by E. Moore)
0:35.0,M. Morris makes 3-pt shot from 26 ft (assist by T. Rozier),3,49-45,,
0:22.0,,,49-47,2,A. Davis makes 2-pt shot at rim (assist by N. Mirotic)
0:00.0,M. Morris misses 2-pt shot from 22 ft,,49-47,,
0:00.0,Offensive rebound by Team,,49-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,M. Morris misses 2-pt shot from 14 ft,,49-47,,
11:38.0,,,49-47,,Defensive rebound by E. Okafor
11:27.0,,,49-49,2,E. Okafor makes 2-pt shot from 1 ft (assist by A. Davis)
11:14.0,J. Tatum makes 3-pt shot from 24 ft (assist by T. Rozier),3,52-49,,
10:51.0,,,52-52,3,E. Moore makes 3-pt shot from 24 ft
10:39.0,A. Horford misses 2-pt shot from 11 ft,,52-52,,
10:35.0,,,52-52,,Defensive rebound by E. Okafor
10:29.0,,,52-52,,A. Davis misses 3-pt shot from 25 ft
10:25.0,Defensive rebound by T. Rozier,,52-52,,
10:19.0,T. Rozier misses 3-pt shot from 25 ft,,52-52,,
10:15.0,,,52-52,,Defensive rebound by E. Moore
10:08.0,,,52-54,2,E. Okafor makes 2-pt shot from 9 ft (assist by E. Moore)
9:46.0,T. Rozier misses 2-pt shot from 1 ft,,52-54,,
9:44.0,Offensive rebound by A. Baynes,,52-54,,
9:38.0,A. Horford misses 2-pt shot from 8 ft,,52-54,,
9:36.0,,,52-54,,Defensive rebound by A. Davis
9:31.0,Personal foul by A. Baynes (drawn by A. Davis),,52-54,,
9:31.0,G. Monroe enters the game for A. Baynes,,52-54,,
9:24.0,,,52-56,2,A. Davis makes 2-pt shot from 1 ft (assist by J. Holiday)
9:09.0,M. Morris misses 2-pt shot from 11 ft,,52-56,,
9:07.0,,,52-56,,Defensive rebound by E. Okafor
8:52.0,,,52-56,,J. Holiday misses 2-pt shot from 8 ft
8:47.0,,,52-56,,Offensive rebound by A. Davis
8:47.0,,,52-58,2,A. Davis makes 2-pt shot at rim
8:45.0,Boston full timeout,,52-58,,
8:26.0,T. Rozier misses 2-pt shot from 21 ft,,52-58,,
8:23.0,,,52-58,,Defensive rebound by E. Okafor
8:10.0,,,52-58,,R. Rondo misses 2-pt shot from 1 ft
8:08.0,Defensive rebound by M. Morris,,52-58,,
8:02.0,Shooting foul by J. Holiday (drawn by J. Tatum),,52-58,,
8:02.0,J. Tatum makes free throw 1 of 2,1,53-58,,
8:02.0,J. Tatum misses free throw 2 of 2,,53-58,,
8:00.0,,,53-58,,Defensive rebound by E. Okafor
7:48.0,,,53-60,2,J. Holiday makes 2-pt shot from 4 ft (assist by R. Rondo)
7:48.0,,,53-60,,Shooting foul by J. Tatum (drawn by J. Holiday)
7:48.0,,,53-61,1,J. Holiday makes free throw 1 of 1
7:33.0,J. Tatum makes 2-pt shot from 16 ft,2,55-61,,
7:23.0,,,55-61,,Turnover by E. Moore (out of bounds lost ball)
7:23.0,S. Ojeleye enters the game for A. Horford,,55-61,,
7:11.0,G. Monroe makes 2-pt shot from 1 ft,2,57-61,,
6:54.0,,,57-64,3,E. Moore makes 3-pt shot from 24 ft (assist by R. Rondo)
6:38.0,Turnover by S. Ojeleye (step out of bounds),,57-64,,
6:38.0,,,57-64,,I. Clark enters the game for R. Rondo
6:26.0,,,57-66,2,A. Davis makes 2-pt shot from 16 ft (assist by E. Moore)
6:09.0,T. Rozier makes 2-pt shot from 2 ft,2,59-66,,
5:58.0,,,59-66,,J. Holiday misses 2-pt shot from 8 ft
5:55.0,Defensive rebound by M. Morris,,59-66,,
5:53.0,,,59-66,,Personal foul by J. Holiday (drawn by J. Tatum)
5:35.0,T. Rozier makes 2-pt shot from 1 ft (assist by G. Monroe),2,61-66,,
5:25.0,,,61-68,2,I. Clark makes 2-pt shot from 2 ft (assist by A. Davis)
5:11.0,G. Monroe makes 2-pt shot from 1 ft,2,63-68,,
5:00.0,,,63-68,,Shooting foul by G. Monroe (drawn by A. Davis)
5:00.0,,,63-68,,A. Davis misses free throw 1 of 2
5:00.0,,,63-68,,Offensive rebound by Team
5:00.0,,,63-68,,N. Mirotic enters the game for E. Okafor
5:00.0,S. Larkin enters the game for J. Tatum,,63-68,,
5:00.0,,,63-69,1,A. Davis makes free throw 2 of 2
4:44.0,T. Rozier makes 2-pt shot from 15 ft,2,65-69,,
4:30.0,,,65-69,,Shooting foul by S. Ojeleye (drawn by N. Mirotic)
4:30.0,,,65-70,1,N. Mirotic makes free throw 1 of 3
4:30.0,,,65-71,1,N. Mirotic makes free throw 2 of 3
4:30.0,,,65-71,,R. Rondo enters the game for J. Holiday
4:30.0,A. Nader enters the game for S. Ojeleye,,65-71,,
4:30.0,,,65-72,1,N. Mirotic makes free throw 3 of 3
4:14.0,M. Morris misses 2-pt shot from 12 ft,,65-72,,
4:11.0,,,65-72,,Defensive rebound by A. Davis
4:07.0,,,65-75,3,N. Mirotic makes 3-pt shot from 27 ft (assist by I. Clark)
3:41.0,G. Monroe misses 2-pt shot from 3 ft,,65-75,,
3:37.0,,,65-75,,Defensive rebound by N. Mirotic
3:37.0,Personal foul by A. Nader (drawn by A. Davis),,65-75,,
3:37.0,,,65-76,1,A. Davis makes free throw 1 of 2
3:37.0,A. Horford enters the game for M. Morris,,65-76,,
3:37.0,S. Ojeleye enters the game for G. Monroe,,65-76,,
3:37.0,,,65-76,,A. Davis misses free throw 2 of 2
3:35.0,Defensive rebound by S. Ojeleye,,65-76,,
3:25.0,T. Rozier misses 3-pt shot from 24 ft,,65-76,,
3:20.0,,,65-76,,Defensive rebound by N. Mirotic
3:12.0,,,65-76,,A. Davis misses 2-pt shot from 11 ft
3:07.0,Defensive rebound by T. Rozier,,65-76,,
2:59.0,S. Ojeleye misses 2-pt shot from 16 ft,,65-76,,
2:55.0,,,65-76,,Defensive rebound by A. Davis
2:44.0,,,65-76,,A. Davis misses 2-pt shot from 1 ft
2:41.0,Defensive rebound by A. Horford,,65-76,,
2:39.0,S. Larkin makes 3-pt shot from 23 ft (assist by T. Rozier),3,68-76,,
2:25.0,,,68-76,,A. Davis misses 3-pt shot from 25 ft
2:21.0,Defensive rebound by S. Ojeleye,,68-76,,
2:12.0,A. Horford makes 2-pt shot from 2 ft (assist by T. Rozier),2,70-76,,
2:03.0,,,70-76,,New Orleans full timeout
2:03.0,,,70-76,,J. Holiday enters the game for A. Davis
2:03.0,,,70-76,,C. Diallo enters the game for E. Moore
2:03.0,J. Tatum enters the game for T. Rozier,,70-76,,
1:58.0,,,70-76,,N. Mirotic misses 3-pt shot from 25 ft
1:54.0,Defensive rebound by J. Tatum,,70-76,,
1:43.0,A. Horford makes 2-pt shot at rim (assist by S. Larkin),2,72-76,,
1:36.0,,,72-78,2,C. Diallo makes 2-pt shot at rim (assist by I. Clark)
1:22.0,S. Larkin makes 2-pt shot from 2 ft,2,74-78,,
1:04.0,Personal foul by S. Ojeleye (drawn by N. Mirotic),,74-78,,
1:04.0,,,74-79,1,N. Mirotic makes free throw 1 of 2
1:04.0,,,74-80,1,N. Mirotic makes free throw 2 of 2
0:53.0,J. Tatum makes 2-pt shot from 15 ft (assist by S. Larkin),2,76-80,,
0:41.0,,,76-80,,Turnover by N. Mirotic (lost ball; steal by A. Nader)
0:39.0,,,76-80,,Personal foul by J. Holiday (drawn by A. Nader)
0:31.0,Turnover by J. Tatum (bad pass; steal by N. Mirotic),,76-80,,
0:27.0,,,76-82,2,C. Diallo makes 2-pt shot at rim (assist by N. Mirotic)
0:03.0,J. Tatum misses 3-pt shot from 23 ft,,76-82,,
0:00.0,,,76-82,,Defensive rebound by J. Holiday
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,76-82,,N. Mirotic misses 3-pt shot from 25 ft
11:42.0,Defensive rebound by A. Nader,,76-82,,
11:29.0,S. Larkin misses 3-pt shot from 23 ft,,76-82,,
11:26.0,,,76-82,,Defensive rebound by C. Diallo
11:03.0,,,76-82,,C. Diallo misses 2-pt shot from 3 ft (block by A. Horford)
11:03.0,,,76-82,,Offensive rebound by Team
11:03.0,,,76-82,,Turnover by Team (shot clock)
10:54.0,Shooting foul by I. Clark (drawn by A. Nader),,76-82,,
10:54.0,A. Nader misses technical free throw,,76-82,,
10:54.0,Offensive rebound by Team,,76-82,,
10:54.0,A. Nader misses free throw 1 of 3,,76-82,,
10:54.0,Offensive rebound by Team,,76-82,,
10:54.0,A. Nader misses free throw 2 of 3,,76-82,,
10:54.0,Offensive rebound by Team,,76-82,,
10:54.0,A. Nader misses free throw 3 of 3,,76-82,,
10:52.0,,,76-82,,Defensive rebound by C. Diallo
10:44.0,Personal foul by A. Nader (drawn by J. Holiday),,76-82,,
10:44.0,G. Monroe enters the game for A. Horford,,76-82,,
10:31.0,,,76-84,2,N. Mirotic makes 2-pt shot from 7 ft (assist by C. Diallo)
10:15.0,J. Tatum misses 2-pt shot from 17 ft,,76-84,,
10:12.0,,,76-84,,Defensive rebound by R. Rondo
10:04.0,,,76-84,,Turnover by N. Mirotic (lost ball; steal by A. Nader)
9:41.0,S. Ojeleye makes 3-pt shot from 23 ft (assist by G. Monroe),3,79-84,,
9:26.0,,,79-86,2,C. Diallo makes 2-pt shot from 3 ft (assist by R. Rondo)
9:14.0,,,79-86,,Personal foul by C. Diallo (drawn by S. Larkin)
9:03.0,G. Monroe misses 2-pt shot from 4 ft,,79-86,,
9:01.0,,,79-86,,Defensive rebound by N. Mirotic
8:57.0,,,79-86,,Shooting foul by J. Tatum (drawn by J. Holiday)
8:57.0,,,79-87,1,J. Holiday makes free throw 1 of 2
8:57.0,M. Morris enters the game for J. Tatum,,79-87,,
8:57.0,T. Rozier enters the game for A. Nader,,79-87,,
8:57.0,,,79-88,1,J. Holiday makes free throw 2 of 2
8:42.0,T. Rozier misses 2-pt shot from 1 ft (block by N. Mirotic),,79-88,,
8:38.0,,,79-88,,Defensive rebound by N. Mirotic
8:30.0,,,79-90,2,R. Rondo makes 2-pt shot from 1 ft (assist by N. Mirotic)
8:12.0,G. Monroe misses 2-pt shot from 2 ft (block by N. Mirotic),,79-90,,
8:12.0,,,79-90,,Defensive rebound by Team
8:12.0,,,79-90,,E. Moore enters the game for N. Mirotic
8:12.0,,,79-90,,A. Davis enters the game for J. Holiday
8:01.0,,,79-92,2,A. Davis makes 2-pt shot from 12 ft (assist by R. Rondo)
7:52.0,Boston full timeout,,79-92,,
7:52.0,A. Horford enters the game for S. Ojeleye,,79-92,,
7:46.0,A. Horford misses 3-pt shot from 25 ft,,79-92,,
7:46.0,,,79-92,,Defensive rebound by R. Rondo
7:46.0,Loose ball foul by S. Larkin (drawn by R. Rondo),,79-92,,
7:34.0,,,79-92,,I. Clark misses 2-pt shot from 6 ft
7:31.0,Defensive rebound by G. Monroe,,79-92,,
7:16.0,T. Rozier misses 3-pt shot from 24 ft,,79-92,,
7:14.0,,,79-92,,Defensive rebound by A. Davis
6:57.0,,,79-94,2,I. Clark makes 2-pt shot from 16 ft (assist by R. Rondo)
6:35.0,M. Morris makes 2-pt shot from 17 ft (assist by A. Horford),2,81-94,,
6:17.0,Personal foul by A. Horford (drawn by I. Clark),,81-94,,
6:10.0,,,81-94,,I. Clark misses 3-pt shot from 25 ft
6:08.0,,,81-94,,Offensive rebound by Team
6:08.0,Loose ball foul by M. Morris (drawn by C. Diallo),,81-94,,
6:08.0,,,81-94,,C. Diallo misses free throw 1 of 2
6:08.0,,,81-94,,Offensive rebound by Team
6:08.0,,,81-95,1,C. Diallo makes free throw 2 of 2
6:04.0,Technical foul by M. Morris,,81-95,,
6:04.0,,,81-96,1,I. Clark makes technical free throw
5:56.0,A. Horford misses 3-pt shot from 23 ft,,81-96,,
5:53.0,Offensive rebound by T. Rozier,,81-96,,
5:53.0,S. Larkin misses 3-pt shot from 25 ft,,81-96,,
5:49.0,,,81-96,,Defensive rebound by E. Moore
5:36.0,,,81-99,3,E. Moore makes 3-pt shot from 26 ft (assist by R. Rondo)
5:21.0,A. Horford misses 2-pt shot from 20 ft,,81-99,,
5:16.0,,,81-99,,Defensive rebound by E. Moore
5:00.0,,,81-101,2,A. Davis makes 2-pt shot from 2 ft
4:48.0,G. Monroe misses 2-pt shot from 2 ft,,81-101,,
4:46.0,,,81-101,,Defensive rebound by A. Davis
4:41.0,,,81-101,,E. Moore misses 3-pt shot from 25 ft
4:37.0,Defensive rebound by T. Rozier,,81-101,,
4:30.0,M. Morris misses 3-pt shot from 24 ft,,81-101,,
4:27.0,Offensive rebound by G. Monroe,,81-101,,
4:25.0,A. Horford misses 2-pt shot from 3 ft (block by A. Davis),,81-101,,
4:21.0,Offensive rebound by S. Larkin,,81-101,,
4:16.0,M. Morris misses 2-pt shot from 6 ft,,81-101,,
4:14.0,Offensive rebound by M. Morris,,81-101,,
4:14.0,Shooting foul by C. Diallo (drawn by M. Morris),,81-101,,
4:14.0,M. Morris misses free throw 1 of 2,,81-101,,
4:14.0,Offensive rebound by Team,,81-101,,
4:14.0,,,81-101,,J. Holiday enters the game for R. Rondo
4:14.0,A. Baynes enters the game for T. Rozier,,81-101,,
4:14.0,G. Yabusele enters the game for G. Monroe,,81-101,,
4:14.0,A. Nader enters the game for A. Horford,,81-101,,
4:14.0,M. Morris makes free throw 2 of 2,1,82-101,,
4:08.0,,,82-103,2,J. Holiday makes 2-pt shot from 16 ft
