time,Cleveland,pts.away,score,pts.home,Utah
1:35.0,,,28-17,,R. Rubio enters the game for E. Udoh
1:35.0,,,28-17,,J. Jerebko enters the game for D. Mitchell
1:35.0,K. Korver enters the game for J. Smith,,28-17,,
1:35.0,T. Thompson misses free throw 2 of 2,,28-17,,
1:33.0,,,28-17,,Defensive rebound by J. Johnson
1:13.0,,,28-17,,A. Burks misses 3-pt shot from 26 ft
1:10.0,Defensive rebound by L. James,,28-17,,
0:55.0,L. James makes 3-pt shot from 24 ft,3,31-17,,
0:39.0,,,31-20,3,J. Johnson makes 3-pt shot from 26 ft (assist by R. Hood)
0:34.0,L. James misses 3-pt shot from 28 ft,,31-20,,
0:32.0,,,31-20,,Defensive rebound by J. Johnson
0:22.0,,,31-22,2,J. Johnson makes 2-pt shot from 8 ft
0:01.0,Shooting foul by R. Rubio (drawn by L. James),,31-22,,
0:01.0,L. James makes free throw 1 of 2,1,32-22,,
0:01.0,,,32-22,,E. Udoh enters the game for R. Rubio
0:01.0,L. James misses free throw 2 of 2,,32-22,,
0:00.0,,,32-22,,Defensive rebound by J. Jerebko
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,D. Wade misses 2-pt shot from 1 ft,,32-22,,
11:43.0,,,32-22,,Defensive rebound by R. Rubio
11:29.0,,,32-25,3,R. Hood makes 3-pt shot from 25 ft (assist by R. Rubio)
11:13.0,L. James makes 2-pt shot from 1 ft (assist by D. Wade),2,34-25,,
10:53.0,,,34-25,,Turnover by R. Rubio (bad pass; steal by J. Green)
10:44.0,J. Green misses 2-pt shot from 9 ft,,34-25,,
10:41.0,,,34-25,,Defensive rebound by R. Rubio
10:35.0,,,34-25,,R. Rubio misses 2-pt shot from 2 ft
10:31.0,Defensive rebound by T. Thompson,,34-25,,
10:25.0,J. Green makes 2-pt shot from 2 ft (assist by D. Wade),2,36-25,,
10:24.0,,,36-25,,Utah full timeout
10:24.0,,,36-25,,D. Favors enters the game for J. Jerebko
10:16.0,,,36-25,,R. Hood misses 3-pt shot from 25 ft
10:14.0,Defensive rebound by D. Wade,,36-25,,
10:05.0,Turnover by L. James (bad pass; steal by D. Favors),,36-25,,
9:54.0,,,36-25,,A. Burks misses 2-pt shot from 2 ft (block by J. Green)
9:52.0,Defensive rebound by L. James,,36-25,,
9:52.0,,,36-25,,Personal foul by R. Rubio (drawn by L. James)
9:52.0,,,36-25,,R. O'Neale enters the game for A. Burks
9:33.0,L. James misses 2-pt shot from 23 ft,,36-25,,
9:29.0,,,36-25,,Defensive rebound by D. Favors
9:21.0,,,36-27,2,J. Johnson makes 2-pt shot from 7 ft
8:59.0,J. Green makes 3-pt shot from 24 ft (assist by L. James),3,39-27,,
8:37.0,,,39-29,2,D. Favors makes 2-pt shot from 1 ft (assist by R. Hood)
8:34.0,Cleveland full timeout,,39-29,,
8:34.0,,,39-29,,D. Mitchell enters the game for R. Rubio
8:34.0,C. Osman enters the game for L. James,,39-29,,
8:21.0,T. Thompson makes 2-pt shot from 1 ft (assist by D. Wade),2,41-29,,
8:07.0,Personal foul by J. Green (drawn by R. Hood),,41-29,,
8:00.0,,,41-31,2,D. Favors makes 2-pt shot from 2 ft (assist by D. Mitchell)
7:40.0,K. Korver misses 3-pt shot from 26 ft,,41-31,,
7:37.0,,,41-31,,Defensive rebound by J. Johnson
7:33.0,,,41-31,,Shooting foul by C. Osman (drawn by J. Johnson)
7:33.0,,,41-31,,J. Johnson misses free throw 1 of 2
7:33.0,,,41-31,,Offensive rebound by Team
7:33.0,K. Love enters the game for T. Thompson,,41-31,,
7:33.0,,,41-32,1,J. Johnson makes free throw 2 of 2
7:25.0,Turnover by J. Green (turnover),,41-32,,
7:07.0,,,41-32,,J. Johnson misses 2-pt shot from 6 ft
7:05.0,Defensive rebound by J. Green,,41-32,,
6:59.0,D. Wade misses 2-pt shot from 2 ft (block by D. Mitchell),,41-32,,
6:57.0,,,41-32,,Defensive rebound by D. Mitchell
6:57.0,Personal foul by C. Osman (drawn by D. Mitchell),,41-32,,
6:42.0,,,41-32,,J. Johnson misses 3-pt shot from 24 ft
6:39.0,Defensive rebound by K. Love,,41-32,,
6:29.0,J. Green misses 2-pt shot from 6 ft,,41-32,,
6:25.0,,,41-32,,Defensive rebound by R. O'Neale
6:21.0,,,41-32,,Shooting foul by D. Wade (drawn by D. Mitchell)
6:21.0,,,41-33,1,D. Mitchell makes free throw 1 of 2
6:21.0,,,41-33,,J. Ingles enters the game for R. Hood
6:21.0,,,41-33,,R. Rubio enters the game for J. Johnson
6:21.0,,,41-33,,T. Sefolosha enters the game for R. O'Neale
6:21.0,J. Smith enters the game for D. Wade,,41-33,,
6:21.0,L. James enters the game for K. Korver,,41-33,,
6:21.0,J. Crowder enters the game for J. Green,,41-33,,
6:21.0,K. Korver enters the game for C. Osman,,41-33,,
6:21.0,,,41-34,1,D. Mitchell makes free throw 2 of 2
6:04.0,K. Korver misses 3-pt shot from 23 ft,,41-34,,
6:01.0,,,41-34,,Defensive rebound by R. Rubio
5:51.0,,,41-36,2,T. Sefolosha makes 2-pt shot from 8 ft (assist by D. Mitchell)
5:34.0,K. Korver misses 3-pt shot from 25 ft (block by J. Ingles),,41-36,,
5:29.0,,,41-36,,Defensive rebound by R. Rubio
5:20.0,,,41-38,2,D. Favors makes 2-pt shot from 1 ft (assist by R. Rubio)
5:16.0,Cleveland full timeout,,41-38,,
5:16.0,J. Calderon enters the game for K. Korver,,41-38,,
5:02.0,K. Love makes 3-pt shot from 22 ft (assist by J. Calderon),3,44-38,,
4:46.0,,,44-38,,D. Mitchell misses 2-pt shot from 1 ft
4:44.0,Defensive rebound by J. Calderon,,44-38,,
4:36.0,Shooting foul by J. Ingles (drawn by K. Love),,44-38,,
4:36.0,K. Love misses free throw 1 of 2,,44-38,,
4:36.0,Offensive rebound by Team,,44-38,,
4:36.0,K. Love makes free throw 2 of 2,1,45-38,,
4:16.0,,,45-38,,T. Sefolosha misses 2-pt shot from 19 ft
4:12.0,Defensive rebound by J. Crowder,,45-38,,
4:07.0,Turnover by J. Calderon (bad pass; steal by T. Sefolosha),,45-38,,
4:03.0,,,45-40,2,T. Sefolosha makes 2-pt shot from 1 ft (assist by R. Rubio)
4:03.0,,,45-40,,Shooting foul by J. Calderon (drawn by T. Sefolosha)
4:03.0,,,45-41,1,T. Sefolosha makes free throw 1 of 1
3:49.0,L. James misses 3-pt shot from 25 ft,,45-41,,
3:46.0,Offensive rebound by J. Crowder,,45-41,,
3:45.0,K. Love misses 2-pt shot from 3 ft,,45-41,,
3:45.0,,,45-41,,Defensive rebound by D. Favors
3:38.0,,,45-41,,J. Ingles misses 3-pt shot from 22 ft
3:34.0,Defensive rebound by K. Love,,45-41,,
3:21.0,K. Love makes 2-pt shot from 7 ft,2,47-41,,
3:01.0,,,47-44,3,R. Rubio makes 3-pt shot from 23 ft (assist by J. Ingles)
2:44.0,K. Love misses 3-pt shot from 25 ft,,47-44,,
2:42.0,,,47-44,,Defensive rebound by R. Rubio
2:31.0,,,47-46,2,R. Rubio makes 2-pt shot from 2 ft
2:03.0,L. James makes 2-pt shot from 1 ft,2,49-46,,
1:43.0,,,49-46,,Turnover by R. Rubio (lost ball; steal by J. Calderon)
1:25.0,L. James makes 2-pt shot from 1 ft (assist by J. Calderon),2,51-46,,
1:05.0,,,51-48,2,D. Mitchell makes 2-pt shot from 1 ft
0:41.0,Turnover by L. James (bad pass; steal by D. Mitchell),,51-48,,
0:36.0,,,51-48,,Turnover by D. Favors (bad pass)
0:36.0,,,51-48,,R. Hood enters the game for J. Ingles
0:36.0,,,51-48,,E. Udoh enters the game for R. Rubio
0:36.0,,,51-48,,J. Ingles enters the game for D. Favors
0:24.0,Turnover by J. Crowder (bad pass; steal by T. Sefolosha),,51-48,,
0:17.0,,,51-48,,Turnover by D. Mitchell (bad pass; steal by J. Crowder)
0:04.0,,,51-48,,Personal foul by T. Sefolosha (drawn by L. James)
0:00.0,L. James makes 2-pt shot from 19 ft (assist by J. Calderon),2,53-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,53-48,,Personal foul by R. Rubio (drawn by J. Smith)
11:45.0,J. Smith misses 3-pt shot from 27 ft,,53-48,,
11:37.0,,,53-48,,Defensive rebound by R. Rubio
11:33.0,,,53-50,2,D. Favors makes 2-pt shot from 17 ft (assist by R. Rubio)
11:09.0,J. Crowder misses 2-pt shot from 2 ft,,53-50,,
11:06.0,,,53-50,,Defensive rebound by T. Sefolosha
11:00.0,,,53-52,2,D. Favors makes 2-pt shot from 1 ft (assist by R. Rubio)
10:48.0,,,53-52,,Violation by D. Favors (kicked ball)
10:39.0,J. Smith misses 3-pt shot from 23 ft,,53-52,,
10:36.0,,,53-52,,Defensive rebound by T. Sefolosha
10:19.0,,,53-55,3,D. Mitchell makes 3-pt shot from 24 ft (assist by D. Favors)
10:01.0,J. Calderon misses 3-pt shot from 26 ft,,53-55,,
9:57.0,,,53-55,,Defensive rebound by D. Mitchell
9:49.0,,,53-55,,R. Rubio misses 3-pt shot from 25 ft
9:45.0,,,53-55,,Offensive rebound by T. Sefolosha
9:41.0,,,53-55,,D. Favors misses 2-pt shot from 6 ft
9:39.0,Defensive rebound by L. James,,53-55,,
9:27.0,L. James misses 3-pt shot from 25 ft,,53-55,,
9:24.0,,,53-55,,Defensive rebound by J. Ingles
9:11.0,,,53-57,2,J. Ingles makes 2-pt shot from 1 ft
9:11.0,,,53-57,,Shooting foul by K. Love (drawn by J. Ingles)
9:11.0,,,53-58,1,J. Ingles makes free throw 1 of 1
8:59.0,L. James misses 3-pt shot from 25 ft,,53-58,,
8:55.0,Offensive rebound by J. Crowder,,53-58,,
8:53.0,J. Smith makes 3-pt shot from 25 ft (assist by J. Crowder),3,56-58,,
8:28.0,,,56-60,2,D. Favors makes 2-pt shot at rim (assist by J. Ingles)
8:27.0,Cleveland full timeout,,56-60,,
8:13.0,Turnover by L. James (step out of bounds),,56-60,,
7:59.0,,,56-60,,R. Rubio misses 2-pt shot from 18 ft
7:59.0,Defensive rebound by L. James,,56-60,,
7:52.0,,,56-60,,Personal foul by T. Sefolosha (drawn by L. James)
7:42.0,J. Smith misses 3-pt shot from 25 ft,,56-60,,
7:42.0,,,56-60,,Defensive rebound by T. Sefolosha
7:26.0,,,56-60,,T. Sefolosha misses 3-pt shot from 25 ft
7:26.0,Defensive rebound by J. Smith,,56-60,,
7:22.0,Turnover by J. Smith (lost ball; steal by T. Sefolosha),,56-60,,
7:18.0,,,56-62,2,D. Mitchell makes 2-pt shot from 2 ft
7:00.0,K. Love misses 2-pt shot from 7 ft,,56-62,,
6:56.0,,,56-62,,Defensive rebound by R. Rubio
6:39.0,,,56-64,2,J. Ingles makes 2-pt shot from 1 ft
6:20.0,J. Crowder misses 2-pt shot from 2 ft (block by D. Favors),,56-64,,
6:17.0,,,56-64,,Defensive rebound by T. Sefolosha
6:16.0,,,56-67,3,J. Ingles makes 3-pt shot from 25 ft (assist by D. Mitchell)
6:13.0,Cleveland full timeout,,56-67,,
6:13.0,,,56-67,,R. Hood enters the game for R. Rubio
6:13.0,T. Thompson enters the game for J. Calderon,,56-67,,
6:13.0,D. Wade enters the game for J. Crowder,,56-67,,
5:56.0,D. Wade misses 3-pt shot from 22 ft,,56-67,,
5:53.0,,,56-67,,Defensive rebound by D. Favors
5:35.0,,,56-67,,R. Hood misses 2-pt shot from 5 ft
5:33.0,Defensive rebound by K. Love,,56-67,,
5:23.0,K. Love misses 3-pt shot from 28 ft,,56-67,,
5:21.0,,,56-67,,Defensive rebound by D. Favors
5:14.0,,,56-67,,Turnover by D. Mitchell (lost ball; steal by T. Thompson)
5:03.0,Turnover by D. Wade (bad pass; steal by D. Mitchell),,56-67,,
4:54.0,,,56-69,2,T. Sefolosha makes 2-pt shot from 2 ft (assist by D. Mitchell)
4:53.0,Cleveland full timeout,,56-69,,
4:53.0,C. Osman enters the game for K. Love,,56-69,,
4:53.0,J. Green enters the game for L. James,,56-69,,
4:31.0,J. Green misses 2-pt shot from 18 ft,,56-69,,
4:30.0,,,56-69,,Defensive rebound by Team
4:30.0,Loose ball foul by T. Thompson (drawn by D. Favors),,56-69,,
4:30.0,,,56-69,,J. Johnson enters the game for T. Sefolosha
4:30.0,,,56-69,,E. Udoh enters the game for D. Favors
4:23.0,,,56-69,,Shooting foul by C. Osman (drawn by D. Mitchell)
4:23.0,,,56-70,1,D. Mitchell makes free throw 1 of 2
4:23.0,K. Korver enters the game for J. Smith,,56-70,,
4:23.0,,,56-71,1,D. Mitchell makes free throw 2 of 2
4:12.0,Shooting foul by E. Udoh (drawn by J. Green),,56-71,,
4:12.0,J. Green makes free throw 1 of 2,1,57-71,,
4:12.0,J. Green makes free throw 2 of 2,1,58-71,,
3:57.0,,,58-71,,R. Hood misses 3-pt shot from 27 ft
3:54.0,Defensive rebound by T. Thompson,,58-71,,
3:48.0,Shooting foul by D. Mitchell (drawn by D. Wade),,58-71,,
3:48.0,D. Wade misses free throw 1 of 2,,58-71,,
3:48.0,Offensive rebound by Team,,58-71,,
3:48.0,D. Wade makes free throw 2 of 2,1,59-71,,
3:28.0,,,59-71,,J. Johnson misses 2-pt shot from 14 ft
3:25.0,Defensive rebound by K. Korver,,59-71,,
3:08.0,,,59-71,,Personal foul by R. Hood (drawn by T. Thompson)
3:08.0,T. Thompson makes free throw 1 of 2,1,60-71,,
3:08.0,,,60-71,,R. O'Neale enters the game for J. Ingles
3:08.0,,,60-71,,R. Rubio enters the game for D. Mitchell
3:08.0,T. Thompson makes free throw 2 of 2,1,61-71,,
2:45.0,,,61-71,,R. O'Neale misses 2-pt shot from 3 ft (block by T. Thompson)
2:41.0,,,61-71,,Offensive rebound by E. Udoh
2:40.0,,,61-71,,E. Udoh misses 2-pt shot from 18 ft
2:40.0,Defensive rebound by T. Thompson,,61-71,,
2:27.0,C. Osman misses 3-pt shot from 25 ft,,61-71,,
2:24.0,,,61-71,,Defensive rebound by R. O'Neale
2:18.0,,,61-71,,R. Hood misses 3-pt shot from 25 ft
2:13.0,Defensive rebound by C. Osman,,61-71,,
2:09.0,D. Wade makes 3-pt shot from 25 ft (assist by C. Osman),3,64-71,,
1:49.0,,,64-73,2,R. Rubio makes 2-pt shot from 10 ft
1:28.0,D. Wade makes 3-pt shot from 26 ft (assist by K. Korver),3,67-73,,
1:07.0,,,67-73,,R. Hood misses 2-pt shot from 17 ft
1:05.0,Defensive rebound by J. Green,,67-73,,
0:51.0,K. Korver misses 3-pt shot from 29 ft,,67-73,,
0:47.0,,,67-73,,Defensive rebound by R. Rubio
0:41.0,,,67-76,3,R. Hood makes 3-pt shot from 24 ft (assist by R. Rubio)
0:35.0,D. Wade misses 2-pt shot from 17 ft,,67-76,,
0:33.0,,,67-76,,Defensive rebound by Team
0:27.0,,,67-76,,R. Hood misses 3-pt shot from 25 ft
0:24.0,Defensive rebound by D. Wade,,67-76,,
0:05.0,T. Thompson makes 2-pt shot from 2 ft (assist by D. Wade),2,69-76,,
0:03.0,Personal foul by D. Wade (drawn by R. O'Neale),,69-76,,
0:00.0,,,69-76,,J. Johnson misses 2-pt shot from 20 ft
0:00.0,,,69-76,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,69-79,3,R. Hood makes 3-pt shot from 24 ft (assist by E. Udoh)
11:24.0,T. Thompson makes 2-pt shot from 2 ft,2,71-79,,
11:24.0,Shooting foul by J. Johnson (drawn by T. Thompson),,71-79,,
11:24.0,T. Thompson misses free throw 1 of 1,,71-79,,
11:22.0,,,71-79,,Defensive rebound by E. Udoh
11:02.0,,,71-79,,R. Hood misses 3-pt shot from 28 ft
10:59.0,Defensive rebound by T. Thompson,,71-79,,
10:54.0,J. Green makes 2-pt shot from 2 ft,2,73-79,,
10:54.0,,,73-79,,Utah full timeout
10:54.0,,,73-79,,D. Mitchell enters the game for R. O'Neale
10:32.0,,,73-81,2,E. Udoh makes 2-pt shot from 7 ft (assist by R. Rubio)
10:21.0,J. Green misses 2-pt shot from 10 ft,,73-81,,
10:17.0,,,73-81,,Defensive rebound by R. Rubio
10:05.0,,,73-83,2,R. Rubio makes 2-pt shot from 12 ft
9:45.0,Shooting foul by D. Mitchell (drawn by C. Osman),,73-83,,
9:45.0,C. Osman makes free throw 1 of 2,1,74-83,,
9:45.0,,,74-83,,T. Sefolosha enters the game for J. Johnson
9:45.0,,,74-83,,D. Favors enters the game for E. Udoh
9:45.0,L. James enters the game for D. Wade,,74-83,,
9:45.0,C. Osman makes free throw 2 of 2,1,75-83,,
9:29.0,,,75-83,,T. Sefolosha misses 2-pt shot from 10 ft (block by J. Green)
9:25.0,Defensive rebound by C. Osman,,75-83,,
9:24.0,Turnover by C. Osman (lost ball; steal by D. Mitchell),,75-83,,
9:23.0,,,75-83,,D. Mitchell misses 2-pt shot from 2 ft
9:23.0,Defensive rebound by Team,,75-83,,
9:13.0,,,75-83,,Personal foul by R. Hood (drawn by K. Korver)
9:13.0,,,75-83,,J. Ingles enters the game for R. Rubio
9:07.0,K. Korver misses 3-pt shot from 24 ft,,75-83,,
9:05.0,,,75-83,,Defensive rebound by D. Mitchell
8:59.0,,,75-83,,T. Sefolosha misses 2-pt shot from 1 ft (block by T. Thompson)
8:58.0,,,75-83,,Offensive rebound by D. Favors
8:55.0,,,75-83,,D. Mitchell misses 3-pt shot from 28 ft
8:55.0,Defensive rebound by J. Green,,75-83,,
8:46.0,C. Osman misses 2-pt shot from 4 ft,,75-83,,
8:43.0,,,75-83,,Defensive rebound by R. Hood
8:40.0,Personal foul by L. James (drawn by J. Ingles),,75-83,,
8:40.0,J. Smith enters the game for C. Osman,,75-83,,
8:27.0,,,75-85,2,D. Mitchell makes 2-pt shot from 1 ft (assist by T. Sefolosha)
8:12.0,,,75-85,,Personal foul by D. Mitchell (drawn by K. Korver)
8:00.0,L. James misses 2-pt shot from 2 ft,,75-85,,
7:56.0,Offensive rebound by T. Thompson,,75-85,,
7:56.0,T. Thompson makes 2-pt shot at rim,2,77-85,,
7:41.0,,,77-85,,Shooting foul by T. Thompson (drawn by D. Mitchell)
7:41.0,,,77-86,1,D. Mitchell makes free throw 1 of 2
7:41.0,,,77-86,,D. Mitchell misses free throw 2 of 2
7:38.0,Defensive rebound by L. James,,77-86,,
7:26.0,,,77-86,,Violation by D. Favors (kicked ball)
7:18.0,J. Green makes 3-pt shot from 24 ft (assist by T. Thompson),3,80-86,,
7:02.0,,,80-86,,Turnover by D. Mitchell (bad pass)
6:46.0,Turnover by L. James (bad pass; steal by D. Favors),,80-86,,
6:43.0,,,80-86,,Shooting foul by K. Korver (drawn by T. Sefolosha)
6:43.0,,,80-86,,T. Sefolosha misses free throw 1 of 2
6:43.0,,,80-86,,Offensive rebound by Team
6:43.0,,,80-86,,R. Rubio enters the game for R. Hood
6:43.0,D. Wade enters the game for K. Korver,,80-86,,
6:43.0,,,80-87,1,T. Sefolosha makes free throw 2 of 2
6:35.0,Turnover by L. James (bad pass; steal by J. Ingles),,80-87,,
6:22.0,,,80-87,,D. Mitchell misses 2-pt shot from 11 ft
6:19.0,Defensive rebound by L. James,,80-87,,
6:11.0,L. James makes 2-pt shot from 19 ft,2,82-87,,
5:45.0,,,82-87,,Shooting foul by D. Wade (drawn by R. Rubio)
5:45.0,,,82-88,1,R. Rubio makes free throw 1 of 2
5:45.0,K. Love enters the game for T. Thompson,,82-88,,
5:45.0,,,82-89,1,R. Rubio makes free throw 2 of 2
5:31.0,J. Green makes 3-pt shot from 24 ft (assist by L. James),3,85-89,,
5:07.0,,,85-89,,J. Ingles misses 3-pt shot from 22 ft
5:04.0,Defensive rebound by D. Wade,,85-89,,
4:52.0,Turnover by L. James (bad pass; steal by J. Ingles),,85-89,,
4:48.0,,,85-91,2,D. Mitchell makes 2-pt shot from 2 ft (assist by J. Ingles)
4:24.0,L. James misses 3-pt shot from 27 ft,,85-91,,
4:21.0,,,85-91,,Defensive rebound by D. Mitchell
4:18.0,,,85-91,,Turnover by D. Mitchell (bad pass; steal by L. James)
4:13.0,Shooting foul by D. Mitchell (drawn by L. James),,85-91,,
4:13.0,L. James makes free throw 1 of 2,1,86-91,,
4:13.0,,,86-91,,R. Hood enters the game for R. Rubio
4:13.0,L. James makes free throw 2 of 2,1,87-91,,
3:54.0,,,87-91,,Offensive charge foul by D. Favors (drawn by L. James)
3:54.0,,,87-91,,Turnover by D. Favors (offensive foul)
3:38.0,L. James makes 2-pt shot from 9 ft (assist by K. Love),2,89-91,,
3:38.0,Shooting foul by T. Sefolosha (drawn by L. James),,89-91,,
3:38.0,,,89-91,,Utah full timeout
3:38.0,L. James makes free throw 1 of 1,1,90-91,,
3:25.0,,,90-93,2,D. Mitchell makes 2-pt shot from 2 ft
3:07.0,D. Wade makes 2-pt shot from 4 ft,2,92-93,,
2:53.0,,,92-95,2,D. Favors makes 2-pt shot from 2 ft (assist by D. Mitchell)
2:53.0,,,92-95,,Shooting foul by D. Wade (drawn by D. Favors)
2:53.0,,,92-96,1,D. Favors makes free throw 1 of 1
2:42.0,K. Love misses 3-pt shot from 25 ft,,92-96,,
2:39.0,,,92-96,,Defensive rebound by T. Sefolosha
2:25.0,,,92-96,,T. Sefolosha misses 3-pt shot from 23 ft
2:21.0,Defensive rebound by D. Wade,,92-96,,
