time,Washington,pts.away,score,pts.home,Orlando
11:33.0,,,45-57,1,K. Birch makes free throw 2 of 2
11:24.0,,,45-57,,Personal foul by M. Speights (drawn by B. Beal)
11:13.0,Turnover by K. Oubre (bad pass; steal by M. Speights),,45-57,,
11:07.0,,,45-57,,M. Hezonja misses 2-pt shot from 2 ft
11:04.0,Defensive rebound by T. Satoransky,,45-57,,
10:56.0,M. Morris misses 2-pt shot from 13 ft,,45-57,,
10:51.0,,,45-57,,Defensive rebound by M. Speights
10:43.0,,,45-57,,M. Speights misses 3-pt shot from 25 ft
10:40.0,,,45-57,,Offensive rebound by K. Birch
10:28.0,,,45-57,,Turnover by M. Speights (bad pass; steal by B. Beal)
10:22.0,K. Oubre makes 3-pt shot from 22 ft (assist by B. Beal),3,48-57,,
10:00.0,,,48-57,,M. Hezonja misses 3-pt shot from 25 ft
9:58.0,,,48-57,,Offensive rebound by M. Hezonja
9:57.0,,,48-57,,Turnover by M. Hezonja (bad pass)
9:45.0,B. Beal misses 2-pt shot from 21 ft,,48-57,,
9:41.0,,,48-57,,Defensive rebound by S. Mack
9:34.0,,,48-57,,Turnover by M. Speights (traveling)
9:22.0,Shooting foul by W. Iwundu (drawn by M. Morris),,48-57,,
9:22.0,M. Morris misses free throw 1 of 2,,48-57,,
9:22.0,Offensive rebound by Team,,48-57,,
9:22.0,M. Morris makes free throw 2 of 2,1,49-57,,
9:11.0,,,49-57,,Turnover by M. Hezonja (out of bounds lost ball)
8:58.0,Offensive foul by M. Gortat (drawn by S. Mack),,49-57,,
8:58.0,Turnover by M. Gortat (offensive foul),,49-57,,
8:48.0,Personal foul by K. Oubre (drawn by S. Mack),,49-57,,
8:42.0,,,49-57,,S. Mack misses 2-pt shot from 13 ft
8:39.0,Defensive rebound by T. Satoransky,,49-57,,
8:39.0,,,49-57,,Personal foul by M. Speights (drawn by T. Satoransky)
8:39.0,,,49-57,,J. Artis enters the game for M. Speights
8:39.0,D. Robinson enters the game for K. Oubre,,49-57,,
8:25.0,M. Morris misses 3-pt shot from 25 ft,,49-57,,
8:24.0,,,49-57,,Defensive rebound by Team
8:08.0,,,49-57,,S. Mack misses 2-pt shot from 3 ft (block by M. Gortat)
8:08.0,,,49-57,,Offensive rebound by Team
8:05.0,,,49-57,,M. Hezonja misses 2-pt shot from 19 ft
8:01.0,Jump ball: K. Birch vs. M. Gortat (M. Morris gains possession),,,,Jump ball: K. Birch vs. M. Gortat (M. Morris gains possession)
8:01.0,Defensive rebound by Team,,49-57,,
7:43.0,B. Beal misses 3-pt shot from 25 ft,,49-57,,
7:41.0,,,49-57,,Defensive rebound by Team
7:28.0,,,49-59,2,K. Birch makes 2-pt shot from 1 ft (assist by J. Artis)
7:25.0,,,49-59,,Personal foul by W. Iwundu (drawn by B. Beal)
7:12.0,M. Morris makes 2-pt shot from 3 ft (assist by B. Beal),2,51-59,,
6:52.0,,,51-59,,Shooting foul by B. Beal (drawn by W. Iwundu)
6:52.0,,,51-59,,Orlando full timeout
6:52.0,,,51-60,1,W. Iwundu makes free throw 1 of 2
6:52.0,,,51-61,1,W. Iwundu makes free throw 2 of 2
6:32.0,M. Morris misses 2-pt shot from 8 ft,,51-61,,
6:32.0,,,51-61,,Defensive rebound by Team
6:32.0,Loose ball foul by D. Robinson (drawn by K. Birch),,51-61,,
6:32.0,,,51-62,1,K. Birch makes free throw 1 of 2
6:32.0,,,51-63,1,K. Birch makes free throw 2 of 2
6:22.0,T. Satoransky makes 2-pt shot from 3 ft,2,53-63,,
5:56.0,,,53-66,3,M. Hezonja makes 3-pt shot from 27 ft
5:34.0,B. Beal makes 2-pt shot from 1 ft,2,55-66,,
5:10.0,,,55-66,,J. Artis misses 2-pt shot from 21 ft
5:07.0,Defensive rebound by M. Gortat,,55-66,,
5:03.0,B. Beal makes 2-pt shot from 3 ft,2,57-66,,
5:03.0,Shooting foul by W. Iwundu (drawn by B. Beal),,57-66,,
5:03.0,M. Scott enters the game for M. Gortat,,57-66,,
5:03.0,,,57-66,,R. Purvis enters the game for W. Iwundu
5:03.0,B. Beal misses free throw 1 of 1,,57-66,,
5:03.0,,,57-66,,Defensive rebound by J. Artis
4:47.0,Def 3 sec tech foul by M. Morris,,57-66,,
4:47.0,,,57-67,1,M. Hezonja makes technical free throw
4:34.0,,,57-67,,R. Purvis misses 2-pt shot from 5 ft
4:30.0,Defensive rebound by M. Morris,,57-67,,
4:24.0,T. Satoransky misses 2-pt shot from 1 ft,,57-67,,
4:22.0,Offensive rebound by M. Morris,,57-67,,
4:22.0,M. Morris makes 2-pt shot from 1 ft,2,59-67,,
3:54.0,,,59-67,,S. Mack misses 2-pt shot from 12 ft
3:51.0,Defensive rebound by B. Beal,,59-67,,
3:47.0,M. Morris makes 2-pt shot from 2 ft (assist by T. Satoransky),2,61-67,,
3:47.0,Shooting foul by S. Mack (drawn by M. Morris),,61-67,,
3:47.0,,,61-67,,T. Ross enters the game for S. Mack
3:47.0,M. Morris makes free throw 1 of 1,1,62-67,,
3:29.0,,,62-69,2,J. Artis makes 2-pt shot from 8 ft (assist by T. Ross)
3:18.0,,,62-69,,Personal foul by R. Purvis (drawn by M. Scott)
3:18.0,M. Scott misses free throw 1 of 2,,62-69,,
3:18.0,Offensive rebound by Team,,62-69,,
3:18.0,M. Scott makes free throw 2 of 2,1,63-69,,
3:06.0,,,63-71,2,T. Ross makes 2-pt shot from 17 ft
3:06.0,,,63-71,,Shooting foul by D. Robinson (drawn by T. Ross)
3:06.0,,,63-72,1,T. Ross makes free throw 1 of 1
2:47.0,B. Beal misses 3-pt shot from 25 ft,,63-72,,
2:41.0,Offensive rebound by D. Robinson,,63-72,,
2:41.0,D. Robinson misses 2-pt shot at rim,,63-72,,
2:41.0,Offensive rebound by D. Robinson,,63-72,,
2:39.0,D. Robinson makes 2-pt shot at rim,2,65-72,,
2:29.0,,,65-72,,T. Ross misses 2-pt shot from 16 ft
2:27.0,Defensive rebound by D. Robinson,,65-72,,
2:21.0,T. Satoransky makes 2-pt shot from 1 ft (assist by B. Beal),2,67-72,,
1:58.0,,,67-75,3,M. Hezonja makes 3-pt shot from 25 ft (assist by R. Purvis)
1:43.0,M. Morris misses 3-pt shot from 25 ft,,67-75,,
1:39.0,Offensive rebound by T. Satoransky,,67-75,,
1:38.0,B. Beal misses 3-pt shot from 22 ft,,67-75,,
1:38.0,,,67-75,,Defensive rebound by K. Birch
1:29.0,,,67-75,,Offensive charge foul by J. Artis (drawn by D. Robinson)
1:29.0,,,67-75,,Turnover by J. Artis (offensive foul)
1:29.0,Washington full timeout,,67-75,,
1:29.0,J. Meeks enters the game for B. Beal,,67-75,,
1:29.0,I. Mahinmi enters the game for M. Morris,,67-75,,
1:18.0,M. Scott makes 2-pt shot from 13 ft,2,69-75,,
1:01.0,,,69-75,,Turnover by T. Ross (bad pass)
0:43.0,J. Meeks makes 3-pt shot from 22 ft (assist by M. Scott),3,72-75,,
0:30.0,,,72-75,,Shooting foul by I. Mahinmi (drawn by K. Birch)
0:30.0,,,72-76,1,K. Birch makes free throw 1 of 2
0:30.0,,,72-76,,A. Afflalo enters the game for M. Hezonja
0:30.0,,,72-76,,K. Birch misses free throw 2 of 2
0:28.0,Defensive rebound by I. Mahinmi,,72-76,,
0:12.0,J. Meeks makes 3-pt shot from 26 ft (assist by T. Satoransky),3,75-76,,
0:02.0,,,75-76,,R. Purvis misses 3-pt shot from 22 ft
0:02.0,Defensive rebound by D. Robinson,,75-76,,
0:00.0,T. Satoransky misses 3-pt shot from 67 ft,,75-76,,
0:00.0,Offensive rebound by Team,,75-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,J. Meeks misses 3-pt shot from 28 ft (block by T. Ross),,75-76,,
11:38.0,,,75-76,,Defensive rebound by R. Purvis
11:35.0,,,75-76,,A. Afflalo misses 3-pt shot from 23 ft
11:32.0,Defensive rebound by M. Scott,,75-76,,
11:21.0,I. Mahinmi misses 2-pt shot from 15 ft,,75-76,,
11:19.0,,,75-76,,Defensive rebound by J. Artis
11:15.0,,,75-76,,J. Artis misses 2-pt shot from 17 ft
11:12.0,Defensive rebound by D. Robinson,,75-76,,
10:57.0,M. Scott misses 2-pt shot from 15 ft,,75-76,,
10:54.0,,,75-76,,Defensive rebound by T. Ross
10:49.0,,,75-76,,R. Purvis misses 2-pt shot from 18 ft
10:45.0,Defensive rebound by J. Meeks,,75-76,,
10:29.0,Shooting foul by A. Afflalo (drawn by J. Meeks),,75-76,,
10:29.0,J. Meeks misses free throw 1 of 2,,75-76,,
10:29.0,Offensive rebound by Team,,75-76,,
10:29.0,J. Meeks makes free throw 2 of 2,1,76-76,,
10:12.0,,,76-76,,T. Ross misses 3-pt shot from 25 ft
10:07.0,Defensive rebound by M. Scott,,76-76,,
9:50.0,J. Meeks misses 2-pt shot from 4 ft,,76-76,,
9:47.0,,,76-76,,Defensive rebound by K. Birch
9:39.0,,,76-76,,Offensive charge foul by T. Ross (drawn by D. Robinson)
9:39.0,,,76-76,,Turnover by T. Ross (offensive foul)
9:39.0,T. Frazier enters the game for T. Satoransky,,76-76,,
9:28.0,D. Robinson misses 2-pt shot from 19 ft (block by T. Ross),,76-76,,
9:28.0,Offensive rebound by Team,,76-76,,
9:23.0,M. Scott misses 2-pt shot from 9 ft,,76-76,,
9:18.0,,,76-76,,Defensive rebound by R. Purvis
9:12.0,,,76-76,,Offensive foul by K. Birch (drawn by T. Frazier)
9:12.0,,,76-76,,Turnover by K. Birch (offensive foul)
9:12.0,,,76-76,,M. Hezonja enters the game for J. Artis
9:12.0,,,76-76,,W. Iwundu enters the game for T. Ross
9:01.0,Shooting foul by M. Hezonja (drawn by I. Mahinmi),,76-76,,
9:01.0,I. Mahinmi makes free throw 1 of 2,1,77-76,,
9:01.0,I. Mahinmi misses free throw 2 of 2,,77-76,,
8:59.0,,,77-76,,Defensive rebound by M. Hezonja
8:42.0,,,77-76,,Turnover by R. Purvis (traveling)
8:29.0,Turnover by T. Frazier (bad pass; steal by M. Hezonja),,77-76,,
8:26.0,,,77-78,2,R. Purvis makes 2-pt shot at rim
8:26.0,Violation by D. Robinson (def goaltending),,77-78,,
8:14.0,J. Meeks makes 2-pt shot from 2 ft (assist by T. Frazier),2,79-78,,
8:14.0,,,79-78,,Orlando full timeout
8:14.0,,,79-78,,J. Artis enters the game for A. Afflalo
8:14.0,B. Beal enters the game for D. Robinson,,79-78,,
7:55.0,,,79-81,3,M. Hezonja makes 3-pt shot from 25 ft
7:38.0,M. Scott misses 3-pt shot from 26 ft,,79-81,,
7:36.0,Offensive rebound by I. Mahinmi,,79-81,,
7:35.0,I. Mahinmi makes 2-pt shot from 1 ft,2,81-81,,
7:13.0,Personal foul by I. Mahinmi (drawn by J. Artis),,81-81,,
7:07.0,,,81-81,,J. Artis misses 2-pt shot from 22 ft
7:02.0,Defensive rebound by J. Meeks,,81-81,,
6:50.0,Turnover by I. Mahinmi (turnover),,81-81,,
6:50.0,K. Oubre enters the game for J. Meeks,,81-81,,
6:36.0,,,81-84,3,R. Purvis makes 3-pt shot from 24 ft
6:24.0,,,81-84,,Personal foul by R. Purvis (drawn by T. Frazier)
6:24.0,T. Satoransky enters the game for T. Frazier,,81-84,,
6:10.0,M. Scott misses 2-pt shot from 18 ft,,81-84,,
6:07.0,,,81-84,,Defensive rebound by K. Birch
5:50.0,,,81-84,,J. Artis misses 2-pt shot from 1 ft
5:50.0,,,81-84,,Offensive rebound by K. Birch
5:49.0,,,81-86,2,K. Birch makes 2-pt shot from 2 ft
5:49.0,Washington full timeout,,81-86,,
5:49.0,M. Morris enters the game for I. Mahinmi,,81-86,,
5:41.0,,,81-86,,Personal foul by W. Iwundu (drawn by B. Beal)
5:32.0,B. Beal misses 2-pt shot from 19 ft,,81-86,,
5:29.0,,,81-86,,Defensive rebound by R. Purvis
5:14.0,,,81-86,,M. Hezonja misses 3-pt shot from 25 ft
5:12.0,Defensive rebound by M. Morris,,81-86,,
4:57.0,Shooting foul by R. Purvis (drawn by M. Scott),,81-86,,
4:57.0,M. Scott makes free throw 1 of 2,1,82-86,,
4:57.0,M. Scott misses free throw 2 of 2,,82-86,,
4:54.0,,,82-86,,Defensive rebound by K. Birch
4:43.0,,,82-86,,R. Purvis misses 3-pt shot from 25 ft
4:39.0,Defensive rebound by B. Beal,,82-86,,
