time,Miami,pts.away,score,pts.home,Sacramento
4:59.0,,,16-14,,Shooting foul by G. Dragic (drawn by D. Fox)
4:59.0,J. Winslow enters the game for G. Dragic,,16-14,,
4:59.0,R. McGruder enters the game for T. Johnson,,16-14,,
4:59.0,W. Ellington enters the game for L. Babbitt,,16-14,,
4:59.0,,,16-14,,D. Fox misses free throw 1 of 1
4:56.0,Defensive rebound by B. Adebayo,,16-14,,
4:41.0,J. Winslow misses 2-pt shot from 8 ft,,16-14,,
4:37.0,,,16-14,,Defensive rebound by V. Carter
4:30.0,Personal foul by B. Adebayo (drawn by W. Cauley-Stein),,16-14,,
4:30.0,,,16-14,,G. Temple enters the game for J. Jackson
4:18.0,,,16-14,,B. Bogdanovic misses 3-pt shot from 29 ft
4:13.0,Defensive rebound by J. Johnson,,16-14,,
3:57.0,J. Winslow misses 3-pt shot from 23 ft,,16-14,,
3:54.0,Offensive rebound by J. Johnson,,16-14,,
3:53.0,J. Winslow makes 3-pt shot from 23 ft (assist by J. Johnson),3,19-14,,
3:38.0,,,19-14,,W. Cauley-Stein misses 2-pt shot from 18 ft
3:35.0,Defensive rebound by J. Johnson,,19-14,,
3:31.0,Shooting foul by V. Carter (drawn by J. Johnson),,19-14,,
3:31.0,J. Johnson makes free throw 1 of 2,1,20-14,,
3:31.0,,,20-14,,F. Mason enters the game for W. Cauley-Stein
3:31.0,,,20-14,,K. Koufos enters the game for D. Fox
3:31.0,K. Olynyk enters the game for B. Adebayo,,20-14,,
3:31.0,J. Johnson makes free throw 2 of 2,1,21-14,,
3:14.0,,,21-16,2,K. Koufos makes 2-pt shot from 2 ft (assist by B. Bogdanovic)
3:00.0,W. Ellington misses 3-pt shot from 24 ft,,21-16,,
2:58.0,,,21-16,,Defensive rebound by F. Mason
2:52.0,,,21-16,,Turnover by V. Carter (bad pass; steal by J. Winslow)
2:46.0,K. Olynyk makes 2-pt shot from 3 ft (assist by J. Winslow),2,23-16,,
2:27.0,,,23-16,,B. Bogdanovic misses 2-pt shot from 12 ft
2:24.0,Defensive rebound by R. McGruder,,23-16,,
2:17.0,W. Ellington makes 3-pt shot from 24 ft (assist by J. Johnson),3,26-16,,
2:01.0,,,26-16,,F. Mason misses 2-pt shot from 18 ft
1:57.0,Defensive rebound by R. McGruder,,26-16,,
1:52.0,J. Johnson misses 2-pt shot from 7 ft,,26-16,,
1:52.0,,,26-16,,Defensive rebound by Team
1:52.0,Loose ball foul by J. Johnson (drawn by K. Koufos),,26-16,,
1:52.0,Miami full timeout,,26-16,,
1:52.0,,,26-16,,B. Hield enters the game for B. Bogdanovic
1:52.0,T. Johnson enters the game for J. Johnson,,26-16,,
1:34.0,,,26-18,2,B. Hield makes 2-pt shot from 16 ft
1:16.0,W. Ellington makes 3-pt shot from 26 ft (assist by J. Winslow),3,29-18,,
1:04.0,,,29-18,,F. Mason misses 2-pt shot from 7 ft
1:02.0,Defensive rebound by K. Olynyk,,29-18,,
0:58.0,J. Winslow misses 2-pt shot from 2 ft,,29-18,,
0:58.0,,,29-18,,Defensive rebound by V. Carter
0:53.0,,,29-20,2,F. Mason makes 2-pt shot from 1 ft
0:53.0,,,29-20,,Shooting foul by T. Johnson (drawn by F. Mason)
0:53.0,,,29-20,,F. Mason misses free throw 1 of 1
0:50.0,Defensive rebound by K. Olynyk,,29-20,,
0:28.0,J. Winslow misses 2-pt shot from 4 ft,,29-20,,
0:25.0,,,29-20,,Defensive rebound by V. Carter
0:07.0,,,29-22,2,V. Carter makes 2-pt shot from 19 ft (assist by B. Hield)
0:03.0,W. Ellington makes 2-pt shot from 2 ft (assist by T. Johnson),2,31-22,,
0:00.0,,,31-24,2,B. Hield makes 2-pt shot from 12 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
12:00.0,,,31-24,,Turnover by K. Koufos (turnover)
11:51.0,W. Ellington misses 3-pt shot from 24 ft,,31-24,,
11:47.0,,,31-24,,Defensive rebound by B. Hield
11:30.0,,,31-26,2,K. Koufos makes 2-pt shot from 1 ft (assist by B. Hield)
11:08.0,Turnover by K. Olynyk (traveling),,31-26,,
10:56.0,,,31-29,3,G. Temple makes 3-pt shot from 24 ft (assist by K. Koufos)
10:36.0,Turnover by T. Johnson (bad pass; steal by B. Hield),,31-29,,
10:26.0,,,31-29,,V. Carter misses 3-pt shot from 25 ft
10:21.0,Defensive rebound by T. Johnson,,31-29,,
10:11.0,,,31-29,,Z. Randolph enters the game for V. Carter
10:09.0,K. Olynyk misses 2-pt shot from 21 ft,,31-29,,
10:06.0,,,31-29,,Defensive rebound by Z. Randolph
9:52.0,,,31-31,2,G. Temple makes 2-pt shot from 14 ft (assist by Z. Randolph)
9:27.0,J. Winslow makes 2-pt shot from 4 ft,2,33-31,,
9:13.0,,,33-33,2,B. Hield makes 2-pt shot from 2 ft (assist by Z. Randolph)
9:00.0,T. Johnson misses 3-pt shot from 24 ft,,33-33,,
8:57.0,,,33-33,,Defensive rebound by Z. Randolph
8:50.0,,,33-36,3,Z. Randolph makes 3-pt shot from 25 ft
8:43.0,Miami full timeout,,33-36,,
8:43.0,G. Dragic enters the game for T. Johnson,,33-36,,
8:35.0,Turnover by G. Dragic (bad pass; steal by K. Koufos),,33-36,,
8:30.0,,,33-38,2,F. Mason makes 2-pt shot from 2 ft (assist by G. Temple)
8:12.0,R. McGruder makes 3-pt shot from 22 ft (assist by K. Olynyk),3,36-38,,
7:47.0,,,36-38,,B. Hield misses 3-pt shot from 24 ft
7:44.0,,,36-38,,Offensive rebound by K. Koufos
7:29.0,,,36-38,,Z. Randolph misses 3-pt shot from 24 ft
7:25.0,Defensive rebound by R. McGruder,,36-38,,
7:18.0,K. Olynyk misses 3-pt shot from 24 ft,,36-38,,
7:15.0,,,36-38,,Defensive rebound by F. Mason
7:03.0,,,36-40,2,F. Mason makes 2-pt shot from 2 ft
7:03.0,,,36-40,,Shooting foul by K. Olynyk (drawn by F. Mason)
7:03.0,B. Adebayo enters the game for W. Ellington,,36-40,,
7:03.0,,,36-41,1,F. Mason makes free throw 1 of 1
6:53.0,,,36-41,,Personal foul by F. Mason (drawn by G. Dragic)
6:50.0,,,36-41,,Personal foul by F. Mason (drawn by G. Dragic)
6:42.0,G. Dragic makes 2-pt shot from 18 ft,2,38-41,,
6:21.0,,,38-43,2,B. Hield makes 2-pt shot from 18 ft (assist by Z. Randolph)
6:12.0,G. Dragic makes 3-pt shot from 25 ft (assist by K. Olynyk),3,41-43,,
5:45.0,,,41-43,,Z. Randolph misses 2-pt shot from 1 ft
5:42.0,Defensive rebound by B. Adebayo,,41-43,,
5:38.0,B. Adebayo makes 2-pt shot from 1 ft (assist by J. Winslow),2,43-43,,
5:30.0,,,43-43,,Sacramento full timeout
5:30.0,,,43-43,,W. Cauley-Stein enters the game for F. Mason
5:30.0,,,43-43,,D. Fox enters the game for K. Koufos
5:30.0,T. Johnson enters the game for K. Olynyk,,43-43,,
5:30.0,J. Johnson enters the game for R. McGruder,,43-43,,
5:21.0,,,43-43,,B. Hield misses 3-pt shot from 24 ft
5:20.0,,,43-43,,Offensive rebound by Team
5:20.0,Loose ball foul by J. Johnson (drawn by Z. Randolph),,43-43,,
5:20.0,K. Olynyk enters the game for J. Johnson,,43-43,,
5:11.0,,,43-45,2,Z. Randolph makes 2-pt shot from 18 ft (assist by D. Fox)
4:51.0,G. Dragic misses 2-pt shot from 19 ft,,43-45,,
4:48.0,,,43-45,,Defensive rebound by Z. Randolph
4:36.0,,,43-47,2,W. Cauley-Stein makes 2-pt shot from 6 ft
4:07.0,G. Dragic misses 2-pt shot from 9 ft,,43-47,,
4:04.0,,,43-47,,Defensive rebound by W. Cauley-Stein
4:02.0,,,43-47,,B. Hield misses 3-pt shot from 25 ft
4:02.0,Defensive rebound by B. Adebayo,,43-47,,
3:37.0,K. Olynyk misses 2-pt shot from 19 ft,,43-47,,
3:35.0,,,43-47,,Defensive rebound by B. Hield
3:27.0,,,43-47,,D. Fox misses 2-pt shot from 5 ft
3:24.0,Defensive rebound by B. Adebayo,,43-47,,
3:21.0,J. Winslow misses 2-pt shot at rim,,43-47,,
3:18.0,,,43-47,,Defensive rebound by Z. Randolph
3:16.0,,,43-47,,Shooting foul by K. Olynyk (drawn by D. Fox)
3:16.0,,,43-48,1,D. Fox makes free throw 1 of 2
3:16.0,,,43-48,,B. Bogdanovic enters the game for G. Temple
3:16.0,,,43-48,,J. Jackson enters the game for B. Hield
3:16.0,W. Ellington enters the game for K. Olynyk,,43-48,,
3:16.0,,,43-49,1,D. Fox makes free throw 2 of 2
2:57.0,Turnover by T. Johnson (bad pass; steal by W. Cauley-Stein),,43-49,,
2:51.0,,,43-49,,W. Cauley-Stein misses 2-pt shot from 8 ft
2:48.0,Defensive rebound by T. Johnson,,43-49,,
2:40.0,W. Ellington makes 3-pt shot from 23 ft (assist by B. Adebayo),3,46-49,,
2:21.0,,,46-51,2,Z. Randolph makes 2-pt shot from 17 ft
2:10.0,T. Johnson makes 3-pt shot from 22 ft (assist by G. Dragic),3,49-51,,
1:42.0,,,49-51,,Shooting foul by T. Johnson (drawn by B. Bogdanovic)
1:42.0,,,49-52,1,B. Bogdanovic makes free throw 1 of 2
1:42.0,,,49-52,,V. Carter enters the game for Z. Randolph
1:42.0,R. McGruder enters the game for T. Johnson,,49-52,,
1:42.0,,,49-53,1,B. Bogdanovic makes free throw 2 of 2
1:21.0,G. Dragic misses 2-pt shot from 16 ft,,49-53,,
1:18.0,Offensive rebound by J. Winslow,,49-53,,
1:16.0,W. Ellington misses 3-pt shot from 23 ft,,49-53,,
1:11.0,,,49-53,,Defensive rebound by J. Jackson
1:09.0,,,49-55,2,D. Fox makes 2-pt shot from 2 ft
0:57.0,,,49-55,,Personal foul by V. Carter (drawn by G. Dragic)
0:53.0,,,49-55,,Personal foul by J. Jackson (drawn by W. Ellington)
0:53.0,W. Ellington makes free throw 1 of 2,1,50-55,,
0:53.0,W. Ellington makes free throw 2 of 2,1,51-55,,
0:46.0,,,51-57,2,D. Fox makes 2-pt shot from 13 ft
0:24.0,G. Dragic misses 2-pt shot from 2 ft (block by W. Cauley-Stein),,51-57,,
0:24.0,Offensive rebound by Team,,51-57,,
0:22.0,J. Winslow misses 2-pt shot from 4 ft,,51-57,,
0:19.0,,,51-57,,Defensive rebound by B. Bogdanovic
0:06.0,Personal foul by W. Ellington (drawn by W. Cauley-Stein),,51-57,,
0:06.0,,,51-58,1,W. Cauley-Stein makes free throw 1 of 2
0:06.0,,,51-59,1,W. Cauley-Stein makes free throw 2 of 2
0:01.0,Shooting foul by W. Cauley-Stein (drawn by G. Dragic),,51-59,,
0:01.0,G. Dragic misses free throw 1 of 2,,51-59,,
0:01.0,Offensive rebound by Team,,51-59,,
0:01.0,G. Dragic makes free throw 2 of 2,1,52-59,,
0:00.0,,,52-59,,B. Bogdanovic misses 3-pt shot from 77 ft
0:00.0,,,52-59,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,52-59,,W. Cauley-Stein misses 2-pt shot from 5 ft
11:33.0,Defensive rebound by L. Babbitt,,52-59,,
11:21.0,T. Johnson makes 3-pt shot from 23 ft (assist by J. Johnson),3,55-59,,
10:53.0,,,55-62,3,Z. Randolph makes 3-pt shot from 22 ft (assist by J. Jackson)
10:34.0,L. Babbitt misses 3-pt shot from 26 ft,,55-62,,
10:31.0,,,55-62,,Defensive rebound by W. Cauley-Stein
10:24.0,,,55-62,,Turnover by J. Jackson (step out of bounds)
10:16.0,J. Johnson makes 2-pt shot from 3 ft,2,57-62,,
10:10.0,,,57-64,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by D. Fox)
9:58.0,T. Johnson makes 3-pt shot from 25 ft (assist by J. Johnson),3,60-64,,
9:39.0,,,60-66,2,D. Fox makes 2-pt shot from 11 ft
9:23.0,J. Johnson misses 3-pt shot from 25 ft,,60-66,,
9:21.0,,,60-66,,Defensive rebound by B. Bogdanovic
9:14.0,,,60-66,,Z. Randolph misses 3-pt shot from 24 ft
9:10.0,Defensive rebound by J. Johnson,,60-66,,
9:06.0,B. Adebayo misses 2-pt shot from 13 ft,,60-66,,
9:03.0,,,60-66,,Defensive rebound by W. Cauley-Stein
8:55.0,,,60-66,,Shooting foul by B. Adebayo (drawn by W. Cauley-Stein)
8:55.0,,,60-67,1,W. Cauley-Stein makes free throw 1 of 2
8:55.0,,,60-68,1,W. Cauley-Stein makes free throw 2 of 2
8:43.0,G. Dragic misses 2-pt shot from 12 ft,,60-68,,
8:39.0,,,60-68,,Defensive rebound by Z. Randolph
8:30.0,,,60-68,,Turnover by W. Cauley-Stein (lost ball; steal by J. Johnson)
8:25.0,T. Johnson misses 2-pt shot from 23 ft,,60-68,,
8:21.0,,,60-68,,Defensive rebound by W. Cauley-Stein
8:07.0,,,60-68,,Turnover by Z. Randolph (bad pass; steal by J. Johnson)
8:01.0,T. Johnson misses 3-pt shot from 22 ft,,60-68,,
7:58.0,,,60-68,,Defensive rebound by W. Cauley-Stein
7:37.0,,,60-68,,W. Cauley-Stein misses 2-pt shot from 9 ft (block by J. Johnson)
7:34.0,Defensive rebound by T. Johnson,,60-68,,
7:33.0,G. Dragic makes 2-pt shot from 1 ft (assist by T. Johnson),2,62-68,,
7:33.0,,,62-68,,Sacramento full timeout
7:19.0,,,62-70,2,D. Fox makes 2-pt shot from 8 ft
7:00.0,B. Adebayo misses 2-pt shot from 5 ft,,62-70,,
6:57.0,,,62-70,,Defensive rebound by D. Fox
6:52.0,,,62-72,2,J. Jackson makes 2-pt shot from 9 ft
6:27.0,J. Johnson makes 2-pt shot from 4 ft (assist by G. Dragic),2,64-72,,
6:11.0,,,64-72,,B. Bogdanovic misses 2-pt shot from 19 ft
6:08.0,Defensive rebound by B. Adebayo,,64-72,,
6:02.0,T. Johnson makes 3-pt shot from 24 ft (assist by J. Johnson),3,67-72,,
5:41.0,,,67-74,2,W. Cauley-Stein makes 2-pt shot at rim
5:20.0,Shooting foul by Z. Randolph (drawn by B. Adebayo),,67-74,,
5:20.0,B. Adebayo makes free throw 1 of 2,1,68-74,,
5:20.0,W. Ellington enters the game for L. Babbitt,,68-74,,
5:20.0,B. Adebayo makes free throw 2 of 2,1,69-74,,
5:03.0,,,69-76,2,Z. Randolph makes 2-pt shot from 4 ft (assist by W. Cauley-Stein)
5:03.0,,,69-76,,Shooting foul by B. Adebayo (drawn by Z. Randolph)
5:03.0,,,69-77,1,Z. Randolph makes free throw 1 of 1
4:53.0,W. Ellington misses 3-pt shot from 25 ft,,69-77,,
4:45.0,Offensive rebound by J. Johnson,,69-77,,
4:45.0,J. Johnson makes 2-pt shot at rim,2,71-77,,
4:33.0,,,71-80,3,B. Bogdanovic makes 3-pt shot from 27 ft (assist by J. Jackson)
4:19.0,J. Johnson misses 2-pt shot from 2 ft,,71-80,,
4:16.0,,,71-80,,Defensive rebound by Z. Randolph
4:13.0,,,71-80,,Turnover by D. Fox (lost ball; steal by T. Johnson)
4:03.0,J. Johnson makes 2-pt shot from 7 ft (assist by W. Ellington),2,73-80,,
3:48.0,,,73-82,2,B. Bogdanovic makes 2-pt shot from 2 ft (assist by Z. Randolph)
3:48.0,Miami full timeout,,73-82,,
3:48.0,,,73-82,,B. Hield enters the game for B. Bogdanovic
3:48.0,J. Winslow enters the game for T. Johnson,,73-82,,
3:48.0,R. McGruder enters the game for J. Johnson,,73-82,,
3:35.0,Turnover by J. Winslow (step out of bounds),,73-82,,
3:16.0,,,73-82,,J. Jackson misses 2-pt shot from 11 ft
3:15.0,Defensive rebound by B. Adebayo,,73-82,,
3:14.0,Turnover by R. McGruder (out of bounds lost ball),,73-82,,
2:58.0,,,73-85,3,J. Jackson makes 3-pt shot from 25 ft (assist by B. Hield)
2:39.0,J. Winslow makes 3-pt shot from 25 ft (assist by B. Adebayo),3,76-85,,
2:24.0,,,76-87,2,D. Fox makes 2-pt shot from 2 ft (assist by W. Cauley-Stein)
2:14.0,,,76-87,,Personal foul by D. Fox (drawn by G. Dragic)
2:14.0,,,76-87,,K. Koufos enters the game for J. Jackson
2:14.0,,,76-87,,G. Temple enters the game for Z. Randolph
2:14.0,K. Olynyk enters the game for G. Dragic,,76-87,,
2:02.0,J. Winslow misses 2-pt shot from 7 ft (block by B. Hield),,76-87,,
2:02.0,Offensive rebound by Team,,76-87,,
1:59.0,Jump ball: B. Hield vs. J. Winslow (W. Ellington gains possession),,,,Jump ball: B. Hield vs. J. Winslow (W. Ellington gains possession)
1:55.0,K. Olynyk misses 2-pt shot from 3 ft,,76-87,,
1:53.0,Offensive rebound by B. Adebayo,,76-87,,
1:51.0,W. Ellington misses 3-pt shot from 25 ft,,76-87,,
1:45.0,,,76-87,,Defensive rebound by W. Cauley-Stein
1:41.0,,,76-89,2,D. Fox makes 2-pt shot at rim
1:24.0,B. Adebayo misses 2-pt shot from 3 ft (block by K. Koufos),,76-89,,
1:21.0,Offensive rebound by B. Adebayo,,76-89,,
1:20.0,B. Adebayo misses 2-pt shot from 2 ft (block by K. Koufos),,76-89,,
1:20.0,,,76-89,,Defensive rebound by Team
1:20.0,,,76-89,,F. Mason enters the game for D. Fox
1:01.0,,,76-91,2,W. Cauley-Stein makes 2-pt shot from 1 ft
0:38.0,W. Ellington misses 2-pt shot from 13 ft,,76-91,,
0:35.0,,,76-91,,Defensive rebound by B. Hield
0:24.0,,,76-91,,Turnover by W. Cauley-Stein (step out of bounds)
0:24.0,,,76-91,,V. Carter enters the game for W. Cauley-Stein
0:24.0,T. Johnson enters the game for B. Adebayo,,76-91,,
0:03.0,K. Olynyk makes 3-pt shot from 25 ft (assist by J. Winslow),3,79-91,,
0:00.0,,,79-91,,F. Mason misses 3-pt shot from 40 ft
0:00.0,,,79-91,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:53.0,Turnover by J. Winslow (out of bounds lost ball),,79-91,,
11:42.0,,,79-91,,G. Temple misses 2-pt shot from 6 ft (block by K. Olynyk)
11:38.0,,,79-91,,Offensive rebound by K. Koufos
11:36.0,,,79-91,,B. Hield misses 2-pt shot from 21 ft
11:33.0,Defensive rebound by T. Johnson,,79-91,,
11:26.0,K. Olynyk misses 3-pt shot from 25 ft,,79-91,,
11:22.0,,,79-91,,Defensive rebound by F. Mason
11:19.0,,,79-91,,Offensive foul by K. Koufos (drawn by R. McGruder)
11:19.0,,,79-91,,Turnover by K. Koufos (offensive foul)
11:07.0,W. Ellington misses 3-pt shot from 25 ft,,79-91,,
11:03.0,,,79-91,,Defensive rebound by F. Mason
10:46.0,,,79-93,2,K. Koufos makes 2-pt shot from 8 ft (assist by F. Mason)
10:27.0,W. Ellington misses 3-pt shot from 25 ft,,79-93,,
10:24.0,,,79-93,,Defensive rebound by K. Koufos
10:13.0,,,79-93,,Shooting foul by K. Olynyk (drawn by F. Mason)
10:13.0,,,79-94,1,F. Mason makes free throw 1 of 2
10:13.0,,,79-95,1,F. Mason makes free throw 2 of 2
10:01.0,,,79-95,,Personal foul by B. Hield (drawn by T. Johnson)
10:01.0,J. Johnson enters the game for R. McGruder,,79-95,,
9:47.0,W. Ellington makes 3-pt shot from 22 ft (assist by J. Johnson),3,82-95,,
9:21.0,,,82-95,,V. Carter misses 3-pt shot from 25 ft
9:17.0,Defensive rebound by J. Winslow,,82-95,,
9:07.0,T. Johnson misses 3-pt shot from 27 ft,,82-95,,
9:03.0,,,82-95,,Defensive rebound by K. Koufos
8:48.0,,,82-95,,B. Hield misses 2-pt shot from 17 ft
8:42.0,,,82-95,,Offensive rebound by B. Hield
8:42.0,,,82-97,2,B. Hield makes 2-pt shot at rim
8:33.0,Turnover by T. Johnson (bad pass; steal by B. Hield),,82-97,,
8:33.0,Personal foul by J. Winslow (drawn by V. Carter),,82-97,,
8:33.0,G. Dragic enters the game for T. Johnson,,82-97,,
8:14.0,,,82-97,,B. Hield misses 3-pt shot from 28 ft
8:14.0,Defensive rebound by Team,,82-97,,
8:14.0,,,82-97,,Loose ball foul by K. Koufos (drawn by K. Olynyk)
7:59.0,K. Olynyk misses 2-pt shot from 2 ft (block by K. Koufos),,82-97,,
7:55.0,Offensive rebound by K. Olynyk,,82-97,,
7:52.0,K. Olynyk misses 2-pt shot from 2 ft,,82-97,,
7:48.0,Offensive rebound by J. Winslow,,82-97,,
7:47.0,J. Winslow makes 2-pt shot at rim,2,84-97,,
7:38.0,,,84-97,,Shooting foul by J. Winslow (drawn by F. Mason)
7:38.0,,,84-98,1,F. Mason makes free throw 1 of 2
7:38.0,,,84-99,1,F. Mason makes free throw 2 of 2
7:26.0,G. Dragic misses 2-pt shot from 11 ft,,84-99,,
7:22.0,Offensive rebound by K. Olynyk,,84-99,,
7:20.0,K. Olynyk makes 2-pt shot from 3 ft,2,86-99,,
7:02.0,,,86-99,,K. Koufos misses 2-pt shot from 9 ft
6:59.0,Defensive rebound by J. Winslow,,86-99,,
6:51.0,Shooting foul by K. Koufos (drawn by G. Dragic),,86-99,,
6:51.0,,,86-99,,Sacramento full timeout
6:51.0,G. Dragic makes free throw 1 of 2,1,87-99,,
6:51.0,G. Dragic makes free throw 2 of 2,1,88-99,,
6:34.0,,,88-101,2,B. Hield makes 2-pt shot from 19 ft (assist by F. Mason)
6:17.0,W. Ellington makes 3-pt shot from 23 ft (assist by K. Olynyk),3,91-101,,
5:58.0,,,91-104,3,B. Hield makes 3-pt shot from 25 ft (assist by V. Carter)
5:46.0,G. Dragic makes 2-pt shot from 1 ft,2,93-104,,
5:46.0,Shooting foul by K. Koufos (drawn by G. Dragic),,93-104,,
5:46.0,,,93-104,,W. Cauley-Stein enters the game for F. Mason
5:46.0,,,93-104,,D. Fox enters the game for G. Temple
5:46.0,,,93-104,,B. Bogdanovic enters the game for K. Koufos
5:46.0,G. Dragic makes free throw 1 of 1,1,94-104,,
5:23.0,,,94-104,,V. Carter misses 2-pt shot from 16 ft
5:18.0,,,94-104,,Offensive rebound by B. Bogdanovic
5:18.0,,,94-104,,B. Bogdanovic misses 2-pt shot at rim
5:17.0,Defensive rebound by G. Dragic,,94-104,,
5:14.0,G. Dragic misses 2-pt shot from 10 ft,,94-104,,
5:12.0,Offensive rebound by Team,,94-104,,
5:11.0,Miami full timeout,,94-104,,
5:11.0,,,94-104,,Z. Randolph enters the game for V. Carter
5:08.0,W. Ellington misses 3-pt shot from 25 ft,,94-104,,
5:05.0,Offensive rebound by J. Johnson,,94-104,,
5:00.0,G. Dragic makes 3-pt shot from 25 ft,3,97-104,,
4:34.0,,,97-104,,Turnover by Z. Randolph (bad pass)
4:26.0,,,97-104,,Personal foul by D. Fox (drawn by G. Dragic)
4:26.0,G. Dragic makes free throw 1 of 2,1,98-104,,
4:26.0,G. Dragic makes free throw 2 of 2,1,99-104,,
4:02.0,,,99-104,,B. Bogdanovic misses 3-pt shot from 27 ft
3:59.0,Defensive rebound by K. Olynyk,,99-104,,
3:54.0,G. Dragic makes 3-pt shot from 25 ft (assist by W. Ellington),3,102-104,,
3:53.0,,,102-104,,Sacramento full timeout
3:36.0,Personal foul by J. Johnson (drawn by Z. Randolph),,102-104,,
3:34.0,,,102-104,,Shooting foul by G. Dragic (drawn by D. Fox)
3:34.0,,,102-104,,D. Fox misses free throw 1 of 2
