time,New Orleans,pts.away,score,pts.home,Sacramento
7:42.0,E. Moore misses 3-pt shot from 25 ft,,4-15,,
7:39.0,,,4-15,,Defensive rebound by Z. Randolph
7:31.0,,,4-15,,Z. Randolph misses 2-pt shot from 4 ft
7:25.0,,,4-15,,Offensive rebound by B. Hield
7:25.0,,,4-17,2,B. Hield makes 2-pt shot at rim
7:23.0,New Orleans full timeout,,4-17,,
7:09.0,D. Cousins misses 2-pt shot from 6 ft,,4-17,,
7:05.0,Offensive rebound by D. Cousins,,4-17,,
7:04.0,D. Cousins makes 2-pt shot from 3 ft,2,6-17,,
6:48.0,,,6-17,,Shooting foul by D. Cousins (drawn by W. Cauley-Stein)
6:48.0,,,6-18,1,W. Cauley-Stein makes free throw 1 of 2
6:48.0,,,6-19,1,W. Cauley-Stein makes free throw 2 of 2
6:42.0,Turnover by E. Moore (lost ball; steal by W. Cauley-Stein),,6-19,,
6:25.0,,,6-21,2,J. Jackson makes 2-pt shot from 8 ft (assist by Z. Randolph)
6:14.0,J. Holiday misses 2-pt shot from 3 ft,,6-21,,
6:12.0,Offensive rebound by Team,,6-21,,
6:12.0,J. Nelson enters the game for D. Miller,,6-21,,
6:04.0,D. Cunningham misses 3-pt shot from 22 ft,,6-21,,
6:00.0,,,6-21,,Defensive rebound by J. Jackson
5:54.0,,,6-23,2,Z. Randolph makes 2-pt shot from 7 ft (assist by G. Hill)
5:41.0,Turnover by D. Cousins (lost ball; steal by W. Cauley-Stein),,6-23,,
5:38.0,,,6-25,2,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by J. Jackson)
5:31.0,J. Nelson makes 3-pt shot from 23 ft (assist by D. Cousins),3,9-25,,
5:13.0,,,9-25,,Z. Randolph misses 2-pt shot from 7 ft
5:10.0,Defensive rebound by D. Cousins,,9-25,,
5:02.0,D. Cousins makes 2-pt shot from 3 ft (assist by J. Nelson),2,11-25,,
4:48.0,,,11-27,2,B. Hield makes 2-pt shot from 12 ft
4:45.0,Turnover by E. Moore (traveling),,11-27,,
4:33.0,,,11-27,,Z. Randolph misses 2-pt shot from 21 ft
4:30.0,Defensive rebound by J. Nelson,,11-27,,
4:26.0,J. Nelson makes 3-pt shot from 25 ft (assist by J. Holiday),3,14-27,,
4:06.0,,,14-27,,Turnover by B. Hield (traveling)
4:06.0,,,14-27,,K. Koufos enters the game for W. Cauley-Stein
3:51.0,Turnover by J. Holiday (step out of bounds),,14-27,,
3:51.0,,,14-27,,Sacramento full timeout
3:51.0,,,14-27,,G. Temple enters the game for J. Jackson
3:51.0,C. Diallo enters the game for D. Cousins,,14-27,,
3:51.0,I. Clark enters the game for E. Moore,,14-27,,
3:31.0,,,14-27,,B. Hield misses 3-pt shot from 25 ft
3:28.0,Defensive rebound by C. Diallo,,14-27,,
3:24.0,C. Diallo makes 2-pt shot at rim (assist by J. Nelson),2,16-27,,
3:02.0,,,16-27,,K. Koufos misses 2-pt shot from 4 ft
2:58.0,Defensive rebound by C. Diallo,,16-27,,
2:54.0,J. Nelson makes 3-pt shot from 25 ft (assist by J. Holiday),3,19-27,,
2:52.0,,,19-27,,D. Fox enters the game for G. Hill
2:52.0,,,19-27,,S. Labissiere enters the game for Z. Randolph
2:35.0,,,19-27,,G. Temple misses 3-pt shot from 24 ft (block by J. Holiday)
2:31.0,Defensive rebound by J. Holiday,,19-27,,
2:29.0,J. Holiday makes 2-pt shot from 3 ft,2,21-27,,
2:22.0,Personal foul by D. Cunningham (drawn by S. Labissiere),,21-27,,
2:22.0,,,21-27,,B. Bogdanovic enters the game for B. Hield
2:17.0,,,21-29,2,K. Koufos makes 2-pt shot from 1 ft (assist by G. Temple)
2:03.0,J. Holiday misses 3-pt shot from 23 ft,,21-29,,
2:03.0,,,21-29,,Defensive rebound by Team
2:03.0,D. Cousins enters the game for J. Holiday,,21-29,,
2:03.0,T. Allen enters the game for D. Cunningham,,21-29,,
1:59.0,Jump ball: K. Koufos vs. C. Diallo (S. Labissiere gains possession),,,,Jump ball: K. Koufos vs. C. Diallo (S. Labissiere gains possession)
1:54.0,,,21-31,2,S. Labissiere makes 2-pt shot from 19 ft (assist by D. Fox)
1:45.0,,,21-31,,Personal foul by K. Koufos (drawn by D. Cousins)
1:34.0,T. Allen misses 2-pt shot from 5 ft (block by S. Labissiere),,21-31,,
1:28.0,Offensive rebound by C. Diallo,,21-31,,
1:27.0,C. Diallo makes 2-pt shot at rim,2,23-31,,
1:23.0,,,23-34,3,S. Labissiere makes 3-pt shot from 25 ft (assist by D. Fox)
1:14.0,J. Nelson makes 2-pt shot at rim (assist by D. Cousins),2,25-34,,
0:58.0,,,25-34,,D. Fox misses 2-pt shot from 20 ft (block by J. Nelson)
0:58.0,,,25-34,,Offensive rebound by K. Koufos
0:57.0,,,25-36,2,D. Fox makes 2-pt shot from 20 ft (assist by K. Koufos)
0:46.0,D. Cousins misses 2-pt shot from 3 ft (block by K. Koufos),,25-36,,
0:43.0,Offensive rebound by D. Cousins,,25-36,,
0:41.0,D. Cousins makes 2-pt shot from 5 ft,2,27-36,,
0:36.0,,,27-38,2,S. Labissiere makes 2-pt shot from 3 ft
0:24.0,C. Diallo misses 2-pt shot from 2 ft,,27-38,,
0:24.0,Offensive rebound by D. Cousins,,27-38,,
0:18.0,D. Cousins misses 2-pt shot at rim,,27-38,,
0:18.0,,,27-38,,Defensive rebound by S. Labissiere
0:17.0,,,27-40,2,B. Bogdanovic makes 2-pt shot at rim (assist by D. Fox)
0:01.0,J. Nelson misses 3-pt shot from 25 ft,,27-40,,
0:01.0,,,27-40,,Defensive rebound by K. Koufos
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,27-40,,S. Labissiere misses 2-pt shot from 10 ft
11:44.0,Defensive rebound by D. Cousins,,27-40,,
11:40.0,D. Cousins misses 2-pt shot from 6 ft,,27-40,,
11:37.0,Offensive rebound by D. Cousins,,27-40,,
11:37.0,D. Cousins misses 2-pt shot from 1 ft,,27-40,,
11:37.0,Offensive rebound by D. Cousins,,27-40,,
11:37.0,D. Cousins makes 2-pt shot from 1 ft,2,29-40,,
11:37.0,,,29-40,,Violation by K. Koufos (def goaltending)
11:26.0,,,29-40,,Turnover by K. Koufos (traveling)
11:13.0,D. Cousins misses 3-pt shot from 26 ft,,29-40,,
11:09.0,,,29-40,,Defensive rebound by B. Bogdanovic
10:51.0,,,29-40,,B. Bogdanovic misses 3-pt shot from 24 ft
10:48.0,,,29-40,,Offensive rebound by K. Koufos
10:37.0,Personal foul by I. Clark (drawn by S. Labissiere),,29-40,,
10:26.0,,,29-42,2,G. Temple makes 2-pt shot from 17 ft (assist by K. Koufos)
10:26.0,,,29-42,,Shooting foul by T. Allen (drawn by G. Temple)
10:26.0,,,29-43,1,G. Temple makes free throw 1 of 1
10:17.0,Turnover by J. Nelson (bad pass; steal by S. Labissiere),,29-43,,
10:11.0,,,29-43,,K. Koufos misses 2-pt shot from 3 ft
10:08.0,,,29-43,,Offensive rebound by K. Koufos
10:05.0,,,29-46,3,D. Fox makes 3-pt shot from 24 ft (assist by B. Bogdanovic)
9:51.0,I. Clark misses 2-pt shot from 6 ft (block by S. Labissiere),,29-46,,
9:48.0,,,29-46,,Defensive rebound by B. Bogdanovic
9:46.0,,,29-46,,Turnover by B. Bogdanovic (bad pass; steal by T. Allen)
9:41.0,Turnover by T. Allen (bad pass; steal by K. Koufos),,29-46,,
9:37.0,,,29-46,,D. Fox misses 2-pt shot from 8 ft
9:33.0,Defensive rebound by T. Allen,,29-46,,
9:27.0,D. Cousins misses 2-pt shot from 3 ft,,29-46,,
9:24.0,,,29-46,,Defensive rebound by S. Labissiere
9:22.0,,,29-46,,Shooting foul by I. Clark (drawn by G. Temple)
9:22.0,,,29-47,1,G. Temple makes free throw 1 of 2
9:22.0,,,29-48,1,G. Temple makes free throw 2 of 2
9:12.0,,,29-48,,Def 3 sec tech foul by S. Labissiere
9:12.0,D. Cousins makes technical free throw,1,30-48,,
9:12.0,J. Holiday enters the game for C. Diallo,,30-48,,
9:12.0,E. Moore enters the game for J. Nelson,,30-48,,
9:07.0,J. Holiday makes 2-pt shot from 11 ft,2,32-48,,
8:59.0,,,32-48,,D. Fox misses 2-pt shot from 17 ft
8:55.0,Defensive rebound by T. Allen,,32-48,,
8:48.0,D. Cousins makes 2-pt shot from 2 ft (assist by E. Moore),2,34-48,,
8:47.0,,,34-48,,Sacramento full timeout
8:47.0,,,34-48,,V. Carter enters the game for S. Labissiere
8:34.0,,,34-51,3,G. Temple makes 3-pt shot from 24 ft (assist by B. Bogdanovic)
8:21.0,E. Moore makes 2-pt shot from 1 ft (assist by J. Holiday),2,36-51,,
8:08.0,Personal foul by E. Moore (drawn by D. Fox),,36-51,,
8:08.0,,,36-51,,W. Cauley-Stein enters the game for B. Bogdanovic
8:08.0,,,36-51,,Z. Randolph enters the game for K. Koufos
8:00.0,,,36-51,,V. Carter misses 3-pt shot from 25 ft
7:56.0,Defensive rebound by D. Cousins,,36-51,,
7:51.0,E. Moore makes 2-pt shot from 2 ft (assist by D. Cousins),2,38-51,,
7:34.0,,,38-54,3,V. Carter makes 3-pt shot from 25 ft (assist by W. Cauley-Stein)
7:17.0,Shooting foul by G. Temple (drawn by I. Clark),,38-54,,
7:17.0,I. Clark makes free throw 1 of 2,1,39-54,,
7:17.0,C. Diallo enters the game for D. Cousins,,39-54,,
7:17.0,D. Cunningham enters the game for T. Allen,,39-54,,
7:17.0,I. Clark makes free throw 2 of 2,1,40-54,,
6:58.0,,,40-54,,D. Fox misses 2-pt shot from 19 ft
6:55.0,Defensive rebound by C. Diallo,,40-54,,
6:46.0,E. Moore misses 2-pt shot from 6 ft,,40-54,,
6:41.0,Offensive rebound by D. Cunningham,,40-54,,
6:41.0,D. Cunningham misses 2-pt shot from 2 ft,,40-54,,
6:40.0,,,40-54,,Defensive rebound by Z. Randolph
6:36.0,,,40-54,,G. Temple misses 3-pt shot from 23 ft
6:36.0,Defensive rebound by D. Cunningham,,40-54,,
6:31.0,Shooting foul by V. Carter (drawn by I. Clark),,40-54,,
6:31.0,I. Clark makes free throw 1 of 2,1,41-54,,
6:31.0,,,41-54,,G. Hill enters the game for D. Fox
6:31.0,I. Clark misses free throw 2 of 2,,41-54,,
6:29.0,,,41-54,,Defensive rebound by Team
6:21.0,,,41-54,,Shooting foul by I. Clark (drawn by G. Temple)
6:21.0,,,41-55,1,G. Temple makes free throw 1 of 2
6:21.0,D. Cousins enters the game for I. Clark,,41-55,,
6:21.0,J. Nelson enters the game for C. Diallo,,41-55,,
6:21.0,,,41-56,1,G. Temple makes free throw 2 of 2
6:13.0,J. Holiday misses 2-pt shot from 7 ft (block by G. Temple),,41-56,,
6:13.0,,,41-56,,Defensive rebound by Team
6:08.0,Jump ball: G. Temple vs. J. Holiday (W. Cauley-Stein gains possession),,,,Jump ball: G. Temple vs. J. Holiday (W. Cauley-Stein gains possession)
6:08.0,Turnover by J. Holiday (turnover; steal by G. Temple),,41-56,,
6:03.0,,,41-56,,Turnover by G. Temple (bad pass)
5:58.0,Shooting foul by V. Carter (drawn by D. Cousins),,41-56,,
5:58.0,D. Cousins misses free throw 1 of 2,,41-56,,
5:58.0,Offensive rebound by Team,,41-56,,
5:58.0,D. Cousins makes free throw 2 of 2,1,42-56,,
5:48.0,,,42-56,,Z. Randolph misses 3-pt shot from 24 ft
5:44.0,Defensive rebound by J. Holiday,,42-56,,
5:24.0,E. Moore misses 3-pt shot from 25 ft,,42-56,,
5:22.0,,,42-56,,Defensive rebound by G. Hill
5:18.0,,,42-58,2,Z. Randolph makes 2-pt shot from 1 ft (assist by V. Carter)
5:18.0,,,42-58,,Shooting foul by D. Cousins (drawn by Z. Randolph)
5:18.0,,,42-58,,Z. Randolph misses free throw 1 of 1
5:16.0,Defensive rebound by D. Cousins,,42-58,,
5:02.0,D. Cunningham misses 3-pt shot from 23 ft,,42-58,,
4:57.0,,,42-58,,Defensive rebound by V. Carter
4:52.0,,,42-58,,Turnover by G. Temple (bad pass; steal by D. Cunningham)
4:39.0,Turnover by J. Nelson (bad pass; steal by W. Cauley-Stein),,42-58,,
4:31.0,,,42-58,,G. Hill misses 2-pt shot from 2 ft
4:22.0,Defensive rebound by Team,,42-58,,
4:07.0,D. Cousins makes 3-pt shot from 25 ft (assist by J. Holiday),3,45-58,,
3:49.0,Personal foul by D. Cunningham (drawn by Z. Randolph),,45-58,,
3:49.0,,,45-59,1,Z. Randolph makes free throw 1 of 2
3:49.0,,,45-59,,B. Bogdanovic enters the game for G. Temple
3:49.0,,,45-60,1,Z. Randolph makes free throw 2 of 2
3:38.0,Turnover by J. Holiday (bad pass),,45-60,,
3:27.0,,,45-60,,V. Carter misses 2-pt shot from 17 ft
3:23.0,Defensive rebound by D. Cunningham,,45-60,,
3:14.0,E. Moore makes 2-pt shot from 5 ft (assist by J. Nelson),2,47-60,,
2:58.0,Personal foul by J. Holiday (drawn by G. Hill),,47-60,,
2:58.0,New Orleans full timeout,,47-60,,
2:58.0,,,47-61,1,G. Hill makes free throw 1 of 2
2:58.0,,,47-62,1,G. Hill makes free throw 2 of 2
2:41.0,D. Cunningham makes 3-pt shot from 25 ft (assist by D. Cousins),3,50-62,,
2:24.0,,,50-64,2,G. Hill makes 2-pt shot from 13 ft (assist by Z. Randolph)
2:02.0,E. Moore makes 3-pt shot from 22 ft (assist by D. Cousins),3,53-64,,
1:49.0,,,53-64,,Turnover by Z. Randolph (bad pass; steal by E. Moore)
1:48.0,,,53-64,,Personal foul by G. Hill (drawn by E. Moore)
1:48.0,,,53-64,,B. Hield enters the game for V. Carter
1:39.0,E. Moore misses 2-pt shot from 21 ft,,53-64,,
1:34.0,,,53-64,,Defensive rebound by W. Cauley-Stein
1:25.0,Violation by D. Cunningham (kicked ball),,53-64,,
1:17.0,,,53-66,2,B. Bogdanovic makes 2-pt shot from 3 ft (assist by W. Cauley-Stein)
0:59.0,D. Cousins makes 3-pt shot from 24 ft (assist by J. Holiday),3,56-66,,
0:38.0,Personal foul by J. Holiday (drawn by B. Bogdanovic),,56-66,,
0:38.0,,,56-67,1,B. Bogdanovic makes free throw 1 of 2
0:38.0,,,56-68,1,B. Bogdanovic makes free throw 2 of 2
0:18.0,Offensive charge foul by E. Moore (drawn by B. Bogdanovic),,56-68,,
0:18.0,Turnover by E. Moore (offensive foul),,56-68,,
0:18.0,,,56-68,,V. Carter enters the game for Z. Randolph
0:18.0,C. Diallo enters the game for D. Cousins,,56-68,,
0:18.0,T. Allen enters the game for J. Holiday,,56-68,,
0:04.0,,,56-70,2,G. Hill makes 2-pt shot from 20 ft
0:00.0,J. Nelson misses 3-pt shot from 27 ft,,56-70,,
0:00.0,Offensive rebound by Team,,56-70,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,56-70,,W. Cauley-Stein misses 2-pt shot from 21 ft
11:40.0,Defensive rebound by D. Cunningham,,56-70,,
11:29.0,D. Cunningham misses 3-pt shot from 23 ft,,56-70,,
11:25.0,,,56-70,,Defensive rebound by B. Hield
11:13.0,,,56-73,3,B. Hield makes 3-pt shot from 24 ft (assist by G. Hill)
10:52.0,D. Cunningham misses 3-pt shot from 23 ft,,56-73,,
10:48.0,,,56-73,,Defensive rebound by G. Hill
10:44.0,,,56-75,2,B. Hield makes 2-pt shot from 18 ft
10:22.0,D. Cousins makes 2-pt shot from 2 ft,2,58-75,,
10:02.0,,,58-75,,Z. Randolph misses 2-pt shot from 10 ft
9:58.0,Defensive rebound by D. Cousins,,58-75,,
9:51.0,J. Holiday makes 2-pt shot from 11 ft,2,60-75,,
9:32.0,,,60-75,,B. Hield misses 2-pt shot from 17 ft
9:28.0,Defensive rebound by J. Holiday,,60-75,,
9:20.0,J. Holiday misses 3-pt shot from 24 ft,,60-75,,
9:17.0,,,60-75,,Defensive rebound by B. Hield
8:58.0,,,60-75,,W. Cauley-Stein misses 2-pt shot from 4 ft
8:56.0,Defensive rebound by D. Cousins,,60-75,,
8:53.0,Shooting foul by G. Hill (drawn by D. Cunningham),,60-75,,
8:53.0,D. Cunningham misses free throw 1 of 2,,60-75,,
8:53.0,Offensive rebound by Team,,60-75,,
8:53.0,D. Cunningham misses free throw 2 of 2,,60-75,,
8:50.0,,,60-75,,Defensive rebound by G. Hill
8:37.0,,,60-75,,Turnover by G. Hill (out of bounds lost ball)
8:18.0,D. Cousins makes 2-pt shot from 7 ft,2,62-75,,
7:53.0,,,62-75,,B. Hield misses 2-pt shot from 3 ft
7:51.0,Defensive rebound by D. Cousins,,62-75,,
7:47.0,J. Holiday makes 3-pt shot from 25 ft (assist by D. Cunningham),3,65-75,,
7:45.0,,,65-75,,Sacramento full timeout
7:31.0,Violation by D. Cousins (kicked ball),,65-75,,
7:23.0,,,65-75,,W. Cauley-Stein misses 2-pt shot from 19 ft
7:20.0,Defensive rebound by J. Nelson,,65-75,,
7:10.0,J. Nelson makes 2-pt shot from 3 ft,2,67-75,,
6:48.0,,,67-77,2,Z. Randolph makes 2-pt shot from 1 ft
6:32.0,D. Cunningham makes 3-pt shot from 22 ft (assist by J. Nelson),3,70-77,,
6:19.0,,,70-79,2,Z. Randolph makes 2-pt shot from 6 ft
6:01.0,D. Cousins makes 2-pt shot from 17 ft,2,72-79,,
5:53.0,,,72-79,,Turnover by Z. Randolph (bad pass)
5:44.0,,,72-79,,Personal foul by G. Hill (drawn by J. Nelson)
5:36.0,J. Nelson misses 3-pt shot from 24 ft,,72-79,,
5:32.0,,,72-79,,Defensive rebound by Team
5:15.0,,,72-79,,J. Jackson misses 3-pt shot from 26 ft
5:11.0,Defensive rebound by D. Cousins,,72-79,,
5:01.0,E. Moore misses 3-pt shot from 22 ft,,72-79,,
4:58.0,,,72-79,,Defensive rebound by Z. Randolph
4:55.0,,,72-79,,B. Hield misses 3-pt shot from 22 ft
4:51.0,Defensive rebound by D. Cousins,,72-79,,
4:37.0,,,72-79,,Def 3 sec tech foul by W. Cauley-Stein
4:37.0,J. Holiday makes technical free throw,1,73-79,,
4:37.0,,,73-79,,D. Fox enters the game for J. Jackson
4:37.0,I. Clark enters the game for J. Nelson,,73-79,,
4:33.0,,,73-79,,Personal foul by B. Hield (drawn by J. Holiday)
4:25.0,J. Holiday makes 2-pt shot from 3 ft,2,75-79,,
4:00.0,,,75-79,,Z. Randolph misses 2-pt shot from 12 ft
3:57.0,Defensive rebound by D. Cousins,,75-79,,
3:54.0,,,75-79,,Personal foul by B. Hield (drawn by D. Cousins)
3:54.0,,,75-79,,G. Temple enters the game for B. Hield
3:54.0,C. Diallo enters the game for D. Cousins,,75-79,,
3:44.0,I. Clark makes 2-pt shot from 9 ft,2,77-79,,
3:24.0,,,77-79,,G. Temple misses 2-pt shot from 20 ft
3:24.0,Defensive rebound by Team,,77-79,,
3:24.0,,,77-79,,S. Labissiere enters the game for G. Hill
3:24.0,,,77-79,,B. Bogdanovic enters the game for Z. Randolph
3:11.0,Offensive charge foul by C. Diallo (drawn by G. Temple),,77-79,,
3:11.0,Turnover by C. Diallo (offensive foul),,77-79,,
3:00.0,,,77-79,,G. Temple misses 3-pt shot from 23 ft
2:56.0,Defensive rebound by I. Clark,,77-79,,
2:50.0,J. Holiday makes 3-pt shot from 25 ft,3,80-79,,
2:42.0,Personal foul by I. Clark (drawn by S. Labissiere),,80-79,,
2:42.0,New Orleans full timeout,,80-79,,
2:42.0,,,80-79,,K. Koufos enters the game for W. Cauley-Stein
2:42.0,T. Allen enters the game for C. Diallo,,80-79,,
2:42.0,D. Cousins enters the game for D. Cunningham,,80-79,,
2:33.0,,,80-79,,Turnover by B. Bogdanovic (bad pass)
2:25.0,Offensive foul by T. Allen (drawn by G. Temple),,80-79,,
2:25.0,Turnover by T. Allen (offensive foul),,80-79,,
2:08.0,,,80-79,,Shooting foul by D. Cousins (drawn by K. Koufos)
2:08.0,,,80-80,1,K. Koufos makes free throw 1 of 2
2:08.0,,,80-80,,K. Koufos misses free throw 2 of 2
2:05.0,Defensive rebound by T. Allen,,80-80,,
2:00.0,T. Allen makes 2-pt shot from 1 ft,2,82-80,,
1:54.0,,,82-82,2,D. Fox makes 2-pt shot from 2 ft
1:54.0,,,82-82,,Shooting foul by T. Allen (drawn by D. Fox)
1:54.0,J. Nelson enters the game for J. Holiday,,82-82,,
1:54.0,,,82-83,1,D. Fox makes free throw 1 of 1
1:43.0,,,82-83,,Def 3 sec tech foul by S. Labissiere
1:43.0,D. Cousins makes technical free throw,1,83-83,,
1:34.0,I. Clark misses 3-pt shot from 24 ft,,83-83,,
1:30.0,,,83-83,,Defensive rebound by K. Koufos
1:23.0,,,83-83,,S. Labissiere misses 3-pt shot from 25 ft
1:23.0,Defensive rebound by E. Moore,,83-83,,
1:05.0,J. Nelson makes 3-pt shot from 24 ft,3,86-83,,
0:54.0,,,86-85,2,K. Koufos makes 2-pt shot from 2 ft (assist by D. Fox)
0:48.0,Turnover by D. Cousins (lost ball; steal by K. Koufos),,86-85,,
0:46.0,Personal foul by E. Moore (drawn by D. Fox),,86-85,,
0:46.0,,,86-86,1,D. Fox makes free throw 1 of 2
0:46.0,J. Holiday enters the game for E. Moore,,86-86,,
0:46.0,,,86-87,1,D. Fox makes free throw 2 of 2
0:33.0,T. Allen misses 3-pt shot from 23 ft,,86-87,,
0:30.0,,,86-87,,Defensive rebound by K. Koufos
0:21.0,,,86-87,,Turnover by S. Labissiere (bad pass; steal by T. Allen)
0:18.0,T. Allen makes 2-pt shot from 2 ft,2,88-87,,
0:00.0,,,88-87,,D. Fox misses 2-pt shot from 22 ft
0:00.0,,,88-87,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,I. Clark misses 3-pt shot from 22 ft,,88-87,,
11:34.0,,,88-87,,Defensive rebound by D. Fox
11:34.0,Personal foul by J. Nelson (drawn by D. Fox),,88-87,,
11:21.0,,,88-87,,Turnover by G. Temple (traveling)
11:13.0,,,88-87,,Personal foul by B. Bogdanovic (drawn by I. Clark)
11:00.0,T. Allen misses 2-pt shot from 21 ft,,88-87,,
10:57.0,,,88-87,,Defensive rebound by K. Koufos
10:47.0,,,88-87,,D. Fox misses 2-pt shot from 20 ft
10:43.0,Defensive rebound by T. Allen,,88-87,,
10:34.0,,,88-87,,Personal foul by D. Fox (drawn by J. Holiday)
10:27.0,Shooting foul by K. Koufos (drawn by D. Cousins),,88-87,,
10:27.0,D. Cousins makes free throw 1 of 2,1,89-87,,
10:27.0,D. Cousins makes free throw 2 of 2,1,90-87,,
10:07.0,,,90-89,2,D. Fox makes 2-pt shot from 2 ft (assist by B. Bogdanovic)
9:55.0,T. Allen makes 2-pt shot from 1 ft (assist by J. Nelson),2,92-89,,
9:37.0,,,92-89,,Shooting foul by D. Cousins (drawn by S. Labissiere)
9:37.0,,,92-90,1,S. Labissiere makes free throw 1 of 2
9:37.0,E. Moore enters the game for J. Holiday,,92-90,,
9:37.0,D. Cunningham enters the game for T. Allen,,92-90,,
9:37.0,,,92-91,1,S. Labissiere makes free throw 2 of 2
9:21.0,D. Cunningham misses 2-pt shot from 2 ft,,92-91,,
9:21.0,Offensive rebound by D. Cousins,,92-91,,
9:21.0,Shooting foul by D. Fox (drawn by D. Cousins),,92-91,,
9:21.0,D. Cousins makes free throw 1 of 3,1,93-91,,
9:21.0,D. Cousins makes free throw 2 of 3,1,94-91,,
9:04.0,,,94-91,,D. Fox misses 2-pt shot from 15 ft
9:02.0,Defensive rebound by J. Nelson,,94-91,,
8:58.0,J. Nelson makes 2-pt shot from 21 ft,2,96-91,,
8:45.0,,,96-91,,B. Bogdanovic misses 3-pt shot from 25 ft
8:42.0,Defensive rebound by E. Moore,,96-91,,
8:32.0,J. Nelson misses 2-pt shot from 8 ft,,96-91,,
8:30.0,Offensive rebound by D. Cousins,,96-91,,
8:30.0,Shooting foul by G. Temple (drawn by D. Cousins),,96-91,,
8:30.0,,,96-91,,Sacramento full timeout
8:30.0,J. Holiday enters the game for J. Nelson,,96-91,,
8:30.0,D. Cousins makes free throw 1 of 2,1,97-91,,
8:30.0,D. Cousins makes free throw 2 of 2,1,98-91,,
8:16.0,,,98-93,2,K. Koufos makes 2-pt shot from 1 ft (assist by B. Bogdanovic)
8:16.0,,,98-93,,Shooting foul by J. Holiday (drawn by K. Koufos)
8:16.0,,,98-94,1,K. Koufos makes free throw 1 of 1
8:03.0,I. Clark makes 2-pt shot from 1 ft (assist by D. Cousins),2,100-94,,
7:37.0,,,100-96,2,B. Bogdanovic makes 2-pt shot from 1 ft
7:23.0,New Orleans full timeout,,100-96,,
7:23.0,J. Nelson enters the game for I. Clark,,100-96,,
7:13.0,E. Moore misses 2-pt shot from 8 ft,,100-96,,
7:10.0,,,100-96,,Defensive rebound by S. Labissiere
6:56.0,,,100-96,,G. Temple misses 3-pt shot from 25 ft
6:54.0,Defensive rebound by D. Cousins,,100-96,,
6:45.0,Shooting foul by D. Fox (drawn by J. Holiday),,100-96,,
6:45.0,J. Holiday misses free throw 1 of 2,,100-96,,
6:45.0,Offensive rebound by Team,,100-96,,
6:45.0,J. Holiday makes free throw 2 of 2,1,101-96,,
6:30.0,,,101-98,2,S. Labissiere makes 2-pt shot from 13 ft
6:05.0,J. Holiday misses 2-pt shot from 14 ft,,101-98,,
6:04.0,,,101-98,,Defensive rebound by Team
