time,Portland,pts.away,score,pts.home,New Orleans
4:12.0,Defensive rebound by Z. Collins,,72-84,,
3:51.0,Z. Collins misses 2-pt shot from 17 ft (block by N. Mirotic),,72-84,,
3:46.0,,,72-84,,Defensive rebound by N. Mirotic
3:44.0,,,72-87,3,J. Holiday makes 3-pt shot from 26 ft (assist by N. Mirotic)
3:43.0,Portland full timeout,,72-87,,
3:43.0,,,72-87,,S. Hill enters the game for N. Mirotic
3:29.0,D. Lillard misses 3-pt shot from 24 ft,,72-87,,
3:25.0,,,72-87,,Defensive rebound by D. Miller
3:20.0,,,72-87,,J. Holiday misses 3-pt shot from 26 ft
3:14.0,Defensive rebound by C. McCollum,,72-87,,
3:13.0,D. Lillard makes 3-pt shot from 29 ft (assist by C. McCollum),3,75-87,,
2:54.0,,,75-87,,J. Holiday misses 2-pt shot from 6 ft
2:53.0,,,75-87,,Offensive rebound by A. Davis
2:53.0,,,75-89,2,A. Davis makes 2-pt shot from 2 ft
2:39.0,D. Lillard makes 2-pt shot from 2 ft,2,77-89,,
2:32.0,,,77-89,,Shooting foul by P. Connaughton (drawn by J. Holiday)
2:32.0,,,77-90,1,J. Holiday makes free throw 1 of 2
2:32.0,W. Baldwin enters the game for P. Connaughton,,77-90,,
2:32.0,,,77-91,1,J. Holiday makes free throw 2 of 2
2:19.0,C. McCollum makes 2-pt shot from 13 ft,2,79-91,,
2:19.0,Shooting foul by S. Hill (drawn by C. McCollum),,79-91,,
2:19.0,,,79-91,,R. Rondo enters the game for J. Holiday
2:19.0,C. McCollum makes free throw 1 of 1,1,80-91,,
2:06.0,,,80-93,2,R. Rondo makes 2-pt shot from 2 ft
1:58.0,C. McCollum makes 2-pt shot from 2 ft,2,82-93,,
1:47.0,,,82-95,2,A. Davis makes 2-pt shot from 18 ft (assist by R. Rondo)
1:30.0,W. Baldwin makes 3-pt shot from 26 ft (assist by Z. Collins),3,85-95,,
1:12.0,,,85-98,3,S. Hill makes 3-pt shot from 22 ft (assist by R. Rondo)
0:59.0,D. Lillard misses 2-pt shot from 1 ft,,85-98,,
0:59.0,,,85-98,,Defensive rebound by A. Davis
0:59.0,Personal foul by E. Davis (drawn by A. Davis),,85-98,,
0:59.0,,,85-99,1,A. Davis makes free throw 1 of 2
0:59.0,J. Nurkic enters the game for E. Davis,,85-99,,
0:59.0,A. Aminu enters the game for Z. Collins,,85-99,,
0:59.0,,,85-100,1,A. Davis makes free throw 2 of 2
0:53.0,,,85-100,,Personal foul by I. Clark (drawn by C. McCollum)
0:53.0,C. McCollum makes free throw 1 of 2,1,86-100,,
0:53.0,,,86-100,,E. Moore enters the game for I. Clark
0:53.0,C. McCollum makes free throw 2 of 2,1,87-100,,
0:36.0,Jump ball: A. Davis vs. A. Aminu (R. Rondo gains possession),,,,Jump ball: A. Davis vs. A. Aminu (R. Rondo gains possession)
0:33.0,,,87-100,,E. Moore misses 2-pt shot from 17 ft
0:29.0,,,87-100,,Offensive rebound by S. Hill
0:08.0,,,87-100,,R. Rondo misses 3-pt shot from 24 ft (block by J. Nurkic)
0:03.0,Defensive rebound by W. Baldwin,,87-100,,
0:01.0,Turnover by W. Baldwin (bad pass; steal by E. Moore),,87-100,,
0:01.0,,,87-100,,E. Moore misses 2-pt shot from 5 ft
0:01.0,,,87-100,,Offensive rebound by A. Davis
0:01.0,,,87-100,,A. Davis misses 2-pt shot from 1 ft
0:01.0,Defensive rebound by Team,,87-100,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,J. Nurkic makes 2-pt shot from 6 ft,2,89-100,,
11:29.0,,,89-100,,N. Mirotic misses 2-pt shot from 21 ft
11:25.0,Defensive rebound by A. Aminu,,89-100,,
11:19.0,C. McCollum makes 3-pt shot from 25 ft (assist by D. Lillard),3,92-100,,
11:00.0,,,92-102,2,E. Moore makes 2-pt shot from 9 ft (assist by R. Rondo)
10:36.0,J. Nurkic makes 2-pt shot from 21 ft (assist by D. Lillard),2,94-102,,
10:13.0,,,94-104,2,J. Holiday makes 2-pt shot from 1 ft
10:00.0,E. Turner makes 2-pt shot from 1 ft (assist by J. Nurkic),2,96-104,,
9:43.0,,,96-104,,Turnover by S. Hill (bad pass; steal by A. Aminu)
