time,Atlanta,pts.away,score,pts.home,New Orleans
10:10.0,,,34-23,,Turnover by J. Holiday (bad pass; steal by M. Delaney)
9:56.0,M. Delaney misses 2-pt shot from 6 ft,,34-23,,
9:51.0,,,34-23,,Defensive rebound by J. Nelson
9:34.0,,,34-25,2,D. Miller makes 2-pt shot from 2 ft (assist by J. Holiday)
9:26.0,Atlanta full timeout,,34-25,,
9:26.0,T. Waller-Prince enters the game for M. Belinelli,,34-25,,
9:26.0,L. Babbitt enters the game for I. Taylor,,34-25,,
9:26.0,D. Schroder enters the game for K. Bazemore,,34-25,,
9:10.0,D. Schroder makes 2-pt shot at rim,2,36-25,,
9:00.0,Personal foul by T. Cavanaugh (drawn by D. Cousins),,36-25,,
8:49.0,,,36-28,3,D. Miller makes 3-pt shot from 25 ft (assist by I. Clark)
8:28.0,T. Waller-Prince misses 2-pt shot from 1 ft,,36-28,,
8:20.0,Offensive rebound by T. Cavanaugh,,36-28,,
8:20.0,T. Cavanaugh makes 2-pt shot at rim,2,38-28,,
8:16.0,,,38-28,,Turnover by I. Clark (out of bounds lost ball)
8:01.0,D. Schroder misses 2-pt shot from 1 ft,,38-28,,
7:58.0,,,38-28,,Defensive rebound by D. Cousins
7:55.0,,,38-28,,D. Miller misses 3-pt shot from 25 ft
7:50.0,Defensive rebound by T. Waller-Prince,,38-28,,
7:45.0,T. Cavanaugh makes 2-pt shot from 9 ft,2,40-28,,
7:35.0,,,40-28,,J. Holiday misses 2-pt shot from 3 ft
7:29.0,Defensive rebound by T. Cavanaugh,,40-28,,
7:28.0,Turnover by T. Waller-Prince (bad pass; steal by D. Cousins),,40-28,,
7:28.0,,,40-28,,Shooting foul by D. Schroder (drawn by D. Cousins)
7:28.0,,,40-29,1,D. Cousins makes free throw 1 of 2
7:28.0,,,40-29,,A. Davis enters the game for I. Clark
7:28.0,,,40-29,,E. Moore enters the game for D. Miller
7:28.0,,,40-29,,D. Cousins misses free throw 2 of 2
7:25.0,Defensive rebound by T. Cavanaugh,,40-29,,
7:10.0,L. Babbitt misses 2-pt shot from 16 ft,,40-29,,
7:05.0,,,40-29,,Defensive rebound by A. Davis
6:59.0,,,40-29,,Turnover by J. Nelson (bad pass; steal by D. Schroder)
6:48.0,L. Babbitt makes 3-pt shot from 25 ft (assist by D. Schroder),3,43-29,,
6:30.0,,,43-31,2,E. Moore makes 2-pt shot from 1 ft (assist by A. Davis)
6:14.0,Atlanta full timeout,,43-31,,
6:14.0,D. Dedmon enters the game for T. Cavanaugh,,43-31,,
6:05.0,D. Schroder misses 3-pt shot from 25 ft,,43-31,,
6:01.0,Offensive rebound by T. Waller-Prince,,43-31,,
5:59.0,T. Waller-Prince misses 2-pt shot from 15 ft,,43-31,,
5:46.0,Offensive rebound by D. Dedmon,,43-31,,
5:46.0,D. Dedmon makes 2-pt shot from 3 ft,2,45-31,,
5:42.0,Personal foul by L. Babbitt (drawn by A. Davis),,45-31,,
5:24.0,,,45-31,,D. Cousins misses 2-pt shot from 6 ft
5:21.0,Defensive rebound by D. Schroder,,45-31,,
5:14.0,D. Schroder misses 2-pt shot from 18 ft,,45-31,,
5:09.0,,,45-31,,Defensive rebound by J. Holiday
4:54.0,,,45-34,3,D. Cousins makes 3-pt shot from 26 ft (assist by J. Nelson)
4:40.0,Turnover by M. Delaney (bad pass),,45-34,,
4:40.0,K. Bazemore enters the game for M. Delaney,,45-34,,
4:25.0,,,45-34,,E. Moore misses 2-pt shot from 22 ft
4:20.0,Defensive rebound by D. Dedmon,,45-34,,
4:17.0,D. Schroder misses 2-pt shot from 16 ft,,45-34,,
4:09.0,,,45-34,,Defensive rebound by D. Cousins
4:08.0,,,45-34,,Turnover by D. Cousins (bad pass)
4:08.0,J. Collins enters the game for L. Babbitt,,45-34,,
4:08.0,M. Belinelli enters the game for T. Waller-Prince,,45-34,,
3:51.0,D. Schroder misses 3-pt shot from 25 ft,,45-34,,
3:46.0,,,45-34,,Defensive rebound by D. Cousins
3:39.0,Personal foul by D. Dedmon (drawn by D. Cousins),,45-34,,
3:39.0,,,45-34,,I. Clark enters the game for J. Nelson
3:39.0,L. Babbitt enters the game for D. Dedmon,,45-34,,
3:32.0,,,45-36,2,E. Moore makes 2-pt shot from 3 ft (assist by D. Cousins)
3:14.0,L. Babbitt misses 3-pt shot from 27 ft,,45-36,,
3:08.0,,,45-36,,Defensive rebound by J. Holiday
2:58.0,,,45-38,2,E. Moore makes 2-pt shot from 6 ft
2:42.0,D. Schroder misses 2-pt shot from 2 ft (block by A. Davis),,45-38,,
2:42.0,Offensive rebound by Team,,45-38,,
2:30.0,Turnover by D. Schroder (bad pass; steal by D. Cousins),,45-38,,
2:24.0,,,45-40,2,A. Davis makes 2-pt shot at rim (assist by I. Clark)
2:14.0,L. Babbitt misses 3-pt shot from 25 ft,,45-40,,
2:14.0,,,45-40,,Defensive rebound by D. Cousins
2:14.0,,,45-40,,New Orleans full timeout
1:59.0,,,45-40,,Turnover by D. Cousins (bad pass; steal by D. Schroder)
1:52.0,Turnover by J. Collins (lost ball; steal by I. Clark),,45-40,,
1:46.0,,,45-40,,A. Davis misses 2-pt shot at rim
1:34.0,,,45-40,,Offensive rebound by A. Davis
1:34.0,,,45-42,2,A. Davis makes 2-pt shot at rim
1:31.0,Offensive foul by L. Babbitt (drawn by J. Holiday),,45-42,,
1:31.0,Turnover by L. Babbitt (offensive foul),,45-42,,
1:14.0,,,45-45,3,E. Moore makes 3-pt shot from 23 ft (assist by A. Davis)
0:58.0,K. Bazemore makes 2-pt shot from 17 ft,2,47-45,,
0:39.0,,,47-45,,J. Holiday misses 3-pt shot from 24 ft
0:34.0,Defensive rebound by K. Bazemore,,47-45,,
0:30.0,K. Bazemore makes 3-pt shot from 27 ft,3,50-45,,
0:14.0,,,50-45,,Turnover by D. Cousins (bad pass; steal by M. Belinelli)
0:00.0,J. Collins misses 2-pt shot from 3 ft,,50-45,,
0:00.0,Offensive rebound by Team,,50-45,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,L. Babbitt makes 3-pt shot from 23 ft (assist by K. Bazemore),3,53-45,,
11:23.0,,,53-47,2,A. Davis makes 2-pt shot from 10 ft
11:05.0,D. Dedmon makes 3-pt shot from 24 ft (assist by T. Waller-Prince),3,56-47,,
10:54.0,Personal foul by D. Dedmon (drawn by J. Holiday),,56-47,,
10:54.0,T. Cavanaugh enters the game for D. Dedmon,,56-47,,
10:41.0,,,56-50,3,D. Cousins makes 3-pt shot from 26 ft (assist by J. Holiday)
10:27.0,Shooting foul by E. Moore (drawn by K. Bazemore),,56-50,,
10:27.0,K. Bazemore makes free throw 1 of 2,1,57-50,,
10:27.0,K. Bazemore makes free throw 2 of 2,1,58-50,,
10:10.0,,,58-52,2,E. Moore makes 2-pt shot from 1 ft (assist by A. Davis)
9:53.0,T. Cavanaugh makes 3-pt shot from 24 ft (assist by D. Schroder),3,61-52,,
9:42.0,,,61-52,,Turnover by D. Cousins (lost ball; steal by K. Bazemore)
9:35.0,T. Cavanaugh makes 3-pt shot from 24 ft (assist by K. Bazemore),3,64-52,,
9:30.0,,,64-52,,New Orleans full timeout
9:17.0,Personal foul by D. Schroder (drawn by A. Davis),,64-52,,
9:12.0,,,64-54,2,J. Holiday makes 2-pt shot from 3 ft (assist by D. Cousins)
8:59.0,K. Bazemore misses 2-pt shot from 1 ft,,64-54,,
8:56.0,,,64-54,,Defensive rebound by J. Holiday
8:49.0,,,64-54,,D. Cunningham misses 3-pt shot from 23 ft
8:45.0,Defensive rebound by T. Cavanaugh,,64-54,,
8:34.0,Turnover by D. Schroder (bad pass; steal by A. Davis),,64-54,,
8:27.0,,,64-56,2,J. Holiday makes 2-pt shot from 2 ft (assist by E. Moore)
8:12.0,L. Babbitt misses 3-pt shot from 25 ft,,64-56,,
8:08.0,,,64-56,,Defensive rebound by D. Cousins
8:04.0,,,64-56,,Turnover by A. Davis (bad pass; steal by K. Bazemore)
7:46.0,K. Bazemore makes 3-pt shot from 24 ft (assist by T. Cavanaugh),3,67-56,,
7:25.0,,,67-59,3,E. Moore makes 3-pt shot from 22 ft (assist by A. Davis)
7:04.0,K. Bazemore misses 3-pt shot from 22 ft,,67-59,,
7:00.0,,,67-59,,Defensive rebound by J. Holiday
6:52.0,,,67-61,2,J. Holiday makes 2-pt shot from 2 ft (assist by D. Cousins)
6:52.0,Atlanta full timeout,,67-61,,
6:52.0,M. Belinelli enters the game for L. Babbitt,,67-61,,
6:52.0,J. Collins enters the game for K. Bazemore,,67-61,,
6:37.0,Turnover by M. Belinelli (bad pass; steal by D. Cousins),,67-61,,
6:26.0,,,67-61,,D. Cunningham misses 3-pt shot from 23 ft
6:23.0,,,67-61,,Offensive rebound by D. Cousins
6:14.0,,,67-63,2,D. Cousins makes 2-pt shot from 2 ft (assist by A. Davis)
5:58.0,T. Cavanaugh makes 3-pt shot from 23 ft (assist by T. Waller-Prince),3,70-63,,
5:45.0,,,70-65,2,E. Moore makes 2-pt shot from 1 ft (assist by A. Davis)
5:30.0,D. Schroder misses 3-pt shot from 27 ft,,70-65,,
5:26.0,,,70-65,,Defensive rebound by D. Cousins
5:19.0,,,70-65,,D. Cunningham misses 3-pt shot from 23 ft
