time,Washington,pts.away,score,pts.home,Boston
4:33.0,Loose ball foul by M. Morris (drawn by A. Nader),,39-55,,
4:33.0,,,39-55,,A. Baynes enters the game for A. Nader
4:19.0,,,39-55,,Offensive charge foul by A. Baynes (drawn by M. Morris)
4:19.0,,,39-55,,Turnover by A. Baynes (offensive foul)
4:07.0,B. Beal makes 2-pt shot from 3 ft,2,41-55,,
3:59.0,Personal foul by K. Oubre (drawn by M. Morris),,41-55,,
3:59.0,,,41-55,,M. Morris misses free throw 1 of 2
3:59.0,,,41-55,,Offensive rebound by Team
3:59.0,M. Scott enters the game for K. Oubre,,41-55,,
3:59.0,,,41-56,1,M. Morris makes free throw 2 of 2
3:39.0,Turnover by B. Beal (lost ball; steal by G. Yabusele),,41-56,,
3:35.0,,,41-56,,Turnover by G. Yabusele (bad pass; steal by T. Satoransky)
3:24.0,Shooting foul by G. Yabusele (drawn by B. Beal),,41-56,,
3:24.0,B. Beal makes free throw 1 of 2,1,42-56,,
3:24.0,,,42-56,,J. Tatum enters the game for G. Yabusele
3:24.0,B. Beal misses free throw 2 of 2,,42-56,,
3:21.0,,,42-56,,Defensive rebound by A. Baynes
3:04.0,,,42-58,2,T. Rozier makes 2-pt shot from 2 ft (assist by A. Baynes)
2:50.0,Offensive foul by M. Scott (drawn by T. Rozier),,42-58,,
2:50.0,Turnover by M. Scott (offensive foul),,42-58,,
2:50.0,,,42-58,,Boston full timeout
2:50.0,I. Mahinmi enters the game for M. Scott,,42-58,,
2:38.0,Personal foul by O. Porter (drawn by A. Baynes),,42-58,,
2:38.0,,,42-58,,A. Baynes misses free throw 1 of 2
2:38.0,,,42-58,,Offensive rebound by Team
2:38.0,,,42-59,1,A. Baynes makes free throw 2 of 2
2:24.0,,,42-59,,Personal foul by S. Ojeleye (drawn by M. Morris)
2:24.0,M. Morris makes free throw 1 of 2,1,43-59,,
2:24.0,M. Morris makes free throw 2 of 2,1,44-59,,
2:06.0,,,44-59,,T. Rozier misses 2-pt shot from 17 ft
2:02.0,Defensive rebound by B. Beal,,44-59,,
1:51.0,M. Morris makes 2-pt shot from 15 ft,2,46-59,,
1:31.0,,,46-59,,J. Tatum misses 2-pt shot from 19 ft
1:27.0,Defensive rebound by M. Morris,,46-59,,
1:22.0,Shooting foul by M. Morris (drawn by O. Porter),,46-59,,
1:22.0,O. Porter makes free throw 1 of 2,1,47-59,,
1:22.0,,,47-59,,G. Monroe enters the game for S. Ojeleye
1:22.0,R. Sessions enters the game for T. Satoransky,,47-59,,
1:22.0,O. Porter misses free throw 2 of 2,,47-59,,
1:22.0,,,47-59,,Defensive rebound by G. Monroe
1:00.0,,,47-59,,M. Morris misses 2-pt shot from 15 ft
0:57.0,Defensive rebound by I. Mahinmi,,47-59,,
0:45.0,M. Morris makes 2-pt shot from 4 ft,2,49-59,,
0:30.0,,,49-59,,A. Baynes misses 2-pt shot from 11 ft
0:28.0,Defensive rebound by I. Mahinmi,,49-59,,
0:11.0,M. Morris makes 3-pt shot from 26 ft (assist by B. Beal),3,52-59,,
0:01.0,,,52-59,,T. Rozier misses 2-pt shot from 1 ft
0:00.0,,,52-59,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,M. Morris misses 2-pt shot from 12 ft,,52-59,,
11:43.0,,,52-59,,Defensive rebound by T. Rozier
11:26.0,,,52-59,,Turnover by T. Rozier (bad pass; steal by B. Beal)
11:20.0,B. Beal makes 2-pt shot from 2 ft,2,54-59,,
10:55.0,,,54-62,3,M. Morris makes 3-pt shot from 26 ft (assist by G. Yabusele)
10:34.0,O. Porter misses 2-pt shot from 20 ft,,54-62,,
10:31.0,Offensive rebound by M. Morris,,54-62,,
10:27.0,B. Beal makes 2-pt shot from 15 ft (assist by M. Morris),2,56-62,,
10:00.0,,,56-64,2,M. Morris makes 2-pt shot from 19 ft (assist by T. Rozier)
9:41.0,B. Beal misses 3-pt shot from 26 ft,,56-64,,
9:38.0,,,56-64,,Defensive rebound by T. Rozier
9:37.0,,,56-66,2,T. Rozier makes 2-pt shot from 1 ft
9:37.0,,,56-66,,Shooting foul by O. Porter (drawn by T. Rozier)
9:37.0,,,56-66,,T. Rozier misses free throw 1 of 1
9:37.0,Defensive rebound by M. Gortat,,56-66,,
9:29.0,M. Gortat makes 2-pt shot at rim (assist by T. Satoransky),2,58-66,,
9:17.0,,,58-66,,J. Tatum misses 3-pt shot from 27 ft
9:15.0,Defensive rebound by O. Porter,,58-66,,
9:07.0,Turnover by O. Porter (lost ball; steal by M. Morris),,58-66,,
9:03.0,,,58-68,2,M. Morris makes 2-pt shot from 1 ft (assist by G. Yabusele)
8:41.0,O. Porter makes 3-pt shot from 25 ft (assist by M. Morris),3,61-68,,
8:15.0,,,61-68,,J. Tatum misses 2-pt shot from 4 ft (block by B. Beal)
8:13.0,Defensive rebound by M. Morris,,61-68,,
8:12.0,Shooting foul by M. Morris (drawn by M. Morris),,61-68,,
8:12.0,M. Morris makes free throw 1 of 2,1,62-68,,
8:12.0,M. Morris makes free throw 2 of 2,1,63-68,,
7:54.0,,,63-70,2,J. Tatum makes 2-pt shot at rim (assist by G. Yabusele)
7:39.0,B. Beal makes 2-pt shot from 19 ft,2,65-70,,
7:16.0,,,65-72,2,G. Yabusele makes 2-pt shot from 1 ft (assist by T. Rozier)
7:00.0,B. Beal makes 2-pt shot at rim,2,67-72,,
6:49.0,,,67-72,,J. Tatum misses 2-pt shot from 6 ft (block by M. Gortat)
6:47.0,Defensive rebound by M. Gortat,,67-72,,
6:39.0,Turnover by B. Beal (out of bounds lost ball),,67-72,,
6:39.0,,,67-72,,Boston full timeout
6:22.0,,,67-72,,G. Yabusele misses 3-pt shot from 25 ft
6:19.0,Defensive rebound by O. Porter,,67-72,,
6:03.0,T. Satoransky misses 3-pt shot from 22 ft,,67-72,,
5:59.0,,,67-72,,Defensive rebound by A. Baynes
5:55.0,,,67-72,,T. Rozier misses 3-pt shot from 26 ft
5:51.0,Defensive rebound by O. Porter,,67-72,,
5:45.0,B. Beal makes 3-pt shot from 23 ft (assist by T. Satoransky),3,70-72,,
5:18.0,,,70-72,,M. Morris misses 2-pt shot from 10 ft
5:14.0,,,70-72,,Offensive rebound by M. Morris
5:14.0,,,70-72,,Shooting foul by T. Satoransky (drawn by A. Baynes)
5:14.0,,,70-73,1,A. Baynes makes free throw 1 of 2
5:14.0,,,70-73,,A. Nader enters the game for J. Tatum
5:14.0,,,70-73,,S. Ojeleye enters the game for G. Yabusele
5:14.0,,,70-74,1,A. Baynes makes free throw 2 of 2
5:00.0,O. Porter misses 3-pt shot from 25 ft,,70-74,,
4:57.0,Offensive rebound by M. Gortat,,70-74,,
4:56.0,Turnover by M. Gortat (bad pass; steal by T. Rozier),,70-74,,
4:52.0,,,70-76,2,T. Rozier makes 2-pt shot at rim
4:35.0,Shooting foul by A. Nader (drawn by O. Porter),,70-76,,
4:35.0,O. Porter makes free throw 1 of 2,1,71-76,,
4:35.0,O. Porter makes free throw 2 of 2,1,72-76,,
4:20.0,,,72-76,,Offensive foul by A. Baynes (drawn by T. Satoransky)
4:20.0,,,72-76,,Turnover by A. Baynes (offensive foul)
4:08.0,B. Beal makes 3-pt shot from 24 ft (assist by M. Gortat),3,75-76,,
3:49.0,,,75-76,,T. Rozier misses 3-pt shot from 27 ft
3:46.0,Defensive rebound by O. Porter,,75-76,,
3:38.0,B. Beal misses 2-pt shot from 10 ft (block by T. Rozier),,75-76,,
3:38.0,Offensive rebound by B. Beal,,75-76,,
3:35.0,T. Satoransky makes 2-pt shot from 5 ft (assist by B. Beal),2,77-76,,
3:35.0,,,77-76,,Boston full timeout
3:35.0,,,77-76,,S. Larkin enters the game for T. Rozier
3:35.0,,,77-76,,G. Monroe enters the game for A. Baynes
3:35.0,K. Oubre enters the game for O. Porter,,77-76,,
3:19.0,,,77-76,,M. Morris misses 2-pt shot from 21 ft
3:17.0,Defensive rebound by B. Beal,,77-76,,
3:09.0,Turnover by K. Oubre (turnover),,77-76,,
3:00.0,,,77-76,,M. Morris misses 2-pt shot from 16 ft
2:55.0,Defensive rebound by M. Morris,,77-76,,
2:49.0,B. Beal makes 2-pt shot from 17 ft,2,79-76,,
2:38.0,,,79-76,,Offensive charge foul by S. Ojeleye (drawn by M. Gortat)
2:38.0,,,79-76,,Turnover by S. Ojeleye (offensive foul)
2:38.0,,,79-76,,J. Tatum enters the game for M. Morris
2:38.0,,,79-76,,T. Rozier enters the game for A. Nader
2:27.0,Offensive foul by M. Gortat (drawn by S. Larkin),,79-76,,
2:27.0,Turnover by M. Gortat (offensive foul),,79-76,,
