time,Boston,pts.away,score,pts.home,Toronto
5:48.0,T. Rozier enters the game for K. Irving,,11-15,,
5:48.0,M. Morris enters the game for A. Baynes,,11-15,,
5:39.0,,,11-17,2,S. Ibaka makes 2-pt shot from 10 ft (assist by D. DeRozan)
5:16.0,J. Tatum misses 2-pt shot from 17 ft,,11-17,,
5:14.0,,,11-17,,Defensive rebound by S. Ibaka
4:57.0,,,11-17,,Turnover by S. Ibaka (lost ball; steal by T. Rozier)
4:54.0,T. Rozier misses 2-pt shot at rim,,11-17,,
4:52.0,,,11-17,,Defensive rebound by S. Ibaka
4:45.0,,,11-17,,Turnover by S. Ibaka (traveling)
4:30.0,A. Horford misses 2-pt shot from 20 ft,,11-17,,
4:28.0,,,11-17,,Defensive rebound by K. Lowry
4:07.0,,,11-17,,D. DeRozan misses 2-pt shot from 16 ft
4:05.0,,,11-17,,Offensive rebound by O. Anunoby
4:03.0,,,11-19,2,O. Anunoby makes 2-pt shot from 2 ft
3:46.0,,,11-19,,Personal foul by J. Valanciunas (drawn by A. Horford)
3:46.0,,,11-19,,J. Poeltl enters the game for O. Anunoby
3:46.0,,,11-19,,F. VanVleet enters the game for J. Valanciunas
3:46.0,S. Ojeleye enters the game for J. Tatum,,11-19,,
3:36.0,M. Morris misses 2-pt shot from 13 ft,,11-19,,
3:34.0,,,11-19,,Defensive rebound by S. Ibaka
3:25.0,,,11-19,,D. DeRozan misses 3-pt shot from 22 ft
3:22.0,Defensive rebound by M. Morris,,11-19,,
3:08.0,T. Rozier makes 3-pt shot from 27 ft (assist by M. Morris),3,14-19,,
2:57.0,,,14-19,,Shooting foul by S. Ojeleye (drawn by K. Lowry)
2:57.0,Boston full timeout,,14-19,,
2:57.0,,,14-20,1,K. Lowry makes free throw 1 of 2
2:57.0,,,14-20,,K. Lowry misses free throw 2 of 2
2:55.0,Defensive rebound by S. Ojeleye,,14-20,,
2:32.0,A. Horford misses 2-pt shot from 16 ft,,14-20,,
2:30.0,,,14-20,,Defensive rebound by K. Lowry
2:25.0,,,14-20,,K. Lowry misses 2-pt shot at rim (block by J. Brown)
2:22.0,Defensive rebound by A. Horford,,14-20,,
2:18.0,J. Brown makes 2-pt shot from 1 ft (assist by A. Horford),2,16-20,,
2:00.0,,,16-20,,Turnover by F. VanVleet (out of bounds lost ball)
2:00.0,,,16-20,,P. Siakam enters the game for K. Lowry
2:00.0,,,16-20,,D. Wright enters the game for S. Ibaka
2:00.0,D. Theis enters the game for A. Horford,,16-20,,
1:35.0,T. Rozier makes 2-pt shot from 14 ft (assist by S. Ojeleye),2,18-20,,
1:18.0,,,18-22,2,D. Wright makes 2-pt shot from 6 ft
0:55.0,M. Morris misses 3-pt shot from 25 ft,,18-22,,
0:54.0,,,18-22,,Defensive rebound by D. Wright
0:30.0,,,18-22,,D. Wright misses 3-pt shot from 23 ft
0:27.0,,,18-22,,Offensive rebound by Team
0:27.0,,,18-22,,C. Miles enters the game for P. Siakam
0:04.0,,,18-22,,C. Miles misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by S. Ojeleye,,18-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,M. Morris misses 3-pt shot from 26 ft,,18-22,,
11:42.0,,,18-22,,Defensive rebound by F. VanVleet
11:30.0,,,18-24,2,C. Miles makes 2-pt shot from 14 ft (assist by D. Wright)
11:15.0,Shooting foul by F. VanVleet (drawn by K. Irving),,18-24,,
11:15.0,K. Irving makes free throw 1 of 2,1,19-24,,
11:15.0,K. Irving makes free throw 2 of 2,1,20-24,,
10:56.0,,,20-26,2,P. Siakam makes 2-pt shot from 2 ft (assist by C. Miles)
10:44.0,S. Ojeleye misses 3-pt shot from 24 ft,,20-26,,
10:42.0,,,20-26,,Defensive rebound by Team
10:25.0,,,20-26,,Turnover by J. Poeltl (traveling)
10:13.0,M. Morris makes 2-pt shot from 13 ft (assist by K. Irving),2,22-26,,
9:51.0,,,22-28,2,D. Wright makes 2-pt shot from 2 ft
9:33.0,D. Theis makes 2-pt shot at rim (assist by K. Irving),2,24-28,,
9:22.0,,,24-28,,C. Miles misses 3-pt shot from 23 ft
9:18.0,,,24-28,,Offensive rebound by J. Poeltl
9:17.0,,,24-31,3,F. VanVleet makes 3-pt shot from 26 ft (assist by J. Poeltl)
8:55.0,M. Morris misses 2-pt shot from 13 ft,,24-31,,
8:53.0,,,24-31,,Defensive rebound by F. VanVleet
8:47.0,Personal foul by S. Ojeleye (drawn by J. Poeltl),,24-31,,
8:47.0,J. Tatum enters the game for T. Rozier,,24-31,,
8:43.0,,,24-31,,Offensive charge foul by J. Poeltl (drawn by M. Morris)
8:43.0,,,24-31,,Turnover by J. Poeltl (offensive foul)
8:28.0,S. Ojeleye misses 2-pt shot from 1 ft (block by P. Siakam),,24-31,,
8:28.0,Offensive rebound by Team,,24-31,,
8:24.0,J. Tatum makes 2-pt shot from 2 ft (assist by S. Ojeleye),2,26-31,,
8:11.0,,,26-34,3,C. Miles makes 3-pt shot from 25 ft (assist by F. VanVleet)
7:53.0,J. Tatum misses 2-pt shot from 3 ft (block by J. Poeltl),,26-34,,
7:53.0,Offensive rebound by Team,,26-34,,
7:50.0,K. Irving makes 3-pt shot from 23 ft,3,29-34,,
7:26.0,,,29-37,3,D. Wright makes 3-pt shot from 25 ft
7:17.0,K. Irving misses 3-pt shot from 26 ft,,29-37,,
7:14.0,,,29-37,,Defensive rebound by C. Miles
7:02.0,,,29-37,,J. Poeltl misses 2-pt shot from 1 ft
7:02.0,,,29-37,,Offensive rebound by Team
7:02.0,,,29-37,,Toronto full timeout
6:50.0,,,29-39,2,F. VanVleet makes 2-pt shot from 2 ft
6:33.0,Turnover by M. Morris (bad pass; steal by P. Siakam),,29-39,,
6:28.0,,,29-41,2,P. Siakam makes 2-pt shot from 1 ft (assist by D. Wright)
6:04.0,S. Ojeleye misses 2-pt shot at rim,,29-41,,
6:02.0,,,29-41,,Defensive rebound by J. Poeltl
5:53.0,,,29-43,2,D. Wright makes 2-pt shot from 6 ft
5:29.0,M. Morris misses 2-pt shot from 19 ft,,29-43,,
5:26.0,,,29-43,,Defensive rebound by J. Poeltl
5:21.0,,,29-43,,Shooting foul by D. Theis (drawn by F. VanVleet)
5:21.0,,,29-44,1,F. VanVleet makes free throw 1 of 2
5:21.0,,,29-44,,J. Valanciunas enters the game for C. Miles
5:21.0,,,29-44,,S. Ibaka enters the game for J. Poeltl
5:21.0,,,29-44,,D. DeRozan enters the game for P. Siakam
5:21.0,A. Horford enters the game for K. Irving,,29-44,,
5:21.0,A. Baynes enters the game for M. Morris,,29-44,,
5:21.0,T. Rozier enters the game for D. Theis,,29-44,,
5:21.0,J. Brown enters the game for S. Ojeleye,,29-44,,
5:21.0,,,29-45,1,F. VanVleet makes free throw 2 of 2
5:03.0,Offensive charge foul by J. Brown (drawn by D. Wright),,29-45,,
5:03.0,Turnover by J. Brown (offensive foul),,29-45,,
5:03.0,,,29-45,,K. Lowry enters the game for F. VanVleet
4:43.0,,,29-45,,S. Ibaka misses 2-pt shot from 17 ft
4:40.0,Defensive rebound by T. Rozier,,29-45,,
4:36.0,Turnover by T. Rozier (lost ball; steal by D. Wright),,29-45,,
4:33.0,,,29-47,2,D. Wright makes 2-pt shot from 1 ft
4:09.0,T. Rozier makes 3-pt shot from 27 ft (assist by A. Horford),3,32-47,,
3:43.0,,,32-47,,Turnover by K. Lowry (bad pass; steal by T. Rozier)
3:39.0,J. Tatum makes 2-pt shot from 1 ft (assist by T. Rozier),2,34-47,,
3:14.0,,,34-47,,Turnover by S. Ibaka (traveling)
2:59.0,Turnover by A. Baynes (offensive goaltending),,34-47,,
2:59.0,Boston full timeout,,34-47,,
2:59.0,,,34-47,,F. VanVleet enters the game for D. Wright
2:42.0,,,34-49,2,D. DeRozan makes 2-pt shot from 19 ft (assist by S. Ibaka)
2:29.0,T. Rozier makes 3-pt shot from 26 ft,3,37-49,,
2:15.0,,,37-52,3,F. VanVleet makes 3-pt shot from 23 ft (assist by D. DeRozan)
1:49.0,J. Tatum misses 2-pt shot from 21 ft,,37-52,,
1:48.0,,,37-52,,Defensive rebound by D. DeRozan
1:41.0,Personal foul by T. Rozier (drawn by D. DeRozan),,37-52,,
1:41.0,M. Morris enters the game for J. Tatum,,37-52,,
1:37.0,,,37-55,3,D. DeRozan makes 3-pt shot from 25 ft
1:19.0,T. Rozier misses 2-pt shot from 15 ft,,37-55,,
1:18.0,,,37-55,,Defensive rebound by D. DeRozan
1:02.0,,,37-55,,K. Lowry misses 2-pt shot from 17 ft
1:00.0,Defensive rebound by A. Horford,,37-55,,
0:53.0,T. Rozier misses 2-pt shot from 3 ft,,37-55,,
0:50.0,,,37-55,,Defensive rebound by D. DeRozan
0:47.0,,,37-55,,Shooting foul by J. Brown (drawn by K. Lowry)
0:47.0,,,37-56,1,K. Lowry makes free throw 1 of 3
0:47.0,,,37-57,1,K. Lowry makes free throw 2 of 3
0:47.0,,,37-58,1,K. Lowry makes free throw 3 of 3
0:33.0,Turnover by T. Rozier (traveling),,37-58,,
0:16.0,,,37-58,,D. DeRozan misses 3-pt shot from 26 ft
0:11.0,,,37-58,,Offensive rebound by K. Lowry
0:01.0,,,37-58,,K. Lowry misses 3-pt shot from 26 ft
0:01.0,Defensive rebound by A. Horford,,37-58,,
0:00.0,M. Morris misses 3-pt shot from 47 ft,,37-58,,
0:00.0,Offensive rebound by Team,,37-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,,,37-58,,Violation by S. Ibaka (kicked ball)
11:44.0,A. Horford misses 3-pt shot from 26 ft,,37-58,,
11:41.0,,,37-58,,Defensive rebound by O. Anunoby
11:33.0,,,37-58,,J. Valanciunas misses 3-pt shot from 26 ft
11:31.0,Defensive rebound by J. Tatum,,37-58,,
11:26.0,K. Irving misses 3-pt shot from 25 ft,,37-58,,
11:23.0,,,37-58,,Defensive rebound by K. Lowry
11:07.0,,,37-58,,D. DeRozan misses 2-pt shot from 16 ft
11:04.0,Defensive rebound by A. Horford,,37-58,,
10:59.0,Turnover by J. Tatum (lost ball; steal by D. DeRozan),,37-58,,
10:59.0,,,37-58,,Turnover by S. Ibaka (traveling)
10:50.0,A. Baynes misses 2-pt shot from 1 ft,,37-58,,
10:48.0,,,37-58,,Defensive rebound by J. Valanciunas
10:39.0,,,37-58,,Turnover by J. Valanciunas (bad pass)
10:30.0,K. Irving makes 2-pt shot from 1 ft,2,39-58,,
10:30.0,Shooting foul by J. Valanciunas (drawn by K. Irving),,39-58,,
10:30.0,K. Irving makes free throw 1 of 1,1,40-58,,
10:19.0,,,40-60,2,D. DeRozan makes 2-pt shot from 2 ft (assist by K. Lowry)
10:10.0,Boston full timeout,,40-60,,
10:10.0,M. Morris enters the game for A. Baynes,,40-60,,
9:58.0,K. Irving misses 3-pt shot from 25 ft,,40-60,,
9:55.0,,,40-60,,Defensive rebound by O. Anunoby
9:40.0,,,40-62,2,O. Anunoby makes 2-pt shot from 4 ft (assist by D. DeRozan)
9:21.0,M. Morris misses 2-pt shot from 7 ft,,40-62,,
9:19.0,,,40-62,,Defensive rebound by S. Ibaka
9:03.0,,,40-62,,K. Lowry misses 3-pt shot from 27 ft
9:00.0,Defensive rebound by J. Brown,,40-62,,
8:53.0,Turnover by J. Brown (bad pass; steal by K. Lowry),,40-62,,
8:47.0,,,40-62,,Turnover by O. Anunoby (bad pass)
8:33.0,K. Irving misses 3-pt shot from 23 ft,,40-62,,
8:30.0,,,40-62,,Defensive rebound by J. Valanciunas
8:10.0,,,40-62,,D. DeRozan misses 3-pt shot from 24 ft
8:07.0,Defensive rebound by A. Horford,,40-62,,
8:04.0,Turnover by A. Horford (lost ball; steal by J. Valanciunas),,40-62,,
8:04.0,Personal foul by J. Brown (drawn by J. Valanciunas),,40-62,,
7:54.0,,,40-62,,D. DeRozan misses 2-pt shot from 16 ft
7:53.0,Defensive rebound by Team,,40-62,,
7:53.0,,,40-62,,Personal foul by J. Valanciunas (drawn by A. Horford)
7:40.0,Shooting foul by D. DeRozan (drawn by J. Brown),,40-62,,
7:40.0,J. Brown makes free throw 1 of 2,1,41-62,,
7:40.0,J. Brown makes free throw 2 of 2,1,42-62,,
7:25.0,,,42-65,3,K. Lowry makes 3-pt shot from 28 ft
7:11.0,J. Tatum misses 2-pt shot from 2 ft,,42-65,,
7:09.0,,,42-65,,Defensive rebound by J. Valanciunas
7:03.0,,,42-65,,J. Valanciunas misses 2-pt shot from 7 ft
7:01.0,Defensive rebound by A. Horford,,42-65,,
6:53.0,K. Irving makes 2-pt shot from 12 ft,2,44-65,,
6:35.0,,,44-65,,D. DeRozan misses 2-pt shot from 6 ft (block by A. Horford)
6:33.0,Defensive rebound by J. Brown,,44-65,,
6:31.0,,,44-65,,Personal foul by K. Lowry (drawn by J. Brown)
6:31.0,S. Ojeleye enters the game for J. Tatum,,44-65,,
6:23.0,K. Irving makes 2-pt shot from 1 ft,2,46-65,,
6:05.0,,,46-67,2,S. Ibaka makes 2-pt shot from 1 ft (assist by K. Lowry)
5:48.0,A. Horford misses 3-pt shot from 26 ft,,46-67,,
5:45.0,,,46-67,,Defensive rebound by S. Ibaka
5:37.0,,,46-67,,O. Anunoby misses 3-pt shot from 23 ft
5:32.0,,,46-67,,Offensive rebound by J. Valanciunas
5:32.0,,,46-67,,J. Valanciunas misses 2-pt shot at rim
5:32.0,Defensive rebound by Team,,46-67,,
5:17.0,A. Horford makes 2-pt shot from 11 ft (assist by J. Brown),2,48-67,,
4:56.0,Personal foul by S. Ojeleye (drawn by J. Valanciunas),,48-67,,
4:56.0,,,48-67,,F. VanVleet enters the game for O. Anunoby
4:56.0,,,48-67,,J. Poeltl enters the game for S. Ibaka
4:56.0,,,48-67,,P. Siakam enters the game for J. Valanciunas
4:52.0,Violation by S. Ojeleye (kicked ball),,48-67,,
4:51.0,,,48-70,3,K. Lowry makes 3-pt shot from 25 ft (assist by D. DeRozan)
4:39.0,Turnover by A. Horford (step out of bounds),,48-70,,
4:28.0,,,48-72,2,D. DeRozan makes 2-pt shot from 1 ft (assist by F. VanVleet)
4:13.0,J. Brown makes 3-pt shot from 25 ft (assist by A. Horford),3,51-72,,
4:03.0,,,51-75,3,K. Lowry makes 3-pt shot from 29 ft
3:37.0,Turnover by A. Horford (bad pass; steal by K. Lowry),,51-75,,
3:36.0,Personal foul by K. Irving (drawn by F. VanVleet),,51-75,,
3:29.0,,,51-75,,K. Lowry misses 3-pt shot from 27 ft
3:25.0,Defensive rebound by J. Brown,,51-75,,
3:21.0,Turnover by J. Brown (bad pass),,51-75,,
3:18.0,,,51-77,2,D. DeRozan makes 2-pt shot from 1 ft (assist by K. Lowry)
3:18.0,,,51-77,,Shooting foul by S. Ojeleye (drawn by D. DeRozan)
3:18.0,,,51-78,1,D. DeRozan makes free throw 1 of 1
3:07.0,K. Irving misses 2-pt shot from 2 ft,,51-78,,
3:06.0,,,51-78,,Defensive rebound by F. VanVleet
2:59.0,,,51-78,,K. Lowry misses 3-pt shot from 23 ft
2:55.0,Defensive rebound by J. Brown,,51-78,,
2:55.0,,,51-78,,Personal foul by D. DeRozan (drawn by J. Brown)
2:55.0,,,51-78,,Toronto full timeout
2:55.0,D. Theis enters the game for K. Irving,,51-78,,
2:55.0,T. Rozier enters the game for A. Horford,,51-78,,
2:55.0,J. Brown misses free throw 1 of 2,,51-78,,
2:55.0,Offensive rebound by Team,,51-78,,
2:55.0,J. Brown misses free throw 2 of 2,,51-78,,
2:53.0,,,51-78,,Defensive rebound by K. Lowry
2:38.0,,,51-78,,F. VanVleet misses 3-pt shot from 27 ft
2:33.0,Defensive rebound by J. Brown,,51-78,,
2:17.0,M. Morris makes 2-pt shot from 3 ft,2,53-78,,
2:15.0,Personal foul by T. Rozier (drawn by K. Lowry),,53-78,,
2:15.0,,,53-78,,K. Lowry misses free throw 1 of 2
2:15.0,,,53-78,,Offensive rebound by Team
2:15.0,A. Nader enters the game for J. Brown,,53-78,,
2:15.0,,,53-79,1,K. Lowry makes free throw 2 of 2
2:04.0,S. Ojeleye misses 3-pt shot from 25 ft,,53-79,,
2:00.0,,,53-79,,Defensive rebound by K. Lowry
1:54.0,,,53-79,,P. Siakam misses 3-pt shot from 22 ft
1:53.0,Defensive rebound by T. Rozier,,53-79,,
1:53.0,,,53-79,,Personal foul by J. Poeltl (drawn by T. Rozier)
1:53.0,T. Rozier makes free throw 1 of 2,1,54-79,,
1:53.0,,,54-79,,D. Wright enters the game for K. Lowry
1:53.0,T. Rozier makes free throw 2 of 2,1,55-79,,
1:36.0,,,55-82,3,D. DeRozan makes 3-pt shot from 25 ft (assist by P. Siakam)
1:13.0,M. Morris makes 3-pt shot from 25 ft (assist by T. Rozier),3,58-82,,
0:58.0,,,58-82,,D. DeRozan misses 3-pt shot from 24 ft
0:55.0,Defensive rebound by T. Rozier,,58-82,,
0:54.0,,,58-82,,Personal foul by F. VanVleet (drawn by T. Rozier)
0:54.0,T. Rozier makes free throw 1 of 2,1,59-82,,
0:54.0,T. Rozier makes free throw 2 of 2,1,60-82,,
0:40.0,Personal foul by A. Nader (drawn by D. Wright),,60-82,,
0:40.0,,,60-82,,D. Wright misses free throw 1 of 2
0:40.0,,,60-82,,Offensive rebound by Team
0:40.0,,,60-83,1,D. Wright makes free throw 2 of 2
0:29.0,T. Rozier misses 2-pt shot from 4 ft,,60-83,,
0:27.0,,,60-83,,Defensive rebound by P. Siakam
0:08.0,,,60-83,,D. DeRozan misses 2-pt shot from 23 ft
0:05.0,Defensive rebound by M. Morris,,60-83,,
0:00.0,A. Nader misses 2-pt shot from 15 ft,,60-83,,
0:00.0,Offensive rebound by Team,,60-83,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,60-86,3,C. Miles makes 3-pt shot from 23 ft (assist by F. VanVleet)
11:24.0,M. Morris misses 2-pt shot from 16 ft,,60-86,,
11:21.0,,,60-86,,Defensive rebound by J. Poeltl
11:07.0,,,60-86,,J. Poeltl misses 2-pt shot from 4 ft
11:04.0,Defensive rebound by T. Rozier,,60-86,,
10:57.0,A. Nader misses 2-pt shot from 1 ft (block by J. Poeltl),,60-86,,
10:57.0,,,60-86,,Defensive rebound by Team
10:45.0,,,60-86,,D. Wright misses 3-pt shot from 23 ft
10:42.0,,,60-86,,Offensive rebound by Team
10:42.0,G. Yabusele enters the game for S. Ojeleye,,60-86,,
10:32.0,,,60-88,2,J. Poeltl makes 2-pt shot from 2 ft (assist by F. VanVleet)
10:32.0,Violation by D. Theis (def goaltending),,60-88,,
10:11.0,A. Nader makes 2-pt shot from 1 ft,2,62-88,,
9:57.0,,,62-91,3,C. Miles makes 3-pt shot from 23 ft (assist by F. VanVleet)
9:41.0,T. Rozier misses 2-pt shot from 19 ft,,62-91,,
9:35.0,Offensive rebound by D. Theis,,62-91,,
9:35.0,D. Theis makes 2-pt shot at rim,2,64-91,,
9:26.0,,,64-91,,F. VanVleet misses 2-pt shot from 5 ft
9:24.0,Defensive rebound by A. Nader,,64-91,,
9:08.0,Turnover by G. Yabusele (bad pass; steal by D. Wright),,64-91,,
9:05.0,,,64-91,,Turnover by D. Wright (bad pass)
8:44.0,Shooting foul by J. Poeltl (drawn by M. Morris),,64-91,,
8:44.0,M. Morris makes free throw 1 of 2,1,65-91,,
8:44.0,M. Morris makes free throw 2 of 2,1,66-91,,
8:31.0,,,66-91,,Turnover by D. Wright (out of bounds lost ball)
8:15.0,D. Theis misses 2-pt shot from 20 ft,,66-91,,
8:10.0,Offensive rebound by T. Rozier,,66-91,,
8:08.0,M. Morris makes 3-pt shot from 26 ft (assist by T. Rozier),3,69-91,,
7:52.0,Personal foul by A. Nader (drawn by D. Wright),,69-91,,
7:42.0,,,69-93,2,J. Poeltl makes 2-pt shot from 1 ft (assist by P. Siakam)
7:20.0,M. Morris misses 2-pt shot from 2 ft (block by J. Poeltl),,69-93,,
7:20.0,Offensive rebound by Team,,69-93,,
7:19.0,Turnover by M. Morris (step out of bounds),,69-93,,
7:09.0,Personal foul by D. Theis (drawn by J. Poeltl),,69-93,,
7:01.0,,,69-93,,Turnover by P. Siakam (traveling)
6:46.0,D. Theis makes 2-pt shot from 3 ft (assist by T. Rozier),2,71-93,,
6:39.0,,,71-93,,Toronto full timeout
6:39.0,A. Baynes enters the game for M. Morris,,71-93,,
6:39.0,S. Ojeleye enters the game for D. Theis,,71-93,,
6:36.0,,,71-93,,Shooting foul by S. Ojeleye (drawn by C. Miles)
6:36.0,,,71-94,1,C. Miles makes free throw 1 of 3
6:36.0,,,71-95,1,C. Miles makes free throw 2 of 3
6:36.0,,,71-96,1,C. Miles makes free throw 3 of 3
6:15.0,A. Nader misses 2-pt shot from 7 ft,,71-96,,
6:09.0,Offensive rebound by A. Baynes,,71-96,,
6:09.0,A. Baynes misses 2-pt shot at rim,,71-96,,
6:08.0,Offensive rebound by A. Nader,,71-96,,
6:08.0,A. Nader misses 2-pt shot at rim,,71-96,,
6:08.0,,,71-96,,Defensive rebound by J. Poeltl
6:06.0,,,71-98,2,P. Siakam makes 2-pt shot from 1 ft (assist by C. Miles)
5:55.0,T. Rozier makes 3-pt shot from 24 ft (assist by A. Baynes),3,74-98,,
5:32.0,,,74-98,,Turnover by D. Wright (lost ball; steal by A. Nader)
5:29.0,Turnover by A. Nader (lost ball; steal by D. Wright),,74-98,,
5:24.0,,,74-101,3,C. Miles makes 3-pt shot from 26 ft (assist by D. Wright)
5:17.0,T. Rozier misses 3-pt shot from 26 ft,,74-101,,
5:17.0,Offensive rebound by A. Nader,,74-101,,
5:11.0,T. Rozier misses 2-pt shot from 9 ft,,74-101,,
5:11.0,,,74-101,,Defensive rebound by D. Wright
5:07.0,Personal foul by S. Ojeleye (drawn by D. Wright),,74-101,,
5:07.0,K. Allen enters the game for S. Ojeleye,,74-101,,
5:07.0,D. Theis enters the game for T. Rozier,,74-101,,
4:54.0,,,74-103,2,D. Wright makes 2-pt shot from 1 ft (assist by F. VanVleet)
4:37.0,Turnover by A. Nader (bad pass; steal by F. VanVleet),,74-103,,
4:32.0,,,74-103,,D. Wright misses 2-pt shot from 1 ft
4:30.0,Defensive rebound by D. Theis,,74-103,,
4:25.0,D. Theis makes 2-pt shot from 15 ft (assist by A. Nader),2,76-103,,
4:25.0,Shooting foul by J. Poeltl (drawn by D. Theis),,76-103,,
4:25.0,D. Theis makes free throw 1 of 1,1,77-103,,
4:16.0,,,77-106,3,C. Miles makes 3-pt shot from 27 ft (assist by F. VanVleet)
3:58.0,A. Baynes makes 2-pt shot from 1 ft (assist by A. Nader),2,79-106,,
3:43.0,,,79-106,,Turnover by P. Siakam (traveling)
3:43.0,Boston full timeout,,79-106,,
3:43.0,,,79-106,,L. Nogueira enters the game for C. Miles
3:43.0,,,79-106,,N. Powell enters the game for J. Poeltl
3:28.0,,,79-106,,Personal foul by L. Nogueira (drawn by A. Baynes)
3:22.0,,,79-106,,Personal foul by D. Wright (drawn by D. Theis)
3:13.0,A. Nader misses 2-pt shot from 16 ft,,79-106,,
3:11.0,,,79-106,,Defensive rebound by Team
3:11.0,Loose ball foul by A. Baynes (drawn by L. Nogueira),,79-106,,
3:11.0,,,79-107,1,L. Nogueira makes free throw 1 of 2
3:11.0,,,79-108,1,L. Nogueira makes free throw 2 of 2
2:54.0,A. Baynes misses 2-pt shot from 3 ft,,79-108,,
2:52.0,Offensive rebound by Team,,79-108,,
2:52.0,,,79-108,,Loose ball foul by P. Siakam (drawn by D. Theis)
2:52.0,D. Theis makes free throw 1 of 2,1,80-108,,
2:52.0,D. Theis misses free throw 2 of 2,,80-108,,
2:48.0,Offensive rebound by G. Yabusele,,80-108,,
2:40.0,A. Baynes makes 2-pt shot from 18 ft (assist by A. Nader),2,82-108,,
2:17.0,,,82-111,3,N. Powell makes 3-pt shot from 23 ft (assist by F. VanVleet)
2:03.0,A. Nader makes 3-pt shot from 23 ft (assist by K. Allen),3,85-111,,
1:43.0,,,85-111,,L. Nogueira misses 2-pt shot from 1 ft
1:41.0,Defensive rebound by A. Baynes,,85-111,,
1:38.0,K. Allen misses 2-pt shot from 1 ft,,85-111,,
1:37.0,Offensive rebound by Team,,85-111,,
1:31.0,Shooting foul by N. Powell (drawn by G. Yabusele),,85-111,,
1:31.0,G. Yabusele makes free throw 1 of 2,1,86-111,,
1:31.0,G. Yabusele misses free throw 2 of 2,,86-111,,
