time,Boston,pts.away,score,pts.home,Brooklyn
0:56.0,D. Theis misses 2-pt shot from 2 ft (block by Q. Acy),,27-21,,
0:56.0,,,27-21,,Defensive rebound by I. Whitehead
0:50.0,,,27-21,,J. Harris misses 3-pt shot from 22 ft
0:50.0,Defensive rebound by A. Baynes,,27-21,,
0:41.0,T. Rozier misses 2-pt shot at rim (block by Q. Acy),,27-21,,
0:41.0,Offensive rebound by A. Baynes,,27-21,,
0:41.0,A. Baynes misses 2-pt shot from 1 ft,,27-21,,
0:40.0,Offensive rebound by D. Theis,,27-21,,
0:40.0,D. Theis misses 2-pt shot from 2 ft,,27-21,,
0:38.0,,,27-21,,Defensive rebound by Q. Acy
0:27.0,,,27-21,,I. Whitehead misses 2-pt shot from 6 ft
0:27.0,,,27-21,,Offensive rebound by J. Harris
0:22.0,,,27-21,,Turnover by C. LeVert (out of bounds lost ball)
0:22.0,K. Irving enters the game for D. Theis,,27-21,,
0:22.0,A. Horford enters the game for A. Baynes,,27-21,,
0:22.0,,,27-21,,R. Hollis-Jefferson enters the game for I. Whitehead
0:03.0,K. Irving makes 3-pt shot from 25 ft,3,30-21,,
0:00.0,,,30-21,,J. Harris misses 3-pt shot from 26 ft
0:00.0,Defensive rebound by Team,,30-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,30-21,,J. Harris misses 3-pt shot from 24 ft
11:44.0,Defensive rebound by T. Rozier,,30-21,,
11:21.0,T. Rozier misses 2-pt shot from 17 ft,,30-21,,
11:21.0,,,30-21,,Defensive rebound by T. Mozgov
11:09.0,,,30-21,,J. Harris misses 3-pt shot from 25 ft
11:09.0,Defensive rebound by D. Theis,,30-21,,
10:57.0,M. Smart makes 2-pt shot from 11 ft,2,32-21,,
10:43.0,,,32-21,,Turnover by I. Whitehead (out of bounds lost ball)
10:42.0,,,32-23,2,J. Harris makes 2-pt shot from 2 ft (assist by C. LeVert)
10:24.0,,,32-23,,T. Booker enters the game for T. Mozgov
10:24.0,,,32-23,,Personal foul by J. Harris (drawn by J. Tatum)
10:13.0,Turnover by M. Smart (traveling),,32-23,,
9:56.0,,,32-23,,Turnover by C. LeVert (discontinued dribble)
9:56.0,M. Morris enters the game for D. Theis,,32-23,,
9:42.0,M. Smart misses 3-pt shot from 24 ft,,32-23,,
9:38.0,,,32-23,,Defensive rebound by Q. Acy
9:33.0,,,32-23,,I. Whitehead misses 2-pt shot from 3 ft
9:30.0,,,32-23,,Offensive rebound by J. Harris
9:22.0,,,32-26,3,J. Harris makes 3-pt shot from 25 ft
9:04.0,,,32-26,,Personal foul by I. Whitehead (drawn by M. Morris)
9:04.0,,,32-26,,A. Crabbe enters the game for I. Whitehead
8:52.0,J. Tatum makes 2-pt shot from 4 ft,2,34-26,,
8:41.0,,,34-29,3,J. Harris makes 3-pt shot from 23 ft (assist by A. Crabbe)
8:21.0,M. Morris misses 2-pt shot from 16 ft,,34-29,,
8:21.0,Offensive rebound by Team,,34-29,,
8:21.0,,,34-29,,Personal foul by Q. Acy (drawn by A. Baynes)
8:21.0,K. Irving enters the game for M. Smart,,34-29,,
8:16.0,M. Morris makes 2-pt shot from 1 ft,2,36-29,,
8:16.0,Shooting foul by Q. Acy (drawn by M. Morris),,36-29,,
8:16.0,,,36-29,,R. Hollis-Jefferson enters the game for Q. Acy
8:16.0,M. Morris makes free throw 1 of 1,1,37-29,,
8:05.0,,,37-31,2,R. Hollis-Jefferson makes 2-pt shot from 22 ft (assist by C. LeVert)
7:49.0,M. Morris misses 2-pt shot from 18 ft,,37-31,,
7:49.0,Offensive rebound by Team,,37-31,,
7:48.0,,,37-31,,Personal foul by T. Booker (drawn by A. Baynes)
7:48.0,A. Baynes misses free throw 2 of 2,,37-31,,
7:48.0,,,37-31,,Defensive rebound by T. Booker
7:48.0,A. Baynes misses free throw 1 of 2,,37-31,,
7:48.0,Offensive rebound by Team,,37-31,,
7:34.0,,,37-31,,Shooting foul by A. Baynes (drawn by T. Booker)
7:34.0,,,37-32,1,T. Booker makes free throw 1 of 2
7:34.0,,,37-32,,D. Carroll enters the game for J. Harris
7:34.0,,,37-33,1,T. Booker makes free throw 2 of 2
7:19.0,K. Irving misses 2-pt shot from 17 ft,,37-33,,
7:16.0,,,37-33,,Defensive rebound by T. Booker
7:10.0,,,37-33,,T. Booker misses 2-pt shot from 6 ft
7:04.0,Defensive rebound by J. Tatum,,37-33,,
6:59.0,A. Baynes misses 2-pt shot from 1 ft,,37-33,,
6:56.0,,,37-33,,Defensive rebound by T. Booker
6:53.0,,,37-36,3,A. Crabbe makes 3-pt shot from 25 ft (assist by C. LeVert)
6:51.0,Boston full timeout,,37-36,,
6:51.0,A. Horford enters the game for T. Rozier,,37-36,,
6:51.0,M. Smart enters the game for A. Baynes,,37-36,,
6:35.0,Turnover by M. Smart (lost ball; steal by A. Crabbe),,37-36,,
6:31.0,,,37-38,2,C. LeVert makes 2-pt shot at rim (assist by A. Crabbe)
6:17.0,Offensive foul by K. Irving (drawn by R. Hollis-Jefferson),,37-38,,
6:17.0,Turnover by K. Irving (offensive foul),,37-38,,
6:03.0,,,37-38,,Turnover by C. LeVert (bad pass; steal by J. Tatum)
5:55.0,K. Irving misses 2-pt shot from 19 ft,,37-38,,
5:49.0,,,37-38,,Defensive rebound by R. Hollis-Jefferson
5:43.0,,,37-38,,A. Crabbe misses 3-pt shot from 27 ft
5:39.0,Defensive rebound by A. Horford,,37-38,,
5:24.0,Offensive foul by M. Smart (drawn by A. Crabbe),,37-38,,
5:24.0,Turnover by M. Smart (offensive foul),,37-38,,
5:24.0,,,37-38,,S. Dinwiddie enters the game for C. LeVert
5:02.0,,,37-40,2,T. Booker makes 2-pt shot from 1 ft (assist by S. Dinwiddie)
4:37.0,A. Horford misses 3-pt shot from 24 ft,,37-40,,
4:35.0,,,37-40,,Defensive rebound by D. Carroll
4:22.0,,,37-43,3,D. Carroll makes 3-pt shot from 24 ft (assist by T. Booker)
4:06.0,Shooting foul by S. Dinwiddie (drawn by K. Irving),,37-43,,
4:06.0,K. Irving makes free throw 1 of 2,1,38-43,,
4:06.0,,,38-43,,J. Allen enters the game for T. Booker
4:06.0,J. Brown enters the game for J. Tatum,,38-43,,
4:06.0,S. Ojeleye enters the game for M. Morris,,38-43,,
4:06.0,K. Irving makes free throw 2 of 2,1,39-43,,
3:43.0,Personal block foul by M. Smart (drawn by D. Carroll),,39-43,,
3:38.0,Violation by M. Smart (def goaltending),,39-43,,
3:38.0,,,39-45,2,J. Allen makes 2-pt shot from 4 ft (assist by S. Dinwiddie)
3:24.0,K. Irving makes 2-pt shot from 15 ft,2,41-45,,
3:15.0,,,41-45,,A. Crabbe misses 3-pt shot from 25 ft
3:12.0,Defensive rebound by A. Horford,,41-45,,
3:06.0,S. Ojeleye makes 2-pt shot at rim (assist by K. Irving),2,43-45,,
2:45.0,,,43-45,,R. Hollis-Jefferson misses 2-pt shot from 15 ft
2:42.0,Defensive rebound by J. Brown,,43-45,,
2:36.0,Shooting foul by D. Carroll (drawn by J. Brown),,43-45,,
2:36.0,,,43-45,,Brooklyn full timeout
2:36.0,J. Brown misses free throw 1 of 2,,43-45,,
2:36.0,Offensive rebound by Team,,43-45,,
2:36.0,J. Brown makes free throw 2 of 2,1,44-45,,
2:24.0,,,44-47,2,R. Hollis-Jefferson makes 2-pt shot from 12 ft
2:02.0,A. Horford makes 2-pt shot from 1 ft,2,46-47,,
1:53.0,,,46-47,,R. Hollis-Jefferson misses 2-pt shot from 12 ft
1:50.0,Defensive rebound by A. Horford,,46-47,,
1:47.0,J. Brown misses 3-pt shot from 23 ft,,46-47,,
1:43.0,,,46-47,,Defensive rebound by R. Hollis-Jefferson
1:40.0,,,46-47,,Shooting foul by A. Horford (drawn by S. Dinwiddie)
1:40.0,,,46-47,,S. Dinwiddie misses free throw 1 of 3
1:40.0,,,46-47,,Offensive rebound by Team
1:40.0,,,46-48,1,S. Dinwiddie makes free throw 2 of 3
1:40.0,,,46-48,,J. Harris enters the game for J. Allen
1:40.0,,,46-49,1,S. Dinwiddie makes free throw 3 of 3
1:24.0,Shooting foul by S. Dinwiddie (drawn by K. Irving),,46-49,,
1:24.0,K. Irving makes free throw 1 of 2,1,47-49,,
1:24.0,K. Irving makes free throw 2 of 2,1,48-49,,
1:12.0,,,48-49,,Turnover by R. Hollis-Jefferson (lost ball; steal by J. Brown)
1:06.0,K. Irving makes 2-pt shot from 1 ft,2,50-49,,
0:59.0,,,50-49,,D. Carroll misses 3-pt shot from 25 ft
0:55.0,,,50-49,,Offensive rebound by R. Hollis-Jefferson
0:53.0,,,50-52,3,A. Crabbe makes 3-pt shot from 24 ft (assist by R. Hollis-Jefferson)
0:43.0,A. Horford makes 2-pt shot at rim (assist by K. Irving),2,52-52,,
0:26.0,,,52-52,,R. Hollis-Jefferson misses 2-pt shot from 5 ft
0:20.0,Defensive rebound by K. Irving,,52-52,,
0:06.0,K. Irving misses 3-pt shot from 30 ft,,52-52,,
0:02.0,Offensive rebound by M. Smart,,52-52,,
0:01.0,M. Smart misses 2-pt shot from 1 ft,,52-52,,
0:01.0,,,52-52,,Defensive rebound by S. Dinwiddie
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,52-54,2,R. Hollis-Jefferson makes 2-pt shot from 5 ft (assist by S. Dinwiddie)
11:27.0,K. Irving misses 2-pt shot from 15 ft,,52-54,,
11:26.0,Offensive rebound by Team,,52-54,,
11:20.0,J. Brown misses 2-pt shot from 6 ft,,52-54,,
11:17.0,,,52-54,,Defensive rebound by T. Booker
11:10.0,,,52-54,,S. Dinwiddie misses 2-pt shot from 2 ft
11:07.0,Defensive rebound by A. Horford,,52-54,,
11:02.0,M. Morris makes 2-pt shot at rim (assist by K. Irving),2,54-54,,
10:43.0,,,54-54,,R. Hollis-Jefferson misses 2-pt shot from 6 ft
10:40.0,Defensive rebound by J. Brown,,54-54,,
10:37.0,,,54-54,,Loose ball foul by R. Hollis-Jefferson (drawn by M. Morris)
10:30.0,M. Morris makes 3-pt shot from 24 ft (assist by K. Irving),3,57-54,,
10:05.0,,,57-54,,A. Crabbe misses 2-pt shot from 12 ft
9:59.0,,,57-54,,Offensive rebound by R. Hollis-Jefferson
9:59.0,,,57-56,2,R. Hollis-Jefferson makes 2-pt shot from 2 ft
9:55.0,Turnover by J. Tatum (step out of bounds),,57-56,,
9:55.0,,,57-56,,Q. Acy enters the game for R. Hollis-Jefferson
9:38.0,,,57-59,3,A. Crabbe makes 3-pt shot from 24 ft
9:24.0,K. Irving misses 2-pt shot from 1 ft (block by S. Dinwiddie),,57-59,,
9:19.0,,,57-59,,Defensive rebound by A. Crabbe
9:17.0,,,57-59,,D. Carroll misses 2-pt shot from 5 ft
9:15.0,,,57-59,,Offensive rebound by D. Carroll
9:15.0,,,57-61,2,D. Carroll makes 2-pt shot from 3 ft
9:15.0,Boston full timeout,,57-61,,
9:03.0,,,57-61,,R. Hollis-Jefferson enters the game for Q. Acy
9:01.0,Turnover by J. Brown (bad pass; steal by A. Crabbe),,57-61,,
8:52.0,,,57-61,,D. Carroll misses 3-pt shot from 26 ft
8:47.0,Defensive rebound by A. Horford,,57-61,,
8:34.0,J. Tatum misses 3-pt shot from 22 ft,,57-61,,
8:29.0,Offensive rebound by K. Irving,,57-61,,
8:22.0,J. Brown makes 2-pt shot at rim,2,59-61,,
8:06.0,,,59-61,,A. Crabbe misses 2-pt shot from 23 ft
8:01.0,Defensive rebound by M. Morris,,59-61,,
8:01.0,Turnover by M. Morris (bad pass),,59-61,,
7:43.0,,,59-61,,S. Dinwiddie misses 2-pt shot from 1 ft
7:37.0,,,59-61,,Offensive rebound by D. Carroll
7:37.0,,,59-61,,D. Carroll misses 2-pt shot at rim
7:36.0,Defensive rebound by M. Morris,,59-61,,
7:34.0,J. Tatum misses 2-pt shot from 1 ft,,59-61,,
7:31.0,Offensive rebound by A. Horford,,59-61,,
7:30.0,A. Horford makes 2-pt shot from 3 ft,2,61-61,,
7:19.0,,,61-63,2,T. Booker makes 2-pt shot from 6 ft
7:07.0,Turnover by A. Horford (bad pass; steal by T. Booker),,61-63,,
7:02.0,,,61-63,,D. Carroll misses 2-pt shot from 2 ft
6:57.0,Defensive rebound by A. Horford,,61-63,,
6:56.0,Turnover by A. Horford (discontinued dribble),,61-63,,
6:56.0,,,61-63,,Q. Acy enters the game for T. Booker
6:37.0,,,61-65,2,S. Dinwiddie makes 2-pt shot from 1 ft
6:31.0,K. Irving misses 2-pt shot from 2 ft,,61-65,,
6:27.0,,,61-65,,Defensive rebound by R. Hollis-Jefferson
6:23.0,,,61-65,,D. Carroll misses 3-pt shot from 23 ft
6:19.0,Defensive rebound by A. Horford,,61-65,,
6:13.0,,,61-65,,Personal foul by S. Dinwiddie (drawn by J. Tatum)
6:13.0,M. Smart enters the game for M. Morris,,61-65,,
6:04.0,A. Horford makes 2-pt shot from 1 ft,2,63-65,,
5:54.0,,,63-65,,Turnover by R. Hollis-Jefferson (bad pass)
5:42.0,K. Irving makes 2-pt shot from 17 ft (assist by M. Smart),2,65-65,,
5:41.0,,,65-65,,Brooklyn full timeout
5:26.0,,,65-65,,Turnover by A. Crabbe (lost ball; steal by J. Tatum)
5:03.0,K. Irving makes 2-pt shot from 21 ft (assist by A. Horford),2,67-65,,
4:51.0,,,67-65,,S. Dinwiddie misses 2-pt shot from 14 ft
4:49.0,Defensive rebound by J. Brown,,67-65,,
4:44.0,A. Horford makes 2-pt shot from 5 ft (assist by J. Brown),2,69-65,,
4:20.0,,,69-65,,C. LeVert enters the game for D. Carroll
4:20.0,,,69-65,,J. Harris enters the game for S. Dinwiddie
4:20.0,Jump ball: Q. Acy vs. K. Irving,,,,Jump ball: Q. Acy vs. K. Irving
4:18.0,,,69-65,,A. Crabbe misses 3-pt shot from 24 ft
4:14.0,,,69-65,,Offensive rebound by R. Hollis-Jefferson
4:03.0,,,69-65,,Shooting foul by M. Smart (drawn by R. Hollis-Jefferson)
4:03.0,,,69-65,,R. Hollis-Jefferson misses free throw 1 of 2
4:03.0,,,69-65,,Offensive rebound by Team
4:03.0,,,69-65,,R. Hollis-Jefferson misses free throw 2 of 2
4:00.0,Defensive rebound by M. Smart,,69-65,,
3:49.0,,,69-65,,Personal foul by Q. Acy (drawn by K. Irving)
3:49.0,,,69-65,,T. Booker enters the game for Q. Acy
3:49.0,T. Rozier enters the game for K. Irving,,69-65,,
3:44.0,A. Horford makes 3-pt shot from 24 ft (assist by M. Smart),3,72-65,,
3:29.0,,,72-67,2,J. Harris makes 2-pt shot at rim (assist by A. Crabbe)
3:16.0,T. Rozier misses 3-pt shot from 25 ft,,72-67,,
3:14.0,,,72-67,,Defensive rebound by J. Harris
3:01.0,,,72-67,,Turnover by T. Booker (bad pass)
2:43.0,J. Brown makes 2-pt shot from 8 ft,2,74-67,,
2:26.0,,,74-67,,T. Booker misses 3-pt shot from 22 ft
2:22.0,Defensive rebound by M. Smart,,74-67,,
2:22.0,Shooting foul by A. Crabbe (drawn by J. Tatum),,74-67,,
2:22.0,J. Tatum makes free throw 1 of 2,1,75-67,,
2:22.0,,,75-67,,I. Whitehead enters the game for R. Hollis-Jefferson
2:22.0,,,75-67,,J. Allen enters the game for A. Crabbe
2:22.0,D. Theis enters the game for A. Horford,,75-67,,
2:22.0,J. Tatum makes free throw 2 of 2,1,76-67,,
2:08.0,,,76-67,,J. Allen misses 2-pt shot from 2 ft (block by D. Theis)
2:03.0,Defensive rebound by D. Theis,,76-67,,
1:56.0,Shooting foul by I. Whitehead (drawn by J. Tatum),,76-67,,
1:56.0,J. Tatum makes free throw 1 of 2,1,77-67,,
1:56.0,J. Tatum makes free throw 2 of 2,1,78-67,,
1:39.0,,,78-67,,I. Whitehead misses 2-pt shot from 8 ft
1:34.0,Defensive rebound by D. Theis,,78-67,,
1:28.0,M. Smart misses 3-pt shot from 25 ft,,78-67,,
1:24.0,,,78-67,,Defensive rebound by T. Booker
1:20.0,,,78-67,,Turnover by T. Booker (bad pass; steal by J. Tatum)
1:16.0,J. Tatum misses 2-pt shot from 1 ft,,78-67,,
1:10.0,Offensive rebound by T. Rozier,,78-67,,
1:09.0,T. Rozier misses 3-pt shot from 22 ft,,78-67,,
1:06.0,Offensive rebound by J. Tatum,,78-67,,
0:56.0,,,78-67,,Personal foul by T. Booker (drawn by J. Brown)
0:56.0,J. Brown makes free throw 1 of 2,1,79-67,,
0:56.0,S. Ojeleye enters the game for J. Tatum,,79-67,,
0:56.0,J. Brown makes free throw 2 of 2,1,80-67,,
0:45.0,,,80-67,,Shooting foul by D. Theis (drawn by C. LeVert)
0:45.0,Boston full timeout,,80-67,,
0:45.0,,,80-67,,S. Dinwiddie enters the game for I. Whitehead
0:45.0,,,80-67,,C. LeVert misses free throw 1 of 2
0:45.0,,,80-67,,Offensive rebound by Team
0:45.0,,,80-68,1,C. LeVert makes free throw 2 of 2
0:35.0,D. Theis misses 3-pt shot from 22 ft,,80-68,,
0:32.0,,,80-68,,Defensive rebound by T. Booker
0:22.0,,,80-71,3,C. LeVert makes 3-pt shot from 23 ft (assist by T. Booker)
0:01.0,M. Smart misses 2-pt shot from 12 ft,,80-71,,
0:00.0,Offensive rebound by Team,,80-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,M. Smart misses 3-pt shot from 25 ft,,80-71,,
11:40.0,,,80-71,,Defensive rebound by C. LeVert
11:29.0,,,80-74,3,J. Harris makes 3-pt shot from 25 ft (assist by Q. Acy)
11:04.0,M. Morris makes 2-pt shot from 16 ft,2,82-74,,
10:43.0,,,82-77,3,J. Harris makes 3-pt shot from 25 ft (assist by C. LeVert)
10:31.0,Offensive foul by M. Morris (drawn by S. Dinwiddie),,82-77,,
10:31.0,Turnover by M. Morris (offensive foul),,82-77,,
10:15.0,,,82-79,2,S. Dinwiddie makes 2-pt shot from 1 ft
9:59.0,M. Smart misses 2-pt shot from 8 ft,,82-79,,
9:55.0,,,82-79,,Defensive rebound by J. Allen
9:54.0,,,82-81,2,C. LeVert makes 2-pt shot at rim (assist by J. Allen)
9:54.0,Boston full timeout,,82-81,,
9:54.0,A. Baynes enters the game for D. Theis,,82-81,,
9:54.0,S. Larkin enters the game for S. Ojeleye,,82-81,,
9:41.0,Shooting foul by J. Allen (drawn by M. Morris),,82-81,,
9:41.0,M. Morris makes free throw 1 of 2,1,83-81,,
9:41.0,M. Morris makes free throw 2 of 2,1,84-81,,
9:28.0,,,84-81,,J. Harris misses 3-pt shot from 25 ft
9:23.0,Defensive rebound by S. Larkin,,84-81,,
9:10.0,M. Smart misses 2-pt shot from 6 ft,,84-81,,
9:07.0,Offensive rebound by M. Smart,,84-81,,
9:07.0,Shooting foul by C. LeVert (drawn by M. Smart),,84-81,,
9:07.0,M. Smart makes free throw 1 of 2,1,85-81,,
9:07.0,M. Smart makes free throw 2 of 2,1,86-81,,
8:43.0,,,86-81,,S. Dinwiddie misses 2-pt shot from 11 ft
8:43.0,,,86-81,,Offensive rebound by Q. Acy
8:43.0,,,86-81,,Turnover by Team (shot clock)
8:28.0,S. Larkin misses 2-pt shot from 15 ft,,86-81,,
8:28.0,,,86-81,,Defensive rebound by Q. Acy
8:05.0,,,86-81,,S. Dinwiddie misses 3-pt shot from 24 ft
8:05.0,Defensive rebound by M. Morris,,86-81,,
7:56.0,,,86-81,,Personal foul by J. Harris (drawn by M. Smart)
7:56.0,,,86-81,,A. Crabbe enters the game for S. Dinwiddie
7:56.0,,,86-81,,R. Hollis-Jefferson enters the game for J. Allen
7:50.0,M. Morris makes 2-pt shot from 22 ft,2,88-81,,
7:30.0,,,88-81,,J. Harris misses 3-pt shot from 22 ft
7:28.0,Defensive rebound by M. Morris,,88-81,,
7:12.0,M. Morris makes 2-pt shot from 20 ft,2,90-81,,
7:10.0,,,90-81,,Brooklyn full timeout
7:10.0,,,90-81,,D. Carroll enters the game for J. Harris
7:10.0,,,90-81,,T. Booker enters the game for Q. Acy
6:59.0,Personal foul by S. Larkin (drawn by C. LeVert),,90-81,,
6:58.0,,,90-81,,Turnover by D. Carroll (bad pass; steal by S. Larkin)
6:53.0,S. Larkin makes 2-pt shot at rim,2,92-81,,
6:36.0,,,92-81,,S. Dinwiddie enters the game for C. LeVert
6:30.0,,,92-81,,S. Dinwiddie misses 2-pt shot from 1 ft (block by A. Baynes)
6:27.0,Defensive rebound by M. Morris,,92-81,,
6:21.0,M. Morris misses 3-pt shot from 25 ft,,92-81,,
6:17.0,Offensive rebound by M. Smart,,92-81,,
6:06.0,S. Larkin misses 3-pt shot from 24 ft,,92-81,,
6:03.0,,,92-81,,Defensive rebound by A. Crabbe
5:59.0,,,92-83,2,T. Booker makes 2-pt shot from 1 ft (assist by S. Dinwiddie)
5:37.0,A. Baynes misses 3-pt shot from 22 ft,,92-83,,
5:35.0,,,92-83,,Defensive rebound by D. Carroll
5:27.0,,,92-83,,T. Booker misses 2-pt shot from 6 ft
5:25.0,Defensive rebound by M. Morris,,92-83,,
5:12.0,M. Morris makes 3-pt shot from 24 ft (assist by A. Baynes),3,95-83,,
4:55.0,,,95-85,2,R. Hollis-Jefferson makes 2-pt shot at rim
4:45.0,Turnover by M. Morris (out of bounds lost ball),,95-85,,
4:45.0,K. Irving enters the game for T. Rozier,,95-85,,
4:35.0,,,95-88,3,A. Crabbe makes 3-pt shot from 25 ft (assist by D. Carroll)
4:25.0,Boston full timeout,,95-88,,
4:25.0,J. Tatum enters the game for M. Morris,,95-88,,
4:25.0,A. Horford enters the game for A. Baynes,,95-88,,
