time,Toronto,pts.away,score,pts.home,Detroit
2:10.0,N. Powell enters the game for O. Anunoby,,24-23,,
2:10.0,,,24-24,1,H. Ellenson makes free throw 2 of 2
1:45.0,D. DeRozan makes 3-pt shot from 25 ft,3,27-24,,
1:21.0,,,27-26,2,E. Moreland makes 2-pt shot from 4 ft (assist by I. Smith)
1:04.0,C. Miles makes 3-pt shot from 25 ft (assist by N. Powell),3,30-26,,
0:50.0,,,30-28,2,I. Smith makes 2-pt shot from 1 ft
0:44.0,Turnover by C. Miles (lost ball; steal by L. Kennard),,30-28,,
0:35.0,,,30-30,2,I. Smith makes 2-pt shot from 18 ft
0:15.0,Shooting foul by H. Ellenson (drawn by D. DeRozan),,30-30,,
0:15.0,D. DeRozan makes free throw 1 of 2,1,31-30,,
0:15.0,D. DeRozan makes free throw 2 of 2,1,32-30,,
0:00.0,,,32-32,2,H. Ellenson makes 2-pt shot from 2 ft (assist by I. Smith)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,32-34,2,I. Smith makes 2-pt shot from 2 ft
11:36.0,C. Miles misses 2-pt shot from 23 ft,,32-34,,
11:32.0,,,32-34,,Defensive rebound by J. Ennis
11:27.0,,,32-34,,Turnover by J. Ennis (bad pass; steal by D. Wright)
11:24.0,D. Wright makes 2-pt shot at rim,2,34-34,,
11:05.0,,,34-37,3,L. Galloway makes 3-pt shot from 28 ft (assist by J. Ennis)
10:47.0,N. Powell misses 3-pt shot from 22 ft,,34-37,,
10:45.0,,,34-37,,Defensive rebound by H. Ellenson
10:35.0,,,34-37,,Shooting foul by L. Brown (drawn by H. Ellenson)
10:35.0,,,34-38,1,H. Ellenson makes free throw 1 of 2
10:35.0,,,34-39,1,H. Ellenson makes free throw 2 of 2
10:21.0,C. Miles misses 3-pt shot from 25 ft,,34-39,,
10:18.0,,,34-39,,Defensive rebound by L. Galloway
10:12.0,,,34-42,3,A. Tolliver makes 3-pt shot from 25 ft (assist by L. Galloway)
10:03.0,Toronto full timeout,,34-42,,
9:51.0,C. Miles misses 3-pt shot from 28 ft,,34-42,,
9:48.0,Offensive rebound by L. Brown,,34-42,,
9:46.0,N. Powell misses 3-pt shot from 25 ft,,34-42,,
9:43.0,,,34-42,,Defensive rebound by L. Galloway
9:39.0,,,34-44,2,I. Smith makes 2-pt shot from 13 ft
9:24.0,D. Wright makes 2-pt shot from 8 ft,2,36-44,,
9:09.0,,,36-44,,L. Galloway misses 3-pt shot from 25 ft
9:06.0,Defensive rebound by D. Wright,,36-44,,
8:52.0,C. Miles misses 3-pt shot from 25 ft,,36-44,,
8:48.0,,,36-44,,Defensive rebound by J. Ennis
8:30.0,,,36-47,3,I. Smith makes 3-pt shot from 24 ft (assist by H. Ellenson)
8:11.0,N. Powell misses 3-pt shot from 25 ft,,36-47,,
8:07.0,,,36-47,,Defensive rebound by L. Galloway
8:00.0,,,36-49,2,I. Smith makes 2-pt shot from 12 ft
7:44.0,C. Miles misses 3-pt shot from 24 ft,,36-49,,
7:41.0,,,36-49,,Defensive rebound by L. Galloway
7:36.0,,,36-49,,Shooting foul by N. Powell (drawn by H. Ellenson)
7:36.0,,,36-49,,H. Ellenson misses free throw 1 of 2
7:36.0,,,36-49,,Offensive rebound by Team
7:36.0,,,36-49,,R. Jackson enters the game for I. Smith
7:36.0,,,36-49,,S. Johnson enters the game for J. Ennis
7:36.0,P. Siakam enters the game for C. Miles,,36-49,,
7:36.0,J. Valanciunas enters the game for J. Poeltl,,36-49,,
7:36.0,K. Lowry enters the game for D. Wright,,36-49,,
7:36.0,,,36-50,1,H. Ellenson makes free throw 2 of 2
7:28.0,,,36-50,,Personal foul by S. Johnson (drawn by N. Powell)
7:22.0,L. Brown misses 3-pt shot from 22 ft,,36-50,,
7:19.0,,,36-50,,Defensive rebound by S. Johnson
7:05.0,,,36-53,3,H. Ellenson makes 3-pt shot from 26 ft (assist by R. Jackson)
6:44.0,N. Powell makes 2-pt shot from 1 ft (assist by K. Lowry),2,38-53,,
6:25.0,,,38-53,,A. Tolliver misses 3-pt shot from 23 ft
6:22.0,Defensive rebound by K. Lowry,,38-53,,
6:17.0,K. Lowry misses 3-pt shot from 24 ft,,38-53,,
6:09.0,Offensive rebound by J. Valanciunas,,38-53,,
6:09.0,J. Valanciunas makes 2-pt shot at rim,2,40-53,,
5:59.0,,,40-55,2,A. Tolliver makes 2-pt shot from 2 ft (assist by R. Jackson)
5:49.0,P. Siakam makes 2-pt shot from 1 ft (assist by K. Lowry),2,42-55,,
5:43.0,,,42-55,,L. Galloway misses 3-pt shot from 24 ft
5:43.0,Defensive rebound by J. Valanciunas,,42-55,,
5:27.0,Turnover by K. Lowry (bad pass; steal by H. Ellenson),,42-55,,
5:20.0,,,42-55,,L. Galloway misses 2-pt shot from 6 ft
5:16.0,Defensive rebound by J. Valanciunas,,42-55,,
5:14.0,L. Brown makes 2-pt shot from 4 ft (assist by K. Lowry),2,44-55,,
5:07.0,,,44-55,,Detroit full timeout
5:07.0,,,44-55,,E. Moreland enters the game for H. Ellenson
5:07.0,,,44-55,,L. Kennard enters the game for L. Galloway
5:07.0,D. DeRozan enters the game for N. Powell,,44-55,,
4:58.0,,,44-57,2,R. Jackson makes 2-pt shot from 17 ft
4:38.0,P. Siakam misses 3-pt shot from 22 ft,,44-57,,
4:35.0,,,44-57,,Defensive rebound by L. Kennard
4:31.0,Personal foul by K. Lowry (drawn by E. Moreland),,44-57,,
4:24.0,,,44-57,,S. Johnson misses 3-pt shot from 25 ft
4:19.0,Defensive rebound by K. Lowry,,44-57,,
4:16.0,,,44-57,,Violation by R. Jackson (kicked ball)
4:10.0,K. Lowry misses 3-pt shot from 30 ft,,44-57,,
4:08.0,,,44-57,,Defensive rebound by Team
3:50.0,,,44-60,3,L. Kennard makes 3-pt shot from 25 ft (assist by R. Jackson)
3:27.0,L. Brown misses 2-pt shot from 16 ft,,44-60,,
3:26.0,Offensive rebound by Team,,44-60,,
3:26.0,,,44-60,,Loose ball foul by E. Moreland (drawn by J. Valanciunas)
3:26.0,,,44-60,,H. Ellenson enters the game for E. Moreland
3:16.0,D. DeRozan makes 2-pt shot from 11 ft,2,46-60,,
2:54.0,,,46-60,,H. Ellenson misses 3-pt shot from 25 ft
2:52.0,Defensive rebound by L. Brown,,46-60,,
2:46.0,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry),2,48-60,,
2:18.0,,,48-60,,Turnover by L. Kennard (lost ball; steal by P. Siakam)
1:59.0,D. DeRozan makes 3-pt shot from 25 ft (assist by L. Brown),3,51-60,,
1:39.0,,,51-60,,L. Kennard misses 2-pt shot from 17 ft
1:37.0,Defensive rebound by L. Brown,,51-60,,
1:32.0,L. Brown makes 2-pt shot at rim,2,53-60,,
1:18.0,,,53-60,,S. Johnson misses 2-pt shot from 8 ft
1:16.0,Defensive rebound by K. Lowry,,53-60,,
1:12.0,L. Brown misses 3-pt shot from 23 ft,,53-60,,
1:08.0,,,53-60,,Defensive rebound by L. Kennard
1:07.0,Personal foul by D. DeRozan (drawn by L. Kennard),,53-60,,
0:59.0,,,53-60,,R. Jackson misses 2-pt shot from 8 ft
0:58.0,Defensive rebound by K. Lowry,,53-60,,
0:51.0,J. Valanciunas makes 2-pt shot from 9 ft (assist by K. Lowry),2,55-60,,
0:37.0,,,55-60,,H. Ellenson misses 2-pt shot from 8 ft
0:34.0,Defensive rebound by K. Lowry,,55-60,,
0:31.0,K. Lowry makes 2-pt shot from 5 ft,2,57-60,,
0:06.0,,,57-60,,Turnover by Team (shot clock)
0:05.0,,,57-60,,Personal foul by R. Jackson (drawn by K. Lowry)
0:00.0,D. DeRozan misses 3-pt shot from 26 ft,,57-60,,
0:00.0,Offensive rebound by Team,,57-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,57-60,,S. Johnson misses 3-pt shot from 23 ft
11:37.0,Defensive rebound by P. Siakam,,57-60,,
11:27.0,J. Valanciunas makes 2-pt shot from 17 ft (assist by P. Siakam),2,59-60,,
11:12.0,,,59-62,2,E. Moreland makes 2-pt shot from 6 ft (assist by R. Jackson)
10:49.0,P. Siakam misses 2-pt shot from 13 ft,,59-62,,
10:44.0,,,59-62,,Defensive rebound by E. Moreland
10:41.0,,,59-62,,Shooting foul by P. Siakam (drawn by L. Kennard)
10:41.0,,,59-63,1,L. Kennard makes free throw 1 of 2
10:41.0,,,59-63,,L. Kennard misses free throw 2 of 2
10:38.0,Defensive rebound by P. Siakam,,59-63,,
10:24.0,J. Valanciunas makes 2-pt shot from 6 ft,2,61-63,,
10:13.0,Personal foul by K. Lowry (drawn by R. Jackson),,61-63,,
10:05.0,,,61-63,,L. Kennard misses 3-pt shot from 25 ft
10:02.0,Defensive rebound by P. Siakam,,61-63,,
9:57.0,Turnover by K. Lowry (bad pass),,61-63,,
9:42.0,,,61-63,,Shooting foul by J. Valanciunas (drawn by S. Johnson)
9:42.0,,,61-64,1,S. Johnson makes free throw 1 of 2
9:42.0,,,61-64,,S. Johnson misses free throw 2 of 2
9:39.0,Defensive rebound by P. Siakam,,61-64,,
9:22.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry),2,63-64,,
8:58.0,,,63-64,,S. Johnson misses 2-pt shot from 2 ft
8:57.0,Defensive rebound by O. Anunoby,,63-64,,
8:53.0,Turnover by O. Anunoby (lost ball; steal by E. Moreland),,63-64,,
8:49.0,,,63-66,2,L. Kennard makes 2-pt shot from 1 ft
8:27.0,D. DeRozan misses 2-pt shot from 3 ft,,63-66,,
8:26.0,,,63-66,,Defensive rebound by A. Tolliver
8:06.0,,,63-66,,R. Jackson misses 2-pt shot from 13 ft
8:06.0,Defensive rebound by P. Siakam,,63-66,,
8:06.0,,,63-66,,Personal foul by E. Moreland (drawn by P. Siakam)
7:45.0,D. DeRozan misses 2-pt shot from 17 ft,,63-66,,
7:42.0,,,63-66,,Defensive rebound by A. Tolliver
7:40.0,Personal foul by D. DeRozan (drawn by R. Jackson),,63-66,,
7:30.0,,,63-66,,Shooting foul by P. Siakam (drawn by R. Jackson)
7:30.0,,,63-67,1,R. Jackson makes free throw 1 of 2
7:30.0,,,63-68,1,R. Jackson makes free throw 2 of 2
7:18.0,D. DeRozan makes 2-pt shot from 2 ft,2,65-68,,
7:05.0,,,65-68,,R. Jackson misses 2-pt shot from 11 ft
7:04.0,Defensive rebound by J. Valanciunas,,65-68,,
6:48.0,O. Anunoby makes 3-pt shot from 24 ft (assist by D. DeRozan),3,68-68,,
6:33.0,,,68-68,,Detroit full timeout
6:26.0,,,68-68,,A. Tolliver misses 3-pt shot from 25 ft
6:23.0,Defensive rebound by D. DeRozan,,68-68,,
6:16.0,K. Lowry makes 3-pt shot from 26 ft (assist by D. DeRozan),3,71-68,,
5:49.0,,,71-70,2,E. Moreland makes 2-pt shot from 8 ft (assist by L. Kennard)
5:38.0,D. DeRozan misses 3-pt shot from 23 ft,,71-70,,
5:34.0,,,71-70,,Defensive rebound by E. Moreland
5:29.0,,,71-72,2,E. Moreland makes 2-pt shot from 1 ft (assist by L. Kennard)
5:29.0,,,71-72,,Shooting foul by J. Valanciunas (drawn by E. Moreland)
5:29.0,,,71-72,,H. Ellenson enters the game for A. Tolliver
5:29.0,,,71-72,,E. Moreland misses free throw 1 of 1
5:29.0,Defensive rebound by K. Lowry,,71-72,,
5:09.0,P. Siakam makes 3-pt shot from 22 ft (assist by D. DeRozan),3,74-72,,
4:52.0,,,74-72,,R. Jackson misses 2-pt shot from 16 ft
4:50.0,Defensive rebound by J. Valanciunas,,74-72,,
4:37.0,J. Valanciunas makes 2-pt shot from 2 ft (assist by K. Lowry),2,76-72,,
4:14.0,,,76-72,,L. Kennard misses 2-pt shot from 8 ft (block by O. Anunoby)
4:12.0,Defensive rebound by O. Anunoby,,76-72,,
3:55.0,O. Anunoby misses 3-pt shot from 24 ft,,76-72,,
3:52.0,,,76-72,,Defensive rebound by L. Kennard
3:37.0,,,76-74,2,S. Johnson makes 2-pt shot from 2 ft
3:30.0,K. Lowry makes 3-pt shot from 26 ft,3,79-74,,
3:23.0,,,79-74,,Detroit full timeout
3:23.0,,,79-74,,I. Smith enters the game for R. Jackson
3:23.0,J. Poeltl enters the game for J. Valanciunas,,79-74,,
3:23.0,C. Miles enters the game for P. Siakam,,79-74,,
3:23.0,,,79-74,,Turnover by Team (turnover)
3:14.0,K. Lowry misses 3-pt shot from 25 ft,,79-74,,
3:10.0,,,79-74,,Defensive rebound by H. Ellenson
2:59.0,,,79-76,2,I. Smith makes 2-pt shot from 19 ft (assist by S. Johnson)
2:41.0,C. Miles misses 3-pt shot from 25 ft,,79-76,,
2:39.0,,,79-76,,Defensive rebound by H. Ellenson
2:30.0,,,79-76,,S. Johnson misses 3-pt shot from 22 ft
2:27.0,Defensive rebound by C. Miles,,79-76,,
2:21.0,,,79-76,,Personal foul by I. Smith (drawn by D. DeRozan)
2:21.0,N. Powell enters the game for O. Anunoby,,79-76,,
2:21.0,D. Wright enters the game for K. Lowry,,79-76,,
2:13.0,,,79-76,,Personal foul by H. Ellenson (drawn by N. Powell)
2:13.0,,,79-76,,A. Tolliver enters the game for E. Moreland
1:59.0,N. Powell misses 3-pt shot from 25 ft,,79-76,,
1:55.0,,,79-76,,Defensive rebound by I. Smith
1:48.0,,,79-76,,H. Ellenson misses 2-pt shot at rim (block by J. Poeltl)
1:48.0,Defensive rebound by Team,,79-76,,
1:24.0,D. DeRozan makes 2-pt shot from 17 ft,2,81-76,,
1:15.0,,,81-76,,Shooting foul by C. Miles (drawn by L. Kennard)
1:15.0,,,81-77,1,L. Kennard makes free throw 1 of 2
1:15.0,,,81-78,1,L. Kennard makes free throw 2 of 2
0:58.0,J. Poeltl makes 2-pt shot from 1 ft (assist by C. Miles),2,83-78,,
0:42.0,,,83-78,,S. Johnson misses 2-pt shot from 1 ft
0:42.0,,,83-78,,Offensive rebound by Team
0:42.0,Personal foul by C. Miles (drawn by H. Ellenson),,83-78,,
0:42.0,,,83-79,1,H. Ellenson makes free throw 1 of 2
0:42.0,,,83-79,,L. Galloway enters the game for L. Kennard
0:42.0,L. Brown enters the game for D. DeRozan,,83-79,,
0:42.0,,,83-80,1,H. Ellenson makes free throw 2 of 2
0:34.0,J. Poeltl makes 2-pt shot from 2 ft (assist by C. Miles),2,85-80,,
0:17.0,,,85-80,,I. Smith misses 2-pt shot from 9 ft
0:14.0,Defensive rebound by C. Miles,,85-80,,
0:00.0,N. Powell misses 3-pt shot from 34 ft,,85-80,,
0:00.0,Offensive rebound by Team,,85-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,C. Miles makes 2-pt shot from 1 ft,2,87-80,,
11:23.0,,,87-80,,H. Ellenson misses 3-pt shot from 24 ft
11:21.0,Defensive rebound by D. Wright,,87-80,,
11:19.0,,,87-80,,Personal foul by J. Ennis (drawn by D. Wright)
11:03.0,C. Miles makes 2-pt shot from 6 ft,2,89-80,,
10:41.0,,,89-80,,H. Ellenson misses 2-pt shot from 8 ft
10:40.0,Defensive rebound by L. Brown,,89-80,,
10:21.0,J. Poeltl makes 2-pt shot from 9 ft (assist by N. Powell),2,91-80,,
10:20.0,,,91-80,,Detroit full timeout
10:05.0,,,91-80,,A. Tolliver misses 3-pt shot from 23 ft (block by N. Powell)
10:01.0,Defensive rebound by C. Miles,,91-80,,
9:48.0,L. Brown makes 3-pt shot from 26 ft (assist by C. Miles),3,94-80,,
9:22.0,,,94-80,,L. Galloway misses 2-pt shot from 7 ft
9:19.0,Defensive rebound by J. Poeltl,,94-80,,
9:06.0,J. Poeltl makes 2-pt shot from 2 ft (assist by N. Powell),2,96-80,,
8:45.0,,,96-80,,Turnover by I. Smith (lost ball; steal by L. Brown)
8:40.0,L. Brown makes 2-pt shot from 3 ft (assist by D. Wright),2,98-80,,
8:40.0,,,98-80,,Detroit full timeout
8:40.0,,,98-80,,E. Moreland enters the game for H. Ellenson
8:40.0,,,98-80,,R. Jackson enters the game for I. Smith
8:40.0,A. McKinnie enters the game for C. Miles,,98-80,,
8:20.0,,,98-80,,Shooting foul by D. Wright (drawn by E. Moreland)
8:20.0,,,98-81,1,E. Moreland makes free throw 1 of 2
8:20.0,,,98-81,,E. Moreland misses free throw 2 of 2
8:18.0,Defensive rebound by N. Powell,,98-81,,
8:07.0,Turnover by N. Powell (bad pass; steal by J. Ennis),,98-81,,
8:01.0,,,98-81,,L. Galloway misses 3-pt shot from 23 ft
7:57.0,Defensive rebound by D. Wright,,98-81,,
7:48.0,J. Poeltl makes 2-pt shot at rim (assist by D. Wright),2,100-81,,
7:35.0,,,100-83,2,R. Jackson makes 2-pt shot from 14 ft
7:16.0,D. Wright misses 2-pt shot from 7 ft,,100-83,,
7:16.0,Offensive rebound by A. McKinnie,,100-83,,
7:11.0,A. McKinnie makes 2-pt shot at rim,2,102-83,,
6:57.0,,,102-83,,J. Ennis misses 3-pt shot from 25 ft
6:55.0,Defensive rebound by J. Poeltl,,102-83,,
6:48.0,N. Powell misses 3-pt shot from 23 ft,,102-83,,
6:42.0,,,102-83,,Defensive rebound by E. Moreland
6:24.0,,,102-86,3,A. Tolliver makes 3-pt shot from 26 ft (assist by R. Jackson)
6:05.0,,,102-86,,Personal foul by A. Tolliver (drawn by N. Powell)
6:05.0,,,102-86,,L. Kennard enters the game for J. Ennis
5:58.0,L. Brown misses 3-pt shot from 26 ft,,102-86,,
5:55.0,,,102-86,,Defensive rebound by E. Moreland
5:45.0,,,102-88,2,R. Jackson makes 2-pt shot from 13 ft
5:41.0,Toronto full timeout,,102-88,,
5:26.0,A. McKinnie misses 3-pt shot from 23 ft,,102-88,,
5:23.0,,,102-88,,Defensive rebound by R. Jackson
5:17.0,,,102-90,2,R. Jackson makes 2-pt shot from 6 ft
5:04.0,N. Powell misses 2-pt shot from 4 ft,,102-90,,
5:02.0,Offensive rebound by J. Poeltl,,102-90,,
4:54.0,J. Poeltl misses 2-pt shot at rim,,102-90,,
4:54.0,,,102-90,,Defensive rebound by A. Tolliver
4:46.0,,,102-93,3,A. Tolliver makes 3-pt shot from 26 ft (assist by R. Jackson)
4:26.0,D. Wright misses 3-pt shot from 28 ft,,102-93,,
4:20.0,,,102-93,,Defensive rebound by L. Kennard
4:15.0,,,102-93,,R. Jackson misses 2-pt shot from 8 ft
4:13.0,,,102-93,,Offensive rebound by E. Moreland
4:10.0,,,102-95,2,L. Kennard makes 2-pt shot from 7 ft (assist by R. Jackson)
4:06.0,Toronto full timeout,,102-95,,
4:06.0,P. Siakam enters the game for N. Powell,,102-95,,
4:06.0,C. Miles enters the game for A. McKinnie,,102-95,,
3:44.0,C. Miles misses 3-pt shot from 30 ft,,102-95,,
3:42.0,,,102-95,,Defensive rebound by R. Jackson
3:36.0,,,102-95,,R. Jackson misses 2-pt shot from 16 ft
3:33.0,Defensive rebound by P. Siakam,,102-95,,
3:13.0,D. Wright misses 2-pt shot from 4 ft,,102-95,,
3:11.0,Offensive rebound by J. Poeltl,,102-95,,
3:10.0,Turnover by L. Brown (lost ball; steal by R. Jackson),,102-95,,
2:54.0,Personal foul by P. Siakam (drawn by R. Jackson),,102-95,,
2:40.0,,,102-95,,L. Kennard misses 3-pt shot from 25 ft
2:35.0,Defensive rebound by L. Brown,,102-95,,
2:21.0,J. Poeltl makes 2-pt shot from 2 ft (assist by P. Siakam),2,104-95,,
2:01.0,,,104-95,,R. Jackson misses 3-pt shot from 24 ft
1:57.0,Defensive rebound by J. Poeltl,,104-95,,
1:36.0,P. Siakam makes 2-pt shot from 2 ft,2,106-95,,
1:22.0,,,106-95,,Shooting foul by L. Brown (drawn by L. Galloway)
1:22.0,,,106-96,1,L. Galloway makes free throw 1 of 3
1:22.0,,,106-97,1,L. Galloway makes free throw 2 of 3
1:22.0,,,106-98,1,L. Galloway makes free throw 3 of 3
1:20.0,Turnover by P. Siakam (traveling),,106-98,,
1:06.0,,,106-98,,R. Jackson misses 3-pt shot from 27 ft
1:02.0,Defensive rebound by J. Poeltl,,106-98,,
0:42.0,L. Brown makes 2-pt shot from 15 ft,2,108-98,,
0:29.0,,,108-98,,L. Kennard misses 3-pt shot from 23 ft
0:25.0,Defensive rebound by J. Poeltl,,108-98,,
0:03.0,Turnover by Team (shot clock),,108-98,,
