time,Sacramento,pts.away,score,pts.home,LA Clippers
1:00.0,,,49-66,,Shooting foul by G. Temple (drawn by S. Dekker)
1:00.0,,,49-67,1,S. Dekker makes free throw 1 of 2
1:00.0,,,49-68,1,S. Dekker makes free throw 2 of 2
0:43.0,B. Bogdanovic misses 3-pt shot from 26 ft,,49-68,,
0:40.0,,,49-68,,Defensive rebound by D. Jordan
0:32.0,,,49-68,,A. Rivers misses 3-pt shot from 24 ft
0:32.0,Defensive rebound by M. Richardson,,49-68,,
0:09.0,G. Hill makes 2-pt shot from 3 ft,2,51-68,,
0:03.0,,,51-71,3,M. Teodosic makes 3-pt shot from 25 ft
0:00.0,G. Temple makes 2-pt shot from 2 ft,2,53-71,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,Z. Randolph misses 2-pt shot from 12 ft,,53-71,,
11:41.0,Offensive rebound by Team,,53-71,,
11:31.0,B. Hield misses 2-pt shot from 13 ft (block by C. Williams),,53-71,,
11:30.0,,,53-71,,Defensive rebound by D. Jordan
11:30.0,,,53-71,,Turnover by D. Jordan (bad pass)
11:17.0,G. Hill misses 2-pt shot from 6 ft,,53-71,,
11:15.0,,,53-71,,Defensive rebound by M. Teodosic
11:01.0,,,53-71,,J. Wilson misses 2-pt shot from 2 ft
10:59.0,Defensive rebound by G. Hill,,53-71,,
10:50.0,B. Hield misses 2-pt shot from 15 ft,,53-71,,
10:45.0,Offensive rebound by Z. Randolph,,53-71,,
10:44.0,Z. Randolph makes 2-pt shot from 1 ft,2,55-71,,
10:22.0,,,55-71,,M. Teodosic misses 3-pt shot from 26 ft
10:14.0,,,55-71,,Offensive rebound by D. Jordan
10:14.0,,,55-73,2,D. Jordan makes 2-pt shot at rim
10:03.0,Shooting foul by J. Wilson (drawn by W. Cauley-Stein),,55-73,,
10:03.0,W. Cauley-Stein misses free throw 1 of 2,,55-73,,
10:03.0,Offensive rebound by Team,,55-73,,
10:03.0,W. Cauley-Stein makes free throw 2 of 2,1,56-73,,
9:49.0,,,56-75,2,D. Jordan makes 2-pt shot from 2 ft (assist by M. Teodosic)
9:35.0,Z. Randolph misses 2-pt shot from 5 ft (block by J. Wilson),,56-75,,
9:32.0,,,56-75,,Defensive rebound by D. Jordan
9:23.0,,,56-75,,A. Rivers misses 3-pt shot from 25 ft
9:18.0,,,56-75,,Offensive rebound by M. Teodosic
9:12.0,Personal foul by B. Hield (drawn by M. Teodosic),,56-75,,
9:04.0,,,56-77,2,C. Williams makes 2-pt shot from 3 ft (assist by M. Teodosic)
9:03.0,Sacramento full timeout,,56-77,,
8:50.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by Z. Randolph),2,58-77,,
8:32.0,,,58-77,,M. Teodosic misses 2-pt shot from 20 ft
8:31.0,Defensive rebound by Team,,58-77,,
8:18.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by G. Hill),2,60-77,,
8:11.0,Personal foul by B. Hield (drawn by C. Williams),,60-77,,
8:03.0,,,60-79,2,A. Rivers makes 2-pt shot from 2 ft
7:49.0,B. Hield misses 3-pt shot from 27 ft,,60-79,,
7:46.0,,,60-79,,Defensive rebound by D. Jordan
7:38.0,,,60-81,2,D. Jordan makes 2-pt shot from 1 ft (assist by A. Rivers)
7:24.0,B. Hield makes 3-pt shot from 25 ft,3,63-81,,
7:04.0,,,63-81,,M. Teodosic misses 2-pt shot from 21 ft
7:02.0,Defensive rebound by W. Cauley-Stein,,63-81,,
6:55.0,Z. Randolph misses 2-pt shot from 14 ft,,63-81,,
6:51.0,,,63-81,,Defensive rebound by A. Rivers
6:44.0,,,63-81,,A. Rivers misses 2-pt shot from 9 ft (block by W. Cauley-Stein)
6:43.0,Defensive rebound by G. Temple,,63-81,,
6:42.0,,,63-81,,Personal take foul by M. Teodosic (drawn by G. Hill)
6:42.0,M. Richardson enters the game for W. Cauley-Stein,,63-81,,
6:28.0,G. Hill misses 2-pt shot from 1 ft,,63-81,,
6:26.0,,,63-81,,Defensive rebound by D. Jordan
6:21.0,,,63-81,,C. Williams misses 3-pt shot from 25 ft
6:18.0,Defensive rebound by Z. Randolph,,63-81,,
6:05.0,Shooting foul by D. Jordan (drawn by Z. Randolph),,63-81,,
6:05.0,Z. Randolph misses free throw 1 of 2,,63-81,,
6:05.0,Offensive rebound by Team,,63-81,,
6:05.0,Z. Randolph makes free throw 2 of 2,1,64-81,,
5:38.0,,,64-84,3,J. Wilson makes 3-pt shot from 26 ft (assist by A. Rivers)
5:30.0,,,64-84,,Personal foul by C. Williams (drawn by B. Hield)
5:30.0,,,64-84,,LA Clippers full timeout
5:30.0,,,64-84,,L. Williams enters the game for M. Teodosic
5:13.0,B. Hield makes 2-pt shot from 7 ft (assist by G. Hill),2,66-84,,
4:54.0,,,66-84,,J. Wilson misses 3-pt shot from 26 ft
4:52.0,Defensive rebound by G. Hill,,66-84,,
4:48.0,,,66-84,,Personal foul by C. Williams (drawn by G. Hill)
4:48.0,G. Hill misses free throw 1 of 2,,66-84,,
4:48.0,Offensive rebound by Team,,66-84,,
4:48.0,,,66-84,,J. Evans enters the game for C. Williams
4:48.0,W. Cauley-Stein enters the game for Z. Randolph,,66-84,,
4:48.0,G. Hill makes free throw 2 of 2,1,67-84,,
4:31.0,,,67-86,2,J. Evans makes 2-pt shot from 22 ft (assist by A. Rivers)
4:10.0,B. Hield makes 2-pt shot from 17 ft (assist by W. Cauley-Stein),2,69-86,,
3:57.0,Personal foul by W. Cauley-Stein (drawn by L. Williams),,69-86,,
3:57.0,,,69-86,,S. Dekker enters the game for J. Wilson
3:57.0,B. Bogdanovic enters the game for G. Temple,,69-86,,
3:53.0,,,69-86,,Shooting foul by W. Cauley-Stein (drawn by A. Rivers)
3:53.0,,,69-87,1,A. Rivers makes free throw 1 of 2
3:53.0,,,69-87,,A. Rivers misses free throw 2 of 2
3:49.0,Defensive rebound by M. Richardson,,69-87,,
3:32.0,Shooting foul by D. Jordan (drawn by M. Richardson),,69-87,,
3:32.0,M. Richardson makes free throw 1 of 2,1,70-87,,
3:32.0,,,70-87,,S. Thornwell enters the game for A. Rivers
3:32.0,M. Richardson makes free throw 2 of 2,1,71-87,,
3:09.0,,,71-87,,Turnover by S. Thornwell (lost ball; steal by B. Hield)
3:04.0,Turnover by B. Hield (lost ball; steal by J. Evans),,71-87,,
3:02.0,,,71-87,,Shooting foul by M. Richardson (drawn by L. Williams)
3:02.0,,,71-88,1,L. Williams makes free throw 1 of 2
3:02.0,,,71-89,1,L. Williams makes free throw 2 of 2
2:43.0,G. Hill misses 2-pt shot from 15 ft,,71-89,,
2:41.0,,,71-89,,Defensive rebound by D. Jordan
2:27.0,,,71-89,,S. Thornwell misses 3-pt shot from 23 ft
2:24.0,Defensive rebound by M. Richardson,,71-89,,
2:20.0,G. Hill misses 2-pt shot from 1 ft,,71-89,,
2:11.0,Offensive rebound by W. Cauley-Stein,,71-89,,
2:07.0,W. Cauley-Stein makes 2-pt shot at rim,2,73-89,,
1:52.0,,,73-92,3,L. Williams makes 3-pt shot from 28 ft
1:29.0,M. Richardson misses 2-pt shot from 19 ft,,73-92,,
1:25.0,,,73-92,,Defensive rebound by L. Williams
1:22.0,Personal foul by B. Bogdanovic (drawn by L. Williams),,73-92,,
1:22.0,,,73-92,,L. Williams misses free throw 1 of 2
1:22.0,,,73-92,,Offensive rebound by Team
1:22.0,,,73-92,,M. Harrell enters the game for D. Jordan
1:22.0,F. Mason enters the game for B. Hield,,73-92,,
1:22.0,,,73-93,1,L. Williams makes free throw 2 of 2
1:05.0,W. Cauley-Stein misses 2-pt shot from 17 ft,,73-93,,
1:01.0,,,73-93,,Defensive rebound by S. Thornwell
0:46.0,,,73-93,,L. Williams misses 3-pt shot from 28 ft
0:41.0,Defensive rebound by F. Mason,,73-93,,
0:38.0,Turnover by F. Mason (lost ball; steal by S. Thornwell),,73-93,,
0:33.0,,,73-95,2,M. Harrell makes 2-pt shot from 1 ft (assist by S. Thornwell)
0:33.0,Sacramento full timeout,,73-95,,
0:17.0,Turnover by W. Cauley-Stein (lost ball; steal by S. Thornwell),,73-95,,
0:14.0,,,73-95,,Turnover by S. Thornwell (lost ball; steal by G. Hill)
0:08.0,F. Mason misses 2-pt shot from 2 ft,,73-95,,
0:04.0,,,73-95,,Defensive rebound by S. Dekker
0:02.0,,,73-95,,Turnover by M. Harrell (lost ball; steal by G. Hill)
0:00.0,G. Hill misses 3-pt shot from 26 ft,,73-95,,
0:00.0,Offensive rebound by Team,,73-95,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,73-95,,Turnover by S. Dekker (bad pass; steal by W. Cauley-Stein)
11:18.0,Turnover by Team (shot clock),,73-95,,
11:03.0,,,73-95,,J. Evans misses 3-pt shot from 26 ft
11:00.0,,,73-95,,Offensive rebound by M. Harrell
10:59.0,,,73-95,,M. Harrell misses 2-pt shot from 2 ft (block by J. Jackson)
10:59.0,,,73-95,,Offensive rebound by M. Harrell
10:59.0,,,73-95,,Shooting foul by M. Richardson (drawn by M. Harrell)
10:59.0,,,73-96,1,M. Harrell makes free throw 1 of 2
10:59.0,,,73-97,1,M. Harrell makes free throw 2 of 2
10:46.0,Turnover by B. Bogdanovic (bad pass; steal by S. Thornwell),,73-97,,
10:25.0,,,73-100,3,L. Williams makes 3-pt shot from 23 ft (assist by M. Harrell)
10:07.0,F. Mason makes 2-pt shot from 10 ft,2,75-100,,
9:55.0,,,75-100,,M. Harrell misses 2-pt shot from 14 ft
9:53.0,Defensive rebound by J. Jackson,,75-100,,
9:40.0,Turnover by B. Bogdanovic (bad pass; steal by S. Thornwell),,75-100,,
9:31.0,,,75-100,,S. Dekker misses 3-pt shot from 24 ft
9:28.0,Defensive rebound by M. Richardson,,75-100,,
9:22.0,W. Cauley-Stein makes 2-pt shot at rim (assist by F. Mason),2,77-100,,
9:00.0,,,77-100,,M. Harrell misses 2-pt shot from 2 ft
8:57.0,,,77-100,,Offensive rebound by S. Dekker
8:48.0,,,77-102,2,M. Harrell makes 2-pt shot from 2 ft (assist by J. Evans)
8:48.0,,,77-102,,Shooting foul by J. Jackson (drawn by M. Harrell)
8:48.0,K. Koufos enters the game for W. Cauley-Stein,,77-102,,
8:48.0,,,77-103,1,M. Harrell makes free throw 1 of 1
8:29.0,M. Richardson makes 3-pt shot from 25 ft,3,80-103,,
8:13.0,,,80-105,2,L. Williams makes 2-pt shot from 1 ft
8:00.0,F. Mason misses 2-pt shot from 20 ft,,80-105,,
7:57.0,,,80-105,,Defensive rebound by M. Harrell
7:55.0,,,80-105,,Shooting foul by B. Bogdanovic (drawn by M. Harrell)
7:55.0,,,80-105,,M. Harrell misses free throw 1 of 2
7:55.0,,,80-105,,Offensive rebound by Team
7:55.0,,,80-105,,C. Williams enters the game for L. Williams
7:55.0,G. Papagiannis enters the game for M. Richardson,,80-105,,
7:55.0,,,80-106,1,M. Harrell makes free throw 2 of 2
7:41.0,K. Koufos makes 2-pt shot from 4 ft (assist by B. Bogdanovic),2,82-106,,
7:20.0,,,82-106,,J. Evans misses 2-pt shot from 3 ft (block by J. Jackson)
7:14.0,Defensive rebound by J. Jackson,,82-106,,
7:13.0,B. Bogdanovic makes 3-pt shot from 26 ft (assist by F. Mason),3,85-106,,
7:13.0,,,85-106,,LA Clippers full timeout
6:54.0,,,85-106,,S. Thornwell misses 2-pt shot from 2 ft (block by G. Papagiannis)
6:54.0,,,85-106,,Offensive rebound by Team
6:49.0,,,85-108,2,M. Harrell makes 2-pt shot from 3 ft (assist by S. Thornwell)
6:25.0,J. Jackson misses 3-pt shot from 23 ft,,85-108,,
6:23.0,,,85-108,,Defensive rebound by Team
6:10.0,,,85-108,,Turnover by J. Evans (bad pass; steal by K. Koufos)
6:04.0,F. Mason makes 3-pt shot from 24 ft (assist by B. Bogdanovic),3,88-108,,
5:34.0,,,88-108,,M. Harrell misses 2-pt shot from 3 ft
5:32.0,Defensive rebound by J. Jackson,,88-108,,
5:25.0,B. Bogdanovic misses 2-pt shot from 5 ft,,88-108,,
5:21.0,Offensive rebound by G. Papagiannis,,88-108,,
5:21.0,G. Papagiannis misses 2-pt shot at rim,,88-108,,
5:21.0,Offensive rebound by G. Papagiannis,,88-108,,
5:21.0,,,88-108,,W. Reed enters the game for S. Dekker
5:13.0,B. Bogdanovic misses 3-pt shot from 26 ft,,88-108,,
5:08.0,,,88-108,,Defensive rebound by W. Reed
4:44.0,,,88-108,,M. Harrell misses 2-pt shot from 11 ft
4:39.0,,,88-108,,Offensive rebound by S. Thornwell
4:31.0,,,88-110,2,S. Thornwell makes 2-pt shot from 2 ft (assist by C. Williams)
4:13.0,B. Bogdanovic misses 2-pt shot from 22 ft (block by C. Williams),,88-110,,
4:11.0,,,88-110,,Defensive rebound by M. Harrell
4:10.0,,,88-110,,Shooting foul by G. Papagiannis (drawn by M. Harrell)
4:10.0,,,88-111,1,M. Harrell makes free throw 1 of 2
4:10.0,M. Richardson enters the game for B. Bogdanovic,,88-111,,
4:10.0,,,88-112,1,M. Harrell makes free throw 2 of 2
3:52.0,F. Mason makes 2-pt shot from 21 ft,2,90-112,,
3:36.0,,,90-112,,C. Williams misses 2-pt shot from 20 ft
