time,Phoenix,pts.away,score,pts.home,Charlotte
3:54.0,,,12-21,,D. Howard misses 2-pt shot from 8 ft
3:53.0,,,12-21,,Offensive rebound by Team
3:53.0,,,12-21,,F. Kaminsky enters the game for M. Williams
3:40.0,,,12-23,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft
3:22.0,Turnover by A. Len (bad pass; steal by M. Kidd-Gilchrist),,12-23,,
3:18.0,Personal foul by A. Len (drawn by D. Howard),,12-23,,
3:12.0,,,12-25,2,D. Howard makes 2-pt shot from 1 ft (assist by F. Kaminsky)
2:55.0,D. Reed misses 2-pt shot from 13 ft,,12-25,,
2:50.0,,,12-25,,Defensive rebound by D. Howard
2:41.0,,,12-27,2,D. Howard makes 2-pt shot from 1 ft (assist by J. Lamb)
2:41.0,Phoenix full timeout,,12-27,,
2:41.0,,,12-27,,D. Bacon enters the game for M. Kidd-Gilchrist
2:41.0,T. Chandler enters the game for E. Payton,,12-27,,
2:41.0,T. Ulis enters the game for A. Len,,12-27,,
2:41.0,S. Harrison enters the game for T. Daniels,,12-27,,
2:25.0,T. Ulis makes 3-pt shot from 26 ft,3,15-27,,
2:08.0,,,15-27,,Turnover by F. Kaminsky (bad pass; steal by D. Reed)
2:02.0,S. Harrison makes 2-pt shot from 1 ft (assist by T. Ulis),2,17-27,,
2:02.0,Shooting foul by F. Kaminsky (drawn by S. Harrison),,17-27,,
2:02.0,,,17-27,,T. Graham enters the game for D. Howard
2:02.0,,,17-27,,M. Monk enters the game for K. Walker
2:02.0,S. Harrison misses free throw 1 of 1,,17-27,,
1:59.0,,,17-27,,Defensive rebound by F. Kaminsky
1:44.0,,,17-29,2,M. Monk makes 2-pt shot from 21 ft
1:32.0,M. Chriss misses 3-pt shot from 26 ft,,17-29,,
1:27.0,,,17-29,,Defensive rebound by D. Bacon
1:19.0,,,17-29,,J. Lamb misses 2-pt shot from 1 ft
1:17.0,Defensive rebound by D. Reed,,17-29,,
1:13.0,T. Ulis makes 2-pt shot from 14 ft,2,19-29,,
0:57.0,,,19-32,3,J. Lamb makes 3-pt shot from 23 ft (assist by M. Monk)
0:52.0,J. Dudley enters the game for T. Chandler,,19-32,,
0:40.0,S. Harrison makes 3-pt shot from 23 ft (assist by T. Ulis),3,22-32,,
0:26.0,,,22-32,,J. Lamb misses 3-pt shot from 25 ft
0:24.0,Defensive rebound by S. Harrison,,22-32,,
0:06.0,D. Reed makes 3-pt shot from 26 ft (assist by T. Ulis),3,25-32,,
0:02.0,Personal foul by M. Chriss (drawn by M. Monk),,25-32,,
0:00.0,,,25-32,,M. Monk misses 3-pt shot from 33 ft
0:00.0,,,25-32,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,25-32,,M. Monk misses 3-pt shot from 24 ft
11:43.0,Defensive rebound by M. Chriss,,25-32,,
11:38.0,Turnover by T. Ulis (lost ball; steal by T. Graham),,25-32,,
11:23.0,,,25-32,,F. Kaminsky misses 2-pt shot from 7 ft
11:23.0,,,25-32,,Offensive rebound by F. Kaminsky
11:21.0,,,25-32,,F. Kaminsky misses 2-pt shot from 2 ft (block by S. Harrison)
11:20.0,Defensive rebound by Team,,25-32,,
11:09.0,,,25-32,,Personal foul by M. Monk (drawn by J. Dudley)
11:01.0,M. Chriss makes 2-pt shot from 1 ft (assist by D. Reed),2,27-32,,
10:47.0,,,27-32,,Turnover by J. Lamb (lost ball; steal by T. Ulis)
10:45.0,Turnover by D. Reed (bad pass; steal by T. Graham),,27-32,,
10:32.0,,,27-32,,T. Graham misses 2-pt shot from 2 ft (block by J. Dudley)
10:28.0,Defensive rebound by J. Dudley,,27-32,,
10:20.0,T. Ulis misses 2-pt shot from 1 ft,,27-32,,
10:20.0,,,27-32,,Defensive rebound by F. Kaminsky
10:09.0,Personal foul by T. Ulis (drawn by F. Kaminsky),,27-32,,
10:09.0,T. Daniels enters the game for M. Chriss,,27-32,,
10:09.0,D. Bender enters the game for D. Reed,,27-32,,
9:56.0,,,27-32,,Turnover by F. Kaminsky (bad pass; steal by S. Harrison)
9:53.0,S. Harrison misses 2-pt shot from 2 ft,,27-32,,
9:51.0,,,27-32,,Defensive rebound by T. Graham
9:51.0,Personal foul by J. Dudley (drawn by M. Monk),,27-32,,
9:51.0,E. Payton enters the game for T. Ulis,,27-32,,
9:43.0,Personal foul by E. Payton (drawn by F. Kaminsky),,27-32,,
9:37.0,,,27-32,,Turnover by J. Lamb (bad pass; steal by J. Dudley)
9:35.0,S. Harrison makes 2-pt shot from 1 ft (assist by T. Daniels),2,29-32,,
9:35.0,,,29-32,,Charlotte full timeout
9:20.0,,,29-32,,F. Kaminsky misses 2-pt shot from 9 ft
9:18.0,Defensive rebound by J. Dudley,,29-32,,
9:09.0,T. Daniels makes 3-pt shot from 25 ft (assist by S. Harrison),3,32-32,,
8:45.0,,,32-35,3,J. Lamb makes 3-pt shot from 23 ft
8:28.0,,,32-35,,K. Walker enters the game for M. Monk
8:28.0,,,32-35,,N. Batum enters the game for J. Lamb
8:27.0,Turnover by Team (turnover),,32-35,,
8:13.0,,,32-35,,N. Batum misses 2-pt shot from 11 ft
8:11.0,Defensive rebound by S. Harrison,,32-35,,
8:04.0,S. Harrison misses 2-pt shot from 2 ft (block by F. Kaminsky),,32-35,,
8:04.0,,,32-35,,Defensive rebound by T. Graham
7:58.0,,,32-37,2,K. Walker makes 2-pt shot from 11 ft (assist by T. Graham)
7:43.0,J. Dudley makes 3-pt shot from 26 ft (assist by T. Daniels),3,35-37,,
7:24.0,,,35-39,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by N. Batum)
7:16.0,T. Daniels misses 3-pt shot from 31 ft,,35-39,,
7:12.0,,,35-39,,Defensive rebound by N. Batum
6:55.0,,,35-41,2,N. Batum makes 2-pt shot at rim (assist by K. Walker)
6:40.0,T. Daniels misses 2-pt shot from 12 ft,,35-41,,
6:38.0,,,35-41,,Defensive rebound by N. Batum
6:33.0,,,35-41,,F. Kaminsky misses 2-pt shot from 1 ft
6:31.0,Defensive rebound by J. Dudley,,35-41,,
6:19.0,D. Bender misses 2-pt shot from 2 ft,,35-41,,
6:18.0,Offensive rebound by E. Payton,,35-41,,
6:18.0,E. Payton misses 2-pt shot at rim,,35-41,,
6:18.0,,,35-41,,Defensive rebound by Team
6:18.0,,,35-41,,M. Williams enters the game for D. Bacon
6:18.0,,,35-41,,M. Kidd-Gilchrist enters the game for T. Graham
6:18.0,,,35-41,,D. Howard enters the game for F. Kaminsky
6:18.0,T. Chandler enters the game for J. Dudley,,35-41,,
6:18.0,M. Chriss enters the game for S. Harrison,,35-41,,
6:04.0,,,35-41,,N. Batum misses 2-pt shot from 11 ft
6:01.0,Defensive rebound by E. Payton,,35-41,,
5:55.0,T. Chandler makes 2-pt shot from 1 ft (assist by E. Payton),2,37-41,,
5:30.0,,,37-41,,M. Kidd-Gilchrist misses 2-pt shot from 13 ft
5:28.0,Defensive rebound by M. Chriss,,37-41,,
5:21.0,E. Payton makes 2-pt shot from 1 ft,2,39-41,,
5:01.0,,,39-41,,Shooting foul by T. Chandler (drawn by D. Howard)
5:01.0,,,39-42,1,D. Howard makes free throw 1 of 2
5:01.0,,,39-43,1,D. Howard makes free throw 2 of 2
4:45.0,Turnover by T. Daniels (bad pass; steal by M. Kidd-Gilchrist),,39-43,,
4:42.0,Jump ball: M. Kidd-Gilchrist vs. E. Payton (T. Chandler gains possession),,,,Jump ball: M. Kidd-Gilchrist vs. E. Payton (T. Chandler gains possession)
4:42.0,,,39-43,,Turnover by M. Kidd-Gilchrist (turnover; steal by E. Payton)
4:30.0,E. Payton misses 2-pt shot from 3 ft,,39-43,,
4:26.0,Offensive rebound by M. Chriss,,39-43,,
4:26.0,M. Chriss misses 2-pt shot from 2 ft (block by D. Howard),,39-43,,
4:26.0,,,39-43,,Defensive rebound by D. Howard
4:26.0,Personal foul by E. Payton (drawn by D. Howard),,39-43,,
4:26.0,,,39-44,1,D. Howard makes free throw 1 of 2
4:26.0,,,39-44,,D. Howard misses free throw 2 of 2
4:24.0,Defensive rebound by M. Chriss,,39-44,,
4:10.0,E. Payton misses 2-pt shot from 4 ft (block by D. Howard),,39-44,,
4:07.0,,,39-44,,Defensive rebound by M. Kidd-Gilchrist
4:02.0,,,39-44,,M. Williams misses 3-pt shot from 22 ft
4:01.0,,,39-44,,Offensive rebound by Team
3:54.0,Jump ball: M. Kidd-Gilchrist vs. D. Bender (D. Howard gains possession),,,,Jump ball: M. Kidd-Gilchrist vs. D. Bender (D. Howard gains possession)
3:54.0,,,39-46,2,D. Howard makes 2-pt shot from 6 ft
3:54.0,Phoenix full timeout,,39-46,,
3:54.0,T. Ulis enters the game for T. Daniels,,39-46,,
3:31.0,Turnover by E. Payton (bad pass; steal by K. Walker),,39-46,,
3:26.0,,,39-46,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by D. Bender)
3:26.0,,,39-46,,Offensive rebound by Team
3:23.0,,,39-49,3,M. Williams makes 3-pt shot from 24 ft (assist by N. Batum)
3:14.0,Shooting foul by K. Walker (drawn by T. Chandler),,39-49,,
3:14.0,T. Chandler makes free throw 1 of 2,1,40-49,,
3:14.0,T. Chandler misses free throw 2 of 2,,40-49,,
3:11.0,,,40-49,,Defensive rebound by M. Williams
3:00.0,,,40-49,,M. Williams misses 3-pt shot from 24 ft
2:56.0,,,40-49,,Offensive rebound by M. Kidd-Gilchrist
2:47.0,,,40-49,,M. Williams misses 3-pt shot from 24 ft
2:42.0,,,40-49,,Offensive rebound by N. Batum
2:37.0,,,40-49,,Turnover by N. Batum (bad pass)
2:37.0,J. Dudley enters the game for E. Payton,,40-49,,
2:37.0,S. Harrison enters the game for D. Bender,,40-49,,
2:24.0,M. Chriss makes 3-pt shot from 25 ft (assist by T. Ulis),3,43-49,,
2:09.0,,,43-52,3,K. Walker makes 3-pt shot from 27 ft (assist by N. Batum)
2:01.0,T. Ulis misses 2-pt shot from 18 ft,,43-52,,
1:57.0,,,43-52,,Defensive rebound by N. Batum
1:49.0,,,43-54,2,N. Batum makes 2-pt shot from 17 ft
1:39.0,S. Harrison makes 2-pt shot from 1 ft (assist by T. Chandler),2,45-54,,
1:23.0,,,45-56,2,N. Batum makes 2-pt shot from 11 ft
1:04.0,T. Ulis makes 2-pt shot from 10 ft,2,47-56,,
0:54.0,Personal foul by S. Harrison (drawn by K. Walker),,47-56,,
0:54.0,,,47-56,,K. Walker misses free throw 1 of 2
0:54.0,,,47-56,,Offensive rebound by Team
0:54.0,T. Daniels enters the game for M. Chriss,,47-56,,
0:54.0,,,47-57,1,K. Walker makes free throw 2 of 2
0:49.0,,,47-57,,Personal foul by D. Howard (drawn by T. Ulis)
0:46.0,T. Ulis makes 2-pt shot from 11 ft (assist by S. Harrison),2,49-57,,
0:37.0,,,49-57,,K. Walker misses 3-pt shot from 25 ft
0:32.0,Defensive rebound by T. Chandler,,49-57,,
0:11.0,S. Harrison makes 2-pt shot from 2 ft,2,51-57,,
0:00.0,,,51-59,2,K. Walker makes 2-pt shot from 2 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,51-59,,K. Walker misses 2-pt shot from 18 ft
11:47.0,Defensive rebound by T. Chandler,,51-59,,
11:34.0,S. Harrison makes 2-pt shot from 2 ft,2,53-59,,
11:19.0,,,53-59,,M. Williams misses 3-pt shot from 28 ft
11:16.0,Defensive rebound by T. Chandler,,53-59,,
11:13.0,Shooting foul by N. Batum (drawn by S. Harrison),,53-59,,
11:13.0,S. Harrison misses free throw 1 of 2,,53-59,,
11:13.0,Offensive rebound by Team,,53-59,,
11:13.0,S. Harrison makes free throw 2 of 2,1,54-59,,
11:01.0,Personal foul by S. Harrison (drawn by N. Batum),,54-59,,
10:50.0,,,54-61,2,D. Howard makes 2-pt shot from 18 ft (assist by M. Williams)
10:30.0,D. Bender makes 2-pt shot from 1 ft,2,56-61,,
10:20.0,Personal foul by S. Harrison (drawn by N. Batum),,56-61,,
10:04.0,,,56-61,,Turnover by K. Walker (lost ball; steal by D. Bender)
9:58.0,E. Payton makes 2-pt shot at rim,2,58-61,,
9:43.0,,,58-64,3,N. Batum makes 3-pt shot from 26 ft (assist by M. Williams)
9:28.0,T. Daniels makes 3-pt shot from 29 ft (assist by E. Payton),3,61-64,,
9:12.0,,,61-66,2,N. Batum makes 2-pt shot from 7 ft
8:57.0,Turnover by S. Harrison (bad pass; steal by M. Williams),,61-66,,
8:51.0,,,61-68,2,M. Williams makes 2-pt shot from 1 ft (assist by N. Batum)
8:24.0,Turnover by D. Bender (lost ball; steal by M. Williams),,61-68,,
8:18.0,,,61-70,2,D. Howard makes 2-pt shot from 12 ft (assist by M. Kidd-Gilchrist)
8:17.0,Phoenix full timeout,,61-70,,
8:17.0,M. Chriss enters the game for S. Harrison,,61-70,,
8:17.0,T. Ulis enters the game for D. Bender,,61-70,,
8:05.0,T. Daniels misses 2-pt shot from 21 ft,,61-70,,
8:01.0,,,61-70,,Defensive rebound by D. Howard
7:49.0,,,61-72,2,M. Williams makes 2-pt shot from 7 ft
7:49.0,,,61-72,,Shooting foul by E. Payton (drawn by M. Williams)
7:49.0,,,61-73,1,M. Williams makes free throw 1 of 1
7:27.0,T. Daniels misses 3-pt shot from 26 ft,,61-73,,
7:26.0,Offensive rebound by Team,,61-73,,
7:26.0,J. Dudley enters the game for E. Payton,,61-73,,
7:21.0,T. Ulis misses 2-pt shot from 12 ft,,61-73,,
7:18.0,,,61-73,,Defensive rebound by D. Howard
7:08.0,Personal foul by J. Dudley (drawn by M. Williams),,61-73,,
6:57.0,Personal foul by M. Chriss (drawn by M. Williams),,61-73,,
6:57.0,,,61-74,1,M. Williams makes free throw 1 of 2
6:57.0,,,61-75,1,M. Williams makes free throw 2 of 2
6:46.0,M. Chriss misses 3-pt shot from 22 ft,,61-75,,
6:43.0,,,61-75,,Defensive rebound by N. Batum
6:29.0,,,61-75,,D. Howard misses 2-pt shot from 22 ft
6:26.0,Defensive rebound by T. Chandler,,61-75,,
6:12.0,T. Daniels makes 2-pt shot from 1 ft (assist by T. Ulis),2,63-75,,
6:02.0,,,63-75,,Shooting foul by J. Dudley (drawn by D. Howard)
6:02.0,,,63-75,,D. Howard misses free throw 1 of 2
6:02.0,,,63-75,,Offensive rebound by Team
6:02.0,,,63-76,1,D. Howard makes free throw 2 of 2
5:52.0,J. Dudley makes 3-pt shot from 23 ft (assist by T. Ulis),3,66-76,,
5:30.0,,,66-78,2,M. Kidd-Gilchrist makes 2-pt shot from 5 ft (assist by D. Howard)
5:09.0,T. Daniels misses 2-pt shot from 1 ft (block by D. Howard),,66-78,,
5:06.0,,,66-78,,Defensive rebound by M. Kidd-Gilchrist
5:02.0,,,66-81,3,N. Batum makes 3-pt shot from 26 ft (assist by M. Kidd-Gilchrist)
4:51.0,T. Ulis misses 2-pt shot from 9 ft,,66-81,,
4:48.0,,,66-81,,Defensive rebound by D. Howard
4:39.0,,,66-83,2,N. Batum makes 2-pt shot from 10 ft
4:39.0,Phoenix full timeout,,66-83,,
4:39.0,A. Len enters the game for T. Chandler,,66-83,,
4:39.0,D. Reed enters the game for T. Daniels,,66-83,,
4:29.0,T. Ulis makes 2-pt shot from 8 ft,2,68-83,,
4:11.0,,,68-86,3,N. Batum makes 3-pt shot from 26 ft
4:11.0,,,68-86,,Shooting foul by D. Reed (drawn by N. Batum)
4:11.0,,,68-87,1,N. Batum makes free throw 1 of 1
4:11.0,,,68-87,,J. Lamb enters the game for M. Kidd-Gilchrist
3:56.0,Turnover by T. Ulis (bad pass; steal by M. Williams),,68-87,,
3:38.0,,,68-87,,Turnover by N. Batum (bad pass; steal by T. Ulis)
3:32.0,M. Chriss misses 2-pt shot from 1 ft,,68-87,,
3:29.0,Offensive rebound by M. Chriss,,68-87,,
3:21.0,M. Chriss makes 2-pt shot from 6 ft (assist by T. Ulis),2,70-87,,
3:21.0,,,70-87,,Violation by D. Howard (def goaltending)
3:03.0,,,70-87,,Shooting foul by A. Len (drawn by D. Howard)
3:03.0,,,70-88,1,D. Howard makes free throw 1 of 2
3:03.0,,,70-89,1,D. Howard makes free throw 2 of 2
3:03.0,,,70-89,,M. Monk enters the game for M. Williams
3:03.0,,,70-89,,F. Kaminsky enters the game for K. Walker
2:44.0,M. Chriss misses 2-pt shot from 5 ft (block by D. Howard),,70-89,,
2:44.0,Offensive rebound by Team,,70-89,,
2:40.0,D. Reed misses 2-pt shot from 21 ft,,70-89,,
2:37.0,,,70-89,,Defensive rebound by Team
2:19.0,,,70-89,,D. Howard misses 2-pt shot from 21 ft
2:17.0,Defensive rebound by J. Dudley,,70-89,,
2:17.0,,,70-89,,Personal foul by F. Kaminsky (drawn by J. Dudley)
1:56.0,D. Reed makes 2-pt shot from 10 ft,2,72-89,,
1:50.0,,,72-89,,Shooting foul by A. Len (drawn by D. Howard)
1:50.0,,,72-89,,D. Howard misses free throw 1 of 2
1:50.0,,,72-89,,Offensive rebound by Team
1:50.0,,,72-89,,D. Howard misses free throw 2 of 2
1:47.0,Defensive rebound by J. Dudley,,72-89,,
1:33.0,J. Dudley misses 3-pt shot from 25 ft,,72-89,,
1:29.0,,,72-89,,Defensive rebound by Team
1:15.0,,,72-89,,J. Lamb misses 3-pt shot from 23 ft
1:10.0,Defensive rebound by M. Chriss,,72-89,,
1:07.0,,,72-89,,Personal foul by M. Monk (drawn by T. Ulis)
1:07.0,D. Bender enters the game for A. Len,,72-89,,
0:45.0,T. Ulis misses 3-pt shot from 24 ft,,72-89,,
0:44.0,,,72-89,,Defensive rebound by F. Kaminsky
0:38.0,,,72-92,3,F. Kaminsky makes 3-pt shot from 26 ft (assist by N. Batum)
0:30.0,T. Ulis misses 2-pt shot from 12 ft,,72-92,,
0:30.0,,,72-92,,Defensive rebound by D. Howard
0:08.0,,,72-94,2,M. Monk makes 2-pt shot from 10 ft
0:01.0,Turnover by T. Ulis (bad pass; steal by J. Lamb),,72-94,,
0:00.0,,,72-94,,J. Lamb misses 3-pt shot from 46 ft
0:00.0,,,72-94,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,J. Dudley makes 3-pt shot from 26 ft (assist by T. Daniels),3,75-94,,
11:30.0,,,75-96,2,F. Kaminsky makes 2-pt shot from 1 ft
11:18.0,,,75-96,,Personal foul by T. Graham (drawn by J. Dudley)
11:15.0,,,75-96,,Violation by F. Kaminsky (kicked ball)
11:11.0,D. Reed makes 3-pt shot from 24 ft (assist by J. Dudley),3,78-96,,
10:55.0,,,78-96,,Shooting foul by D. Bender (drawn by F. Kaminsky)
10:55.0,,,78-97,1,F. Kaminsky makes free throw 1 of 2
10:55.0,,,78-98,1,F. Kaminsky makes free throw 2 of 2
10:44.0,Shooting foul by T. Graham (drawn by D. Reed),,78-98,,
10:44.0,D. Reed makes free throw 1 of 2,1,79-98,,
10:44.0,D. Reed makes free throw 2 of 2,1,80-98,,
10:30.0,,,80-98,,Shooting foul by J. Dudley (drawn by F. Kaminsky)
10:30.0,,,80-99,1,F. Kaminsky makes free throw 1 of 2
10:30.0,,,80-100,1,F. Kaminsky makes free throw 2 of 2
10:21.0,D. Bender makes 3-pt shot from 25 ft (assist by J. Dudley),3,83-100,,
10:19.0,,,83-100,,Charlotte full timeout
10:11.0,,,83-100,,Offensive foul by F. Kaminsky (drawn by T. Ulis)
10:11.0,,,83-100,,Turnover by F. Kaminsky (offensive foul)
10:03.0,D. Bender makes 3-pt shot from 25 ft (assist by T. Ulis),3,86-100,,
9:42.0,,,86-102,2,F. Kaminsky makes 2-pt shot from 9 ft
9:27.0,D. Bender misses 3-pt shot from 24 ft,,86-102,,
9:27.0,Offensive rebound by T. Daniels,,86-102,,
9:26.0,,,86-102,,Personal foul by T. Graham (drawn by T. Daniels)
9:26.0,,,86-102,,D. Howard enters the game for F. Kaminsky
9:26.0,,,86-102,,M. Williams enters the game for T. Graham
9:21.0,Shooting foul by D. Howard (drawn by D. Bender),,86-102,,
9:21.0,D. Bender makes free throw 1 of 2,1,87-102,,
9:21.0,D. Bender makes free throw 2 of 2,1,88-102,,
9:10.0,,,88-102,,K. Walker misses 2-pt shot from 11 ft
9:09.0,Defensive rebound by T. Ulis,,88-102,,
8:52.0,Shooting foul by M. Williams (drawn by D. Bender),,88-102,,
8:52.0,D. Bender makes free throw 1 of 2,1,89-102,,
8:52.0,D. Bender misses free throw 2 of 2,,89-102,,
8:49.0,,,89-102,,Defensive rebound by M. Williams
8:39.0,,,89-104,2,D. Howard makes 2-pt shot from 2 ft (assist by K. Walker)
8:39.0,,,89-104,,Shooting foul by J. Dudley (drawn by D. Howard)
8:39.0,,,89-105,1,D. Howard makes free throw 1 of 1
8:28.0,T. Daniels makes 3-pt shot from 26 ft (assist by T. Ulis),3,92-105,,
8:10.0,,,92-105,,M. Williams misses 3-pt shot from 25 ft
8:10.0,Defensive rebound by Team,,92-105,,
8:10.0,,,92-105,,Loose ball foul by D. Howard (drawn by J. Dudley)
8:10.0,J. Dudley makes free throw 1 of 2,1,93-105,,
8:10.0,J. Dudley misses free throw 2 of 2,,93-105,,
8:07.0,,,93-105,,Defensive rebound by M. Williams
7:47.0,,,93-105,,M. Monk misses 3-pt shot from 22 ft
7:43.0,Defensive rebound by T. Daniels,,93-105,,
7:40.0,D. Reed makes 3-pt shot from 25 ft (assist by J. Dudley),3,96-105,,
7:20.0,Personal foul by T. Ulis (drawn by D. Howard),,96-105,,
7:20.0,,,96-105,,N. Batum enters the game for M. Monk
7:16.0,,,96-107,2,J. Lamb makes 2-pt shot from 19 ft
6:49.0,D. Reed makes 3-pt shot from 24 ft (assist by T. Ulis),3,99-107,,
6:34.0,,,99-109,2,N. Batum makes 2-pt shot from 17 ft
6:23.0,D. Bender makes 3-pt shot from 25 ft,3,102-109,,
6:08.0,Personal foul by D. Reed (drawn by D. Howard),,102-109,,
6:08.0,,,102-109,,D. Howard misses free throw 1 of 2
6:08.0,,,102-109,,Offensive rebound by Team
6:08.0,,,102-109,,M. Kidd-Gilchrist enters the game for J. Lamb
6:08.0,E. Payton enters the game for T. Ulis,,102-109,,
6:08.0,,,102-110,1,D. Howard makes free throw 2 of 2
5:55.0,,,102-110,,Personal foul by M. Williams (drawn by D. Bender)
5:55.0,D. Bender makes free throw 1 of 2,1,103-110,,
5:55.0,,,103-110,,F. Kaminsky enters the game for M. Williams
5:55.0,D. Bender makes free throw 2 of 2,1,104-110,,
5:42.0,,,104-112,2,D. Howard makes 2-pt shot from 1 ft (assist by K. Walker)
5:29.0,Turnover by D. Bender (traveling),,104-112,,
5:17.0,,,104-112,,K. Walker misses 2-pt shot from 8 ft
5:14.0,Defensive rebound by D. Bender,,104-112,,
5:06.0,D. Bender misses 3-pt shot from 26 ft,,104-112,,
5:02.0,,,104-112,,Defensive rebound by N. Batum
4:51.0,,,104-112,,K. Walker misses 3-pt shot from 25 ft
4:47.0,Defensive rebound by D. Reed,,104-112,,
4:40.0,E. Payton makes 2-pt shot from 1 ft,2,106-112,,
