time,Denver,pts.away,score,pts.home,Cleveland
8:57.0,Turnover by D. Harris (bad pass; steal by J. Clarkson),,45-38,,
8:53.0,,,45-40,2,J. Clarkson makes 2-pt shot at rim
8:53.0,,,45-40,,Shooting foul by D. Harris (drawn by J. Clarkson)
8:53.0,Denver full timeout,,45-40,,
8:53.0,,,45-41,1,J. Clarkson makes free throw 1 of 1
8:29.0,M. Beasley misses 2-pt shot from 15 ft,,45-41,,
8:26.0,,,45-41,,Defensive rebound by J. Clarkson
8:22.0,,,45-41,,R. Hood misses 3-pt shot from 26 ft
8:16.0,,,45-41,,Offensive rebound by L. Nance
8:11.0,,,45-43,2,L. Nance makes 2-pt shot from 1 ft (assist by C. Osman)
7:49.0,W. Barton makes 2-pt shot from 5 ft,2,47-43,,
7:49.0,Shooting foul by L. Nance (drawn by W. Barton),,47-43,,
7:49.0,W. Barton makes free throw 1 of 1,1,48-43,,
7:31.0,,,48-45,2,L. Nance makes 2-pt shot from 16 ft
7:19.0,D. Harris makes 3-pt shot from 26 ft (assist by R. Jefferson),3,51-45,,
7:05.0,,,51-45,,J. Clarkson misses 3-pt shot from 27 ft
7:03.0,Defensive rebound by R. Jefferson,,51-45,,
6:46.0,M. Beasley makes 3-pt shot from 23 ft (assist by W. Barton),3,54-45,,
6:44.0,,,54-45,,Cleveland full timeout
6:44.0,,,54-45,,J. Smith enters the game for K. Korver
6:44.0,,,54-45,,L. James enters the game for C. Osman
6:44.0,P. Millsap enters the game for R. Jefferson,,54-45,,
6:44.0,G. Harris enters the game for M. Plumlee,,54-45,,
6:44.0,N. Jokic enters the game for M. Beasley,,54-45,,
6:22.0,,,54-45,,R. Hood misses 2-pt shot from 11 ft
6:16.0,,,54-45,,Offensive rebound by R. Hood
6:16.0,,,54-45,,R. Hood misses 2-pt shot at rim
6:12.0,,,54-45,,Offensive rebound by L. Nance
6:12.0,,,54-47,2,L. Nance makes 2-pt shot at rim
5:59.0,,,54-47,,Personal foul by L. Nance (drawn by N. Jokic)
5:59.0,,,54-47,,G. Hill enters the game for J. Clarkson
5:59.0,W. Chandler enters the game for D. Harris,,54-47,,
5:53.0,Shooting foul by L. James (drawn by G. Harris),,54-47,,
5:53.0,G. Harris makes free throw 1 of 2,1,55-47,,
5:53.0,G. Harris makes free throw 2 of 2,1,56-47,,
5:41.0,,,56-47,,Shooting foul by N. Jokic (drawn by L. James)
5:41.0,,,56-47,,L. James misses free throw 1 of 2
5:41.0,,,56-47,,Offensive rebound by Team
5:41.0,,,56-47,,T. Thompson enters the game for L. Nance
5:41.0,J. Murray enters the game for W. Barton,,56-47,,
5:41.0,,,56-47,,L. James misses free throw 2 of 2
5:38.0,Defensive rebound by W. Chandler,,56-47,,
5:28.0,Shooting foul by L. James (drawn by P. Millsap),,56-47,,
5:28.0,P. Millsap makes free throw 1 of 2,1,57-47,,
5:28.0,,,57-47,,J. Clarkson enters the game for R. Hood
5:28.0,P. Millsap makes free throw 2 of 2,1,58-47,,
5:15.0,,,58-49,2,J. Clarkson makes 2-pt shot from 1 ft (assist by L. James)
4:58.0,G. Harris makes 2-pt shot from 9 ft (assist by N. Jokic),2,60-49,,
4:52.0,,,60-49,,Shooting foul by G. Harris (drawn by G. Hill)
4:52.0,,,60-50,1,G. Hill makes free throw 1 of 2
4:52.0,,,60-51,1,G. Hill makes free throw 2 of 2
4:33.0,Offensive foul by W. Chandler (drawn by J. Smith),,60-51,,
4:33.0,Turnover by W. Chandler (offensive foul),,60-51,,
4:33.0,W. Barton enters the game for W. Chandler,,60-51,,
4:18.0,,,60-51,,J. Clarkson misses 2-pt shot from 20 ft
4:16.0,Defensive rebound by J. Murray,,60-51,,
3:53.0,J. Murray makes 2-pt shot at rim,2,62-51,,
3:43.0,,,62-54,3,L. James makes 3-pt shot from 25 ft (assist by J. Smith)
3:28.0,P. Millsap misses 2-pt shot from 16 ft,,62-54,,
3:25.0,,,62-54,,Defensive rebound by J. Smith
3:23.0,,,62-54,,Shooting foul by W. Barton (drawn by L. James)
3:23.0,,,62-54,,L. James misses free throw 1 of 2
3:23.0,,,62-54,,Offensive rebound by Team
3:23.0,,,62-55,1,L. James makes free throw 2 of 2
3:11.0,G. Harris misses 2-pt shot from 15 ft,,62-55,,
3:08.0,,,62-55,,Defensive rebound by J. Smith
3:04.0,,,62-55,,L. James misses 3-pt shot from 26 ft
3:00.0,Defensive rebound by W. Barton,,62-55,,
2:40.0,W. Barton misses 3-pt shot from 29 ft,,62-55,,
2:39.0,Offensive rebound by Team,,62-55,,
2:39.0,,,62-55,,Loose ball foul by J. Clarkson (drawn by N. Jokic)
2:39.0,N. Jokic misses free throw 1 of 2,,62-55,,
2:39.0,Offensive rebound by Team,,62-55,,
2:39.0,N. Jokic makes free throw 2 of 2,1,63-55,,
2:26.0,,,63-57,2,T. Thompson makes 2-pt shot from 6 ft (assist by L. James)
2:11.0,P. Millsap makes 2-pt shot from 15 ft,2,65-57,,
1:55.0,,,65-57,,T. Thompson misses 2-pt shot at rim
1:52.0,Defensive rebound by W. Barton,,65-57,,
1:50.0,G. Harris makes 3-pt shot from 23 ft (assist by W. Barton),3,68-57,,
1:50.0,,,68-57,,Cleveland full timeout
1:27.0,,,68-57,,G. Hill misses 2-pt shot from 1 ft (block by P. Millsap)
1:24.0,Defensive rebound by P. Millsap,,68-57,,
1:19.0,G. Harris makes 3-pt shot from 23 ft (assist by W. Barton),3,71-57,,
1:03.0,,,71-59,2,L. James makes 2-pt shot from 1 ft (assist by J. Smith)
0:42.0,J. Murray misses 2-pt shot from 15 ft,,71-59,,
0:40.0,,,71-59,,Defensive rebound by L. James
0:37.0,,,71-61,2,L. James makes 2-pt shot at rim
0:37.0,,,71-61,,Shooting foul by P. Millsap (drawn by L. James)
0:37.0,,,71-62,1,L. James makes free throw 1 of 1
0:20.0,G. Harris misses 2-pt shot from 1 ft,,71-62,,
0:14.0,Offensive rebound by W. Barton,,71-62,,
0:14.0,W. Barton makes 2-pt shot at rim,2,73-62,,
0:00.0,,,73-62,,L. James misses 2-pt shot from 20 ft
0:00.0,,,73-62,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,73-64,2,J. Smith makes 2-pt shot from 1 ft
11:45.0,Violation by P. Millsap (def goaltending),,73-64,,
11:20.0,N. Jokic makes 2-pt shot from 21 ft,2,75-64,,
11:05.0,,,75-67,3,J. Smith makes 3-pt shot from 25 ft (assist by L. James)
10:40.0,N. Jokic makes 3-pt shot from 25 ft (assist by W. Chandler),3,78-67,,
10:24.0,,,78-70,3,C. Osman makes 3-pt shot from 22 ft (assist by G. Hill)
10:11.0,,,78-70,,Personal foul by G. Hill (drawn by J. Murray)
9:59.0,P. Millsap misses 3-pt shot from 27 ft,,78-70,,
9:55.0,,,78-70,,Defensive rebound by C. Osman
9:43.0,,,78-70,,Turnover by G. Hill (out of bounds lost ball)
9:21.0,W. Chandler makes 3-pt shot from 26 ft (assist by P. Millsap),3,81-70,,
9:03.0,,,81-70,,Turnover by L. James (bad pass; steal by J. Murray)
8:45.0,G. Harris misses 3-pt shot from 23 ft,,81-70,,
8:43.0,,,81-70,,Defensive rebound by C. Osman
8:34.0,,,81-72,2,J. Smith makes 2-pt shot from 12 ft
8:15.0,P. Millsap misses 2-pt shot from 15 ft,,81-72,,
8:13.0,,,81-72,,Defensive rebound by T. Thompson
8:06.0,,,81-72,,L. James misses 3-pt shot from 24 ft
8:05.0,Defensive rebound by Team,,81-72,,
8:05.0,,,81-72,,Loose ball foul by C. Osman (drawn by W. Chandler)
7:48.0,N. Jokic misses 2-pt shot from 10 ft,,81-72,,
7:46.0,,,81-72,,Defensive rebound by L. James
7:42.0,,,81-72,,L. James misses 2-pt shot from 1 ft
7:42.0,,,81-72,,Offensive rebound by T. Thompson
7:42.0,,,81-74,2,T. Thompson makes 2-pt shot from 1 ft
7:42.0,,,81-74,,Shooting foul by J. Murray (drawn by T. Thompson)
7:42.0,,,81-74,,T. Thompson misses free throw 1 of 1
7:40.0,Defensive rebound by P. Millsap,,81-74,,
7:26.0,Turnover by W. Chandler (traveling),,81-74,,
7:12.0,,,81-74,,L. James misses 2-pt shot from 1 ft (block by W. Chandler)
7:07.0,Defensive rebound by N. Jokic,,81-74,,
7:07.0,G. Harris makes 2-pt shot from 1 ft (assist by N. Jokic),2,83-74,,
6:56.0,,,83-76,2,J. Smith makes 2-pt shot from 14 ft
6:46.0,W. Chandler misses 3-pt shot from 24 ft,,83-76,,
6:42.0,,,83-76,,Defensive rebound by G. Hill
6:38.0,,,83-78,2,T. Thompson makes 2-pt shot from 1 ft (assist by L. James)
6:38.0,Denver full timeout,,83-78,,
6:21.0,J. Murray makes 3-pt shot from 23 ft (assist by P. Millsap),3,86-78,,
6:09.0,,,86-78,,L. James misses 2-pt shot at rim
6:07.0,Defensive rebound by W. Chandler,,86-78,,
6:07.0,J. Murray makes technical free throw,1,87-78,,
5:49.0,P. Millsap makes 2-pt shot from 1 ft (assist by J. Murray),2,89-78,,
5:38.0,,,89-80,2,G. Hill makes 2-pt shot at rim
5:27.0,W. Chandler makes 3-pt shot from 23 ft (assist by J. Murray),3,92-80,,
5:16.0,,,92-82,2,T. Thompson makes 2-pt shot from 6 ft (assist by L. James)
5:01.0,,,92-82,,Personal foul by T. Thompson (drawn by N. Jokic)
5:01.0,W. Barton enters the game for P. Millsap,,92-82,,
