time,Minnesota,pts.away,score,pts.home,San Antonio
5:38.0,Offensive rebound by K. Towns,,63-72,,
5:38.0,Shooting foul by D. Green (drawn by K. Towns),,63-72,,
5:38.0,K. Towns makes free throw 1 of 2,1,64-72,,
5:38.0,K. Towns misses free throw 2 of 2,,64-72,,
5:35.0,,,64-72,,Defensive rebound by L. Aldridge
5:20.0,Personal foul by K. Towns (drawn by L. Aldridge),,64-72,,
5:20.0,,,64-72,,B. Forbes enters the game for D. Green
5:20.0,T. Jones enters the game for J. Teague,,64-72,,
5:20.0,J. Crawford enters the game for N. Bjelica,,64-72,,
5:06.0,,,64-72,,T. Parker misses 3-pt shot from 22 ft
5:03.0,,,64-72,,Offensive rebound by P. Gasol
4:59.0,,,64-74,2,M. Ginobili makes 2-pt shot from 1 ft (assist by P. Gasol)
4:44.0,A. Wiggins misses 2-pt shot from 1 ft,,64-74,,
4:40.0,Offensive rebound by A. Wiggins,,64-74,,
4:38.0,T. Jones makes 3-pt shot from 26 ft (assist by A. Wiggins),3,67-74,,
4:24.0,,,67-76,2,T. Parker makes 2-pt shot at rim
4:09.0,Turnover by K. Towns (lost ball; steal by M. Ginobili),,67-76,,
4:07.0,Shooting block foul by A. Wiggins (drawn by L. Aldridge),,67-76,,
4:07.0,,,67-77,1,L. Aldridge makes free throw 1 of 2
4:07.0,,,67-78,1,L. Aldridge makes free throw 2 of 2
3:52.0,K. Towns misses 2-pt shot from 7 ft,,67-78,,
3:47.0,Offensive rebound by K. Towns,,67-78,,
3:43.0,T. Gibson makes 2-pt shot at rim (assist by A. Wiggins),2,69-78,,
3:16.0,,,69-78,,P. Gasol misses 2-pt shot from 14 ft
3:08.0,,,69-78,,Offensive rebound by L. Aldridge
3:08.0,,,69-80,2,L. Aldridge makes 2-pt shot at rim
2:57.0,K. Towns makes 3-pt shot from 25 ft (assist by T. Jones),3,72-80,,
2:40.0,,,72-82,2,M. Ginobili makes 2-pt shot at rim (assist by B. Forbes)
2:23.0,A. Wiggins misses 2-pt shot from 5 ft,,72-82,,
2:20.0,,,72-82,,Defensive rebound by P. Gasol
2:18.0,,,72-84,2,B. Forbes makes 2-pt shot from 1 ft (assist by T. Parker)
2:18.0,Minnesota full timeout,,72-84,,
2:18.0,,,72-84,,R. Gay enters the game for L. Aldridge
2:18.0,G. Dieng enters the game for K. Towns,,72-84,,
2:01.0,T. Jones makes 2-pt shot from 16 ft,2,74-84,,
1:44.0,,,74-84,,B. Forbes misses 2-pt shot from 14 ft
1:42.0,Defensive rebound by T. Jones,,74-84,,
1:28.0,J. Crawford makes 2-pt shot from 5 ft,2,76-84,,
1:13.0,,,76-86,2,M. Ginobili makes 2-pt shot from 1 ft (assist by P. Gasol)
1:13.0,Violation by G. Dieng (def goaltending),,76-86,,
0:59.0,Shooting foul by R. Gay (drawn by A. Wiggins),,76-86,,
0:59.0,A. Wiggins makes free throw 1 of 2,1,77-86,,
0:59.0,A. Wiggins makes free throw 2 of 2,1,78-86,,
0:40.0,,,78-88,2,R. Gay makes 2-pt shot from 14 ft
0:36.0,Offensive foul by T. Jones (drawn by M. Ginobili),,78-88,,
0:36.0,Turnover by T. Jones (offensive foul),,78-88,,
0:28.0,,,78-88,,T. Parker misses 2-pt shot from 2 ft (block by T. Jones)
0:28.0,Defensive rebound by Team,,78-88,,
0:10.0,T. Jones makes 3-pt shot from 25 ft (assist by A. Wiggins),3,81-88,,
0:06.0,Personal foul by T. Jones (drawn by T. Parker),,81-88,,
0:06.0,,,81-88,,P. Mills enters the game for T. Parker
0:06.0,D. Rose enters the game for T. Jones,,81-88,,
0:01.0,,,81-90,2,P. Gasol makes 2-pt shot at rim
0:00.0,D. Rose misses 3-pt shot from 64 ft,,81-90,,
0:00.0,Offensive rebound by Team,,81-90,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,81-90,,R. Gay misses 2-pt shot from 11 ft
11:38.0,Defensive rebound by K. Towns,,81-90,,
11:21.0,Turnover by K. Towns (bad pass),,81-90,,
11:21.0,,,81-90,,D. Murray enters the game for T. Parker
11:10.0,Personal foul by N. Bjelica (drawn by M. Ginobili),,81-90,,
11:10.0,,,81-90,,D. Green enters the game for M. Ginobili
11:04.0,,,81-92,2,D. Murray makes 2-pt shot from 13 ft
10:49.0,K. Towns makes 3-pt shot from 25 ft (assist by T. Jones),3,84-92,,
10:29.0,,,84-92,,R. Gay misses 2-pt shot from 2 ft
10:21.0,Defensive rebound by K. Towns,,84-92,,
10:20.0,D. Rose makes 2-pt shot from 1 ft,2,86-92,,
10:19.0,,,86-92,,San Antonio full timeout
10:19.0,,,86-92,,P. Mills enters the game for B. Forbes
10:07.0,,,86-92,,D. Murray misses 2-pt shot from 2 ft (block by K. Towns)
10:07.0,,,86-92,,Offensive rebound by Team
10:00.0,,,86-94,2,P. Mills makes 2-pt shot from 1 ft (assist by P. Gasol)
9:49.0,D. Rose makes 2-pt shot from 13 ft,2,88-94,,
9:36.0,,,88-94,,R. Gay misses 2-pt shot from 21 ft
9:34.0,,,88-94,,Offensive rebound by P. Gasol
9:28.0,,,88-96,2,R. Gay makes 2-pt shot from 5 ft
9:13.0,Turnover by K. Towns (bad pass; steal by R. Gay),,88-96,,
9:07.0,,,88-98,2,R. Gay makes 2-pt shot at rim (assist by D. Green)
8:50.0,,,88-98,,Personal foul by P. Mills (drawn by T. Jones)
8:50.0,,,88-98,,L. Aldridge enters the game for P. Gasol
8:50.0,J. Teague enters the game for T. Jones,,88-98,,
8:43.0,D. Rose makes 2-pt shot from 4 ft,2,90-98,,
8:33.0,,,90-98,,Turnover by D. Murray (bad pass; steal by D. Rose)
8:28.0,Shooting foul by L. Aldridge (drawn by K. Towns),,90-98,,
8:28.0,K. Towns makes free throw 1 of 2,1,91-98,,
8:28.0,,,91-98,,T. Parker enters the game for D. Murray
8:28.0,K. Towns makes free throw 2 of 2,1,92-98,,
8:13.0,Personal foul by N. Bjelica (drawn by R. Gay),,92-98,,
8:02.0,,,92-98,,R. Gay misses 2-pt shot from 5 ft
8:00.0,Defensive rebound by Team,,92-98,,
7:50.0,D. Rose misses 2-pt shot from 7 ft (block by R. Gay),,92-98,,
7:43.0,Offensive rebound by J. Crawford,,92-98,,
7:42.0,J. Crawford misses 3-pt shot from 25 ft,,92-98,,
7:39.0,,,92-98,,Defensive rebound by P. Mills
7:34.0,,,92-100,2,L. Aldridge makes 2-pt shot from 11 ft
7:10.0,J. Teague misses 2-pt shot from 2 ft (block by R. Gay),,92-100,,
7:06.0,,,92-100,,Defensive rebound by R. Gay
7:04.0,,,92-102,2,L. Aldridge makes 2-pt shot at rim (assist by P. Mills)
6:46.0,D. Rose misses 2-pt shot from 21 ft,,92-102,,
6:42.0,,,92-102,,Defensive rebound by D. Green
6:27.0,,,92-105,3,D. Green makes 3-pt shot from 26 ft (assist by P. Mills)
6:24.0,Minnesota full timeout,,92-105,,
6:24.0,A. Wiggins enters the game for D. Rose,,92-105,,
6:12.0,K. Towns misses 2-pt shot from 6 ft,,92-105,,
6:09.0,,,92-105,,Defensive rebound by L. Aldridge
5:56.0,,,92-107,2,R. Gay makes 2-pt shot from 2 ft
5:44.0,A. Wiggins makes 2-pt shot from 1 ft,2,94-107,,
5:44.0,Shooting foul by L. Aldridge (drawn by A. Wiggins),,94-107,,
5:44.0,T. Gibson enters the game for J. Crawford,,94-107,,
5:44.0,A. Wiggins makes free throw 1 of 1,1,95-107,,
5:31.0,,,95-107,,P. Mills misses 3-pt shot from 25 ft
5:21.0,,,95-107,,Offensive rebound by L. Aldridge
5:21.0,,,95-107,,L. Aldridge misses 2-pt shot at rim
5:21.0,,,95-107,,Offensive rebound by L. Aldridge
5:17.0,,,95-109,2,L. Aldridge makes 2-pt shot at rim
5:10.0,A. Wiggins misses 2-pt shot from 3 ft (block by R. Gay),,95-109,,
5:10.0,,,95-109,,Defensive rebound by L. Aldridge
5:03.0,,,95-112,3,D. Green makes 3-pt shot from 25 ft (assist by P. Mills)
4:49.0,,,95-112,,Personal foul by T. Parker (drawn by J. Teague)
4:45.0,Shooting foul by D. Green (drawn by A. Wiggins),,95-112,,
4:45.0,A. Wiggins misses free throw 1 of 2,,95-112,,
4:45.0,Offensive rebound by Team,,95-112,,
4:45.0,A. Wiggins makes free throw 2 of 2,1,96-112,,
4:27.0,,,96-112,,P. Mills misses 3-pt shot from 25 ft
4:21.0,,,96-112,,Offensive rebound by R. Gay
4:03.0,,,96-112,,D. Green misses 3-pt shot from 24 ft
4:01.0,Defensive rebound by K. Towns,,96-112,,
3:53.0,Shooting foul by D. Green (drawn by J. Teague),,96-112,,
3:53.0,J. Teague makes free throw 1 of 2,1,97-112,,
3:53.0,,,97-112,,San Antonio full timeout
3:53.0,J. Teague misses free throw 2 of 2,,97-112,,
3:50.0,,,97-112,,Defensive rebound by L. Aldridge
3:39.0,,,97-112,,T. Parker misses 2-pt shot from 13 ft
3:36.0,Defensive rebound by K. Towns,,97-112,,
3:30.0,J. Teague misses 2-pt shot from 9 ft,,97-112,,
3:28.0,,,97-112,,Defensive rebound by R. Gay
3:19.0,,,97-114,2,L. Aldridge makes 2-pt shot from 16 ft (assist by T. Parker)
3:01.0,T. Gibson misses 2-pt shot from 8 ft,,97-114,,
2:59.0,,,97-114,,Defensive rebound by D. Green
2:50.0,,,97-114,,R. Gay misses 3-pt shot from 22 ft
2:47.0,,,97-114,,Offensive rebound by P. Mills
2:44.0,,,97-114,,D. Green misses 3-pt shot from 24 ft
2:44.0,Defensive rebound by T. Gibson,,97-114,,
2:31.0,A. Wiggins makes 2-pt shot from 14 ft,2,99-114,,
2:06.0,,,99-114,,D. Green misses 2-pt shot from 17 ft
2:03.0,,,99-114,,Offensive rebound by D. Green
2:01.0,,,99-114,,P. Mills misses 3-pt shot from 26 ft
2:01.0,Defensive rebound by Team,,99-114,,
2:00.0,G. Dieng enters the game for J. Teague,,99-114,,
2:00.0,T. Jones enters the game for A. Wiggins,,99-114,,
2:00.0,D. Rose enters the game for K. Towns,,99-114,,
1:49.0,G. Dieng makes 2-pt shot from 20 ft (assist by D. Rose),2,101-114,,
1:30.0,,,101-114,,Shooting foul by G. Dieng (drawn by L. Aldridge)
1:30.0,,,101-114,,L. Aldridge misses free throw 1 of 2
1:30.0,,,101-114,,Offensive rebound by Team
