time,Washington,pts.away,score,pts.home,Philadelphia
4:45.0,,,7-20,,Defensive rebound by T. McConnell
4:39.0,,,7-20,,T. McConnell misses 2-pt shot from 4 ft
4:37.0,,,7-20,,Offensive rebound by A. Johnson
4:37.0,,,7-22,2,A. Johnson makes 2-pt shot from 2 ft
4:37.0,Washington full timeout,,7-22,,
4:37.0,I. Mahinmi enters the game for M. Gortat,,7-22,,
4:37.0,K. Oubre enters the game for T. Satoransky,,7-22,,
4:35.0,Turnover by I. Mahinmi (bad pass),,7-22,,
4:23.0,,,7-22,,R. Covington misses 2-pt shot from 12 ft
4:15.0,,,7-22,,Offensive rebound by D. Saric
4:15.0,,,7-24,2,D. Saric makes 2-pt shot at rim
4:00.0,M. Morris misses 2-pt shot from 10 ft,,7-24,,
3:56.0,,,7-24,,Defensive rebound by R. Covington
3:49.0,,,7-26,2,A. Johnson makes 2-pt shot from 4 ft (assist by R. Covington)
3:29.0,O. Porter makes 2-pt shot from 5 ft,2,9-26,,
3:21.0,,,9-28,2,B. Simmons makes 2-pt shot from 2 ft
3:21.0,,,9-28,,Shooting foul by I. Mahinmi (drawn by B. Simmons)
3:21.0,,,9-28,,J. Bayless enters the game for A. Johnson
3:21.0,,,9-28,,J. Embiid enters the game for D. Saric
3:21.0,,,9-28,,T. Booker enters the game for R. Covington
3:21.0,M. Scott enters the game for M. Morris,,9-28,,
3:21.0,,,9-28,,B. Simmons misses free throw 1 of 1
3:20.0,,,9-28,,Offensive rebound by Team
3:20.0,,,9-28,,J. Redick enters the game for B. Simmons
3:09.0,,,9-30,2,T. McConnell makes 2-pt shot from 10 ft
2:45.0,M. Scott misses 2-pt shot from 14 ft,,9-30,,
2:43.0,Offensive rebound by O. Porter,,9-30,,
2:43.0,O. Porter makes 2-pt shot from 9 ft,2,11-30,,
2:43.0,Shooting foul by T. Booker (drawn by O. Porter),,11-30,,
2:43.0,O. Porter makes free throw 1 of 1,1,12-30,,
2:28.0,,,12-30,,J. Embiid misses 2-pt shot from 4 ft
2:26.0,Defensive rebound by B. Beal,,12-30,,
2:19.0,B. Beal misses 2-pt shot from 9 ft,,12-30,,
2:14.0,Offensive rebound by O. Porter,,12-30,,
2:09.0,M. Scott misses 2-pt shot from 14 ft,,12-30,,
2:06.0,,,12-30,,Defensive rebound by J. Embiid
1:59.0,,,12-32,2,J. Redick makes 2-pt shot from 17 ft (assist by J. Bayless)
1:43.0,K. Oubre makes 2-pt shot from 4 ft (assist by M. Scott),2,14-32,,
1:31.0,,,14-35,3,T. McConnell makes 3-pt shot from 25 ft (assist by T. Booker)
1:13.0,O. Porter makes 2-pt shot from 17 ft (assist by B. Beal),2,16-35,,
1:00.0,,,16-37,2,J. Bayless makes 2-pt shot at rim (assist by T. McConnell)
0:49.0,Shooting foul by T. McConnell (drawn by I. Mahinmi),,16-37,,
0:49.0,I. Mahinmi makes free throw 1 of 2,1,17-37,,
0:49.0,T. Frazier enters the game for O. Porter,,17-37,,
0:49.0,I. Mahinmi makes free throw 2 of 2,1,18-37,,
0:35.0,,,18-37,,Turnover by J. Embiid (lost ball; steal by K. Oubre)
0:35.0,,,18-37,,Personal foul by T. McConnell (drawn by T. Frazier)
0:35.0,T. Frazier misses free throw 1 of 2,,18-37,,
0:35.0,Offensive rebound by Team,,18-37,,
0:35.0,T. Frazier misses free throw 2 of 2,,18-37,,
0:33.0,,,18-37,,Defensive rebound by T. Booker
0:28.0,,,18-37,,Turnover by J. Redick (bad pass)
0:07.0,K. Oubre makes 2-pt shot at rim (assist by B. Beal),2,20-37,,
0:01.0,,,20-37,,Turnover by T. McConnell (traveling)
0:00.0,I. Mahinmi misses 3-pt shot from 52 ft,,20-37,,
0:00.0,Offensive rebound by Team,,20-37,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by T. Frazier),2,22-37,,
11:37.0,,,22-39,2,J. Embiid makes 2-pt shot from 18 ft (assist by J. Bayless)
11:25.0,Shooting foul by J. Embiid (drawn by I. Mahinmi),,22-39,,
11:25.0,I. Mahinmi makes free throw 1 of 2,1,23-39,,
11:25.0,I. Mahinmi makes free throw 2 of 2,1,24-39,,
11:03.0,,,24-39,,T. Booker misses 2-pt shot from 8 ft
11:00.0,Defensive rebound by M. Scott,,24-39,,
10:49.0,J. Meeks misses 3-pt shot from 25 ft,,24-39,,
10:45.0,Offensive rebound by M. Scott,,24-39,,
10:43.0,M. Scott misses 2-pt shot from 12 ft,,24-39,,
10:40.0,,,24-39,,Defensive rebound by J. Embiid
10:28.0,,,24-39,,J. Embiid misses 2-pt shot from 15 ft
10:26.0,Defensive rebound by T. Frazier,,24-39,,
10:24.0,T. Frazier makes 2-pt shot from 16 ft,2,26-39,,
10:22.0,,,26-39,,Philadelphia full timeout
10:22.0,,,26-39,,D. Saric enters the game for J. Bayless
10:22.0,,,26-39,,R. Covington enters the game for T. Booker
10:08.0,,,26-41,2,D. Saric makes 2-pt shot from 2 ft (assist by T. McConnell)
9:58.0,Turnover by J. Meeks (bad pass; steal by T. McConnell),,26-41,,
9:51.0,,,26-44,3,R. Covington makes 3-pt shot from 23 ft (assist by J. Redick)
9:31.0,K. Oubre misses 2-pt shot from 5 ft (block by J. Embiid),,26-44,,
9:31.0,Offensive rebound by Team,,26-44,,
9:26.0,K. Oubre misses 2-pt shot from 18 ft,,26-44,,
9:23.0,,,26-44,,Defensive rebound by T. McConnell
9:10.0,,,26-46,2,J. Redick makes 2-pt shot from 17 ft
9:09.0,Washington full timeout,,26-46,,
8:58.0,J. Meeks misses 3-pt shot from 23 ft,,26-46,,
8:55.0,,,26-46,,Defensive rebound by D. Saric
8:44.0,,,26-46,,B. Simmons enters the game for T. McConnell
8:35.0,,,26-48,2,J. Embiid makes 2-pt shot from 14 ft (assist by J. Redick)
8:16.0,I. Mahinmi makes 2-pt shot at rim (assist by J. Meeks),2,28-48,,
8:05.0,,,28-50,2,B. Simmons makes 2-pt shot from 1 ft
7:44.0,M. Scott makes 2-pt shot from 18 ft,2,30-50,,
7:35.0,,,30-50,,R. Covington misses 3-pt shot from 26 ft
7:32.0,Defensive rebound by I. Mahinmi,,30-50,,
7:26.0,J. Meeks misses 2-pt shot from 5 ft,,30-50,,
7:23.0,Offensive rebound by I. Mahinmi,,30-50,,
7:21.0,I. Mahinmi makes 2-pt shot from 2 ft,2,32-50,,
7:15.0,Personal foul by M. Scott (drawn by R. Covington),,32-50,,
7:15.0,,,32-50,,A. Johnson enters the game for J. Embiid
7:15.0,O. Porter enters the game for J. Meeks,,32-50,,
7:15.0,,,32-50,,J. Bayless enters the game for J. Redick
7:07.0,,,32-52,2,D. Saric makes 2-pt shot from 18 ft
6:51.0,O. Porter makes 2-pt shot from 17 ft (assist by T. Frazier),2,34-52,,
6:37.0,,,34-52,,J. Bayless misses 2-pt shot from 8 ft
6:37.0,Defensive rebound by O. Porter,,34-52,,
6:30.0,O. Porter makes 2-pt shot from 15 ft,2,36-52,,
6:13.0,,,36-52,,D. Saric misses 2-pt shot from 19 ft
6:13.0,Defensive rebound by I. Mahinmi,,36-52,,
5:58.0,K. Oubre misses 3-pt shot from 25 ft,,36-52,,
5:54.0,Offensive rebound by T. Frazier,,36-52,,
5:50.0,O. Porter misses 2-pt shot from 21 ft,,36-52,,
5:46.0,,,36-52,,Defensive rebound by B. Simmons
5:39.0,,,36-52,,B. Simmons misses 2-pt shot from 6 ft
5:39.0,Defensive rebound by Team,,36-52,,
5:39.0,M. Morris enters the game for T. Frazier,,36-52,,
5:39.0,B. Beal enters the game for I. Mahinmi,,36-52,,
5:21.0,M. Scott misses 2-pt shot from 6 ft,,36-52,,
5:18.0,,,36-52,,Defensive rebound by R. Covington
5:13.0,,,36-52,,Turnover by D. Saric (lost ball; steal by K. Oubre)
5:08.0,M. Morris misses 2-pt shot from 6 ft (block by B. Simmons),,36-52,,
5:08.0,Offensive rebound by Team,,36-52,,
5:00.0,O. Porter misses 2-pt shot from 15 ft,,36-52,,
4:56.0,,,36-52,,Defensive rebound by D. Saric
4:49.0,,,36-52,,Turnover by B. Simmons (bad pass; steal by M. Scott)
4:46.0,M. Scott makes 2-pt shot at rim,2,38-52,,
4:46.0,,,38-52,,Philadelphia full timeout
4:29.0,,,38-52,,Turnover by B. Simmons (lost ball; steal by K. Oubre)
4:19.0,B. Beal makes 2-pt shot from 22 ft,2,40-52,,
4:11.0,,,40-52,,R. Covington misses 3-pt shot from 27 ft
4:08.0,Defensive rebound by M. Scott,,40-52,,
4:02.0,B. Beal makes 2-pt shot from 1 ft,2,42-52,,
3:50.0,,,42-52,,Shooting foul by K. Oubre (drawn by B. Simmons)
3:50.0,,,42-53,1,B. Simmons makes free throw 1 of 2
3:50.0,,,42-53,,J. Anderson enters the game for J. Bayless
3:50.0,,,42-53,,J. Embiid enters the game for A. Johnson
3:50.0,,,42-54,1,B. Simmons makes free throw 2 of 2
3:50.0,,,42-54,,J. Redick enters the game for R. Covington
3:37.0,Turnover by B. Beal (bad pass; steal by J. Anderson),,42-54,,
3:32.0,,,42-56,2,J. Anderson makes 2-pt shot from 1 ft
3:24.0,B. Beal misses 3-pt shot from 24 ft,,42-56,,
3:22.0,Offensive rebound by O. Porter,,42-56,,
3:22.0,O. Porter makes 2-pt shot at rim,2,44-56,,
3:05.0,,,44-58,2,D. Saric makes 2-pt shot from 1 ft (assist by J. Embiid)
2:45.0,K. Oubre misses 3-pt shot from 28 ft,,44-58,,
2:44.0,Offensive rebound by Team,,44-58,,
2:44.0,,,44-58,,Loose ball foul by J. Redick (drawn by O. Porter)
2:44.0,T. Satoransky enters the game for M. Scott,,44-58,,
2:33.0,M. Morris makes 2-pt shot from 13 ft (assist by T. Satoransky),2,46-58,,
2:09.0,Personal foul by M. Morris (drawn by J. Embiid),,46-58,,
2:01.0,,,46-60,2,J. Embiid makes 2-pt shot from 12 ft (assist by J. Redick)
2:01.0,,,46-60,,Shooting foul by M. Morris (drawn by J. Embiid)
2:01.0,M. Gortat enters the game for M. Morris,,46-60,,
2:01.0,,,46-61,1,J. Embiid makes free throw 1 of 1
1:50.0,Technical foul by M. Morris,,46-61,,
1:50.0,,,46-62,1,J. Redick makes technical free throw
1:38.0,B. Beal makes 2-pt shot from 14 ft,2,48-62,,
1:30.0,,,48-62,,Turnover by B. Simmons (bad pass; steal by B. Beal)
1:25.0,B. Beal makes 3-pt shot from 24 ft,3,51-62,,
1:10.0,,,51-65,3,J. Anderson makes 3-pt shot from 26 ft (assist by J. Embiid)
0:53.0,K. Oubre makes 2-pt shot at rim (assist by B. Beal),2,53-65,,
0:35.0,,,53-65,,J. Redick misses 2-pt shot from 16 ft
0:32.0,,,53-65,,Offensive rebound by B. Simmons
0:30.0,,,53-65,,Turnover by B. Simmons (bad pass)
0:11.0,T. Satoransky misses 3-pt shot from 24 ft,,53-65,,
0:09.0,Offensive rebound by B. Beal,,53-65,,
0:09.0,B. Beal makes 2-pt shot from 2 ft,2,55-65,,
0:01.0,,,55-65,,J. Embiid misses 3-pt shot from 26 ft
0:01.0,,,55-65,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,M. Morris makes 2-pt shot from 10 ft (assist by T. Satoransky),2,57-65,,
11:27.0,,,57-67,2,B. Simmons makes 2-pt shot from 8 ft (assist by J. Redick)
11:11.0,O. Porter misses 2-pt shot from 11 ft,,57-67,,
11:08.0,,,57-67,,Defensive rebound by R. Covington
10:58.0,,,57-69,2,B. Simmons makes 2-pt shot from 4 ft
10:38.0,M. Gortat makes 2-pt shot from 18 ft (assist by B. Beal),2,59-69,,
10:17.0,,,59-69,,J. Embiid misses 3-pt shot from 28 ft
10:14.0,,,59-69,,Offensive rebound by B. Simmons
10:12.0,,,59-71,2,B. Simmons makes 2-pt shot at rim
9:48.0,M. Gortat misses 2-pt shot from 17 ft,,59-71,,
9:46.0,,,59-71,,Defensive rebound by B. Simmons
9:26.0,,,59-74,3,J. Redick makes 3-pt shot from 27 ft (assist by D. Saric)
9:26.0,,,59-74,,Shooting foul by O. Porter (drawn by J. Redick)
9:26.0,,,59-75,1,J. Redick makes free throw 1 of 1
9:10.0,B. Beal misses 3-pt shot from 26 ft,,59-75,,
9:07.0,,,59-75,,Defensive rebound by J. Embiid
8:54.0,,,59-78,3,J. Embiid makes 3-pt shot from 28 ft (assist by J. Redick)
8:53.0,Washington full timeout,,59-78,,
8:36.0,M. Morris misses 2-pt shot from 17 ft,,59-78,,
8:34.0,Offensive rebound by M. Gortat,,59-78,,
8:32.0,B. Beal makes 3-pt shot from 25 ft (assist by M. Gortat),3,62-78,,
8:19.0,Personal foul by M. Gortat (drawn by J. Redick),,62-78,,
8:11.0,,,62-78,,D. Saric misses 3-pt shot from 26 ft
8:07.0,Defensive rebound by T. Satoransky,,62-78,,
8:03.0,T. Satoransky makes 2-pt shot from 10 ft,2,64-78,,
7:45.0,,,64-78,,Turnover by R. Covington (bad pass; steal by T. Satoransky)
7:24.0,M. Gortat makes 2-pt shot from 1 ft (assist by O. Porter),2,66-78,,
7:07.0,,,66-78,,Turnover by R. Covington (bad pass; steal by T. Satoransky)
7:01.0,T. Satoransky makes 2-pt shot from 2 ft (assist by M. Morris),2,68-78,,
6:37.0,,,68-78,,Turnover by D. Saric (lost ball; steal by M. Morris)
6:32.0,O. Porter misses 2-pt shot from 15 ft,,68-78,,
6:29.0,,,68-78,,Defensive rebound by J. Redick
6:10.0,,,68-80,2,J. Embiid makes 2-pt shot from 11 ft
5:41.0,T. Satoransky misses 2-pt shot from 10 ft,,68-80,,
5:35.0,Offensive rebound by M. Morris,,68-80,,
5:32.0,M. Morris misses 2-pt shot at rim,,68-80,,
5:32.0,Offensive rebound by M. Morris,,68-80,,
5:29.0,B. Beal makes 3-pt shot from 27 ft (assist by M. Gortat),3,71-80,,
5:21.0,,,71-80,,J. Embiid misses 3-pt shot from 26 ft
5:17.0,Defensive rebound by O. Porter,,71-80,,
5:13.0,B. Beal misses 2-pt shot from 4 ft,,71-80,,
5:11.0,,,71-80,,Defensive rebound by J. Embiid
5:04.0,,,71-83,3,R. Covington makes 3-pt shot from 25 ft (assist by B. Simmons)
4:45.0,Shooting foul by J. Embiid (drawn by T. Satoransky),,71-83,,
4:45.0,T. Satoransky makes free throw 1 of 2,1,72-83,,
4:45.0,,,72-83,,A. Johnson enters the game for J. Redick
4:45.0,,,72-83,,T. McConnell enters the game for J. Embiid
4:45.0,T. Satoransky makes free throw 2 of 2,1,73-83,,
4:32.0,,,73-85,2,A. Johnson makes 2-pt shot from 9 ft
4:06.0,Turnover by O. Porter (lost ball; steal by R. Covington),,73-85,,
4:01.0,,,73-87,2,R. Covington makes 2-pt shot at rim (assist by B. Simmons)
4:01.0,Washington full timeout,,73-87,,
4:01.0,K. Oubre enters the game for M. Gortat,,73-87,,
3:47.0,M. Morris misses 2-pt shot from 8 ft,,73-87,,
3:45.0,,,73-87,,Defensive rebound by T. McConnell
3:37.0,,,73-87,,R. Covington misses 3-pt shot from 26 ft
3:35.0,Defensive rebound by K. Oubre,,73-87,,
3:28.0,B. Beal makes 3-pt shot from 27 ft (assist by M. Morris),3,76-87,,
3:00.0,,,76-87,,T. McConnell misses 2-pt shot from 2 ft
2:56.0,,,76-87,,Offensive rebound by A. Johnson
2:55.0,,,76-87,,R. Covington misses 3-pt shot from 28 ft
2:52.0,,,76-87,,Offensive rebound by T. McConnell
2:48.0,,,76-87,,Shooting foul by T. Satoransky (drawn by D. Saric)
2:48.0,,,76-88,1,D. Saric makes free throw 1 of 2
2:48.0,,,76-88,,J. Redick enters the game for B. Simmons
2:48.0,,,76-88,,J. Bayless enters the game for R. Covington
2:48.0,,,76-89,1,D. Saric makes free throw 2 of 2
2:32.0,M. Morris makes 2-pt shot from 1 ft (assist by T. Satoransky),2,78-89,,
2:08.0,,,78-89,,Turnover by J. Bayless (bad pass; steal by M. Morris)
2:02.0,K. Oubre makes 2-pt shot from 2 ft (assist by M. Morris),2,80-89,,
1:47.0,,,80-89,,J. Redick misses 2-pt shot from 20 ft
1:44.0,Defensive rebound by B. Beal,,80-89,,
1:32.0,K. Oubre misses 3-pt shot from 23 ft,,80-89,,
1:30.0,,,80-89,,Defensive rebound by T. McConnell
1:16.0,,,80-89,,Turnover by J. Redick (lost ball; steal by M. Morris)
1:08.0,B. Beal makes 2-pt shot from 16 ft,2,82-89,,
0:51.0,,,82-92,3,D. Saric makes 3-pt shot from 27 ft (assist by A. Johnson)
0:31.0,O. Porter makes 2-pt shot from 1 ft (assist by M. Morris),2,84-92,,
0:31.0,,,84-92,,Philadelphia full timeout
0:31.0,,,84-92,,J. Embiid enters the game for A. Johnson
0:31.0,,,84-92,,T. Booker enters the game for D. Saric
0:31.0,I. Mahinmi enters the game for M. Morris,,84-92,,
0:17.0,Personal foul by I. Mahinmi (drawn by J. Embiid),,84-92,,
0:07.0,,,84-94,2,J. Embiid makes 2-pt shot at rim
0:02.0,Turnover by T. Satoransky (lost ball; steal by T. Booker),,84-94,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,84-97,3,J. Redick makes 3-pt shot from 23 ft (assist by T. McConnell)
11:21.0,Washington full timeout,,84-97,,
11:19.0,B. Beal misses 3-pt shot from 24 ft (block by J. Embiid),,84-97,,
11:17.0,Offensive rebound by Team,,84-97,,
11:07.0,Turnover by Team (shot clock),,84-97,,
11:04.0,Personal foul by I. Mahinmi (drawn by J. Embiid),,84-97,,
11:02.0,Personal foul by K. Oubre (drawn by J. Embiid),,84-97,,
10:50.0,,,84-97,,J. Embiid misses 2-pt shot from 15 ft
10:50.0,Defensive rebound by T. Frazier,,84-97,,
10:27.0,K. Oubre misses 3-pt shot from 27 ft,,84-97,,
10:27.0,,,84-97,,Defensive rebound by J. Embiid
10:16.0,,,84-100,3,J. Embiid makes 3-pt shot from 26 ft (assist by J. Redick)
10:02.0,Turnover by K. Oubre (step out of bounds),,84-100,,
9:46.0,,,84-100,,J. Embiid misses 3-pt shot from 25 ft
9:42.0,Defensive rebound by T. Frazier,,84-100,,
9:38.0,B. Beal misses 3-pt shot from 27 ft,,84-100,,
9:35.0,Offensive rebound by B. Beal,,84-100,,
9:35.0,B. Beal makes 2-pt shot from 1 ft,2,86-100,,
9:25.0,,,86-102,2,T. McConnell makes 2-pt shot from 9 ft
9:04.0,K. Oubre misses 3-pt shot from 26 ft,,86-102,,
9:01.0,Offensive rebound by I. Mahinmi,,86-102,,
9:01.0,I. Mahinmi misses 2-pt shot at rim,,86-102,,
9:01.0,,,86-102,,Defensive rebound by J. Embiid
9:01.0,Personal foul by I. Mahinmi (drawn by J. Embiid),,86-102,,
9:01.0,,,86-102,,B. Simmons enters the game for J. Redick
9:01.0,,,86-102,,A. Johnson enters the game for J. Embiid
8:47.0,,,86-102,,J. Anderson misses 3-pt shot from 26 ft
8:42.0,Defensive rebound by M. Scott,,86-102,,
8:40.0,,,86-102,,Personal foul by T. McConnell (drawn by B. Beal)
8:40.0,,,86-102,,R. Covington enters the game for J. Anderson
8:40.0,,,86-102,,D. Saric enters the game for T. Booker
8:34.0,M. Scott makes 3-pt shot from 25 ft (assist by T. Frazier),3,89-102,,
8:07.0,,,89-102,,A. Johnson misses 2-pt shot from 8 ft
8:04.0,,,89-102,,Offensive rebound by D. Saric
8:03.0,,,89-102,,D. Saric misses 2-pt shot from 9 ft
8:03.0,,,89-102,,Offensive rebound by B. Simmons
8:01.0,,,89-102,,B. Simmons misses 2-pt shot from 6 ft
8:01.0,Defensive rebound by K. Oubre,,89-102,,
7:44.0,B. Beal makes 2-pt shot from 13 ft,2,91-102,,
7:44.0,,,91-102,,Philadelphia full timeout
7:26.0,,,91-102,,R. Covington misses 2-pt shot from 2 ft
7:23.0,Defensive rebound by B. Beal,,91-102,,
7:15.0,K. Oubre misses 3-pt shot from 25 ft,,91-102,,
7:11.0,,,91-102,,Defensive rebound by A. Johnson
6:56.0,,,91-102,,Turnover by R. Covington (bad pass; steal by T. Frazier)
6:53.0,Shooting foul by R. Covington (drawn by M. Scott),,91-102,,
6:53.0,,,91-102,,Philadelphia full timeout
6:53.0,,,91-102,,J. Anderson enters the game for R. Covington
6:53.0,M. Scott makes free throw 1 of 2,1,92-102,,
6:53.0,M. Scott misses free throw 2 of 2,,92-102,,
6:51.0,Offensive rebound by K. Oubre,,92-102,,
6:35.0,B. Beal misses 3-pt shot from 23 ft,,92-102,,
6:33.0,,,92-102,,Defensive rebound by J. Anderson
6:22.0,Personal foul by K. Oubre (drawn by B. Simmons),,92-102,,
6:22.0,,,92-102,,R. Covington enters the game for J. Anderson
6:18.0,,,92-102,,D. Saric misses 3-pt shot from 27 ft
6:14.0,Defensive rebound by K. Oubre,,92-102,,
5:55.0,M. Scott misses 2-pt shot from 18 ft,,92-102,,
5:55.0,Offensive rebound by Team,,92-102,,
5:55.0,,,92-102,,Loose ball foul by B. Simmons (drawn by I. Mahinmi)
5:47.0,T. Frazier misses 2-pt shot from 21 ft,,92-102,,
5:45.0,,,92-102,,Defensive rebound by D. Saric
5:40.0,,,92-104,2,R. Covington makes 2-pt shot from 2 ft (assist by B. Simmons)
5:24.0,Turnover by B. Beal (bad pass; steal by B. Simmons),,92-104,,
5:19.0,,,92-104,,D. Saric misses 2-pt shot from 2 ft
5:16.0,,,92-104,,Offensive rebound by A. Johnson
5:14.0,,,92-104,,R. Covington misses 3-pt shot from 22 ft
5:14.0,Defensive rebound by B. Beal,,92-104,,
5:03.0,I. Mahinmi makes 2-pt shot from 6 ft (assist by B. Beal),2,94-104,,
5:03.0,Shooting foul by D. Saric (drawn by I. Mahinmi),,94-104,,
5:03.0,,,94-104,,J. Embiid enters the game for A. Johnson
5:03.0,O. Porter enters the game for T. Frazier,,94-104,,
5:03.0,I. Mahinmi makes free throw 1 of 1,1,95-104,,
4:40.0,,,95-104,,T. McConnell misses 2-pt shot from 5 ft
4:36.0,Defensive rebound by O. Porter,,95-104,,
4:26.0,,,95-104,,J. Redick enters the game for T. McConnell
4:19.0,Shooting foul by D. Saric (drawn by B. Beal),,95-104,,
4:19.0,B. Beal makes free throw 1 of 2,1,96-104,,
4:19.0,B. Beal misses free throw 2 of 2,,96-104,,
4:17.0,,,96-104,,Defensive rebound by J. Embiid
4:03.0,,,96-104,,Philadelphia full timeout
3:59.0,,,96-104,,Shooting foul by B. Beal (drawn by J. Embiid)
3:59.0,,,96-104,,J. Embiid misses free throw 1 of 2
3:59.0,,,96-104,,Offensive rebound by Team
3:59.0,,,96-105,1,J. Embiid makes free throw 2 of 2
3:42.0,I. Mahinmi misses 2-pt shot from 4 ft,,96-105,,
3:39.0,,,96-105,,Defensive rebound by J. Embiid
3:22.0,,,96-105,,J. Embiid misses 2-pt shot from 9 ft
3:20.0,,,96-105,,Offensive rebound by R. Covington
3:19.0,,,96-107,2,R. Covington makes 2-pt shot from 2 ft
2:56.0,B. Beal makes 3-pt shot from 26 ft,3,99-107,,
2:34.0,,,99-110,3,J. Redick makes 3-pt shot from 25 ft (assist by J. Embiid)
2:13.0,M. Scott misses 3-pt shot from 26 ft,,99-110,,
2:10.0,,,99-110,,Defensive rebound by J. Embiid
1:47.0,,,99-110,,Shooting foul by O. Porter (drawn by J. Embiid)
1:47.0,,,99-111,1,J. Embiid makes free throw 1 of 2
1:47.0,,,99-112,1,J. Embiid makes free throw 2 of 2
1:27.0,K. Oubre misses 2-pt shot from 5 ft,,99-112,,
1:24.0,,,99-112,,Defensive rebound by J. Embiid
1:10.0,,,99-114,2,J. Embiid makes 2-pt shot from 1 ft (assist by B. Simmons)
1:05.0,Shooting foul by J. Redick (drawn by K. Oubre),,99-114,,
