time,Golden State,pts.away,score,pts.home,Oklahoma City
9:35.0,K. Thompson makes 2-pt shot from 11 ft (assist by D. Green),2,32-28,,
9:18.0,,,32-28,,R. Felton misses 2-pt shot from 20 ft
9:16.0,Defensive rebound by D. Green,,32-28,,
9:08.0,K. Thompson makes 2-pt shot from 19 ft (assist by D. Green),2,34-28,,
8:54.0,,,34-28,,P. George misses 2-pt shot from 5 ft (block by J. Bell)
8:51.0,,,34-28,,Offensive rebound by P. George
8:45.0,,,34-28,,P. Patterson misses 3-pt shot from 23 ft
8:43.0,,,34-28,,Offensive rebound by P. George
8:34.0,,,34-28,,P. George misses 2-pt shot at rim
8:33.0,,,34-28,,Offensive rebound by P. George
8:33.0,,,34-30,2,P. George makes 2-pt shot at rim
8:33.0,,,34-30,,Shooting foul by D. West (drawn by P. George)
8:33.0,,,34-30,,C. Brewer enters the game for R. Felton
8:33.0,,,34-31,1,P. George makes free throw 1 of 1
8:15.0,N. Young makes 3-pt shot from 22 ft (assist by D. West),3,37-31,,
7:53.0,,,37-31,,P. George misses 2-pt shot from 5 ft
7:51.0,,,37-31,,Offensive rebound by Team
7:51.0,,,37-31,,S. Adams enters the game for P. Patterson
7:51.0,Q. Cook enters the game for D. Green,,37-31,,
7:47.0,,,37-31,,R. Westbrook misses 2-pt shot from 16 ft
7:44.0,Defensive rebound by D. West,,37-31,,
7:36.0,K. Thompson misses 2-pt shot from 16 ft,,37-31,,
7:33.0,,,37-31,,Defensive rebound by R. Westbrook
7:30.0,,,37-31,,Shooting foul by Q. Cook (drawn by R. Westbrook)
7:30.0,,,37-32,1,R. Westbrook makes free throw 1 of 2
7:30.0,,,37-32,,C. Anthony enters the game for J. Grant
7:30.0,,,37-32,,J. Huestis enters the game for P. George
7:30.0,D. Jones enters the game for J. Bell,,37-32,,
7:30.0,,,37-33,1,R. Westbrook makes free throw 2 of 2
7:15.0,N. Young misses 2-pt shot from 13 ft,,37-33,,
7:10.0,,,37-33,,Defensive rebound by C. Anthony
7:06.0,,,37-35,2,R. Westbrook makes 2-pt shot from 1 ft
6:50.0,,,37-35,,Personal foul by J. Huestis (drawn by N. Young)
6:42.0,K. Thompson makes 2-pt shot from 23 ft (assist by D. West),2,39-35,,
6:26.0,,,39-35,,C. Anthony misses 3-pt shot from 24 ft
6:20.0,Defensive rebound by K. Thompson,,39-35,,
6:18.0,N. Young makes 3-pt shot from 22 ft (assist by D. West),3,42-35,,
6:09.0,,,42-35,,R. Westbrook misses 3-pt shot from 25 ft
6:06.0,,,42-35,,Offensive rebound by R. Westbrook
6:00.0,,,42-35,,J. Huestis misses 2-pt shot at rim (block by D. Jones)
5:56.0,,,42-35,,Offensive rebound by C. Brewer
5:55.0,,,42-35,,C. Brewer misses 3-pt shot from 23 ft
5:51.0,Defensive rebound by D. Jones,,42-35,,
5:51.0,Turnover by K. Thompson (bad pass),,42-35,,
5:31.0,,,42-37,2,S. Adams makes 2-pt shot from 5 ft (assist by R. Westbrook)
5:20.0,Golden State full timeout,,42-37,,
5:20.0,K. Durant enters the game for N. Young,,42-37,,
5:07.0,Shooting foul by C. Brewer (drawn by D. Jones),,42-37,,
5:07.0,D. Jones misses free throw 1 of 2,,42-37,,
5:07.0,Offensive rebound by Team,,42-37,,
5:07.0,,,42-37,,A. Abrines enters the game for C. Brewer
5:07.0,,,42-37,,P. George enters the game for J. Huestis
5:07.0,D. Green enters the game for D. West,,42-37,,
5:07.0,D. Jones misses free throw 2 of 2,,42-37,,
5:05.0,,,42-37,,Defensive rebound by R. Westbrook
4:47.0,,,42-37,,Turnover by R. Westbrook (bad pass; steal by D. Green)
4:44.0,Shooting foul by C. Anthony (drawn by D. Green),,42-37,,
4:44.0,D. Green makes free throw 1 of 2,1,43-37,,
4:44.0,D. Green makes free throw 2 of 2,1,44-37,,
4:27.0,,,44-40,3,A. Abrines makes 3-pt shot from 25 ft (assist by C. Anthony)
4:14.0,Offensive foul by D. Jones (drawn by P. George),,44-40,,
4:14.0,Turnover by D. Jones (offensive foul),,44-40,,
4:05.0,Violation by K. Thompson (kicked ball),,44-40,,
3:57.0,,,44-40,,S. Adams misses 2-pt shot from 2 ft
3:56.0,,,44-40,,Offensive rebound by S. Adams
3:56.0,,,44-40,,Shooting foul by D. Jones (drawn by S. Adams)
3:56.0,,,44-40,,S. Adams misses free throw 1 of 2
3:56.0,,,44-40,,Offensive rebound by Team
3:56.0,,,44-40,,S. Adams misses free throw 2 of 2
3:54.0,Defensive rebound by K. Durant,,44-40,,
3:48.0,K. Durant makes 2-pt shot from 16 ft,2,46-40,,
3:33.0,,,46-40,,R. Westbrook misses 2-pt shot from 6 ft
3:32.0,,,46-40,,Offensive rebound by R. Westbrook
3:31.0,,,46-40,,R. Westbrook misses 2-pt shot from 1 ft
3:29.0,Defensive rebound by K. Thompson,,46-40,,
3:26.0,,,46-40,,Personal foul by R. Westbrook (drawn by K. Durant)
3:17.0,K. Thompson makes 2-pt shot from 11 ft (assist by Q. Cook),2,48-40,,
3:02.0,,,48-40,,Oklahoma City full timeout
2:53.0,,,48-42,2,R. Westbrook makes 2-pt shot from 11 ft
2:40.0,D. Jones makes 2-pt shot at rim (assist by D. Green),2,50-42,,
2:28.0,,,50-42,,C. Anthony misses 3-pt shot from 24 ft
2:27.0,,,50-42,,Offensive rebound by S. Adams
2:27.0,,,50-42,,S. Adams misses 2-pt shot at rim
2:26.0,Defensive rebound by K. Durant,,50-42,,
2:17.0,K. Durant misses 3-pt shot from 25 ft,,50-42,,
2:13.0,,,50-42,,Defensive rebound by P. George
2:07.0,,,50-42,,P. George misses 3-pt shot from 22 ft
2:05.0,Defensive rebound by K. Durant,,50-42,,
1:53.0,K. Thompson misses 2-pt shot from 1 ft,,50-42,,
1:52.0,,,50-42,,Defensive rebound by P. George
1:44.0,,,50-45,3,R. Westbrook makes 3-pt shot from 24 ft (assist by P. George)
1:25.0,K. Durant makes 2-pt shot from 8 ft,2,52-45,,
1:16.0,,,52-45,,Shooting foul by Q. Cook (drawn by R. Westbrook)
1:16.0,,,52-46,1,R. Westbrook makes free throw 1 of 2
1:16.0,,,52-47,1,R. Westbrook makes free throw 2 of 2
1:03.0,K. Durant makes 2-pt shot from 2 ft,2,54-47,,
0:54.0,,,54-47,,A. Abrines misses 3-pt shot from 26 ft
0:51.0,Defensive rebound by K. Durant,,54-47,,
0:40.0,Shooting foul by C. Anthony (drawn by K. Durant),,54-47,,
0:40.0,K. Durant makes free throw 1 of 3,1,55-47,,
0:40.0,K. Durant makes free throw 2 of 3,1,56-47,,
0:40.0,K. Durant makes free throw 3 of 3,1,57-47,,
0:40.0,N. Young enters the game for K. Thompson,,57-47,,
0:32.0,,,57-47,,Offensive foul by S. Adams (drawn by D. Jones)
0:32.0,,,57-47,,Turnover by S. Adams (offensive foul)
0:32.0,,,57-47,,J. Huestis enters the game for S. Adams
0:32.0,,,57-47,,J. Grant enters the game for P. George
0:32.0,K. Thompson enters the game for D. Jones,,57-47,,
0:21.0,Q. Cook misses 3-pt shot from 22 ft,,57-47,,
0:18.0,,,57-47,,Defensive rebound by J. Grant
0:02.0,,,57-47,,Turnover by R. Westbrook (bad pass; steal by K. Thompson)
0:00.0,K. Thompson misses 3-pt shot from 27 ft,,57-47,,
0:00.0,Offensive rebound by Team,,57-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,D. Green misses 3-pt shot from 23 ft,,57-47,,
11:39.0,,,57-47,,Defensive rebound by S. Adams
11:22.0,,,57-47,,R. Westbrook misses 2-pt shot from 14 ft
11:19.0,,,57-47,,Offensive rebound by R. Westbrook
11:17.0,,,57-50,3,C. Brewer makes 3-pt shot from 23 ft (assist by C. Anthony)
11:10.0,K. Thompson makes 3-pt shot from 24 ft (assist by K. Durant),3,60-50,,
10:44.0,,,60-50,,S. Adams misses 2-pt shot from 2 ft
10:44.0,,,60-50,,Offensive rebound by Team
10:44.0,,,60-50,,Turnover by S. Adams (traveling)
10:28.0,K. Durant misses 3-pt shot from 25 ft,,60-50,,
10:26.0,,,60-50,,Defensive rebound by R. Westbrook
10:26.0,Personal foul by D. Green (drawn by R. Westbrook),,60-50,,
10:09.0,,,60-52,2,C. Brewer makes 2-pt shot at rim
9:55.0,Q. Cook makes 3-pt shot from 25 ft (assist by K. Thompson),3,63-52,,
9:43.0,,,63-52,,P. George misses 2-pt shot from 11 ft
9:38.0,,,63-52,,Offensive rebound by S. Adams
9:37.0,,,63-52,,P. George misses 2-pt shot from 14 ft
9:34.0,,,63-52,,Offensive rebound by S. Adams
9:34.0,,,63-52,,Turnover by S. Adams (traveling)
9:34.0,,,63-52,,Technical foul by S. Adams
9:34.0,K. Durant makes technical free throw,1,64-52,,
9:23.0,K. Durant misses 2-pt shot from 12 ft,,64-52,,
9:21.0,,,64-52,,Defensive rebound by C. Anthony
9:13.0,,,64-54,2,C. Anthony makes 2-pt shot from 23 ft
8:52.0,K. Thompson makes 2-pt shot from 16 ft (assist by Z. Pachulia),2,66-54,,
8:39.0,,,66-54,,C. Anthony misses 3-pt shot from 26 ft
8:37.0,Defensive rebound by K. Durant,,66-54,,
8:32.0,K. Thompson misses 3-pt shot from 25 ft,,66-54,,
8:30.0,,,66-54,,Defensive rebound by S. Adams
8:24.0,,,66-54,,R. Westbrook misses 2-pt shot from 14 ft
8:21.0,,,66-54,,Offensive rebound by C. Anthony
8:21.0,,,66-54,,Shooting foul by D. Green (drawn by C. Anthony)
8:21.0,,,66-55,1,C. Anthony makes free throw 1 of 2
8:21.0,,,66-56,1,C. Anthony makes free throw 2 of 2
8:08.0,Shooting foul by C. Anthony (drawn by D. Green),,66-56,,
8:08.0,D. Green misses free throw 1 of 2,,66-56,,
8:08.0,Offensive rebound by Team,,66-56,,
8:08.0,,,66-56,,Oklahoma City full timeout
8:08.0,D. Green makes free throw 2 of 2,1,67-56,,
7:54.0,,,67-56,,Shooting foul by Z. Pachulia (drawn by C. Anthony)
7:54.0,,,67-57,1,C. Anthony makes free throw 1 of 2
7:54.0,,,67-58,1,C. Anthony makes free throw 2 of 2
7:41.0,K. Thompson misses 2-pt shot from 13 ft,,67-58,,
7:39.0,,,67-58,,Defensive rebound by C. Brewer
7:31.0,,,67-60,2,R. Westbrook makes 2-pt shot from 1 ft
7:19.0,K. Durant misses 3-pt shot from 24 ft,,67-60,,
7:17.0,,,67-60,,Defensive rebound by R. Westbrook
7:11.0,,,67-62,2,R. Westbrook makes 2-pt shot at rim
7:10.0,Golden State full timeout,,67-62,,
7:10.0,J. McGee enters the game for Z. Pachulia,,67-62,,
7:00.0,Turnover by K. Thompson (bad pass; steal by C. Brewer),,67-62,,
6:44.0,Personal block foul by J. McGee (drawn by P. George),,67-62,,
6:37.0,,,67-62,,Turnover by S. Adams (lost ball; steal by D. Green)
6:32.0,K. Thompson misses 3-pt shot from 23 ft,,67-62,,
6:27.0,,,67-62,,Defensive rebound by C. Brewer
6:24.0,,,67-64,2,C. Brewer makes 2-pt shot from 1 ft
6:11.0,K. Durant misses 3-pt shot from 25 ft,,67-64,,
6:08.0,Offensive rebound by Q. Cook,,67-64,,
6:06.0,K. Thompson makes 2-pt shot from 22 ft (assist by Q. Cook),2,69-64,,
5:48.0,,,69-66,2,R. Westbrook makes 2-pt shot at rim
5:48.0,Violation by J. McGee (def goaltending),,69-66,,
5:35.0,Turnover by K. Thompson (bad pass; steal by C. Brewer),,69-66,,
5:31.0,,,69-66,,C. Brewer misses 2-pt shot from 2 ft (block by K. Durant)
5:29.0,,,69-66,,Offensive rebound by C. Anthony
5:27.0,,,69-66,,C. Anthony misses 3-pt shot from 25 ft
5:27.0,Defensive rebound by K. Durant,,69-66,,
5:21.0,J. McGee makes 2-pt shot at rim (assist by D. Green),2,71-66,,
5:07.0,,,71-68,2,R. Westbrook makes 2-pt shot from 10 ft
4:52.0,K. Durant misses 3-pt shot from 24 ft,,71-68,,
4:49.0,,,71-68,,Defensive rebound by P. George
4:44.0,,,71-68,,P. George misses 2-pt shot from 3 ft
4:43.0,,,71-68,,Offensive rebound by C. Anthony
4:42.0,,,71-70,2,C. Anthony makes 2-pt shot from 1 ft
4:31.0,Q. Cook makes 3-pt shot from 25 ft (assist by K. Durant),3,74-70,,
4:15.0,,,74-72,2,C. Anthony makes 2-pt shot from 20 ft (assist by R. Westbrook)
4:02.0,K. Durant misses 2-pt shot from 15 ft,,74-72,,
3:59.0,,,74-72,,Defensive rebound by R. Westbrook
3:58.0,,,74-72,,Turnover by R. Westbrook (bad pass; steal by K. Durant)
3:55.0,K. Thompson makes 2-pt shot from 19 ft (assist by K. Durant),2,76-72,,
3:42.0,,,76-72,,Shooting foul by K. Thompson (drawn by R. Westbrook)
3:42.0,,,76-73,1,R. Westbrook makes free throw 1 of 2
3:42.0,,,76-73,,A. Abrines enters the game for C. Brewer
3:42.0,,,76-73,,J. Huestis enters the game for P. George
3:42.0,N. Young enters the game for K. Thompson,,76-73,,
3:42.0,J. Bell enters the game for D. Green,,76-73,,
3:42.0,,,76-74,1,R. Westbrook makes free throw 2 of 2
3:33.0,K. Durant misses 2-pt shot from 6 ft,,76-74,,
3:32.0,,,76-74,,Defensive rebound by R. Westbrook
3:29.0,,,76-76,2,R. Westbrook makes 2-pt shot from 15 ft
3:06.0,K. Durant makes 2-pt shot from 11 ft (assist by Q. Cook),2,78-76,,
2:55.0,,,78-78,2,R. Westbrook makes 2-pt shot from 13 ft
2:36.0,Q. Cook makes 2-pt shot from 9 ft (assist by J. Bell),2,80-78,,
2:12.0,,,80-78,,C. Anthony misses 2-pt shot from 15 ft
2:10.0,Defensive rebound by K. Durant,,80-78,,
2:05.0,K. Durant misses 3-pt shot from 26 ft,,80-78,,
2:02.0,,,80-78,,Defensive rebound by S. Adams
1:57.0,,,80-81,3,R. Westbrook makes 3-pt shot from 25 ft
1:45.0,Golden State full timeout,,80-81,,
1:45.0,D. Green enters the game for Q. Cook,,80-81,,
1:40.0,N. Young misses 2-pt shot from 17 ft,,80-81,,
1:38.0,Offensive rebound by J. McGee,,80-81,,
1:38.0,J. McGee makes 2-pt shot at rim,2,82-81,,
1:25.0,,,82-81,,R. Westbrook misses 3-pt shot from 25 ft
1:23.0,,,82-81,,Offensive rebound by S. Adams
1:14.0,,,82-81,,C. Anthony misses 2-pt shot from 16 ft
1:10.0,,,82-81,,Offensive rebound by C. Anthony
1:08.0,,,82-81,,A. Abrines misses 3-pt shot from 28 ft
1:08.0,,,82-81,,Offensive rebound by Team
1:08.0,Loose ball foul by J. McGee (drawn by S. Adams),,82-81,,
1:08.0,,,82-81,,S. Adams misses free throw 1 of 2
1:08.0,,,82-81,,Offensive rebound by Team
1:08.0,D. Jones enters the game for J. McGee,,82-81,,
1:08.0,,,82-81,,R. Felton enters the game for R. Westbrook
1:08.0,,,82-81,,S. Adams misses free throw 2 of 2
1:05.0,Defensive rebound by D. Jones,,82-81,,
0:54.0,Shooting foul by S. Adams (drawn by K. Durant),,82-81,,
0:54.0,K. Durant makes free throw 1 of 2,1,83-81,,
0:54.0,,,83-81,,J. Grant enters the game for S. Adams
0:54.0,,,83-81,,P. George enters the game for J. Huestis
0:54.0,K. Durant makes free throw 2 of 2,1,84-81,,
0:39.0,,,84-81,,P. George misses 3-pt shot from 25 ft
0:36.0,Defensive rebound by D. Green,,84-81,,
0:34.0,Turnover by D. Green (bad pass),,84-81,,
0:26.0,,,84-81,,J. Grant misses 2-pt shot from 2 ft (block by J. Bell)
0:23.0,Defensive rebound by J. Bell,,84-81,,
0:03.0,D. Green misses 3-pt shot from 24 ft,,84-81,,
0:00.0,,,84-81,,Defensive rebound by P. George
0:00.0,,,84-81,,P. George misses 3-pt shot from 42 ft
0:00.0,,,84-81,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,84-81,,Turnover by P. George (bad pass)
11:33.0,,,84-81,,Personal foul by A. Abrines (drawn by K. Thompson)
11:26.0,K. Thompson misses 3-pt shot from 26 ft,,84-81,,
11:24.0,,,84-81,,Defensive rebound by R. Felton
11:24.0,Personal foul by N. Young (drawn by R. Felton),,84-81,,
11:13.0,,,84-81,,R. Felton misses 2-pt shot from 19 ft
11:09.0,Defensive rebound by J. Bell,,84-81,,
11:02.0,,,84-81,,Personal foul by R. Felton (drawn by K. Thompson)
10:52.0,N. Young misses 3-pt shot from 26 ft,,84-81,,
10:50.0,,,84-81,,Defensive rebound by P. Patterson
10:39.0,Violation by N. Young (kicked ball),,84-81,,
10:29.0,,,84-81,,P. Patterson misses 3-pt shot from 24 ft
10:26.0,Defensive rebound by Team,,84-81,,
10:06.0,D. Green misses 3-pt shot from 24 ft,,84-81,,
10:03.0,,,84-81,,Defensive rebound by J. Grant
9:59.0,,,84-84,3,A. Abrines makes 3-pt shot from 25 ft (assist by P. George)
9:37.0,D. West makes 2-pt shot at rim,2,86-84,,
9:23.0,,,86-84,,Turnover by P. George (out of bounds lost ball)
9:23.0,,,86-84,,R. Westbrook enters the game for A. Abrines
9:07.0,J. Bell misses 2-pt shot at rim (block by J. Grant),,86-84,,
9:05.0,Offensive rebound by J. Bell,,86-84,,
9:04.0,J. Bell misses 2-pt shot at rim (block by R. Felton),,86-84,,
9:04.0,Offensive rebound by J. Bell,,86-84,,
8:59.0,J. Bell makes 2-pt shot at rim,2,88-84,,
8:48.0,,,88-84,,J. Huestis enters the game for P. George
8:42.0,,,88-84,,Shooting foul by N. Young (drawn by J. Huestis)
8:42.0,,,88-84,,J. Huestis misses free throw 1 of 2
8:42.0,,,88-84,,Offensive rebound by Team
8:42.0,,,88-85,1,J. Huestis makes free throw 2 of 2
8:30.0,Turnover by D. Green (bad pass; steal by R. Westbrook),,88-85,,
8:12.0,,,88-85,,Shooting foul by D. West (drawn by J. Grant)
8:12.0,,,88-86,1,J. Grant makes free throw 1 of 2
8:12.0,Q. Cook enters the game for D. Green,,88-86,,
8:12.0,,,88-87,1,J. Grant makes free throw 2 of 2
8:02.0,Turnover by K. Thompson (lost ball; steal by R. Felton),,88-87,,
7:58.0,,,88-87,,Turnover by R. Felton (bad pass; steal by D. West)
7:57.0,D. West makes 2-pt shot at rim,2,90-87,,
7:48.0,,,90-89,2,R. Westbrook makes 2-pt shot at rim
7:34.0,N. Young makes 2-pt shot from 14 ft (assist by Q. Cook),2,92-89,,
7:24.0,,,92-89,,R. Westbrook misses 2-pt shot from 17 ft (block by D. West)
7:19.0,,,92-89,,Offensive rebound by R. Westbrook
7:17.0,,,92-91,2,J. Grant makes 2-pt shot from 1 ft (assist by R. Westbrook)
6:56.0,K. Thompson misses 2-pt shot from 1 ft (block by J. Grant),,92-91,,
6:54.0,,,92-91,,Defensive rebound by J. Huestis
6:46.0,,,92-91,,R. Felton misses 3-pt shot from 23 ft
6:43.0,Defensive rebound by J. Bell,,92-91,,
6:32.0,J. Bell makes 2-pt shot from 13 ft (assist by Q. Cook),2,94-91,,
6:18.0,,,94-91,,R. Westbrook misses 3-pt shot from 25 ft
6:15.0,Defensive rebound by J. Bell,,94-91,,
6:10.0,,,94-91,,Personal foul by R. Felton (drawn by Q. Cook)
6:10.0,,,94-91,,Oklahoma City full timeout
6:10.0,,,94-91,,C. Anthony enters the game for R. Felton
6:10.0,,,94-91,,C. Brewer enters the game for J. Huestis
6:10.0,,,94-91,,P. George enters the game for P. Patterson
