time,Memphis,pts.away,score,pts.home,Philadelphia
3:33.0,,,33-46,,R. Covington misses 3-pt shot from 23 ft
3:29.0,Defensive rebound by J. Martin,,33-46,,
3:22.0,J. Martin makes 2-pt shot from 4 ft,2,35-46,,
3:14.0,,,35-46,,D. Saric misses 3-pt shot from 25 ft
3:12.0,Defensive rebound by C. Parsons,,35-46,,
3:09.0,Shooting foul by D. Saric (drawn by J. Martin),,35-46,,
3:09.0,J. Martin makes free throw 1 of 2,1,36-46,,
3:09.0,,,36-46,,J. Embiid enters the game for D. Saric
3:09.0,J. Martin misses free throw 2 of 2,,36-46,,
3:07.0,,,36-46,,Defensive rebound by J. Embiid
2:55.0,,,36-46,,Turnover by B. Simmons (bad pass)
2:45.0,M. Gasol misses 3-pt shot from 26 ft,,36-46,,
2:42.0,,,36-46,,Defensive rebound by J. Redick
2:34.0,,,36-46,,R. Covington misses 2-pt shot from 19 ft
2:34.0,Defensive rebound by Team,,36-46,,
2:28.0,C. Parsons makes 2-pt shot from 2 ft (assist by M. Gasol),2,38-46,,
2:11.0,,,38-46,,E. Ilyasova misses 2-pt shot from 14 ft
2:06.0,,,38-46,,Offensive rebound by B. Simmons
2:06.0,,,38-46,,B. Simmons misses 2-pt shot at rim
2:05.0,Defensive rebound by J. Martin,,38-46,,
2:05.0,Shooting foul by R. Covington (drawn by J. Martin),,38-46,,
2:05.0,J. Martin makes free throw 1 of 2,1,39-46,,
2:05.0,,,39-46,,M. Belinelli enters the game for R. Covington
2:05.0,J. Martin makes free throw 2 of 2,1,40-46,,
1:50.0,Personal foul by M. Gasol (drawn by J. Embiid),,40-46,,
1:50.0,,,40-47,1,J. Embiid makes free throw 1 of 2
1:50.0,,,40-48,1,J. Embiid makes free throw 2 of 2
1:35.0,J. Green makes 2-pt shot from 2 ft,2,42-48,,
1:26.0,,,42-48,,J. Redick misses 3-pt shot from 25 ft
1:24.0,Defensive rebound by J. Green,,42-48,,
1:17.0,J. Martin misses 2-pt shot from 19 ft,,42-48,,
1:14.0,,,42-48,,Defensive rebound by J. Redick
0:56.0,,,42-50,2,J. Embiid makes 2-pt shot from 16 ft
0:42.0,C. Parsons misses 3-pt shot from 25 ft,,42-50,,
0:39.0,,,42-50,,Defensive rebound by E. Ilyasova
0:35.0,,,42-52,2,B. Simmons makes 2-pt shot from 3 ft
0:35.0,,,42-52,,Shooting foul by J. Green (drawn by B. Simmons)
0:35.0,,,42-53,1,B. Simmons makes free throw 1 of 1
0:24.0,,,42-53,,Personal foul by M. Belinelli (drawn by J. Martin)
0:24.0,J. Martin makes free throw 1 of 2,1,43-53,,
0:24.0,J. Martin makes free throw 2 of 2,1,44-53,,
0:06.0,Technical foul by D. Brooks (drawn by J. Embiid),,44-53,,
0:06.0,,,44-53,,T. McConnell enters the game for M. Belinelli
0:06.0,,,44-54,1,J. Embiid makes flagrant free throw 1 of 2
0:06.0,,,44-55,1,J. Embiid makes flagrant free throw 2 of 2
0:06.0,,,44-55,,M. Belinelli enters the game for T. McConnell
0:01.0,,,44-58,3,J. Redick makes 3-pt shot from 26 ft (assist by B. Simmons)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,,,44-58,,Offensive foul by J. Redick (drawn by A. Harrison)
11:51.0,,,44-58,,Turnover by J. Redick (offensive foul)
11:39.0,D. Brooks makes 2-pt shot from 22 ft (assist by M. Gasol),2,46-58,,
11:19.0,,,46-58,,J. Redick misses 2-pt shot from 20 ft
11:14.0,,,46-58,,Offensive rebound by J. Embiid
11:05.0,,,46-61,3,J. Redick makes 3-pt shot from 24 ft (assist by J. Embiid)
10:42.0,Turnover by J. Green (bad pass; steal by B. Simmons),,46-61,,
10:37.0,,,46-61,,J. Redick misses 3-pt shot from 25 ft
10:35.0,Defensive rebound by J. Green,,46-61,,
10:29.0,D. Brooks makes 2-pt shot from 2 ft (assist by M. Gasol),2,48-61,,
10:11.0,,,48-63,2,R. Covington makes 2-pt shot from 1 ft
10:02.0,M. Gasol makes 3-pt shot from 25 ft (assist by J. Martin),3,51-63,,
9:50.0,,,51-65,2,J. Redick makes 2-pt shot from 1 ft (assist by B. Simmons)
9:34.0,D. Brooks misses 2-pt shot from 19 ft,,51-65,,
9:31.0,,,51-65,,Defensive rebound by B. Simmons
9:27.0,,,51-65,,Shooting foul by J. Green (drawn by D. Saric)
9:27.0,,,51-66,1,D. Saric makes free throw 1 of 2
9:27.0,B. Weber enters the game for A. Harrison,,51-66,,
9:27.0,,,51-67,1,D. Saric makes free throw 2 of 2
9:13.0,J. Green misses 2-pt shot from 18 ft,,51-67,,
9:11.0,,,51-67,,Defensive rebound by J. Embiid
8:57.0,,,51-69,2,B. Simmons makes 2-pt shot at rim (assist by J. Embiid)
8:43.0,J. Martin misses 2-pt shot from 12 ft,,51-69,,
8:39.0,,,51-69,,Defensive rebound by J. Embiid
8:30.0,,,51-69,,Turnover by J. Embiid (bad pass)
8:12.0,Turnover by B. Weber (bad pass; steal by J. Embiid),,51-69,,
8:08.0,,,51-69,,R. Covington misses 2-pt shot from 3 ft (block by M. Gasol)
8:04.0,Defensive rebound by M. Gasol,,51-69,,
8:04.0,,,51-69,,Personal foul by B. Simmons (drawn by D. Brooks)
8:04.0,Memphis full timeout,,51-69,,
8:04.0,,,51-69,,M. Belinelli enters the game for J. Redick
8:04.0,,,51-69,,A. Johnson enters the game for J. Embiid
8:04.0,C. Parsons enters the game for D. Brooks,,51-69,,
7:54.0,C. Parsons misses 2-pt shot from 19 ft,,51-69,,
7:51.0,,,51-69,,Defensive rebound by B. Simmons
7:38.0,,,51-72,3,R. Covington makes 3-pt shot from 26 ft (assist by A. Johnson)
7:25.0,B. Weber makes 2-pt shot from 1 ft,2,53-72,,
7:16.0,,,53-72,,D. Saric misses 3-pt shot from 26 ft
7:12.0,Defensive rebound by J. Green,,53-72,,
7:02.0,Turnover by B. Weber (bad pass; steal by D. Saric),,53-72,,
6:57.0,,,53-75,3,M. Belinelli makes 3-pt shot from 27 ft (assist by D. Saric)
6:35.0,J. Martin misses 2-pt shot from 4 ft (block by A. Johnson),,53-75,,
6:31.0,,,53-75,,Defensive rebound by B. Simmons
6:29.0,,,53-77,2,D. Saric makes 2-pt shot from 2 ft (assist by B. Simmons)
6:28.0,Memphis full timeout,,53-77,,
6:07.0,Shooting foul by D. Saric (drawn by J. Green),,53-77,,
6:07.0,J. Green misses free throw 1 of 2,,53-77,,
6:07.0,Offensive rebound by Team,,53-77,,
6:07.0,J. Green makes free throw 2 of 2,1,54-77,,
6:00.0,,,54-79,2,B. Simmons makes 2-pt shot from 1 ft
5:47.0,J. Green misses 3-pt shot from 27 ft,,54-79,,
5:43.0,Offensive rebound by J. Martin,,54-79,,
5:40.0,C. Parsons misses 2-pt shot from 19 ft,,54-79,,
5:37.0,,,54-79,,Defensive rebound by D. Saric
5:33.0,,,54-79,,Philadelphia full timeout
5:33.0,,,54-79,,E. Ilyasova enters the game for A. Johnson
5:26.0,,,54-82,3,D. Saric makes 3-pt shot from 22 ft (assist by B. Simmons)
5:11.0,Turnover by B. Weber (bad pass; steal by R. Covington),,54-82,,
5:07.0,,,54-84,2,R. Covington makes 2-pt shot from 1 ft
4:42.0,M. Gasol misses 2-pt shot from 7 ft,,54-84,,
4:39.0,Offensive rebound by B. Weber,,54-84,,
4:29.0,J. Green misses 3-pt shot from 24 ft,,54-84,,
4:25.0,,,54-84,,Defensive rebound by R. Covington
4:20.0,,,54-87,3,R. Covington makes 3-pt shot from 27 ft (assist by B. Simmons)
3:57.0,J. Green makes 2-pt shot from 1 ft (assist by M. Gasol),2,56-87,,
3:45.0,,,56-89,2,M. Belinelli makes 2-pt shot from 18 ft (assist by B. Simmons)
3:45.0,,,56-89,,Shooting foul by B. Weber (drawn by M. Belinelli)
3:45.0,,,56-89,,T. McConnell enters the game for B. Simmons
3:45.0,,,56-89,,J. Anderson enters the game for R. Covington
3:45.0,A. Harrison enters the game for J. Martin,,56-89,,
3:45.0,D. Davis enters the game for B. Weber,,56-89,,
3:45.0,M. Chalmers enters the game for C. Parsons,,56-89,,
3:45.0,W. Selden enters the game for M. Gasol,,56-89,,
3:45.0,,,56-90,1,M. Belinelli makes free throw 1 of 1
3:30.0,M. Chalmers misses 3-pt shot from 25 ft,,56-90,,
3:26.0,,,56-90,,Defensive rebound by T. McConnell
3:21.0,,,56-90,,E. Ilyasova misses 3-pt shot from 26 ft
3:19.0,Defensive rebound by Team,,56-90,,
3:19.0,,,56-90,,R. Holmes enters the game for D. Saric
3:08.0,Shooting foul by J. Anderson (drawn by W. Selden),,56-90,,
3:08.0,W. Selden makes free throw 1 of 2,1,57-90,,
3:08.0,W. Selden makes free throw 2 of 2,1,58-90,,
2:48.0,,,58-92,2,E. Ilyasova makes 2-pt shot from 11 ft (assist by T. McConnell)
2:35.0,D. Davis makes 2-pt shot at rim (assist by M. Chalmers),2,60-92,,
2:17.0,,,60-92,,E. Ilyasova misses 2-pt shot from 1 ft
2:15.0,Defensive rebound by D. Davis,,60-92,,
2:08.0,W. Selden misses 2-pt shot from 6 ft,,60-92,,
2:06.0,Offensive rebound by W. Selden,,60-92,,
2:06.0,Shooting foul by E. Ilyasova (drawn by W. Selden),,60-92,,
2:06.0,W. Selden makes free throw 1 of 2,1,61-92,,
2:06.0,B. McLemore enters the game for J. Green,,61-92,,
2:06.0,W. Selden makes free throw 2 of 2,1,62-92,,
1:47.0,,,62-94,2,E. Ilyasova makes 2-pt shot from 2 ft (assist by T. McConnell)
1:28.0,B. McLemore misses 3-pt shot from 23 ft,,62-94,,
1:25.0,Offensive rebound by D. Davis,,62-94,,
1:23.0,D. Davis makes 2-pt shot from 3 ft,2,64-94,,
1:09.0,,,64-97,3,M. Belinelli makes 3-pt shot from 27 ft (assist by R. Holmes)
0:57.0,W. Selden misses 2-pt shot from 5 ft,,64-97,,
0:55.0,Offensive rebound by D. Davis,,64-97,,
0:54.0,D. Davis misses 2-pt shot from 1 ft,,64-97,,
0:51.0,,,64-97,,Defensive rebound by E. Ilyasova
0:44.0,,,64-99,2,T. McConnell makes 2-pt shot from 14 ft
0:36.0,D. Davis makes 2-pt shot from 19 ft (assist by A. Harrison),2,66-99,,
0:19.0,,,66-99,,J. Anderson misses 3-pt shot from 27 ft
0:15.0,Defensive rebound by D. Davis,,66-99,,
0:03.0,W. Selden makes 3-pt shot from 26 ft,3,69-99,,
0:02.0,,,69-99,,Turnover by R. Holmes (bad pass; steal by B. McLemore)
0:01.0,B. McLemore misses 2-pt shot from 19 ft,,69-99,,
0:01.0,Offensive rebound by Team,,69-99,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,A. Harrison misses 3-pt shot from 24 ft,,69-99,,
11:45.0,,,69-99,,Defensive rebound by E. Ilyasova
11:32.0,Personal foul by W. Selden (drawn by E. Ilyasova),,69-99,,
11:20.0,,,69-99,,Shooting foul by D. Davis (drawn by R. Holmes)
11:20.0,,,69-100,1,R. Holmes makes free throw 1 of 2
11:20.0,,,69-101,1,R. Holmes makes free throw 2 of 2
11:13.0,,,69-101,,Personal foul by M. Belinelli (drawn by A. Harrison)
11:06.0,D. Davis misses 2-pt shot from 7 ft,,69-101,,
11:03.0,Offensive rebound by A. Harrison,,69-101,,
10:59.0,W. Selden misses 2-pt shot from 19 ft,,69-101,,
10:56.0,,,69-101,,Defensive rebound by R. Holmes
10:53.0,,,69-103,2,R. Holmes makes 2-pt shot from 1 ft (assist by T. McConnell)
10:53.0,,,69-103,,Shooting foul by D. Davis (drawn by R. Holmes)
10:53.0,B. Johnson enters the game for D. Davis,,69-103,,
10:53.0,,,69-103,,R. Holmes misses free throw 1 of 1
10:53.0,Defensive rebound by B. Johnson,,69-103,,
10:44.0,Offensive foul by B. McLemore (drawn by J. Anderson),,69-103,,
10:44.0,Turnover by B. McLemore (offensive foul),,69-103,,
10:27.0,,,69-103,,Turnover by M. Belinelli (bad pass)
10:20.0,M. Chalmers misses 2-pt shot from 5 ft,,69-103,,
10:20.0,Offensive rebound by B. Johnson,,69-103,,
10:20.0,B. Johnson makes 2-pt shot from 2 ft,2,71-103,,
10:20.0,Shooting foul by J. Anderson (drawn by B. Johnson),,71-103,,
10:20.0,B. Johnson makes free throw 1 of 1,1,72-103,,
10:08.0,Personal foul by M. Chalmers (drawn by R. Holmes),,72-103,,
10:00.0,,,72-105,2,J. Anderson makes 2-pt shot from 1 ft (assist by T. McConnell)
9:46.0,B. Johnson misses 2-pt shot from 1 ft,,72-105,,
9:44.0,,,72-105,,Defensive rebound by R. Holmes
9:32.0,,,72-105,,J. Anderson misses 2-pt shot from 1 ft
9:30.0,Defensive rebound by B. Johnson,,72-105,,
9:27.0,W. Selden misses 2-pt shot from 3 ft (block by M. Belinelli),,72-105,,
9:27.0,Offensive rebound by Team,,72-105,,
9:27.0,B. Weber enters the game for A. Harrison,,72-105,,
9:17.0,B. Johnson makes 2-pt shot from 3 ft (assist by M. Chalmers),2,74-105,,
9:02.0,,,74-105,,R. Holmes misses 3-pt shot from 27 ft
9:00.0,Defensive rebound by Team,,74-105,,
9:00.0,,,74-105,,J. Young enters the game for E. Ilyasova
8:50.0,B. Weber misses 2-pt shot from 17 ft,,74-105,,
8:49.0,,,74-105,,Defensive rebound by Team
8:36.0,,,74-107,2,R. Holmes makes 2-pt shot at rim (assist by T. McConnell)
8:24.0,Turnover by M. Chalmers (bad pass),,74-107,,
8:24.0,,,74-107,,Philadelphia full timeout
8:24.0,D. Davis enters the game for W. Selden,,74-107,,
8:15.0,,,74-107,,Turnover by R. Holmes (offensive goaltending)
7:54.0,M. Chalmers makes 2-pt shot from 2 ft,2,76-107,,
7:38.0,,,76-107,,M. Belinelli misses 3-pt shot from 27 ft
7:37.0,Defensive rebound by Team,,76-107,,
7:37.0,,,76-107,,D. Jackson enters the game for T. McConnell
7:24.0,D. Davis misses 2-pt shot from 19 ft,,76-107,,
7:19.0,Offensive rebound by B. Johnson,,76-107,,
7:15.0,M. Chalmers makes 3-pt shot from 27 ft (assist by B. Weber),3,79-107,,
7:03.0,Personal foul by B. McLemore (drawn by R. Holmes),,79-107,,
7:03.0,,,79-107,,R. Holmes misses free throw 1 of 2
7:03.0,,,79-107,,Offensive rebound by Team
7:03.0,,,79-107,,R. Holmes misses free throw 2 of 2
7:01.0,Defensive rebound by B. McLemore,,79-107,,
6:44.0,D. Davis makes 2-pt shot at rim (assist by B. Weber),2,81-107,,
6:30.0,,,81-109,2,J. Young makes 2-pt shot from 3 ft (assist by R. Holmes)
6:12.0,M. Chalmers makes 3-pt shot from 27 ft (assist by B. Weber),3,84-109,,
5:56.0,,,84-109,,Turnover by J. Young (bad pass; steal by B. Weber)
