time,Sacramento,pts.away,score,pts.home,Detroit
8:46.0,Shooting foul by T. Harris (drawn by Z. Randolph),,7-12,,
8:46.0,Z. Randolph makes free throw 1 of 1,1,8-12,,
8:22.0,,,8-15,3,S. Johnson makes 3-pt shot from 27 ft (assist by T. Harris)
8:06.0,W. Cauley-Stein misses 2-pt shot from 3 ft,,8-15,,
8:04.0,,,8-15,,Defensive rebound by T. Harris
8:01.0,,,8-18,3,T. Harris makes 3-pt shot from 26 ft (assist by R. Jackson)
7:43.0,B. Bogdanovic makes 2-pt shot from 6 ft,2,10-18,,
7:29.0,,,10-20,2,A. Bradley makes 2-pt shot from 19 ft (assist by A. Drummond)
7:11.0,G. Temple makes 2-pt shot from 19 ft (assist by W. Cauley-Stein),2,12-20,,
6:37.0,,,12-20,,R. Jackson misses 2-pt shot from 14 ft
6:34.0,Defensive rebound by W. Cauley-Stein,,12-20,,
6:24.0,B. Bogdanovic makes 2-pt shot at rim,2,14-20,,
6:09.0,,,14-22,2,A. Bradley makes 2-pt shot from 20 ft (assist by S. Johnson)
5:57.0,Turnover by D. Fox (lost ball; steal by A. Bradley),,14-22,,
5:52.0,,,14-22,,Turnover by A. Bradley (lost ball; steal by G. Temple)
5:47.0,J. Jackson enters the game for W. Cauley-Stein,,14-22,,
5:37.0,Offensive foul by Z. Randolph (drawn by S. Johnson),,14-22,,
5:37.0,Turnover by Z. Randolph (offensive foul),,14-22,,
5:27.0,,,14-22,,R. Jackson misses 3-pt shot from 26 ft
5:25.0,Defensive rebound by G. Temple,,14-22,,
5:17.0,Z. Randolph makes 3-pt shot from 26 ft (assist by G. Temple),3,17-22,,
5:08.0,,,17-22,,Detroit full timeout
4:55.0,,,17-22,,Shooting foul by J. Jackson (drawn by T. Harris)
4:55.0,,,17-23,1,T. Harris makes free throw 1 of 2
4:55.0,,,17-24,1,T. Harris makes free throw 2 of 2
4:38.0,D. Fox misses 3-pt shot from 23 ft,,17-24,,
4:36.0,,,17-24,,Defensive rebound by A. Drummond
4:30.0,,,17-24,,R. Jackson misses 2-pt shot from 3 ft
4:26.0,Defensive rebound by Z. Randolph,,17-24,,
4:22.0,J. Jackson misses 3-pt shot from 23 ft,,17-24,,
4:20.0,,,17-24,,Defensive rebound by A. Drummond
4:05.0,,,17-24,,T. Harris misses 2-pt shot from 3 ft
4:03.0,Defensive rebound by J. Jackson,,17-24,,
3:55.0,Z. Randolph makes 2-pt shot from 17 ft,2,19-24,,
3:43.0,,,19-27,3,A. Bradley makes 3-pt shot from 27 ft (assist by R. Jackson)
3:28.0,B. Bogdanovic makes 3-pt shot from 24 ft (assist by Z. Randolph),3,22-27,,
3:16.0,Personal foul by D. Fox (drawn by R. Jackson),,22-27,,
3:16.0,,,22-27,,I. Smith enters the game for R. Jackson
3:16.0,F. Mason enters the game for D. Fox,,22-27,,
3:16.0,B. Hield enters the game for G. Temple,,22-27,,
3:16.0,,,22-27,,Offensive foul by A. Drummond (drawn by F. Mason)
3:16.0,,,22-27,,Turnover by A. Drummond (offensive foul)
3:01.0,,,22-27,,Personal foul by A. Drummond (drawn by Z. Randolph)
3:01.0,,,22-27,,Turnover by A. Drummond (turnover)
3:01.0,,,22-27,,E. Moreland enters the game for A. Drummond
2:49.0,B. Hield makes 2-pt shot from 3 ft (assist by Z. Randolph),2,24-27,,
2:30.0,Personal foul by B. Hield (drawn by E. Moreland),,24-27,,
2:30.0,K. Koufos enters the game for Z. Randolph,,24-27,,
2:21.0,,,24-27,,I. Smith misses 2-pt shot from 2 ft
2:10.0,,,24-27,,Offensive rebound by A. Bradley
2:10.0,,,24-29,2,A. Bradley makes 2-pt shot at rim
2:01.0,B. Hield misses 2-pt shot from 5 ft,,24-29,,
2:01.0,,,24-29,,Defensive rebound by Team
2:01.0,,,24-29,,R. Bullock enters the game for S. Johnson
1:46.0,,,24-29,,A. Bradley misses 2-pt shot from 21 ft
1:43.0,Defensive rebound by J. Jackson,,24-29,,
1:27.0,B. Bogdanovic makes 2-pt shot from 14 ft,2,26-29,,
1:08.0,,,26-29,,I. Smith misses 2-pt shot from 20 ft
1:05.0,Defensive rebound by B. Hield,,26-29,,
0:52.0,J. Jackson misses 3-pt shot from 23 ft,,26-29,,
0:51.0,,,26-29,,Defensive rebound by Team
0:51.0,S. Labissiere enters the game for B. Bogdanovic,,26-29,,
0:40.0,,,26-29,,T. Harris misses 2-pt shot from 14 ft
0:36.0,Defensive rebound by K. Koufos,,26-29,,
0:17.0,S. Labissiere misses 2-pt shot from 15 ft,,26-29,,
0:14.0,,,26-29,,Defensive rebound by E. Moreland
0:00.0,,,26-29,,I. Smith misses 2-pt shot from 15 ft
0:00.0,,,26-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Turnover by F. Mason (turnover),,26-29,,
11:30.0,,,26-29,,R. Bullock misses 2-pt shot from 13 ft
11:28.0,Defensive rebound by B. Hield,,26-29,,
11:24.0,,,26-29,,Violation by E. Moreland (kicked ball)
11:23.0,,,26-29,,Personal foul by I. Smith (drawn by F. Mason)
11:14.0,B. Hield misses 2-pt shot from 20 ft,,26-29,,
11:13.0,,,26-29,,Defensive rebound by Team
11:13.0,Loose ball foul by K. Koufos (drawn by A. Tolliver),,26-29,,
10:55.0,,,26-31,2,L. Galloway makes 2-pt shot from 6 ft (assist by E. Moreland)
10:46.0,Turnover by F. Mason (bad pass),,26-31,,
10:33.0,,,26-31,,R. Bullock misses 2-pt shot from 1 ft
10:33.0,Defensive rebound by S. Labissiere,,26-31,,
10:33.0,,,26-31,,Personal foul by E. Moreland (drawn by S. Labissiere)
10:22.0,K. Koufos misses 2-pt shot from 5 ft,,26-31,,
10:18.0,,,26-31,,Defensive rebound by A. Tolliver
10:12.0,,,26-31,,A. Tolliver misses 3-pt shot from 25 ft
10:11.0,,,26-31,,Offensive rebound by Team
10:11.0,Personal foul by K. Koufos (drawn by I. Smith),,26-31,,
9:51.0,,,26-33,2,A. Tolliver makes 2-pt shot at rim (assist by L. Galloway)
9:44.0,,,26-33,,Personal foul by E. Moreland (drawn by F. Mason)
9:44.0,Sacramento full timeout,,26-33,,
9:44.0,M. Richardson enters the game for J. Jackson,,26-33,,
9:30.0,Turnover by S. Labissiere (lost ball; steal by A. Tolliver),,26-33,,
9:22.0,,,26-35,2,I. Smith makes 2-pt shot from 2 ft
9:15.0,B. Hield makes 2-pt shot from 1 ft (assist by F. Mason),2,28-35,,
9:07.0,Personal foul by S. Labissiere (drawn by A. Tolliver),,28-35,,
8:51.0,,,28-35,,E. Moreland misses 2-pt shot from 3 ft
8:51.0,,,28-35,,Offensive rebound by A. Tolliver
8:51.0,,,28-35,,Shooting foul by S. Labissiere (drawn by A. Tolliver)
8:51.0,,,28-36,1,A. Tolliver makes free throw 1 of 2
8:51.0,,,28-37,1,A. Tolliver makes free throw 2 of 2
8:23.0,F. Mason makes 2-pt shot from 21 ft,2,30-37,,
8:16.0,,,30-37,,E. Moreland misses 2-pt shot from 4 ft
8:16.0,Defensive rebound by S. Labissiere,,30-37,,
8:16.0,,,30-37,,Personal foul by E. Moreland (drawn by S. Labissiere)
8:16.0,,,30-37,,A. Drummond enters the game for E. Moreland
7:57.0,M. Richardson makes 3-pt shot from 25 ft (assist by F. Mason),3,33-37,,
7:41.0,Personal foul by S. Labissiere (drawn by A. Tolliver),,33-37,,
7:41.0,,,33-37,,A. Tolliver misses free throw 1 of 2
7:41.0,,,33-37,,Offensive rebound by Team
7:41.0,,,33-37,,A. Tolliver misses free throw 2 of 2
7:41.0,Violation by S. Labissiere (lane),,33-37,,
7:34.0,,,33-37,,Defensive rebound by A. Drummond
7:34.0,,,33-39,2,A. Drummond makes 2-pt shot at rim
7:20.0,M. Richardson makes 2-pt shot at rim (assist by K. Koufos),2,35-39,,
7:06.0,,,35-39,,L. Galloway misses 3-pt shot from 27 ft
7:03.0,,,35-39,,Offensive rebound by A. Drummond
7:02.0,,,35-39,,A. Drummond misses 2-pt shot from 3 ft
6:58.0,Defensive rebound by K. Koufos,,35-39,,
6:52.0,F. Mason makes 2-pt shot from 22 ft,2,37-39,,
6:47.0,,,37-39,,Detroit full timeout
6:47.0,,,37-39,,T. Harris enters the game for I. Smith
6:47.0,,,37-39,,R. Jackson enters the game for A. Tolliver
6:47.0,V. Carter enters the game for S. Labissiere,,37-39,,
6:36.0,,,37-39,,R. Jackson misses 2-pt shot from 4 ft
6:33.0,Defensive rebound by V. Carter,,37-39,,
6:19.0,K. Koufos makes 2-pt shot from 1 ft (assist by F. Mason),2,39-39,,
6:01.0,Violation by K. Koufos (kicked ball),,39-39,,
5:51.0,,,39-41,2,R. Jackson makes 2-pt shot from 2 ft
5:24.0,F. Mason makes 2-pt shot from 1 ft,2,41-41,,
5:08.0,,,41-41,,Turnover by T. Harris (turnover)
5:08.0,,,41-41,,A. Bradley enters the game for L. Galloway
5:08.0,Z. Randolph enters the game for K. Koufos,,41-41,,
4:56.0,Z. Randolph misses 2-pt shot from 15 ft,,41-41,,
4:52.0,,,41-41,,Defensive rebound by A. Bradley
4:44.0,,,41-43,2,A. Bradley makes 2-pt shot from 2 ft
4:29.0,B. Hield makes 2-pt shot from 17 ft (assist by V. Carter),2,43-43,,
4:17.0,Personal foul by M. Richardson (drawn by R. Bullock),,43-43,,
4:17.0,,,43-44,1,R. Bullock makes free throw 1 of 2
4:17.0,G. Temple enters the game for F. Mason,,43-44,,
4:17.0,D. Fox enters the game for B. Hield,,43-44,,
4:17.0,,,43-44,,R. Bullock misses free throw 2 of 2
4:14.0,Defensive rebound by Z. Randolph,,43-44,,
4:01.0,V. Carter misses 2-pt shot from 6 ft,,43-44,,
3:58.0,,,43-44,,Defensive rebound by T. Harris
3:56.0,,,43-44,,A. Bradley misses 3-pt shot from 28 ft
3:56.0,Defensive rebound by G. Temple,,43-44,,
3:47.0,D. Fox makes 2-pt shot from 1 ft,2,45-44,,
3:36.0,,,45-44,,T. Harris misses 3-pt shot from 27 ft
3:32.0,Defensive rebound by Z. Randolph,,45-44,,
3:28.0,D. Fox misses 2-pt shot from 6 ft,,45-44,,
3:26.0,,,45-44,,Defensive rebound by A. Drummond
3:15.0,,,45-46,2,T. Harris makes 2-pt shot at rim (assist by R. Jackson)
2:57.0,Z. Randolph makes 2-pt shot from 15 ft (assist by M. Richardson),2,47-46,,
2:47.0,,,47-46,,Shooting foul by D. Fox (drawn by R. Jackson)
2:47.0,,,47-46,,R. Jackson misses free throw 1 of 2
2:47.0,,,47-46,,Offensive rebound by Team
2:47.0,,,47-46,,S. Johnson enters the game for R. Bullock
2:47.0,,,47-47,1,R. Jackson makes free throw 2 of 2
2:29.0,Shooting foul by A. Bradley (drawn by D. Fox),,47-47,,
2:29.0,D. Fox misses free throw 1 of 2,,47-47,,
2:29.0,Offensive rebound by Team,,47-47,,
2:29.0,,,47-47,,A. Tolliver enters the game for A. Drummond
2:29.0,,,47-47,,R. Bullock enters the game for A. Bradley
2:29.0,D. Fox makes free throw 2 of 2,1,48-47,,
2:03.0,,,48-49,2,S. Johnson makes 2-pt shot from 12 ft
1:43.0,M. Richardson misses 2-pt shot from 2 ft (block by T. Harris),,48-49,,
1:43.0,Offensive rebound by Team,,48-49,,
1:37.0,,,48-49,,Personal foul by R. Jackson (drawn by D. Fox)
1:37.0,D. Fox makes free throw 1 of 2,1,49-49,,
1:37.0,D. Fox misses free throw 2 of 2,,49-49,,
1:34.0,,,49-49,,Defensive rebound by S. Johnson
1:17.0,,,49-49,,R. Jackson misses 3-pt shot from 26 ft
1:15.0,,,49-49,,Offensive rebound by Team
1:00.0,,,49-52,3,S. Johnson makes 3-pt shot from 26 ft (assist by T. Harris)
0:38.0,V. Carter misses 3-pt shot from 26 ft,,49-52,,
0:35.0,Turnover by Team (shot clock),,49-52,,
0:35.0,Offensive rebound by M. Richardson,,49-52,,
0:17.0,,,49-52,,Turnover by R. Jackson (bad pass; steal by V. Carter)
0:01.0,D. Fox misses 2-pt shot from 15 ft,,49-52,,
0:01.0,Offensive rebound by Team,,49-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,G. Temple makes 2-pt shot from 2 ft (assist by Z. Randolph),2,51-52,,
11:28.0,,,51-54,2,T. Harris makes 2-pt shot from 1 ft
11:20.0,W. Cauley-Stein makes 2-pt shot at rim (assist by D. Fox),2,53-54,,
10:57.0,,,53-54,,Shooting foul by Z. Randolph (drawn by R. Jackson)
10:57.0,,,53-55,1,R. Jackson makes free throw 1 of 2
10:57.0,,,53-56,1,R. Jackson makes free throw 2 of 2
10:41.0,W. Cauley-Stein makes 2-pt shot from 16 ft,2,55-56,,
10:23.0,,,55-59,3,T. Harris makes 3-pt shot from 25 ft (assist by A. Bradley)
10:11.0,Turnover by Z. Randolph (lost ball; steal by A. Drummond),,55-59,,
10:07.0,,,55-59,,Turnover by R. Jackson (bad pass)
9:52.0,Z. Randolph misses 2-pt shot from 21 ft,,55-59,,
9:47.0,,,55-59,,Defensive rebound by T. Harris
9:39.0,,,55-59,,Turnover by A. Bradley (step out of bounds)
9:31.0,Offensive foul by W. Cauley-Stein (drawn by R. Jackson),,55-59,,
9:31.0,Turnover by W. Cauley-Stein (offensive foul),,55-59,,
9:20.0,,,55-59,,T. Harris misses 2-pt shot from 1 ft
9:20.0,,,55-59,,Offensive rebound by A. Drummond
9:20.0,,,55-59,,Shooting foul by D. Fox (drawn by A. Drummond)
9:20.0,,,55-60,1,A. Drummond makes free throw 1 of 2
9:20.0,,,55-61,1,A. Drummond makes free throw 2 of 2
9:09.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by D. Fox),2,57-61,,
8:59.0,,,57-61,,Detroit full timeout
8:46.0,,,57-61,,Turnover by T. Harris (bad pass)
8:28.0,Turnover by Z. Randolph (bad pass; steal by A. Drummond),,57-61,,
8:21.0,,,57-61,,Turnover by S. Johnson (bad pass; steal by W. Cauley-Stein)
8:07.0,Turnover by B. Bogdanovic (bad pass),,57-61,,
7:49.0,,,57-61,,Turnover by A. Bradley (lost ball; steal by W. Cauley-Stein)
7:42.0,G. Temple makes 3-pt shot from 23 ft (assist by B. Bogdanovic),3,60-61,,
7:23.0,,,60-61,,T. Harris misses 3-pt shot from 25 ft
7:22.0,,,60-61,,Offensive rebound by A. Drummond
7:22.0,Personal foul by Z. Randolph (drawn by A. Drummond),,60-61,,
7:09.0,,,60-63,2,A. Drummond makes 2-pt shot from 10 ft (assist by T. Harris)
6:52.0,Z. Randolph misses 2-pt shot from 2 ft,,60-63,,
6:47.0,,,60-63,,Defensive rebound by A. Drummond
6:42.0,,,60-63,,Shooting foul by G. Temple (drawn by R. Jackson)
6:42.0,,,60-64,1,R. Jackson makes free throw 1 of 2
6:42.0,,,60-65,1,R. Jackson makes free throw 2 of 2
6:23.0,G. Temple makes 3-pt shot from 23 ft (assist by W. Cauley-Stein),3,63-65,,
6:02.0,,,63-67,2,A. Bradley makes 2-pt shot from 6 ft
5:51.0,D. Fox misses 3-pt shot from 23 ft,,63-67,,
5:51.0,,,63-67,,Defensive rebound by Team
5:44.0,,,63-69,2,A. Drummond makes 2-pt shot from 1 ft (assist by R. Jackson)
5:29.0,W. Cauley-Stein makes 2-pt shot from 16 ft (assist by Z. Randolph),2,65-69,,
5:03.0,,,65-69,,T. Harris misses 3-pt shot from 24 ft
5:00.0,Defensive rebound by W. Cauley-Stein,,65-69,,
4:48.0,Z. Randolph misses 2-pt shot from 2 ft,,65-69,,
4:46.0,,,65-69,,Defensive rebound by A. Drummond
4:37.0,,,65-69,,Turnover by R. Jackson (traveling)
4:24.0,Z. Randolph makes 2-pt shot from 1 ft (assist by D. Fox),2,67-69,,
4:04.0,,,67-71,2,T. Harris makes 2-pt shot from 1 ft
3:44.0,B. Bogdanovic makes 2-pt shot from 1 ft,2,69-71,,
3:29.0,,,69-74,3,R. Jackson makes 3-pt shot from 26 ft (assist by T. Harris)
3:09.0,Z. Randolph misses 2-pt shot from 9 ft,,69-74,,
3:04.0,,,69-74,,Defensive rebound by S. Johnson
3:00.0,,,69-77,3,T. Harris makes 3-pt shot from 24 ft (assist by R. Jackson)
2:59.0,,,69-77,,I. Smith enters the game for R. Jackson
2:59.0,,,69-77,,A. Tolliver enters the game for T. Harris
2:59.0,V. Carter enters the game for Z. Randolph,,69-77,,
2:59.0,K. Koufos enters the game for W. Cauley-Stein,,69-77,,
2:40.0,B. Bogdanovic misses 2-pt shot from 22 ft,,69-77,,
2:36.0,,,69-77,,Defensive rebound by A. Drummond
2:31.0,,,69-77,,I. Smith misses 2-pt shot from 2 ft
2:20.0,,,69-77,,Offensive rebound by A. Drummond
2:20.0,,,69-79,2,A. Drummond makes 2-pt shot at rim
2:17.0,K. Koufos misses 2-pt shot from 1 ft (block by A. Bradley),,69-79,,
2:17.0,,,69-79,,Defensive rebound by Team
1:59.0,Personal foul by G. Temple (drawn by A. Bradley),,69-79,,
1:59.0,,,69-79,,A. Bradley misses free throw 1 of 2
1:59.0,,,69-79,,Offensive rebound by Team
1:59.0,,,69-79,,L. Kennard enters the game for S. Johnson
1:59.0,F. Mason enters the game for D. Fox,,69-79,,
1:59.0,B. Hield enters the game for G. Temple,,69-79,,
1:59.0,,,69-80,1,A. Bradley makes free throw 2 of 2
1:43.0,B. Bogdanovic makes 3-pt shot from 26 ft (assist by F. Mason),3,72-80,,
1:27.0,,,72-82,2,A. Bradley makes 2-pt shot from 2 ft (assist by A. Drummond)
1:13.0,F. Mason misses 3-pt shot from 26 ft,,72-82,,
1:08.0,,,72-82,,Defensive rebound by A. Drummond
1:01.0,,,72-82,,A. Bradley misses 3-pt shot from 22 ft
0:59.0,Defensive rebound by K. Koufos,,72-82,,
0:47.0,B. Hield misses 3-pt shot from 25 ft,,72-82,,
0:43.0,,,72-82,,Defensive rebound by A. Drummond
0:33.0,,,72-85,3,A. Tolliver makes 3-pt shot from 26 ft (assist by L. Kennard)
0:21.0,B. Hield makes 2-pt shot from 1 ft,2,74-85,,
0:12.0,,,74-85,,Offensive foul by A. Bradley (drawn by B. Bogdanovic)
0:12.0,,,74-85,,Turnover by A. Bradley (offensive foul)
0:12.0,,,74-85,,E. Moreland enters the game for A. Drummond
0:03.0,Turnover by B. Hield (lost ball; steal by I. Smith),,74-85,,
0:00.0,,,74-85,,L. Kennard misses 2-pt shot from 1 ft
0:00.0,,,74-85,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,74-85,,L. Kennard misses 2-pt shot from 2 ft (block by B. Hield)
11:39.0,Defensive rebound by B. Hield,,74-85,,
11:34.0,J. Jackson makes 3-pt shot from 23 ft (assist by K. Koufos),3,77-85,,
11:24.0,,,77-87,2,I. Smith makes 2-pt shot from 16 ft (assist by E. Moreland)
10:58.0,F. Mason misses 2-pt shot from 10 ft,,77-87,,
10:56.0,,,77-87,,Defensive rebound by A. Tolliver
10:51.0,,,77-87,,L. Kennard misses 3-pt shot from 25 ft
10:51.0,Defensive rebound by K. Koufos,,77-87,,
10:41.0,B. Hield makes 3-pt shot from 24 ft (assist by F. Mason),3,80-87,,
10:28.0,Personal foul by B. Hield (drawn by E. Moreland),,80-87,,
10:20.0,,,80-87,,I. Smith misses 2-pt shot from 12 ft
10:19.0,Defensive rebound by Team,,80-87,,
10:19.0,,,80-87,,Loose ball foul by E. Moreland (drawn by K. Koufos)
10:01.0,B. Hield misses 3-pt shot from 25 ft,,80-87,,
10:01.0,Offensive rebound by Team,,80-87,,
10:01.0,,,80-87,,Personal foul by A. Tolliver (drawn by K. Koufos)
9:47.0,Shooting foul by E. Moreland (drawn by K. Koufos),,80-87,,
9:47.0,V. Carter misses free throw 1 of 2,,80-87,,
9:47.0,Offensive rebound by Team,,80-87,,
9:47.0,,,80-87,,A. Drummond enters the game for E. Moreland
9:47.0,V. Carter makes free throw 2 of 2,1,81-87,,
9:23.0,,,81-87,,A. Drummond misses 2-pt shot from 3 ft
9:21.0,Defensive rebound by J. Jackson,,81-87,,
9:19.0,Turnover by J. Jackson (turnover),,81-87,,
9:00.0,,,81-89,2,A. Drummond makes 2-pt shot at rim (assist by I. Smith)
8:50.0,B. Hield misses 2-pt shot from 19 ft,,81-89,,
8:46.0,,,81-89,,Defensive rebound by A. Drummond
8:38.0,,,81-92,3,A. Tolliver makes 3-pt shot from 25 ft (assist by I. Smith)
8:32.0,Sacramento full timeout,,81-92,,
8:16.0,V. Carter makes 3-pt shot from 25 ft (assist by F. Mason),3,84-92,,
8:00.0,,,84-94,2,L. Kennard makes 2-pt shot from 17 ft (assist by A. Drummond)
7:45.0,,,84-94,,Personal foul by A. Tolliver (drawn by V. Carter)
7:38.0,Offensive foul by K. Koufos (drawn by I. Smith),,84-94,,
7:38.0,Turnover by K. Koufos (offensive foul),,84-94,,
7:17.0,,,84-94,,A. Drummond misses 2-pt shot from 4 ft
7:15.0,Defensive rebound by B. Hield,,84-94,,
7:07.0,F. Mason misses 3-pt shot from 25 ft,,84-94,,
7:07.0,Offensive rebound by F. Mason,,84-94,,
7:05.0,,,84-94,,Personal foul by A. Tolliver (drawn by F. Mason)
7:05.0,F. Mason makes free throw 1 of 2,1,85-94,,
7:05.0,,,85-94,,T. Harris enters the game for A. Tolliver
7:05.0,F. Mason misses free throw 2 of 2,,85-94,,
7:02.0,,,85-94,,Defensive rebound by T. Harris
6:46.0,,,85-94,,T. Harris misses 2-pt shot from 21 ft
6:44.0,Defensive rebound by B. Hield,,85-94,,
6:35.0,F. Mason misses 2-pt shot from 20 ft,,85-94,,
6:30.0,,,85-94,,Defensive rebound by A. Drummond
6:25.0,,,85-94,,I. Smith misses 2-pt shot from 3 ft
6:25.0,Defensive rebound by K. Koufos,,85-94,,
6:17.0,Turnover by F. Mason (bad pass; steal by T. Harris),,85-94,,
6:13.0,Sacramento full timeout,,85-94,,
6:13.0,,,85-94,,A. Bradley enters the game for R. Bullock
6:13.0,Z. Randolph enters the game for K. Koufos,,85-94,,
6:12.0,,,85-96,2,I. Smith makes 2-pt shot from 1 ft (assist by L. Kennard)
5:53.0,Shooting foul by A. Bradley (drawn by B. Hield),,85-96,,
5:53.0,B. Hield makes free throw 1 of 2,1,86-96,,
5:53.0,B. Hield makes free throw 2 of 2,1,87-96,,
5:34.0,,,87-96,,I. Smith misses 2-pt shot from 15 ft
5:30.0,Defensive rebound by B. Hield,,87-96,,
5:22.0,F. Mason misses 2-pt shot from 2 ft,,87-96,,
5:19.0,Offensive rebound by B. Hield,,87-96,,
5:18.0,B. Hield misses 2-pt shot from 2 ft (block by A. Drummond),,87-96,,
5:14.0,,,87-96,,Defensive rebound by I. Smith
5:12.0,,,87-98,2,I. Smith makes 2-pt shot from 1 ft
4:51.0,V. Carter misses 3-pt shot from 22 ft,,87-98,,
4:48.0,,,87-98,,Defensive rebound by I. Smith
4:40.0,,,87-100,2,I. Smith makes 2-pt shot at rim
4:22.0,J. Jackson misses 2-pt shot from 7 ft,,87-100,,
4:20.0,,,87-100,,Defensive rebound by A. Drummond
4:16.0,,,87-100,,I. Smith misses 2-pt shot at rim
4:13.0,Defensive rebound by B. Hield,,87-100,,
4:08.0,F. Mason misses 2-pt shot from 20 ft,,87-100,,
4:05.0,,,87-100,,Defensive rebound by I. Smith
3:49.0,Personal foul by V. Carter (drawn by A. Drummond),,87-100,,
3:49.0,,,87-100,,A. Tolliver enters the game for L. Kennard
3:49.0,,,87-100,,R. Jackson enters the game for I. Smith
3:49.0,B. Bogdanovic enters the game for F. Mason,,87-100,,
3:49.0,W. Cauley-Stein enters the game for V. Carter,,87-100,,
3:49.0,G. Temple enters the game for B. Hield,,87-100,,
3:49.0,D. Fox enters the game for J. Jackson,,87-100,,
3:36.0,,,87-100,,A. Bradley misses 2-pt shot from 21 ft
3:34.0,Defensive rebound by W. Cauley-Stein,,87-100,,
3:27.0,D. Fox makes 2-pt shot from 1 ft,2,89-100,,
3:08.0,,,89-100,,R. Jackson misses 2-pt shot from 21 ft
3:03.0,Defensive rebound by G. Temple,,89-100,,
2:58.0,Z. Randolph misses 3-pt shot from 28 ft,,89-100,,
2:54.0,,,89-100,,Defensive rebound by A. Drummond
2:42.0,,,89-100,,R. Jackson misses 2-pt shot at rim
2:40.0,,,89-100,,Offensive rebound by T. Harris
2:39.0,,,89-103,3,A. Bradley makes 3-pt shot from 23 ft (assist by T. Harris)
2:39.0,Sacramento full timeout,,89-103,,
2:27.0,Z. Randolph makes 2-pt shot from 4 ft,2,91-103,,
1:58.0,Jump ball: A. Tolliver vs. G. Temple (D. Fox gains possession),,,,Jump ball: A. Tolliver vs. G. Temple (D. Fox gains possession)
1:58.0,,,91-103,,Turnover by A. Tolliver (turnover; steal by G. Temple)
1:50.0,Turnover by D. Fox (lost ball; steal by A. Tolliver),,91-103,,
1:44.0,,,91-106,3,A. Bradley makes 3-pt shot from 22 ft (assist by A. Tolliver)
1:36.0,D. Fox makes 2-pt shot from 1 ft,2,93-106,,
1:36.0,Shooting foul by A. Drummond (drawn by D. Fox),,93-106,,
1:36.0,D. Fox makes free throw 1 of 1,1,94-106,,
1:14.0,Jump ball: A. Bradley vs. G. Temple (D. Fox gains possession),,,,Jump ball: A. Bradley vs. G. Temple (D. Fox gains possession)
1:14.0,,,94-106,,Turnover by A. Bradley (turnover; steal by G. Temple)
1:10.0,D. Fox misses 2-pt shot from 16 ft,,94-106,,
1:07.0,,,94-106,,Defensive rebound by A. Drummond
1:01.0,,,94-106,,Offensive foul by A. Drummond (drawn by D. Fox)
1:01.0,,,94-106,,Turnover by A. Drummond (offensive foul)
