time,Golden State,pts.away,score,pts.home,Minnesota
6:38.0,K. Durant misses 2-pt shot from 19 ft,,68-64,,
6:34.0,,,68-64,,Defensive rebound by T. Gibson
6:25.0,,,68-64,,K. Towns misses 2-pt shot from 14 ft
6:23.0,Defensive rebound by Q. Cook,,68-64,,
6:13.0,K. Durant misses 3-pt shot from 24 ft,,68-64,,
6:11.0,,,68-64,,Defensive rebound by T. Gibson
5:58.0,,,68-66,2,T. Gibson makes 2-pt shot at rim (assist by J. Teague)
5:58.0,,,68-66,,Shooting foul by K. Durant (drawn by T. Gibson)
5:58.0,Z. Pachulia enters the game for J. McGee,,68-66,,
5:58.0,,,68-67,1,T. Gibson makes free throw 1 of 1
5:50.0,,,68-67,,Personal foul by A. Wiggins (drawn by K. Thompson)
5:44.0,K. Durant makes 2-pt shot from 17 ft,2,70-67,,
5:21.0,,,70-67,,N. Bjelica misses 2-pt shot from 10 ft
5:18.0,,,70-67,,Offensive rebound by T. Gibson
5:18.0,,,70-67,,T. Gibson misses 2-pt shot at rim
5:17.0,,,70-67,,Offensive rebound by N. Bjelica
5:17.0,,,70-67,,N. Bjelica misses 2-pt shot from 1 ft
5:16.0,Defensive rebound by D. Green,,70-67,,
5:12.0,K. Durant misses 2-pt shot from 8 ft,,70-67,,
5:09.0,Offensive rebound by K. Durant,,70-67,,
5:08.0,K. Durant makes 2-pt shot from 1 ft,2,72-67,,
4:55.0,,,72-69,2,K. Towns makes 2-pt shot at rim (assist by J. Teague)
4:32.0,Turnover by Q. Cook (lost ball; steal by J. Teague),,72-69,,
4:25.0,,,72-69,,Shooting foul by Z. Pachulia (drawn by K. Towns)
4:25.0,,,72-70,1,K. Towns makes free throw 1 of 2
4:25.0,S. Livingston enters the game for Q. Cook,,72-70,,
4:25.0,,,72-71,1,K. Towns makes free throw 2 of 2
4:11.0,Turnover by D. Green (lost ball; steal by J. Teague),,72-71,,
4:08.0,,,72-73,2,J. Teague makes 2-pt shot from 1 ft
3:53.0,D. Green misses 3-pt shot from 24 ft,,72-73,,
3:53.0,,,72-73,,Defensive rebound by K. Towns
3:52.0,K. Looney enters the game for D. Green,,72-73,,
3:33.0,,,72-76,3,A. Wiggins makes 3-pt shot from 25 ft (assist by N. Bjelica)
3:15.0,K. Thompson makes 3-pt shot from 24 ft,3,75-76,,
2:56.0,,,75-78,2,T. Gibson makes 2-pt shot at rim (assist by K. Towns)
2:54.0,Golden State full timeout,,75-78,,
2:54.0,,,75-78,,J. Crawford enters the game for N. Bjelica
2:54.0,N. Young enters the game for K. Thompson,,75-78,,
2:35.0,K. Durant misses 2-pt shot from 8 ft,,75-78,,
2:35.0,Offensive rebound by Team,,75-78,,
2:35.0,,,75-78,,Loose ball foul by K. Towns (drawn by Z. Pachulia)
2:35.0,,,75-78,,G. Dieng enters the game for K. Towns
2:19.0,K. Durant makes 3-pt shot from 26 ft,3,78-78,,
1:59.0,,,78-78,,G. Dieng misses 2-pt shot from 16 ft
1:57.0,Defensive rebound by Z. Pachulia,,78-78,,
1:42.0,S. Livingston misses 2-pt shot from 6 ft,,78-78,,
1:37.0,,,78-78,,Defensive rebound by T. Gibson
1:32.0,,,78-80,2,J. Crawford makes 2-pt shot from 12 ft
1:20.0,S. Livingston misses 2-pt shot from 5 ft,,78-80,,
1:18.0,Offensive rebound by K. Durant,,78-80,,
1:17.0,K. Durant makes 2-pt shot from 1 ft,2,80-80,,
0:56.0,,,80-80,,T. Gibson misses 2-pt shot from 1 ft
0:55.0,Defensive rebound by Team,,80-80,,
0:55.0,,,80-80,,T. Jones enters the game for J. Teague
0:42.0,,,80-80,,Personal foul by T. Gibson (drawn by Z. Pachulia)
0:38.0,K. Durant misses 3-pt shot from 24 ft,,80-80,,
0:34.0,Offensive rebound by S. Livingston,,80-80,,
0:34.0,S. Livingston makes 2-pt shot at rim,2,82-80,,
0:30.0,Personal foul by N. Young (drawn by J. Crawford),,82-80,,
0:30.0,,,82-81,1,J. Crawford makes free throw 1 of 2
0:30.0,,,82-82,1,J. Crawford makes free throw 2 of 2
0:11.0,K. Durant misses 2-pt shot from 11 ft,,82-82,,
0:09.0,Offensive rebound by Z. Pachulia,,82-82,,
0:09.0,Z. Pachulia makes 2-pt shot at rim,2,84-82,,
0:02.0,,,84-84,2,A. Wiggins makes 2-pt shot from 8 ft
0:00.0,K. Durant misses 3-pt shot from 56 ft,,84-84,,
0:00.0,Offensive rebound by Team,,84-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,84-86,2,T. Jones makes 2-pt shot from 21 ft (assist by G. Dieng)
11:24.0,N. Young misses 3-pt shot from 25 ft,,84-86,,
11:21.0,,,84-86,,Defensive rebound by T. Jones
11:16.0,,,84-88,2,T. Jones makes 2-pt shot at rim
11:02.0,Z. Pachulia makes 2-pt shot at rim (assist by K. Thompson),2,86-88,,
11:02.0,Shooting foul by G. Dieng (drawn by Z. Pachulia),,86-88,,
11:02.0,,,86-88,,K. Towns enters the game for G. Dieng
11:02.0,Z. Pachulia makes free throw 1 of 1,1,87-88,,
10:48.0,,,87-90,2,K. Towns makes 2-pt shot from 5 ft (assist by A. Wiggins)
10:27.0,D. Green misses 3-pt shot from 27 ft,,87-90,,
10:24.0,Offensive rebound by N. Young,,87-90,,
10:20.0,K. Thompson misses 3-pt shot from 25 ft,,87-90,,
10:17.0,,,87-90,,Defensive rebound by J. Crawford
10:08.0,,,87-90,,J. Crawford misses 2-pt shot from 1 ft
10:05.0,Defensive rebound by S. Livingston,,87-90,,
9:58.0,N. Young misses 3-pt shot from 23 ft,,87-90,,
9:55.0,,,87-90,,Defensive rebound by A. Wiggins
9:48.0,,,87-90,,A. Wiggins misses 2-pt shot from 18 ft
9:44.0,Defensive rebound by K. Thompson,,87-90,,
9:39.0,Golden State full timeout,,87-90,,
9:39.0,,,87-90,,T. Gibson enters the game for A. Wiggins
9:39.0,O. Casspi enters the game for D. Green,,87-90,,
9:32.0,K. Thompson misses 2-pt shot from 21 ft,,87-90,,
9:29.0,,,87-90,,Defensive rebound by T. Gibson
9:16.0,,,87-90,,K. Towns misses 2-pt shot from 20 ft
9:14.0,Defensive rebound by N. Young,,87-90,,
8:57.0,Turnover by O. Casspi (lost ball; steal by N. Bjelica),,87-90,,
8:41.0,,,87-90,,Turnover by T. Jones (step out of bounds)
8:41.0,K. Durant enters the game for N. Young,,87-90,,
8:26.0,O. Casspi makes 2-pt shot at rim (assist by K. Thompson),2,89-90,,
8:11.0,,,89-90,,Shooting foul by Z. Pachulia (drawn by K. Towns)
8:11.0,,,89-90,,K. Towns misses free throw 1 of 2
8:11.0,,,89-90,,Offensive rebound by Team
8:11.0,,,89-90,,J. Teague enters the game for T. Jones
8:11.0,,,89-91,1,K. Towns makes free throw 2 of 2
8:00.0,K. Durant misses 2-pt shot from 10 ft,,89-91,,
7:54.0,Offensive rebound by Z. Pachulia,,89-91,,
7:54.0,Z. Pachulia misses 2-pt shot at rim,,89-91,,
7:53.0,,,89-91,,Defensive rebound by K. Towns
7:42.0,,,89-94,3,J. Crawford makes 3-pt shot from 25 ft (assist by T. Gibson)
7:24.0,Shooting foul by N. Bjelica (drawn by Z. Pachulia),,89-94,,
7:24.0,Z. Pachulia makes free throw 1 of 2,1,90-94,,
7:24.0,Z. Pachulia misses free throw 2 of 2,,90-94,,
7:20.0,Offensive rebound by O. Casspi,,90-94,,
7:18.0,K. Durant misses 3-pt shot from 24 ft,,90-94,,
7:17.0,Offensive rebound by Z. Pachulia,,90-94,,
7:15.0,Z. Pachulia misses 2-pt shot at rim (block by N. Bjelica),,90-94,,
7:15.0,Offensive rebound by Z. Pachulia,,90-94,,
7:10.0,K. Thompson misses 3-pt shot from 26 ft,,90-94,,
7:10.0,,,90-94,,Defensive rebound by K. Towns
6:59.0,,,90-96,2,N. Bjelica makes 2-pt shot from 1 ft (assist by J. Teague)
6:39.0,K. Thompson makes 2-pt shot from 1 ft (assist by Z. Pachulia),2,92-96,,
6:13.0,,,92-96,,J. Crawford misses 3-pt shot from 23 ft
6:13.0,,,92-96,,Offensive rebound by Team
6:13.0,Loose ball foul by O. Casspi (drawn by T. Gibson),,92-96,,
6:13.0,Q. Cook enters the game for K. Thompson,,92-96,,
6:13.0,N. Young enters the game for O. Casspi,,92-96,,
6:13.0,D. Green enters the game for S. Livingston,,92-96,,
6:11.0,,,92-96,,J. Crawford misses 3-pt shot from 26 ft
6:06.0,Defensive rebound by K. Durant,,92-96,,
6:01.0,Turnover by K. Durant (lost ball; steal by N. Bjelica),,92-96,,
5:54.0,,,92-99,3,K. Towns makes 3-pt shot from 24 ft (assist by J. Teague)
5:52.0,Golden State full timeout,,92-99,,
5:52.0,K. Thompson enters the game for Z. Pachulia,,92-99,,
5:42.0,K. Durant makes 2-pt shot at rim (assist by D. Green),2,94-99,,
5:24.0,,,94-99,,K. Towns misses 3-pt shot from 25 ft
5:22.0,Defensive rebound by K. Thompson,,94-99,,
5:12.0,Turnover by D. Green (step out of bounds),,94-99,,
5:12.0,,,94-99,,A. Wiggins enters the game for J. Crawford
4:54.0,,,94-99,,N. Bjelica misses 2-pt shot from 1 ft
4:51.0,Defensive rebound by K. Durant,,94-99,,
4:39.0,N. Young misses 3-pt shot from 25 ft,,94-99,,
4:36.0,,,94-99,,Defensive rebound by J. Teague
4:29.0,,,94-99,,J. Teague misses 3-pt shot from 24 ft
4:27.0,Defensive rebound by K. Durant,,94-99,,
4:20.0,K. Thompson misses 3-pt shot from 25 ft,,94-99,,
4:17.0,,,94-99,,Defensive rebound by T. Gibson
3:59.0,,,94-99,,A. Wiggins misses 2-pt shot from 18 ft (block by K. Thompson)
3:57.0,Defensive rebound by K. Thompson,,94-99,,
3:54.0,K. Durant misses 2-pt shot from 2 ft,,94-99,,
3:54.0,Offensive rebound by K. Durant,,94-99,,
