time,Indiana,pts.away,score,pts.home,Memphis
9:15.0,,,39-32,3,C. Parsons makes 3-pt shot from 25 ft
9:06.0,D. Collison makes 2-pt shot at rim,2,41-32,,
8:42.0,,,41-34,2,T. Evans makes 2-pt shot from 22 ft
8:23.0,D. Collison makes 2-pt shot from 2 ft,2,43-34,,
8:23.0,Shooting foul by M. Chalmers (drawn by C. Joseph),,43-34,,
8:23.0,,,43-34,,J. Green enters the game for B. McLemore
8:23.0,,,43-34,,D. Brooks enters the game for C. Parsons
8:23.0,T. Young enters the game for T. Leaf,,43-34,,
8:23.0,C. Joseph misses free throw 1 of 1,,43-34,,
8:18.0,,,43-34,,Defensive rebound by B. Wright
8:12.0,,,43-34,,Turnover by T. Evans (bad pass; steal by C. Joseph)
8:04.0,D. Collison makes 2-pt shot from 1 ft (assist by C. Joseph),2,45-34,,
7:58.0,,,45-36,2,M. Chalmers makes 2-pt shot from 1 ft
7:46.0,D. Sabonis misses 2-pt shot from 2 ft,,45-36,,
7:44.0,,,45-36,,Defensive rebound by J. Green
7:43.0,,,45-36,,Turnover by T. Evans (step out of bounds)
7:30.0,C. Joseph makes 3-pt shot from 25 ft (assist by D. Sabonis),3,48-36,,
7:13.0,,,48-36,,T. Evans misses 3-pt shot from 22 ft
7:12.0,Defensive rebound by L. Stephenson,,48-36,,
7:06.0,D. Sabonis makes 2-pt shot from 1 ft (assist by L. Stephenson),2,50-36,,
6:56.0,,,50-36,,Memphis full timeout
6:56.0,,,50-36,,J. Ennis enters the game for T. Evans
6:38.0,,,50-38,2,J. Green makes 2-pt shot at rim (assist by M. Chalmers)
6:38.0,,,50-38,,Shooting foul by D. Sabonis (drawn by J. Green)
6:38.0,,,50-39,1,J. Green makes free throw 1 of 1
6:26.0,D. Collison misses 2-pt shot from 19 ft,,50-39,,
6:25.0,Offensive rebound by Team,,50-39,,
6:25.0,,,50-39,,Personal foul by D. Brooks (drawn by D. Collison)
6:25.0,,,50-39,,M. Gasol enters the game for B. Wright
6:17.0,D. Sabonis misses 2-pt shot from 18 ft,,50-39,,
6:15.0,,,50-39,,Defensive rebound by D. Brooks
6:09.0,,,50-39,,M. Gasol misses 2-pt shot from 13 ft
6:06.0,Defensive rebound by T. Young,,50-39,,
5:52.0,D. Sabonis makes 2-pt shot from 11 ft (assist by L. Stephenson),2,52-39,,
5:33.0,,,52-41,2,D. Brooks makes 2-pt shot from 1 ft (assist by M. Gasol)
5:25.0,,,52-41,,Personal foul by M. Chalmers (drawn by D. Collison)
5:25.0,V. Oladipo enters the game for C. Joseph,,52-41,,
5:25.0,M. Turner enters the game for D. Sabonis,,52-41,,
5:11.0,D. Collison makes 2-pt shot from 20 ft,2,54-41,,
4:56.0,,,54-41,,Turnover by D. Brooks (traveling)
4:41.0,M. Turner misses 2-pt shot from 1 ft (block by M. Gasol),,54-41,,
4:38.0,,,54-41,,Defensive rebound by J. Ennis
4:35.0,,,54-43,2,J. Green makes 2-pt shot from 1 ft (assist by J. Ennis)
4:28.0,,,54-43,,Personal foul by J. Green (drawn by M. Turner)
4:28.0,,,54-43,,T. Evans enters the game for M. Chalmers
4:28.0,B. Bogdanovic enters the game for L. Stephenson,,54-43,,
4:18.0,V. Oladipo misses 3-pt shot from 22 ft,,54-43,,
4:15.0,,,54-43,,Defensive rebound by M. Gasol
4:09.0,,,54-43,,M. Gasol misses 3-pt shot from 25 ft
3:59.0,Defensive rebound by T. Young,,54-43,,
3:57.0,T. Young misses 3-pt shot from 25 ft,,54-43,,
3:57.0,,,54-43,,Defensive rebound by Team
3:57.0,,,54-43,,C. Parsons enters the game for J. Green
3:36.0,,,54-45,2,M. Gasol makes 2-pt shot from 9 ft (assist by D. Brooks)
3:23.0,,,54-45,,Personal foul by D. Brooks (drawn by M. Turner)
3:23.0,M. Turner makes free throw 1 of 2,1,55-45,,
3:23.0,M. Turner makes free throw 2 of 2,1,56-45,,
3:13.0,,,56-45,,Turnover by C. Parsons (traveling)
2:56.0,V. Oladipo makes 2-pt shot at rim (assist by M. Turner),2,58-45,,
2:33.0,,,58-45,,J. Ennis misses 3-pt shot from 24 ft
2:31.0,Defensive rebound by B. Bogdanovic,,58-45,,
2:25.0,,,58-45,,Personal foul by T. Evans (drawn by D. Collison)
2:25.0,Indiana full timeout,,58-45,,
2:25.0,D. Collison makes free throw 1 of 2,1,59-45,,
2:25.0,D. Collison makes free throw 2 of 2,1,60-45,,
2:07.0,,,60-45,,Turnover by M. Gasol (lost ball; steal by V. Oladipo)
1:55.0,M. Turner misses 2-pt shot from 1 ft (block by M. Gasol),,60-45,,
1:52.0,,,60-45,,Defensive rebound by M. Gasol
1:49.0,,,60-45,,D. Brooks misses 2-pt shot at rim
1:44.0,,,60-45,,Offensive rebound by D. Brooks
1:44.0,,,60-47,2,D. Brooks makes 2-pt shot at rim
1:21.0,,,60-47,,Personal foul by J. Ennis (drawn by D. Collison)
1:21.0,D. Collison makes free throw 1 of 2,1,61-47,,
1:21.0,,,61-47,,M. Chalmers enters the game for J. Ennis
1:21.0,D. Collison makes free throw 2 of 2,1,62-47,,
1:06.0,,,62-47,,Shooting foul by M. Turner (drawn by M. Gasol)
1:06.0,,,62-48,1,M. Gasol makes free throw 1 of 2
1:06.0,D. Sabonis enters the game for M. Turner,,62-48,,
1:06.0,,,62-49,1,M. Gasol makes free throw 2 of 2
0:53.0,,,62-49,,Violation by D. Brooks (kicked ball)
0:49.0,B. Bogdanovic makes 3-pt shot from 26 ft (assist by D. Sabonis),3,65-49,,
0:37.0,,,65-51,2,M. Gasol makes 2-pt shot from 1 ft (assist by T. Evans)
0:28.0,B. Bogdanovic misses 3-pt shot from 28 ft,,65-51,,
0:25.0,,,65-51,,Defensive rebound by M. Chalmers
0:04.0,,,65-51,,Shooting foul by D. Sabonis (drawn by T. Evans)
0:04.0,,,65-52,1,T. Evans makes free throw 1 of 2
0:04.0,,,65-53,1,T. Evans makes free throw 2 of 2
0:01.0,V. Oladipo makes 2-pt shot from 21 ft,2,67-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,M. Turner makes 2-pt shot from 18 ft (assist by D. Collison),2,69-53,,
11:18.0,,,69-56,3,J. Green makes 3-pt shot from 24 ft (assist by M. Gasol)
11:03.0,V. Oladipo misses 2-pt shot from 20 ft,,69-56,,
11:03.0,,,69-56,,Defensive rebound by M. Gasol
10:56.0,,,69-58,2,D. Brooks makes 2-pt shot at rim (assist by M. Chalmers)
10:56.0,,,69-58,,Shooting foul by D. Collison (drawn by D. Brooks)
10:56.0,,,69-59,1,D. Brooks makes free throw 1 of 1
10:34.0,V. Oladipo makes 2-pt shot at rim,2,71-59,,
10:29.0,,,71-61,2,D. Brooks makes 2-pt shot at rim
10:29.0,,,71-61,,Shooting foul by T. Young (drawn by D. Brooks)
10:29.0,,,71-61,,D. Brooks misses free throw 1 of 1
10:25.0,Defensive rebound by T. Young,,71-61,,
10:17.0,T. Young misses 2-pt shot from 1 ft (block by M. Gasol),,71-61,,
10:13.0,,,71-61,,Defensive rebound by M. Gasol
10:07.0,,,71-64,3,M. Gasol makes 3-pt shot from 25 ft (assist by M. Chalmers)
10:05.0,Indiana full timeout,,71-64,,
9:57.0,M. Turner misses 3-pt shot from 26 ft,,71-64,,
9:53.0,,,71-64,,Defensive rebound by D. Brooks
9:38.0,,,71-64,,D. Brooks misses 3-pt shot from 25 ft
9:34.0,Defensive rebound by B. Bogdanovic,,71-64,,
9:23.0,V. Oladipo makes 2-pt shot from 22 ft (assist by D. Collison),2,73-64,,
9:02.0,,,73-64,,M. Gasol misses 2-pt shot from 9 ft
8:58.0,,,73-64,,Offensive rebound by D. Brooks
8:55.0,,,73-64,,Offensive foul by D. Brooks (drawn by V. Oladipo)
8:55.0,,,73-64,,Turnover by D. Brooks (offensive foul)
8:38.0,,,73-64,,Personal block foul by J. Green (drawn by V. Oladipo)
8:38.0,,,73-64,,Turnover by J. Green (turnover)
8:29.0,V. Oladipo makes 3-pt shot from 25 ft (assist by D. Collison),3,76-64,,
8:12.0,,,76-64,,Shooting foul by T. Young (drawn by M. Gasol)
8:12.0,,,76-65,1,M. Gasol makes free throw 1 of 2
8:12.0,,,76-66,1,M. Gasol makes free throw 2 of 2
7:58.0,M. Turner makes 2-pt shot from 15 ft (assist by V. Oladipo),2,78-66,,
7:35.0,,,78-66,,M. Gasol misses 2-pt shot from 1 ft (block by M. Turner)
7:31.0,Defensive rebound by V. Oladipo,,78-66,,
7:28.0,B. Bogdanovic makes 3-pt shot from 23 ft (assist by D. Collison),3,81-66,,
7:28.0,,,81-66,,Memphis full timeout
7:28.0,,,81-66,,T. Evans enters the game for J. Ennis
7:05.0,,,81-66,,Turnover by J. Green (lost ball; steal by T. Young)
6:49.0,D. Collison misses 3-pt shot from 23 ft,,81-66,,
6:47.0,Offensive rebound by T. Young,,81-66,,
6:45.0,Turnover by T. Young (lost ball; steal by T. Evans),,81-66,,
6:38.0,,,81-69,3,M. Gasol makes 3-pt shot from 26 ft (assist by T. Evans)
6:17.0,V. Oladipo misses 2-pt shot from 21 ft,,81-69,,
6:15.0,,,81-69,,Defensive rebound by M. Chalmers
6:12.0,,,81-69,,T. Evans misses 2-pt shot from 2 ft (block by V. Oladipo)
6:06.0,Defensive rebound by D. Collison,,81-69,,
6:05.0,Shooting foul by J. Green (drawn by D. Collison),,81-69,,
6:05.0,D. Collison makes free throw 1 of 2,1,82-69,,
6:05.0,,,82-69,,C. Parsons enters the game for J. Green
6:05.0,,,82-69,,W. Selden enters the game for M. Chalmers
6:05.0,D. Collison makes free throw 2 of 2,1,83-69,,
5:45.0,,,83-71,2,C. Parsons makes 2-pt shot from 18 ft (assist by M. Gasol)
5:26.0,Turnover by T. Young (lost ball; steal by D. Brooks),,83-71,,
5:12.0,,,83-71,,T. Evans misses 2-pt shot from 1 ft
5:10.0,,,83-71,,Offensive rebound by T. Evans
5:08.0,,,83-71,,T. Evans misses 2-pt shot at rim (block by M. Turner)
5:05.0,Defensive rebound by B. Bogdanovic,,83-71,,
4:57.0,T. Young makes 2-pt shot from 3 ft,2,85-71,,
4:49.0,,,85-71,,Shooting foul by T. Young (drawn by M. Gasol)
4:49.0,,,85-71,,M. Gasol misses free throw 1 of 2
4:49.0,,,85-71,,Offensive rebound by Team
4:49.0,,,85-71,,B. McLemore enters the game for D. Brooks
4:49.0,C. Joseph enters the game for D. Collison,,85-71,,
4:49.0,,,85-72,1,M. Gasol makes free throw 2 of 2
4:36.0,V. Oladipo misses 2-pt shot at rim (block by M. Gasol),,85-72,,
4:36.0,Offensive rebound by Team,,85-72,,
4:36.0,D. Sabonis enters the game for T. Young,,85-72,,
4:28.0,B. Bogdanovic misses 2-pt shot from 8 ft,,85-72,,
4:25.0,,,85-72,,Defensive rebound by T. Evans
4:18.0,,,85-74,2,T. Evans makes 2-pt shot at rim
4:10.0,B. Bogdanovic misses 3-pt shot from 24 ft,,85-74,,
4:09.0,Offensive rebound by Team,,85-74,,
4:05.0,,,85-74,,Personal foul by C. Parsons (drawn by C. Joseph)
3:56.0,C. Joseph makes 2-pt shot from 1 ft,2,87-74,,
3:40.0,,,87-74,,M. Gasol misses 2-pt shot at rim (block by V. Oladipo)
3:40.0,,,87-74,,Offensive rebound by Team
3:39.0,Jump ball: M. Gasol vs. V. Oladipo (W. Selden gains possession),,,,Jump ball: M. Gasol vs. V. Oladipo (W. Selden gains possession)
3:39.0,L. Stephenson enters the game for B. Bogdanovic,,87-74,,
3:32.0,,,87-74,,T. Evans misses 3-pt shot from 25 ft
3:28.0,Defensive rebound by L. Stephenson,,87-74,,
3:23.0,V. Oladipo makes 2-pt shot from 1 ft,2,89-74,,
3:11.0,,,89-74,,B. McLemore misses 2-pt shot at rim
3:08.0,Defensive rebound by C. Joseph,,89-74,,
2:58.0,V. Oladipo misses 3-pt shot from 25 ft,,89-74,,
2:55.0,,,89-74,,Defensive rebound by C. Parsons
2:45.0,,,89-77,3,T. Evans makes 3-pt shot from 25 ft
2:31.0,,,89-77,,Personal foul by C. Parsons (drawn by M. Turner)
2:31.0,,,89-77,,B. Wright enters the game for M. Gasol
2:26.0,C. Joseph misses 2-pt shot from 16 ft,,89-77,,
2:22.0,,,89-77,,Defensive rebound by C. Parsons
2:20.0,,,89-77,,Shooting foul by M. Turner (drawn by T. Evans)
2:20.0,,,89-77,,T. Evans misses free throw 1 of 2
2:20.0,,,89-77,,Offensive rebound by Team
2:20.0,D. Collison enters the game for V. Oladipo,,89-77,,
2:20.0,,,89-78,1,T. Evans makes free throw 2 of 2
2:02.0,C. Joseph makes 2-pt shot from 8 ft,2,91-78,,
1:49.0,,,91-80,2,B. McLemore makes 2-pt shot from 15 ft (assist by T. Evans)
1:32.0,D. Sabonis makes 2-pt shot from 1 ft (assist by D. Collison),2,93-80,,
1:15.0,,,93-80,,B. McLemore misses 3-pt shot from 23 ft
1:13.0,Defensive rebound by D. Sabonis,,93-80,,
1:08.0,C. Joseph misses 2-pt shot from 2 ft,,93-80,,
1:04.0,,,93-80,,Defensive rebound by W. Selden
0:56.0,,,93-80,,W. Selden misses 3-pt shot from 25 ft
0:53.0,,,93-80,,Offensive rebound by B. McLemore
0:53.0,,,93-82,2,B. McLemore makes 2-pt shot at rim
0:47.0,,,93-82,,Loose ball foul by B. McLemore (drawn by D. Collison)
0:47.0,D. Collison makes free throw 1 of 2,1,94-82,,
0:47.0,T. Young enters the game for M. Turner,,94-82,,
0:47.0,D. Collison makes free throw 2 of 2,1,95-82,,
0:32.0,,,95-84,2,B. Wright makes 2-pt shot from 11 ft (assist by T. Evans)
0:16.0,,,95-84,,Personal foul by B. McLemore (drawn by D. Collison)
0:16.0,D. Collison makes free throw 1 of 2,1,96-84,,
0:16.0,D. Collison makes free throw 2 of 2,1,97-84,,
0:02.0,,,97-84,,Turnover by B. McLemore (bad pass; steal by C. Joseph)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,97-84,,Turnover by W. Selden (lost ball; steal by T. Young)
11:38.0,L. Stephenson makes 2-pt shot from 1 ft (assist by D. Collison),2,99-84,,
11:22.0,,,99-86,2,B. McLemore makes 2-pt shot at rim (assist by T. Evans)
10:58.0,D. Sabonis makes 2-pt shot from 21 ft (assist by C. Joseph),2,101-86,,
10:43.0,,,101-86,,T. Evans misses 2-pt shot at rim (block by C. Joseph)
10:40.0,Defensive rebound by L. Stephenson,,101-86,,
10:37.0,D. Collison makes 2-pt shot from 19 ft (assist by L. Stephenson),2,103-86,,
10:36.0,,,103-86,,Memphis full timeout
10:13.0,,,103-86,,M. Gasol misses 2-pt shot from 15 ft
10:10.0,,,103-86,,Offensive rebound by B. McLemore
10:09.0,,,103-88,2,B. McLemore makes 2-pt shot at rim
9:45.0,C. Joseph misses 2-pt shot at rim,,103-88,,
9:41.0,Offensive rebound by L. Stephenson,,103-88,,
9:41.0,L. Stephenson makes 2-pt shot at rim,2,105-88,,
9:19.0,,,105-88,,B. McLemore misses 3-pt shot from 23 ft
9:16.0,Defensive rebound by D. Sabonis,,105-88,,
8:59.0,D. Sabonis misses 2-pt shot from 21 ft,,105-88,,
8:57.0,Offensive rebound by L. Stephenson,,105-88,,
8:47.0,D. Collison misses 2-pt shot from 4 ft (block by T. Evans),,105-88,,
8:47.0,,,105-88,,Defensive rebound by M. Gasol
8:43.0,,,105-88,,Shooting foul by D. Sabonis (drawn by W. Selden)
8:43.0,,,105-89,1,W. Selden makes free throw 1 of 2
8:43.0,V. Oladipo enters the game for D. Collison,,105-89,,
8:43.0,,,105-90,1,W. Selden makes free throw 2 of 2
8:23.0,T. Young misses 2-pt shot from 1 ft (block by B. Wright),,105-90,,
8:20.0,,,105-90,,Defensive rebound by T. Evans
8:11.0,Technical foul by L. Stephenson,,105-90,,
8:11.0,,,105-90,,Technical foul by B. McLemore
8:11.0,,,105-90,,M. Chalmers enters the game for W. Selden
8:05.0,,,105-90,,Shooting foul by T. Young (drawn by M. Gasol)
8:05.0,,,105-91,1,M. Gasol makes free throw 1 of 2
8:05.0,B. Bogdanovic enters the game for L. Stephenson,,105-91,,
8:05.0,,,105-92,1,M. Gasol makes free throw 2 of 2
7:54.0,V. Oladipo misses 2-pt shot from 17 ft,,105-92,,
7:52.0,,,105-92,,Defensive rebound by M. Gasol
7:45.0,,,105-94,2,T. Evans makes 2-pt shot from 1 ft
7:27.0,Offensive charge foul by T. Young (drawn by M. Chalmers),,105-94,,
7:27.0,Turnover by T. Young (offensive foul),,105-94,,
7:27.0,M. Turner enters the game for T. Young,,105-94,,
7:12.0,,,105-94,,Turnover by M. Gasol (traveling)
6:59.0,V. Oladipo misses 2-pt shot from 10 ft,,105-94,,
6:59.0,,,105-94,,Defensive rebound by M. Gasol
6:52.0,,,105-96,2,B. Wright makes 2-pt shot at rim (assist by M. Chalmers)
6:52.0,Indiana full timeout,,105-96,,
6:52.0,,,105-96,,C. Parsons enters the game for T. Evans
6:44.0,C. Joseph misses 2-pt shot from 18 ft,,105-96,,
6:41.0,,,105-96,,Defensive rebound by B. McLemore
6:21.0,Personal foul by D. Sabonis (drawn by M. Gasol),,105-96,,
6:21.0,D. Collison enters the game for C. Joseph,,105-96,,
6:11.0,,,105-98,2,M. Chalmers makes 2-pt shot from 1 ft (assist by C. Parsons)
6:00.0,Offensive foul by D. Sabonis (drawn by M. Chalmers),,105-98,,
6:00.0,Turnover by D. Sabonis (offensive foul),,105-98,,
5:48.0,,,105-98,,M. Gasol misses 3-pt shot from 25 ft
5:45.0,Defensive rebound by V. Oladipo,,105-98,,
5:37.0,Turnover by D. Sabonis (traveling),,105-98,,
5:37.0,,,105-98,,T. Evans enters the game for B. McLemore
5:21.0,,,105-98,,T. Evans misses 3-pt shot from 25 ft
5:18.0,,,105-98,,Offensive rebound by B. Wright
5:16.0,,,105-98,,M. Chalmers misses 3-pt shot from 23 ft
5:16.0,Defensive rebound by D. Sabonis,,105-98,,
5:09.0,V. Oladipo misses 2-pt shot at rim (block by M. Gasol),,105-98,,
5:09.0,,,105-98,,Defensive rebound by Team
5:09.0,T. Young enters the game for D. Sabonis,,105-98,,
4:55.0,,,105-98,,M. Chalmers misses 3-pt shot from 25 ft
4:53.0,Defensive rebound by Team,,105-98,,
4:53.0,Indiana full timeout,,105-98,,
4:39.0,B. Bogdanovic makes 3-pt shot from 23 ft (assist by M. Turner),3,108-98,,
4:20.0,,,108-101,3,M. Gasol makes 3-pt shot from 24 ft (assist by M. Chalmers)
4:03.0,V. Oladipo makes 3-pt shot from 25 ft,3,111-101,,
3:52.0,,,111-103,2,M. Chalmers makes 2-pt shot from 1 ft
3:32.0,Shooting foul by M. Gasol (drawn by T. Young),,111-103,,
3:32.0,T. Young makes free throw 1 of 2,1,112-103,,
3:32.0,T. Young misses free throw 2 of 2,,112-103,,
3:32.0,,,112-103,,Defensive rebound by M. Gasol
3:32.0,,,112-103,,Memphis full timeout
3:16.0,,,112-106,3,C. Parsons makes 3-pt shot from 27 ft (assist by M. Gasol)
2:53.0,T. Young misses 2-pt shot from 1 ft (block by B. Wright),,112-106,,
2:49.0,,,112-106,,Defensive rebound by T. Evans
2:47.0,,,112-108,2,T. Evans makes 2-pt shot from 1 ft
2:30.0,Turnover by V. Oladipo (bad pass; steal by B. Wright),,112-108,,
