time,New Orleans,pts.away,score,pts.home,Indiana
7:50.0,,,10-9,,Defensive rebound by D. Collison
7:49.0,,,10-11,2,V. Oladipo makes 2-pt shot at rim (assist by D. Collison)
7:33.0,Shooting foul by T. Young (drawn by A. Davis),,10-11,,
7:33.0,A. Davis misses free throw 1 of 2,,10-11,,
7:33.0,Offensive rebound by Team,,10-11,,
7:33.0,A. Davis makes free throw 2 of 2,1,11-11,,
7:23.0,,,11-14,3,B. Bogdanovic makes 3-pt shot from 26 ft (assist by V. Oladipo)
7:11.0,A. Davis makes 2-pt shot from 1 ft,2,13-14,,
6:55.0,,,13-14,,Shooting foul by J. Holiday (drawn by M. Turner)
6:55.0,,,13-14,,Indiana full timeout
6:55.0,,,13-15,1,M. Turner makes free throw 1 of 2
6:55.0,,,13-16,1,M. Turner makes free throw 2 of 2
6:41.0,A. Davis misses 2-pt shot from 5 ft,,13-16,,
6:40.0,,,13-16,,Defensive rebound by M. Turner
6:40.0,Personal foul by D. Cousins (drawn by M. Turner),,13-16,,
6:40.0,T. Allen enters the game for D. Cousins,,13-16,,
6:25.0,,,13-18,2,M. Turner makes 2-pt shot from 1 ft
6:19.0,T. Allen makes 2-pt shot from 3 ft,2,15-18,,
6:03.0,,,15-20,2,V. Oladipo makes 2-pt shot at rim
5:51.0,Turnover by J. Holiday (bad pass; steal by B. Bogdanovic),,15-20,,
5:41.0,,,15-20,,Shooting foul by E. Moore (drawn by V. Oladipo)
5:41.0,,,15-21,1,V. Oladipo makes free throw 1 of 2
5:41.0,,,15-22,1,V. Oladipo makes free throw 2 of 2
5:30.0,E. Moore misses 2-pt shot from 1 ft,,15-22,,
5:30.0,Offensive rebound by Team,,15-22,,
5:30.0,,,15-22,,Loose ball foul by V. Oladipo (drawn by A. Davis)
5:25.0,A. Davis makes 2-pt shot from 17 ft,2,17-22,,
4:58.0,,,17-22,,D. Collison misses 3-pt shot from 27 ft
4:57.0,,,17-22,,Offensive rebound by Team
4:57.0,,,17-22,,Turnover by Team (shot clock)
4:46.0,T. Allen misses 2-pt shot from 21 ft,,17-22,,
4:43.0,,,17-22,,Defensive rebound by T. Young
4:37.0,,,17-22,,B. Bogdanovic misses 3-pt shot from 22 ft
4:36.0,,,17-22,,Offensive rebound by M. Turner
4:36.0,,,17-22,,Shooting foul by J. Holiday (drawn by M. Turner)
4:36.0,,,17-23,1,M. Turner makes free throw 1 of 2
4:36.0,,,17-23,,L. Stephenson enters the game for B. Bogdanovic
4:36.0,J. Nelson enters the game for J. Holiday,,17-23,,
4:36.0,,,17-24,1,M. Turner makes free throw 2 of 2
4:23.0,E. Moore makes 3-pt shot from 22 ft (assist by A. Davis),3,20-24,,
4:13.0,,,20-26,2,V. Oladipo makes 2-pt shot from 17 ft
4:07.0,,,20-26,,Personal foul by L. Stephenson (drawn by T. Allen)
4:07.0,,,20-26,,C. Joseph enters the game for D. Collison
3:57.0,D. Cunningham misses 3-pt shot from 23 ft,,20-26,,
3:51.0,,,20-26,,Defensive rebound by L. Stephenson
3:45.0,,,20-26,,Turnover by M. Turner (bad pass; steal by T. Allen)
3:40.0,,,20-26,,Personal foul by V. Oladipo (drawn by A. Davis)
3:40.0,A. Davis makes free throw 1 of 2,1,21-26,,
3:40.0,,,21-26,,J. Young enters the game for V. Oladipo
3:40.0,,,21-26,,T. Leaf enters the game for T. Young
3:40.0,D. Miller enters the game for D. Cunningham,,21-26,,
3:40.0,A. Davis makes free throw 2 of 2,1,22-26,,
3:27.0,,,22-26,,M. Turner misses 2-pt shot from 18 ft
3:23.0,,,22-26,,Offensive rebound by T. Leaf
3:18.0,,,22-26,,C. Joseph misses 2-pt shot from 1 ft (block by J. Nelson)
3:18.0,,,22-26,,Offensive rebound by Team
3:16.0,,,22-28,2,C. Joseph makes 2-pt shot from 14 ft (assist by L. Stephenson)
3:03.0,Shooting foul by T. Leaf (drawn by D. Miller),,22-28,,
3:03.0,D. Miller makes free throw 1 of 1,1,26-28,,
3:02.0,D. Miller makes 3-pt shot from 26 ft (assist by J. Nelson),3,25-28,,
2:48.0,,,25-28,,Shooting foul by T. Allen (drawn by L. Stephenson)
2:48.0,New Orleans full timeout,,25-28,,
2:48.0,,,25-28,,A. Jefferson enters the game for M. Turner
2:48.0,I. Clark enters the game for E. Moore,,25-28,,
2:48.0,,,26-29,1,L. Stephenson makes free throw 1 of 2
2:48.0,,,26-29,,L. Stephenson misses free throw 2 of 2
2:45.0,Defensive rebound by A. Davis,,26-29,,
2:31.0,D. Miller makes 2-pt shot from 7 ft,2,28-29,,
2:07.0,,,28-29,,T. Leaf misses 2-pt shot from 1 ft
2:05.0,Defensive rebound by A. Davis,,28-29,,
1:53.0,A. Davis makes 2-pt shot from 1 ft (assist by J. Nelson),2,30-29,,
1:28.0,,,30-31,2,J. Young makes 2-pt shot from 18 ft
1:15.0,,,30-31,,Personal foul by A. Jefferson (drawn by J. Nelson)
1:15.0,J. Nelson makes free throw 1 of 2,1,31-31,,
1:15.0,J. Nelson makes free throw 2 of 2,1,32-31,,
0:56.0,,,32-33,2,C. Joseph makes 2-pt shot from 18 ft (assist by A. Jefferson)
0:46.0,J. Nelson makes 2-pt shot from 14 ft,2,34-33,,
0:31.0,,,34-33,,A. Jefferson misses 2-pt shot from 17 ft
0:28.0,,,34-33,,Offensive rebound by L. Stephenson
0:27.0,,,34-35,2,L. Stephenson makes 2-pt shot from 2 ft
0:08.0,Offensive foul by A. Davis (drawn by J. Young),,34-35,,
0:08.0,Turnover by A. Davis (offensive foul),,34-35,,
0:01.0,,,34-37,2,T. Leaf makes 2-pt shot from 21 ft (assist by C. Joseph)
0:00.0,I. Clark misses 3-pt shot from 73 ft,,34-37,,
0:00.0,Offensive rebound by Team,,34-37,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,D. Miller misses 3-pt shot from 27 ft,,34-37,,
11:46.0,,,34-37,,Defensive rebound by L. Stephenson
11:41.0,,,34-37,,Turnover by L. Stephenson (bad pass; steal by J. Nelson)
11:29.0,D. Cousins misses 2-pt shot from 18 ft,,34-37,,
11:25.0,,,34-37,,Defensive rebound by L. Stephenson
11:15.0,,,34-39,2,L. Stephenson makes 2-pt shot from 16 ft
11:05.0,Turnover by J. Holiday (bad pass),,34-39,,
10:56.0,,,34-41,2,L. Stephenson makes 2-pt shot from 1 ft
10:49.0,J. Holiday makes 2-pt shot from 1 ft,2,36-41,,
10:23.0,,,36-43,2,J. Young makes 2-pt shot from 1 ft
10:11.0,D. Cousins misses 3-pt shot from 26 ft,,36-43,,
10:08.0,Offensive rebound by J. Nelson,,36-43,,
10:06.0,I. Clark misses 3-pt shot from 25 ft,,36-43,,
10:06.0,Offensive rebound by Team,,36-43,,
10:05.0,,,36-43,,Loose ball foul by T. Leaf (drawn by D. Cousins)
9:59.0,J. Holiday makes 2-pt shot from 1 ft,2,38-43,,
9:46.0,,,38-43,,L. Stephenson misses 2-pt shot from 19 ft
9:42.0,,,38-43,,Offensive rebound by J. Young
9:32.0,,,38-43,,Shooting foul by J. Holiday (drawn by L. Stephenson)
9:32.0,,,38-44,1,L. Stephenson makes free throw 1 of 2
9:32.0,,,38-44,,T. Young enters the game for T. Leaf
9:32.0,E. Moore enters the game for J. Holiday,,38-44,,
9:32.0,,,38-45,1,L. Stephenson makes free throw 2 of 2
9:18.0,J. Nelson makes 3-pt shot from 23 ft (assist by D. Cousins),3,41-45,,
8:50.0,,,41-45,,L. Stephenson misses 2-pt shot from 15 ft
8:48.0,Defensive rebound by D. Cousins,,41-45,,
8:46.0,Turnover by I. Clark (out of bounds lost ball),,41-45,,
8:46.0,,,41-45,,D. Collison enters the game for J. Young
8:38.0,,,41-48,3,D. Collison makes 3-pt shot from 24 ft (assist by C. Joseph)
8:21.0,D. Miller makes 3-pt shot from 26 ft,3,44-48,,
8:07.0,,,44-48,,T. Young misses 2-pt shot from 7 ft
8:03.0,Defensive rebound by J. Nelson,,44-48,,
7:59.0,J. Nelson misses 3-pt shot from 26 ft,,44-48,,
7:57.0,,,44-48,,Defensive rebound by A. Jefferson
7:44.0,,,44-50,2,A. Jefferson makes 2-pt shot from 4 ft
7:36.0,D. Cousins makes 2-pt shot from 11 ft,2,46-50,,
7:36.0,Shooting foul by A. Jefferson (drawn by D. Cousins),,46-50,,
7:36.0,,,46-50,,M. Turner enters the game for A. Jefferson
7:36.0,A. Davis enters the game for D. Miller,,46-50,,
7:36.0,D. Cousins makes free throw 1 of 1,1,47-50,,
7:13.0,,,47-53,3,L. Stephenson makes 3-pt shot from 30 ft (assist by D. Collison)
6:59.0,D. Cousins makes 2-pt shot at rim,2,49-53,,
6:43.0,,,49-55,2,T. Young makes 2-pt shot from 1 ft
6:31.0,I. Clark misses 3-pt shot from 27 ft,,49-55,,
6:29.0,,,49-55,,Defensive rebound by T. Young
6:20.0,,,49-57,2,M. Turner makes 2-pt shot from 2 ft
6:20.0,Shooting block foul by E. Moore (drawn by M. Turner),,49-57,,
6:20.0,,,49-57,,Indiana full timeout
6:20.0,T. Allen enters the game for J. Nelson,,49-57,,
6:20.0,,,49-58,1,M. Turner makes free throw 1 of 1
6:09.0,D. Cousins makes 2-pt shot from 1 ft (assist by A. Davis),2,51-58,,
5:52.0,,,51-61,3,M. Turner makes 3-pt shot from 27 ft (assist by D. Collison)
5:29.0,E. Moore misses 2-pt shot from 1 ft (block by M. Turner),,51-61,,
5:29.0,Offensive rebound by E. Moore,,51-61,,
5:23.0,E. Moore makes 2-pt shot from 4 ft,2,53-61,,
4:59.0,,,53-61,,C. Joseph misses 3-pt shot from 28 ft
4:57.0,Defensive rebound by T. Allen,,53-61,,
4:55.0,Turnover by T. Allen (bad pass; steal by T. Young),,53-61,,
4:41.0,,,53-63,2,D. Collison makes 2-pt shot from 1 ft
4:20.0,D. Cousins makes 2-pt shot from 1 ft (assist by T. Allen),2,55-63,,
3:54.0,,,55-63,,C. Joseph misses 3-pt shot from 29 ft
3:49.0,,,55-63,,Offensive rebound by T. Young
3:49.0,,,55-65,2,T. Young makes 2-pt shot at rim
3:36.0,I. Clark makes 3-pt shot from 26 ft,3,58-65,,
3:19.0,,,58-65,,T. Young misses 3-pt shot from 22 ft
3:16.0,Defensive rebound by D. Cousins,,58-65,,
3:04.0,Turnover by I. Clark (bad pass; steal by T. Young),,58-65,,
3:00.0,,,58-67,2,D. Collison makes 2-pt shot at rim (assist by T. Young)
2:51.0,New Orleans full timeout,,58-67,,
2:51.0,,,58-67,,B. Bogdanovic enters the game for C. Joseph
2:51.0,J. Nelson enters the game for E. Moore,,58-67,,
2:33.0,Turnover by A. Davis (bad pass; steal by L. Stephenson),,58-67,,
2:23.0,,,58-69,2,B. Bogdanovic makes 2-pt shot from 8 ft (assist by D. Collison)
2:07.0,Turnover by T. Allen (bad pass),,58-69,,
2:02.0,,,58-69,,Turnover by D. Collison (bad pass)
1:50.0,D. Cousins misses 3-pt shot from 25 ft,,58-69,,
1:47.0,Offensive rebound by I. Clark,,58-69,,
1:43.0,,,58-69,,Personal foul by D. Collison (drawn by A. Davis)
1:43.0,D. Miller enters the game for T. Allen,,58-69,,
1:26.0,A. Davis makes 3-pt shot from 23 ft (assist by D. Cousins),3,61-69,,
1:07.0,,,61-71,2,M. Turner makes 2-pt shot from 18 ft (assist by D. Collison)
0:52.0,I. Clark misses 2-pt shot from 14 ft,,61-71,,
0:50.0,,,61-71,,Defensive rebound by L. Stephenson
0:43.0,,,61-73,2,T. Young makes 2-pt shot from 1 ft (assist by L. Stephenson)
0:31.0,J. Nelson misses 3-pt shot from 25 ft,,61-73,,
0:28.0,,,61-73,,Defensive rebound by B. Bogdanovic
0:07.0,,,61-75,2,D. Collison makes 2-pt shot from 17 ft
0:01.0,D. Miller misses 3-pt shot from 27 ft,,61-75,,
0:01.0,Offensive rebound by Team,,61-75,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,A. Davis makes 2-pt shot from 1 ft (assist by E. Moore),2,63-75,,
11:30.0,,,63-75,,Turnover by T. Young (lost ball; steal by A. Davis)
11:26.0,D. Cunningham makes 2-pt shot from 1 ft (assist by A. Davis),2,65-75,,
11:07.0,,,65-75,,M. Turner misses 2-pt shot from 20 ft
11:04.0,Defensive rebound by A. Davis,,65-75,,
10:50.0,D. Cousins makes 2-pt shot from 6 ft,2,67-75,,
10:34.0,,,67-75,,V. Oladipo misses 2-pt shot from 15 ft (block by A. Davis)
10:31.0,Defensive rebound by D. Cousins,,67-75,,
10:28.0,E. Moore misses 3-pt shot from 22 ft,,67-75,,
10:24.0,,,67-75,,Defensive rebound by V. Oladipo
10:14.0,,,67-77,2,V. Oladipo makes 2-pt shot at rim
10:01.0,J. Holiday makes 2-pt shot at rim,2,69-77,,
9:51.0,,,69-77,,Shooting foul by D. Cousins (drawn by M. Turner)
9:51.0,,,69-77,,M. Turner misses free throw 1 of 2
9:51.0,,,69-77,,Offensive rebound by Team
9:51.0,,,69-78,1,M. Turner makes free throw 2 of 2
9:41.0,D. Cousins makes 3-pt shot from 27 ft (assist by J. Holiday),3,72-78,,
9:12.0,,,72-80,2,M. Turner makes 2-pt shot at rim (assist by D. Collison)
9:06.0,,,72-80,,Personal foul by M. Turner (drawn by A. Davis)
8:56.0,J. Holiday makes 2-pt shot from 1 ft (assist by D. Cousins),2,74-80,,
8:37.0,,,74-80,,T. Young misses 2-pt shot from 18 ft
8:35.0,Defensive rebound by D. Cousins,,74-80,,
8:26.0,Shooting foul by M. Turner (drawn by A. Davis),,74-80,,
8:26.0,A. Davis makes free throw 1 of 2,1,75-80,,
8:26.0,A. Davis misses free throw 2 of 2,,75-80,,
8:23.0,Offensive rebound by D. Cousins,,75-80,,
8:22.0,D. Cousins makes 2-pt shot at rim,2,77-80,,
8:02.0,,,77-80,,M. Turner misses 2-pt shot from 22 ft
8:00.0,Defensive rebound by D. Cunningham,,77-80,,
7:51.0,D. Cousins misses 2-pt shot at rim (block by M. Turner),,77-80,,
7:49.0,,,77-80,,Defensive rebound by M. Turner
7:44.0,,,77-83,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by T. Young)
7:30.0,D. Cousins makes 3-pt shot from 28 ft (assist by J. Holiday),3,80-83,,
7:29.0,,,80-83,,Indiana full timeout
7:18.0,,,80-86,3,V. Oladipo makes 3-pt shot from 27 ft
7:08.0,A. Davis makes 3-pt shot from 26 ft (assist by J. Holiday),3,83-86,,
6:53.0,,,83-88,2,M. Turner makes 2-pt shot from 16 ft (assist by V. Oladipo)
6:33.0,D. Cousins misses 3-pt shot from 27 ft,,83-88,,
6:30.0,,,83-88,,Defensive rebound by T. Young
6:12.0,,,83-88,,D. Collison misses 2-pt shot from 20 ft
6:10.0,Defensive rebound by D. Cousins,,83-88,,
6:01.0,D. Cunningham misses 3-pt shot from 22 ft,,83-88,,
5:56.0,Offensive rebound by J. Holiday,,83-88,,
5:51.0,J. Holiday misses 3-pt shot from 26 ft,,83-88,,
5:44.0,,,83-88,,B. Bogdanovic misses 3-pt shot from 24 ft
5:41.0,Defensive rebound by D. Cunningham,,83-88,,
5:32.0,,,83-88,,Defensive rebound by V. Oladipo
5:32.0,E. Moore misses 3-pt shot from 27 ft,,83-88,,
5:28.0,,,83-88,,Defensive rebound by V. Oladipo
5:22.0,,,83-88,,Turnover by V. Oladipo (traveling)
5:22.0,J. Nelson enters the game for E. Moore,,83-88,,
5:14.0,J. Holiday misses 3-pt shot from 26 ft,,83-88,,
5:11.0,,,83-88,,Defensive rebound by B. Bogdanovic
5:02.0,,,83-88,,V. Oladipo misses 3-pt shot from 26 ft
4:58.0,Defensive rebound by D. Cunningham,,83-88,,
4:51.0,D. Cousins makes 3-pt shot from 26 ft (assist by J. Nelson),3,86-88,,
4:23.0,,,86-88,,T. Young misses 3-pt shot from 27 ft
4:20.0,Defensive rebound by D. Cousins,,86-88,,
4:11.0,A. Davis makes 2-pt shot from 15 ft (assist by D. Cousins),2,88-88,,
3:53.0,,,88-88,,D. Collison misses 2-pt shot from 17 ft
3:51.0,Defensive rebound by A. Davis,,88-88,,
3:40.0,,,88-88,,Shooting block foul by D. Collison (drawn by D. Cousins)
3:40.0,D. Cousins makes free throw 1 of 2,1,89-88,,
3:40.0,,,89-88,,C. Joseph enters the game for D. Collison
3:40.0,,,89-88,,L. Stephenson enters the game for B. Bogdanovic
3:40.0,D. Miller enters the game for D. Cunningham,,89-88,,
3:40.0,D. Cousins misses free throw 2 of 2,,89-88,,
3:38.0,,,89-88,,Defensive rebound by M. Turner
3:24.0,,,89-88,,V. Oladipo misses 2-pt shot from 17 ft
3:21.0,,,89-88,,Offensive rebound by M. Turner
3:20.0,,,89-88,,Turnover by M. Turner (lost ball; steal by J. Nelson)
3:11.0,D. Cousins misses 2-pt shot from 1 ft,,89-88,,
3:07.0,,,89-88,,Defensive rebound by M. Turner
2:58.0,,,89-88,,C. Joseph misses 2-pt shot from 16 ft
2:55.0,Defensive rebound by A. Davis,,89-88,,
2:42.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,91-88,,
2:27.0,,,91-90,2,V. Oladipo makes 2-pt shot from 1 ft
2:16.0,D. Cousins misses 3-pt shot from 26 ft,,91-90,,
2:14.0,,,91-90,,Defensive rebound by L. Stephenson
1:57.0,,,91-90,,V. Oladipo misses 3-pt shot from 24 ft
1:54.0,Defensive rebound by D. Miller,,91-90,,
1:40.0,J. Holiday misses 2-pt shot from 18 ft,,91-90,,
1:36.0,,,91-90,,Defensive rebound by L. Stephenson
1:23.0,,,91-90,,L. Stephenson misses 3-pt shot from 26 ft
1:21.0,Defensive rebound by Team,,91-90,,
1:21.0,New Orleans full timeout,,91-90,,
1:21.0,,,91-90,,A. Jefferson enters the game for M. Turner
1:21.0,T. Allen enters the game for D. Cousins,,91-90,,
1:05.0,J. Nelson misses 2-pt shot at rim,,91-90,,
1:04.0,,,91-90,,Defensive rebound by C. Joseph
0:59.0,,,91-92,2,A. Jefferson makes 2-pt shot from 9 ft (assist by C. Joseph)
0:50.0,A. Davis makes 3-pt shot from 26 ft (assist by D. Miller),3,94-92,,
0:34.0,,,94-94,2,A. Jefferson makes 2-pt shot from 1 ft (assist by C. Joseph)
0:22.0,J. Holiday misses 2-pt shot from 1 ft,,94-94,,
0:20.0,Offensive rebound by A. Davis,,94-94,,
0:20.0,A. Davis misses 2-pt shot at rim,,94-94,,
0:18.0,,,94-94,,Defensive rebound by A. Jefferson
0:18.0,,,94-94,,Turnover by A. Jefferson (out of bounds lost ball)
0:18.0,,,94-94,,T. Leaf enters the game for A. Jefferson
0:18.0,E. Moore enters the game for J. Holiday,,94-94,,
0:18.0,D. Cousins enters the game for T. Allen,,94-94,,
0:16.0,J. Nelson makes 2-pt shot at rim (assist by E. Moore),2,96-94,,
0:00.0,,,96-94,,V. Oladipo misses 2-pt shot at rim (block by D. Cousins)
0:00.0,,,96-94,,Offensive rebound by Team
0:00.0,T. Allen enters the game for D. Cousins,,96-94,,
0:00.0,,,96-94,,L. Stephenson misses 2-pt shot from 18 ft
0:00.0,,,96-94,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,96-94,,T. Leaf misses 3-pt shot from 27 ft
11:47.0,Defensive rebound by A. Davis,,96-94,,
11:29.0,Shooting foul by J. Young (drawn by A. Davis),,96-94,,
11:29.0,A. Davis misses free throw 1 of 2,,96-94,,
11:29.0,Offensive rebound by Team,,96-94,,
11:29.0,A. Davis makes free throw 2 of 2,1,97-94,,
11:16.0,,,97-96,2,L. Stephenson makes 2-pt shot from 17 ft
11:16.0,,,97-96,,Shooting foul by T. Allen (drawn by L. Stephenson)
11:16.0,,,97-96,,L. Stephenson misses free throw 1 of 1
11:13.0,Defensive rebound by A. Davis,,97-96,,
11:02.0,J. Nelson misses 2-pt shot from 18 ft,,97-96,,
10:59.0,,,97-96,,Defensive rebound by T. Leaf
10:49.0,,,97-96,,A. Jefferson misses 2-pt shot from 1 ft
10:47.0,,,97-96,,Offensive rebound by L. Stephenson
10:27.0,,,97-98,2,J. Young makes 2-pt shot from 5 ft
10:17.0,D. Miller makes 3-pt shot from 28 ft (assist by A. Davis),3,100-98,,
9:59.0,,,100-98,,A. Jefferson misses 2-pt shot from 14 ft
9:58.0,,,100-98,,Offensive rebound by Team
9:58.0,Loose ball foul by D. Miller (drawn by T. Leaf),,100-98,,
9:58.0,D. Cousins enters the game for A. Davis,,100-98,,
9:43.0,,,100-98,,J. Young misses 2-pt shot from 6 ft (block by D. Cousins)
9:41.0,Defensive rebound by D. Cousins,,100-98,,
9:32.0,Shooting foul by T. Leaf (drawn by D. Cousins),,100-98,,
9:32.0,D. Cousins makes free throw 1 of 2,1,101-98,,
9:32.0,D. Cousins makes free throw 2 of 2,1,102-98,,
9:18.0,,,102-98,,J. Young misses 3-pt shot from 26 ft
9:16.0,Defensive rebound by D. Cousins,,102-98,,
9:07.0,D. Cousins misses 3-pt shot from 26 ft,,102-98,,
9:07.0,,,102-98,,Defensive rebound by Team
8:55.0,,,102-100,2,C. Joseph makes 2-pt shot from 5 ft
8:43.0,D. Cousins misses 2-pt shot from 1 ft,,102-100,,
8:43.0,,,102-100,,Defensive rebound by A. Jefferson
8:36.0,,,102-100,,T. Leaf misses 2-pt shot from 6 ft
8:36.0,Defensive rebound by D. Cousins,,102-100,,
8:22.0,E. Moore misses 3-pt shot from 27 ft,,102-100,,
8:22.0,,,102-100,,Defensive rebound by Team
8:19.0,,,102-100,,V. Oladipo enters the game for J. Young
8:19.0,,,102-100,,T. Young enters the game for T. Leaf
8:19.0,J. Holiday enters the game for J. Nelson,,102-100,,
8:00.0,,,102-100,,C. Joseph misses 3-pt shot from 26 ft
7:57.0,Defensive rebound by Team,,102-100,,
7:57.0,,,102-100,,M. Turner enters the game for A. Jefferson
7:40.0,D. Cousins misses 2-pt shot from 1 ft,,102-100,,
7:38.0,,,102-100,,Defensive rebound by M. Turner
7:37.0,Personal take foul by T. Allen (drawn by L. Stephenson),,102-100,,
7:37.0,A. Davis enters the game for E. Moore,,102-100,,
7:30.0,Personal foul by T. Allen (drawn by V. Oladipo),,102-100,,
7:15.0,,,102-103,3,C. Joseph makes 3-pt shot from 26 ft
6:49.0,A. Davis misses 3-pt shot from 28 ft,,102-103,,
6:48.0,Offensive rebound by D. Cousins,,102-103,,
6:42.0,D. Cousins makes 2-pt shot from 2 ft,2,104-103,,
6:27.0,,,104-103,,V. Oladipo misses 2-pt shot from 16 ft
6:22.0,Defensive rebound by J. Holiday,,104-103,,
6:21.0,Offensive charge foul by J. Holiday (drawn by C. Joseph),,104-103,,
6:21.0,Turnover by J. Holiday (offensive foul),,104-103,,
6:21.0,,,104-103,,Indiana full timeout
6:21.0,J. Nelson enters the game for D. Miller,,104-103,,
6:11.0,,,104-103,,M. Turner misses 2-pt shot from 20 ft
6:10.0,Defensive rebound by Team,,104-103,,
6:10.0,,,104-103,,Loose ball foul by T. Young (drawn by A. Davis)
6:10.0,,,104-103,,D. Collison enters the game for C. Joseph
5:56.0,T. Allen misses 2-pt shot from 3 ft (block by V. Oladipo),,104-103,,
5:53.0,,,104-103,,Defensive rebound by M. Turner
5:39.0,,,104-103,,V. Oladipo misses 2-pt shot at rim
5:38.0,,,104-103,,Offensive rebound by T. Young
5:37.0,,,104-103,,Offensive foul by M. Turner (drawn by A. Davis)
5:37.0,,,104-103,,Turnover by M. Turner (offensive foul)
5:13.0,Turnover by Team (shot clock),,104-103,,
4:59.0,,,104-103,,Turnover by V. Oladipo (lost ball; steal by J. Holiday)
4:56.0,T. Allen makes 2-pt shot at rim (assist by D. Cousins),2,106-103,,
4:28.0,,,106-103,,V. Oladipo misses 2-pt shot from 18 ft
4:25.0,Defensive rebound by T. Allen,,106-103,,
4:20.0,A. Davis makes 2-pt shot from 1 ft (assist by J. Holiday),2,108-103,,
4:20.0,,,108-103,,Indiana full timeout
4:20.0,,,108-103,,B. Bogdanovic enters the game for L. Stephenson
4:14.0,Personal foul by J. Nelson (drawn by M. Turner),,108-103,,
4:14.0,,,108-104,1,M. Turner makes free throw 1 of 2
4:14.0,,,108-105,1,M. Turner makes free throw 2 of 2
3:54.0,A. Davis makes 2-pt shot from 3 ft,2,110-105,,
3:38.0,,,110-105,,M. Turner misses 2-pt shot from 1 ft
3:35.0,Defensive rebound by A. Davis,,110-105,,
3:23.0,D. Cousins misses 3-pt shot from 27 ft,,110-105,,
3:21.0,,,110-105,,Defensive rebound by B. Bogdanovic
3:11.0,,,110-105,,B. Bogdanovic misses 2-pt shot from 10 ft
3:08.0,Defensive rebound by D. Cousins,,110-105,,
2:53.0,Turnover by D. Cousins (turnover),,110-105,,
2:53.0,Loose ball foul by D. Cousins (drawn by T. Young),,110-105,,
2:53.0,,,110-106,1,T. Young makes free throw 1 of 2
2:53.0,,,110-107,1,T. Young makes free throw 2 of 2
2:38.0,A. Davis misses 2-pt shot from 21 ft,,110-107,,
2:34.0,,,110-107,,Defensive rebound by V. Oladipo
2:31.0,,,110-107,,Turnover by V. Oladipo (lost ball; steal by J. Nelson)
2:20.0,Shooting foul by D. Collison (drawn by J. Nelson),,110-107,,
2:20.0,J. Nelson misses free throw 1 of 2,,110-107,,
2:20.0,Offensive rebound by Team,,110-107,,
2:20.0,J. Nelson makes free throw 2 of 2,1,111-107,,
2:07.0,,,111-107,,V. Oladipo misses 2-pt shot from 12 ft
2:05.0,Defensive rebound by A. Davis,,111-107,,
