time,San Antonio,pts.away,score,pts.home,Houston
11:24.0,,,16-33,,P. Tucker misses 2-pt shot from 2 ft
11:18.0,Defensive rebound by R. Gay,,16-33,,
11:14.0,P. Mills makes 2-pt shot from 12 ft,2,18-33,,
11:00.0,,,18-33,,C. Paul misses 3-pt shot from 24 ft
10:58.0,Defensive rebound by P. Gasol,,18-33,,
10:47.0,Turnover by P. Gasol (turnover),,18-33,,
10:47.0,D. Green enters the game for M. Ginobili,,18-33,,
10:37.0,,,18-36,3,E. Gordon makes 3-pt shot from 26 ft (assist by C. Paul)
10:13.0,K. Leonard makes 2-pt shot from 1 ft,2,20-36,,
10:13.0,Shooting foul by P. Tucker (drawn by K. Leonard),,20-36,,
10:13.0,,,20-36,,R. Anderson enters the game for N. Hilario
10:13.0,D. Bertans enters the game for R. Gay,,20-36,,
10:13.0,K. Leonard makes free throw 1 of 1,1,21-36,,
9:55.0,,,21-38,2,C. Paul makes 2-pt shot from 17 ft
9:34.0,K. Leonard misses 2-pt shot from 12 ft,,21-38,,
9:28.0,Offensive rebound by P. Gasol,,21-38,,
9:28.0,P. Gasol makes 2-pt shot at rim,2,23-38,,
9:17.0,,,23-41,3,R. Anderson makes 3-pt shot from 25 ft (assist by C. Paul)
8:55.0,Turnover by D. Green (bad pass; steal by C. Paul),,23-41,,
8:50.0,,,23-41,,E. Gordon misses 3-pt shot from 25 ft
8:45.0,,,23-41,,Offensive rebound by P. Tucker
8:44.0,,,23-41,,Turnover by P. Tucker (lost ball; steal by D. Bertans)
8:38.0,D. Green misses 3-pt shot from 25 ft,,23-41,,
8:34.0,,,23-41,,Defensive rebound by C. Paul
8:23.0,,,23-44,3,C. Paul makes 3-pt shot from 24 ft
8:16.0,San Antonio full timeout,,23-44,,
8:16.0,,,23-44,,C. Capela enters the game for P. Tucker
8:16.0,B. Forbes enters the game for K. Leonard,,23-44,,
8:16.0,T. Parker enters the game for P. Mills,,23-44,,
8:16.0,L. Aldridge enters the game for P. Gasol,,23-44,,
7:59.0,L. Aldridge misses 2-pt shot from 6 ft,,23-44,,
7:56.0,,,23-44,,Defensive rebound by R. Anderson
7:49.0,,,23-44,,E. Gordon misses 3-pt shot from 23 ft
7:46.0,Defensive rebound by D. Green,,23-44,,
7:36.0,L. Aldridge misses 2-pt shot from 7 ft,,23-44,,
7:30.0,,,23-44,,Defensive rebound by C. Paul
7:28.0,,,23-47,3,E. Gordon makes 3-pt shot from 22 ft (assist by R. Anderson)
6:59.0,L. Aldridge misses 3-pt shot from 25 ft,,23-47,,
6:58.0,,,23-47,,Defensive rebound by Team
6:44.0,,,23-49,2,C. Paul makes 2-pt shot from 11 ft
6:23.0,Turnover by D. Bertans (bad pass; steal by C. Paul),,23-49,,
6:20.0,,,23-49,,Turnover by C. Paul (lost ball; steal by D. Green)
6:13.0,D. Green misses 3-pt shot from 24 ft,,23-49,,
6:11.0,,,23-49,,Defensive rebound by R. Anderson
6:10.0,,,23-51,2,T. Ariza makes 2-pt shot at rim (assist by C. Paul)
5:51.0,T. Parker makes 2-pt shot from 1 ft,2,25-51,,
5:45.0,,,25-51,,T. Ariza misses 3-pt shot from 24 ft
5:42.0,Defensive rebound by D. Bertans,,25-51,,
5:35.0,D. Bertans misses 3-pt shot from 26 ft,,25-51,,
5:32.0,Offensive rebound by L. Aldridge,,25-51,,
5:24.0,L. Aldridge misses 2-pt shot from 1 ft (block by C. Paul),,25-51,,
5:18.0,Offensive rebound by L. Aldridge,,25-51,,
5:18.0,L. Aldridge makes 2-pt shot at rim,2,27-51,,
5:14.0,Personal foul by D. Green (drawn by C. Paul),,27-51,,
5:14.0,,,27-51,,J. Harden enters the game for C. Paul
5:14.0,K. Leonard enters the game for D. Bertans,,27-51,,
5:14.0,,,27-51,,P. Tucker enters the game for E. Gordon
5:10.0,,,27-51,,J. Harden misses 3-pt shot from 25 ft
5:04.0,Defensive rebound by D. Green,,27-51,,
4:55.0,K. Leonard misses 2-pt shot from 2 ft,,27-51,,
4:48.0,Offensive rebound by L. Aldridge,,27-51,,
4:48.0,L. Aldridge makes 2-pt shot at rim,2,29-51,,
4:33.0,,,29-53,2,C. Capela makes 2-pt shot from 7 ft (assist by P. Tucker)
4:13.0,L. Aldridge misses 2-pt shot from 9 ft,,29-53,,
4:09.0,Offensive rebound by K. Leonard,,29-53,,
4:02.0,T. Parker misses 2-pt shot from 19 ft,,29-53,,
4:00.0,,,29-53,,Defensive rebound by J. Harden
3:54.0,,,29-55,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
3:42.0,B. Forbes makes 3-pt shot from 22 ft (assist by T. Parker),3,32-55,,
3:22.0,,,32-55,,J. Harden misses 3-pt shot from 24 ft
3:20.0,,,32-55,,Offensive rebound by R. Anderson
3:20.0,,,32-57,2,R. Anderson makes 2-pt shot at rim
3:01.0,K. Leonard makes 2-pt shot from 1 ft,2,34-57,,
3:01.0,,,34-57,,Houston full timeout
3:01.0,,,34-57,,N. Hilario enters the game for C. Capela
3:01.0,R. Gay enters the game for D. Green,,34-57,,
2:37.0,,,34-57,,Turnover by Team (shot clock)
2:37.0,P. Mills enters the game for T. Parker,,34-57,,
2:21.0,K. Leonard makes 3-pt shot from 25 ft,3,37-57,,
2:05.0,,,37-57,,Turnover by J. Harden (bad pass; steal by K. Leonard)
2:00.0,P. Mills makes 3-pt shot from 23 ft (assist by K. Leonard),3,40-57,,
1:35.0,,,40-57,,P. Tucker misses 3-pt shot from 23 ft
1:33.0,Defensive rebound by R. Gay,,40-57,,
1:16.0,P. Mills misses 3-pt shot from 25 ft,,40-57,,
1:12.0,,,40-57,,Defensive rebound by P. Tucker
1:02.0,,,40-60,3,J. Harden makes 3-pt shot from 26 ft
0:43.0,K. Leonard misses 3-pt shot from 25 ft,,40-60,,
0:41.0,,,40-60,,Defensive rebound by P. Tucker
0:36.0,,,40-60,,J. Harden misses 3-pt shot from 25 ft
0:33.0,Defensive rebound by R. Gay,,40-60,,
0:24.0,R. Gay makes 3-pt shot from 26 ft,3,43-60,,
0:01.0,,,43-60,,J. Harden misses 2-pt shot from 14 ft
0:00.0,Defensive rebound by K. Leonard,,43-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,43-60,,C. Capela misses 2-pt shot from 1 ft
11:39.0,,,43-60,,Offensive rebound by R. Anderson
11:39.0,,,43-62,2,R. Anderson makes 2-pt shot at rim
11:27.0,P. Gasol makes 2-pt shot from 2 ft (assist by D. Green),2,45-62,,
11:11.0,,,45-64,2,C. Paul makes 2-pt shot from 14 ft
10:54.0,L. Aldridge makes 2-pt shot from 7 ft,2,47-64,,
10:41.0,,,47-67,3,T. Ariza makes 3-pt shot from 25 ft
10:17.0,L. Aldridge misses 2-pt shot from 6 ft,,47-67,,
10:17.0,,,47-67,,Defensive rebound by Team
10:06.0,,,47-69,2,C. Capela makes 2-pt shot at rim (assist by T. Ariza)
9:51.0,L. Aldridge misses 2-pt shot from 6 ft,,47-69,,
9:48.0,,,47-69,,Defensive rebound by C. Capela
9:43.0,,,47-71,2,C. Capela makes 2-pt shot from 1 ft (assist by C. Paul)
9:39.0,San Antonio full timeout,,47-71,,
9:28.0,,,47-71,,Personal foul by C. Capela (drawn by L. Aldridge)
9:18.0,P. Gasol misses 2-pt shot from 9 ft (block by J. Harden),,47-71,,
9:15.0,,,47-71,,Defensive rebound by R. Anderson
9:08.0,,,47-73,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
8:53.0,B. Forbes misses 3-pt shot from 25 ft,,47-73,,
8:50.0,,,47-73,,Defensive rebound by C. Capela
8:40.0,,,47-73,,T. Ariza misses 3-pt shot from 26 ft
8:39.0,,,47-73,,Offensive rebound by Team
8:39.0,Loose ball foul by B. Forbes (drawn by R. Anderson),,47-73,,
8:30.0,,,47-73,,T. Ariza misses 3-pt shot from 25 ft
8:27.0,Defensive rebound by P. Gasol,,47-73,,
8:24.0,,,47-73,,Personal foul by T. Ariza (drawn by T. Parker)
8:13.0,Turnover by P. Gasol (lost ball; steal by J. Harden),,47-73,,
8:07.0,,,47-73,,C. Paul misses 3-pt shot from 24 ft
8:04.0,,,47-73,,Offensive rebound by C. Capela
8:01.0,,,47-73,,Turnover by C. Capela (lost ball; steal by T. Parker)
8:01.0,,,47-73,,Personal foul by J. Harden (drawn by T. Parker)
7:48.0,R. Gay enters the game for P. Gasol,,47-73,,
7:46.0,T. Parker misses 2-pt shot from 17 ft,,47-73,,
7:40.0,,,47-73,,Defensive rebound by C. Capela
7:34.0,,,47-73,,R. Anderson misses 2-pt shot at rim (block by D. Green)
7:33.0,Defensive rebound by D. Green,,47-73,,
7:32.0,Turnover by D. Green (lost ball; steal by C. Paul),,47-73,,
7:31.0,,,47-73,,C. Paul misses 3-pt shot from 24 ft
7:31.0,,,47-73,,Offensive rebound by R. Anderson
7:29.0,,,47-73,,R. Anderson misses 2-pt shot at rim
7:29.0,,,47-73,,Offensive rebound by R. Anderson
7:27.0,,,47-73,,Shooting foul by D. Green (drawn by R. Anderson)
7:27.0,,,47-73,,R. Anderson misses free throw 1 of 2
7:27.0,,,47-73,,Offensive rebound by Team
7:27.0,P. Mills enters the game for T. Parker,,47-73,,
7:27.0,D. Murray enters the game for D. Green,,47-73,,
7:27.0,,,47-73,,R. Anderson misses free throw 2 of 2
7:24.0,Defensive rebound by R. Gay,,47-73,,
7:12.0,L. Aldridge misses 2-pt shot from 9 ft,,47-73,,
7:08.0,,,47-73,,Defensive rebound by C. Capela
6:47.0,,,47-73,,T. Ariza misses 3-pt shot from 25 ft
6:43.0,Defensive rebound by B. Forbes,,47-73,,
6:35.0,L. Aldridge misses 2-pt shot from 2 ft,,47-73,,
6:35.0,Offensive rebound by Team,,47-73,,
6:35.0,,,47-73,,Personal foul by R. Anderson (drawn by L. Aldridge)
6:35.0,,,47-73,,E. Gordon enters the game for C. Paul
6:35.0,,,47-73,,N. Hilario enters the game for C. Capela
6:25.0,D. Murray misses 2-pt shot from 9 ft,,47-73,,
6:21.0,,,47-73,,Defensive rebound by N. Hilario
6:14.0,,,47-73,,J. Harden misses 2-pt shot from 1 ft
6:12.0,Defensive rebound by R. Gay,,47-73,,
6:06.0,L. Aldridge makes 2-pt shot from 1 ft (assist by R. Gay),2,49-73,,
5:51.0,,,49-73,,J. Harden misses 3-pt shot from 26 ft
5:46.0,Defensive rebound by D. Murray,,49-73,,
5:43.0,,,49-73,,Personal foul by T. Ariza (drawn by R. Gay)
5:43.0,R. Gay makes free throw 1 of 2,1,50-73,,
5:43.0,,,50-73,,P. Tucker enters the game for R. Anderson
5:43.0,R. Gay misses free throw 2 of 2,,50-73,,
5:43.0,,,50-73,,Defensive rebound by J. Harden
5:31.0,,,50-73,,N. Hilario misses 2-pt shot from 6 ft (block by R. Gay)
5:28.0,Defensive rebound by P. Mills,,50-73,,
5:28.0,B. Forbes makes 2-pt shot at rim (assist by P. Mills),2,52-73,,
5:28.0,Shooting foul by J. Harden (drawn by B. Forbes),,52-73,,
5:28.0,B. Forbes makes free throw 1 of 1,1,53-73,,
5:16.0,,,53-75,2,J. Harden makes 2-pt shot from 6 ft
5:05.0,P. Mills makes 3-pt shot from 24 ft (assist by L. Aldridge),3,56-75,,
4:43.0,,,56-77,2,E. Gordon makes 2-pt shot from 1 ft
4:36.0,Turnover by D. Murray (bad pass; steal by T. Ariza),,56-77,,
4:29.0,,,56-77,,T. Ariza misses 2-pt shot from 2 ft
4:23.0,Defensive rebound by R. Gay,,56-77,,
4:21.0,B. Forbes makes 3-pt shot from 26 ft,3,59-77,,
4:14.0,,,59-77,,Shooting foul by L. Aldridge (drawn by J. Harden)
4:14.0,,,59-78,1,J. Harden makes free throw 1 of 2
4:14.0,B. Paul enters the game for B. Forbes,,59-78,,
4:14.0,,,59-79,1,J. Harden makes free throw 2 of 2
4:01.0,B. Paul makes 3-pt shot from 26 ft (assist by R. Gay),3,62-79,,
3:36.0,,,62-79,,Shooting foul by D. Murray (drawn by J. Harden)
3:36.0,,,62-80,1,J. Harden makes free throw 1 of 2
3:36.0,,,62-80,,C. Paul enters the game for T. Ariza
3:36.0,,,62-81,1,J. Harden makes free throw 2 of 2
3:19.0,B. Paul misses 2-pt shot from 19 ft,,62-81,,
3:17.0,,,62-81,,Defensive rebound by Team
3:08.0,,,62-81,,Offensive foul by N. Hilario (drawn by L. Aldridge)
3:08.0,,,62-81,,Turnover by N. Hilario (offensive foul)
2:53.0,R. Gay misses 2-pt shot from 10 ft,,62-81,,
2:46.0,Offensive rebound by L. Aldridge,,62-81,,
2:44.0,Shooting foul by N. Hilario (drawn by R. Gay),,62-81,,
2:44.0,,,62-81,,Houston full timeout
2:44.0,,,62-81,,C. Capela enters the game for N. Hilario
2:44.0,J. Lauvergne enters the game for L. Aldridge,,62-81,,
2:44.0,R. Gay makes free throw 1 of 2,1,63-81,,
2:44.0,R. Gay misses free throw 2 of 2,,63-81,,
2:41.0,,,63-81,,Defensive rebound by E. Gordon
2:25.0,,,63-81,,P. Tucker misses 3-pt shot from 24 ft
2:22.0,Defensive rebound by D. Murray,,63-81,,
2:17.0,,,63-81,,Personal foul by C. Paul (drawn by P. Mills)
2:17.0,P. Mills misses free throw 1 of 2,,63-81,,
2:17.0,Offensive rebound by Team,,63-81,,
2:17.0,P. Mills misses free throw 2 of 2,,63-81,,
2:17.0,,,63-81,,Defensive rebound by C. Capela
2:02.0,,,63-81,,C. Paul misses 2-pt shot from 11 ft
1:58.0,,,63-81,,Offensive rebound by C. Capela
1:57.0,,,63-83,2,C. Capela makes 2-pt shot from 1 ft
1:48.0,D. Murray makes 2-pt shot from 10 ft,2,65-83,,
1:27.0,,,65-86,3,C. Paul makes 3-pt shot from 25 ft (assist by J. Harden)
1:27.0,,,65-86,,Shooting foul by J. Lauvergne (drawn by C. Paul)
1:27.0,,,65-87,1,C. Paul makes free throw 1 of 1
1:17.0,P. Mills makes 3-pt shot from 26 ft,3,68-87,,
0:50.0,,,68-87,,J. Harden misses 3-pt shot from 24 ft
0:48.0,,,68-87,,Offensive rebound by P. Tucker
0:46.0,,,68-87,,Turnover by J. Harden (lost ball; steal by B. Paul)
0:42.0,D. Murray misses 2-pt shot from 2 ft (block by P. Tucker),,68-87,,
0:40.0,Offensive rebound by R. Gay,,68-87,,
0:40.0,R. Gay makes 2-pt shot at rim,2,70-87,,
0:40.0,Personal foul by D. Murray (drawn by C. Paul),,70-87,,
0:40.0,,,70-88,1,C. Paul makes free throw 1 of 2
0:40.0,,,70-88,,T. Ariza enters the game for J. Harden
0:40.0,,,70-89,1,C. Paul makes free throw 2 of 2
0:37.0,Turnover by R. Gay (bad pass; steal by C. Paul),,70-89,,
0:35.0,,,70-92,3,C. Paul makes 3-pt shot from 23 ft
0:29.0,Shooting foul by C. Paul (drawn by D. Murray),,70-92,,
0:29.0,D. Murray makes free throw 1 of 2,1,71-92,,
0:29.0,D. Murray makes free throw 2 of 2,1,72-92,,
0:07.0,Violation by D. Murray (kicked ball),,72-92,,
0:00.0,,,72-92,,P. Tucker misses 3-pt shot from 23 ft
0:00.0,,,72-92,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,B. Forbes misses 2-pt shot from 6 ft,,72-92,,
11:47.0,Offensive rebound by J. Lauvergne,,72-92,,
11:46.0,J. Lauvergne makes 2-pt shot from 1 ft,2,74-92,,
11:33.0,,,74-94,2,C. Capela makes 2-pt shot from 1 ft
11:21.0,J. Lauvergne makes 2-pt shot from 6 ft (assist by D. Murray),2,76-94,,
11:05.0,,,76-94,,Turnover by C. Capela (bad pass)
10:52.0,D. Bertans makes 3-pt shot from 24 ft (assist by B. Forbes),3,79-94,,
10:39.0,,,79-96,2,C. Paul makes 2-pt shot from 1 ft
10:32.0,D. Murray misses 2-pt shot from 5 ft,,79-96,,
10:29.0,,,79-96,,Defensive rebound by T. Ariza
10:22.0,,,79-98,2,C. Paul makes 2-pt shot from 13 ft
10:02.0,J. Lauvergne misses 2-pt shot from 5 ft,,79-98,,
9:59.0,,,79-98,,Defensive rebound by Team
9:59.0,,,79-98,,R. Anderson enters the game for C. Capela
9:44.0,,,79-98,,C. Paul misses 3-pt shot from 27 ft
9:43.0,Defensive rebound by Team,,79-98,,
9:36.0,Turnover by D. Murray (bad pass; steal by C. Paul),,79-98,,
9:36.0,Personal foul by D. Murray (drawn by C. Paul),,79-98,,
9:31.0,,,79-101,3,E. Gordon makes 3-pt shot from 23 ft (assist by C. Paul)
9:30.0,San Antonio full timeout,,79-101,,
9:19.0,B. Forbes misses 2-pt shot from 7 ft,,79-101,,
9:19.0,Offensive rebound by Team,,79-101,,
9:17.0,B. Forbes misses 2-pt shot from 15 ft,,79-101,,
9:15.0,Offensive rebound by J. Lauvergne,,79-101,,
9:13.0,J. Lauvergne makes 2-pt shot from 7 ft,2,81-101,,
8:53.0,,,81-101,,Turnover by R. Anderson (bad pass; steal by D. Murray)
8:48.0,J. Lauvergne makes 2-pt shot at rim (assist by D. Bertans),2,83-101,,
8:25.0,,,83-101,,T. Ariza misses 2-pt shot from 1 ft
8:24.0,,,83-101,,Offensive rebound by R. Anderson
8:22.0,,,83-103,2,R. Anderson makes 2-pt shot from 1 ft
8:10.0,B. Paul makes 2-pt shot from 2 ft (assist by D. Murray),2,85-103,,
7:57.0,,,85-103,,C. Paul misses 2-pt shot from 14 ft
7:54.0,,,85-103,,Offensive rebound by Team
7:54.0,,,85-103,,J. Harden enters the game for E. Gordon
7:54.0,P. Mills enters the game for D. Murray,,85-103,,
7:32.0,,,85-105,2,J. Harden makes 2-pt shot from 14 ft
7:11.0,P. Mills makes 2-pt shot from 1 ft (assist by J. Lauvergne),2,87-105,,
6:53.0,,,87-105,,Turnover by J. Harden (lost ball; steal by B. Forbes)
6:49.0,D. Bertans makes 2-pt shot at rim (assist by B. Paul),2,89-105,,
6:36.0,,,89-105,,T. Ariza misses 3-pt shot from 25 ft
6:36.0,Defensive rebound by B. Paul,,89-105,,
6:29.0,D. Bertans makes 2-pt shot from 1 ft (assist by B. Forbes),2,91-105,,
6:27.0,,,91-105,,Houston full timeout
6:27.0,,,91-105,,C. Capela enters the game for P. Tucker
6:12.0,,,91-107,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
5:49.0,Turnover by B. Forbes (bad pass; steal by J. Harden),,91-107,,
5:47.0,,,91-107,,Shooting foul by B. Paul (drawn by J. Harden)
5:47.0,,,91-108,1,J. Harden makes free throw 1 of 2
5:47.0,,,91-109,1,J. Harden makes free throw 2 of 2
5:47.0,D. Murray enters the game for P. Mills,,91-109,,
5:39.0,D. Murray misses 2-pt shot from 12 ft,,91-109,,
5:36.0,,,91-109,,Defensive rebound by R. Anderson
5:25.0,,,91-111,2,J. Harden makes 2-pt shot from 18 ft
5:06.0,D. Bertans makes 3-pt shot from 28 ft (assist by J. Lauvergne),3,94-111,,
4:52.0,,,94-111,,C. Capela misses 2-pt shot at rim
4:45.0,,,94-111,,Offensive rebound by R. Anderson
4:34.0,,,94-114,3,J. Harden makes 3-pt shot from 29 ft
4:19.0,D. Bertans misses 3-pt shot from 25 ft,,94-114,,
4:16.0,,,94-114,,Defensive rebound by J. Harden
