time,Phoenix,pts.away,score,pts.home,Utah
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,23-22,2,J. Ingles makes 2-pt shot at rim (assist by D. Favors)
11:25.0,S. Harrison misses 2-pt shot from 3 ft,,23-22,,
11:25.0,Offensive rebound by S. Harrison,,23-22,,
11:25.0,Shooting foul by D. Favors (drawn by S. Harrison),,23-22,,
11:25.0,S. Harrison misses free throw 1 of 2,,23-22,,
11:25.0,Offensive rebound by Team,,23-22,,
11:25.0,S. Harrison misses free throw 2 of 2,,23-22,,
11:23.0,,,23-22,,Defensive rebound by J. Jerebko
11:03.0,,,23-22,,D. Exum misses 3-pt shot from 24 ft
11:00.0,Defensive rebound by J. Jackson,,23-22,,
10:49.0,J. Jackson misses 2-pt shot from 6 ft,,23-22,,
10:47.0,,,23-22,,Defensive rebound by J. Crowder
10:43.0,,,23-22,,Turnover by J. Ingles (bad pass; steal by J. Dudley)
10:32.0,D. Booker makes 2-pt shot from 1 ft (assist by S. Harrison),2,25-22,,
10:20.0,Personal foul by S. Harrison (drawn by D. Exum),,25-22,,
10:20.0,,,25-22,,R. O'Neale enters the game for J. Jerebko
10:13.0,,,25-24,2,D. Exum makes 2-pt shot from 2 ft
9:56.0,S. Harrison misses 3-pt shot from 25 ft,,25-24,,
9:52.0,Offensive rebound by M. Chriss,,25-24,,
9:51.0,Turnover by M. Chriss (bad pass; steal by R. O'Neale),,25-24,,
9:49.0,,,25-24,,Offensive charge foul by R. O'Neale (drawn by D. Booker)
9:49.0,,,25-24,,Turnover by R. O'Neale (offensive foul)
9:35.0,J. Jackson misses 2-pt shot from 14 ft (block by R. O'Neale),,25-24,,
9:35.0,,,25-24,,Defensive rebound by R. O'Neale
9:35.0,Personal foul by J. Dudley (drawn by R. O'Neale),,25-24,,
9:24.0,,,25-24,,J. Ingles misses 2-pt shot from 1 ft
9:20.0,,,25-24,,Offensive rebound by D. Favors
9:20.0,,,25-24,,D. Favors misses 2-pt shot at rim
9:19.0,Defensive rebound by J. Jackson,,25-24,,
9:18.0,Shooting foul by R. O'Neale (drawn by J. Jackson),,25-24,,
9:18.0,J. Jackson makes free throw 1 of 2,1,26-24,,
9:18.0,J. Jackson misses free throw 2 of 2,,26-24,,
9:16.0,,,26-24,,Defensive rebound by D. Favors
9:06.0,,,26-27,3,J. Ingles makes 3-pt shot from 24 ft (assist by D. Exum)
8:42.0,Turnover by J. Dudley (lost ball; steal by J. Crowder),,26-27,,
8:36.0,,,26-27,,R. O'Neale misses 2-pt shot from 2 ft
8:32.0,Defensive rebound by S. Harrison,,26-27,,
8:30.0,Turnover by S. Harrison (bad pass),,26-27,,
8:30.0,,,26-27,,R. Rubio enters the game for D. Exum
8:30.0,D. Bender enters the game for J. Dudley,,26-27,,
8:18.0,,,26-27,,R. Rubio misses 2-pt shot from 4 ft (block by M. Chriss)
8:15.0,Defensive rebound by M. Chriss,,26-27,,
8:11.0,J. Jackson misses 2-pt shot from 8 ft,,26-27,,
8:11.0,,,26-27,,Defensive rebound by R. Rubio
8:11.0,Personal foul by D. Booker (drawn by R. O'Neale),,26-27,,
8:03.0,Personal foul by D. Bender (drawn by J. Crowder),,26-27,,
7:49.0,,,26-27,,Shooting foul by D. Bender (drawn by J. Crowder)
7:49.0,,,26-28,1,J. Crowder makes free throw 1 of 2
7:49.0,,,26-28,,D. Mitchell enters the game for D. Favors
7:49.0,,,26-28,,R. Gobert enters the game for R. O'Neale
7:49.0,J. Dudley enters the game for J. Jackson,,26-28,,
7:49.0,T. Warren enters the game for D. Bender,,26-28,,
7:49.0,,,26-28,,J. Crowder misses free throw 2 of 2
7:47.0,Defensive rebound by M. Chriss,,26-28,,
7:34.0,Turnover by J. Dudley (bad pass; steal by J. Ingles),,26-28,,
7:25.0,,,26-28,,R. Rubio misses 3-pt shot from 22 ft
7:22.0,,,26-28,,Offensive rebound by Team
7:22.0,,,26-28,,D. Favors enters the game for J. Crowder
7:22.0,T. Daniels enters the game for M. Chriss,,26-28,,
7:22.0,A. Len enters the game for D. Booker,,26-28,,
7:14.0,,,26-31,3,J. Ingles makes 3-pt shot from 25 ft (assist by R. Rubio)
7:12.0,Phoenix full timeout,,26-31,,
7:12.0,,,26-31,,R. O'Neale enters the game for J. Ingles
6:57.0,T. Warren misses 2-pt shot from 16 ft,,26-31,,
6:56.0,,,26-31,,Defensive rebound by D. Mitchell
6:51.0,,,26-31,,Shooting foul by T. Warren (drawn by R. O'Neale)
6:51.0,,,26-32,1,R. O'Neale makes free throw 1 of 2
6:51.0,,,26-33,1,R. O'Neale makes free throw 2 of 2
6:38.0,J. Dudley makes 3-pt shot from 24 ft (assist by S. Harrison),3,29-33,,
6:20.0,,,29-35,2,D. Mitchell makes 2-pt shot from 19 ft (assist by R. Gobert)
6:13.0,Turnover by J. Dudley (traveling),,29-35,,
6:13.0,E. Payton enters the game for S. Harrison,,29-35,,
5:54.0,,,29-35,,D. Mitchell misses 2-pt shot from 19 ft (block by T. Warren)
5:53.0,Defensive rebound by Team,,29-35,,
5:53.0,,,29-35,,Loose ball foul by D. Mitchell (drawn by T. Warren)
5:41.0,T. Warren misses 2-pt shot from 11 ft (block by D. Favors),,29-35,,
5:38.0,Offensive rebound by T. Warren,,29-35,,
5:35.0,T. Warren makes 2-pt shot from 3 ft,2,31-35,,
5:18.0,,,31-35,,R. O'Neale misses 2-pt shot from 1 ft
5:17.0,,,31-35,,Offensive rebound by R. O'Neale
5:07.0,,,31-35,,D. Favors misses 2-pt shot from 1 ft
5:06.0,,,31-35,,Offensive rebound by D. Favors
5:06.0,Personal foul by J. Dudley (drawn by R. Gobert),,31-35,,
5:06.0,,,31-36,1,R. Gobert makes free throw 1 of 2
5:06.0,,,31-36,,J. Ingles enters the game for D. Favors
5:06.0,,,31-36,,J. Crowder enters the game for R. O'Neale
5:06.0,M. Chriss enters the game for J. Dudley,,31-36,,
5:06.0,,,31-37,1,R. Gobert makes free throw 2 of 2
4:54.0,T. Daniels makes 2-pt shot from 13 ft (assist by E. Payton),2,33-37,,
4:39.0,,,33-37,,R. Gobert misses 2-pt shot from 2 ft (block by A. Len)
4:35.0,,,33-37,,Offensive rebound by R. Gobert
4:30.0,,,33-39,2,J. Crowder makes 2-pt shot from 1 ft (assist by R. Rubio)
4:17.0,Turnover by T. Daniels (step out of bounds),,33-39,,
4:09.0,Personal foul by T. Daniels (drawn by J. Ingles),,33-39,,
4:09.0,,,33-40,1,J. Ingles makes free throw 1 of 2
4:09.0,,,33-40,,J. Ingles misses free throw 2 of 2
4:07.0,Defensive rebound by A. Len,,33-40,,
3:51.0,E. Payton makes 2-pt shot from 2 ft,2,35-40,,
3:39.0,,,35-40,,J. Ingles misses 3-pt shot from 23 ft
3:37.0,,,35-40,,Offensive rebound by J. Crowder
3:35.0,,,35-42,2,R. Gobert makes 2-pt shot at rim (assist by J. Crowder)
3:14.0,M. Chriss misses 2-pt shot from 10 ft,,35-42,,
3:12.0,,,35-42,,Defensive rebound by J. Crowder
3:08.0,,,35-44,2,J. Crowder makes 2-pt shot at rim (assist by R. Rubio)
3:08.0,Phoenix full timeout,,35-44,,
3:08.0,J. Jackson enters the game for E. Payton,,35-44,,
3:08.0,D. Booker enters the game for M. Chriss,,35-44,,
2:48.0,T. Warren makes 2-pt shot from 9 ft,2,37-44,,
2:48.0,Shooting foul by R. Gobert (drawn by T. Warren),,37-44,,
2:48.0,T. Warren makes free throw 1 of 1,1,38-44,,
2:33.0,,,38-44,,R. Rubio misses 2-pt shot from 11 ft
2:33.0,Defensive rebound by A. Len,,38-44,,
2:22.0,T. Warren misses 2-pt shot from 3 ft,,38-44,,
2:19.0,,,38-44,,Defensive rebound by R. Gobert
2:12.0,Personal foul by T. Daniels (drawn by J. Crowder),,38-44,,
2:12.0,,,38-45,1,J. Crowder makes free throw 1 of 2
2:12.0,,,38-46,1,J. Crowder makes free throw 2 of 2
2:01.0,D. Booker misses 2-pt shot from 12 ft,,38-46,,
1:58.0,,,38-46,,Defensive rebound by R. Rubio
1:55.0,,,38-48,2,D. Mitchell makes 2-pt shot from 2 ft (assist by R. Rubio)
1:43.0,T. Warren misses 2-pt shot from 11 ft,,38-48,,
1:43.0,,,38-48,,Defensive rebound by R. Gobert
1:28.0,,,38-51,3,R. Rubio makes 3-pt shot from 24 ft (assist by J. Crowder)
1:26.0,Phoenix full timeout,,38-51,,
1:26.0,S. Harrison enters the game for T. Daniels,,38-51,,
1:10.0,J. Jackson makes 3-pt shot from 23 ft (assist by D. Booker),3,41-51,,
0:55.0,,,41-53,2,D. Mitchell makes 2-pt shot at rim (assist by J. Ingles)
0:46.0,D. Booker misses 2-pt shot from 18 ft,,41-53,,
0:43.0,,,41-53,,Defensive rebound by R. Gobert
0:38.0,,,41-53,,J. Ingles misses 3-pt shot from 24 ft
0:35.0,,,41-53,,Offensive rebound by R. Gobert
0:30.0,,,41-56,3,D. Mitchell makes 3-pt shot from 26 ft (assist by J. Ingles)
0:08.0,,,41-56,,Personal foul by D. Mitchell (drawn by J. Jackson)
0:08.0,J. Jackson makes free throw 1 of 2,1,42-56,,
0:08.0,J. Jackson makes free throw 2 of 2,1,43-56,,
0:00.0,,,43-56,,Turnover by R. Rubio (bad pass; steal by A. Len)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,43-58,2,R. Rubio makes 2-pt shot from 21 ft
11:20.0,Offensive foul by T. Warren (drawn by R. Rubio),,43-58,,
11:20.0,Turnover by T. Warren (offensive foul),,43-58,,
11:04.0,,,43-60,2,R. Gobert makes 2-pt shot from 2 ft (assist by D. Mitchell)
11:04.0,,,43-60,,Shooting foul by A. Len (drawn by R. Gobert)
11:04.0,,,43-60,,R. Gobert misses free throw 1 of 1
11:02.0,Defensive rebound by A. Len,,43-60,,
10:51.0,D. Booker misses 3-pt shot from 24 ft,,43-60,,
10:49.0,,,43-60,,Defensive rebound by D. Mitchell
10:43.0,,,43-62,2,D. Mitchell makes 2-pt shot from 1 ft
10:25.0,D. Booker misses 2-pt shot from 2 ft (block by R. Gobert),,43-62,,
10:25.0,Offensive rebound by Team,,43-62,,
10:20.0,Shooting foul by R. Gobert (drawn by A. Len),,43-62,,
10:20.0,A. Len makes free throw 1 of 2,1,44-62,,
10:20.0,A. Len misses free throw 2 of 2,,44-62,,
10:18.0,,,44-62,,Defensive rebound by D. Mitchell
10:07.0,,,44-64,2,D. Favors makes 2-pt shot from 2 ft (assist by R. Rubio)
9:47.0,A. Len makes 2-pt shot from 14 ft,2,46-64,,
9:28.0,,,46-67,3,R. Rubio makes 3-pt shot from 24 ft (assist by D. Favors)
9:15.0,Turnover by T. Warren (bad pass; steal by R. Gobert),,46-67,,
9:11.0,,,46-69,2,R. Gobert makes 2-pt shot from 1 ft
9:10.0,Phoenix full timeout,,46-69,,
9:10.0,J. Dudley enters the game for A. Len,,46-69,,
9:10.0,M. Chriss enters the game for D. Bender,,46-69,,
9:10.0,S. Harrison enters the game for E. Payton,,46-69,,
8:55.0,Turnover by D. Booker (bad pass),,46-69,,
8:45.0,,,46-69,,Shooting foul by D. Booker (drawn by D. Mitchell)
8:45.0,,,46-69,,D. Mitchell misses free throw 1 of 2
8:45.0,,,46-69,,Offensive rebound by Team
8:45.0,,,46-69,,D. Mitchell misses free throw 2 of 2
8:42.0,Defensive rebound by T. Warren,,46-69,,
8:23.0,M. Chriss misses 3-pt shot from 24 ft,,46-69,,
8:21.0,Offensive rebound by S. Harrison,,46-69,,
8:16.0,T. Warren makes 2-pt shot from 1 ft (assist by J. Dudley),2,48-69,,
8:03.0,,,48-69,,D. Favors misses 3-pt shot from 23 ft
8:00.0,Defensive rebound by D. Booker,,48-69,,
7:52.0,D. Booker misses 2-pt shot from 5 ft,,48-69,,
7:50.0,,,48-69,,Defensive rebound by R. Gobert
7:46.0,,,48-69,,R. Rubio misses 3-pt shot from 23 ft
7:44.0,Defensive rebound by S. Harrison,,48-69,,
7:41.0,,,48-69,,Personal foul by R. Rubio (drawn by S. Harrison)
7:27.0,M. Chriss makes 2-pt shot from 3 ft,2,50-69,,
7:11.0,,,50-69,,D. Mitchell misses 3-pt shot from 25 ft
7:09.0,Defensive rebound by D. Booker,,50-69,,
7:03.0,,,50-69,,Personal foul by D. Mitchell (drawn by J. Dudley)
7:03.0,,,50-69,,J. Crowder enters the game for D. Favors
6:57.0,M. Chriss misses 2-pt shot from 9 ft,,50-69,,
6:55.0,,,50-69,,Defensive rebound by Team
6:55.0,Technical foul by J. Dudley (drawn by R. Rubio),,50-69,,
6:55.0,,,50-69,,R. Rubio misses flagrant free throw 1 of 2
6:55.0,,,50-69,,Offensive rebound by Team
6:55.0,,,50-69,,R. Rubio misses flagrant free throw 2 of 2
6:55.0,,,50-69,,Offensive rebound by Team
6:55.0,,,50-69,,Technical foul by D. Mitchell
6:55.0,,,50-69,,Technical foul by J. Ingles
6:55.0,Technical foul by M. Chriss,,50-69,,
6:55.0,D. Booker makes technical free throw,1,51-69,,
6:55.0,A. Len enters the game for M. Chriss,,51-69,,
6:55.0,D. Bender enters the game for J. Dudley,,51-69,,
6:43.0,,,51-71,2,R. Rubio makes 2-pt shot from 13 ft
6:22.0,D. Booker misses 2-pt shot from 9 ft,,51-71,,
6:19.0,Offensive rebound by D. Bender,,51-71,,
6:18.0,Turnover by D. Bender (traveling),,51-71,,
6:06.0,,,51-71,,R. Rubio misses 2-pt shot from 12 ft
6:01.0,Defensive rebound by S. Harrison,,51-71,,
5:59.0,S. Harrison misses 2-pt shot from 4 ft (block by D. Mitchell),,51-71,,
5:59.0,Offensive rebound by Team,,51-71,,
5:56.0,T. Warren makes 2-pt shot from 14 ft (assist by D. Bender),2,53-71,,
5:38.0,,,53-71,,D. Mitchell misses 2-pt shot from 2 ft
5:35.0,Defensive rebound by S. Harrison,,53-71,,
5:33.0,T. Warren misses 2-pt shot from 5 ft,,53-71,,
5:31.0,,,53-71,,Defensive rebound by J. Crowder
5:24.0,,,53-71,,R. Gobert misses 2-pt shot from 3 ft (block by A. Len)
5:20.0,,,53-71,,Offensive rebound by R. Gobert
5:19.0,,,53-71,,D. Mitchell misses 3-pt shot from 22 ft
5:19.0,Defensive rebound by S. Harrison,,53-71,,
5:14.0,S. Harrison makes 2-pt shot from 1 ft,2,55-71,,
4:56.0,,,55-71,,R. Rubio misses 3-pt shot from 24 ft
4:56.0,Defensive rebound by D. Booker,,55-71,,
4:48.0,Turnover by D. Booker (bad pass; steal by D. Mitchell),,55-71,,
4:46.0,,,55-73,2,J. Crowder makes 2-pt shot from 1 ft (assist by R. Rubio)
4:24.0,T. Warren misses 2-pt shot from 2 ft (block by R. Gobert),,55-73,,
4:23.0,,,55-73,,Defensive rebound by Team
4:23.0,J. Jackson enters the game for A. Len,,55-73,,
4:09.0,,,55-75,2,J. Ingles makes 2-pt shot from 3 ft
4:02.0,Shooting foul by R. Gobert (drawn by S. Harrison),,55-75,,
4:02.0,S. Harrison makes free throw 1 of 2,1,56-75,,
4:02.0,,,56-75,,R. O'Neale enters the game for J. Ingles
4:02.0,,,56-75,,D. Favors enters the game for R. Gobert
4:02.0,S. Harrison misses free throw 2 of 2,,56-75,,
3:59.0,Offensive rebound by T. Warren,,56-75,,
3:54.0,Turnover by S. Harrison (lost ball; steal by R. Rubio),,56-75,,
3:48.0,,,56-75,,Shooting foul by S. Harrison (drawn by D. Favors)
3:48.0,,,56-75,,D. Favors misses free throw 1 of 2
3:48.0,,,56-75,,Offensive rebound by Team
3:48.0,,,56-75,,J. Jerebko enters the game for R. Rubio
3:48.0,,,56-76,1,D. Favors makes free throw 2 of 2
3:39.0,,,56-76,,Personal foul by R. O'Neale (drawn by D. Booker)
3:39.0,D. Booker makes free throw 1 of 2,1,57-76,,
3:39.0,,,57-76,,D. Exum enters the game for J. Jerebko
3:39.0,D. Booker makes free throw 2 of 2,1,58-76,,
3:35.0,Personal foul by S. Harrison (drawn by D. Exum),,58-76,,
3:35.0,,,58-77,1,D. Exum makes free throw 1 of 2
3:35.0,T. Ulis enters the game for S. Harrison,,58-77,,
3:35.0,,,58-77,,D. Exum misses free throw 2 of 2
3:32.0,Defensive rebound by T. Warren,,58-77,,
3:13.0,D. Booker misses 2-pt shot from 3 ft (block by D. Favors),,58-77,,
3:13.0,Offensive rebound by Team,,58-77,,
3:10.0,D. Booker misses 2-pt shot from 11 ft,,58-77,,
3:08.0,,,58-77,,Defensive rebound by D. Exum
3:03.0,,,58-77,,D. Exum misses 2-pt shot from 8 ft
3:02.0,,,58-77,,Offensive rebound by D. Mitchell
3:00.0,,,58-79,2,D. Mitchell makes 2-pt shot from 2 ft
2:46.0,Shooting foul by D. Mitchell (drawn by D. Booker),,58-79,,
2:46.0,,,58-79,,Utah full timeout
2:46.0,,,58-79,,J. Ingles enters the game for D. Mitchell
2:46.0,D. Booker makes free throw 1 of 2,1,59-79,,
2:46.0,D. Booker makes free throw 2 of 2,1,60-79,,
2:33.0,,,60-79,,J. Crowder misses 3-pt shot from 22 ft
2:30.0,Defensive rebound by J. Jackson,,60-79,,
2:14.0,J. Jackson makes 2-pt shot from 18 ft (assist by D. Bender),2,62-79,,
1:58.0,,,62-79,,Shooting foul by D. Bender (drawn by D. Exum)
1:58.0,,,62-80,1,D. Exum makes free throw 1 of 2
1:58.0,,,62-81,1,D. Exum makes free throw 2 of 2
1:47.0,,,62-81,,Personal foul by J. Crowder (drawn by D. Bender)
1:47.0,D. Bender makes free throw 1 of 2,1,63-81,,
1:47.0,D. Bender makes free throw 2 of 2,1,64-81,,
1:40.0,,,64-81,,Turnover by D. Favors (bad pass)
1:31.0,J. Jackson makes 2-pt shot from 11 ft,2,66-81,,
1:14.0,,,66-81,,D. Favors misses 2-pt shot from 17 ft
1:09.0,Defensive rebound by T. Ulis,,66-81,,
1:06.0,D. Booker misses 3-pt shot from 27 ft,,66-81,,
1:03.0,,,66-81,,Defensive rebound by D. Favors
0:45.0,,,66-81,,R. O'Neale misses 3-pt shot from 23 ft
0:41.0,Defensive rebound by T. Warren,,66-81,,
0:32.0,T. Ulis misses 2-pt shot from 10 ft,,66-81,,
0:28.0,,,66-81,,Defensive rebound by J. Crowder
0:10.0,,,66-81,,J. Ingles misses 3-pt shot from 28 ft
0:06.0,,,66-81,,Offensive rebound by D. Favors
0:04.0,,,66-81,,Offensive charge foul by D. Exum (drawn by J. Jackson)
0:04.0,,,66-81,,Turnover by D. Exum (offensive foul)
0:00.0,Turnover by D. Bender (bad pass; steal by J. Ingles),,66-81,,
0:00.0,,,66-81,,J. Ingles misses 3-pt shot from 32 ft
0:00.0,,,66-81,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,J. Jackson makes 2-pt shot from 2 ft,2,68-81,,
11:29.0,,,68-81,,D. Exum misses 2-pt shot from 3 ft
11:27.0,Defensive rebound by D. Bender,,68-81,,
11:22.0,D. Booker misses 2-pt shot from 7 ft,,68-81,,
11:20.0,,,68-81,,Defensive rebound by R. Gobert
11:13.0,,,68-84,3,J. Crowder makes 3-pt shot from 25 ft (assist by R. Gobert)
10:51.0,D. Bender misses 3-pt shot from 24 ft,,68-84,,
10:49.0,,,68-84,,Defensive rebound by J. Crowder
10:32.0,,,68-84,,J. Crowder misses 2-pt shot from 2 ft
10:31.0,,,68-84,,Offensive rebound by R. Gobert
10:27.0,,,68-84,,D. Mitchell misses 2-pt shot from 21 ft
10:23.0,Defensive rebound by T. Daniels,,68-84,,
10:16.0,D. Bender makes 3-pt shot from 25 ft (assist by T. Ulis),3,71-84,,
9:53.0,,,71-87,3,D. Mitchell makes 3-pt shot from 26 ft
9:45.0,Offensive foul by D. Booker (drawn by R. O'Neale),,71-87,,
9:45.0,Turnover by D. Booker (offensive foul),,71-87,,
9:45.0,,,71-87,,R. Rubio enters the game for D. Exum
9:28.0,,,71-87,,D. Mitchell misses 2-pt shot from 2 ft
9:24.0,Defensive rebound by J. Jackson,,71-87,,
9:23.0,Shooting foul by J. Crowder (drawn by J. Jackson),,71-87,,
9:23.0,J. Jackson makes free throw 1 of 2,1,72-87,,
9:23.0,T. Warren enters the game for D. Booker,,72-87,,
9:23.0,J. Jackson misses free throw 2 of 2,,72-87,,
