time,Minnesota,pts.away,score,pts.home,Golden State
6:18.0,,,12-19,,Shooting foul by T. Gibson (drawn by Z. Pachulia)
6:18.0,,,12-19,,Z. Pachulia misses free throw 1 of 2
6:18.0,,,12-19,,Offensive rebound by Team
6:18.0,,,12-20,1,Z. Pachulia makes free throw 2 of 2
6:11.0,J. Teague makes 2-pt shot from 7 ft,2,14-20,,
6:11.0,Shooting foul by K. Durant (drawn by J. Teague),,14-20,,
6:11.0,J. Teague makes free throw 1 of 1,1,15-20,,
6:02.0,,,15-20,,Turnover by D. Green (bad pass)
5:47.0,A. Wiggins misses 2-pt shot from 11 ft,,15-20,,
5:45.0,,,15-20,,Defensive rebound by K. Durant
5:45.0,Loose ball foul by K. Towns (drawn by K. Durant),,15-20,,
5:45.0,,,15-20,,A. Iguodala enters the game for D. Green
5:32.0,,,15-22,2,A. Iguodala makes 2-pt shot from 16 ft (assist by K. Durant)
5:12.0,T. Gibson makes 2-pt shot from 1 ft (assist by N. Bjelica),2,17-22,,
4:51.0,,,17-24,2,K. Durant makes 2-pt shot from 22 ft (assist by Z. Pachulia)
4:36.0,K. Towns makes 2-pt shot from 14 ft (assist by J. Teague),2,19-24,,
4:26.0,,,19-27,3,K. Durant makes 3-pt shot from 25 ft
4:13.0,J. Teague makes 2-pt shot from 13 ft,2,21-27,,
4:01.0,,,21-27,,Turnover by S. Curry (bad pass; steal by A. Wiggins)
3:47.0,J. Teague misses 2-pt shot from 9 ft,,21-27,,
3:43.0,,,21-27,,Defensive rebound by K. Thompson
3:32.0,,,21-29,2,Z. Pachulia makes 2-pt shot from 9 ft (assist by A. Iguodala)
3:10.0,K. Towns makes 2-pt shot from 2 ft,2,23-29,,
3:09.0,,,23-29,,Golden State full timeout
3:09.0,,,23-29,,K. Looney enters the game for K. Thompson
3:09.0,,,23-29,,N. Young enters the game for Z. Pachulia
3:09.0,G. Dieng enters the game for N. Bjelica,,23-29,,
3:09.0,J. Crawford enters the game for K. Towns,,23-29,,
2:53.0,,,23-29,,K. Looney misses 2-pt shot from 4 ft
2:51.0,,,23-29,,Offensive rebound by A. Iguodala
2:50.0,,,23-29,,Shooting foul by J. Teague (drawn by A. Iguodala)
2:50.0,,,23-29,,A. Iguodala misses free throw 1 of 2
2:50.0,,,23-29,,Offensive rebound by Team
2:50.0,,,23-30,1,A. Iguodala makes free throw 2 of 2
2:34.0,Turnover by J. Teague (bad pass; steal by S. Curry),,23-30,,
2:28.0,,,23-30,,Turnover by K. Durant (bad pass)
2:15.0,A. Wiggins misses 2-pt shot from 21 ft,,23-30,,
2:12.0,Offensive rebound by T. Gibson,,23-30,,
2:10.0,J. Teague misses 3-pt shot from 24 ft,,23-30,,
2:06.0,,,23-30,,Defensive rebound by K. Durant
2:02.0,,,23-32,2,A. Iguodala makes 2-pt shot from 1 ft (assist by K. Durant)
1:43.0,J. Crawford makes 2-pt shot from 16 ft (assist by J. Teague),2,25-32,,
1:24.0,,,25-32,,K. Durant misses 2-pt shot from 13 ft
1:17.0,,,25-32,,Offensive rebound by A. Iguodala
1:17.0,,,25-32,,A. Iguodala misses 2-pt shot at rim
1:16.0,Defensive rebound by G. Dieng,,25-32,,
1:16.0,T. Gibson makes 2-pt shot from 2 ft (assist by J. Crawford),2,27-32,,
1:04.0,,,27-35,3,S. Curry makes 3-pt shot from 27 ft
0:52.0,,,27-35,,D. Green enters the game for K. Durant
0:52.0,N. Bjelica enters the game for T. Gibson,,27-35,,
0:40.0,G. Dieng misses 2-pt shot from 11 ft,,27-35,,
0:36.0,,,27-35,,Defensive rebound by K. Looney
0:33.0,,,27-38,3,A. Iguodala makes 3-pt shot from 26 ft
0:22.0,Shooting foul by N. Young (drawn by J. Crawford),,27-38,,
0:22.0,J. Crawford makes free throw 1 of 2,1,28-38,,
0:22.0,J. Crawford makes free throw 2 of 2,1,29-38,,
0:01.0,,,29-38,,N. Young misses 3-pt shot from 23 ft
0:00.0,,,29-38,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,N. Bjelica misses 2-pt shot from 7 ft (block by D. Green),,29-38,,
11:39.0,Offensive rebound by Team,,29-38,,
11:36.0,Turnover by T. Jones (bad pass; steal by K. Thompson),,29-38,,
11:34.0,,,29-40,2,S. Livingston makes 2-pt shot from 5 ft (assist by K. Thompson)
11:17.0,Shooting foul by D. West (drawn by G. Dieng),,29-40,,
11:17.0,G. Dieng makes free throw 1 of 2,1,30-40,,
11:17.0,G. Dieng misses free throw 2 of 2,,30-40,,
11:13.0,,,30-40,,Defensive rebound by D. Green
10:56.0,,,30-40,,D. West misses 2-pt shot from 4 ft
10:52.0,Defensive rebound by G. Dieng,,30-40,,
10:47.0,J. Crawford misses 3-pt shot from 26 ft,,30-40,,
10:44.0,,,30-40,,Defensive rebound by K. Thompson
10:41.0,,,30-42,2,K. Thompson makes 2-pt shot from 2 ft (assist by D. Green)
10:25.0,G. Dieng makes 2-pt shot from 15 ft (assist by M. Georges-Hunt),2,32-42,,
10:12.0,,,32-44,2,D. West makes 2-pt shot from 1 ft (assist by S. Livingston)
9:44.0,J. Crawford misses 2-pt shot from 10 ft,,32-44,,
9:39.0,,,32-44,,Defensive rebound by D. Green
9:37.0,,,32-44,,K. Thompson misses 2-pt shot from 19 ft
9:33.0,Defensive rebound by J. Crawford,,32-44,,
9:27.0,G. Dieng makes 2-pt shot from 20 ft (assist by J. Crawford),2,34-44,,
9:13.0,,,34-46,2,S. Livingston makes 2-pt shot from 2 ft (assist by D. West)
9:05.0,Minnesota full timeout,,34-46,,
9:05.0,K. Towns enters the game for G. Dieng,,34-46,,
8:54.0,,,34-46,,Personal foul by D. West (drawn by K. Towns)
8:47.0,K. Towns misses 2-pt shot from 5 ft,,34-46,,
8:41.0,,,34-46,,Defensive rebound by K. Thompson
8:34.0,,,34-46,,D. West misses 2-pt shot from 9 ft
8:32.0,Defensive rebound by T. Jones,,34-46,,
8:23.0,N. Bjelica misses 3-pt shot from 25 ft,,34-46,,
8:18.0,,,34-46,,Defensive rebound by D. Green
8:14.0,Personal foul by M. Georges-Hunt (drawn by A. Iguodala),,34-46,,
8:04.0,,,34-48,2,A. Iguodala makes 2-pt shot from 1 ft (assist by S. Livingston)
7:51.0,J. Crawford misses 2-pt shot from 15 ft,,34-48,,
7:47.0,,,34-48,,Defensive rebound by S. Livingston
7:44.0,,,34-50,2,D. West makes 2-pt shot from 1 ft (assist by S. Livingston)
7:37.0,Minnesota full timeout,,34-50,,
7:37.0,A. Wiggins enters the game for M. Georges-Hunt,,34-50,,
7:28.0,K. Towns makes 2-pt shot from 1 ft (assist by J. Crawford),2,36-50,,
7:08.0,,,36-50,,Turnover by D. West (lost ball; steal by A. Wiggins)
7:03.0,A. Wiggins misses 2-pt shot at rim,,36-50,,
7:02.0,Offensive rebound by A. Wiggins,,36-50,,
7:02.0,A. Wiggins makes 2-pt shot at rim,2,38-50,,
6:48.0,,,38-50,,D. West misses 2-pt shot from 16 ft
6:45.0,Defensive rebound by N. Bjelica,,38-50,,
6:38.0,K. Towns makes 2-pt shot from 6 ft (assist by N. Bjelica),2,40-50,,
6:36.0,,,40-50,,Golden State full timeout
6:36.0,,,40-50,,S. Curry enters the game for A. Iguodala
6:36.0,,,40-50,,N. Young enters the game for K. Thompson
6:36.0,J. Teague enters the game for T. Jones,,40-50,,
6:36.0,,,40-50,,K. Durant enters the game for D. Green
6:17.0,,,40-50,,Turnover by K. Durant (bad pass; steal by N. Bjelica)
6:05.0,N. Bjelica makes 2-pt shot from 1 ft (assist by K. Towns),2,42-50,,
5:45.0,,,42-50,,K. Durant misses 2-pt shot from 16 ft (block by J. Teague)
5:42.0,Defensive rebound by J. Teague,,42-50,,
5:42.0,J. Teague makes 2-pt shot from 1 ft,2,44-50,,
5:42.0,Shooting foul by S. Curry (drawn by J. Teague),,44-50,,
5:42.0,,,44-50,,K. Looney enters the game for D. West
5:42.0,J. Teague makes free throw 1 of 1,1,45-50,,
5:25.0,,,45-53,3,S. Curry makes 3-pt shot from 27 ft (assist by K. Durant)
5:06.0,,,45-53,,Personal foul by N. Young (drawn by K. Towns)
5:02.0,J. Teague makes 3-pt shot from 25 ft (assist by K. Towns),3,48-53,,
4:46.0,,,48-53,,S. Livingston misses 2-pt shot from 15 ft
4:41.0,,,48-53,,Offensive rebound by S. Livingston
4:41.0,,,48-53,,S. Livingston misses 2-pt shot at rim
4:40.0,,,48-53,,Offensive rebound by K. Looney
4:38.0,,,48-56,3,K. Durant makes 3-pt shot from 28 ft (assist by K. Looney)
4:14.0,J. Crawford makes 2-pt shot from 10 ft,2,50-56,,
4:04.0,,,50-59,3,S. Curry makes 3-pt shot from 23 ft (assist by K. Durant)
3:46.0,J. Crawford makes 2-pt shot from 10 ft,2,52-59,,
3:38.0,,,52-62,3,N. Young makes 3-pt shot from 24 ft (assist by K. Durant)
3:22.0,A. Wiggins misses 2-pt shot from 12 ft,,52-62,,
3:20.0,,,52-62,,Defensive rebound by Team
3:20.0,Loose ball foul by K. Towns (drawn by S. Curry),,52-62,,
3:20.0,,,52-62,,K. Thompson enters the game for S. Livingston
3:20.0,T. Gibson enters the game for J. Crawford,,52-62,,
3:01.0,,,52-62,,S. Curry misses 3-pt shot from 28 ft
2:59.0,Defensive rebound by N. Bjelica,,52-62,,
2:45.0,Turnover by J. Teague (bad pass; steal by K. Durant),,52-62,,
2:43.0,,,52-62,,N. Young misses 3-pt shot from 25 ft
2:41.0,Defensive rebound by A. Wiggins,,52-62,,
2:28.0,A. Wiggins makes 2-pt shot from 10 ft,2,54-62,,
2:20.0,Personal foul by J. Teague (drawn by S. Curry),,54-62,,
2:20.0,,,54-62,,D. Green enters the game for K. Looney
2:20.0,,,54-62,,A. Iguodala enters the game for N. Young
2:20.0,T. Jones enters the game for J. Teague,,54-62,,
2:12.0,,,54-65,3,K. Durant makes 3-pt shot from 23 ft (assist by K. Thompson)
1:54.0,Turnover by T. Gibson (lost ball; steal by S. Curry),,54-65,,
1:50.0,,,54-68,3,K. Thompson makes 3-pt shot from 26 ft (assist by S. Curry)
1:28.0,Shooting foul by K. Thompson (drawn by A. Wiggins),,54-68,,
1:28.0,A. Wiggins makes free throw 1 of 2,1,55-68,,
1:28.0,A. Wiggins makes free throw 2 of 2,1,56-68,,
1:16.0,,,56-70,2,D. Green makes 2-pt shot from 10 ft
1:04.0,Shooting foul by S. Curry (drawn by T. Jones),,56-70,,
1:04.0,T. Jones makes free throw 1 of 2,1,57-70,,
1:04.0,T. Jones makes free throw 2 of 2,1,58-70,,
0:53.0,,,58-72,2,S. Curry makes 2-pt shot from 2 ft (assist by A. Iguodala)
0:38.0,A. Wiggins misses 2-pt shot from 20 ft,,58-72,,
0:35.0,Offensive rebound by K. Towns,,58-72,,
0:35.0,K. Towns makes 2-pt shot from 3 ft,2,60-72,,
0:29.0,,,60-72,,K. Durant misses 3-pt shot from 27 ft
0:26.0,Defensive rebound by K. Towns,,60-72,,
0:09.0,A. Wiggins makes 2-pt shot from 20 ft,2,62-72,,
0:05.0,Personal foul by N. Bjelica (drawn by K. Durant),,62-72,,
0:05.0,M. Georges-Hunt enters the game for T. Jones,,62-72,,
0:03.0,,,62-72,,Shooting foul by M. Georges-Hunt (drawn by S. Curry)
0:03.0,,,62-73,1,S. Curry makes free throw 1 of 2
0:03.0,,,62-74,1,S. Curry makes free throw 2 of 2
0:00.0,T. Gibson misses 2-pt shot from 17 ft (block by K. Durant),,62-74,,
0:00.0,Offensive rebound by Team,,62-74,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,T. Gibson misses 2-pt shot from 11 ft,,62-74,,
11:37.0,,,62-74,,Defensive rebound by K. Thompson
11:33.0,,,62-74,,K. Durant misses 2-pt shot from 15 ft
11:27.0,Defensive rebound by K. Towns,,62-74,,
11:16.0,K. Towns makes 2-pt shot from 1 ft (assist by T. Gibson),2,64-74,,
11:01.0,,,64-74,,K. Thompson misses 2-pt shot from 17 ft
10:57.0,Defensive rebound by K. Towns,,64-74,,
10:39.0,J. Teague misses 2-pt shot from 18 ft,,64-74,,
10:38.0,Offensive rebound by T. Gibson,,64-74,,
10:38.0,T. Gibson makes 2-pt shot at rim,2,66-74,,
10:08.0,,,66-77,3,K. Durant makes 3-pt shot from 26 ft
9:49.0,N. Bjelica makes 3-pt shot from 25 ft (assist by A. Wiggins),3,69-77,,
9:40.0,,,69-77,,Z. Pachulia misses 2-pt shot from 1 ft
9:36.0,Defensive rebound by A. Wiggins,,69-77,,
9:34.0,N. Bjelica makes 3-pt shot from 25 ft (assist by J. Teague),3,72-77,,
9:18.0,,,72-79,2,K. Durant makes 2-pt shot at rim (assist by S. Curry)
9:00.0,J. Teague misses 2-pt shot from 15 ft,,72-79,,
8:54.0,,,72-79,,Defensive rebound by Z. Pachulia
8:51.0,,,72-82,3,K. Thompson makes 3-pt shot from 21 ft (assist by S. Curry)
8:37.0,K. Towns makes 3-pt shot from 25 ft (assist by A. Wiggins),3,75-82,,
8:23.0,,,75-84,2,S. Curry makes 2-pt shot from 21 ft
8:00.0,N. Bjelica misses 2-pt shot from 7 ft,,75-84,,
7:55.0,Offensive rebound by T. Gibson,,75-84,,
7:55.0,T. Gibson makes 2-pt shot at rim,2,77-84,,
7:53.0,,,77-84,,Turnover by S. Curry (bad pass)
7:38.0,K. Towns misses 2-pt shot from 11 ft,,77-84,,
7:33.0,,,77-84,,Defensive rebound by Z. Pachulia
7:29.0,,,77-87,3,K. Thompson makes 3-pt shot from 25 ft (assist by K. Durant)
7:15.0,A. Wiggins misses 2-pt shot from 2 ft (block by K. Thompson),,77-87,,
7:15.0,Offensive rebound by Team,,77-87,,
7:05.0,A. Wiggins misses 3-pt shot from 27 ft,,77-87,,
7:03.0,,,77-87,,Defensive rebound by S. Curry
6:51.0,,,77-90,3,K. Thompson makes 3-pt shot from 23 ft (assist by K. Durant)
6:49.0,Minnesota full timeout,,77-90,,
6:39.0,A. Wiggins makes 2-pt shot from 2 ft (assist by K. Towns),2,79-90,,
6:21.0,,,79-93,3,K. Thompson makes 3-pt shot from 26 ft (assist by D. Green)
6:02.0,N. Bjelica makes 3-pt shot from 25 ft (assist by A. Wiggins),3,82-93,,
5:43.0,,,82-93,,S. Curry misses 3-pt shot from 26 ft
5:40.0,Defensive rebound by N. Bjelica,,82-93,,
5:32.0,J. Teague misses 2-pt shot from 10 ft,,82-93,,
5:28.0,,,82-93,,Defensive rebound by K. Thompson
5:27.0,,,82-93,,Turnover by K. Thompson (bad pass; steal by N. Bjelica)
5:23.0,K. Towns makes 2-pt shot from 1 ft (assist by N. Bjelica),2,84-93,,
5:05.0,,,84-93,,K. Durant misses 2-pt shot from 11 ft
5:02.0,Defensive rebound by K. Towns,,84-93,,
4:58.0,Turnover by K. Towns (offensive goaltending),,84-93,,
4:58.0,,,84-93,,A. Iguodala enters the game for D. Green
4:42.0,,,84-95,2,Z. Pachulia makes 2-pt shot from 2 ft (assist by K. Thompson)
4:28.0,K. Towns makes 2-pt shot from 4 ft (assist by J. Teague),2,86-95,,
4:22.0,Personal foul by N. Bjelica (drawn by K. Durant),,86-95,,
4:22.0,,,86-95,,K. Looney enters the game for Z. Pachulia
4:15.0,,,86-95,,Turnover by K. Looney (bad pass; steal by T. Gibson)
4:00.0,Turnover by K. Towns (bad pass; steal by A. Iguodala),,86-95,,
3:51.0,,,86-95,,S. Curry misses 3-pt shot from 25 ft
3:46.0,Defensive rebound by N. Bjelica,,86-95,,
3:38.0,T. Gibson makes 2-pt shot from 2 ft (assist by J. Teague),2,88-95,,
3:38.0,,,88-95,,Golden State full timeout
3:38.0,,,88-95,,N. Young enters the game for K. Thompson
3:24.0,,,88-95,,A. Iguodala misses 2-pt shot from 18 ft
3:20.0,,,88-95,,Offensive rebound by S. Curry
3:18.0,,,88-98,3,K. Durant makes 3-pt shot from 24 ft (assist by S. Curry)
2:57.0,A. Wiggins misses 2-pt shot from 19 ft,,88-98,,
2:54.0,,,88-98,,Defensive rebound by K. Durant
2:49.0,,,88-98,,K. Looney misses 2-pt shot from 2 ft (block by A. Wiggins)
2:45.0,,,88-98,,Offensive rebound by S. Curry
2:41.0,,,88-101,3,K. Durant makes 3-pt shot from 22 ft (assist by S. Curry)
2:19.0,J. Teague makes 2-pt shot from 3 ft,2,90-101,,
2:11.0,,,90-104,3,S. Curry makes 3-pt shot from 27 ft (assist by K. Durant)
1:51.0,J. Teague misses 2-pt shot from 12 ft,,90-104,,
1:47.0,Offensive rebound by K. Towns,,90-104,,
1:47.0,K. Towns misses 2-pt shot at rim,,90-104,,
1:45.0,,,90-104,,Defensive rebound by K. Durant
1:43.0,,,90-104,,Offensive charge foul by K. Durant (drawn by J. Teague)
1:43.0,,,90-104,,Turnover by K. Durant (offensive foul)
1:43.0,G. Dieng enters the game for N. Bjelica,,90-104,,
1:43.0,J. Crawford enters the game for K. Towns,,90-104,,
1:24.0,J. Crawford misses 2-pt shot from 20 ft,,90-104,,
1:21.0,,,90-104,,Defensive rebound by S. Curry
1:15.0,,,90-104,,K. Durant misses 3-pt shot from 26 ft
1:10.0,Defensive rebound by A. Wiggins,,90-104,,
1:05.0,A. Wiggins misses 2-pt shot from 11 ft,,90-104,,
1:04.0,,,90-104,,Defensive rebound by Team
0:47.0,,,90-106,2,K. Looney makes 2-pt shot from 1 ft (assist by S. Curry)
0:32.0,G. Dieng misses 2-pt shot from 7 ft,,90-106,,
0:29.0,Offensive rebound by T. Gibson,,90-106,,
0:28.0,T. Gibson misses 2-pt shot from 2 ft,,90-106,,
0:24.0,Offensive rebound by G. Dieng,,90-106,,
0:24.0,G. Dieng misses 2-pt shot at rim,,90-106,,
0:23.0,,,90-106,,Defensive rebound by A. Iguodala
0:23.0,,,90-106,,Shooting foul by A. Wiggins (drawn by A. Iguodala)
0:23.0,,,90-106,,A. Iguodala misses free throw 1 of 2
0:23.0,,,90-106,,Offensive rebound by Team
0:23.0,,,90-106,,S. Livingston enters the game for S. Curry
0:23.0,,,90-106,,D. Green enters the game for K. Durant
0:23.0,,,90-106,,A. Iguodala misses free throw 2 of 2
0:19.0,Defensive rebound by T. Gibson,,90-106,,
0:06.0,,,90-106,,Personal foul by S. Livingston (drawn by A. Wiggins)
0:02.0,J. Crawford makes 3-pt shot from 29 ft,3,93-106,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,Personal foul by M. Georges-Hunt (drawn by K. Thompson),,93-106,,
11:41.0,,,93-106,,Turnover by K. Thompson (bad pass)
11:21.0,N. Bjelica misses 3-pt shot from 22 ft,,93-106,,
11:20.0,Offensive rebound by Team,,93-106,,
11:20.0,,,93-106,,Personal foul by A. Iguodala (drawn by G. Dieng)
11:16.0,J. Crawford misses 2-pt shot from 16 ft (block by A. Iguodala),,93-106,,
11:16.0,Offensive rebound by J. Crawford,,93-106,,
11:05.0,,,93-106,,Personal foul by A. Iguodala (drawn by J. Crawford)
10:59.0,Turnover by J. Crawford (lost ball; steal by D. West),,93-106,,
10:53.0,,,93-106,,Turnover by D. West (bad pass; steal by T. Jones)
10:48.0,J. Crawford misses 3-pt shot from 22 ft (block by D. Green),,93-106,,
10:45.0,,,93-106,,Defensive rebound by A. Iguodala
10:42.0,,,93-106,,K. Thompson misses 3-pt shot from 22 ft
10:37.0,Defensive rebound by G. Dieng,,93-106,,
10:35.0,G. Dieng makes 2-pt shot from 1 ft (assist by J. Crawford),2,95-106,,
10:11.0,,,95-106,,D. West misses 2-pt shot from 17 ft
10:08.0,Defensive rebound by N. Bjelica,,95-106,,
10:01.0,J. Crawford misses 3-pt shot from 27 ft,,95-106,,
9:58.0,,,95-106,,Defensive rebound by D. Green
9:44.0,,,95-106,,D. Green misses 3-pt shot from 26 ft
9:38.0,Defensive rebound by J. Crawford,,95-106,,
9:32.0,J. Crawford makes 2-pt shot from 4 ft,2,97-106,,
9:10.0,,,97-106,,K. Thompson misses 3-pt shot from 25 ft
9:07.0,Defensive rebound by N. Bjelica,,97-106,,
8:57.0,Shooting foul by D. West (drawn by G. Dieng),,97-106,,
8:57.0,G. Dieng makes free throw 1 of 2,1,98-106,,
8:57.0,,,98-106,,N. Young enters the game for A. Iguodala
8:57.0,G. Dieng makes free throw 2 of 2,1,99-106,,
8:43.0,,,99-106,,D. Green misses 3-pt shot from 28 ft
8:41.0,,,99-106,,Offensive rebound by D. West
8:41.0,,,99-108,2,D. West makes 2-pt shot at rim
8:25.0,J. Crawford makes 2-pt shot from 10 ft,2,101-108,,
8:10.0,,,101-108,,Turnover by D. West (lost ball; steal by G. Dieng)
8:02.0,G. Dieng misses 3-pt shot from 22 ft,,101-108,,
7:57.0,,,101-108,,Defensive rebound by S. Livingston
7:53.0,,,101-108,,S. Livingston misses 2-pt shot from 9 ft
7:51.0,Defensive rebound by M. Georges-Hunt,,101-108,,
7:32.0,T. Jones misses 3-pt shot from 23 ft,,101-108,,
7:29.0,,,101-108,,Defensive rebound by D. West
7:24.0,,,101-108,,Shooting foul by G. Dieng (drawn by D. Green)
7:24.0,,,101-109,1,D. Green makes free throw 1 of 2
7:24.0,K. Towns enters the game for G. Dieng,,101-109,,
7:24.0,,,101-110,1,D. Green makes free throw 2 of 2
7:13.0,Shooting foul by S. Livingston (drawn by K. Towns),,101-110,,
7:13.0,K. Towns misses free throw 1 of 2,,101-110,,
7:13.0,Offensive rebound by Team,,101-110,,
7:13.0,,,101-110,,S. Curry enters the game for D. West
7:13.0,,,101-110,,K. Looney enters the game for K. Thompson
7:13.0,,,101-110,,K. Durant enters the game for D. Green
7:13.0,T. Gibson enters the game for T. Jones,,101-110,,
7:13.0,J. Teague enters the game for N. Bjelica,,101-110,,
7:13.0,K. Towns makes free throw 2 of 2,1,102-110,,
6:52.0,,,102-112,2,S. Livingston makes 2-pt shot from 2 ft (assist by K. Durant)
6:37.0,J. Crawford makes 2-pt shot from 17 ft,2,104-112,,
6:15.0,,,104-115,3,N. Young makes 3-pt shot from 23 ft (assist by S. Curry)
5:55.0,K. Towns misses 2-pt shot from 2 ft,,104-115,,
5:52.0,,,104-115,,Defensive rebound by K. Durant
5:47.0,,,104-117,2,K. Durant makes 2-pt shot from 1 ft
5:47.0,Minnesota full timeout,,104-117,,
5:47.0,A. Wiggins enters the game for M. Georges-Hunt,,104-117,,
5:32.0,J. Crawford makes 2-pt shot from 12 ft,2,106-117,,
5:16.0,,,106-117,,K. Durant misses 3-pt shot from 26 ft
5:13.0,Defensive rebound by K. Towns,,106-117,,
5:13.0,,,106-117,,Personal foul by N. Young (drawn by K. Towns)
5:13.0,,,106-117,,D. Green enters the game for S. Livingston
5:13.0,K. Towns makes free throw 1 of 2,1,107-117,,
5:13.0,K. Towns misses free throw 2 of 2,,107-117,,
5:08.0,,,107-117,,Defensive rebound by K. Looney
4:52.0,,,107-117,,Turnover by D. Green (bad pass; steal by J. Teague)
4:48.0,J. Crawford makes 2-pt shot from 18 ft (assist by K. Towns),2,109-117,,
4:46.0,,,109-117,,Golden State full timeout
4:46.0,,,109-117,,K. Thompson enters the game for N. Young
4:29.0,,,109-117,,K. Durant misses 2-pt shot from 11 ft
4:28.0,Defensive rebound by Team,,109-117,,
4:28.0,,,109-117,,Loose ball foul by K. Looney (drawn by K. Towns)
4:28.0,K. Towns makes free throw 1 of 2,1,110-117,,
4:28.0,,,110-117,,A. Iguodala enters the game for K. Looney
4:28.0,K. Towns makes free throw 2 of 2,1,111-117,,
4:16.0,,,111-120,3,K. Thompson makes 3-pt shot from 26 ft (assist by K. Durant)
3:57.0,A. Wiggins misses 3-pt shot from 28 ft,,111-120,,
3:53.0,,,111-120,,Defensive rebound by K. Durant
3:31.0,,,111-120,,A. Iguodala misses 2-pt shot from 3 ft
