time,Oklahoma City,pts.away,score,pts.home,Phoenix
4:40.0,Defensive rebound by P. George,,20-16,,
4:38.0,,,20-16,,Personal foul by D. Booker (drawn by P. George)
4:38.0,P. George makes clear path free throw 2 of 2,1,21-16,,
4:38.0,P. George makes clear path free throw 1 of 2,1,22-16,,
4:38.0,,,22-16,,D. Bender enters the game for M. Chriss
4:38.0,,,22-16,,A. Len enters the game for T. Chandler
4:31.0,,,22-16,,Personal foul by D. Booker (drawn by T. Ferguson)
4:31.0,,,22-16,,T. Daniels enters the game for D. Booker
4:31.0,,,22-16,,T. Ulis enters the game for T. Warren
4:20.0,C. Anthony misses 2-pt shot from 2 ft (block by D. Bender),,22-16,,
4:17.0,,,22-16,,Defensive rebound by D. Bender
4:14.0,,,22-16,,D. Bender misses 3-pt shot from 25 ft
4:07.0,,,22-16,,Offensive rebound by J. Jackson
4:07.0,,,22-18,2,J. Jackson makes 2-pt shot at rim
3:58.0,R. Westbrook misses 2-pt shot from 10 ft,,22-18,,
3:58.0,Offensive rebound by Team,,22-18,,
3:58.0,,,22-18,,Loose ball foul by A. Len (drawn by S. Adams)
3:47.0,C. Anthony misses 2-pt shot from 19 ft,,22-18,,
3:43.0,,,22-18,,Defensive rebound by J. Jackson
3:36.0,,,22-18,,J. Jackson misses 2-pt shot at rim (block by S. Adams)
3:36.0,,,22-18,,Offensive rebound by A. Len
3:31.0,,,22-20,2,A. Len makes 2-pt shot at rim
3:21.0,R. Westbrook misses 2-pt shot from 17 ft,,22-20,,
3:18.0,,,22-20,,Defensive rebound by J. Jackson
3:13.0,,,22-22,2,J. Jackson makes 2-pt shot at rim
2:59.0,,,22-22,,Personal block foul by T. Ulis (drawn by R. Westbrook)
2:59.0,,,22-22,,Phoenix full timeout
2:59.0,J. Huestis enters the game for T. Ferguson,,22-22,,
2:59.0,R. Westbrook misses free throw 1 of 2,,22-22,,
2:59.0,Offensive rebound by Team,,22-22,,
2:59.0,R. Westbrook makes free throw 2 of 2,1,23-22,,
2:48.0,,,23-25,3,T. Daniels makes 3-pt shot from 23 ft (assist by T. Ulis)
2:29.0,Shooting foul by A. Len (drawn by J. Huestis),,23-25,,
2:29.0,J. Huestis misses free throw 1 of 2,,23-25,,
2:29.0,Offensive rebound by Team,,23-25,,
2:29.0,R. Felton enters the game for R. Westbrook,,23-25,,
2:29.0,J. Grant enters the game for C. Anthony,,23-25,,
2:29.0,J. Huestis misses free throw 2 of 2,,23-25,,
2:29.0,Offensive rebound by Team,,23-25,,
2:29.0,,,23-25,,Loose ball foul by A. Len (drawn by S. Adams)
2:29.0,S. Adams misses free throw 1 of 2,,23-25,,
2:29.0,Offensive rebound by Team,,23-25,,
2:29.0,,,23-25,,T. Chandler enters the game for A. Len
2:29.0,S. Adams misses free throw 2 of 2,,23-25,,
2:27.0,,,23-25,,Defensive rebound by T. Chandler
2:17.0,,,23-25,,T. Daniels misses 3-pt shot from 25 ft
2:12.0,Defensive rebound by J. Grant,,23-25,,
1:57.0,P. George misses 2-pt shot from 18 ft,,23-25,,
1:54.0,,,23-25,,Defensive rebound by D. Bender
1:41.0,,,23-28,3,J. Jackson makes 3-pt shot from 25 ft
1:14.0,Turnover by Team (shot clock),,23-28,,
1:14.0,P. Patterson enters the game for S. Adams,,23-28,,
1:01.0,,,23-28,,T. Daniels misses 2-pt shot from 12 ft
0:58.0,Defensive rebound by R. Felton,,23-28,,
0:44.0,J. Grant misses 2-pt shot from 4 ft (block by T. Ulis),,23-28,,
0:44.0,,,23-28,,Defensive rebound by Team
0:32.0,,,23-28,,J. Jackson misses 2-pt shot from 6 ft (block by J. Huestis)
0:28.0,Defensive rebound by R. Felton,,23-28,,
0:25.0,J. Huestis misses 2-pt shot from 1 ft (block by D. Bender),,23-28,,
0:25.0,,,23-28,,Defensive rebound by T. Chandler
0:05.0,Personal foul by R. Felton (drawn by T. Ulis),,23-28,,
0:00.0,,,23-28,,J. Jackson misses 2-pt shot from 1 ft
0:00.0,,,23-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,23-28,,Shooting foul by J. Huestis (drawn by T. Warren)
11:46.0,,,23-29,1,T. Warren makes free throw 1 of 2
11:46.0,,,23-30,1,T. Warren makes free throw 2 of 2
11:35.0,R. Felton makes 3-pt shot from 24 ft (assist by P. Patterson),3,26-30,,
11:11.0,,,26-30,,Shooting foul by P. George (drawn by M. Chriss)
11:11.0,,,26-31,1,M. Chriss makes free throw 1 of 2
11:11.0,,,26-32,1,M. Chriss makes free throw 2 of 2
10:58.0,J. Grant makes 2-pt shot at rim (assist by R. Felton),2,28-32,,
10:37.0,,,28-32,,T. Warren misses 2-pt shot from 10 ft (block by J. Huestis)
10:33.0,,,28-32,,Offensive rebound by T. Warren
10:31.0,,,28-35,3,T. Daniels makes 3-pt shot from 23 ft (assist by T. Warren)
10:16.0,P. George misses 2-pt shot from 19 ft,,28-35,,
10:12.0,,,28-35,,Defensive rebound by T. Daniels
9:58.0,,,28-35,,M. Chriss misses 3-pt shot from 25 ft
9:55.0,Defensive rebound by J. Huestis,,28-35,,
9:49.0,Shooting foul by T. Daniels (drawn by P. George),,28-35,,
9:49.0,P. George misses free throw 1 of 2,,28-35,,
9:49.0,Offensive rebound by Team,,28-35,,
9:49.0,P. George makes free throw 2 of 2,1,29-35,,
9:29.0,,,29-35,,T. Ulis misses 3-pt shot from 25 ft
9:26.0,Defensive rebound by P. George,,29-35,,
9:21.0,J. Grant misses 2-pt shot at rim (block by M. Chriss),,29-35,,
9:17.0,Offensive rebound by J. Huestis,,29-35,,
9:16.0,J. Huestis makes 2-pt shot from 1 ft,2,31-35,,
9:09.0,,,31-35,,T. Warren misses 2-pt shot at rim
9:09.0,Defensive rebound by J. Grant,,31-35,,
9:01.0,P. Patterson makes 3-pt shot from 22 ft (assist by P. George),3,34-35,,
9:00.0,,,34-35,,Phoenix full timeout
9:00.0,,,34-35,,D. Booker enters the game for T. Ulis
9:00.0,,,34-35,,J. Jackson enters the game for M. Chriss
9:00.0,R. Westbrook enters the game for P. George,,34-35,,
8:36.0,,,34-35,,D. Booker misses 3-pt shot from 25 ft
8:36.0,,,34-35,,Offensive rebound by Team
8:36.0,,,34-35,,Turnover by Team (shot clock)
8:23.0,R. Westbrook misses 2-pt shot from 13 ft,,34-35,,
8:20.0,,,34-35,,Defensive rebound by D. Bender
8:04.0,,,34-37,2,J. Jackson makes 2-pt shot from 9 ft
8:04.0,,,34-37,,Shooting foul by J. Grant (drawn by J. Jackson)
8:04.0,,,34-37,,J. Jackson misses free throw 1 of 1
8:02.0,Defensive rebound by R. Westbrook,,34-37,,
7:53.0,R. Felton misses 3-pt shot from 26 ft,,34-37,,
7:53.0,,,34-37,,Defensive rebound by T. Warren
7:38.0,,,34-37,,T. Daniels misses 3-pt shot from 30 ft
7:34.0,,,34-37,,Offensive rebound by J. Jackson
7:31.0,,,34-39,2,T. Warren makes 2-pt shot at rim (assist by J. Jackson)
7:16.0,R. Westbrook makes 2-pt shot at rim,2,36-39,,
7:06.0,,,36-42,3,D. Booker makes 3-pt shot from 24 ft
6:57.0,R. Westbrook makes 2-pt shot from 7 ft,2,38-42,,
6:57.0,,,38-42,,Shooting block foul by J. Jackson (drawn by R. Westbrook)
6:57.0,C. Anthony enters the game for J. Grant,,38-42,,
6:57.0,T. Ferguson enters the game for J. Huestis,,38-42,,
6:57.0,R. Westbrook misses free throw 1 of 1,,38-42,,
6:56.0,,,38-42,,Defensive rebound by T. Warren
6:56.0,Personal foul by R. Westbrook (drawn by T. Warren),,38-42,,
6:41.0,,,38-44,2,T. Warren makes 2-pt shot at rim (assist by D. Booker)
6:26.0,R. Westbrook makes 2-pt shot from 1 ft,2,40-44,,
6:10.0,,,40-46,2,T. Warren makes 2-pt shot at rim (assist by D. Bender)
6:10.0,,,40-46,,Shooting foul by T. Ferguson (drawn by T. Warren)
6:10.0,,,40-46,,T. Chandler enters the game for T. Daniels
6:10.0,S. Adams enters the game for P. Patterson,,40-46,,
6:10.0,,,40-47,1,T. Warren makes free throw 1 of 1
5:59.0,R. Westbrook misses 2-pt shot at rim,,40-47,,
5:54.0,Offensive rebound by S. Adams,,40-47,,
5:54.0,S. Adams makes 2-pt shot at rim,2,42-47,,
5:43.0,,,42-47,,J. Jackson misses 2-pt shot from 2 ft (block by S. Adams)
5:41.0,Defensive rebound by S. Adams,,42-47,,
5:39.0,R. Westbrook misses 2-pt shot at rim (block by D. Bender),,42-47,,
5:39.0,Offensive rebound by Team,,42-47,,
5:39.0,Oklahoma City full timeout,,42-47,,
5:33.0,R. Westbrook makes 2-pt shot from 1 ft,2,44-47,,
5:31.0,Personal block foul by R. Felton (drawn by D. Booker),,44-47,,
5:31.0,,,44-48,1,D. Booker makes free throw 1 of 2
5:31.0,P. George enters the game for R. Felton,,44-48,,
5:31.0,,,44-48,,D. Booker misses free throw 2 of 2
5:29.0,Defensive rebound by R. Westbrook,,44-48,,
5:21.0,C. Anthony makes 3-pt shot from 25 ft (assist by P. George),3,47-48,,
5:10.0,Personal foul by T. Ferguson (drawn by D. Booker),,47-48,,
5:10.0,,,47-49,1,D. Booker makes free throw 1 of 2
5:10.0,,,47-50,1,D. Booker makes free throw 2 of 2
4:57.0,Turnover by P. George (bad pass; steal by D. Bender),,47-50,,
4:40.0,,,47-50,,J. Jackson misses 3-pt shot from 25 ft
4:37.0,Defensive rebound by P. George,,47-50,,
4:32.0,R. Westbrook makes 2-pt shot from 1 ft (assist by P. George),2,49-50,,
4:05.0,,,49-52,2,T. Warren makes 2-pt shot at rim (assist by D. Booker)
3:54.0,C. Anthony misses 3-pt shot from 24 ft,,49-52,,
3:50.0,,,49-52,,Defensive rebound by T. Chandler
3:36.0,J. Huestis enters the game for T. Ferguson,,49-52,,
3:35.0,,,49-52,,T. Chandler misses 2-pt shot from 1 ft
3:35.0,,,49-52,,Offensive rebound by T. Warren
3:35.0,,,49-54,2,T. Warren makes 2-pt shot at rim
3:10.0,P. George makes 2-pt shot from 11 ft,2,51-54,,
2:57.0,,,51-54,,J. Jackson misses 3-pt shot from 25 ft
2:55.0,,,51-54,,Offensive rebound by T. Chandler
2:53.0,,,51-57,3,D. Booker makes 3-pt shot from 27 ft (assist by T. Chandler)
2:32.0,R. Westbrook misses 2-pt shot from 12 ft,,51-57,,
2:25.0,,,51-57,,Defensive rebound by J. Jackson
2:13.0,,,51-60,3,D. Bender makes 3-pt shot from 25 ft (assist by D. Booker)
1:44.0,R. Westbrook misses 2-pt shot from 20 ft,,51-60,,
1:44.0,,,51-60,,Defensive rebound by D. Bender
1:25.0,,,51-60,,D. Booker misses 3-pt shot from 26 ft
1:25.0,Defensive rebound by Team,,51-60,,
1:10.0,J. Huestis misses 3-pt shot from 22 ft,,51-60,,
1:08.0,,,51-60,,Defensive rebound by T. Chandler
0:48.0,,,51-60,,T. Warren misses 2-pt shot from 10 ft
0:44.0,,,51-60,,Offensive rebound by T. Chandler
0:44.0,,,51-60,,T. Chandler misses 2-pt shot at rim
0:44.0,,,51-60,,Offensive rebound by T. Chandler
0:43.0,,,51-62,2,T. Chandler makes 2-pt shot at rim
0:33.0,P. George misses 3-pt shot from 26 ft,,51-62,,
0:31.0,Offensive rebound by J. Huestis,,51-62,,
0:30.0,S. Adams misses 2-pt shot at rim,,51-62,,
0:29.0,R. Westbrook makes 2-pt shot from 1 ft,2,53-62,,
0:29.0,Offensive rebound by R. Westbrook,,53-62,,
0:05.0,,,53-62,,T. Chandler misses 2-pt shot at rim
0:02.0,,,53-62,,Offensive rebound by J. Jackson
0:00.0,,,53-62,,T. Warren misses 2-pt shot at rim
0:00.0,,,53-62,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,53-62,,Turnover by D. Booker (bad pass; steal by T. Ferguson)
11:40.0,T. Ferguson makes 2-pt shot from 1 ft (assist by R. Westbrook),2,55-62,,
11:18.0,,,55-62,,D. Bender misses 3-pt shot from 23 ft
11:16.0,Defensive rebound by P. George,,55-62,,
11:06.0,,,55-62,,Personal foul by T. Ulis (drawn by S. Adams)
10:55.0,C. Anthony misses 2-pt shot from 20 ft,,55-62,,
10:52.0,,,55-62,,Defensive rebound by D. Booker
10:50.0,Personal block foul by T. Ferguson (drawn by D. Booker),,55-62,,
10:44.0,,,55-62,,Turnover by D. Booker (bad pass; steal by T. Ferguson)
10:37.0,P. George misses 3-pt shot from 26 ft,,55-62,,
10:34.0,,,55-62,,Defensive rebound by D. Bender
10:17.0,,,55-62,,Shooting foul by T. Ferguson (drawn by D. Booker)
10:17.0,,,55-63,1,D. Booker makes free throw 1 of 2
10:17.0,J. Huestis enters the game for T. Ferguson,,55-63,,
10:17.0,,,55-64,1,D. Booker makes free throw 2 of 2
9:56.0,C. Anthony makes 2-pt shot from 11 ft (assist by P. George),2,57-64,,
9:34.0,,,57-67,3,D. Booker makes 3-pt shot from 24 ft (assist by D. Bender)
9:18.0,Shooting foul by T. Chandler (drawn by R. Westbrook),,57-67,,
9:18.0,R. Westbrook misses free throw 1 of 2,,57-67,,
9:18.0,Offensive rebound by Team,,57-67,,
9:18.0,R. Westbrook makes free throw 2 of 2,1,58-67,,
9:03.0,,,58-69,2,D. Booker makes 2-pt shot from 13 ft (assist by D. Bender)
8:47.0,P. George misses 2-pt shot from 21 ft,,58-69,,
8:44.0,Offensive rebound by S. Adams,,58-69,,
8:44.0,S. Adams misses 2-pt shot from 8 ft,,58-69,,
8:44.0,Offensive rebound by Team,,58-69,,
8:44.0,,,58-69,,Loose ball foul by D. Booker (drawn by J. Huestis)
8:39.0,Offensive foul by R. Westbrook (drawn by T. Ulis),,58-69,,
8:39.0,Turnover by R. Westbrook (offensive foul),,58-69,,
8:25.0,,,58-71,2,D. Bender makes 2-pt shot from 3 ft
8:12.0,R. Westbrook makes 2-pt shot from 10 ft,2,60-71,,
7:56.0,,,60-74,3,D. Booker makes 3-pt shot from 25 ft (assist by D. Bender)
7:42.0,,,60-74,,Personal foul by T. Ulis (drawn by R. Westbrook)
7:34.0,R. Westbrook makes 2-pt shot from 16 ft,2,62-74,,
7:17.0,,,62-74,,Turnover by D. Bender (bad pass; steal by P. George)
7:15.0,,,62-74,,Shooting block foul by D. Bender (drawn by P. George)
7:15.0,P. George makes free throw 1 of 2,1,63-74,,
7:15.0,P. George makes free throw 2 of 2,1,64-74,,
7:15.0,,,64-74,,Phoenix full timeout
7:06.0,,,64-76,2,T. Ulis makes 2-pt shot from 1 ft
6:46.0,R. Westbrook makes 3-pt shot from 25 ft (assist by C. Anthony),3,67-76,,
6:24.0,,,67-76,,D. Booker misses 3-pt shot from 26 ft
6:22.0,Defensive rebound by C. Anthony,,67-76,,
6:17.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,69-76,,
6:01.0,,,69-76,,Turnover by T. Chandler (bad pass; steal by R. Westbrook)
5:51.0,S. Adams makes 2-pt shot at rim (assist by P. George),2,71-76,,
5:33.0,,,71-76,,D. Booker misses 2-pt shot from 6 ft (block by S. Adams)
5:31.0,Defensive rebound by R. Westbrook,,71-76,,
5:28.0,P. George makes 3-pt shot from 25 ft (assist by R. Westbrook),3,74-76,,
5:27.0,,,74-76,,Phoenix full timeout
5:27.0,,,74-76,,A. Len enters the game for T. Chandler
5:27.0,,,74-76,,J. Jackson enters the game for T. Ulis
5:13.0,,,74-76,,T. Warren misses 2-pt shot from 20 ft
5:09.0,Defensive rebound by P. George,,74-76,,
5:03.0,Shooting foul by A. Len (drawn by R. Westbrook),,74-76,,
5:03.0,R. Westbrook misses free throw 1 of 2,,74-76,,
5:03.0,Offensive rebound by Team,,74-76,,
5:03.0,R. Westbrook makes free throw 2 of 2,1,75-76,,
4:49.0,,,75-79,3,D. Bender makes 3-pt shot from 23 ft (assist by J. Jackson)
4:26.0,Turnover by R. Westbrook (bad pass; steal by A. Len),,75-79,,
4:17.0,,,75-81,2,T. Warren makes 2-pt shot at rim (assist by J. Jackson)
4:17.0,Oklahoma City full timeout,,75-81,,
4:17.0,,,75-81,,T. Daniels enters the game for T. Warren
4:17.0,J. Grant enters the game for P. George,,75-81,,
4:06.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,77-81,,
3:51.0,,,77-81,,Turnover by Team (turnover)
3:35.0,J. Grant misses 2-pt shot from 2 ft,,77-81,,
3:33.0,,,77-81,,Defensive rebound by J. Jackson
3:26.0,,,77-84,3,D. Bender makes 3-pt shot from 22 ft (assist by J. Jackson)
3:09.0,R. Westbrook misses 2-pt shot from 1 ft (block by J. Jackson),,77-84,,
3:09.0,,,77-84,,Defensive rebound by Team
2:59.0,,,77-84,,Turnover by D. Bender (bad pass; steal by R. Westbrook)
2:55.0,R. Westbrook misses 2-pt shot at rim,,77-84,,
2:52.0,,,77-84,,Defensive rebound by D. Bender
2:49.0,,,77-84,,T. Daniels misses 3-pt shot from 25 ft
2:45.0,,,77-84,,Offensive rebound by A. Len
2:44.0,,,77-84,,Shooting foul by C. Anthony (drawn by D. Booker)
2:44.0,,,77-85,1,D. Booker makes free throw 1 of 3
2:44.0,,,77-86,1,D. Booker makes free throw 2 of 3
2:44.0,R. Felton enters the game for J. Huestis,,77-86,,
2:44.0,,,77-87,1,D. Booker makes free throw 3 of 3
2:23.0,J. Grant misses 3-pt shot from 25 ft,,77-87,,
2:19.0,,,77-87,,Defensive rebound by D. Booker
2:10.0,,,77-87,,T. Daniels misses 3-pt shot from 23 ft
2:08.0,Defensive rebound by R. Westbrook,,77-87,,
2:04.0,R. Westbrook misses 2-pt shot from 16 ft,,77-87,,
2:00.0,,,77-87,,Defensive rebound by J. Jackson
1:49.0,,,77-87,,J. Jackson misses 2-pt shot from 7 ft
1:48.0,Defensive rebound by Team,,77-87,,
1:48.0,,,77-87,,T. Ulis enters the game for D. Booker
1:48.0,J. Huestis enters the game for R. Westbrook,,77-87,,
1:48.0,P. Patterson enters the game for S. Adams,,77-87,,
1:33.0,C. Anthony misses 3-pt shot from 24 ft,,77-87,,
1:29.0,,,77-87,,Defensive rebound by A. Len
1:08.0,,,77-87,,J. Jackson misses 2-pt shot from 8 ft
1:01.0,Defensive rebound by R. Felton,,77-87,,
0:59.0,C. Anthony misses 3-pt shot from 25 ft,,77-87,,
0:55.0,Offensive rebound by J. Grant,,77-87,,
0:51.0,C. Anthony makes 2-pt shot from 16 ft (assist by P. Patterson),2,79-87,,
0:32.0,,,79-90,3,J. Jackson makes 3-pt shot from 24 ft (assist by T. Ulis)
0:16.0,C. Anthony makes 2-pt shot from 20 ft,2,81-90,,
0:16.0,Shooting foul by J. Jackson (drawn by C. Anthony),,81-90,,
0:16.0,C. Anthony makes free throw 1 of 1,1,82-90,,
0:03.0,,,82-90,,T. Daniels misses 3-pt shot from 22 ft
0:01.0,Defensive rebound by R. Felton,,82-90,,
0:00.0,R. Felton misses 3-pt shot from 50 ft,,82-90,,
0:00.0,Offensive rebound by Team,,82-90,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,R. Felton makes 2-pt shot from 20 ft,2,84-90,,
11:33.0,,,84-93,3,D. Bender makes 3-pt shot from 25 ft (assist by T. Ulis)
11:20.0,,,84-93,,Personal foul by J. Dudley (drawn by R. Felton)
11:11.0,T. Ferguson misses 3-pt shot from 23 ft,,84-93,,
11:09.0,Offensive rebound by Team,,84-93,,
10:55.0,P. Patterson misses 2-pt shot from 2 ft,,84-93,,
10:53.0,,,84-93,,Defensive rebound by J. Jackson
10:44.0,,,84-93,,J. Jackson misses 2-pt shot at rim (block by J. Grant)
10:41.0,Defensive rebound by T. Ferguson,,84-93,,
10:35.0,P. Patterson makes 3-pt shot from 23 ft (assist by T. Ferguson),3,87-93,,
10:08.0,,,87-93,,J. Jackson misses 2-pt shot from 20 ft
10:05.0,Defensive rebound by R. Felton,,87-93,,
9:55.0,T. Ferguson misses 3-pt shot from 25 ft,,87-93,,
9:51.0,,,87-93,,Defensive rebound by T. Daniels
9:47.0,Personal foul by P. Patterson (drawn by T. Ulis),,87-93,,
9:35.0,,,87-96,3,D. Bender makes 3-pt shot from 23 ft (assist by J. Jackson)
9:13.0,R. Felton misses 3-pt shot from 27 ft,,87-96,,
9:10.0,,,87-96,,Defensive rebound by J. Dudley
8:58.0,,,87-99,3,D. Bender makes 3-pt shot from 25 ft (assist by T. Ulis)
8:57.0,Oklahoma City full timeout,,87-99,,
8:57.0,P. George enters the game for J. Huestis,,87-99,,
8:34.0,T. Ferguson misses 3-pt shot from 26 ft,,87-99,,
8:33.0,,,87-99,,Defensive rebound by Team
8:16.0,,,87-101,2,J. Jackson makes 2-pt shot at rim (assist by T. Ulis)
7:57.0,P. George misses 3-pt shot from 26 ft,,87-101,,
7:54.0,,,87-101,,Defensive rebound by T. Daniels
7:42.0,,,87-101,,Shooting foul by T. Ferguson (drawn by T. Daniels)
7:42.0,R. Westbrook enters the game for T. Ferguson,,87-101,,
7:42.0,,,87-102,1,T. Daniels makes free throw 1 of 3
7:42.0,,,87-103,1,T. Daniels makes free throw 2 of 3
7:42.0,,,87-103,,T. Chandler enters the game for D. Bender
7:42.0,S. Adams enters the game for J. Grant,,87-103,,
7:42.0,,,87-104,1,T. Daniels makes free throw 3 of 3
7:30.0,R. Felton makes 2-pt shot from 12 ft (assist by S. Adams),2,89-104,,
7:12.0,,,89-104,,J. Jackson misses 2-pt shot from 15 ft
7:07.0,Defensive rebound by R. Westbrook,,89-104,,
7:00.0,Turnover by R. Westbrook (bad pass; steal by T. Chandler),,89-104,,
6:42.0,,,89-107,3,T. Ulis makes 3-pt shot from 24 ft (assist by J. Dudley)
6:25.0,Turnover by P. George (traveling),,89-107,,
6:25.0,,,89-107,,D. Bender enters the game for J. Dudley
6:25.0,C. Anthony enters the game for P. Patterson,,89-107,,
6:13.0,,,89-107,,J. Jackson misses 3-pt shot from 24 ft
6:09.0,Defensive rebound by C. Anthony,,89-107,,
6:06.0,P. George makes 3-pt shot from 25 ft (assist by R. Westbrook),3,92-107,,
5:45.0,,,92-107,,T. Daniels misses 2-pt shot from 1 ft
5:43.0,Defensive rebound by P. George,,92-107,,
5:36.0,P. George misses 3-pt shot from 25 ft,,92-107,,
5:33.0,,,92-107,,Defensive rebound by T. Chandler
5:08.0,,,92-107,,T. Ulis misses 3-pt shot from 25 ft
5:06.0,Defensive rebound by S. Adams,,92-107,,
4:53.0,P. George misses 2-pt shot from 6 ft,,92-107,,
4:51.0,,,92-107,,Defensive rebound by T. Chandler
4:34.0,,,92-109,2,T. Ulis makes 2-pt shot from 10 ft
4:24.0,R. Felton misses 3-pt shot from 26 ft,,92-109,,
4:19.0,Offensive rebound by R. Westbrook,,92-109,,
4:15.0,S. Adams makes 2-pt shot from 2 ft (assist by R. Westbrook),2,94-109,,
3:52.0,,,94-112,3,J. Jackson makes 3-pt shot from 23 ft (assist by T. Chandler)
3:51.0,Oklahoma City full timeout,,94-112,,
3:51.0,,,94-112,,T. Warren enters the game for J. Jackson
3:51.0,,,94-112,,D. Booker enters the game for T. Daniels
3:44.0,,,94-112,,Personal foul by D. Booker (drawn by R. Westbrook)
3:35.0,C. Anthony makes 2-pt shot from 21 ft (assist by R. Westbrook),2,96-112,,
