time,San Antonio,pts.away,score,pts.home,Atlanta
6:10.0,,,18-6,,D. Schroder misses 2-pt shot from 18 ft
6:06.0,Defensive rebound by L. Aldridge,,18-6,,
5:54.0,Turnover by P. Gasol (bad pass; steal by K. Bazemore),,18-6,,
5:51.0,,,18-8,2,K. Bazemore makes 2-pt shot from 1 ft
5:51.0,,,18-8,,Shooting foul by P. Gasol (drawn by K. Bazemore)
5:51.0,San Antonio full timeout,,18-8,,
5:51.0,,,18-8,,M. Belinelli enters the game for T. Waller-Prince
5:51.0,,,18-8,,D. Dedmon enters the game for E. Ilyasova
5:51.0,,,18-8,,J. Collins enters the game for M. Plumlee
5:51.0,M. Ginobili enters the game for P. Gasol,,18-8,,
5:51.0,D. Bertans enters the game for D. Green,,18-8,,
5:51.0,D. Murray enters the game for T. Parker,,18-8,,
5:51.0,,,18-9,1,K. Bazemore makes free throw 1 of 1
5:34.0,L. Aldridge misses 2-pt shot from 18 ft,,18-9,,
5:30.0,,,18-9,,Defensive rebound by K. Bazemore
5:20.0,,,18-9,,J. Collins misses 3-pt shot from 23 ft
5:16.0,Defensive rebound by K. Anderson,,18-9,,
5:02.0,D. Bertans misses 3-pt shot from 25 ft,,18-9,,
4:58.0,Offensive rebound by L. Aldridge,,18-9,,
4:49.0,Turnover by L. Aldridge (bad pass),,18-9,,
4:49.0,P. Mills enters the game for K. Anderson,,18-9,,
4:37.0,,,18-11,2,D. Dedmon makes 2-pt shot from 19 ft (assist by K. Bazemore)
4:17.0,L. Aldridge misses 2-pt shot from 11 ft,,18-11,,
4:13.0,,,18-11,,Defensive rebound by K. Bazemore
4:01.0,,,18-13,2,J. Collins makes 2-pt shot from 11 ft (assist by D. Schroder)
3:43.0,,,18-13,,Personal foul by K. Bazemore (drawn by L. Aldridge)
3:43.0,,,18-13,,M. Delaney enters the game for D. Schroder
3:43.0,,,18-13,,T. Waller-Prince enters the game for K. Bazemore
3:43.0,P. Gasol enters the game for L. Aldridge,,18-13,,
3:35.0,P. Gasol makes 2-pt shot from 1 ft (assist by M. Ginobili),2,20-13,,
3:17.0,,,20-13,,M. Belinelli misses 2-pt shot from 15 ft
3:11.0,Defensive rebound by D. Murray,,20-13,,
3:06.0,D. Murray misses 2-pt shot from 13 ft,,20-13,,
3:02.0,,,20-13,,Defensive rebound by J. Collins
2:45.0,,,20-13,,Turnover by M. Delaney (bad pass; steal by P. Mills)
2:37.0,P. Mills misses 3-pt shot from 25 ft,,20-13,,
2:34.0,,,20-13,,Defensive rebound by D. Dedmon
2:32.0,,,20-13,,Shooting foul by D. Murray (drawn by M. Delaney)
2:32.0,,,20-14,1,M. Delaney makes free throw 1 of 2
2:32.0,,,20-15,1,M. Delaney makes free throw 2 of 2
2:11.0,M. Ginobili misses 2-pt shot from 21 ft,,20-15,,
2:08.0,,,20-15,,Defensive rebound by M. Delaney
2:00.0,,,20-18,3,D. Dedmon makes 3-pt shot from 25 ft (assist by J. Collins)
1:42.0,D. Bertans misses 2-pt shot from 13 ft,,20-18,,
1:39.0,,,20-18,,Defensive rebound by T. Waller-Prince
1:29.0,,,20-18,,Offensive foul by M. Belinelli (drawn by P. Mills)
1:29.0,,,20-18,,Turnover by M. Belinelli (offensive foul)
1:16.0,Turnover by D. Murray (bad pass; steal by J. Collins),,20-18,,
1:11.0,,,20-21,3,M. Delaney makes 3-pt shot from 22 ft (assist by T. Waller-Prince)
0:55.0,Shooting foul by D. Dedmon (drawn by P. Mills),,20-21,,
0:55.0,K. Anderson enters the game for M. Ginobili,,20-21,,
0:55.0,P. Mills makes free throw 1 of 1,1,23-21,,
0:55.0,P. Mills makes 2-pt shot from 17 ft (assist by P. Gasol),2,22-21,,
0:47.0,Personal foul by D. Murray (drawn by J. Collins),,22-21,,
0:34.0,,,22-21,,M. Delaney misses 2-pt shot from 19 ft
0:31.0,Defensive rebound by K. Anderson,,22-21,,
0:10.0,P. Gasol misses 3-pt shot from 24 ft,,22-21,,
0:06.0,,,22-21,,Defensive rebound by D. Dedmon
0:00.0,,,22-21,,M. Delaney misses 2-pt shot from 13 ft
0:00.0,,,22-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,23-21,,T. Waller-Prince misses 3-pt shot from 25 ft
11:41.0,Defensive rebound by P. Gasol,,23-21,,
11:38.0,Shooting foul by T. Dorsey (drawn by P. Mills),,23-21,,
11:38.0,P. Mills misses free throw 1 of 2,,23-21,,
11:38.0,Offensive rebound by Team,,23-21,,
11:38.0,P. Mills makes free throw 2 of 2,1,24-21,,
11:27.0,,,24-21,,T. Waller-Prince misses 2-pt shot from 2 ft
11:23.0,,,24-21,,Offensive rebound by J. Collins
11:21.0,,,24-21,,J. Collins misses 2-pt shot at rim
11:21.0,Defensive rebound by D. Bertans,,24-21,,
11:13.0,D. Bertans makes 3-pt shot from 25 ft (assist by P. Gasol),3,27-21,,
10:57.0,,,27-21,,M. Muscala misses 3-pt shot from 24 ft
10:54.0,Defensive rebound by K. Anderson,,27-21,,
10:44.0,D. Bertans misses 2-pt shot from 1 ft,,27-21,,
10:40.0,,,27-21,,Defensive rebound by J. Collins
10:25.0,,,27-24,3,T. Dorsey makes 3-pt shot from 22 ft (assist by M. Delaney)
10:09.0,,,27-24,,Personal foul by J. Collins (drawn by D. Bertans)
10:09.0,,,27-24,,M. Plumlee enters the game for J. Collins
10:09.0,T. Parker enters the game for K. Anderson,,27-24,,
10:09.0,B. Forbes enters the game for D. Murray,,27-24,,
10:09.0,D. Green enters the game for P. Mills,,27-24,,
9:51.0,D. Bertans makes 3-pt shot from 25 ft (assist by T. Parker),3,30-24,,
9:41.0,,,30-24,,T. Dorsey misses 2-pt shot from 15 ft
9:38.0,Defensive rebound by P. Gasol,,30-24,,
9:27.0,P. Gasol misses 2-pt shot from 17 ft,,30-24,,
9:24.0,Offensive rebound by D. Green,,30-24,,
9:22.0,D. Green misses 3-pt shot from 23 ft,,30-24,,
9:19.0,,,30-24,,Defensive rebound by M. Plumlee
9:09.0,,,30-24,,Turnover by M. Muscala (lost ball; steal by D. Green)
9:01.0,D. Bertans misses 3-pt shot from 22 ft,,30-24,,
8:58.0,,,30-24,,Defensive rebound by T. Dorsey
8:47.0,,,30-24,,M. Muscala misses 2-pt shot from 1 ft (block by P. Gasol)
8:47.0,,,30-24,,Offensive rebound by Team
8:47.0,,,30-24,,E. Ilyasova enters the game for M. Muscala
8:47.0,L. Aldridge enters the game for P. Gasol,,30-24,,
8:45.0,,,30-27,3,E. Ilyasova makes 3-pt shot from 23 ft (assist by T. Dorsey)
8:29.0,T. Parker misses 2-pt shot from 11 ft,,30-27,,
8:25.0,,,30-27,,Defensive rebound by T. Dorsey
8:17.0,,,30-29,2,E. Ilyasova makes 2-pt shot from 14 ft (assist by M. Delaney)
8:17.0,San Antonio full timeout,,30-29,,
8:17.0,,,30-29,,D. Schroder enters the game for M. Delaney
8:17.0,,,30-29,,K. Bazemore enters the game for T. Waller-Prince
8:17.0,K. Anderson enters the game for D. Bertans,,30-29,,
8:06.0,B. Forbes misses 2-pt shot from 19 ft,,30-29,,
8:02.0,,,30-29,,Defensive rebound by D. Schroder
7:45.0,,,30-29,,Turnover by M. Plumlee (lost ball; steal by K. Anderson)
7:27.0,D. Green makes 2-pt shot from 17 ft,2,32-29,,
7:12.0,,,32-29,,Shooting foul by K. Anderson (drawn by D. Schroder)
7:12.0,,,32-30,1,D. Schroder makes free throw 1 of 2
7:12.0,,,32-31,1,D. Schroder makes free throw 2 of 2
6:54.0,L. Aldridge misses 2-pt shot from 10 ft,,32-31,,
6:50.0,,,32-31,,Defensive rebound by T. Dorsey
6:42.0,,,32-33,2,D. Schroder makes 2-pt shot from 15 ft
6:22.0,K. Anderson makes 2-pt shot from 1 ft (assist by L. Aldridge),2,34-33,,
6:10.0,,,34-33,,D. Schroder misses 2-pt shot from 15 ft
6:06.0,Defensive rebound by L. Aldridge,,34-33,,
5:55.0,L. Aldridge misses 2-pt shot from 2 ft,,34-33,,
5:48.0,Offensive rebound by K. Anderson,,34-33,,
5:48.0,K. Anderson misses 2-pt shot at rim,,34-33,,
5:48.0,,,34-33,,Defensive rebound by D. Schroder
5:35.0,,,34-33,,E. Ilyasova misses 2-pt shot from 15 ft
5:32.0,Defensive rebound by L. Aldridge,,34-33,,
5:21.0,K. Anderson makes 2-pt shot from 1 ft,2,36-33,,
5:21.0,,,36-33,,Atlanta full timeout
5:21.0,,,36-33,,M. Belinelli enters the game for T. Dorsey
5:21.0,,,36-33,,D. Dedmon enters the game for E. Ilyasova
5:21.0,,,36-33,,J. Collins enters the game for M. Plumlee
5:10.0,,,36-35,2,D. Dedmon makes 2-pt shot from 10 ft (assist by D. Schroder)
4:54.0,L. Aldridge makes 2-pt shot from 18 ft (assist by D. Green),2,38-35,,
4:43.0,,,38-37,2,D. Schroder makes 2-pt shot from 1 ft
4:29.0,D. Green makes 3-pt shot from 25 ft (assist by B. Forbes),3,41-37,,
4:12.0,,,41-37,,K. Bazemore misses 3-pt shot from 25 ft
4:09.0,Defensive rebound by T. Parker,,41-37,,
4:03.0,L. Aldridge misses 2-pt shot from 19 ft,,41-37,,
4:00.0,,,41-37,,Defensive rebound by J. Collins
3:54.0,,,41-37,,D. Schroder misses 2-pt shot from 16 ft
3:50.0,,,41-37,,Offensive rebound by D. Dedmon
3:42.0,,,41-37,,Turnover by K. Bazemore (bad pass; steal by T. Parker)
3:21.0,T. Parker misses 2-pt shot from 21 ft,,41-37,,
3:16.0,,,41-37,,Defensive rebound by D. Schroder
3:13.0,,,41-39,2,J. Collins makes 2-pt shot at rim (assist by D. Schroder)
2:50.0,T. Parker misses 2-pt shot from 2 ft,,41-39,,
2:48.0,,,41-39,,Defensive rebound by D. Dedmon
2:45.0,,,41-39,,K. Bazemore misses 3-pt shot from 24 ft
2:45.0,Defensive rebound by L. Aldridge,,41-39,,
2:36.0,B. Forbes makes 2-pt shot from 4 ft,2,43-39,,
2:27.0,Personal take foul by T. Parker (drawn by D. Schroder),,43-39,,
2:27.0,,,43-39,,T. Waller-Prince enters the game for K. Bazemore
2:27.0,P. Mills enters the game for T. Parker,,43-39,,
2:27.0,B. Paul enters the game for D. Green,,43-39,,
2:18.0,,,43-39,,D. Dedmon misses 2-pt shot from 22 ft
2:14.0,Defensive rebound by B. Paul,,43-39,,
2:04.0,P. Mills makes 3-pt shot from 23 ft (assist by B. Paul),3,46-39,,
1:45.0,,,46-39,,Turnover by J. Collins (lost ball; steal by K. Anderson)
1:44.0,Turnover by K. Anderson (lost ball; steal by D. Schroder),,46-39,,
1:41.0,,,46-42,3,M. Belinelli makes 3-pt shot from 24 ft (assist by D. Schroder)
1:19.0,B. Forbes misses 2-pt shot from 20 ft,,46-42,,
1:15.0,,,46-42,,Defensive rebound by J. Collins
0:56.0,,,46-42,,D. Dedmon misses 3-pt shot from 24 ft
0:55.0,Defensive rebound by Team,,46-42,,
0:55.0,,,46-42,,Loose ball foul by J. Collins (drawn by B. Paul)
0:55.0,D. Bertans enters the game for K. Anderson,,46-42,,
0:39.0,B. Forbes makes 2-pt shot from 9 ft (assist by L. Aldridge),2,48-42,,
0:24.0,,,48-44,2,M. Belinelli makes 2-pt shot from 23 ft (assist by D. Dedmon)
0:06.0,D. Bertans misses 3-pt shot from 25 ft,,48-44,,
0:03.0,,,48-44,,Defensive rebound by D. Dedmon
0:00.0,,,48-44,,D. Schroder misses 3-pt shot from 54 ft
0:00.0,,,48-44,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,48-44,,E. Ilyasova misses 2-pt shot from 23 ft
11:43.0,,,48-44,,Offensive rebound by M. Plumlee
11:36.0,,,48-47,3,E. Ilyasova makes 3-pt shot from 24 ft (assist by K. Bazemore)
11:16.0,D. Green makes 3-pt shot from 24 ft (assist by P. Gasol),3,51-47,,
11:04.0,,,51-50,3,D. Schroder makes 3-pt shot from 24 ft (assist by T. Waller-Prince)
10:44.0,L. Aldridge misses 2-pt shot from 2 ft,,51-50,,
10:40.0,,,51-50,,Defensive rebound by M. Plumlee
10:35.0,,,51-50,,D. Schroder misses 2-pt shot from 20 ft
10:32.0,,,51-50,,Offensive rebound by M. Plumlee
10:24.0,,,51-50,,Shooting foul by L. Aldridge (drawn by D. Schroder)
10:24.0,,,51-51,1,D. Schroder makes free throw 1 of 2
10:24.0,,,51-51,,D. Schroder misses free throw 2 of 2
10:22.0,Defensive rebound by L. Aldridge,,51-51,,
10:07.0,Turnover by P. Gasol (bad pass; steal by K. Bazemore),,51-51,,
10:02.0,,,51-51,,K. Bazemore misses 2-pt shot from 4 ft (block by L. Aldridge)
9:56.0,,,51-51,,Offensive rebound by M. Plumlee
9:47.0,,,51-51,,E. Ilyasova misses 2-pt shot from 9 ft
9:44.0,Defensive rebound by P. Gasol,,51-51,,
9:29.0,T. Parker makes 2-pt shot from 19 ft,2,53-51,,
9:09.0,,,53-51,,E. Ilyasova misses 2-pt shot from 2 ft (block by P. Gasol)
9:05.0,,,53-51,,Offensive rebound by E. Ilyasova
9:02.0,,,53-51,,D. Schroder misses 3-pt shot from 25 ft
9:00.0,Defensive rebound by K. Anderson,,53-51,,
8:58.0,D. Green misses 3-pt shot from 25 ft,,53-51,,
8:54.0,,,53-51,,Defensive rebound by T. Waller-Prince
8:48.0,,,53-53,2,T. Waller-Prince makes 2-pt shot from 10 ft
8:22.0,L. Aldridge misses 3-pt shot from 22 ft,,53-53,,
8:20.0,,,53-53,,Defensive rebound by M. Plumlee
8:11.0,,,53-53,,Turnover by T. Waller-Prince (bad pass)
8:11.0,P. Mills enters the game for P. Gasol,,53-53,,
8:11.0,D. Bertans enters the game for D. Green,,53-53,,
8:03.0,,,53-53,,Personal foul by T. Waller-Prince (drawn by K. Anderson)
7:57.0,T. Parker makes 2-pt shot at rim,2,55-53,,
7:41.0,,,55-55,2,E. Ilyasova makes 2-pt shot from 20 ft (assist by M. Plumlee)
7:26.0,P. Mills misses 3-pt shot from 25 ft,,55-55,,
7:23.0,,,55-55,,Defensive rebound by D. Schroder
7:19.0,,,55-57,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by D. Schroder)
7:19.0,San Antonio full timeout,,55-57,,
7:19.0,,,55-57,,M. Belinelli enters the game for T. Waller-Prince
7:02.0,D. Bertans makes 2-pt shot from 20 ft,2,57-57,,
6:42.0,,,57-59,2,D. Schroder makes 2-pt shot from 16 ft
6:26.0,,,57-59,,D. Dedmon enters the game for M. Plumlee
6:26.0,D. Murray enters the game for T. Parker,,57-59,,
6:18.0,Turnover by L. Aldridge (bad pass; steal by K. Bazemore),,57-59,,
6:15.0,,,57-61,2,K. Bazemore makes 2-pt shot from 1 ft
5:58.0,P. Mills misses 2-pt shot from 16 ft,,57-61,,
5:57.0,Offensive rebound by Team,,57-61,,
5:57.0,,,57-61,,Loose ball foul by M. Belinelli (drawn by L. Aldridge)
5:48.0,D. Bertans misses 2-pt shot from 2 ft,,57-61,,
5:43.0,,,57-61,,Defensive rebound by E. Ilyasova
5:31.0,,,57-63,2,E. Ilyasova makes 2-pt shot at rim (assist by D. Schroder)
5:18.0,D. Bertans misses 2-pt shot from 1 ft (block by K. Bazemore),,57-63,,
5:18.0,Offensive rebound by Team,,57-63,,
5:18.0,,,57-63,,J. Collins enters the game for E. Ilyasova
5:09.0,P. Mills misses 2-pt shot from 21 ft,,57-63,,
5:06.0,Offensive rebound by L. Aldridge,,57-63,,
5:05.0,L. Aldridge makes 2-pt shot from 1 ft,2,59-63,,
4:41.0,,,59-63,,K. Bazemore misses 2-pt shot from 21 ft
4:38.0,Defensive rebound by D. Murray,,59-63,,
4:32.0,,,59-63,,T. Waller-Prince enters the game for K. Bazemore
4:27.0,D. Murray misses 2-pt shot from 1 ft,,59-63,,
4:25.0,,,59-63,,Defensive rebound by D. Schroder
4:21.0,,,59-63,,T. Waller-Prince misses 3-pt shot from 25 ft
4:18.0,Defensive rebound by D. Murray,,59-63,,
4:11.0,D. Murray makes 2-pt shot from 13 ft,2,61-63,,
3:42.0,,,61-63,,D. Schroder misses 3-pt shot from 30 ft
3:39.0,Defensive rebound by D. Murray,,61-63,,
3:34.0,,,61-63,,Personal foul by T. Waller-Prince (drawn by D. Murray)
3:34.0,,,61-63,,M. Delaney enters the game for D. Schroder
3:34.0,J. Lauvergne enters the game for K. Anderson,,61-63,,
3:34.0,D. Green enters the game for L. Aldridge,,61-63,,
3:30.0,P. Mills misses 2-pt shot from 19 ft,,61-63,,
3:28.0,,,61-63,,Defensive rebound by T. Waller-Prince
3:22.0,,,61-63,,Offensive foul by D. Dedmon (drawn by P. Mills)
3:22.0,,,61-63,,Turnover by D. Dedmon (offensive foul)
3:06.0,D. Bertans misses 2-pt shot from 20 ft,,61-63,,
3:02.0,,,61-63,,Defensive rebound by M. Belinelli
2:53.0,,,61-65,2,M. Belinelli makes 2-pt shot from 1 ft
2:37.0,D. Murray makes 2-pt shot at rim (assist by J. Lauvergne),2,63-65,,
2:30.0,,,63-65,,Atlanta full timeout
2:27.0,,,63-65,,Turnover by T. Waller-Prince (bad pass; steal by D. Green)
2:12.0,J. Lauvergne makes 2-pt shot from 1 ft (assist by P. Mills),2,65-65,,
1:59.0,,,65-65,,M. Belinelli misses 2-pt shot from 19 ft
1:58.0,Defensive rebound by Team,,65-65,,
1:58.0,,,65-65,,Loose ball foul by T. Waller-Prince (drawn by D. Green)
1:47.0,D. Murray makes 2-pt shot at rim (assist by J. Lauvergne),2,67-65,,
1:29.0,,,67-65,,J. Collins misses 2-pt shot from 2 ft (block by D. Bertans)
1:24.0,Defensive rebound by D. Bertans,,67-65,,
1:15.0,D. Bertans makes 2-pt shot from 13 ft (assist by D. Green),2,69-65,,
1:03.0,,,69-65,,D. Dedmon misses 3-pt shot from 23 ft
0:58.0,,,69-65,,Offensive rebound by D. Dedmon
0:56.0,,,69-68,3,M. Belinelli makes 3-pt shot from 25 ft (assist by D. Dedmon)
0:45.0,P. Mills makes 2-pt shot from 12 ft (assist by J. Lauvergne),2,71-68,,
0:33.0,,,71-70,2,J. Collins makes 2-pt shot from 3 ft
0:12.0,P. Mills makes 2-pt shot from 19 ft,2,73-70,,
0:01.0,,,73-70,,Shooting foul by D. Green (drawn by J. Collins)
0:01.0,,,73-71,1,J. Collins makes free throw 1 of 2
0:01.0,,,73-71,,T. Dorsey enters the game for T. Waller-Prince
0:01.0,,,73-72,1,J. Collins makes free throw 2 of 2
0:00.0,D. Bertans misses 3-pt shot from 55 ft,,73-72,,
0:00.0,Offensive rebound by Team,,73-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,Turnover by P. Mills (lost ball; steal by M. Belinelli),,73-72,,
11:31.0,,,73-72,,M. Delaney misses 2-pt shot from 2 ft
11:28.0,Defensive rebound by P. Mills,,73-72,,
11:24.0,,,73-72,,Personal foul by M. Delaney (drawn by P. Mills)
11:24.0,K. Anderson enters the game for P. Mills,,73-72,,
11:24.0,B. Forbes enters the game for D. Bertans,,73-72,,
11:15.0,Shooting foul by J. Collins (drawn by K. Anderson),,73-72,,
11:15.0,K. Anderson makes free throw 1 of 2,1,74-72,,
11:15.0,T. Parker enters the game for D. Murray,,74-72,,
11:15.0,K. Anderson makes free throw 2 of 2,1,75-72,,
11:00.0,,,75-72,,Turnover by E. Ilyasova (lost ball; steal by K. Anderson)
10:53.0,Shooting foul by J. Collins (drawn by J. Lauvergne),,75-72,,
10:53.0,J. Lauvergne makes free throw 1 of 2,1,76-72,,
10:53.0,J. Lauvergne misses free throw 2 of 2,,76-72,,
10:51.0,,,76-72,,Defensive rebound by J. Collins
10:42.0,,,76-74,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by M. Delaney)
10:16.0,K. Anderson misses 2-pt shot from 8 ft,,76-74,,
10:13.0,,,76-74,,Defensive rebound by M. Belinelli
10:00.0,,,76-74,,T. Dorsey misses 3-pt shot from 23 ft
9:57.0,,,76-74,,Offensive rebound by E. Ilyasova
9:55.0,,,76-76,2,E. Ilyasova makes 2-pt shot from 1 ft
9:34.0,T. Parker misses 2-pt shot from 17 ft,,76-76,,
9:31.0,Offensive rebound by J. Lauvergne,,76-76,,
9:30.0,J. Lauvergne misses 2-pt shot from 1 ft,,76-76,,
9:30.0,,,76-76,,Defensive rebound by J. Collins
9:26.0,,,76-76,,M. Delaney misses 3-pt shot from 24 ft
9:23.0,,,76-76,,Offensive rebound by J. Collins
9:23.0,,,76-78,2,J. Collins makes 2-pt shot at rim
9:23.0,San Antonio full timeout,,76-78,,
9:23.0,,,76-78,,K. Bazemore enters the game for M. Belinelli
9:23.0,L. Aldridge enters the game for D. Green,,76-78,,
9:23.0,D. Bertans enters the game for J. Lauvergne,,76-78,,
9:11.0,B. Forbes misses 2-pt shot from 14 ft,,76-78,,
9:11.0,,,76-78,,Defensive rebound by M. Delaney
8:51.0,,,76-80,2,J. Collins makes 2-pt shot from 1 ft (assist by K. Bazemore)
8:29.0,L. Aldridge makes 2-pt shot at rim (assist by T. Parker),2,78-80,,
8:16.0,,,78-80,,E. Ilyasova misses 3-pt shot from 25 ft
8:16.0,Defensive rebound by Team,,78-80,,
8:16.0,,,78-80,,D. Dedmon enters the game for J. Collins
8:16.0,,,78-80,,D. Schroder enters the game for M. Delaney
7:55.0,D. Bertans misses 2-pt shot from 20 ft,,78-80,,
7:51.0,Offensive rebound by L. Aldridge,,78-80,,
7:50.0,L. Aldridge makes 2-pt shot at rim,2,80-80,,
7:34.0,,,80-83,3,K. Bazemore makes 3-pt shot from 25 ft (assist by T. Dorsey)
7:14.0,L. Aldridge makes 2-pt shot at rim (assist by D. Bertans),2,82-83,,
6:56.0,,,82-85,2,T. Dorsey makes 2-pt shot from 1 ft (assist by D. Schroder)
6:35.0,D. Bertans misses 2-pt shot from 13 ft,,82-85,,
6:33.0,Offensive rebound by L. Aldridge,,82-85,,
6:33.0,L. Aldridge misses 2-pt shot from 1 ft,,82-85,,
6:33.0,Offensive rebound by Team,,82-85,,
6:33.0,,,82-85,,Loose ball foul by D. Schroder (drawn by D. Bertans)
6:17.0,,,82-87,2,D. Schroder makes 2-pt shot from 16 ft (assist by T. Dorsey)
6:02.0,Turnover by K. Anderson (bad pass; steal by K. Bazemore),,82-87,,
5:59.0,,,82-89,2,D. Schroder makes 2-pt shot from 2 ft
5:36.0,L. Aldridge makes 2-pt shot from 17 ft,2,84-89,,
5:28.0,,,84-89,,Atlanta full timeout
5:28.0,D. Murray enters the game for K. Anderson,,84-89,,
5:28.0,P. Mills enters the game for T. Parker,,84-89,,
5:28.0,P. Gasol enters the game for D. Bertans,,84-89,,
5:20.0,,,84-89,,D. Schroder misses 2-pt shot from 16 ft
5:16.0,Defensive rebound by L. Aldridge,,84-89,,
5:01.0,L. Aldridge misses 2-pt shot from 12 ft,,84-89,,
4:59.0,,,84-89,,Defensive rebound by D. Dedmon
4:54.0,,,84-89,,Turnover by D. Schroder (lost ball; steal by D. Murray)
4:52.0,Shooting foul by K. Bazemore (drawn by D. Murray),,84-89,,
4:52.0,D. Murray makes free throw 1 of 2,1,85-89,,
4:52.0,,,85-89,,M. Delaney enters the game for T. Dorsey
4:52.0,D. Murray makes free throw 2 of 2,1,86-89,,
4:42.0,,,86-89,,K. Bazemore misses 2-pt shot from 16 ft
4:40.0,,,86-89,,Offensive rebound by K. Bazemore
4:39.0,,,86-89,,K. Bazemore misses 2-pt shot from 1 ft
4:39.0,Defensive rebound by L. Aldridge,,86-89,,
4:39.0,,,86-89,,Personal foul by D. Schroder (drawn by L. Aldridge)
4:39.0,L. Aldridge makes free throw 1 of 2,1,87-89,,
4:39.0,D. Green enters the game for D. Murray,,87-89,,
4:39.0,L. Aldridge misses free throw 2 of 2,,87-89,,
4:36.0,,,87-89,,Defensive rebound by D. Dedmon
4:15.0,,,87-89,,K. Bazemore misses 3-pt shot from 25 ft
4:11.0,Defensive rebound by P. Mills,,87-89,,
3:56.0,B. Forbes misses 3-pt shot from 25 ft,,87-89,,
3:52.0,,,87-89,,Defensive rebound by M. Delaney
3:33.0,,,87-89,,E. Ilyasova misses 3-pt shot from 24 ft
3:30.0,Defensive rebound by P. Mills,,87-89,,
3:28.0,P. Gasol makes 2-pt shot from 1 ft (assist by P. Mills),2,89-89,,
3:28.0,,,89-89,,Violation by K. Bazemore (def goaltending)
3:28.0,,,89-89,,Atlanta full timeout
3:28.0,D. Murray enters the game for B. Forbes,,89-89,,
3:17.0,,,89-89,,Turnover by D. Schroder (bad pass; steal by L. Aldridge)
2:58.0,Turnover by P. Gasol (bad pass; steal by D. Dedmon),,89-89,,
