time,Minnesota,pts.away,score,pts.home,Indiana
3:37.0,,,19-4,,Turnover by D. Wilkins (out of bounds lost ball)
3:37.0,J. Crawford enters the game for J. Butler,,19-4,,
3:24.0,A. Wiggins misses 2-pt shot from 17 ft,,19-4,,
3:20.0,,,19-4,,Defensive rebound by A. Jefferson
3:19.0,Personal foul by T. Jones (drawn by D. Wilkins),,19-4,,
3:19.0,,,19-4,,J. Young enters the game for B. Bogdanovic
3:11.0,,,19-4,,D. Sabonis misses 3-pt shot from 28 ft
3:07.0,,,19-4,,Offensive rebound by D. Wilkins
3:04.0,,,19-4,,Turnover by C. Joseph (bad pass)
2:47.0,T. Gibson makes 2-pt shot from 1 ft (assist by T. Jones),2,21-4,,
2:27.0,,,21-4,,C. Joseph misses 2-pt shot from 2 ft
2:24.0,,,21-4,,Offensive rebound by J. Young
2:21.0,,,21-6,2,J. Young makes 2-pt shot from 1 ft
2:01.0,J. Crawford misses 3-pt shot from 25 ft,,21-6,,
1:59.0,Offensive rebound by T. Gibson,,21-6,,
1:55.0,A. Wiggins misses 3-pt shot from 28 ft,,21-6,,
1:52.0,,,21-6,,Defensive rebound by A. Jefferson
1:39.0,,,21-9,3,J. Young makes 3-pt shot from 23 ft (assist by C. Joseph)
1:22.0,,,21-9,,Personal foul by C. Joseph (drawn by J. Crawford)
1:22.0,A. Brooks enters the game for T. Jones,,21-9,,
1:18.0,A. Wiggins misses 2-pt shot from 14 ft,,21-9,,
1:14.0,,,21-9,,Defensive rebound by D. Wilkins
1:06.0,,,21-11,2,D. Wilkins makes 2-pt shot from 2 ft
0:45.0,G. Dieng makes 2-pt shot from 17 ft,2,23-11,,
0:36.0,,,23-13,2,C. Joseph makes 2-pt shot from 6 ft
0:24.0,T. Gibson misses 3-pt shot from 27 ft,,23-13,,
0:22.0,,,23-13,,Defensive rebound by D. Sabonis
0:06.0,Personal take foul by A. Wiggins (drawn by C. Joseph),,23-13,,
0:06.0,N. Bjelica enters the game for T. Gibson,,23-13,,
0:01.0,,,23-13,,C. Joseph misses 2-pt shot from 16 ft
0:01.0,,,23-13,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Shooting foul by A. Jefferson (drawn by G. Dieng),,23-13,,
11:48.0,G. Dieng makes free throw 1 of 2,1,24-13,,
11:48.0,G. Dieng makes free throw 2 of 2,1,25-13,,
11:29.0,,,25-16,3,D. Wilkins makes 3-pt shot from 23 ft (assist by J. Young)
11:12.0,G. Dieng misses 2-pt shot from 10 ft,,25-16,,
11:10.0,,,25-16,,Defensive rebound by A. Jefferson
10:56.0,,,25-18,2,A. Jefferson makes 2-pt shot at rim (assist by D. Sabonis)
10:37.0,N. Bjelica misses 3-pt shot from 23 ft,,25-18,,
10:35.0,,,25-18,,Defensive rebound by J. Young
10:16.0,,,25-18,,Offensive charge foul by D. Sabonis (drawn by A. Brooks)
10:16.0,,,25-18,,Turnover by D. Sabonis (offensive foul)
10:01.0,Shooting foul by D. Sabonis (drawn by K. Towns),,25-18,,
10:01.0,K. Towns makes free throw 1 of 2,1,26-18,,
10:01.0,K. Towns misses free throw 2 of 2,,26-18,,
10:00.0,,,26-18,,Defensive rebound by J. Young
9:38.0,,,26-18,,J. Young misses 2-pt shot from 15 ft
9:36.0,Defensive rebound by K. Towns,,26-18,,
9:26.0,J. Crawford makes 2-pt shot from 15 ft,2,28-18,,
9:03.0,,,28-18,,C. Joseph misses 2-pt shot from 14 ft
9:02.0,,,28-18,,Offensive rebound by Team
9:02.0,Loose ball foul by K. Towns (drawn by D. Sabonis),,28-18,,
9:02.0,,,28-18,,B. Bogdanovic enters the game for D. Wilkins
9:02.0,J. Butler enters the game for G. Dieng,,28-18,,
8:58.0,,,28-18,,Turnover by C. Joseph (traveling)
8:48.0,Turnover by A. Brooks (bad pass; steal by C. Joseph),,28-18,,
8:44.0,,,28-20,2,C. Joseph makes 2-pt shot from 2 ft
8:32.0,N. Bjelica misses 2-pt shot from 5 ft,,28-20,,
8:30.0,,,28-20,,Defensive rebound by D. Sabonis
8:17.0,,,28-20,,D. Sabonis misses 2-pt shot from 1 ft
8:17.0,,,28-20,,Offensive rebound by A. Jefferson
8:17.0,,,28-20,,Shooting foul by N. Bjelica (drawn by A. Jefferson)
8:17.0,,,28-20,,A. Jefferson misses free throw 1 of 2
8:17.0,,,28-20,,Offensive rebound by Team
8:17.0,,,28-21,1,A. Jefferson makes free throw 2 of 2
7:59.0,A. Brooks misses 3-pt shot from 28 ft,,28-21,,
7:56.0,,,28-21,,Defensive rebound by D. Sabonis
7:39.0,,,28-21,,Turnover by A. Jefferson (bad pass; steal by N. Bjelica)
7:39.0,,,28-21,,Personal take foul by B. Bogdanovic (drawn by J. Crawford)
7:39.0,,,28-21,,M. Turner enters the game for A. Jefferson
7:15.0,N. Bjelica misses 2-pt shot from 18 ft,,28-21,,
7:15.0,Offensive rebound by Team,,28-21,,
7:15.0,Turnover by Team (shot clock),,28-21,,
7:01.0,,,28-23,2,J. Young makes 2-pt shot from 12 ft
6:43.0,Shooting foul by B. Bogdanovic (drawn by A. Brooks),,28-23,,
6:43.0,,,28-23,,Indiana full timeout
6:43.0,T. Gibson enters the game for N. Bjelica,,28-23,,
6:43.0,A. Wiggins enters the game for J. Crawford,,28-23,,
6:43.0,A. Brooks makes free throw 1 of 2,1,29-23,,
6:43.0,A. Brooks makes free throw 2 of 2,1,30-23,,
6:25.0,,,30-25,2,C. Joseph makes 2-pt shot from 15 ft (assist by D. Sabonis)
5:58.0,J. Butler makes 2-pt shot from 12 ft,2,32-25,,
5:58.0,Shooting foul by B. Bogdanovic (drawn by J. Butler),,32-25,,
5:58.0,,,32-25,,L. Stephenson enters the game for B. Bogdanovic
5:58.0,T. Jones enters the game for A. Brooks,,32-25,,
5:58.0,J. Butler makes free throw 1 of 1,1,33-25,,
5:43.0,,,33-25,,Turnover by M. Turner (lost ball; steal by A. Wiggins)
5:39.0,A. Wiggins misses 2-pt shot from 1 ft,,33-25,,
5:35.0,Offensive rebound by T. Gibson,,33-25,,
5:35.0,A. Wiggins makes 2-pt shot from 1 ft,2,35-25,,
5:28.0,,,35-25,,Indiana full timeout
5:28.0,,,35-25,,D. Collison enters the game for J. Young
5:28.0,,,35-25,,T. Young enters the game for D. Sabonis
5:20.0,,,35-25,,Offensive foul by M. Turner (drawn by T. Jones)
5:20.0,,,35-25,,Turnover by M. Turner (offensive foul)
4:59.0,T. Gibson makes 2-pt shot at rim (assist by J. Butler),2,37-25,,
4:47.0,,,37-27,2,D. Collison makes 2-pt shot from 18 ft (assist by L. Stephenson)
4:32.0,,,37-27,,Personal foul by C. Joseph (drawn by J. Butler)
4:32.0,J. Butler misses free throw 1 of 2,,37-27,,
4:32.0,Offensive rebound by Team,,37-27,,
4:32.0,,,37-27,,D. Wilkins enters the game for C. Joseph
4:32.0,J. Butler makes free throw 2 of 2,1,38-27,,
4:21.0,,,38-29,2,L. Stephenson makes 2-pt shot at rim (assist by D. Wilkins)
3:54.0,K. Towns misses 2-pt shot from 16 ft,,38-29,,
3:50.0,,,38-29,,Defensive rebound by D. Wilkins
3:44.0,,,38-32,3,D. Collison makes 3-pt shot from 25 ft (assist by L. Stephenson)
3:16.0,T. Gibson makes 2-pt shot from 7 ft (assist by J. Butler),2,40-32,,
3:03.0,Def 3 sec tech foul by T. Gibson,,40-32,,
3:03.0,,,40-33,1,M. Turner makes technical free throw
2:56.0,,,40-33,,D. Collison misses 2-pt shot from 15 ft
2:51.0,Defensive rebound by K. Towns,,40-33,,
2:46.0,A. Wiggins misses 3-pt shot from 24 ft,,40-33,,
2:44.0,Offensive rebound by Team,,40-33,,
2:36.0,A. Wiggins misses 2-pt shot from 7 ft,,40-33,,
2:32.0,Offensive rebound by K. Towns,,40-33,,
2:25.0,Shooting foul by M. Turner (drawn by K. Towns),,40-33,,
2:25.0,K. Towns makes free throw 1 of 2,1,41-33,,
2:25.0,K. Towns makes free throw 2 of 2,1,42-33,,
2:18.0,,,42-35,2,T. Young makes 2-pt shot from 10 ft (assist by D. Collison)
1:55.0,K. Towns misses 2-pt shot from 7 ft,,42-35,,
1:51.0,,,42-35,,Defensive rebound by M. Turner
1:45.0,,,42-35,,M. Turner misses 2-pt shot from 2 ft (block by T. Gibson)
1:44.0,Defensive rebound by J. Butler,,42-35,,
1:41.0,Shooting foul by L. Stephenson (drawn by J. Butler),,42-35,,
1:41.0,,,42-35,,Technical foul by M. Turner
1:41.0,J. Butler makes technical free throw,1,43-35,,
1:41.0,J. Butler makes free throw 1 of 2,1,44-35,,
1:41.0,J. Butler makes free throw 2 of 2,1,45-35,,
1:22.0,,,45-35,,L. Stephenson misses 2-pt shot at rim (block by K. Towns)
1:22.0,,,45-35,,Offensive rebound by Team
1:20.0,,,45-35,,D. Wilkins misses 3-pt shot from 23 ft
1:19.0,,,45-35,,Offensive rebound by T. Young
1:19.0,,,45-35,,T. Young misses 2-pt shot at rim
1:18.0,,,45-35,,Offensive rebound by T. Young
1:17.0,,,45-35,,T. Young misses 2-pt shot from 2 ft (block by T. Gibson)
1:16.0,Defensive rebound by K. Towns,,45-35,,
1:11.0,A. Wiggins makes 2-pt shot from 1 ft (assist by K. Towns),2,47-35,,
0:53.0,Violation by K. Towns (kicked ball),,47-35,,
0:48.0,,,47-38,3,L. Stephenson makes 3-pt shot from 25 ft (assist by T. Young)
0:37.0,,,47-38,,Violation by L. Stephenson (kicked ball)
0:37.0,,,47-38,,A. Poythress enters the game for M. Turner
0:27.0,J. Butler misses 2-pt shot from 13 ft,,47-38,,
0:24.0,Offensive rebound by T. Gibson,,47-38,,
0:23.0,T. Gibson makes 2-pt shot from 5 ft,2,49-38,,
0:08.0,Personal take foul by T. Jones (drawn by D. Collison),,49-38,,
0:08.0,M. Georges-Hunt enters the game for T. Jones,,49-38,,
0:00.0,,,49-38,,L. Stephenson misses 3-pt shot from 23 ft
0:00.0,,,49-38,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,Offensive foul by T. Jones (drawn by M. Turner),,49-38,,
11:49.0,Turnover by T. Jones (offensive foul),,49-38,,
11:36.0,,,49-38,,M. Turner misses 2-pt shot from 8 ft (block by K. Towns)
11:33.0,Defensive rebound by A. Wiggins,,49-38,,
11:24.0,K. Towns makes 3-pt shot from 29 ft (assist by A. Wiggins),3,52-38,,
11:08.0,,,52-38,,T. Young misses 2-pt shot from 15 ft
11:05.0,Defensive rebound by K. Towns,,52-38,,
11:00.0,A. Wiggins makes 3-pt shot from 26 ft,3,55-38,,
10:41.0,,,55-38,,Turnover by T. Young (bad pass; steal by K. Towns)
10:34.0,Shooting foul by M. Turner (drawn by J. Butler),,55-38,,
10:34.0,J. Butler makes free throw 1 of 2,1,56-38,,
10:34.0,J. Butler makes free throw 2 of 2,1,57-38,,
10:18.0,,,57-38,,L. Stephenson misses 3-pt shot from 26 ft
10:16.0,,,57-38,,Offensive rebound by B. Bogdanovic
10:15.0,,,57-40,2,B. Bogdanovic makes 2-pt shot from 11 ft
9:54.0,J. Butler misses 2-pt shot from 1 ft (block by M. Turner),,57-40,,
9:52.0,,,57-40,,Defensive rebound by T. Young
9:50.0,,,57-43,3,B. Bogdanovic makes 3-pt shot from 26 ft (assist by T. Young)
9:35.0,,,57-43,,Shooting block foul by L. Stephenson (drawn by A. Wiggins)
9:35.0,A. Wiggins misses free throw 1 of 2,,57-43,,
9:35.0,Offensive rebound by Team,,57-43,,
9:35.0,A. Wiggins makes free throw 2 of 2,1,58-43,,
9:24.0,,,58-46,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by M. Turner)
9:11.0,K. Towns misses 3-pt shot from 26 ft,,58-46,,
9:08.0,,,58-46,,Defensive rebound by L. Stephenson
8:53.0,Personal foul by A. Wiggins (drawn by M. Turner),,58-46,,
8:43.0,Shooting block foul by K. Towns (drawn by B. Bogdanovic),,58-46,,
8:43.0,,,58-47,1,B. Bogdanovic makes free throw 1 of 2
8:43.0,,,58-48,1,B. Bogdanovic makes free throw 2 of 2
8:27.0,J. Butler makes 2-pt shot from 1 ft (assist by T. Jones),2,60-48,,
8:15.0,,,60-48,,B. Bogdanovic misses 3-pt shot from 27 ft
8:13.0,Defensive rebound by Team,,60-48,,
7:56.0,K. Towns makes 2-pt shot from 1 ft (assist by J. Butler),2,62-48,,
7:39.0,,,62-51,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by D. Collison)
7:25.0,Shooting foul by M. Turner (drawn by A. Wiggins),,62-51,,
7:25.0,A. Wiggins makes free throw 1 of 2,1,63-51,,
7:25.0,,,63-51,,D. Sabonis enters the game for M. Turner
7:25.0,A. Wiggins misses free throw 2 of 2,,63-51,,
7:23.0,,,63-51,,Defensive rebound by D. Sabonis
7:08.0,,,63-51,,D. Collison misses 2-pt shot from 21 ft
7:04.0,Defensive rebound by J. Butler,,63-51,,
6:44.0,T. Jones makes 2-pt shot from 10 ft,2,65-51,,
6:24.0,,,65-53,2,T. Young makes 2-pt shot from 1 ft (assist by L. Stephenson)
5:59.0,J. Butler makes 2-pt shot from 7 ft,2,67-53,,
5:48.0,,,67-53,,D. Collison misses 3-pt shot from 24 ft
5:44.0,Defensive rebound by J. Butler,,67-53,,
5:31.0,T. Jones misses 3-pt shot from 25 ft,,67-53,,
5:27.0,Offensive rebound by T. Gibson,,67-53,,
5:15.0,A. Wiggins makes 3-pt shot from 26 ft (assist by T. Jones),3,70-53,,
5:14.0,,,70-53,,Indiana full timeout
5:14.0,Minnesota full timeout,,70-53,,
5:01.0,,,70-53,,L. Stephenson misses 2-pt shot from 20 ft
4:59.0,Defensive rebound by Team,,70-53,,
4:40.0,T. Gibson makes 3-pt shot from 24 ft (assist by T. Jones),3,73-53,,
4:27.0,,,73-55,2,T. Young makes 2-pt shot at rim (assist by B. Bogdanovic)
4:10.0,T. Gibson makes 2-pt shot from 1 ft (assist by K. Towns),2,75-55,,
3:56.0,,,75-55,,T. Young misses 3-pt shot from 22 ft
3:53.0,Defensive rebound by T. Jones,,75-55,,
3:50.0,T. Jones misses 2-pt shot from 6 ft,,75-55,,
3:46.0,Offensive rebound by J. Butler,,75-55,,
3:46.0,J. Butler makes 2-pt shot at rim,2,77-55,,
3:33.0,,,77-55,,Turnover by D. Sabonis (bad pass; steal by J. Butler)
3:30.0,T. Jones makes 2-pt shot at rim (assist by J. Butler),2,79-55,,
3:07.0,,,79-55,,Turnover by L. Stephenson (bad pass; steal by T. Jones)
3:03.0,J. Butler makes 2-pt shot from 2 ft (assist by T. Jones),2,81-55,,
2:42.0,,,81-57,2,T. Young makes 2-pt shot from 6 ft
2:26.0,,,81-57,,Technical foul by L. Stephenson (drawn by K. Towns)
2:26.0,K. Towns makes flagrant free throw 2 of 2,1,82-57,,
2:26.0,K. Towns makes flagrant free throw 1 of 2,1,83-57,,
2:26.0,,,83-57,,J. Young enters the game for L. Stephenson
2:26.0,,,83-57,,C. Joseph enters the game for D. Collison
2:26.0,,,83-57,,D. Wilkins enters the game for T. Young
2:26.0,,,83-57,,A. Jefferson enters the game for B. Bogdanovic
2:26.0,G. Dieng enters the game for J. Butler,,83-57,,
2:26.0,J. Crawford enters the game for K. Towns,,83-57,,
2:17.0,G. Dieng misses 2-pt shot from 18 ft,,83-57,,
2:13.0,,,83-57,,Defensive rebound by C. Joseph
1:56.0,,,83-57,,D. Wilkins misses 2-pt shot from 1 ft
1:54.0,Defensive rebound by G. Dieng,,83-57,,
1:47.0,A. Wiggins misses 2-pt shot from 14 ft,,83-57,,
1:44.0,,,83-57,,Defensive rebound by C. Joseph
1:34.0,Personal block foul by G. Dieng (drawn by D. Sabonis),,83-57,,
1:34.0,A. Brooks enters the game for T. Jones,,83-57,,
1:27.0,,,83-57,,D. Sabonis misses 2-pt shot from 19 ft
1:24.0,Defensive rebound by T. Gibson,,83-57,,
1:11.0,A. Brooks misses 3-pt shot from 26 ft,,83-57,,
1:09.0,,,83-57,,Defensive rebound by D. Sabonis
1:00.0,Personal foul by J. Crawford (drawn by C. Joseph),,83-57,,
1:00.0,,,83-58,1,C. Joseph makes free throw 1 of 2
1:00.0,,,83-58,,C. Joseph misses free throw 2 of 2
0:58.0,Defensive rebound by G. Dieng,,83-58,,
0:45.0,J. Crawford makes 2-pt shot from 19 ft,2,85-58,,
0:29.0,,,85-58,,J. Young misses 2-pt shot from 18 ft
0:26.0,,,85-58,,Offensive rebound by D. Sabonis
0:26.0,,,85-58,,D. Sabonis misses 2-pt shot from 1 ft
0:26.0,Defensive rebound by T. Gibson,,85-58,,
0:05.0,J. Crawford makes 2-pt shot from 17 ft,2,87-58,,
0:00.0,,,87-58,,C. Joseph misses 2-pt shot from 18 ft
0:00.0,,,87-58,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,87-58,,Shooting foul by A. Brooks (drawn by J. Young)
11:40.0,,,87-59,1,J. Young makes free throw 1 of 2
11:40.0,,,87-60,1,J. Young makes free throw 2 of 2
11:24.0,J. Crawford misses 2-pt shot from 18 ft,,87-60,,
11:21.0,,,87-60,,Defensive rebound by J. Young
11:14.0,,,87-60,,Turnover by J. Young (bad pass; steal by A. Brooks)
11:08.0,N. Bjelica misses 3-pt shot from 29 ft,,87-60,,
11:07.0,,,87-60,,Defensive rebound by D. Sabonis
10:58.0,,,87-62,2,A. Jefferson makes 2-pt shot from 17 ft (assist by C. Joseph)
10:42.0,N. Bjelica makes 2-pt shot at rim (assist by K. Towns),2,89-62,,
10:31.0,,,89-62,,D. Wilkins misses 2-pt shot from 15 ft
10:29.0,Defensive rebound by K. Towns,,89-62,,
10:13.0,Turnover by G. Dieng (traveling),,89-62,,
10:00.0,Personal foul by A. Brooks (drawn by D. Sabonis),,89-62,,
9:47.0,,,89-64,2,A. Jefferson makes 2-pt shot at rim (assist by D. Wilkins)
9:47.0,,,89-64,,Shooting foul by K. Towns (drawn by A. Jefferson)
9:47.0,,,89-65,1,A. Jefferson makes free throw 1 of 1
9:32.0,G. Dieng misses 2-pt shot from 1 ft (block by D. Sabonis),,89-65,,
9:30.0,Offensive rebound by G. Dieng,,89-65,,
9:23.0,J. Crawford misses 3-pt shot from 31 ft,,89-65,,
9:20.0,,,89-65,,Defensive rebound by J. Young
9:15.0,,,89-65,,D. Wilkins misses 3-pt shot from 26 ft
9:12.0,Defensive rebound by K. Towns,,89-65,,
8:54.0,K. Towns makes 2-pt shot from 1 ft,2,91-65,,
8:45.0,Personal foul by J. Crawford (drawn by J. Young),,91-65,,
8:33.0,,,91-65,,J. Young misses 2-pt shot at rim
8:29.0,,,91-65,,Offensive rebound by A. Jefferson
8:29.0,,,91-65,,A. Jefferson misses 2-pt shot at rim
8:29.0,,,91-65,,Offensive rebound by C. Joseph
8:19.0,,,91-65,,C. Joseph misses 3-pt shot from 24 ft
8:18.0,,,91-65,,Offensive rebound by Team
8:18.0,Loose ball foul by K. Towns (drawn by D. Sabonis),,91-65,,
8:18.0,,,91-66,1,D. Sabonis makes free throw 1 of 2
8:18.0,,,91-67,1,D. Sabonis makes free throw 2 of 2
8:03.0,K. Towns makes 2-pt shot from 7 ft (assist by J. Crawford),2,93-67,,
7:31.0,,,93-70,3,C. Joseph makes 3-pt shot from 22 ft (assist by J. Young)
7:12.0,N. Bjelica misses 2-pt shot from 1 ft (block by A. Jefferson),,93-70,,
7:12.0,Offensive rebound by Team,,93-70,,
7:07.0,K. Towns makes 2-pt shot from 9 ft (assist by A. Brooks),2,95-70,,
6:46.0,,,95-70,,Turnover by J. Young (lost ball; steal by N. Bjelica)
6:41.0,J. Crawford makes 2-pt shot from 12 ft,2,97-70,,
6:27.0,,,97-72,2,D. Sabonis makes 2-pt shot from 1 ft (assist by C. Joseph)
6:27.0,,,97-72,,Shooting foul by G. Dieng (drawn by D. Sabonis)
6:27.0,,,97-72,,Indiana full timeout
6:27.0,,,97-72,,M. Turner enters the game for A. Jefferson
6:27.0,,,97-72,,D. Sabonis misses free throw 1 of 1
6:24.0,Defensive rebound by K. Towns,,97-72,,
6:10.0,A. Brooks misses 3-pt shot from 28 ft,,97-72,,
6:05.0,,,97-72,,Defensive rebound by D. Sabonis
5:59.0,,,97-72,,C. Joseph misses 2-pt shot from 14 ft
5:57.0,Defensive rebound by K. Towns,,97-72,,
5:46.0,,,97-72,,Personal foul by D. Wilkins (drawn by N. Bjelica)
5:36.0,N. Bjelica misses 2-pt shot from 7 ft,,97-72,,
5:33.0,Offensive rebound by N. Bjelica,,97-72,,
5:33.0,N. Bjelica misses 2-pt shot at rim,,97-72,,
5:32.0,Offensive rebound by N. Bjelica,,97-72,,
5:32.0,N. Bjelica misses 2-pt shot at rim,,97-72,,
5:32.0,,,97-72,,Defensive rebound by M. Turner
5:20.0,,,97-75,3,J. Young makes 3-pt shot from 23 ft (assist by C. Joseph)
4:50.0,J. Crawford misses 3-pt shot from 31 ft,,97-75,,
4:47.0,,,97-75,,Defensive rebound by Team
4:27.0,,,97-75,,D. Wilkins misses 2-pt shot from 1 ft
4:24.0,Defensive rebound by G. Dieng,,97-75,,
4:06.0,G. Dieng makes 2-pt shot from 10 ft,2,99-75,,
3:56.0,,,99-75,,D. Sabonis misses 3-pt shot from 25 ft
3:53.0,Defensive rebound by K. Towns,,99-75,,
3:47.0,Minnesota full timeout,,99-75,,
3:47.0,,,99-75,,I. Anigbogu enters the game for D. Sabonis
3:47.0,,,99-75,,T. Leaf enters the game for M. Turner
3:47.0,M. Georges-Hunt enters the game for J. Crawford,,99-75,,
3:47.0,S. Muhammad enters the game for K. Towns,,99-75,,
3:42.0,S. Muhammad misses 2-pt shot from 7 ft,,99-75,,
3:41.0,Offensive rebound by G. Dieng,,99-75,,
3:41.0,G. Dieng makes 2-pt shot at rim,2,101-75,,
3:23.0,,,101-75,,J. Young misses 3-pt shot from 25 ft
3:23.0,Defensive rebound by G. Dieng,,101-75,,
3:18.0,S. Muhammad misses 2-pt shot at rim,,101-75,,
3:18.0,,,101-75,,Defensive rebound by C. Joseph
3:09.0,,,101-75,,T. Leaf misses 2-pt shot from 8 ft
3:08.0,,,101-75,,Offensive rebound by I. Anigbogu
3:08.0,,,101-75,,Shooting foul by M. Georges-Hunt (drawn by I. Anigbogu)
3:08.0,,,101-76,1,I. Anigbogu makes free throw 1 of 2
3:08.0,,,101-76,,A. Poythress enters the game for C. Joseph
3:08.0,C. Aldrich enters the game for G. Dieng,,101-76,,
3:08.0,,,101-77,1,I. Anigbogu makes free throw 2 of 2
2:54.0,S. Muhammad misses 2-pt shot at rim (block by I. Anigbogu),,101-77,,
2:54.0,Offensive rebound by C. Aldrich,,101-77,,
