time,Phoenix,pts.away,score,pts.home,New York
2:19.0,,,17-26,,Defensive rebound by E. Kanter
2:13.0,,,17-26,,Turnover by K. Porzingis (lost ball; steal by D. Booker)
2:08.0,T. Warren misses 2-pt shot from 7 ft,,17-26,,
2:06.0,,,17-26,,Defensive rebound by T. Hardaway
2:02.0,,,17-28,2,E. Kanter makes 2-pt shot from 1 ft (assist by T. Hardaway)
1:54.0,Phoenix full timeout,,17-28,,
1:54.0,,,17-28,,K. O'Quinn enters the game for E. Kanter
1:54.0,J. Jackson enters the game for T. Warren,,17-28,,
1:32.0,T. Ulis misses 2-pt shot from 17 ft,,17-28,,
1:30.0,,,17-28,,Defensive rebound by L. Thomas
1:19.0,,,17-30,2,T. Hardaway makes 2-pt shot at rim (assist by K. O'Quinn)
1:07.0,Turnover by T. Ulis (bad pass),,17-30,,
1:07.0,T. Daniels enters the game for D. Booker,,17-30,,
0:52.0,,,17-30,,T. Hardaway misses 3-pt shot from 23 ft
0:49.0,Defensive rebound by T. Ulis,,17-30,,
0:45.0,Shooting foul by T. Hardaway (drawn by A. Len),,17-30,,
0:45.0,A. Len makes free throw 1 of 2,1,18-30,,
0:45.0,,,18-30,,C. Lee enters the game for T. Hardaway
0:45.0,A. Len makes free throw 2 of 2,1,19-30,,
0:31.0,Violation by A. Len (kicked ball),,19-30,,
0:25.0,,,19-30,,K. Porzingis misses 2-pt shot from 11 ft
0:24.0,,,19-30,,Offensive rebound by Team
0:24.0,Loose ball foul by J. Jackson (drawn by L. Thomas),,19-30,,
0:07.0,,,19-32,2,K. O'Quinn makes 2-pt shot from 1 ft (assist by C. Lee)
0:00.0,T. Ulis misses 2-pt shot from 3 ft,,19-32,,
0:00.0,Offensive rebound by Team,,19-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,19-35,3,C. Lee makes 3-pt shot from 25 ft
11:26.0,Offensive foul by T. Daniels (drawn by L. Thomas),,19-35,,
11:26.0,Turnover by T. Daniels (offensive foul),,19-35,,
11:04.0,,,19-37,2,M. Beasley makes 2-pt shot from 1 ft
10:52.0,D. Bender misses 3-pt shot from 25 ft,,19-37,,
10:49.0,,,19-37,,Defensive rebound by C. Lee
10:38.0,,,19-40,3,L. Thomas makes 3-pt shot from 25 ft (assist by F. Ntilikina)
10:21.0,T. Ulis misses 2-pt shot from 15 ft,,19-40,,
10:19.0,Offensive rebound by A. Len,,19-40,,
10:18.0,A. Len misses 2-pt shot from 1 ft,,19-40,,
10:14.0,Offensive rebound by J. Jackson,,19-40,,
10:14.0,J. Jackson makes 2-pt shot at rim,2,21-40,,
9:59.0,,,21-40,,F. Ntilikina misses 2-pt shot from 6 ft
9:57.0,Defensive rebound by J. Jackson,,21-40,,
9:44.0,A. Len makes 2-pt shot at rim (assist by J. Jackson),2,23-40,,
9:44.0,,,23-40,,New York full timeout
9:44.0,T. Chandler enters the game for A. Len,,23-40,,
9:44.0,M. Chriss enters the game for D. Bender,,23-40,,
9:27.0,,,23-42,2,K. O'Quinn makes 2-pt shot from 4 ft (assist by F. Ntilikina)
9:15.0,T. Daniels makes 3-pt shot from 28 ft (assist by T. Ulis),3,26-42,,
8:51.0,,,26-42,,C. Lee misses 2-pt shot from 14 ft
8:48.0,Defensive rebound by M. Chriss,,26-42,,
8:43.0,T. Daniels makes 3-pt shot from 27 ft (assist by T. Ulis),3,29-42,,
8:13.0,,,29-42,,K. O'Quinn misses 2-pt shot from 7 ft
8:10.0,Defensive rebound by T. Chandler,,29-42,,
7:47.0,M. Chriss misses 2-pt shot from 9 ft,,29-42,,
7:45.0,,,29-42,,Defensive rebound by L. Thomas
7:27.0,,,29-42,,L. Thomas misses 3-pt shot from 25 ft
7:27.0,Defensive rebound by T. Daniels,,29-42,,
7:27.0,,,29-42,,Loose ball foul by M. Beasley (drawn by T. Daniels)
7:27.0,,,29-42,,J. Jack enters the game for K. O'Quinn
7:27.0,,,29-42,,E. Kanter enters the game for F. Ntilikina
7:27.0,,,29-42,,D. McDermott enters the game for L. Thomas
7:15.0,J. Jackson makes 2-pt shot from 19 ft,2,31-42,,
6:53.0,,,31-42,,C. Lee misses 3-pt shot from 25 ft
6:50.0,Defensive rebound by T. Chandler,,31-42,,
6:36.0,,,31-42,,Personal foul by C. Lee (drawn by J. Jackson)
6:36.0,,,31-42,,K. Porzingis enters the game for M. Beasley
6:31.0,Shooting foul by D. McDermott (drawn by T. Chandler),,31-42,,
6:31.0,T. Chandler misses free throw 1 of 2,,31-42,,
6:31.0,Offensive rebound by Team,,31-42,,
6:31.0,T. Chandler makes free throw 2 of 2,1,32-42,,
6:20.0,Personal foul by M. Chriss (drawn by K. Porzingis),,32-42,,
6:20.0,D. Bender enters the game for M. Chriss,,32-42,,
6:10.0,,,32-44,2,K. Porzingis makes 2-pt shot from 11 ft (assist by J. Jack)
5:49.0,T. Ulis misses 2-pt shot from 18 ft,,32-44,,
5:46.0,Offensive rebound by T. Ulis,,32-44,,
5:44.0,T. Ulis misses 2-pt shot from 1 ft,,32-44,,
5:42.0,Offensive rebound by T. Ulis,,32-44,,
5:40.0,T. Chandler misses 2-pt shot from 1 ft,,32-44,,
5:40.0,,,32-44,,Defensive rebound by J. Jack
5:36.0,,,32-46,2,K. Porzingis makes 2-pt shot from 1 ft (assist by J. Jack)
5:17.0,T. Daniels misses 3-pt shot from 23 ft,,32-46,,
5:14.0,,,32-46,,Defensive rebound by K. Porzingis
5:09.0,,,32-48,2,E. Kanter makes 2-pt shot from 1 ft (assist by J. Jack)
5:04.0,,,32-50,2,C. Lee makes 2-pt shot at rim
4:54.0,Turnover by D. Bender (lost ball; steal by C. Lee),,32-50,,
4:47.0,T. Daniels misses 3-pt shot from 26 ft,,32-50,,
4:47.0,,,32-50,,Defensive rebound by E. Kanter
4:47.0,Personal foul by T. Ulis (drawn by J. Jack),,32-50,,
4:47.0,M. James enters the game for T. Ulis,,32-50,,
4:47.0,D. Booker enters the game for T. Daniels,,32-50,,
4:47.0,A. Len enters the game for T. Chandler,,32-50,,
4:36.0,,,32-50,,Shooting foul by D. Booker (drawn by K. Porzingis)
4:36.0,,,32-50,,K. Porzingis misses free throw 1 of 2
4:36.0,,,32-50,,Offensive rebound by Team
4:36.0,,,32-50,,T. Hardaway enters the game for C. Lee
4:36.0,,,32-51,1,K. Porzingis makes free throw 2 of 2
4:30.0,J. Jackson misses 2-pt shot from 7 ft,,32-51,,
4:26.0,,,32-51,,Defensive rebound by J. Jack
4:24.0,,,32-51,,D. McDermott misses 3-pt shot from 26 ft
4:23.0,,,32-51,,Offensive rebound by Team
4:23.0,Loose ball foul by A. Len (drawn by K. Porzingis),,32-51,,
4:18.0,,,32-51,,Shooting foul by A. Len (drawn by K. Porzingis)
4:18.0,,,32-51,,K. Porzingis misses free throw 1 of 2
4:18.0,,,32-51,,Offensive rebound by Team
4:18.0,,,32-52,1,K. Porzingis makes free throw 2 of 2
4:07.0,D. Booker makes 2-pt shot from 20 ft (assist by D. Bender),2,34-52,,
3:50.0,,,34-54,2,D. McDermott makes 2-pt shot at rim (assist by T. Hardaway)
3:50.0,Phoenix full timeout,,34-54,,
3:28.0,J. Jackson makes 2-pt shot at rim,2,36-54,,
3:18.0,Personal foul by J. Jackson (drawn by K. Porzingis),,36-54,,
3:18.0,,,36-55,1,K. Porzingis makes free throw 1 of 2
3:18.0,,,36-56,1,K. Porzingis makes free throw 2 of 2
3:14.0,D. Booker makes 2-pt shot from 2 ft,2,38-56,,
3:14.0,Shooting foul by D. McDermott (drawn by D. Booker),,38-56,,
3:14.0,D. Booker makes free throw 1 of 1,1,39-56,,
2:54.0,,,39-58,2,E. Kanter makes 2-pt shot at rim (assist by J. Jack)
2:35.0,D. Booker misses 3-pt shot from 26 ft,,39-58,,
2:33.0,Offensive rebound by A. Len,,39-58,,
2:33.0,Shooting foul by E. Kanter (drawn by A. Len),,39-58,,
2:33.0,A. Len makes free throw 1 of 2,1,40-58,,
2:33.0,A. Len makes free throw 2 of 2,1,41-58,,
2:17.0,,,41-58,,K. Porzingis misses 2-pt shot from 2 ft
2:15.0,Defensive rebound by D. Bender,,41-58,,
2:11.0,M. James misses 3-pt shot from 29 ft,,41-58,,
2:05.0,,,41-58,,Defensive rebound by E. Kanter
2:03.0,,,41-58,,D. McDermott misses 3-pt shot from 25 ft
2:03.0,Defensive rebound by Team,,41-58,,
2:03.0,,,41-58,,Loose ball foul by E. Kanter (drawn by D. Booker)
2:03.0,D. Booker makes free throw 1 of 2,1,42-58,,
2:03.0,D. Jones enters the game for J. Jackson,,42-58,,
2:03.0,D. Booker makes free throw 2 of 2,1,43-58,,
1:50.0,,,43-58,,J. Jack misses 2-pt shot from 11 ft
1:48.0,Defensive rebound by D. Bender,,43-58,,
1:44.0,Shooting foul by E. Kanter (drawn by D. Booker),,43-58,,
1:44.0,D. Booker makes free throw 1 of 2,1,44-58,,
1:44.0,,,44-58,,K. O'Quinn enters the game for E. Kanter
1:44.0,D. Booker makes free throw 2 of 2,1,45-58,,
1:31.0,,,45-58,,K. Porzingis misses 2-pt shot from 9 ft
1:29.0,Defensive rebound by Team,,45-58,,
1:22.0,M. James misses 2-pt shot from 1 ft (block by K. O'Quinn),,45-58,,
1:19.0,,,45-58,,Defensive rebound by J. Jack
1:07.0,,,45-61,3,D. McDermott makes 3-pt shot from 23 ft (assist by T. Hardaway)
0:49.0,D. Booker misses 3-pt shot from 26 ft,,45-61,,
0:46.0,Offensive rebound by D. Jones,,45-61,,
0:38.0,D. Bender makes 3-pt shot from 25 ft (assist by M. James),3,48-61,,
0:35.0,Personal foul by D. Bender (drawn by T. Hardaway),,48-61,,
0:35.0,,,48-62,1,T. Hardaway makes free throw 1 of 2
0:35.0,,,48-63,1,T. Hardaway makes free throw 2 of 2
0:30.0,D. Booker makes 2-pt shot from 1 ft,2,50-63,,
0:17.0,Personal foul by D. Booker (drawn by T. Hardaway),,50-63,,
0:17.0,,,50-64,1,T. Hardaway makes free throw 1 of 2
0:17.0,,,50-65,1,T. Hardaway makes free throw 2 of 2
0:02.0,Turnover by D. Jones (bad pass; steal by K. Porzingis),,50-65,,
0:00.0,,,50-65,,K. Porzingis misses 3-pt shot from 63 ft
0:00.0,,,50-65,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,50-65,,Turnover by J. Jack (lost ball; steal by D. Booker)
11:40.0,D. Booker makes 2-pt shot from 1 ft,2,52-65,,
11:23.0,,,52-65,,Shooting foul by J. Jackson (drawn by T. Hardaway)
11:23.0,,,52-66,1,T. Hardaway makes free throw 1 of 2
11:23.0,,,52-67,1,T. Hardaway makes free throw 2 of 2
11:07.0,M. Chriss makes 3-pt shot from 22 ft (assist by D. Booker),3,55-67,,
10:55.0,,,55-67,,E. Kanter misses 2-pt shot from 15 ft
10:52.0,Defensive rebound by M. Chriss,,55-67,,
10:43.0,D. Booker misses 3-pt shot from 25 ft,,55-67,,
10:40.0,,,55-67,,Defensive rebound by C. Lee
10:38.0,,,55-67,,Turnover by C. Lee (bad pass; steal by M. James)
10:34.0,J. Jackson misses 2-pt shot from 2 ft,,55-67,,
10:29.0,Offensive rebound by T. Chandler,,55-67,,
10:29.0,T. Chandler misses 2-pt shot at rim,,55-67,,
10:29.0,Offensive rebound by T. Chandler,,55-67,,
10:27.0,T. Chandler makes 2-pt shot at rim,2,57-67,,
10:11.0,,,57-67,,C. Lee misses 2-pt shot from 16 ft
10:09.0,,,57-67,,Offensive rebound by C. Lee
10:00.0,,,57-67,,Turnover by J. Jack (lost ball; steal by M. James)
9:56.0,Turnover by D. Booker (bad pass; steal by T. Hardaway),,57-67,,
9:52.0,,,57-67,,T. Hardaway misses 3-pt shot from 25 ft
9:44.0,,,57-67,,Offensive rebound by K. Porzingis
9:44.0,,,57-69,2,K. Porzingis makes 2-pt shot at rim
9:36.0,J. Jackson makes 3-pt shot from 24 ft (assist by M. James),3,60-69,,
9:20.0,,,60-69,,Shooting foul by M. Chriss (drawn by K. Porzingis)
9:20.0,,,60-70,1,K. Porzingis makes free throw 1 of 2
9:20.0,,,60-70,,K. Porzingis misses free throw 2 of 2
9:18.0,Defensive rebound by M. Chriss,,60-70,,
9:09.0,Shooting foul by C. Lee (drawn by T. Chandler),,60-70,,
9:09.0,T. Chandler makes free throw 1 of 2,1,61-70,,
9:09.0,T. Chandler makes free throw 2 of 2,1,62-70,,
8:56.0,,,62-70,,T. Hardaway misses 3-pt shot from 25 ft
8:53.0,Defensive rebound by M. Chriss,,62-70,,
8:51.0,D. Booker misses 3-pt shot from 25 ft,,62-70,,
8:44.0,Offensive rebound by T. Chandler,,62-70,,
8:44.0,T. Chandler makes 2-pt shot at rim,2,64-70,,
8:28.0,,,64-72,2,K. Porzingis makes 2-pt shot from 1 ft (assist by C. Lee)
8:12.0,T. Chandler makes 2-pt shot from 1 ft (assist by M. James),2,66-72,,
8:12.0,,,66-72,,New York full timeout
7:49.0,,,66-72,,C. Lee misses 3-pt shot from 26 ft
7:43.0,,,66-72,,Offensive rebound by E. Kanter
7:37.0,,,66-72,,Shooting foul by M. Chriss (drawn by K. Porzingis)
7:37.0,,,66-73,1,K. Porzingis makes free throw 1 of 2
7:37.0,D. Bender enters the game for M. Chriss,,66-73,,
7:37.0,,,66-74,1,K. Porzingis makes free throw 2 of 2
7:26.0,Turnover by D. Bender (traveling),,66-74,,
7:19.0,Personal foul by D. Bender (drawn by K. Porzingis),,66-74,,
7:13.0,,,66-74,,Turnover by K. Porzingis (bad pass)
7:02.0,D. Bender misses 3-pt shot from 26 ft,,66-74,,
6:59.0,,,66-74,,Defensive rebound by J. Jack
6:49.0,,,66-76,2,K. Porzingis makes 2-pt shot from 7 ft
6:31.0,J. Jackson misses 3-pt shot from 25 ft,,66-76,,
6:29.0,,,66-76,,Defensive rebound by J. Jack
6:26.0,,,66-76,,T. Hardaway misses 3-pt shot from 26 ft
6:21.0,Defensive rebound by D. Booker,,66-76,,
6:19.0,Offensive foul by D. Booker (drawn by T. Hardaway),,66-76,,
6:19.0,Turnover by D. Booker (offensive foul),,66-76,,
6:19.0,,,66-76,,L. Thomas enters the game for C. Lee
6:19.0,A. Len enters the game for D. Booker,,66-76,,
6:19.0,T. Daniels enters the game for T. Chandler,,66-76,,
6:10.0,Personal foul by A. Len (drawn by J. Jack),,66-76,,
6:10.0,,,66-77,1,J. Jack makes free throw 1 of 2
6:10.0,,,66-77,,M. Beasley enters the game for K. Porzingis
6:10.0,,,66-78,1,J. Jack makes free throw 2 of 2
5:54.0,M. James misses 2-pt shot from 17 ft,,66-78,,
5:51.0,Offensive rebound by A. Len,,66-78,,
5:43.0,J. Jackson misses 3-pt shot from 27 ft,,66-78,,
5:39.0,,,66-78,,Defensive rebound by L. Thomas
5:37.0,,,66-80,2,T. Hardaway makes 2-pt shot at rim (assist by J. Jack)
5:19.0,Shooting foul by T. Hardaway (drawn by M. James),,66-80,,
5:19.0,M. James misses free throw 1 of 3,,66-80,,
5:19.0,Offensive rebound by Team,,66-80,,
5:19.0,M. James makes free throw 2 of 3,1,67-80,,
5:19.0,M. James makes free throw 3 of 3,1,68-80,,
5:00.0,,,68-80,,E. Kanter misses 2-pt shot from 2 ft
5:00.0,Defensive rebound by Team,,68-80,,
4:49.0,M. James misses 3-pt shot from 25 ft,,68-80,,
4:46.0,,,68-80,,Defensive rebound by L. Thomas
4:32.0,,,68-80,,E. Kanter misses 2-pt shot from 8 ft
4:30.0,Defensive rebound by A. Len,,68-80,,
4:26.0,T. Daniels makes 3-pt shot from 24 ft (assist by M. James),3,71-80,,
4:03.0,,,71-80,,Turnover by T. Hardaway (bad pass; steal by M. James)
3:59.0,M. James misses 2-pt shot from 2 ft,,71-80,,
3:54.0,Offensive rebound by D. Bender,,71-80,,
3:54.0,D. Bender makes 2-pt shot at rim,2,73-80,,
3:43.0,,,73-80,,T. Hardaway misses 3-pt shot from 26 ft
3:40.0,,,73-80,,Offensive rebound by E. Kanter
3:37.0,,,73-82,2,E. Kanter makes 2-pt shot from 1 ft
3:29.0,Shooting foul by E. Kanter (drawn by A. Len),,73-82,,
3:29.0,,,73-82,,K. O'Quinn enters the game for J. Jack
3:29.0,,,73-82,,F. Ntilikina enters the game for E. Kanter
3:29.0,T. Ulis enters the game for M. James,,73-82,,
3:29.0,A. Len misses free throw 1 of 2,,73-82,,
3:29.0,Offensive rebound by Team,,73-82,,
3:29.0,A. Len misses free throw 2 of 2,,73-82,,
3:29.0,,,73-82,,Defensive rebound by Team
3:12.0,,,73-82,,M. Beasley misses 2-pt shot from 8 ft (block by D. Bender)
3:09.0,Defensive rebound by D. Bender,,73-82,,
3:02.0,J. Jackson misses 3-pt shot from 22 ft,,73-82,,
3:00.0,,,73-82,,Defensive rebound by M. Beasley
2:54.0,,,73-82,,M. Beasley misses 2-pt shot from 1 ft
2:52.0,Defensive rebound by A. Len,,73-82,,
2:33.0,Turnover by A. Len (lost ball; steal by L. Thomas),,73-82,,
2:20.0,,,73-84,2,L. Thomas makes 2-pt shot from 2 ft
2:20.0,,,73-84,,C. Lee enters the game for T. Hardaway
2:20.0,,,73-84,,D. McDermott enters the game for L. Thomas
2:20.0,Phoenix full timeout,,73-84,,
2:03.0,T. Daniels misses 3-pt shot from 26 ft,,73-84,,
1:59.0,,,73-84,,Defensive rebound by M. Beasley
1:46.0,,,73-86,2,D. McDermott makes 2-pt shot from 1 ft (assist by K. O'Quinn)
1:31.0,D. Bender misses 3-pt shot from 26 ft,,73-86,,
1:31.0,Offensive rebound by Team,,73-86,,
1:31.0,,,73-86,,Loose ball foul by K. O'Quinn (drawn by A. Len)
1:26.0,Shooting foul by M. Beasley (drawn by D. Bender),,73-86,,
1:26.0,D. Bender makes free throw 1 of 2,1,74-86,,
1:26.0,D. Bender makes free throw 2 of 2,1,75-86,,
1:04.0,,,75-88,2,M. Beasley makes 2-pt shot from 3 ft
0:54.0,,,75-88,,Personal foul by F. Ntilikina (drawn by T. Ulis)
0:54.0,T. Ulis misses free throw 1 of 2,,75-88,,
0:54.0,Offensive rebound by Team,,75-88,,
0:54.0,T. Ulis makes free throw 2 of 2,1,76-88,,
0:35.0,,,76-90,2,M. Beasley makes 2-pt shot from 1 ft
0:14.0,T. Ulis misses 2-pt shot from 12 ft,,76-90,,
0:11.0,,,76-90,,Defensive rebound by K. O'Quinn
0:01.0,,,76-92,2,M. Beasley makes 2-pt shot from 7 ft
0:00.0,T. Ulis misses 3-pt shot from 53 ft,,76-92,,
0:00.0,Offensive rebound by Team,,76-92,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,D. Booker misses 2-pt shot from 18 ft,,76-92,,
11:38.0,Offensive rebound by M. Chriss,,76-92,,
11:38.0,M. Chriss makes 2-pt shot at rim,2,78-92,,
11:29.0,,,78-94,2,M. Beasley makes 2-pt shot from 1 ft (assist by K. O'Quinn)
11:29.0,,,78-94,,Shooting foul by M. Chriss (drawn by M. Beasley)
11:29.0,,,78-95,1,M. Beasley makes free throw 1 of 1
11:10.0,A. Len misses 2-pt shot from 2 ft,,78-95,,
11:08.0,Offensive rebound by T. Ulis,,78-95,,
11:06.0,T. Ulis misses 2-pt shot from 10 ft,,78-95,,
11:03.0,Offensive rebound by A. Len,,78-95,,
11:01.0,T. Ulis makes 2-pt shot from 16 ft,2,80-95,,
10:46.0,,,80-95,,Turnover by K. O'Quinn (step out of bounds)
10:40.0,,,80-95,,Personal foul by K. O'Quinn (drawn by T. Daniels)
10:35.0,Shooting foul by K. O'Quinn (drawn by A. Len),,80-95,,
10:35.0,A. Len makes free throw 1 of 2,1,81-95,,
10:35.0,A. Len misses free throw 2 of 2,,81-95,,
10:34.0,,,81-95,,Defensive rebound by K. O'Quinn
10:22.0,,,81-95,,Turnover by F. Ntilikina (bad pass; steal by T. Ulis)
10:18.0,T. Daniels misses 2-pt shot from 12 ft,,81-95,,
10:18.0,,,81-95,,Defensive rebound by D. McDermott
10:18.0,Personal foul by M. Chriss (drawn by D. McDermott),,81-95,,
10:18.0,D. Bender enters the game for M. Chriss,,81-95,,
10:02.0,,,81-95,,D. McDermott misses 3-pt shot from 22 ft
9:59.0,Defensive rebound by D. Bender,,81-95,,
9:48.0,Shooting foul by D. McDermott (drawn by T. Ulis),,81-95,,
9:48.0,T. Ulis makes free throw 2 of 2,1,82-95,,
9:48.0,T. Ulis makes free throw 1 of 2,1,83-95,,
9:32.0,,,83-97,2,D. McDermott makes 2-pt shot from 2 ft (assist by K. O'Quinn)
9:16.0,,,83-97,,Def 3 sec tech foul by M. Beasley
9:16.0,D. Booker makes technical free throw,1,84-97,,
9:14.0,A. Len misses 2-pt shot from 2 ft (block by K. O'Quinn),,84-97,,
9:09.0,,,84-97,,Defensive rebound by M. Beasley
9:08.0,,,84-100,3,C. Lee makes 3-pt shot from 25 ft (assist by F. Ntilikina)
8:59.0,T. Ulis misses 2-pt shot from 2 ft (block by K. O'Quinn),,84-100,,
8:59.0,Offensive rebound by Team,,84-100,,
8:58.0,,,84-100,,K. Porzingis enters the game for M. Beasley
8:56.0,D. Booker makes 3-pt shot from 23 ft (assist by T. Ulis),3,87-100,,
8:42.0,,,87-100,,Turnover by D. McDermott (out of bounds lost ball)
8:33.0,A. Len makes 2-pt shot from 1 ft (assist by T. Ulis),2,89-100,,
