time,LA Clippers,pts.away,score,pts.home,Washington
8:10.0,Turnover by L. Williams (bad pass),,5-6,,
7:55.0,,,5-8,2,K. Oubre makes 2-pt shot from 20 ft (assist by M. Morris)
7:42.0,Turnover by L. Williams (bad pass; steal by M. Gortat),,5-8,,
7:33.0,,,5-8,,M. Gortat misses 2-pt shot from 9 ft
7:28.0,,,5-8,,Offensive rebound by M. Morris
7:28.0,,,5-10,2,M. Morris makes 2-pt shot at rim
7:16.0,W. Johnson misses 2-pt shot from 19 ft,,5-10,,
7:16.0,Offensive rebound by L. Williams,,5-10,,
7:12.0,L. Williams misses 2-pt shot from 9 ft,,5-10,,
7:12.0,,,5-10,,Defensive rebound by Team
7:02.0,,,5-10,,J. Wall misses 3-pt shot from 27 ft
6:59.0,Defensive rebound by J. Wilson,,5-10,,
6:46.0,D. Jordan misses 2-pt shot from 4 ft,,5-10,,
6:46.0,Offensive rebound by D. Jordan,,5-10,,
6:44.0,D. Jordan makes 2-pt shot from 1 ft,2,7-10,,
6:34.0,,,7-10,,B. Beal misses 3-pt shot from 24 ft
6:34.0,Defensive rebound by D. Jordan,,7-10,,
6:15.0,S. Thornwell misses 3-pt shot from 23 ft,,7-10,,
6:14.0,,,7-10,,Defensive rebound by Team
6:14.0,Loose ball foul by D. Jordan (drawn by M. Gortat),,7-10,,
6:14.0,,,7-10,,Washington full timeout
6:14.0,J. Evans enters the game for S. Thornwell,,7-10,,
6:14.0,S. Dekker enters the game for J. Wilson,,7-10,,
6:14.0,C. Williams enters the game for W. Johnson,,7-10,,
6:05.0,Personal foul by C. Williams (drawn by M. Morris),,7-10,,
5:55.0,,,7-10,,B. Beal misses 2-pt shot from 18 ft
5:52.0,Defensive rebound by S. Dekker,,7-10,,
5:37.0,D. Jordan misses 2-pt shot from 5 ft,,7-10,,
5:36.0,,,7-10,,Defensive rebound by B. Beal
5:27.0,Personal foul by J. Evans (drawn by J. Wall),,7-10,,
5:27.0,,,7-11,1,J. Wall makes free throw 1 of 2
5:27.0,,,7-12,1,J. Wall makes free throw 2 of 2
5:18.0,Shooting foul by M. Morris (drawn by L. Williams),,7-12,,
5:18.0,L. Williams makes free throw 1 of 2,1,8-12,,
5:18.0,,,8-12,,T. Satoransky enters the game for J. Wall
5:18.0,,,8-12,,M. Scott enters the game for M. Morris
5:18.0,L. Williams makes free throw 2 of 2,1,9-12,,
5:08.0,,,9-12,,Turnover by T. Satoransky (lost ball; steal by J. Evans)
5:04.0,J. Evans misses 2-pt shot from 1 ft,,9-12,,
5:03.0,Offensive rebound by C. Williams,,9-12,,
5:03.0,C. Williams makes 2-pt shot at rim,2,11-12,,
4:49.0,,,11-12,,K. Oubre misses 2-pt shot from 17 ft
4:49.0,Defensive rebound by D. Jordan,,11-12,,
4:39.0,D. Jordan makes 2-pt shot from 1 ft (assist by L. Williams),2,13-12,,
4:22.0,,,13-14,2,M. Scott makes 2-pt shot from 14 ft (assist by B. Beal)
3:59.0,S. Dekker misses 2-pt shot from 16 ft,,13-14,,
3:57.0,,,13-14,,Defensive rebound by M. Gortat
3:51.0,,,13-16,2,T. Satoransky makes 2-pt shot from 12 ft
3:49.0,LA Clippers full timeout,,13-16,,
3:49.0,,,13-16,,I. Mahinmi enters the game for M. Gortat
3:25.0,L. Williams misses 3-pt shot from 26 ft,,13-16,,
3:21.0,,,13-16,,Defensive rebound by M. Scott
3:03.0,,,13-19,3,M. Scott makes 3-pt shot from 24 ft (assist by T. Satoransky)
2:46.0,Turnover by D. Jordan (bad pass; steal by B. Beal),,13-19,,
2:42.0,,,13-22,3,B. Beal makes 3-pt shot from 24 ft
2:20.0,J. Evans misses 2-pt shot from 21 ft,,13-22,,
2:17.0,,,13-22,,Defensive rebound by B. Beal
2:04.0,,,13-24,2,B. Beal makes 2-pt shot from 17 ft
1:53.0,Turnover by L. Williams (bad pass; steal by T. Satoransky),,13-24,,
1:49.0,,,13-24,,J. Meeks enters the game for B. Beal
1:49.0,S. Thornwell enters the game for D. Jordan,,13-24,,
1:49.0,M. Harrell enters the game for L. Williams,,13-24,,
1:35.0,,,13-24,,Turnover by M. Scott (bad pass; steal by C. Williams)
1:16.0,M. Harrell misses 2-pt shot from 13 ft,,13-24,,
1:13.0,,,13-24,,Defensive rebound by K. Oubre
0:56.0,,,13-24,,I. Mahinmi misses 2-pt shot from 7 ft
0:55.0,,,13-24,,Offensive rebound by I. Mahinmi
0:55.0,,,13-24,,Shooting foul by C. Williams (drawn by I. Mahinmi)
0:55.0,,,13-24,,I. Mahinmi misses free throw 1 of 2
0:55.0,,,13-24,,Offensive rebound by Team
0:55.0,,,13-25,1,I. Mahinmi makes free throw 2 of 2
0:36.0,S. Thornwell makes 2-pt shot from 1 ft,2,15-25,,
0:28.0,,,15-25,,T. Satoransky misses 3-pt shot from 25 ft
0:23.0,Defensive rebound by M. Harrell,,15-25,,
0:19.0,Turnover by S. Thornwell (bad pass),,15-25,,
0:16.0,,,15-25,,Offensive foul by M. Scott (drawn by J. Evans)
0:16.0,,,15-25,,Turnover by M. Scott (offensive foul)
0:16.0,L. Williams enters the game for S. Thornwell,,15-25,,
0:16.0,J. Wilson enters the game for J. Evans,,15-25,,
0:01.0,C. Williams makes 3-pt shot from 26 ft (assist by L. Williams),3,18-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,C. Williams makes 3-pt shot from 25 ft (assist by J. Evans),3,21-25,,
11:30.0,,,21-25,,Turnover by T. Satoransky (lost ball; steal by J. Evans)
11:22.0,Jump ball: M. Scott vs. J. Evans (T. Satoransky gains possession),,,,Jump ball: M. Scott vs. J. Evans (T. Satoransky gains possession)
11:22.0,Turnover by J. Evans (turnover; steal by M. Scott),,21-25,,
11:06.0,,,21-25,,Turnover by T. Satoransky (bad pass; steal by J. Evans)
10:54.0,Offensive foul by S. Dekker (drawn by T. Satoransky),,21-25,,
10:54.0,Turnover by S. Dekker (offensive foul),,21-25,,
10:41.0,,,21-25,,Shooting foul by S. Thornwell (drawn by K. Oubre)
10:41.0,,,21-26,1,K. Oubre makes free throw 1 of 2
10:41.0,,,21-27,1,K. Oubre makes free throw 2 of 2
10:27.0,S. Dekker misses 2-pt shot from 23 ft,,21-27,,
10:24.0,,,21-27,,Defensive rebound by T. Satoransky
10:10.0,,,21-27,,J. Meeks misses 3-pt shot from 22 ft
10:07.0,Defensive rebound by Team,,21-27,,
10:07.0,W. Reed enters the game for S. Dekker,,21-27,,
9:51.0,,,21-27,,Loose ball foul by J. Meeks (drawn by S. Thornwell)
9:34.0,C. Williams misses 2-pt shot from 14 ft,,21-27,,
9:31.0,,,21-27,,Defensive rebound by K. Oubre
9:19.0,,,21-29,2,M. Scott makes 2-pt shot from 6 ft (assist by J. Meeks)
9:11.0,Offensive foul by W. Reed (drawn by I. Mahinmi),,21-29,,
9:11.0,Turnover by W. Reed (offensive foul),,21-29,,
8:54.0,,,21-29,,Shooting foul by C. Williams (drawn by M. Scott)
8:54.0,,,21-29,,M. Scott misses free throw 1 of 2
8:54.0,,,21-29,,Offensive rebound by Team
8:54.0,W. Johnson enters the game for C. Williams,,21-29,,
8:54.0,,,21-30,1,M. Scott makes free throw 2 of 2
8:53.0,,,21-30,,Personal foul by K. Oubre (drawn by J. Evans)
8:45.0,W. Johnson misses 3-pt shot from 26 ft,,21-30,,
8:41.0,,,21-30,,Defensive rebound by T. Satoransky
8:36.0,,,21-30,,Shooting foul by J. Evans (drawn by T. Satoransky)
8:36.0,,,21-31,1,T. Satoransky makes free throw 1 of 2
8:36.0,,,21-32,1,T. Satoransky makes free throw 2 of 2
8:18.0,Shooting foul by I. Mahinmi (drawn by W. Reed),,21-32,,
8:18.0,W. Reed misses free throw 1 of 2,,21-32,,
8:18.0,Offensive rebound by Team,,21-32,,
8:18.0,W. Reed misses free throw 2 of 2,,21-32,,
8:16.0,,,21-32,,Defensive rebound by K. Oubre
8:06.0,,,21-32,,K. Oubre misses 2-pt shot from 18 ft
8:03.0,Defensive rebound by W. Johnson,,21-32,,
7:56.0,M. Harrell misses 2-pt shot from 10 ft,,21-32,,
7:54.0,,,21-32,,Defensive rebound by Team
7:54.0,L. Williams enters the game for S. Thornwell,,21-32,,
7:54.0,D. Jordan enters the game for M. Harrell,,21-32,,
7:54.0,J. Wilson enters the game for W. Reed,,21-32,,
7:39.0,,,21-35,3,T. Satoransky makes 3-pt shot from 25 ft (assist by I. Mahinmi)
7:22.0,L. Williams misses 2-pt shot from 10 ft,,21-35,,
7:19.0,,,21-35,,Defensive rebound by I. Mahinmi
7:15.0,,,21-35,,K. Oubre misses 3-pt shot from 23 ft
7:13.0,,,21-35,,Offensive rebound by M. Scott
7:13.0,,,21-37,2,M. Scott makes 2-pt shot at rim
7:13.0,LA Clippers full timeout,,21-37,,
7:13.0,,,21-37,,J. Wall enters the game for K. Oubre
7:13.0,,,21-37,,B. Beal enters the game for I. Mahinmi
7:13.0,,,21-37,,M. Morris enters the game for T. Satoransky
6:57.0,J. Wilson misses 3-pt shot from 27 ft,,21-37,,
6:57.0,Offensive rebound by Team,,21-37,,
6:57.0,,,21-37,,Loose ball foul by M. Scott (drawn by D. Jordan)
6:51.0,Turnover by J. Evans (bad pass; steal by M. Morris),,21-37,,
6:47.0,,,21-39,2,M. Scott makes 2-pt shot at rim (assist by J. Wall)
6:32.0,L. Williams makes 2-pt shot from 1 ft (assist by D. Jordan),2,23-39,,
6:13.0,,,23-39,,J. Meeks misses 3-pt shot from 22 ft
6:09.0,Defensive rebound by W. Johnson,,23-39,,
5:59.0,J. Wilson makes 3-pt shot from 26 ft (assist by W. Johnson),3,26-39,,
5:42.0,,,26-41,2,M. Morris makes 2-pt shot from 8 ft
5:25.0,J. Evans makes 2-pt shot from 18 ft,2,28-41,,
5:11.0,,,28-43,2,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall)
4:51.0,Turnover by W. Johnson (bad pass; steal by M. Scott),,28-43,,
4:46.0,,,28-43,,J. Meeks misses 3-pt shot from 23 ft
4:42.0,,,28-43,,Offensive rebound by Team
4:42.0,,,28-43,,M. Gortat enters the game for M. Scott
4:33.0,,,28-43,,Turnover by J. Wall (lost ball; steal by J. Evans)
4:30.0,Shooting foul by M. Morris (drawn by W. Johnson),,28-43,,
4:30.0,W. Johnson makes free throw 1 of 2,1,29-43,,
4:30.0,,,29-43,,J. Smith enters the game for M. Morris
4:30.0,W. Johnson misses free throw 2 of 2,,29-43,,
4:28.0,,,29-43,,Defensive rebound by M. Gortat
4:16.0,,,29-43,,B. Beal misses 2-pt shot from 13 ft
4:12.0,Defensive rebound by J. Wilson,,29-43,,
4:09.0,,,29-43,,Personal foul by M. Gortat (drawn by D. Jordan)
4:09.0,D. Jordan misses free throw 1 of 2,,29-43,,
4:09.0,Offensive rebound by Team,,29-43,,
4:09.0,D. Jordan makes free throw 2 of 2,1,30-43,,
3:58.0,,,30-43,,J. Smith misses 3-pt shot from 25 ft
3:52.0,Defensive rebound by D. Jordan,,30-43,,
3:43.0,J. Evans makes 3-pt shot from 25 ft (assist by L. Williams),3,33-43,,
3:26.0,,,33-43,,Shooting foul by J. Wilson (drawn by M. Gortat)
3:26.0,,,33-43,,M. Gortat misses free throw 1 of 2
3:26.0,,,33-43,,Offensive rebound by Team
3:26.0,,,33-43,,K. Oubre enters the game for J. Meeks
3:26.0,,,33-44,1,M. Gortat makes free throw 2 of 2
3:14.0,W. Johnson misses 3-pt shot from 26 ft,,33-44,,
3:11.0,Offensive rebound by D. Jordan,,33-44,,
3:11.0,D. Jordan misses 2-pt shot from 2 ft (block by K. Oubre),,33-44,,
3:11.0,Offensive rebound by J. Evans,,33-44,,
3:02.0,J. Evans makes 2-pt shot from 2 ft,2,35-44,,
2:59.0,,,35-44,,J. Wall misses 2-pt shot from 4 ft
2:59.0,Defensive rebound by Team,,35-44,,
2:59.0,,,35-44,,Washington full timeout
2:46.0,W. Johnson makes 2-pt shot from 17 ft (assist by L. Williams),2,37-44,,
2:32.0,,,37-44,,J. Smith misses 3-pt shot from 24 ft
2:29.0,Defensive rebound by D. Jordan,,37-44,,
2:21.0,Turnover by W. Johnson (step out of bounds),,37-44,,
2:07.0,,,37-44,,J. Wall misses 2-pt shot from 15 ft
2:05.0,,,37-44,,Offensive rebound by J. Smith
2:03.0,,,37-44,,J. Smith misses 2-pt shot from 18 ft
2:00.0,,,37-44,,Offensive rebound by B. Beal
1:51.0,,,37-44,,J. Smith misses 2-pt shot from 14 ft
1:48.0,Defensive rebound by J. Evans,,37-44,,
1:45.0,Shooting foul by J. Smith (drawn by L. Williams),,37-44,,
1:45.0,L. Williams makes free throw 1 of 2,1,38-44,,
1:45.0,L. Williams makes free throw 2 of 2,1,39-44,,
1:30.0,,,39-44,,Turnover by B. Beal (bad pass; steal by D. Jordan)
1:20.0,Offensive foul by J. Wilson (drawn by B. Beal),,39-44,,
1:20.0,Turnover by J. Wilson (offensive foul),,39-44,,
1:07.0,,,39-44,,K. Oubre misses 2-pt shot from 6 ft (block by D. Jordan)
1:03.0,,,39-44,,Offensive rebound by K. Oubre
1:03.0,,,39-46,2,J. Smith makes 2-pt shot from 2 ft (assist by K. Oubre)
0:44.0,L. Williams makes 3-pt shot from 23 ft (assist by J. Wilson),3,42-46,,
0:34.0,,,42-46,,B. Beal misses 2-pt shot from 15 ft
0:32.0,,,42-46,,Offensive rebound by B. Beal
0:31.0,,,42-48,2,B. Beal makes 2-pt shot from 2 ft
0:09.0,Shooting foul by J. Smith (drawn by J. Wilson),,42-48,,
0:09.0,J. Wilson misses free throw 1 of 2,,42-48,,
0:09.0,Offensive rebound by Team,,42-48,,
0:09.0,S. Thornwell enters the game for L. Williams,,42-48,,
0:09.0,J. Wilson makes free throw 2 of 2,1,43-48,,
0:01.0,,,43-48,,J. Wall misses 2-pt shot from 10 ft (block by W. Johnson)
0:01.0,,,43-48,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,J. Wilson makes 2-pt shot from 17 ft,2,45-48,,
11:25.0,,,45-50,2,M. Morris makes 2-pt shot from 14 ft (assist by B. Beal)
11:15.0,J. Wilson misses 3-pt shot from 24 ft,,45-50,,
11:12.0,,,45-50,,Defensive rebound by K. Oubre
11:08.0,,,45-50,,Offensive foul by M. Morris (drawn by J. Evans)
11:08.0,,,45-50,,Turnover by M. Morris (offensive foul)
11:08.0,,,45-50,,M. Scott enters the game for M. Morris
10:56.0,Turnover by D. Jordan (lost ball; steal by B. Beal),,45-50,,
10:49.0,,,45-52,2,B. Beal makes 2-pt shot from 14 ft
10:35.0,J. Wilson makes 2-pt shot from 20 ft (assist by J. Evans),2,47-52,,
10:21.0,,,47-54,2,J. Wall makes 2-pt shot from 16 ft
10:05.0,W. Johnson misses 3-pt shot from 23 ft,,47-54,,
9:59.0,,,47-54,,Defensive rebound by M. Gortat
9:54.0,,,47-56,2,M. Gortat makes 2-pt shot from 6 ft (assist by B. Beal)
9:36.0,L. Williams misses 3-pt shot from 27 ft,,47-56,,
9:34.0,,,47-56,,Defensive rebound by B. Beal
9:25.0,,,47-56,,M. Scott misses 3-pt shot from 25 ft
9:20.0,Defensive rebound by L. Williams,,47-56,,
9:07.0,L. Williams misses 2-pt shot from 4 ft (block by M. Gortat),,47-56,,
9:02.0,,,47-56,,Defensive rebound by B. Beal
8:59.0,,,47-56,,J. Wall misses 3-pt shot from 25 ft
8:59.0,Defensive rebound by L. Williams,,47-56,,
8:46.0,W. Johnson misses 2-pt shot from 15 ft,,47-56,,
8:46.0,Offensive rebound by D. Jordan,,47-56,,
8:36.0,J. Evans misses 2-pt shot from 4 ft (block by J. Wall),,47-56,,
8:32.0,,,47-56,,Defensive rebound by J. Wall
8:28.0,,,47-56,,B. Beal misses 2-pt shot from 19 ft
8:25.0,Defensive rebound by D. Jordan,,47-56,,
8:21.0,W. Johnson misses 2-pt shot from 1 ft,,47-56,,
8:18.0,,,47-56,,Defensive rebound by J. Wall
8:06.0,,,47-56,,Turnover by M. Scott (lost ball; steal by W. Johnson)
7:57.0,Turnover by J. Wilson (bad pass; steal by M. Gortat),,47-56,,
7:52.0,,,47-56,,K. Oubre misses 2-pt shot from 1 ft (block by J. Wilson)
7:49.0,Defensive rebound by W. Johnson,,47-56,,
7:46.0,Shooting foul by J. Wall (drawn by D. Jordan),,47-56,,
7:46.0,D. Jordan misses free throw 1 of 2,,47-56,,
7:46.0,Offensive rebound by Team,,47-56,,
7:46.0,D. Jordan makes free throw 2 of 2,1,48-56,,
7:32.0,,,48-56,,K. Oubre misses 3-pt shot from 26 ft
7:30.0,Defensive rebound by Team,,48-56,,
7:20.0,L. Williams misses 3-pt shot from 25 ft,,48-56,,
7:16.0,,,48-56,,Defensive rebound by B. Beal
7:12.0,,,48-58,2,B. Beal makes 2-pt shot from 1 ft
7:12.0,Away from play foul by D. Jordan (drawn by M. Gortat),,48-58,,
7:12.0,,,48-59,1,M. Gortat makes free throw 1 of 1
6:54.0,J. Wilson misses 2-pt shot from 19 ft,,48-59,,
6:48.0,Offensive rebound by D. Jordan,,48-59,,
6:48.0,D. Jordan misses 2-pt shot at rim,,48-59,,
6:47.0,,,48-59,,Defensive rebound by M. Gortat
6:45.0,,,48-59,,J. Wall misses 2-pt shot from 7 ft (block by J. Wilson)
6:42.0,Defensive rebound by J. Evans,,48-59,,
6:41.0,Shooting foul by B. Beal (drawn by L. Williams),,48-59,,
6:41.0,,,48-59,,Washington full timeout
6:41.0,S. Thornwell enters the game for W. Johnson,,48-59,,
6:41.0,L. Williams makes free throw 1 of 2,1,49-59,,
6:41.0,L. Williams makes free throw 2 of 2,1,50-59,,
6:32.0,,,50-59,,Turnover by M. Scott (bad pass)
6:17.0,J. Evans misses 2-pt shot from 20 ft,,50-59,,
6:13.0,,,50-59,,Defensive rebound by J. Wall
6:05.0,,,50-62,3,M. Scott makes 3-pt shot from 26 ft (assist by J. Wall)
5:41.0,D. Jordan makes 2-pt shot at rim (assist by J. Wilson),2,52-62,,
5:29.0,,,52-62,,B. Beal misses 3-pt shot from 26 ft
5:26.0,,,52-62,,Offensive rebound by M. Scott
5:19.0,,,52-64,2,J. Wall makes 2-pt shot from 17 ft (assist by B. Beal)
5:02.0,Turnover by S. Thornwell (lost ball; steal by K. Oubre),,52-64,,
5:00.0,,,52-64,,Shooting foul by S. Thornwell (drawn by M. Scott)
5:00.0,,,52-64,,M. Scott misses free throw 1 of 2
5:00.0,,,52-64,,Offensive rebound by Team
5:00.0,,,52-64,,T. Satoransky enters the game for J. Wall
5:00.0,C. Williams enters the game for J. Evans,,52-64,,
5:00.0,S. Dekker enters the game for J. Wilson,,52-64,,
5:00.0,,,52-65,1,M. Scott makes free throw 2 of 2
4:54.0,,,52-65,,Personal foul by M. Gortat (drawn by D. Jordan)
4:44.0,Turnover by C. Williams (out of bounds lost ball),,52-65,,
4:23.0,,,52-67,2,T. Satoransky makes 2-pt shot from 1 ft (assist by M. Gortat)
4:13.0,L. Williams makes 2-pt shot from 7 ft,2,54-67,,
3:50.0,,,54-69,2,B. Beal makes 2-pt shot from 3 ft (assist by T. Satoransky)
3:43.0,Shooting foul by K. Oubre (drawn by L. Williams),,54-69,,
3:43.0,L. Williams makes free throw 1 of 2,1,55-69,,
3:43.0,,,55-69,,J. Meeks enters the game for K. Oubre
3:43.0,,,55-69,,I. Mahinmi enters the game for M. Gortat
3:43.0,L. Williams makes free throw 2 of 2,1,56-69,,
3:27.0,,,56-69,,Turnover by J. Meeks (turnover)
3:27.0,J. Evans enters the game for L. Williams,,56-69,,
3:09.0,C. Williams misses 2-pt shot from 17 ft,,56-69,,
3:05.0,,,56-69,,Defensive rebound by I. Mahinmi
2:51.0,,,56-71,2,M. Scott makes 2-pt shot from 17 ft
2:38.0,D. Jordan makes 2-pt shot at rim (assist by J. Evans),2,58-71,,
2:38.0,Shooting foul by B. Beal (drawn by D. Jordan),,58-71,,
2:38.0,LA Clippers full timeout,,58-71,,
2:38.0,D. Jordan misses free throw 1 of 1,,58-71,,
2:35.0,,,58-71,,Defensive rebound by B. Beal
2:25.0,,,58-71,,Turnover by I. Mahinmi (traveling)
2:25.0,M. Harrell enters the game for D. Jordan,,58-71,,
2:12.0,J. Evans misses 2-pt shot from 19 ft,,58-71,,
2:10.0,,,58-71,,Defensive rebound by J. Meeks
1:55.0,,,58-73,2,M. Scott makes 2-pt shot at rim (assist by T. Satoransky)
1:40.0,C. Williams misses 2-pt shot from 11 ft,,58-73,,
1:34.0,Offensive rebound by C. Williams,,58-73,,
1:34.0,C. Williams makes 2-pt shot at rim,2,60-73,,
1:14.0,,,60-73,,Turnover by I. Mahinmi (lost ball; steal by S. Thornwell)
1:14.0,,,60-73,,Personal foul by I. Mahinmi (drawn by S. Thornwell)
1:14.0,S. Thornwell makes free throw 1 of 2,1,61-73,,
1:14.0,S. Thornwell makes free throw 2 of 2,1,62-73,,
0:56.0,,,62-73,,B. Beal misses 2-pt shot from 17 ft
0:52.0,Defensive rebound by S. Thornwell,,62-73,,
0:46.0,S. Thornwell misses 2-pt shot from 6 ft (block by I. Mahinmi),,62-73,,
0:43.0,,,62-73,,Defensive rebound by M. Scott
0:42.0,,,62-75,2,M. Scott makes 2-pt shot at rim
0:34.0,J. Evans misses 3-pt shot from 25 ft,,62-75,,
0:34.0,Offensive rebound by M. Harrell,,62-75,,
0:29.0,S. Dekker makes 2-pt shot from 2 ft (assist by M. Harrell),2,64-75,,
0:10.0,,,64-75,,B. Beal misses 3-pt shot from 25 ft
0:07.0,Defensive rebound by J. Evans,,64-75,,
0:02.0,C. Williams misses 3-pt shot from 22 ft,,64-75,,
0:02.0,,,64-75,,Defensive rebound by T. Satoransky
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,64-75,,M. Morris misses 2-pt shot from 14 ft
11:40.0,Defensive rebound by B. Johnson,,64-75,,
11:20.0,M. Harrell makes 2-pt shot from 7 ft,2,66-75,,
10:57.0,,,66-75,,Turnover by M. Morris (bad pass; steal by B. Johnson)
10:51.0,B. Johnson misses 2-pt shot from 21 ft,,66-75,,
10:48.0,,,66-75,,Defensive rebound by I. Mahinmi
10:42.0,,,66-77,2,T. Satoransky makes 2-pt shot from 1 ft (assist by T. Frazier)
10:34.0,S. Dekker misses 3-pt shot from 23 ft,,66-77,,
10:32.0,,,66-77,,Defensive rebound by I. Mahinmi
10:26.0,,,66-77,,T. Satoransky misses 3-pt shot from 23 ft (block by C. Williams)
10:26.0,,,66-77,,Offensive rebound by Team
10:18.0,,,66-77,,M. Morris misses 3-pt shot from 26 ft
10:13.0,Defensive rebound by C. Williams,,66-77,,
10:02.0,M. Harrell makes 2-pt shot at rim,2,68-77,,
9:46.0,,,68-77,,T. Frazier misses 3-pt shot from 26 ft
9:45.0,Defensive rebound by S. Dekker,,68-77,,
9:38.0,S. Dekker misses 3-pt shot from 25 ft,,68-77,,
9:35.0,,,68-77,,Defensive rebound by I. Mahinmi
9:28.0,,,68-77,,Turnover by J. Meeks (out of bounds lost ball)
9:15.0,J. Evans makes 2-pt shot from 7 ft,2,70-77,,
8:53.0,,,70-77,,T. Frazier misses 3-pt shot from 26 ft
8:50.0,Defensive rebound by S. Dekker,,70-77,,
8:42.0,S. Dekker makes 2-pt shot at rim (assist by J. Evans),2,72-77,,
8:42.0,,,72-77,,Washington full timeout
8:42.0,,,72-77,,J. Wall enters the game for J. Meeks
8:42.0,,,72-77,,K. Oubre enters the game for T. Satoransky
8:42.0,,,72-77,,B. Beal enters the game for T. Frazier
8:35.0,,,72-77,,Turnover by J. Wall (lost ball; steal by J. Evans)
8:32.0,J. Evans makes 2-pt shot from 2 ft,2,74-77,,
8:27.0,,,74-77,,Turnover by J. Wall (bad pass; steal by M. Harrell)
8:25.0,Shooting foul by J. Wall (drawn by M. Harrell),,74-77,,
8:25.0,M. Harrell makes free throw 2 of 2,1,75-77,,
8:25.0,M. Harrell misses free throw 1 of 2,,75-77,,
8:25.0,Offensive rebound by Team,,75-77,,
8:02.0,,,75-77,,J. Wall misses 2-pt shot from 17 ft
8:01.0,Defensive rebound by J. Evans,,75-77,,
7:55.0,J. Evans misses 2-pt shot from 3 ft (block by K. Oubre),,75-77,,
7:55.0,Offensive rebound by Team,,75-77,,
7:53.0,Turnover by B. Johnson (traveling),,75-77,,
7:38.0,,,75-79,2,I. Mahinmi makes 2-pt shot from 1 ft (assist by M. Morris)
