time,New York,pts.away,score,pts.home,Houston
4:04.0,,,29-9,2,J. Harden makes 2-pt shot from 9 ft
4:04.0,,,29-9,,Shooting foul by M. Beasley (drawn by J. Harden)
4:04.0,,,29-10,1,J. Harden makes free throw 1 of 1
4:01.0,New York full timeout,,29-10,,
4:01.0,L. Thomas enters the game for T. Hardaway,,29-10,,
4:01.0,D. McDermott enters the game for M. Beasley,,29-10,,
3:47.0,J. Jack misses 2-pt shot from 14 ft,,29-10,,
3:41.0,,,29-10,,Defensive rebound by R. Anderson
3:38.0,,,29-13,3,E. Gordon makes 3-pt shot from 26 ft (assist by J. Harden)
3:20.0,Shooting foul by N. Hilario (drawn by C. Lee),,29-13,,
3:20.0,C. Lee makes free throw 1 of 2,1,30-13,,
3:20.0,C. Lee makes free throw 2 of 2,1,31-13,,
3:03.0,,,31-13,,Turnover by L. Mbah a Moute (lost ball; steal by J. Jack)
2:52.0,Turnover by J. Jack (lost ball; steal by L. Mbah a Moute),,31-13,,
2:42.0,,,31-15,2,J. Harden makes 2-pt shot at rim
2:22.0,W. Hernangomez misses 2-pt shot from 11 ft,,31-15,,
2:19.0,,,31-15,,Defensive rebound by R. Anderson
2:17.0,,,31-17,2,N. Hilario makes 2-pt shot at rim (assist by J. Harden)
1:57.0,C. Lee makes 2-pt shot from 1 ft (assist by J. Jack),2,33-17,,
1:52.0,,,33-17,,E. Gordon misses 3-pt shot from 27 ft
1:52.0,,,33-17,,C. Paul enters the game for J. Harden
1:52.0,F. Ntilikina enters the game for J. Jack,,33-17,,
1:52.0,M. Beasley enters the game for L. Thomas,,33-17,,
1:51.0,Offensive rebound by Team,,33-17,,
1:42.0,D. McDermott makes 2-pt shot from 1 ft (assist by W. Hernangomez),2,35-17,,
1:42.0,Shooting foul by L. Mbah a Moute (drawn by D. McDermott),,35-17,,
1:42.0,D. McDermott makes free throw 1 of 1,1,36-17,,
1:30.0,,,36-20,3,L. Mbah a Moute makes 3-pt shot from 23 ft (assist by E. Gordon)
1:11.0,Turnover by F. Ntilikina (step out of bounds),,36-20,,
0:59.0,,,36-23,3,R. Anderson makes 3-pt shot from 30 ft (assist by C. Paul)
0:46.0,M. Beasley makes 2-pt shot from 1 ft (assist by C. Lee),2,38-23,,
0:36.0,,,38-26,3,R. Anderson makes 3-pt shot from 29 ft (assist by C. Paul)
0:30.0,,,38-26,,Personal foul by R. Anderson (drawn by M. Beasley)
0:30.0,M. Beasley misses free throw 1 of 2,,38-26,,
0:30.0,Offensive rebound by Team,,38-26,,
0:30.0,T. Hardaway enters the game for C. Lee,,38-26,,
0:30.0,M. Beasley makes free throw 2 of 2,1,39-26,,
0:11.0,,,39-29,3,E. Gordon makes 3-pt shot from 26 ft (assist by C. Paul)
0:02.0,T. Hardaway misses 2-pt shot from 17 ft,,39-29,,
0:01.0,,,39-29,,Defensive rebound by R. Anderson
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,39-29,,R. Anderson misses 3-pt shot from 28 ft
11:44.0,Defensive rebound by W. Hernangomez,,39-29,,
11:34.0,D. McDermott misses 2-pt shot from 19 ft,,39-29,,
11:33.0,Offensive rebound by Team,,39-29,,
11:30.0,Shooting foul by R. Anderson (drawn by M. Beasley),,39-29,,
11:30.0,M. Beasley makes free throw 1 of 2,1,40-29,,
11:30.0,,,40-29,,C. Capela enters the game for N. Hilario
11:30.0,M. Beasley misses free throw 2 of 2,,40-29,,
11:28.0,,,40-29,,Defensive rebound by Team
11:20.0,,,40-29,,Offensive foul by C. Capela (drawn by F. Ntilikina)
11:20.0,,,40-29,,Turnover by C. Capela (offensive foul)
11:09.0,M. Beasley makes 2-pt shot from 3 ft,2,42-29,,
10:56.0,,,42-29,,C. Paul misses 2-pt shot from 5 ft
10:56.0,Defensive rebound by Team,,42-29,,
10:56.0,,,42-29,,Personal foul by C. Capela (drawn by W. Hernangomez)
10:50.0,Turnover by M. Beasley (traveling),,42-29,,
10:26.0,,,42-31,2,R. Anderson makes 2-pt shot from 15 ft (assist by C. Capela)
10:18.0,W. Hernangomez makes 2-pt shot from 3 ft (assist by F. Ntilikina),2,44-31,,
9:55.0,,,44-34,3,R. Anderson makes 3-pt shot from 23 ft (assist by T. Ariza)
9:35.0,M. Beasley makes 2-pt shot from 3 ft,2,46-34,,
9:30.0,,,46-34,,Shooting foul by T. Hardaway (drawn by R. Anderson)
9:30.0,,,46-35,1,R. Anderson makes free throw 1 of 2
9:30.0,K. O'Quinn enters the game for W. Hernangomez,,46-35,,
9:30.0,,,46-35,,R. Anderson misses free throw 2 of 2
9:26.0,Defensive rebound by K. O'Quinn,,46-35,,
9:15.0,Turnover by K. O'Quinn (lost ball; steal by C. Paul),,46-35,,
9:12.0,,,46-37,2,C. Paul makes 2-pt shot from 1 ft
8:58.0,T. Hardaway misses 3-pt shot from 27 ft,,46-37,,
8:56.0,,,46-37,,Defensive rebound by C. Capela
8:48.0,,,46-39,2,R. Anderson makes 2-pt shot from 1 ft (assist by C. Capela)
8:29.0,T. Hardaway misses 2-pt shot from 1 ft,,46-39,,
8:27.0,,,46-39,,Defensive rebound by C. Capela
8:23.0,,,46-39,,Turnover by C. Paul (bad pass)
8:07.0,M. Beasley misses 2-pt shot from 18 ft,,46-39,,
8:04.0,,,46-39,,Defensive rebound by C. Capela
7:58.0,,,46-41,2,E. Gordon makes 2-pt shot from 2 ft
7:51.0,New York full timeout,,46-41,,
7:51.0,,,46-41,,J. Harden enters the game for C. Paul
7:51.0,J. Jack enters the game for F. Ntilikina,,46-41,,
7:51.0,C. Lee enters the game for D. McDermott,,46-41,,
7:38.0,J. Jack misses 3-pt shot from 25 ft,,46-41,,
7:34.0,,,46-41,,Defensive rebound by R. Anderson
7:28.0,,,46-41,,R. Anderson misses 3-pt shot from 26 ft
7:26.0,Defensive rebound by J. Jack,,46-41,,
7:14.0,Turnover by T. Hardaway (bad pass; steal by T. Ariza),,46-41,,
7:07.0,,,46-41,,R. Anderson misses 2-pt shot from 4 ft (block by K. O'Quinn)
7:07.0,,,46-41,,Offensive rebound by Team
7:07.0,,,46-41,,P. Tucker enters the game for R. Anderson
6:59.0,,,46-41,,T. Ariza misses 2-pt shot from 3 ft
6:59.0,,,46-41,,Offensive rebound by Team
6:51.0,,,46-41,,J. Harden misses 3-pt shot from 26 ft
6:49.0,Defensive rebound by T. Hardaway,,46-41,,
6:32.0,Shooting foul by J. Harden (drawn by T. Hardaway),,46-41,,
6:32.0,T. Hardaway makes free throw 1 of 3,1,47-41,,
6:32.0,T. Hardaway makes free throw 2 of 3,1,48-41,,
6:32.0,T. Hardaway makes free throw 3 of 3,1,49-41,,
6:14.0,,,49-43,2,J. Harden makes 2-pt shot from 10 ft
5:57.0,T. Hardaway misses 2-pt shot from 17 ft,,49-43,,
5:54.0,,,49-43,,Defensive rebound by C. Capela
5:54.0,Personal foul by K. O'Quinn (drawn by J. Harden),,49-43,,
5:54.0,W. Hernangomez enters the game for K. O'Quinn,,49-43,,
5:45.0,,,49-43,,E. Gordon misses 3-pt shot from 28 ft
5:42.0,Defensive rebound by M. Beasley,,49-43,,
5:27.0,Turnover by T. Hardaway (bad pass),,49-43,,
5:27.0,,,49-43,,L. Mbah a Moute enters the game for T. Ariza
5:27.0,,,49-43,,C. Paul enters the game for E. Gordon
5:17.0,,,49-46,3,L. Mbah a Moute makes 3-pt shot from 25 ft (assist by J. Harden)
4:54.0,Turnover by C. Lee (lost ball; steal by P. Tucker),,49-46,,
4:48.0,,,49-46,,Shooting foul by W. Hernangomez (drawn by C. Capela)
4:48.0,,,49-47,1,C. Capela makes free throw 1 of 2
4:48.0,,,49-48,1,C. Capela makes free throw 2 of 2
4:27.0,M. Beasley makes 2-pt shot from 1 ft (assist by J. Jack),2,51-48,,
4:17.0,,,51-48,,C. Paul misses 3-pt shot from 26 ft
4:13.0,Defensive rebound by M. Beasley,,51-48,,
3:54.0,M. Beasley misses 2-pt shot from 13 ft,,51-48,,
3:52.0,,,51-48,,Defensive rebound by C. Capela
3:48.0,,,51-48,,P. Tucker misses 3-pt shot from 23 ft
3:43.0,Defensive rebound by M. Beasley,,51-48,,
3:35.0,W. Hernangomez misses 2-pt shot from 9 ft,,51-48,,
3:33.0,,,51-48,,Defensive rebound by L. Mbah a Moute
3:29.0,,,51-48,,Shooting foul by W. Hernangomez (drawn by J. Harden)
3:29.0,,,51-48,,J. Harden misses free throw 1 of 2
3:29.0,,,51-48,,Offensive rebound by Team
3:29.0,L. Thomas enters the game for M. Beasley,,51-48,,
3:29.0,,,51-49,1,J. Harden makes free throw 2 of 2
3:13.0,W. Hernangomez misses 2-pt shot from 2 ft (block by C. Capela),,51-49,,
3:10.0,,,51-49,,Defensive rebound by C. Paul
3:08.0,Shooting block foul by T. Hardaway (drawn by C. Paul),,51-49,,
3:08.0,,,51-50,1,C. Paul makes free throw 1 of 2
3:08.0,,,51-51,1,C. Paul makes free throw 2 of 2
2:54.0,,,51-51,,Houston full timeout
2:51.0,W. Hernangomez makes 2-pt shot from 19 ft (assist by T. Hardaway),2,53-51,,
2:35.0,,,53-51,,J. Harden misses 2-pt shot from 8 ft
2:32.0,Defensive rebound by T. Hardaway,,53-51,,
2:29.0,T. Hardaway misses 2-pt shot from 1 ft,,53-51,,
2:27.0,,,53-51,,Defensive rebound by C. Capela
2:16.0,,,53-54,3,J. Harden makes 3-pt shot from 28 ft (assist by C. Paul)
2:00.0,J. Jack makes 2-pt shot from 10 ft,2,55-54,,
1:39.0,,,55-54,,C. Capela misses 2-pt shot at rim
1:37.0,,,55-54,,Offensive rebound by P. Tucker
1:36.0,,,55-56,2,P. Tucker makes 2-pt shot from 1 ft
1:28.0,J. Jack makes 2-pt shot from 1 ft,2,57-56,,
1:17.0,,,57-58,2,J. Harden makes 2-pt shot from 1 ft
0:59.0,T. Hardaway makes 2-pt shot from 6 ft (assist by J. Jack),2,59-58,,
0:36.0,,,59-58,,C. Paul misses 3-pt shot from 24 ft
0:33.0,Defensive rebound by J. Jack,,59-58,,
0:13.0,T. Hardaway makes 2-pt shot from 7 ft,2,61-58,,
0:00.0,,,61-58,,C. Paul misses 2-pt shot from 16 ft
0:00.0,,,61-58,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,61-58,,C. Paul misses 2-pt shot from 14 ft
11:40.0,Defensive rebound by K. O'Quinn,,61-58,,
11:27.0,M. Beasley misses 2-pt shot from 14 ft,,61-58,,
11:24.0,,,61-58,,Defensive rebound by C. Capela
11:15.0,,,61-58,,T. Ariza misses 3-pt shot from 25 ft
11:12.0,Defensive rebound by K. O'Quinn,,61-58,,
10:58.0,Turnover by M. Beasley (bad pass; steal by P. Tucker),,61-58,,
10:55.0,,,61-60,2,T. Ariza makes 2-pt shot from 1 ft (assist by J. Harden)
10:35.0,K. O'Quinn makes 2-pt shot from 19 ft (assist by C. Lee),2,63-60,,
10:22.0,,,63-63,3,J. Harden makes 3-pt shot from 28 ft (assist by C. Paul)
9:57.0,K. O'Quinn misses 2-pt shot from 2 ft (block by C. Capela),,63-63,,
9:55.0,,,63-63,,Defensive rebound by P. Tucker
9:49.0,,,63-66,3,T. Ariza makes 3-pt shot from 22 ft (assist by P. Tucker)
9:25.0,C. Lee misses 3-pt shot from 23 ft,,63-66,,
9:23.0,,,63-66,,Defensive rebound by C. Capela
9:19.0,,,63-66,,Houston full timeout
9:07.0,,,63-66,,C. Capela misses 2-pt shot at rim (block by K. O'Quinn)
9:04.0,,,63-66,,Offensive rebound by C. Capela
9:01.0,,,63-66,,J. Harden misses 3-pt shot from 26 ft
8:57.0,,,63-66,,Offensive rebound by C. Capela
8:55.0,,,63-66,,T. Ariza misses 3-pt shot from 25 ft
8:50.0,Defensive rebound by C. Lee,,63-66,,
8:40.0,Turnover by M. Beasley (lost ball; steal by J. Harden),,63-66,,
8:37.0,,,63-68,2,T. Ariza makes 2-pt shot from 2 ft (assist by J. Harden)
8:16.0,C. Lee misses 3-pt shot from 25 ft,,63-68,,
8:12.0,,,63-68,,Defensive rebound by C. Capela
8:05.0,,,63-71,3,T. Ariza makes 3-pt shot from 26 ft (assist by C. Paul)
8:04.0,New York full timeout,,63-71,,
7:44.0,T. Hardaway misses 2-pt shot from 3 ft (block by C. Capela),,63-71,,
7:39.0,Offensive rebound by K. O'Quinn,,63-71,,
7:37.0,K. O'Quinn makes 2-pt shot at rim,2,65-71,,
7:29.0,,,65-74,3,J. Harden makes 3-pt shot from 27 ft (assist by C. Paul)
7:09.0,J. Jack misses 2-pt shot from 12 ft,,65-74,,
7:05.0,Offensive rebound by M. Beasley,,65-74,,
7:02.0,M. Beasley makes 2-pt shot from 6 ft,2,67-74,,
6:53.0,,,67-74,,J. Harden misses 2-pt shot from 11 ft
6:49.0,Defensive rebound by T. Hardaway,,67-74,,
6:45.0,T. Hardaway misses 2-pt shot from 3 ft,,67-74,,
6:44.0,,,67-74,,Defensive rebound by C. Capela
6:37.0,,,67-77,3,T. Ariza makes 3-pt shot from 23 ft (assist by C. Capela)
6:11.0,Turnover by M. Beasley (lost ball; steal by P. Tucker),,67-77,,
6:11.0,Personal foul by J. Jack (drawn by C. Paul),,67-77,,
6:11.0,,,67-77,,E. Gordon enters the game for C. Paul
6:11.0,F. Ntilikina enters the game for J. Jack,,67-77,,
6:06.0,,,67-77,,Shooting foul by C. Lee (drawn by J. Harden)
6:06.0,,,67-77,,J. Harden misses free throw 1 of 2
6:06.0,,,67-77,,Offensive rebound by Team
6:06.0,,,67-78,1,J. Harden makes free throw 2 of 2
5:49.0,Turnover by T. Hardaway (bad pass; steal by E. Gordon),,67-78,,
5:32.0,,,67-80,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
5:12.0,M. Beasley makes 2-pt shot from 1 ft (assist by T. Hardaway),2,69-80,,
4:57.0,,,69-80,,E. Gordon misses 2-pt shot from 9 ft (block by M. Beasley)
4:53.0,Defensive rebound by K. O'Quinn,,69-80,,
4:50.0,C. Lee misses 3-pt shot from 22 ft,,69-80,,
4:50.0,Offensive rebound by Team,,69-80,,
4:49.0,,,69-80,,R. Anderson enters the game for T. Ariza
4:49.0,,,69-80,,L. Mbah a Moute enters the game for P. Tucker
4:49.0,D. McDermott enters the game for T. Hardaway,,69-80,,
4:49.0,W. Hernangomez enters the game for K. O'Quinn,,69-80,,
4:34.0,F. Ntilikina misses 2-pt shot from 1 ft,,69-80,,
4:34.0,Offensive rebound by Team,,69-80,,
4:28.0,Turnover by D. McDermott (lost ball; steal by J. Harden),,69-80,,
4:24.0,,,69-82,2,J. Harden makes 2-pt shot at rim
4:02.0,M. Beasley misses 2-pt shot from 2 ft,,69-82,,
3:59.0,,,69-82,,Defensive rebound by R. Anderson
3:58.0,Technical foul by D. McDermott (drawn by C. Capela),,69-82,,
3:58.0,,,69-83,1,C. Capela makes free throw 1 of 2
3:58.0,,,69-83,,C. Capela misses free throw 2 of 2
3:58.0,,,69-83,,Offensive rebound by Team
3:58.0,,,69-83,,N. Hilario enters the game for C. Capela
3:58.0,L. Thomas enters the game for M. Beasley,,69-83,,
3:53.0,,,69-83,,Shooting foul by C. Lee (drawn by N. Hilario)
3:53.0,,,69-84,1,N. Hilario makes free throw 1 of 2
3:53.0,,,69-85,1,N. Hilario makes free throw 2 of 2
3:29.0,W. Hernangomez misses 3-pt shot from 26 ft,,69-85,,
3:27.0,,,69-85,,Defensive rebound by L. Mbah a Moute
3:18.0,,,69-87,2,J. Harden makes 2-pt shot from 15 ft
3:00.0,,,69-87,,Personal foul by N. Hilario (drawn by W. Hernangomez)
2:45.0,C. Lee misses 3-pt shot from 26 ft,,69-87,,
2:42.0,,,69-87,,Defensive rebound by R. Anderson
2:37.0,,,69-87,,E. Gordon misses 2-pt shot from 21 ft
2:33.0,Defensive rebound by W. Hernangomez,,69-87,,
2:24.0,C. Lee makes 2-pt shot from 5 ft (assist by W. Hernangomez),2,71-87,,
2:00.0,,,71-87,,L. Mbah a Moute misses 2-pt shot from 21 ft
1:57.0,,,71-87,,Offensive rebound by N. Hilario
1:55.0,,,71-87,,Shooting foul by D. McDermott (drawn by J. Harden)
1:55.0,,,71-88,1,J. Harden makes free throw 1 of 3
1:55.0,,,71-89,1,J. Harden makes free throw 2 of 3
1:55.0,D. Dotson enters the game for C. Lee,,71-89,,
1:55.0,,,71-90,1,J. Harden makes free throw 3 of 3
1:39.0,F. Ntilikina misses 2-pt shot from 14 ft,,71-90,,
1:36.0,Offensive rebound by D. McDermott,,71-90,,
1:34.0,D. McDermott misses 2-pt shot from 9 ft (block by L. Mbah a Moute),,71-90,,
1:31.0,,,71-90,,Defensive rebound by J. Harden
1:30.0,Violation by F. Ntilikina (kicked ball),,71-90,,
1:30.0,,,71-90,,C. Paul enters the game for J. Harden
1:22.0,,,71-90,,E. Gordon misses 3-pt shot from 28 ft
1:14.0,Defensive rebound by W. Hernangomez,,71-90,,
1:03.0,W. Hernangomez misses 2-pt shot from 2 ft,,71-90,,
1:00.0,,,71-90,,Defensive rebound by R. Anderson
0:57.0,,,71-92,2,N. Hilario makes 2-pt shot from 1 ft (assist by C. Paul)
0:34.0,L. Thomas makes 3-pt shot from 23 ft (assist by W. Hernangomez),3,74-92,,
0:29.0,,,74-92,,C. Paul misses 3-pt shot from 26 ft
0:28.0,Defensive rebound by Team,,74-92,,
0:08.0,W. Hernangomez misses 2-pt shot from 17 ft,,74-92,,
0:06.0,,,74-92,,Defensive rebound by L. Mbah a Moute
0:01.0,,,74-95,3,R. Anderson makes 3-pt shot from 28 ft (assist by C. Paul)
0:00.0,F. Ntilikina misses 3-pt shot from 80 ft,,74-95,,
0:00.0,Offensive rebound by Team,,74-95,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,Shooting foul by L. Mbah a Moute (drawn by K. O'Quinn),,74-95,,
11:43.0,K. O'Quinn misses free throw 1 of 2,,74-95,,
11:43.0,Offensive rebound by Team,,74-95,,
11:43.0,K. O'Quinn makes free throw 2 of 2,1,75-95,,
11:32.0,Loose ball foul by L. Thomas (drawn by L. Mbah a Moute),,75-95,,
11:21.0,,,75-95,,R. Anderson misses 2-pt shot from 17 ft
11:18.0,Defensive rebound by D. McDermott,,75-95,,
11:09.0,D. Dotson misses 2-pt shot from 22 ft,,75-95,,
11:04.0,,,75-95,,Defensive rebound by C. Paul
11:04.0,Personal foul by F. Ntilikina (drawn by C. Paul),,75-95,,
11:04.0,T. Hardaway enters the game for D. McDermott,,75-95,,
10:52.0,,,75-98,3,L. Mbah a Moute makes 3-pt shot from 25 ft (assist by E. Gordon)
10:36.0,F. Ntilikina makes 2-pt shot from 20 ft,2,77-98,,
10:26.0,Violation by F. Ntilikina (kicked ball),,77-98,,
10:26.0,,,77-98,,T. Ariza enters the game for L. Mbah a Moute
10:20.0,,,77-100,2,N. Hilario makes 2-pt shot from 1 ft (assist by C. Paul)
10:04.0,K. O'Quinn misses 2-pt shot from 4 ft (block by R. Anderson),,77-100,,
9:58.0,Offensive rebound by K. O'Quinn,,77-100,,
9:58.0,K. O'Quinn makes 2-pt shot from 1 ft,2,79-100,,
9:48.0,,,79-102,2,N. Hilario makes 2-pt shot from 2 ft (assist by C. Paul)
9:39.0,Offensive foul by K. O'Quinn (drawn by N. Hilario),,79-102,,
9:39.0,Turnover by K. O'Quinn (offensive foul),,79-102,,
9:39.0,M. Beasley enters the game for L. Thomas,,79-102,,
9:39.0,J. Jack enters the game for F. Ntilikina,,79-102,,
9:29.0,,,79-102,,R. Anderson misses 3-pt shot from 26 ft
9:29.0,Defensive rebound by Team,,79-102,,
9:05.0,M. Beasley misses 2-pt shot from 21 ft,,79-102,,
9:01.0,,,79-102,,Defensive rebound by N. Hilario
8:52.0,,,79-102,,Turnover by E. Gordon (lost ball; steal by T. Hardaway)
8:43.0,D. Dotson makes 2-pt shot from 18 ft (assist by T. Hardaway),2,81-102,,
8:32.0,,,81-102,,T. Ariza misses 3-pt shot from 24 ft
8:28.0,Defensive rebound by K. O'Quinn,,81-102,,
8:23.0,M. Beasley misses 2-pt shot from 5 ft (block by N. Hilario),,81-102,,
8:23.0,Offensive rebound by Team,,81-102,,
8:23.0,,,81-102,,J. Harden enters the game for C. Paul
8:15.0,K. O'Quinn makes 2-pt shot from 13 ft,2,83-102,,
8:01.0,,,83-102,,J. Harden misses 2-pt shot from 14 ft
7:58.0,Defensive rebound by K. O'Quinn,,83-102,,
7:47.0,J. Jack makes 2-pt shot from 3 ft (assist by K. O'Quinn),2,85-102,,
7:35.0,,,85-102,,E. Gordon misses 3-pt shot from 26 ft
7:34.0,,,85-102,,Offensive rebound by N. Hilario
7:31.0,,,85-102,,T. Black enters the game for N. Hilario
7:25.0,,,85-102,,E. Gordon misses 2-pt shot from 7 ft
7:22.0,,,85-102,,Offensive rebound by T. Ariza
7:14.0,,,85-102,,J. Harden misses 3-pt shot from 25 ft
7:11.0,Defensive rebound by K. O'Quinn,,85-102,,
7:02.0,J. Jack makes 2-pt shot from 2 ft (assist by K. O'Quinn),2,87-102,,
7:02.0,,,87-102,,Houston full timeout
7:02.0,,,87-102,,P. Tucker enters the game for R. Anderson
7:02.0,,,87-102,,C. Paul enters the game for E. Gordon
6:44.0,,,87-102,,J. Harden misses 3-pt shot from 27 ft
6:42.0,Defensive rebound by J. Jack,,87-102,,
6:29.0,D. Dotson misses 3-pt shot from 26 ft,,87-102,,
6:26.0,,,87-102,,Defensive rebound by T. Ariza
6:16.0,,,87-104,2,C. Paul makes 2-pt shot from 9 ft
5:46.0,Turnover by M. Beasley (lost ball; steal by J. Harden),,87-104,,
5:39.0,,,87-104,,C. Paul misses 3-pt shot from 26 ft
5:39.0,Defensive rebound by Team,,87-104,,
5:22.0,M. Beasley makes 2-pt shot from 3 ft (assist by K. O'Quinn),2,89-104,,
5:05.0,,,89-107,3,J. Harden makes 3-pt shot from 25 ft
4:47.0,,,89-107,,Personal foul by C. Paul (drawn by J. Jack)
4:36.0,K. O'Quinn makes 2-pt shot from 1 ft (assist by J. Jack),2,91-107,,
4:36.0,Shooting foul by T. Black (drawn by K. O'Quinn),,91-107,,
4:36.0,K. O'Quinn makes free throw 1 of 1,1,92-107,,
4:29.0,,,92-110,3,J. Harden makes 3-pt shot from 26 ft (assist by C. Paul)
4:29.0,New York full timeout,,92-110,,
4:29.0,C. Lee enters the game for D. Dotson,,92-110,,
4:17.0,J. Jack makes 2-pt shot from 20 ft (assist by C. Lee),2,94-110,,
4:01.0,,,94-112,2,J. Harden makes 2-pt shot at rim (assist by C. Paul)
