time,Detroit,pts.away,score,pts.home,San Antonio
6:27.0,T. Harris makes 3-pt shot from 25 ft (assist by A. Bradley),3,15-15,,
6:04.0,,,15-15,,Turnover by P. Gasol (lost ball; steal by A. Drummond)
5:57.0,A. Bradley misses 3-pt shot from 22 ft,,15-15,,
5:48.0,Offensive rebound by A. Drummond,,15-15,,
5:48.0,A. Drummond makes 2-pt shot at rim,2,17-15,,
5:30.0,,,17-15,,R. Gay misses 2-pt shot from 15 ft
5:27.0,Defensive rebound by A. Drummond,,17-15,,
5:15.0,A. Drummond misses 2-pt shot from 5 ft,,17-15,,
5:13.0,,,17-15,,Defensive rebound by D. Green
5:02.0,,,17-15,,L. Aldridge misses 2-pt shot from 13 ft
5:00.0,Defensive rebound by T. Harris,,17-15,,
4:52.0,R. Jackson makes 2-pt shot from 7 ft,2,19-15,,
4:51.0,,,19-15,,San Antonio full timeout
4:51.0,,,19-15,,M. Ginobili enters the game for D. Green
4:51.0,,,19-15,,P. Mills enters the game for P. Gasol
4:51.0,,,19-15,,D. Bertans enters the game for T. Parker
4:38.0,Personal foul by A. Drummond (drawn by P. Mills),,19-15,,
4:38.0,E. Moreland enters the game for A. Drummond,,19-15,,
4:31.0,,,19-15,,Turnover by M. Ginobili (bad pass)
4:17.0,A. Bradley misses 2-pt shot from 16 ft,,19-15,,
4:14.0,,,19-15,,Defensive rebound by D. Bertans
4:07.0,,,19-15,,Shooting foul by E. Moreland (drawn by L. Aldridge)
4:07.0,,,19-16,1,L. Aldridge makes free throw 1 of 2
4:07.0,,,19-16,,B. Forbes enters the game for R. Gay
4:07.0,S. Johnson enters the game for A. Tolliver,,19-16,,
4:07.0,,,19-17,1,L. Aldridge makes free throw 2 of 2
3:50.0,E. Moreland makes 2-pt shot from 3 ft (assist by A. Bradley),2,21-17,,
3:29.0,,,21-17,,L. Aldridge misses 2-pt shot from 16 ft
3:29.0,Defensive rebound by R. Jackson,,21-17,,
3:20.0,R. Jackson makes 2-pt shot from 1 ft,2,23-17,,
3:04.0,,,23-17,,Turnover by L. Aldridge (turnover)
3:04.0,I. Smith enters the game for R. Jackson,,23-17,,
3:04.0,L. Galloway enters the game for A. Bradley,,23-17,,
2:41.0,S. Johnson misses 2-pt shot from 13 ft,,23-17,,
2:39.0,,,23-17,,Defensive rebound by M. Ginobili
2:30.0,,,23-17,,M. Ginobili misses 2-pt shot from 3 ft
2:26.0,Defensive rebound by T. Harris,,23-17,,
2:22.0,S. Johnson makes 2-pt shot from 2 ft (assist by I. Smith),2,25-17,,
2:08.0,,,25-17,,L. Aldridge misses 2-pt shot from 17 ft
2:08.0,,,25-17,,Offensive rebound by D. Bertans
1:50.0,,,25-20,3,D. Bertans makes 3-pt shot from 27 ft (assist by L. Aldridge)
1:29.0,I. Smith misses 2-pt shot from 17 ft,,25-20,,
1:25.0,,,25-20,,Defensive rebound by L. Aldridge
1:09.0,,,25-23,3,D. Bertans makes 3-pt shot from 27 ft (assist by L. Aldridge)
0:54.0,Turnover by I. Smith (lost ball; steal by M. Ginobili),,25-23,,
0:50.0,,,25-26,3,M. Ginobili makes 3-pt shot from 26 ft (assist by D. Bertans)
0:35.0,T. Harris makes 2-pt shot from 8 ft,2,27-26,,
0:30.0,,,27-28,2,P. Mills makes 2-pt shot from 2 ft
0:12.0,S. Johnson makes 2-pt shot from 16 ft (assist by E. Moreland),2,29-28,,
0:02.0,,,29-28,,Turnover by P. Mills (out of bounds lost ball)
0:02.0,,,29-28,,P. Gasol enters the game for L. Aldridge
0:00.0,Offensive charge foul by I. Smith (drawn by M. Ginobili),,29-28,,
0:00.0,Turnover by I. Smith (offensive foul),,29-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,I. Smith makes 2-pt shot from 8 ft,2,31-28,,
11:30.0,,,31-28,,D. Bertans misses 2-pt shot from 19 ft
11:26.0,,,31-28,,Offensive rebound by B. Forbes
11:24.0,,,31-31,3,M. Ginobili makes 3-pt shot from 25 ft (assist by B. Forbes)
11:07.0,I. Smith makes 2-pt shot from 17 ft,2,33-31,,
10:56.0,Personal foul by S. Johnson (drawn by M. Ginobili),,33-31,,
10:56.0,Violation by S. Johnson (kicked ball),,33-31,,
10:45.0,,,33-31,,P. Gasol misses 2-pt shot from 20 ft
10:40.0,Defensive rebound by L. Galloway,,33-31,,
10:27.0,S. Johnson makes 2-pt shot from 20 ft (assist by A. Tolliver),2,35-31,,
10:12.0,,,35-31,,M. Ginobili misses 3-pt shot from 26 ft
10:09.0,Defensive rebound by S. Johnson,,35-31,,
10:05.0,I. Smith misses 2-pt shot from 14 ft,,35-31,,
10:01.0,,,35-31,,Defensive rebound by P. Gasol
9:58.0,Personal foul by S. Johnson (drawn by D. Bertans),,35-31,,
9:58.0,,,35-31,,D. Green enters the game for P. Mills
9:58.0,,,35-31,,R. Gay enters the game for M. Ginobili
9:58.0,,,35-31,,T. Parker enters the game for D. Bertans
9:45.0,,,35-31,,P. Gasol misses 2-pt shot from 6 ft
9:42.0,Defensive rebound by A. Tolliver,,35-31,,
9:37.0,A. Tolliver misses 3-pt shot from 28 ft,,35-31,,
9:31.0,Offensive rebound by E. Moreland,,35-31,,
9:24.0,I. Smith makes 2-pt shot from 5 ft,2,37-31,,
9:09.0,,,37-31,,P. Gasol misses 2-pt shot from 5 ft (block by E. Moreland)
9:06.0,Defensive rebound by A. Tolliver,,37-31,,
9:04.0,L. Galloway misses 3-pt shot from 23 ft,,37-31,,
8:58.0,Offensive rebound by L. Galloway,,37-31,,
8:58.0,L. Galloway makes 2-pt shot from 10 ft,2,39-31,,
8:58.0,,,39-31,,San Antonio full timeout
8:49.0,Personal foul by A. Tolliver (drawn by R. Gay),,39-31,,
8:49.0,T. Harris enters the game for A. Tolliver,,39-31,,
8:39.0,,,39-33,2,P. Gasol makes 2-pt shot from 3 ft (assist by T. Parker)
8:23.0,L. Galloway misses 3-pt shot from 25 ft,,39-33,,
8:20.0,,,39-33,,Defensive rebound by P. Gasol
8:11.0,,,39-35,2,P. Gasol makes 2-pt shot from 3 ft (assist by T. Parker)
7:48.0,I. Smith misses 2-pt shot from 18 ft,,39-35,,
7:47.0,Offensive rebound by Team,,39-35,,
7:47.0,,,39-35,,B. Paul enters the game for B. Forbes
7:47.0,A. Drummond enters the game for E. Moreland,,39-35,,
7:45.0,L. Galloway misses 3-pt shot from 22 ft,,39-35,,
7:41.0,,,39-35,,Defensive rebound by D. Green
7:33.0,,,39-35,,R. Gay misses 2-pt shot from 12 ft
7:30.0,Defensive rebound by A. Drummond,,39-35,,
7:28.0,Turnover by A. Drummond (bad pass),,39-35,,
7:14.0,,,39-35,,P. Gasol misses 2-pt shot from 3 ft
7:12.0,Defensive rebound by I. Smith,,39-35,,
7:08.0,I. Smith misses 2-pt shot from 9 ft (block by R. Gay),,39-35,,
7:03.0,,,39-35,,Defensive rebound by P. Gasol
6:52.0,,,39-38,3,D. Green makes 3-pt shot from 23 ft (assist by B. Paul)
6:36.0,T. Harris misses 2-pt shot from 11 ft,,39-38,,
6:32.0,,,39-38,,Defensive rebound by R. Gay
6:20.0,,,39-38,,Turnover by D. Green (bad pass; steal by A. Drummond)
6:18.0,,,39-38,,Personal foul by D. Green (drawn by I. Smith)
6:18.0,,,39-38,,L. Aldridge enters the game for P. Gasol
6:18.0,A. Bradley enters the game for L. Galloway,,39-38,,
6:18.0,R. Jackson enters the game for I. Smith,,39-38,,
6:06.0,Shooting foul by B. Paul (drawn by S. Johnson),,39-38,,
6:06.0,S. Johnson misses free throw 1 of 2,,39-38,,
6:06.0,Offensive rebound by Team,,39-38,,
6:06.0,,,39-38,,M. Ginobili enters the game for B. Paul
6:06.0,S. Johnson makes free throw 2 of 2,1,40-38,,
5:49.0,,,40-38,,L. Aldridge misses 2-pt shot from 19 ft
5:45.0,Defensive rebound by S. Johnson,,40-38,,
5:22.0,R. Jackson makes 3-pt shot from 32 ft,3,43-38,,
5:02.0,,,43-38,,R. Gay misses 2-pt shot from 6 ft
4:57.0,,,43-38,,Offensive rebound by R. Gay
4:57.0,,,43-40,2,R. Gay makes 2-pt shot at rim
4:45.0,S. Johnson misses 2-pt shot from 17 ft,,43-40,,
4:41.0,,,43-40,,Defensive rebound by D. Green
4:24.0,,,43-40,,M. Ginobili misses 3-pt shot from 25 ft
4:21.0,Defensive rebound by R. Jackson,,43-40,,
4:07.0,Turnover by R. Jackson (step out of bounds),,43-40,,
4:07.0,,,43-40,,P. Mills enters the game for T. Parker
3:51.0,,,43-40,,P. Mills misses 3-pt shot from 25 ft
3:48.0,Defensive rebound by A. Drummond,,43-40,,
3:42.0,R. Jackson makes 2-pt shot from 1 ft,2,45-40,,
3:26.0,,,45-40,,P. Mills misses 2-pt shot from 20 ft
3:22.0,Defensive rebound by S. Johnson,,45-40,,
3:10.0,S. Johnson misses 3-pt shot from 23 ft,,45-40,,
3:09.0,,,45-40,,Defensive rebound by Team
2:45.0,,,45-40,,L. Aldridge misses 2-pt shot from 4 ft
2:45.0,,,45-40,,Offensive rebound by L. Aldridge
2:45.0,,,45-42,2,L. Aldridge makes 2-pt shot from 4 ft
2:45.0,,,45-42,,Shooting foul by T. Harris (drawn by L. Aldridge)
2:45.0,Detroit full timeout,,45-42,,
2:45.0,,,45-43,1,L. Aldridge makes free throw 1 of 1
2:34.0,Turnover by R. Jackson (bad pass),,45-43,,
2:34.0,Loose ball foul by R. Jackson (drawn by M. Ginobili),,45-43,,
2:34.0,,,45-44,1,M. Ginobili makes free throw 1 of 1
2:34.0,,,45-44,,P. Gasol enters the game for D. Green
2:34.0,,,45-44,,B. Forbes enters the game for R. Gay
2:34.0,A. Tolliver enters the game for S. Johnson,,45-44,,
2:34.0,,,45-44,,Violation by P. Gasol (lane)
2:25.0,,,45-44,,Personal foul by M. Ginobili (drawn by A. Bradley)
2:18.0,R. Jackson misses 2-pt shot from 5 ft,,45-44,,
2:18.0,Offensive rebound by Team,,45-44,,
2:18.0,,,45-44,,Loose ball foul by B. Forbes (drawn by A. Drummond)
2:05.0,R. Jackson makes 2-pt shot from 10 ft (assist by A. Drummond),2,47-44,,
1:49.0,,,47-44,,Shooting foul by T. Harris (drawn by L. Aldridge)
1:49.0,,,47-45,1,L. Aldridge makes free throw 1 of 2
1:49.0,E. Moreland enters the game for A. Drummond,,47-45,,
1:49.0,L. Kennard enters the game for T. Harris,,47-45,,
1:49.0,,,47-46,1,L. Aldridge makes free throw 2 of 2
1:38.0,Shooting foul by P. Gasol (drawn by A. Tolliver),,47-46,,
1:38.0,A. Tolliver makes free throw 1 of 2,1,48-46,,
1:38.0,A. Tolliver makes free throw 2 of 2,1,49-46,,
1:25.0,,,49-46,,Turnover by M. Ginobili (out of bounds lost ball)
1:14.0,L. Kennard misses 3-pt shot from 25 ft,,49-46,,
1:08.0,,,49-46,,Defensive rebound by P. Gasol
1:04.0,Shooting block foul by A. Tolliver (drawn by P. Gasol),,49-46,,
1:04.0,,,49-47,1,P. Gasol makes free throw 1 of 2
1:04.0,,,49-47,,D. Green enters the game for B. Forbes
1:04.0,,,49-48,1,P. Gasol makes free throw 2 of 2
0:54.0,R. Jackson makes 2-pt shot from 14 ft,2,51-48,,
0:34.0,,,51-50,2,L. Aldridge makes 2-pt shot from 15 ft (assist by P. Gasol)
0:28.0,A. Bradley misses 3-pt shot from 23 ft,,51-50,,
0:26.0,,,51-50,,Defensive rebound by L. Aldridge
0:20.0,,,51-50,,San Antonio full timeout
0:20.0,,,51-50,,R. Gay enters the game for P. Gasol
0:20.0,H. Ellenson enters the game for A. Tolliver,,51-50,,
0:13.0,S. Johnson enters the game for H. Ellenson,,51-50,,
0:06.0,,,51-50,,P. Mills misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by S. Johnson,,51-50,,
0:00.0,Shooting foul by R. Gay (drawn by S. Johnson),,51-50,,
0:00.0,S. Johnson makes free throw 3 of 3,1,52-50,,
0:00.0,S. Johnson makes free throw 2 of 3,1,53-50,,
0:00.0,S. Johnson misses free throw 1 of 3,,53-50,,
0:00.0,Offensive rebound by Team,,53-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,A. Tolliver misses 3-pt shot from 25 ft,,53-50,,
11:42.0,Offensive rebound by A. Drummond,,53-50,,
11:42.0,Shooting foul by L. Aldridge (drawn by A. Drummond),,53-50,,
11:42.0,A. Drummond makes free throw 1 of 2,1,54-50,,
11:42.0,A. Drummond misses free throw 2 of 2,,54-50,,
11:40.0,,,54-50,,Defensive rebound by L. Aldridge
11:27.0,Personal foul by A. Bradley (drawn by T. Parker),,54-50,,
11:15.0,,,54-50,,L. Aldridge misses 2-pt shot from 16 ft
11:12.0,Defensive rebound by A. Drummond,,54-50,,
10:58.0,T. Harris makes 2-pt shot from 10 ft (assist by A. Bradley),2,56-50,,
10:45.0,,,56-50,,D. Green misses 3-pt shot from 23 ft
10:42.0,Defensive rebound by A. Tolliver,,56-50,,
10:27.0,,,56-50,,Personal foul by R. Gay (drawn by A. Drummond)
10:20.0,T. Harris misses 3-pt shot from 26 ft,,56-50,,
10:17.0,,,56-50,,Defensive rebound by P. Gasol
10:05.0,,,56-50,,L. Aldridge misses 3-pt shot from 25 ft
10:01.0,Defensive rebound by A. Drummond,,56-50,,
9:55.0,A. Tolliver makes 3-pt shot from 22 ft (assist by T. Harris),3,59-50,,
9:53.0,,,59-50,,San Antonio full timeout
9:32.0,,,59-50,,L. Aldridge misses 2-pt shot from 4 ft
9:29.0,,,59-50,,Offensive rebound by R. Gay
9:28.0,,,59-50,,D. Green misses 3-pt shot from 25 ft
9:26.0,,,59-50,,Offensive rebound by R. Gay
9:20.0,,,59-50,,R. Gay misses 2-pt shot from 11 ft
9:17.0,Defensive rebound by A. Drummond,,59-50,,
9:09.0,R. Jackson misses 2-pt shot from 12 ft,,59-50,,
9:06.0,,,59-50,,Defensive rebound by L. Aldridge
8:56.0,,,59-52,2,R. Gay makes 2-pt shot from 10 ft (assist by P. Gasol)
8:40.0,T. Harris makes 2-pt shot from 12 ft (assist by A. Drummond),2,61-52,,
8:30.0,,,61-52,,Turnover by T. Parker (step out of bounds)
8:21.0,A. Bradley misses 2-pt shot from 21 ft,,61-52,,
8:17.0,,,61-52,,Defensive rebound by R. Gay
8:08.0,,,61-52,,Turnover by P. Gasol (bad pass; steal by T. Harris)
7:59.0,Turnover by R. Jackson (lost ball; steal by L. Aldridge),,61-52,,
7:59.0,,,61-55,3,D. Green makes 3-pt shot from 25 ft (assist by L. Aldridge)
7:51.0,Shooting foul by T. Parker (drawn by A. Drummond),,61-55,,
7:51.0,A. Drummond misses free throw 1 of 2,,61-55,,
7:51.0,Offensive rebound by Team,,61-55,,
7:51.0,A. Drummond makes free throw 2 of 2,1,62-55,,
7:35.0,,,62-55,,L. Aldridge misses 2-pt shot from 12 ft
7:33.0,Defensive rebound by A. Drummond,,62-55,,
7:20.0,A. Bradley misses 2-pt shot from 14 ft,,62-55,,
7:20.0,,,62-55,,Defensive rebound by P. Gasol
7:01.0,,,62-57,2,P. Gasol makes 2-pt shot from 2 ft (assist by D. Green)
6:39.0,A. Drummond misses 2-pt shot from 2 ft,,62-57,,
6:36.0,,,62-57,,Defensive rebound by T. Parker
6:19.0,,,62-59,2,D. Green makes 2-pt shot from 17 ft (assist by L. Aldridge)
5:55.0,A. Drummond makes 2-pt shot from 2 ft (assist by R. Jackson),2,64-59,,
5:37.0,,,64-61,2,L. Aldridge makes 2-pt shot from 2 ft (assist by P. Gasol)
5:24.0,Offensive foul by A. Bradley (drawn by L. Aldridge),,64-61,,
5:24.0,Turnover by A. Bradley (offensive foul),,64-61,,
5:24.0,,,64-61,,D. Bertans enters the game for T. Parker
5:24.0,,,64-61,,P. Mills enters the game for P. Gasol
5:01.0,,,64-61,,L. Aldridge misses 2-pt shot from 16 ft
4:59.0,Defensive rebound by A. Bradley,,64-61,,
4:54.0,A. Bradley misses 3-pt shot from 25 ft,,64-61,,
4:42.0,,,64-61,,Defensive rebound by R. Gay
4:41.0,,,64-61,,Turnover by L. Aldridge (out of bounds lost ball)
4:41.0,,,64-61,,M. Ginobili enters the game for R. Gay
4:33.0,Shooting foul by L. Aldridge (drawn by A. Drummond),,64-61,,
4:33.0,A. Drummond misses free throw 1 of 2,,64-61,,
4:33.0,Offensive rebound by Team,,64-61,,
4:33.0,S. Johnson enters the game for R. Jackson,,64-61,,
4:33.0,I. Smith enters the game for A. Tolliver,,64-61,,
4:33.0,A. Drummond makes free throw 2 of 2,1,65-61,,
4:17.0,,,65-61,,D. Bertans misses 3-pt shot from 24 ft
4:11.0,Defensive rebound by S. Johnson,,65-61,,
4:00.0,T. Harris misses 3-pt shot from 26 ft,,65-61,,
3:56.0,,,65-61,,Defensive rebound by P. Mills
3:48.0,,,65-61,,Turnover by P. Mills (bad pass; steal by A. Drummond)
3:42.0,,,65-61,,Personal foul by P. Mills (drawn by I. Smith)
3:42.0,I. Smith makes free throw 1 of 2,1,66-61,,
3:42.0,L. Kennard enters the game for A. Bradley,,66-61,,
3:42.0,I. Smith makes free throw 2 of 2,1,67-61,,
3:34.0,Personal foul by S. Johnson (drawn by M. Ginobili),,67-61,,
3:26.0,,,67-61,,D. Green misses 2-pt shot from 2 ft
3:22.0,,,67-61,,Offensive rebound by D. Green
3:19.0,,,67-61,,Turnover by D. Green (lost ball; steal by I. Smith)
3:19.0,I. Smith misses 2-pt shot from 4 ft (block by D. Green),,67-61,,
3:19.0,Offensive rebound by Team,,67-61,,
3:06.0,,,67-61,,P. Gasol enters the game for L. Aldridge
3:04.0,T. Harris misses 2-pt shot from 16 ft,,67-61,,
3:01.0,,,67-61,,Defensive rebound by P. Gasol
2:49.0,,,67-61,,P. Mills misses 3-pt shot from 25 ft
2:45.0,Defensive rebound by A. Drummond,,67-61,,
2:39.0,I. Smith makes 2-pt shot from 2 ft,2,69-61,,
2:23.0,Personal foul by T. Harris (drawn by D. Bertans),,69-61,,
2:23.0,Detroit full timeout,,69-61,,
2:23.0,,,69-61,,D. Murray enters the game for D. Green
2:23.0,E. Moreland enters the game for A. Drummond,,69-61,,
2:13.0,,,69-64,3,P. Mills makes 3-pt shot from 24 ft (assist by D. Bertans)
1:55.0,,,69-64,,Personal foul by M. Ginobili (drawn by I. Smith)
1:55.0,I. Smith makes free throw 1 of 2,1,70-64,,
1:55.0,I. Smith misses free throw 2 of 2,,70-64,,
1:53.0,,,70-64,,Defensive rebound by P. Gasol
1:41.0,,,70-64,,Offensive charge foul by M. Ginobili (drawn by E. Moreland)
1:41.0,,,70-64,,Turnover by M. Ginobili (offensive foul)
1:29.0,S. Johnson misses 2-pt shot from 14 ft,,70-64,,
1:26.0,,,70-64,,Defensive rebound by M. Ginobili
1:19.0,,,70-67,3,P. Mills makes 3-pt shot from 25 ft (assist by M. Ginobili)
1:00.0,L. Kennard makes 3-pt shot from 27 ft (assist by I. Smith),3,73-67,,
0:48.0,,,73-69,2,D. Bertans makes 2-pt shot from 4 ft (assist by P. Mills)
0:35.0,L. Kennard misses 2-pt shot from 17 ft,,73-69,,
0:32.0,,,73-69,,Defensive rebound by D. Bertans
0:23.0,,,73-69,,P. Gasol misses 3-pt shot from 24 ft
0:17.0,Defensive rebound by S. Johnson,,73-69,,
0:02.0,I. Smith misses 2-pt shot from 22 ft,,73-69,,
0:02.0,,,73-69,,Defensive rebound by P. Gasol
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,73-69,,D. Bertans misses 3-pt shot from 24 ft
11:45.0,Defensive rebound by S. Johnson,,73-69,,
11:37.0,A. Tolliver misses 3-pt shot from 23 ft,,73-69,,
11:34.0,,,73-69,,Defensive rebound by D. Murray
11:26.0,,,73-72,3,M. Ginobili makes 3-pt shot from 24 ft (assist by P. Gasol)
11:04.0,Offensive foul by A. Tolliver (drawn by P. Mills),,73-72,,
11:04.0,Turnover by A. Tolliver (offensive foul),,73-72,,
11:04.0,R. Jackson enters the game for I. Smith,,73-72,,
10:49.0,,,73-75,3,D. Bertans makes 3-pt shot from 27 ft (assist by D. Murray)
10:47.0,Detroit full timeout,,73-75,,
10:27.0,R. Jackson misses 2-pt shot from 19 ft,,73-75,,
10:26.0,,,73-75,,Defensive rebound by Team
10:26.0,Loose ball foul by E. Moreland (drawn by D. Murray),,73-75,,
10:15.0,,,73-77,2,P. Gasol makes 2-pt shot from 1 ft (assist by M. Ginobili)
10:00.0,R. Jackson makes 2-pt shot from 3 ft,2,75-77,,
9:47.0,,,75-77,,Offensive charge foul by D. Murray (drawn by E. Moreland)
9:47.0,,,75-77,,Turnover by D. Murray (offensive foul)
9:47.0,A. Bradley enters the game for L. Kennard,,75-77,,
9:33.0,Turnover by A. Bradley (out of bounds lost ball),,75-77,,
9:19.0,,,75-79,2,P. Gasol makes 2-pt shot from 5 ft (assist by D. Murray)
9:19.0,Violation by E. Moreland (def goaltending),,75-79,,
9:09.0,S. Johnson misses 2-pt shot from 7 ft (block by P. Gasol),,75-79,,
9:09.0,,,75-79,,Defensive rebound by P. Mills
9:03.0,,,75-79,,D. Bertans misses 3-pt shot from 27 ft
9:03.0,Defensive rebound by Team,,75-79,,
9:03.0,,,75-79,,Loose ball foul by D. Murray (drawn by A. Tolliver)
9:03.0,,,75-79,,D. Green enters the game for P. Mills
9:03.0,,,75-79,,B. Forbes enters the game for M. Ginobili
8:45.0,Shooting foul by D. Bertans (drawn by R. Jackson),,75-79,,
8:45.0,R. Jackson misses free throw 1 of 2,,75-79,,
8:45.0,Offensive rebound by Team,,75-79,,
8:45.0,,,75-79,,R. Gay enters the game for D. Bertans
8:45.0,A. Drummond enters the game for E. Moreland,,75-79,,
8:45.0,T. Harris enters the game for S. Johnson,,75-79,,
8:45.0,S. Johnson enters the game for A. Tolliver,,75-79,,
8:45.0,R. Jackson misses free throw 2 of 2,,75-79,,
8:40.0,,,75-79,,Defensive rebound by R. Gay
8:31.0,,,75-79,,P. Gasol misses 2-pt shot from 6 ft
8:28.0,Defensive rebound by A. Drummond,,75-79,,
8:19.0,T. Harris makes 3-pt shot from 25 ft (assist by S. Johnson),3,78-79,,
8:05.0,,,78-79,,P. Gasol misses 2-pt shot from 17 ft
8:05.0,Defensive rebound by T. Harris,,78-79,,
7:56.0,A. Bradley makes 2-pt shot from 12 ft,2,80-79,,
7:56.0,Shooting foul by B. Forbes (drawn by A. Bradley),,80-79,,
7:56.0,,,80-79,,L. Aldridge enters the game for P. Gasol
7:56.0,A. Bradley makes free throw 1 of 1,1,81-79,,
7:43.0,,,81-79,,B. Forbes misses 3-pt shot from 24 ft
7:39.0,Defensive rebound by T. Harris,,81-79,,
7:31.0,S. Johnson makes 3-pt shot from 25 ft (assist by R. Jackson),3,84-79,,
7:30.0,,,84-79,,San Antonio full timeout
7:07.0,,,84-82,3,D. Green makes 3-pt shot from 27 ft (assist by R. Gay)
6:45.0,R. Jackson makes 2-pt shot from 1 ft,2,86-82,,
6:25.0,Personal foul by S. Johnson (drawn by B. Forbes),,86-82,,
6:11.0,,,86-82,,R. Gay misses 2-pt shot from 9 ft
6:09.0,Defensive rebound by R. Jackson,,86-82,,
6:02.0,S. Johnson misses 3-pt shot from 23 ft,,86-82,,
5:58.0,,,86-82,,Defensive rebound by L. Aldridge
5:48.0,,,86-82,,P. Mills enters the game for D. Murray
5:48.0,,,86-82,,M. Ginobili enters the game for B. Forbes
5:46.0,,,86-82,,M. Ginobili misses 3-pt shot from 22 ft
5:41.0,Defensive rebound by S. Johnson,,86-82,,
5:21.0,R. Jackson misses 2-pt shot from 16 ft,,86-82,,
5:18.0,,,86-82,,Defensive rebound by P. Mills
5:14.0,,,86-82,,R. Gay misses 3-pt shot from 25 ft
5:12.0,Defensive rebound by A. Drummond,,86-82,,
5:12.0,,,86-82,,Personal foul by M. Ginobili (drawn by A. Drummond)
4:57.0,R. Jackson misses 2-pt shot from 8 ft,,86-82,,
4:54.0,,,86-82,,Defensive rebound by R. Gay
4:53.0,Personal foul by A. Bradley (drawn by R. Gay),,86-82,,
4:42.0,,,86-85,3,P. Mills makes 3-pt shot from 25 ft (assist by M. Ginobili)
4:24.0,Offensive foul by A. Drummond (drawn by R. Gay),,86-85,,
4:24.0,Turnover by A. Drummond (offensive foul),,86-85,,
4:12.0,,,86-85,,D. Green misses 3-pt shot from 22 ft
4:09.0,Defensive rebound by S. Johnson,,86-85,,
3:49.0,T. Harris misses 2-pt shot from 14 ft,,86-85,,
3:44.0,,,86-85,,Defensive rebound by L. Aldridge
3:39.0,,,86-87,2,R. Gay makes 2-pt shot from 3 ft
3:39.0,,,86-87,,Shooting foul by T. Harris (drawn by R. Gay)
3:39.0,,,86-88,1,R. Gay makes free throw 1 of 1
3:19.0,A. Drummond misses 2-pt shot at rim (block by D. Green),,86-88,,
3:15.0,,,86-88,,Defensive rebound by L. Aldridge
