time,Houston,pts.away,score,pts.home,Detroit
10:07.0,,,40-35,,Turnover by B. Marjanovic (traveling)
9:57.0,G. Green misses 3-pt shot from 26 ft,,40-35,,
9:51.0,Offensive rebound by C. Capela,,40-35,,
9:41.0,R. Anderson misses 2-pt shot from 19 ft,,40-35,,
9:39.0,,,40-35,,Defensive rebound by B. Marjanovic
9:27.0,,,40-35,,Turnover by D. Buycks (bad pass; steal by B. Weber)
9:25.0,Shooting foul by D. Buycks (drawn by B. Weber),,40-35,,
9:25.0,B. Weber makes free throw 1 of 2,1,41-35,,
9:25.0,T. Black enters the game for C. Capela,,41-35,,
9:25.0,B. Weber makes free throw 2 of 2,1,42-35,,
9:11.0,,,42-35,,A. Bradley misses 2-pt shot from 17 ft
9:09.0,,,42-35,,Offensive rebound by B. Marjanovic
9:07.0,,,42-37,2,B. Marjanovic makes 2-pt shot from 3 ft
8:57.0,R. Anderson misses 3-pt shot from 26 ft,,42-37,,
8:54.0,,,42-37,,Defensive rebound by L. Kennard
8:40.0,,,42-39,2,A. Tolliver makes 2-pt shot from 3 ft
8:35.0,,,42-39,,Personal foul by A. Tolliver (drawn by R. Anderson)
8:23.0,R. Anderson misses 3-pt shot from 25 ft,,42-39,,
8:20.0,,,42-39,,Defensive rebound by D. Buycks
8:09.0,,,42-39,,Turnover by L. Kennard (bad pass; steal by B. Weber)
8:04.0,B. Weber misses 2-pt shot from 2 ft,,42-39,,
8:04.0,Offensive rebound by Team,,42-39,,
7:58.0,T. Black makes 2-pt shot from 1 ft (assist by E. Gordon),2,44-39,,
7:48.0,,,44-39,,Detroit full timeout
7:48.0,T. Ariza enters the game for B. Weber,,44-39,,
7:44.0,,,44-39,,Shooting foul by T. Black (drawn by B. Marjanovic)
7:44.0,,,44-39,,B. Marjanovic misses free throw 1 of 2
7:44.0,,,44-39,,Offensive rebound by Team
7:44.0,,,44-40,1,B. Marjanovic makes free throw 2 of 2
7:34.0,Turnover by E. Gordon (bad pass; steal by L. Kennard),,44-40,,
7:29.0,,,44-40,,L. Kennard misses 2-pt shot from 3 ft
7:29.0,,,44-40,,Offensive rebound by Team
7:22.0,,,44-42,2,A. Bradley makes 2-pt shot from 19 ft
7:13.0,,,44-42,,Personal foul by L. Kennard (drawn by G. Green)
7:13.0,,,44-42,,I. Smith enters the game for D. Buycks
6:59.0,E. Gordon makes 2-pt shot from 6 ft,2,46-42,,
6:46.0,,,46-42,,Offensive foul by B. Marjanovic (drawn by T. Ariza)
6:46.0,,,46-42,,Turnover by B. Marjanovic (offensive foul)
6:33.0,G. Green misses 3-pt shot from 23 ft,,46-42,,
6:30.0,,,46-42,,Defensive rebound by B. Marjanovic
6:21.0,,,46-44,2,I. Smith makes 2-pt shot from 1 ft
6:09.0,T. Ariza misses 2-pt shot from 2 ft,,46-44,,
6:09.0,,,46-44,,Defensive rebound by I. Smith
5:59.0,,,46-44,,Shooting foul by T. Black (drawn by A. Tolliver)
5:59.0,,,46-45,1,A. Tolliver makes free throw 1 of 2
5:59.0,,,46-45,,E. Moreland enters the game for B. Marjanovic
5:59.0,C. Paul enters the game for E. Gordon,,46-45,,
5:59.0,P. Tucker enters the game for T. Black,,46-45,,
5:59.0,C. Capela enters the game for R. Anderson,,46-45,,
5:59.0,,,46-46,1,A. Tolliver makes free throw 2 of 2
5:45.0,Turnover by C. Paul (bad pass; steal by I. Smith),,46-46,,
5:33.0,,,46-46,,A. Tolliver misses 2-pt shot from 2 ft
5:29.0,Defensive rebound by C. Paul,,46-46,,
5:20.0,G. Green makes 3-pt shot from 28 ft (assist by C. Paul),3,49-46,,
4:54.0,,,49-46,,I. Smith misses 2-pt shot from 2 ft
4:52.0,Defensive rebound by G. Green,,49-46,,
4:43.0,Turnover by C. Paul (lost ball; steal by L. Kennard),,49-46,,
4:39.0,,,49-48,2,A. Bradley makes 2-pt shot from 2 ft (assist by L. Kennard)
4:16.0,T. Ariza makes 2-pt shot at rim,2,51-48,,
4:05.0,,,51-51,3,A. Bradley makes 3-pt shot from 28 ft (assist by I. Smith)
3:48.0,T. Ariza misses 3-pt shot from 23 ft,,51-51,,
3:45.0,,,51-51,,Defensive rebound by L. Kennard
3:43.0,,,51-51,,L. Kennard misses 3-pt shot from 27 ft
3:37.0,Defensive rebound by C. Capela,,51-51,,
3:20.0,Houston full timeout,,51-51,,
3:20.0,,,51-51,,T. Harris enters the game for L. Kennard
3:20.0,,,51-51,,R. Bullock enters the game for A. Tolliver
3:20.0,E. Gordon enters the game for G. Green,,51-51,,
3:20.0,C. Paul makes technical free throw,1,52-51,,
3:12.0,,,52-51,,Personal foul by A. Bradley (drawn by C. Paul)
3:02.0,T. Ariza misses 2-pt shot at rim,,52-51,,
2:58.0,Offensive rebound by C. Capela,,52-51,,
2:58.0,C. Capela makes 2-pt shot at rim,2,54-51,,
2:53.0,Personal foul by C. Capela (drawn by E. Moreland),,54-51,,
2:46.0,,,54-51,,A. Bradley misses 2-pt shot from 21 ft
2:42.0,Defensive rebound by P. Tucker,,54-51,,
2:38.0,C. Paul misses 3-pt shot from 25 ft,,54-51,,
2:35.0,,,54-51,,Defensive rebound by I. Smith
2:22.0,,,54-53,2,T. Harris makes 2-pt shot from 4 ft
2:06.0,Turnover by C. Capela (bad pass; steal by I. Smith),,54-53,,
2:03.0,,,54-55,2,I. Smith makes 2-pt shot from 1 ft
1:52.0,Shooting foul by A. Bradley (drawn by C. Paul),,54-55,,
1:52.0,C. Paul makes free throw 1 of 2,1,55-55,,
1:52.0,,,55-55,,L. Kennard enters the game for I. Smith
1:52.0,,,55-55,,D. Buycks enters the game for A. Bradley
1:52.0,C. Paul makes free throw 2 of 2,1,56-55,,
1:40.0,,,56-55,,Turnover by D. Buycks (bad pass)
1:25.0,C. Capela makes 2-pt shot from 1 ft (assist by C. Paul),2,58-55,,
1:07.0,,,58-55,,R. Bullock misses 3-pt shot from 23 ft
1:04.0,Defensive rebound by C. Capela,,58-55,,
0:59.0,E. Gordon misses 3-pt shot from 25 ft,,58-55,,
0:53.0,Offensive rebound by C. Paul,,58-55,,
0:52.0,Turnover by C. Paul (lost ball; steal by E. Moreland),,58-55,,
0:47.0,,,58-57,2,T. Harris makes 2-pt shot from 14 ft
0:30.0,C. Paul misses 3-pt shot from 25 ft,,58-57,,
0:25.0,,,58-57,,Defensive rebound by R. Bullock
0:03.0,,,58-57,,D. Buycks misses 2-pt shot from 21 ft (block by C. Capela)
0:03.0,Defensive rebound by C. Paul,,58-57,,
