time,Utah,pts.away,score,pts.home,Minnesota
4:53.0,,,33-31,,A. Wiggins enters the game for S. Muhammad
4:42.0,J. Ingles makes 3-pt shot from 25 ft (assist by D. Favors),3,36-31,,
4:22.0,,,36-33,2,J. Butler makes 2-pt shot from 11 ft
4:06.0,R. Hood misses 3-pt shot from 24 ft,,36-33,,
4:03.0,,,36-33,,Defensive rebound by K. Towns
3:52.0,,,36-33,,A. Wiggins misses 3-pt shot from 26 ft
3:49.0,,,36-33,,Offensive rebound by T. Gibson
3:46.0,,,36-33,,J. Butler misses 2-pt shot from 20 ft
3:39.0,Defensive rebound by D. Favors,,36-33,,
3:38.0,Turnover by R. Gobert (bad pass; steal by J. Teague),,36-33,,
3:36.0,,,36-33,,Shooting foul by R. Rubio (drawn by A. Wiggins)
3:36.0,,,36-33,,A. Wiggins misses free throw 1 of 2
3:36.0,,,36-33,,Offensive rebound by Team
3:36.0,J. Johnson enters the game for R. Hood,,36-33,,
3:36.0,T. Sefolosha enters the game for D. Favors,,36-33,,
3:36.0,,,36-34,1,A. Wiggins makes free throw 2 of 2
3:16.0,J. Johnson misses 3-pt shot from 27 ft,,36-34,,
3:11.0,,,36-34,,Defensive rebound by K. Towns
2:58.0,,,36-34,,T. Gibson misses 2-pt shot from 7 ft
2:54.0,Defensive rebound by T. Sefolosha,,36-34,,
2:48.0,J. Ingles makes 2-pt shot from 2 ft (assist by R. Rubio),2,38-34,,
2:37.0,,,38-34,,Shooting foul by J. Johnson (drawn by K. Towns)
2:37.0,,,38-35,1,K. Towns makes free throw 1 of 2
2:37.0,,,38-35,,K. Towns misses free throw 2 of 2
2:34.0,Defensive rebound by R. Gobert,,38-35,,
2:19.0,R. Gobert misses 2-pt shot at rim,,38-35,,
2:16.0,,,38-35,,Defensive rebound by T. Gibson
2:07.0,,,38-35,,Turnover by J. Teague (lost ball; steal by R. Rubio)
2:01.0,J. Ingles misses 3-pt shot from 25 ft,,38-35,,
1:56.0,,,38-35,,Defensive rebound by T. Gibson
1:53.0,,,38-35,,Shooting foul by T. Sefolosha (drawn by K. Towns)
1:53.0,,,38-36,1,K. Towns makes free throw 1 of 2
1:53.0,,,38-37,1,K. Towns makes free throw 2 of 2
1:39.0,R. Gobert makes 2-pt shot at rim (assist by R. Rubio),2,40-37,,
1:19.0,,,40-39,2,K. Towns makes 2-pt shot from 5 ft
0:57.0,Turnover by J. Johnson (out of bounds lost ball),,40-39,,
0:42.0,,,40-41,2,K. Towns makes 2-pt shot from 11 ft (assist by J. Teague)
0:37.0,R. Gobert makes 2-pt shot at rim (assist by R. Rubio),2,42-41,,
0:30.0,,,42-43,2,J. Teague makes 2-pt shot from 6 ft
0:07.0,R. Gobert misses 2-pt shot from 1 ft,,42-43,,
0:03.0,,,42-43,,Defensive rebound by A. Wiggins
0:00.0,,,42-46,3,A. Wiggins makes 3-pt shot from 31 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,Personal foul by R. Hood (drawn by J. Butler),,42-46,,
11:37.0,,,42-46,,J. Butler misses 2-pt shot from 17 ft
11:34.0,Defensive rebound by R. Gobert,,42-46,,
11:30.0,Shooting foul by J. Teague (drawn by R. Rubio),,42-46,,
11:30.0,R. Rubio makes free throw 1 of 2,1,43-46,,
11:30.0,R. Rubio makes free throw 2 of 2,1,44-46,,
11:18.0,Personal foul by R. Rubio (drawn by J. Teague),,44-46,,
11:10.0,,,44-46,,T. Gibson misses 3-pt shot from 25 ft
11:08.0,Defensive rebound by J. Ingles,,44-46,,
11:04.0,Offensive foul by R. Gobert (drawn by J. Teague),,44-46,,
11:04.0,Turnover by R. Gobert (offensive foul),,44-46,,
10:51.0,Violation by D. Favors (kicked ball),,44-46,,
10:48.0,,,44-46,,Shooting foul by R. Rubio (drawn by J. Teague)
10:48.0,,,44-47,1,J. Teague makes free throw 1 of 2
10:48.0,,,44-48,1,J. Teague makes free throw 2 of 2
10:34.0,R. Hood misses 2-pt shot from 2 ft,,44-48,,
10:31.0,,,44-48,,Defensive rebound by T. Gibson
10:28.0,,,44-48,,J. Teague misses 2-pt shot from 5 ft
10:21.0,Defensive rebound by J. Ingles,,44-48,,
10:10.0,D. Favors misses 2-pt shot from 5 ft,,44-48,,
10:05.0,,,44-48,,Defensive rebound by K. Towns
9:49.0,,,44-48,,K. Towns misses 2-pt shot from 16 ft
9:46.0,Defensive rebound by R. Rubio,,44-48,,
9:37.0,R. Rubio makes 2-pt shot from 17 ft,2,46-48,,
9:29.0,,,46-50,2,J. Teague makes 2-pt shot from 1 ft
9:19.0,R. Rubio misses 2-pt shot at rim,,46-50,,
9:17.0,,,46-50,,Defensive rebound by J. Butler
9:17.0,E. Udoh enters the game for R. Gobert,,46-50,,
9:08.0,Turnover by D. Favors (bad pass; steal by T. Gibson),,46-50,,
8:55.0,,,46-50,,J. Butler misses 2-pt shot from 14 ft
8:55.0,Defensive rebound by Team,,46-50,,
8:36.0,R. Rubio misses 3-pt shot from 25 ft,,46-50,,
8:30.0,Offensive rebound by E. Udoh,,46-50,,
8:23.0,Turnover by J. Ingles (bad pass; steal by J. Butler),,46-50,,
8:17.0,,,46-50,,Offensive charge foul by J. Butler (drawn by R. Rubio)
8:17.0,,,46-50,,Turnover by J. Butler (offensive foul)
7:59.0,R. Hood makes 3-pt shot from 23 ft (assist by R. Rubio),3,49-50,,
7:44.0,,,49-50,,Turnover by J. Teague (lost ball; steal by J. Ingles)
7:36.0,R. Hood makes 3-pt shot from 23 ft (assist by R. Rubio),3,52-50,,
7:21.0,,,52-50,,K. Towns misses 2-pt shot from 16 ft
7:17.0,Defensive rebound by R. Rubio,,52-50,,
7:08.0,R. Hood makes 3-pt shot from 24 ft (assist by D. Favors),3,55-50,,
6:59.0,,,55-50,,Minnesota full timeout
6:58.0,Personal foul by E. Udoh (drawn by K. Towns),,55-50,,
6:47.0,,,55-52,2,K. Towns makes 2-pt shot at rim (assist by T. Gibson)
6:33.0,R. Hood misses 3-pt shot from 25 ft,,55-52,,
6:28.0,,,55-52,,Defensive rebound by J. Butler
6:23.0,,,55-52,,Turnover by A. Wiggins (bad pass; steal by J. Ingles)
6:17.0,D. Favors makes 2-pt shot from 1 ft (assist by J. Ingles),2,57-52,,
6:00.0,,,57-52,,Shooting foul by D. Favors (drawn by A. Wiggins)
6:00.0,,,57-53,1,A. Wiggins makes free throw 1 of 2
6:00.0,,,57-54,1,A. Wiggins makes free throw 2 of 2
5:47.0,D. Favors misses 2-pt shot from 19 ft,,57-54,,
5:44.0,,,57-54,,Defensive rebound by K. Towns
5:44.0,Personal foul by R. Rubio (drawn by K. Towns),,57-54,,
5:44.0,,,57-55,1,K. Towns makes free throw 1 of 2
5:44.0,R. Gobert enters the game for R. Rubio,,57-55,,
5:44.0,D. Mitchell enters the game for E. Udoh,,57-55,,
5:44.0,,,57-56,1,K. Towns makes free throw 2 of 2
5:21.0,R. Hood makes 2-pt shot from 20 ft,2,59-56,,
5:04.0,,,59-56,,A. Wiggins misses 3-pt shot from 25 ft
5:01.0,Defensive rebound by D. Favors,,59-56,,
4:56.0,J. Ingles makes 3-pt shot from 25 ft,3,62-56,,
4:47.0,,,62-56,,Shooting foul by D. Mitchell (drawn by J. Teague)
4:47.0,,,62-57,1,J. Teague makes free throw 1 of 2
4:47.0,,,62-57,,G. Dieng enters the game for K. Towns
4:47.0,J. Johnson enters the game for R. Hood,,62-57,,
4:47.0,T. Sefolosha enters the game for D. Favors,,62-57,,
4:47.0,,,62-58,1,J. Teague makes free throw 2 of 2
4:30.0,,,62-58,,Personal foul by G. Dieng (drawn by R. Gobert)
4:18.0,J. Johnson misses 2-pt shot from 18 ft,,62-58,,
4:15.0,,,62-58,,Defensive rebound by J. Butler
4:00.0,,,62-58,,A. Wiggins misses 2-pt shot from 20 ft
3:55.0,,,62-58,,Offensive rebound by G. Dieng
3:49.0,,,62-58,,J. Teague misses 3-pt shot from 24 ft
3:46.0,,,62-58,,Offensive rebound by A. Wiggins
3:44.0,,,62-58,,J. Butler misses 3-pt shot from 24 ft
3:41.0,,,62-58,,Offensive rebound by Team
3:29.0,,,62-58,,A. Wiggins misses 2-pt shot from 10 ft
3:29.0,Defensive rebound by Team,,62-58,,
3:29.0,,,62-58,,Loose ball foul by T. Gibson (drawn by R. Gobert)
3:29.0,Utah full timeout,,62-58,,
3:29.0,,,62-58,,N. Bjelica enters the game for T. Gibson
3:29.0,A. Burks enters the game for J. Ingles,,62-58,,
3:10.0,T. Sefolosha makes 3-pt shot from 23 ft (assist by D. Mitchell),3,65-58,,
2:57.0,,,65-58,,A. Wiggins misses 2-pt shot at rim (block by D. Mitchell)
2:55.0,,,65-58,,Offensive rebound by G. Dieng
2:54.0,,,65-60,2,G. Dieng makes 2-pt shot from 1 ft
2:34.0,D. Mitchell misses 2-pt shot from 1 ft,,65-60,,
2:30.0,,,65-60,,Defensive rebound by N. Bjelica
2:16.0,,,65-63,3,A. Wiggins makes 3-pt shot from 25 ft (assist by J. Teague)
2:00.0,Offensive charge foul by A. Burks (drawn by G. Dieng),,65-63,,
2:00.0,Turnover by A. Burks (offensive foul),,65-63,,
1:38.0,,,65-65,2,J. Butler makes 2-pt shot from 8 ft
1:38.0,,,65-65,,Shooting foul by A. Burks (drawn by J. Butler)
1:38.0,,,65-65,,T. Jones enters the game for J. Teague
1:38.0,,,65-66,1,J. Butler makes free throw 1 of 1
1:21.0,Turnover by T. Sefolosha (lost ball; steal by J. Butler),,65-66,,
1:15.0,,,65-68,2,J. Butler makes 2-pt shot from 1 ft (assist by T. Jones)
0:57.0,,,65-68,,J. Crawford enters the game for J. Butler
0:57.0,R. Hood enters the game for A. Burks,,65-68,,
0:54.0,Turnover by J. Johnson (bad pass),,65-68,,
0:37.0,,,65-70,2,A. Wiggins makes 2-pt shot at rim (assist by G. Dieng)
0:28.0,D. Mitchell misses 3-pt shot from 25 ft,,65-70,,
0:25.0,,,65-70,,Defensive rebound by N. Bjelica
0:07.0,,,65-70,,A. Wiggins misses 2-pt shot from 20 ft
0:03.0,Defensive rebound by T. Sefolosha,,65-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,T. Sefolosha makes 2-pt shot at rim,2,67-70,,
11:15.0,,,67-70,,G. Dieng misses 2-pt shot from 1 ft (block by D. Mitchell)
11:10.0,Defensive rebound by E. Udoh,,67-70,,
11:06.0,Shooting foul by N. Bjelica (drawn by R. Hood),,67-70,,
11:06.0,R. Hood makes free throw 1 of 2,1,68-70,,
11:06.0,R. Hood makes free throw 2 of 2,1,69-70,,
10:52.0,,,69-70,,Shooting foul by T. Sefolosha (drawn by G. Dieng)
10:52.0,,,69-71,1,G. Dieng makes free throw 1 of 3
10:52.0,,,69-71,,G. Dieng misses free throw 2 of 3
10:52.0,,,69-71,,Offensive rebound by Team
10:52.0,,,69-71,,G. Dieng misses free throw 3 of 3
10:48.0,Defensive rebound by T. Sefolosha,,69-71,,
10:38.0,R. Hood makes 2-pt shot from 20 ft,2,71-71,,
10:21.0,,,71-74,3,N. Bjelica makes 3-pt shot from 25 ft (assist by T. Jones)
10:05.0,R. Hood misses 3-pt shot from 25 ft,,71-74,,
9:59.0,,,71-74,,Defensive rebound by G. Dieng
9:54.0,Utah full timeout,,71-74,,
9:54.0,,,71-74,,K. Towns enters the game for G. Dieng
9:54.0,J. Ingles enters the game for J. Johnson,,71-74,,
9:54.0,R. Rubio enters the game for T. Sefolosha,,71-74,,
9:54.0,D. Favors enters the game for D. Mitchell,,71-74,,
9:53.0,,,71-76,2,J. Crawford makes 2-pt shot from 2 ft
9:36.0,R. Hood makes 2-pt shot from 21 ft,2,73-76,,
9:12.0,,,73-78,2,J. Crawford makes 2-pt shot from 20 ft
8:59.0,,,73-78,,Personal foul by S. Muhammad (drawn by R. Hood)
8:59.0,D. Mitchell enters the game for R. Hood,,73-78,,
8:49.0,D. Favors makes 2-pt shot from 20 ft (assist by R. Rubio),2,75-78,,
8:29.0,,,75-80,2,N. Bjelica makes 2-pt shot from 9 ft
8:18.0,D. Favors makes 2-pt shot from 20 ft (assist by R. Rubio),2,77-80,,
8:01.0,,,77-83,3,J. Crawford makes 3-pt shot from 24 ft
7:47.0,R. Rubio misses 2-pt shot from 6 ft (block by K. Towns),,77-83,,
7:42.0,,,77-83,,Defensive rebound by T. Jones
7:37.0,,,77-83,,Technical foul by T. Jones
7:37.0,R. Rubio makes technical free throw,1,78-83,,
7:37.0,Violation by D. Mitchell (kicked ball),,78-83,,
7:37.0,R. Hood enters the game for E. Udoh,,78-83,,
7:37.0,R. Gobert enters the game for D. Mitchell,,78-83,,
7:32.0,,,78-85,2,J. Crawford makes 2-pt shot from 12 ft (assist by T. Jones)
7:12.0,D. Favors misses 2-pt shot from 21 ft,,78-85,,
7:11.0,Offensive rebound by Team,,78-85,,
7:11.0,,,78-85,,J. Teague enters the game for T. Jones
7:11.0,,,78-85,,J. Butler enters the game for S. Muhammad
7:04.0,Turnover by R. Rubio (bad pass; steal by J. Teague),,78-85,,
7:00.0,,,78-85,,Shooting foul by J. Ingles (drawn by J. Crawford)
7:00.0,,,78-86,1,J. Crawford makes free throw 1 of 2
7:00.0,,,78-87,1,J. Crawford makes free throw 2 of 2
6:46.0,Turnover by R. Rubio (lost ball; steal by J. Crawford),,78-87,,
6:41.0,,,78-87,,J. Crawford misses 2-pt shot from 18 ft
6:34.0,,,78-87,,Offensive rebound by N. Bjelica
6:34.0,,,78-87,,N. Bjelica misses 2-pt shot at rim
6:34.0,Defensive rebound by D. Favors,,78-87,,
6:23.0,D. Favors makes 2-pt shot at rim (assist by R. Hood),2,80-87,,
6:08.0,Personal foul by R. Hood (drawn by J. Crawford),,80-87,,
6:08.0,T. Sefolosha enters the game for R. Hood,,80-87,,
6:08.0,Utah full timeout,,80-87,,
6:01.0,,,80-89,2,K. Towns makes 2-pt shot at rim (assist by J. Crawford)
5:46.0,Turnover by R. Rubio (step out of bounds),,80-89,,
5:46.0,,,80-89,,A. Wiggins enters the game for N. Bjelica
5:33.0,,,80-89,,Shooting foul by R. Gobert (drawn by K. Towns)
5:33.0,,,80-90,1,K. Towns makes free throw 1 of 2
5:33.0,,,80-90,,K. Towns misses free throw 2 of 2
5:30.0,Defensive rebound by J. Ingles,,80-90,,
5:19.0,D. Favors makes 2-pt shot from 20 ft (assist by J. Ingles),2,82-90,,
4:58.0,,,82-92,2,J. Teague makes 2-pt shot from 2 ft
4:41.0,Turnover by D. Favors (traveling),,82-92,,
4:30.0,,,82-92,,J. Butler misses 2-pt shot from 12 ft
4:28.0,,,82-92,,Offensive rebound by Team
4:21.0,,,82-92,,Turnover by A. Wiggins (bad pass)
4:04.0,D. Favors makes 2-pt shot at rim,2,84-92,,
3:41.0,,,84-92,,J. Butler misses 2-pt shot from 19 ft
3:37.0,Defensive rebound by R. Gobert,,84-92,,
3:25.0,J. Ingles makes 3-pt shot from 22 ft (assist by R. Rubio),3,87-92,,
3:16.0,,,87-92,,Minnesota full timeout
3:08.0,,,87-92,,A. Wiggins misses 2-pt shot from 1 ft (block by D. Favors)
3:04.0,Defensive rebound by R. Gobert,,87-92,,
3:01.0,R. Rubio makes 3-pt shot from 26 ft,3,90-92,,
2:39.0,,,90-95,3,J. Crawford makes 3-pt shot from 26 ft
2:16.0,Turnover by D. Favors (out of bounds lost ball),,90-95,,
1:59.0,,,90-95,,K. Towns misses 2-pt shot from 2 ft
1:57.0,Defensive rebound by R. Rubio,,90-95,,
1:57.0,,,90-95,,Personal foul by J. Crawford (drawn by R. Rubio)
1:57.0,R. Rubio makes free throw 2 of 2,1,91-95,,
1:57.0,R. Rubio makes free throw 1 of 2,1,92-95,,
1:57.0,,,92-95,,T. Gibson enters the game for J. Crawford
1:39.0,D. Favors misses 3-pt shot from 26 ft,,92-95,,
1:33.0,,,92-95,,Defensive rebound by K. Towns
1:14.0,,,92-95,,Turnover by Team (shot clock)
1:03.0,Shooting foul by J. Teague (drawn by R. Rubio),,92-95,,
1:03.0,R. Rubio makes free throw 1 of 3,1,93-95,,
1:03.0,R. Rubio makes free throw 2 of 3,1,94-95,,
1:03.0,R. Rubio makes free throw 3 of 3,1,95-95,,
1:03.0,,,95-95,,Minnesota full timeout
1:03.0,,,95-95,,J. Crawford enters the game for T. Gibson
0:55.0,,,95-95,,Turnover by J. Crawford (bad pass; steal by R. Rubio)
0:55.0,,,95-95,,Personal foul by K. Towns (drawn by R. Rubio)
0:55.0,R. Rubio makes free throw 1 of 2,1,96-95,,
0:55.0,R. Rubio misses free throw 2 of 2,,96-95,,
