time,Brooklyn,pts.away,score,pts.home,Milwaukee
8:20.0,A. Crabbe makes 2-pt shot from 4 ft (assist by D. Russell),2,12-5,,
8:20.0,,,12-5,,Milwaukee full timeout
8:05.0,,,12-7,2,J. Henson makes 2-pt shot from 1 ft (assist by E. Bledsoe)
7:41.0,D. Russell makes 2-pt shot from 4 ft,2,14-7,,
7:21.0,,,14-10,3,E. Bledsoe makes 3-pt shot from 26 ft
7:11.0,Turnover by D. Russell (bad pass),,14-10,,
6:57.0,,,14-13,3,K. Middleton makes 3-pt shot from 25 ft
6:44.0,D. Russell makes 3-pt shot from 27 ft,3,17-13,,
6:25.0,,,17-13,,G. Antetokounmpo misses 2-pt shot from 3 ft (block by R. Hollis-Jefferson)
6:21.0,Defensive rebound by A. Crabbe,,17-13,,
6:17.0,Turnover by A. Crabbe (bad pass; steal by G. Antetokounmpo),,17-13,,
6:06.0,,,17-13,,G. Antetokounmpo misses 2-pt shot from 1 ft (block by A. Crabbe)
6:02.0,,,17-13,,Offensive rebound by J. Henson
6:02.0,,,17-15,2,J. Henson makes 2-pt shot at rim
5:40.0,D. Russell misses 3-pt shot from 26 ft,,17-15,,
5:37.0,,,17-15,,Defensive rebound by T. Snell
5:31.0,,,17-15,,E. Bledsoe misses 3-pt shot from 27 ft
5:31.0,Defensive rebound by J. Allen,,17-15,,
5:31.0,Brooklyn full timeout,,17-15,,
5:31.0,,,17-15,,J. Parker enters the game for G. Antetokounmpo
5:31.0,S. Dinwiddie enters the game for J. Harris,,17-15,,
5:15.0,Turnover by D. Russell (bad pass; steal by K. Middleton),,17-15,,
5:09.0,,,17-15,,K. Middleton misses 2-pt shot from 2 ft (block by A. Crabbe)
5:04.0,,,17-15,,Offensive rebound by J. Parker
5:04.0,,,17-15,,J. Parker misses 2-pt shot from 3 ft
5:04.0,,,17-15,,Offensive rebound by J. Parker
5:03.0,,,17-15,,J. Parker misses 2-pt shot from 3 ft (block by J. Allen)
5:03.0,,,17-15,,Offensive rebound by J. Parker
4:56.0,,,17-15,,J. Parker misses 2-pt shot from 14 ft
4:53.0,Defensive rebound by R. Hollis-Jefferson,,17-15,,
4:50.0,Offensive charge foul by R. Hollis-Jefferson (drawn by K. Middleton),,17-15,,
4:50.0,Turnover by R. Hollis-Jefferson (offensive foul),,17-15,,
4:50.0,,,17-15,,T. Zeller enters the game for J. Henson
4:50.0,Q. Acy enters the game for R. Hollis-Jefferson,,17-15,,
4:50.0,C. LeVert enters the game for A. Crabbe,,17-15,,
4:37.0,,,17-15,,T. Zeller misses 2-pt shot from 1 ft (block by J. Allen)
4:34.0,Defensive rebound by Q. Acy,,17-15,,
4:28.0,,,17-15,,Personal foul by T. Snell (drawn by D. Russell)
4:21.0,J. Allen misses 2-pt shot from 2 ft,,17-15,,
4:17.0,,,17-15,,Defensive rebound by T. Zeller
4:13.0,,,17-17,2,E. Bledsoe makes 2-pt shot from 1 ft
3:49.0,D. Russell makes 3-pt shot from 26 ft,3,20-17,,
3:35.0,,,20-17,,J. Parker misses 3-pt shot from 26 ft
3:32.0,Defensive rebound by J. Allen,,20-17,,
3:23.0,D. Russell makes 3-pt shot from 27 ft,3,23-17,,
2:57.0,,,23-19,2,K. Middleton makes 2-pt shot from 8 ft
2:57.0,,,23-19,,Shooting foul by C. LeVert (drawn by K. Middleton)
2:57.0,,,23-19,,J. Terry enters the game for T. Snell
2:57.0,T. Mozgov enters the game for D. Russell,,23-19,,
2:57.0,J. Harris enters the game for J. Allen,,23-19,,
2:57.0,,,23-20,1,K. Middleton makes free throw 1 of 1
2:43.0,Turnover by T. Mozgov (bad pass),,23-20,,
2:34.0,,,23-20,,Shooting foul by T. Mozgov (drawn by E. Bledsoe)
2:34.0,,,23-21,1,E. Bledsoe makes free throw 1 of 2
2:34.0,,,23-22,1,E. Bledsoe makes free throw 2 of 2
2:11.0,Q. Acy makes 3-pt shot from 22 ft (assist by J. Harris),3,26-22,,
1:56.0,,,26-24,2,K. Middleton makes 2-pt shot from 11 ft
1:30.0,J. Harris makes 2-pt shot from 1 ft (assist by Q. Acy),2,28-24,,
1:17.0,,,28-24,,Turnover by J. Parker (bad pass)
1:17.0,,,28-24,,G. Antetokounmpo enters the game for E. Bledsoe
1:17.0,,,28-24,,S. Muhammad enters the game for K. Middleton
1:17.0,R. Hollis-Jefferson enters the game for T. Mozgov,,28-24,,
0:54.0,R. Hollis-Jefferson misses 2-pt shot from 11 ft,,28-24,,
0:52.0,,,28-24,,Defensive rebound by G. Antetokounmpo
0:45.0,,,28-24,,S. Muhammad misses 2-pt shot from 1 ft
0:42.0,Defensive rebound by Q. Acy,,28-24,,
0:33.0,Shooting foul by T. Zeller (drawn by R. Hollis-Jefferson),,28-24,,
0:33.0,R. Hollis-Jefferson makes free throw 1 of 2,1,29-24,,
0:33.0,D. Russell enters the game for J. Harris,,29-24,,
0:33.0,R. Hollis-Jefferson makes free throw 2 of 2,1,30-24,,
0:13.0,,,30-24,,Turnover by G. Antetokounmpo (traveling)
0:13.0,A. Crabbe enters the game for R. Hollis-Jefferson,,30-24,,
0:02.0,D. Russell misses 3-pt shot from 29 ft,,30-24,,
0:00.0,,,30-24,,Defensive rebound by G. Antetokounmpo
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Turnover by R. Hollis-Jefferson (bad pass; steal by G. Antetokounmpo),,30-24,,
11:43.0,,,30-24,,J. Terry misses 3-pt shot from 26 ft
11:40.0,Defensive rebound by R. Hollis-Jefferson,,30-24,,
11:34.0,Turnover by R. Hollis-Jefferson (bad pass; steal by J. Terry),,30-24,,
11:29.0,,,30-26,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by J. Terry)
11:03.0,S. Dinwiddie misses 3-pt shot from 30 ft,,30-26,,
11:00.0,,,30-26,,Defensive rebound by J. Parker
10:55.0,,,30-26,,S. Muhammad misses 2-pt shot from 7 ft
10:52.0,Defensive rebound by R. Hollis-Jefferson,,30-26,,
10:38.0,J. Harris makes 3-pt shot from 22 ft (assist by S. Dinwiddie),3,33-26,,
10:17.0,,,33-28,2,T. Zeller makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
10:03.0,Q. Acy misses 2-pt shot at rim (block by G. Antetokounmpo),,33-28,,
10:03.0,Offensive rebound by Team,,33-28,,
9:54.0,Q. Acy misses 3-pt shot from 26 ft,,33-28,,
9:51.0,,,33-28,,Defensive rebound by J. Parker
9:42.0,,,33-28,,G. Antetokounmpo misses 3-pt shot from 27 ft
9:42.0,,,33-28,,Offensive rebound by J. Parker
9:42.0,,,33-28,,J. Parker misses 2-pt shot from 2 ft (block by C. LeVert)
9:42.0,,,33-28,,Offensive rebound by Team
9:29.0,,,33-28,,J. Terry misses 2-pt shot from 14 ft
9:24.0,,,33-28,,Offensive rebound by S. Muhammad
9:24.0,,,33-28,,S. Muhammad misses 2-pt shot at rim
9:24.0,Defensive rebound by J. Harris,,33-28,,
9:02.0,R. Hollis-Jefferson makes 2-pt shot at rim (assist by S. Dinwiddie),2,35-28,,
8:50.0,Personal foul by J. Harris (drawn by S. Muhammad),,35-28,,
8:50.0,A. Crabbe enters the game for Q. Acy,,35-28,,
8:50.0,J. Allen enters the game for J. Harris,,35-28,,
8:41.0,,,35-30,2,G. Antetokounmpo makes 2-pt shot from 19 ft
8:17.0,A. Crabbe misses 3-pt shot from 27 ft,,35-30,,
8:14.0,,,35-30,,Defensive rebound by J. Terry
8:13.0,,,35-32,2,S. Muhammad makes 2-pt shot at rim (assist by G. Antetokounmpo)
8:13.0,Brooklyn full timeout,,35-32,,
8:03.0,Turnover by C. LeVert (bad pass; steal by G. Antetokounmpo),,35-32,,
7:46.0,,,35-32,,G. Antetokounmpo misses 2-pt shot from 5 ft
7:43.0,Defensive rebound by J. Allen,,35-32,,
7:26.0,C. LeVert misses 2-pt shot from 14 ft,,35-32,,
7:23.0,,,35-32,,Defensive rebound by G. Antetokounmpo
7:20.0,,,35-34,2,J. Parker makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
7:08.0,C. LeVert misses 3-pt shot from 27 ft,,35-34,,
7:08.0,,,35-34,,Defensive rebound by T. Zeller
6:47.0,,,35-36,2,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Terry)
6:31.0,R. Hollis-Jefferson misses 2-pt shot from 2 ft,,35-36,,
6:28.0,Offensive rebound by R. Hollis-Jefferson,,35-36,,
6:26.0,A. Crabbe misses 3-pt shot from 27 ft,,35-36,,
6:26.0,,,35-36,,Defensive rebound by G. Antetokounmpo
6:20.0,,,35-36,,J. Parker misses 2-pt shot from 15 ft
6:18.0,Defensive rebound by A. Crabbe,,35-36,,
6:10.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by S. Dinwiddie),2,37-36,,
5:54.0,,,37-36,,J. Parker misses 3-pt shot from 26 ft
5:51.0,Defensive rebound by J. Allen,,37-36,,
5:40.0,Offensive charge foul by J. Allen (drawn by S. Muhammad),,37-36,,
5:40.0,Turnover by J. Allen (offensive foul),,37-36,,
5:40.0,,,37-36,,E. Bledsoe enters the game for J. Terry
5:40.0,,,37-36,,K. Middleton enters the game for G. Antetokounmpo
5:40.0,D. Russell enters the game for S. Dinwiddie,,37-36,,
5:40.0,N. Stauskas enters the game for C. LeVert,,37-36,,
5:32.0,,,37-36,,J. Parker misses 2-pt shot from 1 ft (block by R. Hollis-Jefferson)
5:32.0,Defensive rebound by Team,,37-36,,
5:15.0,A. Crabbe misses 3-pt shot from 28 ft,,37-36,,
5:12.0,,,37-36,,Defensive rebound by K. Middleton
5:04.0,,,37-36,,Shooting foul by N. Stauskas (drawn by S. Muhammad)
5:04.0,,,37-36,,S. Muhammad misses free throw 1 of 2
5:04.0,,,37-36,,Offensive rebound by Team
5:04.0,,,37-36,,J. Henson enters the game for T. Zeller
5:04.0,Q. Acy enters the game for R. Hollis-Jefferson,,37-36,,
5:04.0,,,37-37,1,S. Muhammad makes free throw 2 of 2
4:48.0,D. Russell makes 2-pt shot from 17 ft,2,39-37,,
4:48.0,Shooting foul by E. Bledsoe (drawn by D. Russell),,39-37,,
4:48.0,D. Russell misses free throw 1 of 1,,39-37,,
4:48.0,,,39-37,,Defensive rebound by J. Henson
4:35.0,,,39-37,,J. Henson misses 2-pt shot from 7 ft
4:35.0,,,39-37,,Offensive rebound by S. Muhammad
4:35.0,,,39-37,,Shooting foul by N. Stauskas (drawn by S. Muhammad)
4:35.0,,,39-38,1,S. Muhammad makes free throw 1 of 2
4:35.0,,,39-39,1,S. Muhammad makes free throw 2 of 2
4:21.0,,,39-39,,G. Antetokounmpo enters the game for J. Parker
4:21.0,,,39-39,,T. Snell enters the game for S. Muhammad
4:21.0,C. LeVert enters the game for N. Stauskas,,39-39,,
4:21.0,R. Hollis-Jefferson enters the game for Q. Acy,,39-39,,
4:12.0,J. Allen makes 2-pt shot from 6 ft (assist by D. Russell),2,41-39,,
3:57.0,,,41-39,,Offensive foul by E. Bledsoe (drawn by R. Hollis-Jefferson)
3:57.0,,,41-39,,Turnover by E. Bledsoe (offensive foul)
3:36.0,J. Allen makes 2-pt shot at rim (assist by C. LeVert),2,43-39,,
3:26.0,,,43-39,,Turnover by E. Bledsoe (bad pass)
3:01.0,D. Russell makes 3-pt shot from 24 ft (assist by A. Crabbe),3,46-39,,
3:01.0,,,46-39,,Milwaukee full timeout
3:01.0,Q. Acy enters the game for J. Allen,,46-39,,
2:50.0,,,46-41,2,J. Henson makes 2-pt shot from 1 ft (assist by E. Bledsoe)
2:39.0,Q. Acy misses 3-pt shot from 26 ft,,46-41,,
2:37.0,,,46-41,,Defensive rebound by E. Bledsoe
2:27.0,,,46-41,,Turnover by K. Middleton (bad pass; steal by C. LeVert)
2:22.0,C. LeVert makes 2-pt shot from 1 ft (assist by R. Hollis-Jefferson),2,48-41,,
1:58.0,,,48-41,,T. Snell misses 3-pt shot from 25 ft
1:56.0,Defensive rebound by D. Russell,,48-41,,
1:51.0,Shooting foul by K. Middleton (drawn by C. LeVert),,48-41,,
1:51.0,C. LeVert misses free throw 1 of 2,,48-41,,
1:51.0,Offensive rebound by Team,,48-41,,
1:51.0,C. LeVert makes free throw 2 of 2,1,49-41,,
1:32.0,,,49-43,2,E. Bledsoe makes 2-pt shot from 8 ft
1:21.0,Q. Acy makes 3-pt shot from 27 ft (assist by D. Russell),3,52-43,,
1:02.0,,,52-43,,K. Middleton misses 2-pt shot from 12 ft
1:00.0,Defensive rebound by R. Hollis-Jefferson,,52-43,,
0:53.0,D. Russell misses 3-pt shot from 26 ft,,52-43,,
0:50.0,,,52-43,,Defensive rebound by E. Bledsoe
0:39.0,,,52-43,,E. Bledsoe misses 2-pt shot from 4 ft
0:37.0,Defensive rebound by A. Crabbe,,52-43,,
0:35.0,Turnover by C. LeVert (traveling),,52-43,,
0:28.0,,,52-45,2,E. Bledsoe makes 2-pt shot from 15 ft
0:28.0,Turnover by Team (shot clock),,52-45,,
0:00.0,,,52-45,,G. Antetokounmpo misses 3-pt shot from 28 ft
0:00.0,,,52-45,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,Turnover by D. Russell (lost ball; steal by E. Bledsoe),,52-45,,
11:41.0,Personal foul by D. Russell (drawn by G. Antetokounmpo),,52-45,,
11:30.0,,,52-47,2,J. Henson makes 2-pt shot from 2 ft (assist by K. Middleton)
11:21.0,A. Crabbe makes 3-pt shot from 27 ft (assist by J. Harris),3,55-47,,
11:06.0,,,55-49,2,K. Middleton makes 2-pt shot from 13 ft (assist by J. Henson)
10:48.0,J. Allen misses 2-pt shot from 7 ft,,55-49,,
10:45.0,,,55-49,,Defensive rebound by G. Antetokounmpo
10:43.0,,,55-49,,Shooting foul by J. Allen (drawn by G. Antetokounmpo)
10:43.0,,,55-50,1,G. Antetokounmpo makes free throw 1 of 2
10:43.0,,,55-51,1,G. Antetokounmpo makes free throw 2 of 2
10:33.0,Turnover by A. Crabbe (bad pass; steal by E. Bledsoe),,55-51,,
10:28.0,,,55-51,,G. Antetokounmpo misses 2-pt shot from 1 ft
10:25.0,Defensive rebound by J. Harris,,55-51,,
10:19.0,D. Russell makes 2-pt shot at rim (assist by J. Harris),2,57-51,,
10:12.0,,,57-51,,K. Middleton misses 2-pt shot from 3 ft
10:09.0,Defensive rebound by J. Allen,,57-51,,
9:56.0,D. Russell makes 2-pt shot from 10 ft,2,59-51,,
9:49.0,Personal foul by D. Russell (drawn by E. Bledsoe),,59-51,,
9:36.0,,,59-51,,Shooting foul by R. Hollis-Jefferson (drawn by J. Henson)
9:36.0,,,59-51,,J. Henson misses free throw 1 of 2
9:36.0,,,59-51,,Offensive rebound by Team
9:36.0,,,59-51,,J. Henson misses free throw 2 of 2
9:33.0,Defensive rebound by R. Hollis-Jefferson,,59-51,,
9:21.0,A. Crabbe makes 2-pt shot from 18 ft (assist by R. Hollis-Jefferson),2,61-51,,
9:20.0,,,61-51,,Milwaukee full timeout
9:20.0,,,61-51,,S. Brown enters the game for T. Snell
9:05.0,,,61-51,,G. Antetokounmpo misses 2-pt shot from 1 ft (block by R. Hollis-Jefferson)
9:05.0,,,61-51,,Offensive rebound by Team
9:00.0,,,61-53,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by K. Middleton)
8:40.0,J. Harris makes 2-pt shot from 1 ft,2,63-53,,
8:29.0,,,63-55,2,J. Henson makes 2-pt shot from 3 ft (assist by E. Bledsoe)
8:23.0,Turnover by D. Russell (bad pass; steal by G. Antetokounmpo),,63-55,,
8:13.0,,,63-55,,E. Bledsoe misses 2-pt shot from 2 ft
8:08.0,,,63-55,,Offensive rebound by J. Henson
8:08.0,,,63-55,,J. Henson misses 2-pt shot at rim
8:08.0,Defensive rebound by A. Crabbe,,63-55,,
7:55.0,,,63-55,,Personal foul by K. Middleton (drawn by J. Harris)
7:44.0,A. Crabbe makes 3-pt shot from 27 ft,3,66-55,,
7:44.0,Shooting foul by S. Brown (drawn by A. Crabbe),,66-55,,
7:44.0,A. Crabbe misses free throw 1 of 1,,66-55,,
7:44.0,,,66-55,,Defensive rebound by G. Antetokounmpo
7:31.0,,,66-55,,Shooting foul by D. Russell (drawn by G. Antetokounmpo)
7:31.0,,,66-56,1,G. Antetokounmpo makes free throw 1 of 2
7:31.0,,,66-57,1,G. Antetokounmpo makes free throw 2 of 2
7:11.0,R. Hollis-Jefferson makes 2-pt shot from 15 ft,2,68-57,,
7:01.0,S. Dinwiddie enters the game for J. Harris,,68-57,,
6:53.0,,,68-60,3,K. Middleton makes 3-pt shot from 22 ft (assist by E. Bledsoe)
6:33.0,,,68-60,,Personal foul by J. Henson (drawn by J. Allen)
6:26.0,J. Allen misses 2-pt shot from 2 ft,,68-60,,
6:21.0,,,68-60,,Defensive rebound by G. Antetokounmpo
6:20.0,Personal foul by R. Hollis-Jefferson (drawn by E. Bledsoe),,68-60,,
6:20.0,,,68-61,1,E. Bledsoe makes free throw 1 of 2
6:20.0,,,68-61,,J. Parker enters the game for G. Antetokounmpo
6:20.0,Q. Acy enters the game for R. Hollis-Jefferson,,68-61,,
6:20.0,,,68-62,1,E. Bledsoe makes free throw 2 of 2
6:07.0,A. Crabbe misses 2-pt shot from 4 ft (block by J. Henson),,68-62,,
6:03.0,,,68-62,,Defensive rebound by S. Brown
5:49.0,,,68-62,,J. Parker misses 2-pt shot from 15 ft
5:45.0,Defensive rebound by S. Dinwiddie,,68-62,,
5:42.0,A. Crabbe misses 3-pt shot from 25 ft,,68-62,,
5:40.0,,,68-62,,Defensive rebound by J. Henson
5:24.0,,,68-62,,J. Parker misses 3-pt shot from 26 ft
5:22.0,Defensive rebound by S. Dinwiddie,,68-62,,
5:20.0,Brooklyn full timeout,,68-62,,
5:20.0,C. LeVert enters the game for A. Crabbe,,68-62,,
5:14.0,Turnover by D. Russell (bad pass; steal by E. Bledsoe),,68-62,,
5:09.0,,,68-64,2,E. Bledsoe makes 2-pt shot from 1 ft
4:42.0,S. Dinwiddie misses 3-pt shot from 29 ft,,68-64,,
4:39.0,,,68-64,,Defensive rebound by J. Parker
4:30.0,,,68-66,2,J. Parker makes 2-pt shot from 1 ft (assist by E. Bledsoe)
4:09.0,C. LeVert misses 2-pt shot from 2 ft,,68-66,,
4:07.0,,,68-66,,Defensive rebound by K. Middleton
4:00.0,,,68-68,2,J. Henson makes 2-pt shot from 3 ft (assist by K. Middleton)
3:35.0,,,68-68,,Personal foul by J. Parker (drawn by Q. Acy)
3:35.0,,,68-68,,T. Zeller enters the game for J. Henson
3:35.0,J. Harris enters the game for D. Russell,,68-68,,
3:30.0,C. LeVert makes 3-pt shot from 25 ft (assist by J. Allen),3,71-68,,
3:13.0,,,71-68,,Shooting foul by C. LeVert (drawn by K. Middleton)
3:13.0,,,71-69,1,K. Middleton makes free throw 1 of 2
3:13.0,T. Mozgov enters the game for J. Allen,,71-69,,
3:13.0,,,71-70,1,K. Middleton makes free throw 2 of 2
2:56.0,Turnover by S. Dinwiddie (bad pass; steal by E. Bledsoe),,71-70,,
2:48.0,,,71-72,2,T. Zeller makes 2-pt shot from 2 ft (assist by J. Parker)
2:36.0,C. LeVert misses 2-pt shot from 15 ft,,71-72,,
2:34.0,,,71-72,,Defensive rebound by S. Brown
2:23.0,,,71-75,3,E. Bledsoe makes 3-pt shot from 23 ft (assist by J. Parker)
2:22.0,Brooklyn full timeout,,71-75,,
2:12.0,,,71-75,,Personal foul by S. Brown (drawn by T. Mozgov)
2:12.0,T. Mozgov makes free throw 1 of 2,1,72-75,,
2:12.0,T. Mozgov makes free throw 2 of 2,1,73-75,,
1:55.0,,,73-75,,K. Middleton misses 2-pt shot from 19 ft
1:53.0,Defensive rebound by J. Harris,,73-75,,
1:43.0,T. Mozgov makes 2-pt shot from 1 ft (assist by J. Harris),2,75-75,,
1:21.0,,,75-77,2,K. Middleton makes 2-pt shot from 6 ft
1:03.0,C. LeVert makes 3-pt shot from 26 ft (assist by S. Dinwiddie),3,78-77,,
0:50.0,,,78-77,,S. Brown misses 3-pt shot from 25 ft
0:47.0,Defensive rebound by Q. Acy,,78-77,,
0:42.0,S. Dinwiddie makes 3-pt shot from 25 ft (assist by Q. Acy),3,81-77,,
0:32.0,,,81-77,,Shooting foul by S. Dinwiddie (drawn by K. Middleton)
0:32.0,,,81-78,1,K. Middleton makes free throw 1 of 2
0:32.0,,,81-79,1,K. Middleton makes free throw 2 of 2
0:24.0,T. Mozgov makes 2-pt shot from 2 ft (assist by S. Dinwiddie),2,83-79,,
0:02.0,,,83-81,2,J. Parker makes 2-pt shot from 5 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,83-81,,J. Parker misses 2-pt shot from 13 ft
11:44.0,Defensive rebound by R. Hollis-Jefferson,,83-81,,
11:41.0,C. LeVert makes 2-pt shot from 1 ft (assist by R. Hollis-Jefferson),2,85-81,,
11:24.0,,,85-83,2,T. Zeller makes 2-pt shot from 2 ft (assist by G. Antetokounmpo)
10:56.0,S. Dinwiddie misses 2-pt shot from 3 ft,,85-83,,
10:55.0,Offensive rebound by Team,,85-83,,
10:55.0,Turnover by Team (shot clock),,85-83,,
10:44.0,,,85-85,2,G. Antetokounmpo makes 2-pt shot at rim
10:32.0,J. Harris misses 3-pt shot from 23 ft,,85-85,,
10:29.0,,,85-85,,Defensive rebound by J. Parker
10:18.0,,,85-87,2,J. Parker makes 2-pt shot at rim
10:18.0,,,85-87,,Shooting foul by S. Dinwiddie (drawn by J. Parker)
10:18.0,,,85-88,1,J. Parker makes free throw 1 of 1
10:10.0,,,85-88,,Personal foul by J. Terry (drawn by S. Dinwiddie)
10:07.0,S. Dinwiddie makes 2-pt shot at rim (assist by Q. Acy),2,87-88,,
10:07.0,Shooting foul by J. Terry (drawn by S. Dinwiddie),,87-88,,
10:07.0,S. Dinwiddie makes free throw 1 of 1,1,88-88,,
9:53.0,,,88-88,,Turnover by J. Parker (bad pass; steal by Q. Acy)
9:46.0,C. LeVert makes 2-pt shot from 1 ft (assist by R. Hollis-Jefferson),2,90-88,,
9:35.0,,,90-90,2,S. Brown makes 2-pt shot from 15 ft
9:08.0,Q. Acy makes 3-pt shot from 23 ft (assist by S. Dinwiddie),3,93-90,,
8:55.0,,,93-93,3,S. Brown makes 3-pt shot from 23 ft (assist by G. Antetokounmpo)
8:40.0,,,93-93,,Personal foul by G. Antetokounmpo (drawn by C. LeVert)
8:34.0,C. LeVert misses 2-pt shot from 4 ft,,93-93,,
8:31.0,,,93-93,,Defensive rebound by S. Brown
8:25.0,,,93-93,,G. Antetokounmpo misses 2-pt shot from 17 ft
8:22.0,Defensive rebound by C. LeVert,,93-93,,
8:18.0,S. Dinwiddie makes 3-pt shot from 28 ft (assist by C. LeVert),3,96-93,,
7:59.0,,,96-93,,J. Parker misses 2-pt shot from 2 ft
7:55.0,,,96-93,,Offensive rebound by J. Parker
7:55.0,,,96-93,,J. Parker misses 2-pt shot at rim
7:55.0,,,96-93,,Offensive rebound by J. Parker
7:50.0,,,96-95,2,J. Parker makes 2-pt shot at rim
7:31.0,Shooting foul by T. Zeller (drawn by R. Hollis-Jefferson),,96-95,,
7:31.0,R. Hollis-Jefferson makes free throw 1 of 2,1,97-95,,
7:31.0,,,97-95,,K. Middleton enters the game for S. Brown
7:31.0,,,97-95,,E. Bledsoe enters the game for J. Terry
7:31.0,J. Allen enters the game for J. Harris,,97-95,,
7:31.0,A. Crabbe enters the game for Q. Acy,,97-95,,
7:31.0,R. Hollis-Jefferson makes free throw 2 of 2,1,98-95,,
7:10.0,,,98-97,2,T. Zeller makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
6:56.0,J. Allen misses 2-pt shot from 4 ft,,98-97,,
6:54.0,,,98-97,,Defensive rebound by G. Antetokounmpo
6:42.0,,,98-99,2,K. Middleton makes 2-pt shot from 7 ft (assist by G. Antetokounmpo)
6:16.0,S. Dinwiddie misses 3-pt shot from 24 ft,,98-99,,
6:16.0,Offensive rebound by Team,,98-99,,
6:16.0,,,98-99,,Loose ball foul by G. Antetokounmpo (drawn by S. Dinwiddie)
6:16.0,,,98-99,,Milwaukee full timeout
6:16.0,,,98-99,,J. Henson enters the game for T. Zeller
6:16.0,D. Russell enters the game for S. Dinwiddie,,98-99,,
6:16.0,R. Hollis-Jefferson makes free throw 1 of 2,1,99-99,,
6:16.0,R. Hollis-Jefferson makes free throw 2 of 2,1,100-99,,
6:04.0,,,100-101,2,K. Middleton makes 2-pt shot from 12 ft
5:42.0,D. Russell misses 3-pt shot from 27 ft,,100-101,,
5:39.0,,,100-101,,Defensive rebound by E. Bledsoe
5:37.0,,,100-103,2,J. Parker makes 2-pt shot from 1 ft (assist by E. Bledsoe)
5:37.0,,,100-103,,Shooting foul by D. Russell (drawn by J. Parker)
5:37.0,,,100-103,,J. Parker misses free throw 1 of 1
5:37.0,Defensive rebound by J. Allen,,100-103,,
5:13.0,Turnover by Team (shot clock),,100-103,,
4:56.0,,,100-103,,E. Bledsoe misses 3-pt shot from 26 ft
4:52.0,,,100-103,,Offensive rebound by K. Middleton
4:51.0,,,100-103,,E. Bledsoe misses 3-pt shot from 26 ft
