time,Brooklyn,pts.away,score,pts.home,LA Lakers
11:35.0,,,29-30,,Defensive rebound by J. Randle
11:28.0,,,29-32,2,J. Clarkson makes 2-pt shot from 13 ft
11:06.0,Turnover by S. Dinwiddie (lost ball; steal by J. Clarkson),,29-32,,
10:54.0,,,29-34,2,J. Randle makes 2-pt shot from 11 ft
10:34.0,J. Harris misses 3-pt shot from 26 ft,,29-34,,
10:31.0,,,29-34,,Defensive rebound by J. Randle
10:20.0,,,29-34,,J. Randle misses 2-pt shot from 4 ft
10:18.0,Defensive rebound by T. Mozgov,,29-34,,
10:07.0,J. Harris misses 3-pt shot from 26 ft,,29-34,,
10:04.0,,,29-34,,Defensive rebound by J. Randle
9:56.0,,,29-34,,B. Ingram misses 2-pt shot from 17 ft
9:53.0,Defensive rebound by D. Carroll,,29-34,,
9:48.0,Turnover by D. Carroll (lost ball; steal by T. Ennis),,29-34,,
9:45.0,,,29-34,,Shooting foul by S. Dinwiddie (drawn by T. Ennis)
9:45.0,,,29-35,1,T. Ennis makes free throw 1 of 2
9:45.0,D. Russell enters the game for S. Dinwiddie,,29-35,,
9:45.0,,,29-36,1,T. Ennis makes free throw 2 of 2
9:33.0,D. Russell makes 2-pt shot from 3 ft,2,31-36,,
9:19.0,,,31-36,,Turnover by T. Ennis (bad pass; steal by C. LeVert)
9:15.0,D. Russell misses 2-pt shot from 4 ft,,31-36,,
9:06.0,Offensive rebound by T. Mozgov,,31-36,,
9:06.0,T. Mozgov makes 2-pt shot at rim,2,33-36,,
9:00.0,,,33-36,,J. Clarkson misses 2-pt shot from 18 ft
8:59.0,Defensive rebound by C. LeVert,,33-36,,
8:52.0,D. Russell makes 3-pt shot from 26 ft (assist by C. LeVert),3,36-36,,
8:49.0,,,36-36,,LA Lakers full timeout
8:49.0,,,36-36,,L. Ball enters the game for T. Ennis
8:49.0,R. Hollis-Jefferson enters the game for D. Carroll,,36-36,,
8:38.0,,,36-36,,Turnover by B. Ingram (bad pass)
8:20.0,D. Russell misses 3-pt shot from 28 ft,,36-36,,
8:16.0,,,36-36,,Defensive rebound by B. Ingram
8:10.0,,,36-36,,J. Randle misses 2-pt shot from 4 ft (block by C. LeVert)
8:10.0,,,36-36,,Offensive rebound by Team
7:58.0,,,36-38,2,J. Clarkson makes 2-pt shot from 13 ft (assist by J. Randle)
7:48.0,D. Russell misses 2-pt shot from 1 ft (block by B. Ingram),,36-38,,
7:45.0,,,36-38,,Defensive rebound by K. Kuzma
7:44.0,,,36-40,2,J. Randle makes 2-pt shot from 1 ft (assist by J. Clarkson)
7:21.0,Turnover by T. Mozgov (turnover),,36-40,,
7:10.0,,,36-40,,Offensive foul by J. Randle (drawn by C. LeVert)
7:10.0,,,36-40,,Turnover by J. Randle (offensive foul)
7:10.0,T. Zeller enters the game for T. Mozgov,,36-40,,
7:10.0,A. Crabbe enters the game for C. LeVert,,36-40,,
6:58.0,A. Crabbe makes 3-pt shot from 26 ft (assist by R. Hollis-Jefferson),3,39-40,,
6:45.0,,,39-40,,L. Ball misses 2-pt shot from 4 ft
6:43.0,Defensive rebound by A. Crabbe,,39-40,,
6:39.0,Turnover by D. Russell (bad pass),,39-40,,
6:39.0,,,39-40,,B. Lopez enters the game for J. Randle
6:27.0,,,39-42,2,B. Lopez makes 2-pt shot from 2 ft
6:27.0,,,39-42,,Shooting foul by R. Hollis-Jefferson (drawn by B. Lopez)
6:27.0,C. LeVert enters the game for J. Harris,,39-42,,
6:27.0,,,39-43,1,B. Lopez makes free throw 1 of 1
6:16.0,R. Hollis-Jefferson misses 2-pt shot from 10 ft,,39-43,,
6:12.0,,,39-43,,Defensive rebound by B. Lopez
6:00.0,,,39-43,,B. Lopez misses 2-pt shot from 12 ft
5:57.0,Defensive rebound by D. Russell,,39-43,,
5:51.0,C. LeVert misses 3-pt shot from 26 ft,,39-43,,
5:51.0,Turnover by T. Zeller (lost ball; steal by L. Ball),,39-43,,
5:51.0,Offensive rebound by T. Zeller,,39-43,,
5:39.0,,,39-46,3,B. Ingram makes 3-pt shot from 25 ft (assist by J. Clarkson)
5:26.0,,,39-46,,Personal foul by L. Ball (drawn by R. Hollis-Jefferson)
5:26.0,,,39-46,,K. Caldwell-Pope enters the game for J. Clarkson
5:20.0,C. LeVert makes 2-pt shot from 13 ft,2,41-46,,
5:05.0,,,41-48,2,K. Kuzma makes 2-pt shot from 2 ft
4:55.0,Shooting foul by B. Lopez (drawn by R. Hollis-Jefferson),,41-48,,
4:55.0,R. Hollis-Jefferson makes free throw 1 of 2,1,42-48,,
4:55.0,R. Hollis-Jefferson misses free throw 2 of 2,,42-48,,
4:53.0,,,42-48,,Defensive rebound by K. Kuzma
4:35.0,,,42-48,,B. Lopez misses 2-pt shot from 10 ft
4:34.0,Defensive rebound by Team,,42-48,,
4:22.0,C. LeVert misses 2-pt shot from 13 ft,,42-48,,
4:18.0,,,42-48,,Defensive rebound by K. Kuzma
4:06.0,,,42-51,3,K. Kuzma makes 3-pt shot from 25 ft (assist by B. Ingram)
4:04.0,Brooklyn full timeout,,42-51,,
3:50.0,T. Zeller misses 3-pt shot from 26 ft,,42-51,,
3:47.0,,,42-51,,Defensive rebound by K. Caldwell-Pope
3:37.0,,,42-53,2,L. Ball makes 2-pt shot from 2 ft
3:29.0,Turnover by D. Russell (bad pass; steal by K. Kuzma),,42-53,,
3:22.0,,,42-55,2,K. Kuzma makes 2-pt shot from 2 ft
3:22.0,Brooklyn full timeout,,42-55,,
3:22.0,,,42-55,,J. Clarkson enters the game for B. Ingram
3:22.0,D. Carroll enters the game for T. Zeller,,42-55,,
3:15.0,Shooting foul by L. Ball (drawn by A. Crabbe),,42-55,,
3:15.0,A. Crabbe makes free throw 1 of 3,1,43-55,,
3:15.0,A. Crabbe makes free throw 2 of 3,1,44-55,,
3:15.0,A. Crabbe makes free throw 3 of 3,1,45-55,,
2:59.0,,,45-55,,B. Lopez misses 2-pt shot from 7 ft
2:57.0,Defensive rebound by A. Crabbe,,45-55,,
2:54.0,D. Russell misses 3-pt shot from 26 ft,,45-55,,
2:51.0,,,45-55,,Defensive rebound by B. Lopez
2:43.0,,,45-57,2,K. Kuzma makes 2-pt shot from 2 ft (assist by K. Caldwell-Pope)
2:33.0,Shooting foul by B. Lopez (drawn by R. Hollis-Jefferson),,45-57,,
2:33.0,R. Hollis-Jefferson makes free throw 1 of 2,1,46-57,,
2:33.0,,,46-57,,J. Randle enters the game for B. Lopez
2:33.0,R. Hollis-Jefferson makes free throw 2 of 2,1,47-57,,
2:20.0,,,47-57,,L. Ball misses 2-pt shot at rim
2:20.0,,,47-57,,Offensive rebound by L. Ball
2:20.0,,,47-57,,L. Ball misses 2-pt shot at rim
2:20.0,,,47-57,,Offensive rebound by Team
2:20.0,Loose ball foul by D. Carroll (drawn by J. Randle),,47-57,,
2:04.0,,,47-57,,J. Randle misses 2-pt shot from 7 ft
2:02.0,,,47-57,,Offensive rebound by J. Clarkson
1:59.0,,,47-57,,Turnover by J. Clarkson (lost ball; steal by D. Carroll)
1:54.0,R. Hollis-Jefferson makes 2-pt shot from 3 ft (assist by D. Russell),2,49-57,,
1:46.0,,,49-57,,Shooting foul by D. Russell (drawn by K. Kuzma)
1:46.0,,,49-58,1,K. Kuzma makes free throw 1 of 2
1:46.0,,,49-59,1,K. Kuzma makes free throw 2 of 2
1:31.0,R. Hollis-Jefferson misses 2-pt shot from 5 ft,,49-59,,
1:29.0,,,49-59,,Defensive rebound by K. Kuzma
1:24.0,,,49-59,,L. Ball misses 2-pt shot from 1 ft
1:24.0,,,49-59,,Offensive rebound by Team
1:24.0,Loose ball foul by C. LeVert (drawn by J. Randle),,49-59,,
1:24.0,,,49-59,,J. Randle misses free throw 1 of 2
1:24.0,,,49-59,,Offensive rebound by Team
1:24.0,,,49-59,,B. Ingram enters the game for L. Ball
1:24.0,,,49-59,,J. Randle misses free throw 2 of 2
1:22.0,Defensive rebound by D. Russell,,49-59,,
1:14.0,,,49-59,,Personal foul by K. Caldwell-Pope (drawn by R. Hollis-Jefferson)
1:14.0,R. Hollis-Jefferson makes free throw 1 of 2,1,50-59,,
1:14.0,R. Hollis-Jefferson makes free throw 2 of 2,1,51-59,,
0:55.0,,,51-61,2,K. Kuzma makes 2-pt shot from 2 ft
0:48.0,D. Russell makes 2-pt shot from 2 ft,2,53-61,,
0:28.0,,,53-61,,Turnover by J. Clarkson (bad pass; steal by D. Russell)
0:24.0,C. LeVert misses 2-pt shot from 5 ft,,53-61,,
0:24.0,Offensive rebound by R. Hollis-Jefferson,,53-61,,
0:24.0,Shooting foul by J. Randle (drawn by R. Hollis-Jefferson),,53-61,,
0:24.0,R. Hollis-Jefferson makes free throw 1 of 2,1,54-61,,
0:24.0,,,54-61,,B. Lopez enters the game for J. Randle
0:24.0,R. Hollis-Jefferson makes free throw 2 of 2,1,55-61,,
0:03.0,,,55-63,2,B. Lopez makes 2-pt shot from 7 ft (assist by J. Clarkson)
0:03.0,,,55-63,,Shooting foul by D. Russell (drawn by B. Lopez)
0:03.0,,,55-64,1,B. Lopez makes free throw 1 of 1
0:00.0,D. Russell misses 3-pt shot from 39 ft,,55-64,,
0:00.0,Offensive rebound by Team,,55-64,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,D. Carroll misses 3-pt shot from 26 ft,,55-64,,
11:46.0,,,55-64,,Defensive rebound by B. Ingram
11:35.0,,,55-64,,B. Ingram misses 2-pt shot from 13 ft
11:30.0,,,55-64,,Offensive rebound by B. Lopez
11:22.0,,,55-66,2,B. Lopez makes 2-pt shot from 7 ft
11:11.0,D. Russell misses 2-pt shot from 20 ft,,55-66,,
11:07.0,,,55-66,,Defensive rebound by B. Ingram
10:58.0,,,55-66,,Turnover by B. Ingram (bad pass; steal by D. Russell)
10:56.0,D. Russell makes 2-pt shot at rim,2,57-66,,
10:56.0,Shooting foul by L. Ball (drawn by D. Russell),,57-66,,
10:56.0,D. Russell misses free throw 1 of 1,,57-66,,
10:53.0,,,57-66,,Defensive rebound by K. Kuzma
10:39.0,,,57-69,3,B. Lopez makes 3-pt shot from 26 ft (assist by K. Caldwell-Pope)
10:17.0,T. Mozgov misses 3-pt shot from 23 ft,,57-69,,
10:14.0,,,57-69,,Defensive rebound by K. Caldwell-Pope
10:04.0,,,57-71,2,B. Ingram makes 2-pt shot from 1 ft (assist by K. Kuzma)
9:53.0,D. Carroll misses 2-pt shot from 14 ft (block by B. Lopez),,57-71,,
9:50.0,,,57-71,,Defensive rebound by B. Lopez
9:47.0,,,57-71,,Turnover by B. Lopez (bad pass; steal by R. Hollis-Jefferson)
9:42.0,D. Russell makes 2-pt shot from 2 ft,2,59-71,,
9:30.0,,,59-74,3,B. Lopez makes 3-pt shot from 25 ft (assist by L. Ball)
9:11.0,T. Mozgov makes 2-pt shot from 3 ft (assist by R. Hollis-Jefferson),2,61-74,,
9:11.0,Shooting foul by B. Lopez (drawn by T. Mozgov),,61-74,,
9:11.0,T. Mozgov makes free throw 1 of 1,1,62-74,,
8:49.0,Personal foul by D. Carroll (drawn by B. Ingram),,62-74,,
8:37.0,,,62-74,,K. Caldwell-Pope misses 2-pt shot from 3 ft
8:35.0,Defensive rebound by T. Mozgov,,62-74,,
8:32.0,,,62-74,,Personal foul by B. Ingram (drawn by D. Russell)
8:25.0,D. Russell makes 2-pt shot from 5 ft,2,64-74,,
8:12.0,,,64-74,,L. Ball misses 2-pt shot from 5 ft
8:10.0,Defensive rebound by R. Hollis-Jefferson,,64-74,,
8:06.0,T. Mozgov misses 3-pt shot from 25 ft,,64-74,,
8:04.0,,,64-74,,Defensive rebound by B. Ingram
8:04.0,Personal foul by C. LeVert (drawn by B. Ingram),,64-74,,
7:53.0,,,64-74,,L. Ball misses 3-pt shot from 26 ft
7:50.0,Defensive rebound by R. Hollis-Jefferson,,64-74,,
7:47.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft,2,66-74,,
7:47.0,Shooting foul by K. Caldwell-Pope (drawn by R. Hollis-Jefferson),,66-74,,
7:47.0,R. Hollis-Jefferson makes free throw 1 of 1,1,67-74,,
7:26.0,,,67-76,2,B. Ingram makes 2-pt shot from 5 ft
7:14.0,D. Russell misses 2-pt shot from 16 ft,,67-76,,
7:10.0,,,67-76,,Defensive rebound by K. Kuzma
7:03.0,,,67-76,,L. Ball misses 2-pt shot from 2 ft (block by T. Mozgov)
7:03.0,Defensive rebound by C. LeVert,,67-76,,
6:55.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft,2,69-76,,
6:55.0,,,69-76,,LA Lakers full timeout
6:55.0,A. Crabbe enters the game for D. Carroll,,69-76,,
6:55.0,T. Zeller enters the game for T. Mozgov,,69-76,,
6:32.0,,,69-79,3,B. Lopez makes 3-pt shot from 26 ft (assist by L. Ball)
6:10.0,A. Crabbe misses 2-pt shot from 17 ft,,69-79,,
6:08.0,,,69-79,,Defensive rebound by B. Ingram
6:03.0,,,69-79,,K. Kuzma misses 2-pt shot from 21 ft
6:00.0,Defensive rebound by R. Hollis-Jefferson,,69-79,,
5:55.0,Turnover by D. Russell (step out of bounds),,69-79,,
5:41.0,,,69-82,3,B. Lopez makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope)
5:19.0,D. Russell misses 2-pt shot from 5 ft (block by B. Lopez),,69-82,,
5:15.0,,,69-82,,Defensive rebound by K. Kuzma
5:11.0,Personal foul by D. Russell (drawn by K. Kuzma),,69-82,,
5:11.0,,,69-82,,C. Brewer enters the game for K. Kuzma
5:11.0,,,69-82,,J. Clarkson enters the game for L. Ball
5:11.0,S. Dinwiddie enters the game for D. Russell,,69-82,,
5:11.0,J. Harris enters the game for C. LeVert,,69-82,,
5:00.0,,,69-82,,B. Ingram misses 2-pt shot from 18 ft
4:56.0,,,69-82,,Offensive rebound by K. Caldwell-Pope
4:44.0,,,69-82,,K. Caldwell-Pope misses 3-pt shot from 23 ft
4:42.0,Defensive rebound by S. Dinwiddie,,69-82,,
4:34.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,71-82,,
4:18.0,,,71-82,,B. Lopez misses 3-pt shot from 26 ft
4:15.0,Defensive rebound by J. Harris,,71-82,,
4:06.0,Brooklyn full timeout,,71-82,,
3:54.0,A. Crabbe makes 3-pt shot from 25 ft (assist by S. Dinwiddie),3,74-82,,
3:38.0,,,74-82,,Shooting foul by A. Crabbe (drawn by J. Clarkson)
3:38.0,,,74-83,1,J. Clarkson makes free throw 1 of 2
3:38.0,,,74-83,,J. Randle enters the game for B. Lopez
3:38.0,,,74-84,1,J. Clarkson makes free throw 2 of 2
3:20.0,T. Zeller misses 2-pt shot from 3 ft (block by J. Randle),,74-84,,
3:17.0,,,74-84,,Defensive rebound by B. Ingram
3:15.0,,,74-86,2,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by B. Ingram)
3:10.0,Offensive charge foul by S. Dinwiddie (drawn by C. Brewer),,74-86,,
3:10.0,Turnover by S. Dinwiddie (offensive foul),,74-86,,
3:10.0,,,74-86,,J. Hart enters the game for K. Caldwell-Pope
3:02.0,,,74-86,,Shooting foul by S. Dinwiddie (drawn by J. Clarkson)
3:02.0,,,74-87,1,J. Clarkson makes free throw 1 of 2
3:02.0,D. Carroll enters the game for S. Dinwiddie,,74-87,,
3:02.0,C. LeVert enters the game for R. Hollis-Jefferson,,74-87,,
3:02.0,,,74-87,,J. Clarkson misses free throw 2 of 2
3:00.0,Defensive rebound by Team,,74-87,,
2:54.0,Shooting foul by C. Brewer (drawn by A. Crabbe),,74-87,,
2:54.0,A. Crabbe makes free throw 1 of 3,1,75-87,,
2:54.0,A. Crabbe makes free throw 2 of 3,1,76-87,,
2:54.0,,,76-87,,T. Ennis enters the game for B. Ingram
2:54.0,A. Crabbe misses free throw 3 of 3,,76-87,,
2:52.0,,,76-87,,Defensive rebound by J. Randle
2:40.0,,,76-87,,J. Clarkson misses 2-pt shot from 17 ft
2:38.0,Defensive rebound by C. LeVert,,76-87,,
2:28.0,Shooting foul by C. Brewer (drawn by T. Zeller),,76-87,,
2:28.0,T. Zeller makes free throw 1 of 2,1,77-87,,
2:28.0,T. Zeller misses free throw 2 of 2,,77-87,,
2:25.0,,,77-87,,Defensive rebound by J. Randle
2:03.0,,,77-89,2,T. Ennis makes 2-pt shot from 2 ft
1:52.0,C. LeVert misses 3-pt shot from 26 ft,,77-89,,
1:48.0,,,77-89,,Defensive rebound by J. Hart
1:47.0,,,77-89,,Turnover by J. Hart (turnover)
1:37.0,Turnover by J. Harris (bad pass; steal by T. Ennis),,77-89,,
1:31.0,,,77-91,2,J. Clarkson makes 2-pt shot from 1 ft (assist by T. Ennis)
1:14.0,T. Zeller makes 2-pt shot from 3 ft (assist by C. LeVert),2,79-91,,
0:55.0,,,79-91,,Offensive charge foul by J. Randle (drawn by T. Zeller)
0:55.0,,,79-91,,Turnover by J. Randle (offensive foul)
0:45.0,C. LeVert misses 3-pt shot from 25 ft,,79-91,,
0:43.0,,,79-91,,Defensive rebound by T. Ennis
0:43.0,Personal foul by T. Zeller (drawn by T. Ennis),,79-91,,
0:43.0,,,79-92,1,T. Ennis makes free throw 1 of 2
0:43.0,,,79-92,,K. Kuzma enters the game for J. Randle
0:43.0,D. Russell enters the game for C. LeVert,,79-92,,
0:43.0,,,79-93,1,T. Ennis makes free throw 2 of 2
0:35.0,J. Harris misses 3-pt shot from 25 ft,,79-93,,
0:31.0,Offensive rebound by D. Russell,,79-93,,
0:24.0,J. Harris makes 2-pt shot from 1 ft (assist by D. Carroll),2,81-93,,
0:04.0,,,81-93,,Shooting foul by J. Harris (drawn by J. Clarkson)
0:04.0,,,81-94,1,J. Clarkson makes free throw 1 of 2
0:04.0,S. Dinwiddie enters the game for T. Zeller,,81-94,,
0:04.0,,,81-95,1,J. Clarkson makes free throw 2 of 2
0:00.0,S. Dinwiddie makes 3-pt shot from 30 ft,3,84-95,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,84-97,2,J. Randle makes 2-pt shot at rim (assist by J. Clarkson)
11:29.0,D. Russell misses 3-pt shot from 26 ft,,84-97,,
11:26.0,,,84-97,,Defensive rebound by K. Kuzma
11:19.0,,,84-97,,Offensive foul by J. Randle (drawn by D. Russell)
11:19.0,,,84-97,,Turnover by J. Randle (offensive foul)
11:19.0,,,84-97,,B. Lopez enters the game for J. Randle
11:11.0,S. Dinwiddie makes 3-pt shot from 25 ft (assist by D. Russell),3,87-97,,
10:55.0,,,87-100,3,B. Lopez makes 3-pt shot from 24 ft (assist by T. Ennis)
