time,Cleveland,pts.away,score,pts.home,Orlando
11:16.0,,,43-31,,S. Mack misses 2-pt shot from 3 ft
11:13.0,Defensive rebound by L. James,,43-31,,
11:10.0,K. Korver makes 3-pt shot from 25 ft (assist by L. James),3,46-31,,
10:53.0,Personal foul by D. Rose (drawn by M. Speights),,46-31,,
10:43.0,,,46-33,2,M. Speights makes 2-pt shot at rim (assist by W. Iwundu)
10:33.0,D. Rose misses 2-pt shot from 17 ft,,46-33,,
10:33.0,,,46-33,,Defensive rebound by D. Augustin
10:23.0,,,46-33,,W. Iwundu misses 2-pt shot from 2 ft
10:21.0,Defensive rebound by L. James,,46-33,,
10:14.0,D. Wade makes 2-pt shot from 3 ft,2,48-33,,
10:00.0,,,48-33,,W. Iwundu misses 3-pt shot from 22 ft
9:56.0,Defensive rebound by L. James,,48-33,,
9:51.0,K. Korver makes 3-pt shot from 23 ft (assist by L. James),3,51-33,,
9:51.0,,,51-33,,Orlando full timeout
9:31.0,Personal foul by K. Korver (drawn by M. Speights),,51-33,,
9:20.0,,,51-33,,S. Mack misses 2-pt shot from 5 ft
9:18.0,Defensive rebound by D. Wade,,51-33,,
9:12.0,J. Green misses 3-pt shot from 23 ft,,51-33,,
9:07.0,,,51-33,,Defensive rebound by M. Speights
8:57.0,,,51-33,,M. Speights misses 2-pt shot from 14 ft
8:55.0,Defensive rebound by D. Wade,,51-33,,
8:43.0,D. Rose misses 2-pt shot from 9 ft,,51-33,,
8:39.0,Offensive rebound by D. Rose,,51-33,,
8:39.0,D. Rose misses 2-pt shot at rim (block by M. Speights),,51-33,,
8:38.0,,,51-33,,Defensive rebound by M. Speights
8:38.0,,,51-33,,Shooting foul by K. Korver (drawn by W. Iwundu)
8:38.0,,,51-33,,W. Iwundu misses free throw 1 of 2
8:38.0,,,51-33,,Offensive rebound by Team
8:38.0,,,51-33,,K. Birch enters the game for M. Speights
8:38.0,,,51-34,1,W. Iwundu makes free throw 2 of 2
8:28.0,Shooting foul by K. Birch (drawn by J. Green),,51-34,,
8:28.0,J. Green makes free throw 1 of 2,1,52-34,,
8:28.0,,,52-34,,M. Hezonja enters the game for W. Iwundu
8:28.0,J. Green makes free throw 2 of 2,1,53-34,,
8:11.0,,,53-36,2,M. Hezonja makes 2-pt shot from 10 ft (assist by K. Birch)
8:02.0,Turnover by D. Wade (out of bounds lost ball),,53-36,,
8:02.0,Cleveland full timeout,,53-36,,
7:43.0,,,53-38,2,A. Afflalo makes 2-pt shot from 15 ft (assist by D. Augustin)
7:19.0,L. James misses 2-pt shot from 7 ft (block by S. Mack),,53-38,,
7:19.0,,,53-38,,Defensive rebound by Team
7:07.0,,,53-38,,Turnover by K. Birch (bad pass)
6:59.0,L. James makes 2-pt shot from 2 ft,2,55-38,,
6:34.0,,,55-38,,A. Afflalo misses 2-pt shot from 7 ft (block by D. Wade)
6:34.0,,,55-38,,Offensive rebound by Team
6:34.0,,,55-38,,Turnover by Team (shot clock)
6:16.0,Shooting foul by K. Birch (drawn by J. Green),,55-38,,
6:16.0,J. Green makes free throw 1 of 2,1,56-38,,
6:16.0,,,56-38,,E. Fournier enters the game for A. Afflalo
6:16.0,,,56-38,,E. Payton enters the game for S. Mack
6:16.0,,,56-38,,J. Simmons enters the game for D. Augustin
6:16.0,J. Green makes free throw 2 of 2,1,57-38,,
5:56.0,,,57-38,,M. Hezonja misses 2-pt shot from 3 ft (block by J. Green)
5:56.0,I. Thomas enters the game for D. Rose,,57-38,,
5:56.0,J. Smith enters the game for D. Wade,,57-38,,
5:56.0,Offensive rebound by Team,,57-38,,
5:53.0,Jump ball: M. Hezonja vs. J. Green (L. James gains possession),,,,Jump ball: M. Hezonja vs. J. Green (L. James gains possession)
5:48.0,L. James makes 2-pt shot from 2 ft,2,59-38,,
5:36.0,,,59-38,,M. Hezonja misses 3-pt shot from 26 ft
5:33.0,Defensive rebound by L. James,,59-38,,
5:26.0,K. Korver misses 3-pt shot from 23 ft,,59-38,,
5:24.0,,,59-38,,Defensive rebound by J. Simmons
5:11.0,,,59-40,2,K. Birch makes 2-pt shot from 7 ft
4:48.0,J. Green makes 2-pt shot at rim (assist by L. James),2,61-40,,
4:29.0,T. Thompson enters the game for L. James,,61-40,,
4:29.0,J. Crowder enters the game for K. Korver,,61-40,,
4:29.0,,,61-40,,B. Biyombo enters the game for K. Birch
4:18.0,,,61-43,3,M. Hezonja makes 3-pt shot from 27 ft (assist by E. Payton)
4:00.0,I. Thomas misses 2-pt shot from 22 ft,,61-43,,
4:00.0,,,61-43,,Defensive rebound by M. Hezonja
3:51.0,,,61-45,2,E. Payton makes 2-pt shot from 2 ft (assist by M. Hezonja)
3:39.0,J. Smith misses 3-pt shot from 23 ft,,61-45,,
3:39.0,,,61-45,,Defensive rebound by E. Fournier
3:34.0,,,61-45,,Shooting foul by J. Smith (drawn by E. Fournier)
3:34.0,,,61-45,,E. Fournier misses free throw 1 of 2
3:34.0,,,61-45,,Offensive rebound by Team
3:34.0,L. James enters the game for J. Green,,61-45,,
3:34.0,,,61-45,,E. Fournier misses free throw 2 of 2
3:29.0,Defensive rebound by L. James,,61-45,,
3:13.0,J. Crowder misses 3-pt shot from 23 ft,,61-45,,
3:09.0,,,61-45,,Defensive rebound by J. Simmons
3:03.0,,,61-45,,M. Hezonja misses 3-pt shot from 24 ft
3:00.0,Defensive rebound by T. Thompson,,61-45,,
2:56.0,,,61-45,,Personal foul by E. Payton (drawn by L. James)
2:48.0,I. Thomas misses 2-pt shot from 12 ft,,61-45,,
2:45.0,,,61-45,,Defensive rebound by E. Payton
2:41.0,,,61-47,2,E. Fournier makes 2-pt shot from 2 ft (assist by E. Payton)
2:32.0,Cleveland full timeout,,61-47,,
2:29.0,Turnover by L. James (bad pass; steal by E. Fournier),,61-47,,
2:27.0,,,61-47,,Turnover by E. Fournier (bad pass)
2:18.0,J. Crowder misses 2-pt shot from 2 ft (block by B. Biyombo),,61-47,,
2:14.0,Offensive rebound by J. Smith,,61-47,,
2:12.0,J. Crowder misses 2-pt shot from 4 ft (block by E. Payton),,61-47,,
2:12.0,,,61-47,,Defensive rebound by E. Fournier
2:00.0,,,61-47,,J. Simmons misses 2-pt shot from 18 ft
2:00.0,,,61-47,,Offensive rebound by B. Biyombo
1:40.0,,,61-47,,M. Hezonja misses 2-pt shot from 12 ft
1:37.0,Defensive rebound by L. James,,61-47,,
1:33.0,Turnover by L. James (bad pass),,61-47,,
1:20.0,,,61-49,2,B. Biyombo makes 2-pt shot from 2 ft
1:20.0,,,61-49,,Shooting foul by T. Thompson (drawn by B. Biyombo)
1:20.0,,,61-49,,B. Biyombo misses free throw 1 of 1
1:17.0,Defensive rebound by L. James,,61-49,,
1:05.0,L. James misses 2-pt shot from 10 ft,,61-49,,
0:59.0,Offensive rebound by T. Thompson,,61-49,,
0:59.0,T. Thompson makes 2-pt shot at rim,2,63-49,,
0:48.0,,,63-51,2,E. Payton makes 2-pt shot from 5 ft
0:26.0,L. James misses 2-pt shot from 7 ft,,63-51,,
0:24.0,Offensive rebound by L. James,,63-51,,
0:22.0,L. James makes 2-pt shot from 3 ft,2,65-51,,
0:20.0,,,65-51,,Turnover by B. Biyombo (bad pass; steal by I. Thomas)
0:04.0,T. Thompson makes 2-pt shot at rim (assist by I. Thomas),2,67-51,,
0:00.0,,,67-51,,E. Fournier misses 3-pt shot from 28 ft
0:00.0,,,67-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,T. Thompson makes 2-pt shot at rim (assist by I. Thomas),2,69-51,,
11:23.0,,,69-53,2,B. Biyombo makes 2-pt shot from 6 ft (assist by E. Payton)
11:05.0,,,69-53,,Personal foul by J. Simmons (drawn by I. Thomas)
10:58.0,I. Thomas misses 2-pt shot from 2 ft (block by E. Payton),,69-53,,
10:53.0,,,69-53,,Defensive rebound by B. Biyombo
10:52.0,,,69-53,,Turnover by B. Biyombo (bad pass; steal by J. Smith)
10:45.0,Turnover by J. Smith (bad pass; steal by E. Payton),,69-53,,
10:45.0,Personal foul by J. Crowder (drawn by E. Payton),,69-53,,
10:34.0,,,69-56,3,M. Hezonja makes 3-pt shot from 23 ft (assist by J. Simmons)
10:20.0,L. James makes 3-pt shot from 25 ft (assist by I. Thomas),3,72-56,,
10:05.0,,,72-59,3,E. Fournier makes 3-pt shot from 25 ft (assist by E. Payton)
9:46.0,L. James makes 3-pt shot from 24 ft,3,75-59,,
9:30.0,,,75-59,,Shooting foul by J. Smith (drawn by J. Simmons)
9:30.0,,,75-60,1,J. Simmons makes free throw 1 of 2
9:30.0,,,75-61,1,J. Simmons makes free throw 2 of 2
9:08.0,Offensive charge foul by L. James (drawn by E. Fournier),,75-61,,
9:08.0,Turnover by L. James (offensive foul),,75-61,,
8:49.0,,,75-63,2,E. Fournier makes 2-pt shot from 2 ft
8:34.0,Offensive foul by T. Thompson (drawn by E. Payton),,75-63,,
8:34.0,Turnover by T. Thompson (offensive foul),,75-63,,
8:27.0,,,75-63,,Shooting foul by I. Thomas (drawn by B. Biyombo)
8:27.0,,,75-64,1,B. Biyombo makes free throw 1 of 2
8:27.0,,,75-64,,B. Biyombo misses free throw 2 of 2
8:26.0,,,75-64,,Offensive rebound by Team
8:26.0,Loose ball foul by L. James (drawn by M. Hezonja),,75-64,,
8:17.0,,,75-66,2,J. Simmons makes 2-pt shot from 3 ft (assist by E. Fournier)
8:03.0,Turnover by J. Crowder (bad pass; steal by J. Simmons),,75-66,,
8:00.0,,,75-68,2,J. Simmons makes 2-pt shot from 3 ft
8:00.0,Cleveland full timeout,,75-68,,
7:47.0,L. James misses 2-pt shot from 7 ft,,75-68,,
7:45.0,,,75-68,,Defensive rebound by B. Biyombo
7:33.0,,,75-70,2,E. Payton makes 2-pt shot from 8 ft
7:19.0,I. Thomas misses 3-pt shot from 25 ft,,75-70,,
7:18.0,Offensive rebound by J. Crowder,,75-70,,
7:17.0,J. Crowder makes 2-pt shot at rim,2,77-70,,
7:05.0,,,77-72,2,J. Simmons makes 2-pt shot from 21 ft (assist by E. Payton)
6:45.0,J. Smith misses 3-pt shot from 23 ft,,77-72,,
6:43.0,,,77-72,,Defensive rebound by M. Hezonja
6:24.0,,,77-74,2,J. Simmons makes 2-pt shot from 2 ft (assist by B. Biyombo)
6:09.0,Turnover by L. James (bad pass),,77-74,,
5:58.0,,,77-76,2,B. Biyombo makes 2-pt shot from 12 ft (assist by E. Payton)
5:43.0,I. Thomas misses 3-pt shot from 25 ft,,77-76,,
5:39.0,,,77-76,,Defensive rebound by J. Simmons
5:33.0,Personal foul by T. Thompson (drawn by J. Simmons),,77-76,,
5:33.0,,,77-77,1,J. Simmons makes free throw 1 of 2
5:33.0,K. Korver enters the game for J. Smith,,77-77,,
5:33.0,C. Frye enters the game for T. Thompson,,77-77,,
5:33.0,,,77-78,1,J. Simmons makes free throw 2 of 2
5:23.0,L. James makes 2-pt shot from 3 ft,2,79-78,,
5:16.0,,,79-78,,Shooting foul by L. James (drawn by J. Simmons)
5:16.0,,,79-78,,J. Simmons misses free throw 1 of 2
5:16.0,,,79-78,,Offensive rebound by Team
5:16.0,J. Green enters the game for L. James,,79-78,,
5:16.0,,,79-79,1,J. Simmons makes free throw 2 of 2
5:04.0,J. Crowder misses 3-pt shot from 24 ft,,79-79,,
5:01.0,,,79-79,,Defensive rebound by E. Payton
4:53.0,,,79-79,,B. Biyombo misses 2-pt shot from 1 ft
4:51.0,,,79-79,,Offensive rebound by B. Biyombo
4:50.0,,,79-79,,Turnover by B. Biyombo (lost ball; steal by K. Korver)
4:43.0,J. Green misses 2-pt shot from 13 ft,,79-79,,
4:42.0,,,79-79,,S. Mack enters the game for M. Hezonja
4:42.0,Jump ball: B. Biyombo vs. J. Green (J. Crowder gains possession),,,,Jump ball: B. Biyombo vs. J. Green (J. Crowder gains possession)
4:42.0,Defensive rebound by Team,,79-79,,
4:33.0,I. Thomas misses 2-pt shot from 3 ft (block by B. Biyombo),,79-79,,
4:29.0,,,79-79,,Defensive rebound by E. Fournier
4:27.0,,,79-79,,E. Fournier misses 3-pt shot from 25 ft
4:20.0,Defensive rebound by J. Crowder,,79-79,,
4:08.0,J. Green makes 2-pt shot from 2 ft (assist by I. Thomas),2,81-79,,
3:54.0,,,81-79,,E. Payton misses 2-pt shot from 7 ft
3:53.0,,,81-79,,Offensive rebound by B. Biyombo
3:53.0,,,81-79,,Shooting foul by C. Frye (drawn by B. Biyombo)
3:53.0,,,81-80,1,B. Biyombo makes free throw 1 of 2
3:53.0,D. Wade enters the game for I. Thomas,,81-80,,
3:53.0,,,81-81,1,B. Biyombo makes free throw 2 of 2
3:35.0,Shooting foul by J. Simmons (drawn by J. Crowder),,81-81,,
3:35.0,J. Crowder misses free throw 1 of 2,,81-81,,
3:35.0,Offensive rebound by Team,,81-81,,
3:35.0,J. Crowder misses free throw 2 of 2,,81-81,,
3:32.0,,,81-81,,Defensive rebound by B. Biyombo
3:17.0,,,81-81,,E. Payton misses 2-pt shot from 3 ft
3:14.0,Defensive rebound by J. Green,,81-81,,
3:11.0,C. Frye misses 3-pt shot from 25 ft,,81-81,,
3:07.0,,,81-81,,Defensive rebound by B. Biyombo
3:01.0,,,81-81,,Orlando full timeout
3:01.0,,,81-81,,D. Augustin enters the game for E. Payton
2:56.0,Personal foul by J. Crowder (drawn by J. Simmons),,81-81,,
2:56.0,,,81-82,1,J. Simmons makes free throw 1 of 2
2:56.0,,,81-83,1,J. Simmons makes free throw 2 of 2
2:41.0,J. Green makes 2-pt shot from 1 ft (assist by K. Korver),2,83-83,,
2:25.0,,,83-83,,J. Simmons misses 2-pt shot from 19 ft
2:21.0,Defensive rebound by D. Wade,,83-83,,
2:16.0,Shooting foul by B. Biyombo (drawn by D. Wade),,83-83,,
2:16.0,D. Wade makes free throw 1 of 2,1,84-83,,
2:16.0,,,84-83,,K. Birch enters the game for B. Biyombo
2:16.0,D. Rose enters the game for J. Crowder,,84-83,,
2:16.0,D. Wade misses free throw 2 of 2,,84-83,,
2:13.0,,,84-83,,Defensive rebound by S. Mack
2:00.0,,,84-83,,Turnover by E. Fournier (lost ball; steal by K. Korver)
1:49.0,J. Green makes 2-pt shot from 22 ft (assist by D. Rose),2,86-83,,
1:30.0,,,86-85,2,J. Simmons makes 2-pt shot from 1 ft (assist by E. Fournier)
1:18.0,K. Korver misses 3-pt shot from 25 ft,,86-85,,
1:16.0,,,86-85,,Defensive rebound by S. Mack
1:09.0,,,86-87,2,J. Simmons makes 2-pt shot from 2 ft (assist by S. Mack)
0:57.0,D. Wade makes 3-pt shot from 24 ft (assist by D. Rose),3,89-87,,
0:47.0,,,89-89,2,K. Birch makes 2-pt shot at rim (assist by S. Mack)
0:34.0,D. Rose misses 2-pt shot from 18 ft,,89-89,,
0:31.0,,,89-89,,Defensive rebound by K. Birch
0:25.0,,,89-89,,S. Mack misses 2-pt shot from 5 ft
0:22.0,Defensive rebound by C. Frye,,89-89,,
0:10.0,,,89-89,,Personal foul by S. Mack (drawn by D. Wade)
0:03.0,C. Frye misses 3-pt shot from 25 ft,,89-89,,
0:00.0,,,89-89,,Defensive rebound by J. Simmons
0:00.0,,,89-92,3,J. Simmons makes 3-pt shot from 25 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,89-92,,K. Birch misses 2-pt shot from 8 ft
11:43.0,,,89-92,,Offensive rebound by K. Birch
11:41.0,,,89-92,,S. Mack misses 2-pt shot from 9 ft
11:41.0,,,89-92,,Offensive rebound by W. Iwundu
11:25.0,,,89-92,,J. Simmons misses 3-pt shot from 25 ft
11:21.0,Defensive rebound by K. Korver,,89-92,,
10:59.0,D. Wade makes 3-pt shot from 25 ft,3,92-92,,
10:31.0,,,92-94,2,J. Simmons makes 2-pt shot from 1 ft (assist by S. Mack)
10:10.0,D. Rose misses 2-pt shot from 3 ft (block by K. Birch),,92-94,,
10:10.0,Offensive rebound by Team,,92-94,,
10:10.0,L. James enters the game for C. Frye,,92-94,,
10:07.0,K. Korver misses 3-pt shot from 25 ft,,92-94,,
10:05.0,,,92-94,,Defensive rebound by W. Iwundu
9:47.0,,,92-96,2,K. Birch makes 2-pt shot from 1 ft (assist by J. Simmons)
9:38.0,,,92-96,,Personal foul by J. Simmons (drawn by K. Korver)
9:38.0,,,92-96,,M. Hezonja enters the game for J. Simmons
9:23.0,D. Rose misses 2-pt shot from 12 ft,,92-96,,
9:22.0,Offensive rebound by Team,,92-96,,
9:20.0,L. James misses 3-pt shot from 24 ft,,92-96,,
9:17.0,,,92-96,,Defensive rebound by M. Hezonja
8:57.0,,,92-96,,S. Mack misses 2-pt shot from 1 ft
8:55.0,Defensive rebound by J. Green,,92-96,,
8:53.0,,,92-96,,Personal foul by W. Iwundu (drawn by L. James)
8:53.0,J. Smith enters the game for D. Rose,,92-96,,
8:43.0,D. Wade misses 3-pt shot from 22 ft,,92-96,,
8:40.0,,,92-96,,Defensive rebound by M. Hezonja
8:37.0,,,92-96,,Turnover by D. Augustin (step out of bounds)
8:21.0,J. Green misses 3-pt shot from 23 ft,,92-96,,
8:18.0,,,92-96,,Defensive rebound by M. Hezonja
8:11.0,,,92-96,,Shooting foul by D. Wade (drawn by D. Augustin)
8:11.0,,,92-97,1,D. Augustin makes free throw 1 of 2
8:11.0,,,92-98,1,D. Augustin makes free throw 2 of 2
8:03.0,,,92-98,,Personal foul by W. Iwundu (drawn by L. James)
7:59.0,K. Korver misses 3-pt shot from 24 ft,,92-98,,
7:57.0,,,92-98,,Defensive rebound by K. Birch
7:48.0,,,92-98,,D. Augustin misses 2-pt shot from 2 ft
7:40.0,,,92-98,,Offensive rebound by W. Iwundu
7:40.0,,,92-100,2,W. Iwundu makes 2-pt shot at rim
7:31.0,K. Korver misses 3-pt shot from 27 ft,,92-100,,
7:27.0,,,92-100,,Defensive rebound by D. Augustin
7:19.0,,,92-100,,D. Augustin misses 3-pt shot from 25 ft
7:15.0,Defensive rebound by D. Wade,,92-100,,
6:55.0,Turnover by L. James (bad pass; steal by W. Iwundu),,92-100,,
6:55.0,Personal foul by D. Wade (drawn by W. Iwundu),,92-100,,
6:55.0,,,92-100,,Orlando full timeout
6:55.0,,,92-100,,E. Fournier enters the game for M. Hezonja
6:55.0,,,92-100,,J. Simmons enters the game for W. Iwundu
6:55.0,I. Thomas enters the game for D. Wade,,92-100,,
6:55.0,T. Thompson enters the game for J. Green,,92-100,,
6:34.0,,,92-100,,Shooting foul by K. Korver (drawn by E. Fournier)
6:34.0,,,92-101,1,E. Fournier makes free throw 1 of 2
6:34.0,,,92-102,1,E. Fournier makes free throw 2 of 2
6:15.0,I. Thomas misses 3-pt shot from 22 ft,,92-102,,
6:11.0,,,92-102,,Defensive rebound by S. Mack
5:50.0,,,92-104,2,D. Augustin makes 2-pt shot from 2 ft
5:26.0,L. James misses 3-pt shot from 25 ft,,92-104,,
5:21.0,,,92-104,,Defensive rebound by S. Mack
5:12.0,,,92-106,2,K. Birch makes 2-pt shot from 1 ft (assist by S. Mack)
5:00.0,Turnover by L. James (lost ball; steal by K. Birch),,92-106,,
4:54.0,,,92-106,,D. Augustin misses 3-pt shot from 23 ft
4:51.0,,,92-106,,Offensive rebound by S. Mack
4:51.0,,,92-108,2,S. Mack makes 2-pt shot from 3 ft
4:51.0,Cleveland full timeout,,92-108,,
4:51.0,D. Wade enters the game for J. Smith,,92-108,,
4:35.0,Shooting foul by K. Birch (drawn by L. James),,92-108,,
4:35.0,L. James misses free throw 1 of 2,,92-108,,
4:35.0,Offensive rebound by Team,,92-108,,
4:35.0,J. Crowder enters the game for K. Korver,,92-108,,
4:35.0,L. James makes free throw 2 of 2,1,93-108,,
4:20.0,,,93-108,,Turnover by J. Simmons (lost ball; steal by L. James)
4:04.0,Turnover by I. Thomas (lost ball; steal by D. Augustin),,93-108,,
