time,Minnesota,pts.away,score,pts.home,LA Clippers
1:41.0,A. Wiggins makes free throw 2 of 2,1,25-20,,
1:23.0,,,25-20,,M. Harrell misses 2-pt shot from 1 ft
1:22.0,Defensive rebound by G. Dieng,,25-20,,
1:05.0,J. Crawford makes 2-pt shot from 20 ft,2,27-20,,
0:48.0,,,27-20,,Turnover by S. Thornwell (bad pass; steal by T. Jones)
0:42.0,Turnover by J. Crawford (bad pass; steal by M. Harrell),,27-20,,
0:34.0,,,27-22,2,S. Thornwell makes 2-pt shot from 2 ft (assist by J. Wilson)
0:34.0,,,27-22,,Shooting foul by G. Dieng (drawn by S. Thornwell)
0:34.0,,,27-22,,S. Thornwell misses free throw 1 of 1
0:31.0,Defensive rebound by T. Gibson,,27-22,,
0:15.0,,,27-22,,C. Williams enters the game for J. Evans
0:15.0,,,27-22,,W. Johnson enters the game for L. Williams
0:04.0,J. Crawford makes 2-pt shot from 16 ft,2,29-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,29-24,2,M. Harrell makes 2-pt shot from 1 ft
11:25.0,Turnover by K. Towns (turnover),,29-24,,
11:09.0,,,29-27,3,J. Evans makes 3-pt shot from 22 ft (assist by L. Williams)
10:54.0,K. Towns misses 2-pt shot from 8 ft,,29-27,,
10:54.0,,,29-27,,Defensive rebound by Team
10:54.0,Loose ball foul by K. Towns (drawn by M. Harrell),,29-27,,
10:42.0,,,29-27,,J. Evans misses 3-pt shot from 22 ft
10:39.0,Defensive rebound by G. Dieng,,29-27,,
10:36.0,J. Butler makes 2-pt shot from 1 ft (assist by J. Crawford),2,31-27,,
10:24.0,,,31-29,2,S. Dekker makes 2-pt shot from 1 ft (assist by L. Williams)
10:12.0,J. Crawford misses 3-pt shot from 25 ft,,31-29,,
10:09.0,,,31-29,,Defensive rebound by S. Dekker
10:05.0,,,31-29,,S. Dekker misses 2-pt shot from 1 ft
10:00.0,Defensive rebound by K. Towns,,31-29,,
9:56.0,J. Butler makes 2-pt shot from 2 ft,2,33-29,,
9:44.0,,,33-31,2,J. Evans makes 2-pt shot from 1 ft (assist by L. Williams)
9:29.0,G. Dieng makes 2-pt shot from 19 ft (assist by K. Towns),2,35-31,,
9:17.0,,,35-31,,S. Dekker misses 2-pt shot from 18 ft
9:12.0,Defensive rebound by J. Butler,,35-31,,
9:00.0,J. Crawford misses 2-pt shot from 16 ft,,35-31,,
8:57.0,,,35-31,,Defensive rebound by J. Evans
8:53.0,,,35-33,2,S. Thornwell makes 2-pt shot from 1 ft (assist by J. Evans)
8:35.0,T. Jones makes 3-pt shot from 24 ft (assist by G. Dieng),3,38-33,,
8:12.0,,,38-33,,J. Evans misses 2-pt shot from 17 ft
8:09.0,Defensive rebound by K. Towns,,38-33,,
7:54.0,J. Butler misses 3-pt shot from 23 ft,,38-33,,
7:52.0,Offensive rebound by K. Towns,,38-33,,
7:52.0,,,38-33,,Personal foul by J. Evans (drawn by K. Towns)
7:52.0,,,38-33,,A. Rivers enters the game for S. Thornwell
7:38.0,J. Crawford makes 2-pt shot from 21 ft (assist by J. Butler),2,40-33,,
7:25.0,,,40-33,,L. Williams misses 3-pt shot from 23 ft
7:20.0,Defensive rebound by J. Crawford,,40-33,,
7:16.0,J. Butler makes 2-pt shot from 1 ft (assist by J. Crawford),2,42-33,,
7:16.0,Shooting foul by M. Harrell (drawn by J. Butler),,42-33,,
7:16.0,,,42-33,,LA Clippers full timeout
7:16.0,,,42-33,,D. Jordan enters the game for M. Harrell
7:16.0,,,42-33,,D. Gallinari enters the game for S. Dekker
7:16.0,,,42-33,,W. Johnson enters the game for J. Evans
7:16.0,J. Butler makes free throw 1 of 1,1,43-33,,
7:05.0,,,43-35,2,A. Rivers makes 2-pt shot at rim
6:47.0,J. Butler makes 2-pt shot from 1 ft (assist by T. Jones),2,45-35,,
6:34.0,,,45-35,,A. Rivers misses 2-pt shot from 11 ft
6:30.0,Defensive rebound by G. Dieng,,45-35,,
6:25.0,K. Towns misses 3-pt shot from 25 ft,,45-35,,
6:21.0,Offensive rebound by G. Dieng,,45-35,,
6:10.0,Turnover by K. Towns (bad pass; steal by A. Rivers),,45-35,,
6:06.0,,,45-37,2,L. Williams makes 2-pt shot at rim (assist by A. Rivers)
5:57.0,Minnesota full timeout,,45-37,,
5:57.0,T. Gibson enters the game for T. Jones,,45-37,,
5:57.0,A. Wiggins enters the game for G. Dieng,,45-37,,
5:57.0,J. Teague enters the game for J. Crawford,,45-37,,
5:45.0,T. Gibson makes 2-pt shot from 1 ft (assist by J. Butler),2,47-37,,
5:27.0,,,47-37,,W. Johnson misses 3-pt shot from 25 ft
5:25.0,Defensive rebound by T. Gibson,,47-37,,
5:16.0,A. Wiggins makes 2-pt shot from 11 ft,2,49-37,,
4:53.0,,,49-37,,D. Gallinari misses 3-pt shot from 25 ft
4:52.0,Defensive rebound by J. Butler,,49-37,,
4:31.0,K. Towns makes 2-pt shot from 9 ft,2,51-37,,
4:20.0,,,51-37,,L. Williams misses 2-pt shot from 15 ft
4:18.0,Defensive rebound by K. Towns,,51-37,,
4:07.0,T. Gibson misses 3-pt shot from 22 ft,,51-37,,
4:04.0,,,51-37,,Defensive rebound by D. Jordan
3:59.0,,,51-39,2,D. Gallinari makes 2-pt shot from 1 ft (assist by L. Williams)
3:48.0,A. Wiggins makes 3-pt shot from 24 ft (assist by K. Towns),3,54-39,,
3:47.0,,,54-39,,LA Clippers full timeout
3:47.0,,,54-39,,S. Thornwell enters the game for W. Johnson
3:27.0,,,54-42,3,A. Rivers makes 3-pt shot from 24 ft (assist by L. Williams)
3:21.0,,,54-42,,Personal foul by L. Williams (drawn by J. Teague)
3:07.0,K. Towns makes 2-pt shot from 6 ft (assist by J. Teague),2,56-42,,
2:52.0,,,56-42,,Shooting foul by J. Butler (drawn by L. Williams)
2:52.0,,,56-43,1,L. Williams makes free throw 1 of 2
2:52.0,,,56-43,,L. Williams misses free throw 2 of 2
2:49.0,Defensive rebound by K. Towns,,56-43,,
2:42.0,J. Teague misses 2-pt shot from 1 ft,,56-43,,
2:42.0,,,56-43,,Defensive rebound by Team
2:42.0,Loose ball foul by K. Towns (drawn by D. Gallinari),,56-43,,
2:31.0,,,56-45,2,L. Williams makes 2-pt shot from 1 ft
2:21.0,K. Towns makes 2-pt shot from 10 ft (assist by J. Teague),2,58-45,,
2:02.0,,,58-45,,S. Thornwell misses 2-pt shot from 7 ft
2:00.0,,,58-45,,Offensive rebound by S. Thornwell
1:56.0,,,58-45,,D. Gallinari misses 2-pt shot from 2 ft (block by K. Towns)
1:53.0,Defensive rebound by K. Towns,,58-45,,
1:46.0,K. Towns makes 2-pt shot from 2 ft (assist by J. Butler),2,60-45,,
1:25.0,,,60-48,3,A. Rivers makes 3-pt shot from 26 ft
1:13.0,A. Wiggins misses 2-pt shot from 15 ft,,60-48,,
1:11.0,,,60-48,,Defensive rebound by S. Thornwell
1:00.0,,,60-48,,D. Jordan misses 2-pt shot at rim
1:00.0,,,60-48,,Offensive rebound by D. Jordan
1:00.0,,,60-48,,Shooting foul by J. Butler (drawn by D. Jordan)
1:00.0,,,60-48,,D. Jordan misses free throw 1 of 2
1:00.0,,,60-48,,Offensive rebound by Team
1:00.0,,,60-48,,S. Dekker enters the game for D. Gallinari
1:00.0,,,60-49,1,D. Jordan makes free throw 2 of 2
0:45.0,Turnover by J. Teague (bad pass),,60-49,,
0:40.0,,,60-49,,L. Williams misses 2-pt shot from 16 ft
0:33.0,,,60-49,,Offensive rebound by D. Jordan
0:33.0,,,60-49,,D. Jordan misses 2-pt shot at rim
0:31.0,Defensive rebound by K. Towns,,60-49,,
0:31.0,J. Teague misses 2-pt shot from 8 ft,,60-49,,
0:26.0,Offensive rebound by T. Gibson,,60-49,,
0:26.0,T. Gibson makes 2-pt shot at rim,2,62-49,,
0:07.0,,,62-49,,L. Williams misses 3-pt shot from 22 ft
0:07.0,,,62-49,,Offensive rebound by D. Jordan
0:02.0,,,62-49,,S. Thornwell misses 3-pt shot from 25 ft
0:02.0,Defensive rebound by T. Gibson,,62-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,62-49,,Offensive charge foul by D. Jordan (drawn by K. Towns)
11:39.0,,,62-49,,Turnover by D. Jordan (offensive foul)
11:17.0,A. Wiggins misses 2-pt shot from 16 ft,,62-49,,
11:12.0,,,62-49,,Defensive rebound by W. Johnson
11:04.0,,,62-51,2,A. Rivers makes 2-pt shot from 1 ft
10:55.0,J. Teague misses 2-pt shot from 1 ft,,62-51,,
10:55.0,,,62-51,,Defensive rebound by A. Rivers
10:35.0,,,62-51,,D. Gallinari misses 2-pt shot from 19 ft
10:32.0,Defensive rebound by J. Teague,,62-51,,
10:24.0,K. Towns makes 2-pt shot from 10 ft (assist by J. Teague),2,64-51,,
10:05.0,,,64-51,,Shooting foul by K. Towns (drawn by A. Rivers)
10:05.0,,,64-52,1,A. Rivers makes free throw 1 of 2
10:05.0,,,64-53,1,A. Rivers makes free throw 2 of 2
9:54.0,A. Wiggins misses 2-pt shot from 18 ft,,64-53,,
9:47.0,Offensive rebound by J. Butler,,64-53,,
9:47.0,J. Butler misses 2-pt shot at rim,,64-53,,
9:46.0,,,64-53,,Defensive rebound by D. Gallinari
9:44.0,Personal foul by T. Gibson (drawn by D. Jordan),,64-53,,
9:32.0,,,64-53,,D. Gallinari misses 2-pt shot from 1 ft
9:29.0,Defensive rebound by K. Towns,,64-53,,
9:24.0,J. Teague makes 2-pt shot from 16 ft,2,66-53,,
9:01.0,,,66-53,,C. Williams misses 2-pt shot from 16 ft
8:59.0,,,66-53,,Offensive rebound by D. Jordan
8:57.0,,,66-55,2,W. Johnson makes 2-pt shot from 21 ft (assist by D. Jordan)
8:42.0,Shooting foul by D. Jordan (drawn by K. Towns),,66-55,,
8:42.0,K. Towns makes free throw 1 of 2,1,67-55,,
8:42.0,K. Towns makes free throw 2 of 2,1,68-55,,
8:29.0,,,68-55,,A. Rivers misses 3-pt shot from 25 ft
8:24.0,Defensive rebound by J. Butler,,68-55,,
8:16.0,K. Towns makes 2-pt shot from 1 ft (assist by J. Butler),2,70-55,,
8:16.0,,,70-55,,LA Clippers full timeout
8:05.0,,,70-57,2,A. Rivers makes 2-pt shot from 1 ft
7:47.0,J. Teague makes 3-pt shot from 22 ft (assist by J. Butler),3,73-57,,
7:38.0,,,73-57,,Turnover by A. Rivers (lost ball; steal by J. Teague)
7:35.0,J. Butler makes 2-pt shot at rim,2,75-57,,
7:12.0,,,75-59,2,A. Rivers makes 2-pt shot from 1 ft
6:58.0,Offensive charge foul by A. Wiggins (drawn by D. Gallinari),,75-59,,
6:58.0,Turnover by A. Wiggins (offensive foul),,75-59,,
6:58.0,,,75-59,,L. Williams enters the game for C. Williams
6:42.0,,,75-59,,D. Gallinari misses 2-pt shot from 18 ft
6:38.0,Defensive rebound by T. Gibson,,75-59,,
6:29.0,K. Towns makes 2-pt shot from 17 ft (assist by T. Gibson),2,77-59,,
6:11.0,,,77-59,,Turnover by L. Williams (bad pass; steal by K. Towns)
6:09.0,Shooting foul by L. Williams (drawn by T. Gibson),,77-59,,
6:09.0,T. Gibson makes free throw 1 of 2,1,78-59,,
6:09.0,,,78-59,,J. Wilson enters the game for D. Gallinari
6:09.0,T. Gibson misses free throw 2 of 2,,78-59,,
6:06.0,,,78-59,,Defensive rebound by D. Jordan
5:53.0,,,78-59,,W. Johnson misses 2-pt shot from 20 ft
5:48.0,,,78-59,,Offensive rebound by D. Jordan
5:48.0,,,78-59,,D. Jordan misses 2-pt shot at rim
5:46.0,,,78-59,,Offensive rebound by D. Jordan
5:46.0,,,78-61,2,D. Jordan makes 2-pt shot at rim
5:29.0,Turnover by J. Teague (lost ball; steal by L. Williams),,78-61,,
5:23.0,,,78-64,3,L. Williams makes 3-pt shot from 24 ft
5:02.0,J. Teague misses 3-pt shot from 25 ft,,78-64,,
4:59.0,,,78-64,,Defensive rebound by D. Jordan
4:52.0,,,78-64,,A. Rivers misses 2-pt shot from 1 ft
4:48.0,Defensive rebound by J. Butler,,78-64,,
4:44.0,A. Wiggins misses 2-pt shot from 1 ft,,78-64,,
4:40.0,,,78-64,,Turnover by D. Jordan (bad pass)
4:40.0,G. Dieng enters the game for K. Towns,,78-64,,
4:39.0,Offensive rebound by T. Gibson,,78-64,,
4:39.0,T. Gibson misses 2-pt shot at rim,,78-64,,
4:39.0,,,78-64,,Defensive rebound by D. Jordan
4:27.0,T. Gibson misses 2-pt shot from 3 ft (block by W. Johnson),,78-64,,
4:27.0,Offensive rebound by Team,,78-64,,
4:15.0,J. Butler misses 2-pt shot from 6 ft,,78-64,,
4:14.0,Offensive rebound by T. Gibson,,78-64,,
4:14.0,Turnover by T. Gibson (out of bounds lost ball),,78-64,,
4:08.0,,,78-67,3,J. Wilson makes 3-pt shot from 24 ft (assist by W. Johnson)
4:08.0,Minnesota full timeout,,78-67,,
3:53.0,J. Butler makes 2-pt shot from 5 ft,2,80-67,,
3:35.0,,,80-69,2,L. Williams makes 2-pt shot from 12 ft
3:21.0,A. Wiggins makes 2-pt shot from 20 ft (assist by J. Teague),2,82-69,,
3:04.0,,,82-71,2,W. Johnson makes 2-pt shot from 17 ft
2:47.0,J. Teague makes 3-pt shot from 25 ft,3,85-71,,
2:29.0,,,85-71,,W. Johnson misses 3-pt shot from 24 ft
2:25.0,Defensive rebound by A. Wiggins,,85-71,,
2:14.0,G. Dieng misses 2-pt shot from 17 ft,,85-71,,
2:10.0,,,85-71,,Defensive rebound by D. Jordan
2:03.0,,,85-71,,A. Rivers misses 2-pt shot from 1 ft
2:03.0,,,85-71,,Offensive rebound by D. Jordan
2:03.0,,,85-73,2,D. Jordan makes 2-pt shot at rim
1:49.0,Offensive foul by G. Dieng (drawn by L. Williams),,85-73,,
1:49.0,Turnover by G. Dieng (offensive foul),,85-73,,
1:49.0,,,85-73,,M. Harrell enters the game for D. Jordan
1:42.0,Personal foul by A. Wiggins (drawn by M. Harrell),,85-73,,
1:42.0,J. Crawford enters the game for J. Butler,,85-73,,
1:26.0,,,85-75,2,J. Wilson makes 2-pt shot from 2 ft (assist by A. Rivers)
1:10.0,J. Crawford misses 2-pt shot from 18 ft,,85-75,,
1:06.0,,,85-75,,Defensive rebound by W. Johnson
1:00.0,,,85-77,2,M. Harrell makes 2-pt shot at rim (assist by A. Rivers)
0:44.0,A. Wiggins misses 2-pt shot from 13 ft (block by W. Johnson),,85-77,,
0:42.0,,,85-77,,Defensive rebound by L. Williams
0:36.0,,,85-77,,W. Johnson misses 3-pt shot from 23 ft
0:33.0,Defensive rebound by J. Crawford,,85-77,,
0:29.0,J. Crawford misses 2-pt shot from 12 ft,,85-77,,
0:27.0,Offensive rebound by A. Wiggins,,85-77,,
0:27.0,A. Wiggins misses 2-pt shot at rim,,85-77,,
0:27.0,Offensive rebound by Team,,85-77,,
0:27.0,,,85-77,,C. Williams enters the game for L. Williams
0:27.0,,,85-77,,J. Evans enters the game for A. Rivers
0:05.0,J. Teague makes 3-pt shot from 24 ft,3,88-77,,
0:01.0,Violation by T. Gibson (kicked ball),,88-77,,
0:01.0,,,88-77,,L. Williams enters the game for J. Evans
0:00.0,,,88-80,3,L. Williams makes 3-pt shot from 26 ft (assist by C. Williams)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,Shooting foul by W. Johnson (drawn by K. Towns),,88-80,,
11:41.0,K. Towns misses free throw 1 of 2,,88-80,,
11:41.0,Offensive rebound by Team,,88-80,,
11:41.0,K. Towns makes free throw 2 of 2,1,89-80,,
11:25.0,,,89-82,2,L. Williams makes 2-pt shot from 14 ft (assist by J. Evans)
11:06.0,J. Crawford misses 2-pt shot from 17 ft,,89-82,,
11:04.0,,,89-82,,Defensive rebound by J. Evans
10:58.0,,,89-82,,J. Wilson misses 2-pt shot from 15 ft
10:49.0,,,89-82,,Offensive rebound by M. Harrell
10:49.0,,,89-84,2,M. Harrell makes 2-pt shot at rim
10:26.0,Shooting foul by M. Harrell (drawn by J. Butler),,89-84,,
10:20.0,J. Butler makes free throw 1 of 2,1,90-84,,
10:20.0,J. Butler makes free throw 2 of 2,1,91-84,,
10:06.0,,,91-84,,L. Williams misses 3-pt shot from 23 ft
10:03.0,Defensive rebound by K. Towns,,91-84,,
9:46.0,Turnover by J. Butler (bad pass; steal by J. Evans),,91-84,,
9:42.0,,,91-86,2,W. Johnson makes 2-pt shot at rim (assist by J. Evans)
9:20.0,G. Dieng makes 2-pt shot from 5 ft,2,93-86,,
9:07.0,,,93-86,,W. Johnson misses 3-pt shot from 24 ft
9:05.0,Defensive rebound by J. Crawford,,93-86,,
9:01.0,,,93-86,,A. Rivers enters the game for W. Johnson
9:01.0,,,93-86,,S. Thornwell enters the game for J. Evans
9:01.0,J. Teague enters the game for T. Jones,,93-86,,
8:59.0,G. Dieng makes 2-pt shot from 16 ft (assist by J. Teague),2,95-86,,
8:38.0,,,95-89,3,L. Williams makes 3-pt shot from 24 ft (assist by J. Wilson)
8:23.0,K. Towns makes 2-pt shot from 2 ft (assist by J. Crawford),2,97-89,,
8:23.0,Shooting foul by J. Wilson (drawn by K. Towns),,97-89,,
8:23.0,K. Towns misses free throw 1 of 1,,97-89,,
8:19.0,,,97-89,,Defensive rebound by M. Harrell
8:12.0,,,97-91,2,L. Williams makes 2-pt shot from 6 ft
7:49.0,J. Crawford makes 3-pt shot from 27 ft,3,100-91,,
7:33.0,,,100-91,,J. Wilson misses 3-pt shot from 25 ft
7:32.0,Defensive rebound by Team,,100-91,,
7:32.0,,,100-91,,Personal foul by M. Harrell (drawn by K. Towns)
7:32.0,,,100-91,,D. Jordan enters the game for M. Harrell
7:20.0,,,100-91,,Personal foul by A. Rivers (drawn by J. Crawford)
7:20.0,J. Crawford makes free throw 1 of 2,1,101-91,,
7:20.0,J. Crawford makes free throw 2 of 2,1,102-91,,
7:00.0,,,102-94,3,L. Williams makes 3-pt shot from 25 ft (assist by D. Jordan)
6:37.0,J. Crawford misses 3-pt shot from 22 ft,,102-94,,
6:33.0,,,102-94,,Defensive rebound by L. Williams
6:28.0,Personal foul by J. Teague (drawn by L. Williams),,102-94,,
6:28.0,,,102-94,,LA Clippers full timeout
6:28.0,,,102-94,,D. Gallinari enters the game for J. Wilson
6:28.0,A. Wiggins enters the game for G. Dieng,,102-94,,
6:28.0,T. Gibson enters the game for J. Crawford,,102-94,,
6:20.0,,,102-94,,A. Rivers misses 3-pt shot from 22 ft
6:17.0,,,102-94,,Offensive rebound by D. Jordan
6:08.0,,,102-94,,D. Gallinari misses 3-pt shot from 28 ft
6:04.0,Defensive rebound by J. Butler,,102-94,,
5:54.0,K. Towns misses 3-pt shot from 25 ft,,102-94,,
5:51.0,,,102-94,,Defensive rebound by S. Thornwell
5:45.0,,,102-96,2,D. Jordan makes 2-pt shot from 1 ft (assist by L. Williams)
5:26.0,J. Teague misses 2-pt shot from 19 ft,,102-96,,
5:24.0,,,102-96,,Defensive rebound by D. Jordan
5:07.0,,,102-96,,D. Gallinari misses 2-pt shot from 10 ft
5:01.0,,,102-96,,Offensive rebound by D. Jordan
5:01.0,,,102-98,2,D. Jordan makes 2-pt shot at rim
4:41.0,A. Wiggins misses 3-pt shot from 25 ft,,102-98,,
4:41.0,Offensive rebound by Team,,102-98,,
4:41.0,,,102-98,,Loose ball foul by L. Williams (drawn by T. Gibson)
4:41.0,T. Gibson makes free throw 1 of 2,1,103-98,,
4:41.0,T. Gibson misses free throw 2 of 2,,103-98,,
4:38.0,,,103-98,,Defensive rebound by S. Thornwell
4:32.0,,,103-98,,L. Williams misses 2-pt shot from 1 ft
4:31.0,,,103-98,,Offensive rebound by D. Jordan
4:31.0,,,103-100,2,D. Jordan makes 2-pt shot at rim
4:11.0,A. Wiggins makes 2-pt shot from 1 ft (assist by T. Gibson),2,105-100,,
3:48.0,,,105-100,,A. Rivers misses 3-pt shot from 26 ft
3:44.0,,,105-100,,Offensive rebound by D. Jordan
3:27.0,,,105-100,,D. Jordan misses 2-pt shot from 1 ft (block by K. Towns)
3:25.0,Defensive rebound by T. Gibson,,105-100,,
3:18.0,,,105-100,,Personal foul by S. Thornwell (drawn by J. Butler)
3:18.0,J. Butler makes free throw 1 of 2,1,106-100,,
3:18.0,,,106-100,,W. Johnson enters the game for S. Thornwell
3:18.0,J. Butler makes free throw 2 of 2,1,107-100,,
2:56.0,,,107-100,,A. Rivers misses 2-pt shot from 8 ft
2:53.0,Defensive rebound by J. Teague,,107-100,,
2:43.0,J. Butler makes 2-pt shot from 8 ft (assist by K. Towns),2,109-100,,
2:43.0,,,109-100,,LA Clippers full timeout
2:27.0,,,109-100,,D. Gallinari misses 3-pt shot from 25 ft
2:26.0,,,109-100,,Offensive rebound by Team
2:14.0,,,109-100,,L. Williams misses 2-pt shot from 1 ft (block by K. Towns)
2:10.0,Defensive rebound by J. Butler,,109-100,,
2:04.0,A. Wiggins makes 2-pt shot at rim (assist by J. Teague),2,111-100,,
1:52.0,,,111-102,2,A. Rivers makes 2-pt shot from 1 ft
1:52.0,,,111-102,,Shooting foul by J. Teague (drawn by A. Rivers)
1:52.0,,,111-102,,A. Rivers misses free throw 1 of 1
1:49.0,Defensive rebound by K. Towns,,111-102,,
1:39.0,J. Butler misses 3-pt shot from 25 ft,,111-102,,
1:35.0,,,111-102,,Defensive rebound by D. Jordan
1:30.0,,,111-102,,W. Johnson misses 3-pt shot from 22 ft
1:27.0,Defensive rebound by K. Towns,,111-102,,
